01:00:27:28	01:00:30:19	忠於自己心裡喜歡的那個東西
01:10:52:14		但是都是在同一年
01:10:54:18		在美國第一個計畫是在南加大
01:10:57:11		就是在USC這樣子
01:10:58:21		所以在當年就是有這三個計畫
01:11:01:09		是他們所謂的Pilot program
01:11:04:29		就是第一期的
01:11:06:04		這個計畫就開始展開
01:11:07:28		所以TED自己在美國本土
01:11:10:19		也有它自己的分支就對了
01:11:12:26		就是它越分越細...
01:11:14:25		好, 問題就來了
01:11:16:00		為什麼是TEDxTaipei
01:11:18:01		而不是TEDxTaiwan
01:11:19:16		對, 在他們授權的規章裡面
01:11:21:21		他們是希望以城市連結城市
01:11:24:21		對, 然後他們認為說
01:11:26:03		用城市的人
01:11:27:06		在做改變城市的事情
01:11:29:15		讓不同的人
01:11:30:17		可以透過社區的相結合
01:11:32:28		去創造更多實質的改變
01:11:35:07		他們認為國家
01:11:36:00		可能會太多的政治力介入
01:11:38:05		明白了
01:11:39:04		於是我們就有了TEDxTainan
01:11:41:19		你看
01:11:42:08		要不然如果是TEDxTaiwan
01:11:44:00		Michael, 你就沒飯吃了
01:11:45:02		沒有啦, 開玩笑的
01:11:46:09		有可能
01:11:46:24		因為其實
01:11:48:15		也可能就是所謂的個性化
01:11:50:04		對...
01:11:50:29		因為每個不同的成立
01:11:53:04		在不同的地方成立
01:11:54:08		然後根據成立者不同的個性
01:11:56:16		他們不同的屬性
01:11:57:19		他們不同的取向
01:11:59:05		就會有不同的活動
01:12:01:18		然後會有不同的發展出來
01:12:03:20		好, 當時TEDxTainan
01:12:06:20		是什麼時候成立的呢
01:12:09:12		TEDxTainan
01:12:10:00		是一○年的時候成立的
01:12:10:22		一○年的時候成立的
01:12:11:21		對... 就正好是
01:12:12:19		晚TEDxTaipei一年之後
01:12:14:11		那你是看了
01:12:15:20		就是Jason做了這個事還是
01:12:17:08		那時候你不認識他
01:12:18:04		你認識他嗎
01:12:18:23		其實最初的時候
01:12:19:17		我是真的還沒有認識Jason
01:12:21:06		就是最剛開始
01:12:22:02		其實我自己的經驗也滿...
01:12:23:15		跟Jason滿接近的
01:12:24:25		我是二○○六到○七的時候
01:12:26:11		就是代表中華民國到美國去當
01:12:28:28		就是青年親善大使
01:12:30:22		那這個時候我做的一些事情
01:12:32:10		就是去美國的各個地點講說
01:12:35:16		台灣是一個很棒的地方
01:12:37:07		台灣有很多...
01:12:38:19		不為人知的這些小秘密
01:12:39:27		是大家都應該知道
01:12:41:08		台灣有什麼不為人知的小秘密
01:12:42:09		比方說在地的這些人的
01:12:43:26		工匠的這些產品
01:12:45:14		比方說在地做的這種手工藝品
01:12:47:21		對, 就是這些各種東西
01:12:49:00		或者是我說台灣的品牌能力
01:12:51:05		或是台灣做IC
01:12:52:08		或是做這些3C的這種能力
01:12:54:09		我們當時是做這樣的事情
01:12:55:29		你年紀輕輕
01:12:56:13		就是一個很好的廣告人才
01:12:59:03		也不敢說啦
01:12:59:25		因為當下真的
01:13:00:14		其實對台灣是很有信心
01:13:01:28		就是覺得
01:13:02:25		我以台灣人為榮這種感覺
01:13:04:21		那所以在這個地方
01:13:05:20		其實我們做了
01:13:06:11		非常非常多巡迴演講
01:13:07:26		那剛好一個因緣際會之下
01:13:09:18		我的在那邊的監護人
01:13:11:13		他剛好恰好是
01:13:12:13		紐約商學院的院長
01:13:13:14		他就說
01:13:14:18		我覺得你是個滿有趣的小朋友
01:13:16:10		你跟我一起來
01:13:17:02		一個有趣的活動好了
01:13:18:14		那就恰好是在
01:13:19:16		Jason去的隔一年
01:13:20:20		因為Jason是○六年嘛
01:13:21:26		我剛好是○七年的時候
01:13:22:27		我去參與到TED大會
01:13:25:02		那他就是有點像是
01:13:26:00		把我偷渡進去這種感覺
01:13:28:06		在蒙特雷嘛
01:13:29:17		對, 在蒙特雷
01:13:30:19		在這個大會裡面
01:13:31:17		我看到了一個非常不可思議的
01:13:33:29		這種會議的形式
01:13:35:25		它的鋪陳, 它的內容
01:13:37:07		它的各種人的交流
01:13:38:27		它各式各樣的東西
01:13:40:12		非常非常的吸引了當時的我
01:13:42:14		那我就覺得說
01:13:43:19		如果台灣有一個這個東西
01:13:45:06		超酷耶
01:13:46:15		我當時的一個種子
01:13:47:15		就在那個時候種下去
01:13:48:17		我看到了Bill Clinton
01:13:50:04		就柯林頓總統的演講
01:13:51:17		我看到Hans Rosling
01:13:52:25		是一個非常非常厲害統計學家
01:13:54:11		他把統計學用圖表的方式
01:13:56:12		講得很生動
01:13:57:18		還有Philippe Starck
01:13:58:14		為什麼沒有遇到這樣的老師啊
01:14:01:06		Philippe Starck
01:14:01:27		對... 就是一個設計師
01:14:03:21		對... 那當時我覺得
01:14:05:06		看到這麼多這種非常非常
01:14:07:07		頂尖的
01:14:07:25		對... 走在時代尖端的東西
01:14:09:27		走在最前面的這些人
01:14:12:02		他們看到的世界
01:14:13:06		是看到全世界共同的問題
01:14:15:10		他們想要解決的東西
01:14:16:16		是解決全世界的水文問題
01:14:18:26		環境問題, 科技的問題
01:14:20:25		教育的問題, 各方面的東西
01:14:23:03		所以連設計師說的
01:14:24:00		都是同樣的問題嗎
01:14:25:00		對, 設計師說
01:14:25:27		這個東西要更有人性
01:14:27:18		OK
01:14:28:01		對, 這個東西
01:14:28:17		已經回到一個根本面
01:14:29:29		而不是說我要賣更多產品
01:14:31:21		或是更好之類之類的
01:14:33:21		對, 那當時種下這種子
01:14:34:28		所以回來台灣之後
01:14:36:25		剛好就有幸就考上了成功大學
01:14:38:26		那在學校裡面剛好遇到
01:14:40:13		有一群去參加過
01:14:41:14		TEDxTaipei的活動的人
01:14:42:26		然後還有另外一群
01:14:43:15		我自己的朋友
01:14:44:19		就這兩群人就結合
01:14:45:28		就想說那我們就來台南
01:14:47:09		也來做一個類似的事情
01:14:49:04		把台南這些不為人知的好
01:14:51:02		就是告訴大家
01:14:52:15		然後創造這樣子的平台
01:14:54:15		讓大家可以來這個地方分享
01:14:56:16		然後學習
01:14:57:19		然後同時告訴大家說
01:14:59:08		我們每個不同的城市
01:15:00:18		都有自己的個性
01:15:01:19		我們不需要就是走跟...
01:15:04:23		比方說大家一樣的路
01:15:06:02		或者是說一定要怎麼樣
01:15:07:20		一定要去什麼地方之類的
01:15:09:15		而是你可以用你自己
01:15:11:03		最熱情的方法
01:15:12:20		去畫你這個生命的這個故事
01:15:15:08		對, 所以TEDxTainan
01:15:16:14		就在一○年的時候成立了
01:15:18:00		TEDxTainan
01:15:18:18		我覺得給大家一個很好的
01:15:20:07		尤其是給台灣的朋友
01:15:20:28		一個很好的啟發
01:15:21:21		就是不需要事業有成
01:15:24:23		相貌堂堂
01:15:25:27		也不是, 應該這樣講
01:15:26:23		就是其實你那時候
01:15:28:07		做大哉問的時候
01:15:29:02		其實已經有一個模式
01:15:31:10		證明你其實可以做到這件事
01:15:33:12		而當時你在做
01:15:34:06		TEDxTainan的時候
01:15:35:15		其實你還是個學生
01:15:37:02		對, 那時候我才是
01:15:38:18		就是大二的學生
01:15:39:24		那你是怎麼證明給總會說
01:15:42:23		台南也很需要做一個TED
01:15:44:28		然後我們也可以做得到呢
01:15:47:18		當初其實就是我自己寫信到
01:15:49:27		就是總會那邊去
01:15:51:10		然後詢問說我們在這個地方
01:15:53:03		如果要成立的話
01:15:54:00		對, 如果要成立的話
01:15:54:26		有沒有可能
01:15:55:12		因為那時我看到USC
01:15:56:16		這是一個學校的例子
01:15:58:05		然後他們其實有很多
01:15:59:04		非常非常積極的學生
01:16:00:19		會去爭取這樣的機會
01:16:02:13		那我想說
01:16:03:05		那我們是成大的學生
01:16:04:10		成大說不定會是一個
01:16:05:18		不錯的開始的點
01:16:07:06		因為當下是學生
01:16:07:28		也沒有想太多
01:16:08:18		就是想說
01:16:09:05		我們有很多很酷的發明
01:16:10:25		很多很酷的故事
01:16:12:07		就從學校這個概念開始
01:16:13:16		後來我就慢慢覺得不對
01:16:15:11		我們要看到整個台南
01:16:16:27		因為我自己在美國那一段時間
01:16:19:05		給我的感覺是
01:16:20:04		他們的學校
01:16:20:24		是跟城市非常緊密連結
01:16:23:06		他們的學校會提供城市
01:16:24:23		一個不一樣的眼光
01:16:25:29		不一樣的視野
01:16:27:01		每間學校在不一樣的地方
01:16:28:24		扮演不一樣的角色
01:16:30:00		那我們就覺得說
01:16:30:25		那成大應該是什麼樣
01:16:32:05		我們佔據了台南後火車站
01:16:33:17		很大一塊土地嘛
01:16:34:23		那就覺得說我們應該要為台南
01:16:36:25		多做一些事情
01:16:38:08		那那個時候我們就是用
01:16:40:01		這麼簡單的一個邏輯
01:16:41:05		就去跟他申請, 就說我們
01:16:42:26	01:16:43:27	我們要佔據台南
01:16:45:01		也沒有到就是佔據這麼誇張
01:16:46:21		但是我們當下的想法是說
01:16:48:03		我們是一間很大的學校在台南
01:16:51:07		然後我們
01:16:52:11		就我自己參加了很多...
01:16:53:16		比方說扶輪社的活動
01:16:54:28		或是一些志工的這些活動
01:16:56:21		到安養院, 到這種照護之家
01:16:59:04		各個地方
01:16:59:28		我很想做這些社會公益的事情
01:17:01:28		或是結合這些社會公益
01:17:03:20		跟藝術品
01:17:04:22		或是在地的這些人
01:17:06:02		那就想說我們做了這些
01:17:07:17		然後我們也做了一些
01:17:08:22		小小的Workshop這種工作坊
01:17:10:24		然後也帶了這種
01:17:11:19		什麼小的那種城市旅遊
01:17:13:02		就是帶大家到那邊去了解說
01:17:14:16		你看這裡有一個很酷的工匠
01:17:16:02		那裡有一個很酷的醫師
01:17:17:18		這裡有一個很有趣的活動
01:17:19:12		然後大家可以參與
01:17:20:19		那就是這樣子的
01:17:22:01		因緣際會之下跟邏輯
01:17:23:18		然後他們就說不錯
01:17:25:05	01:17:26:19	那你們就來試試看好了
01:17:56:28		聽你講完剛剛那段話
01:17:57:27		我覺得台灣好有希望
01:17:59:21		就是因為我覺得之前
01:18:04:17		會有滿多世代的衝突
01:18:06:19		我覺得來自於很多不信任
01:18:08:23		就是說你們這一招不行
01:18:11:04		或是說草莓族
01:18:13:03		我現在聽到草莓族我就覺得
01:18:15:10		一個好舊的概念或是什麼
01:18:17:05		覺得現在年輕人
01:18:17:21		都已經跑到十萬八千里遠了
01:18:19:25		他們的想法
01:18:20:27		只是不是用我們以前讀書
01:18:24:01		學會的那個想法
01:18:25:11		在面對這個世界
01:18:28:10		我覺得TED總會看上的
01:18:30:18		其實就是你們的熱情
01:18:32:12		你們對這片土地的熱情
01:18:34:01		你們對於知識分享的那個熱情
01:18:36:04		那個是騙不了人的
01:18:37:15		因為你要做多少事情才能證明
01:18:40:08		我們真的很想做, 拜託
01:18:41:11		你就讓我們做吧, 求你了
01:18:43:22		你這樣講, 我會...
01:18:44:28		除了TEDxTaipei, TEDxTainan
01:18:46:11		那台灣應該有很多的TEDx吧
01:18:48:09		對, 其實我當初
01:18:49:24		把這個品牌引進來的時候
01:18:51:04		我有一個夢想
01:18:52:10		就是說我覺得這樣的東西
01:18:53:20		應該在台灣遍地開花
01:18:55:14		那我一個人, 一個Team
01:18:57:01		不可能做台灣所有的城市
01:18:59:06		唯一的方法就是每次我辦活動
01:19:01:20		然後吸引很多的學生來參加
01:19:04:18		然後告訴他們說你們也可以
01:19:06:18		在你們的學校也可以去辦
01:19:08:20		然後受過我們活動洗禮之後
01:19:11:06		他大概就會對TEDx
01:19:12:29		是什麼東西
01:19:13:29		他們大概會有一個感覺
01:19:15:22		然後他們也會覺得說
01:19:17:00		這個東西
01:19:17:25		如何可以在他們校園裡面
01:19:19:00		去啟發
01:19:20:03		然後去發動
01:19:21:09		那所以這幾年來
01:19:22:29		也差不多在台灣各個
01:19:25:06		從北到南, 甚至到東部
01:19:27:00		都有大概十幾間的大學
01:19:28:27		開始成立在校園裡面的
01:19:31:10		TEDx的社團
01:19:32:27		譬如說有東吳
01:19:34:14		然後台大, 政大
01:19:36:00		交大, 清大, 中山等...
01:19:38:26		那因為我現在也是擔任
01:19:40:01		TED亞洲大使的職位
01:19:42:07		所以就是說對於亞洲這一塊
01:19:44:03		我們也是很希望說利用台灣
01:19:46:21		然後去整個跟大家論述說
01:19:49:08		我們怎麼樣面對這個亞洲
01:19:51:06		其實TED以它的分法來說
01:19:53:03		現在全世界有一百多個國家
01:19:54:20		都有在地的TEDx
01:19:56:19		然後有七大區域
01:20:00:00		然後像亞洲就有五個大使
01:20:02:04		所以我們大概
01:20:02:28		定期都會開視訊會議
01:20:05:05		然後討論說
01:20:06:06		這個國家在發展的狀況是什麼
01:20:08:24		然後也定期跟美國回報這樣子
01:20:11:15		像Michael, 剛我們講到說
01:20:13:06		台灣有非常多的TEDx的系列
01:20:15:15		好像你們這群年輕人
01:20:16:27		其實也都會互通有無, 對不對
01:20:19:12		對...
01:20:20:01		其實這是一個滿有趣的平台
01:20:21:17		就是它其實拉近了各個大學
01:20:23:12		各個城市之間的距離
01:20:25:03		那我們其實定期
01:20:25:26		都會有一些小小的聚會
01:20:27:14		然後會把大家通通拉進來
01:20:28:23		一起想說
01:20:29:23		什麼是我們這一代年輕人
01:20:31:05		都想要做的事情
01:20:32:19		然後什麼是我們
01:20:33:20		可以在這個舞台上面
01:20:34:28		發光的事情
01:20:36:00		什麼是你們這一代年輕人
01:20:37:19		都想要做的事情
01:20:39:07		比方說我們想要
01:20:40:11		透過我們自己的方式來證明說
01:20:42:19		我們有能力可以做到
01:20:44:10		跟世界一樣的標準的任何事
01:20:47:16		其實我們沒有說去侷限說
01:20:49:05		這件事情到底是什麼
01:20:50:17		有的人他有非常強烈的
01:20:52:17		表演慾望
01:20:53:14		他可以在很年輕的時候
01:20:54:14		他就證明他到了
01:20:56:07		世界運動會的舞台上面
01:20:57:17		比方說疊杯子也好
01:20:58:23		或者是拉小提琴
01:21:00:11		有些人可以用他們自己的智識
01:21:03:00		比方說去做出一些
01:21:04:06		很神奇的搜尋引擎
01:21:05:17		或者是一些社群網絡
01:21:07:05		這些東西去推廣到全世界
01:21:08:29		那有一些人
01:21:09:18		他會用一些其他的方式
01:21:10:26		比方說組織一群很有趣的人
01:21:13:09		去各地參與表演
01:21:14:27		然後用這個巡迴表演的方式
01:21:16:09		來訴說一些社會的理念
01:21:18:15		或者是對社會人道的這些公益
01:21:20:25		這些東西都是我覺得
01:21:21:28		在這些年輕人的心裡面的一個
01:21:24:05		很大的一個夢想
01:21:25:09		因為我們很希望
01:21:26:13		我們也可以貢獻一點什麼
01:21:28:08		那在這個平台
01:21:29:13		因為就像剛才提到就是科技
01:21:31:07		因為科技其實真的
01:21:32:02		縮短了溝通的麻煩
01:21:34:12		對, 然後它也讓我們的這些
01:21:36:04		分享的東西變得更有力量
01:21:37:24		大家看到了你要怎麼做
01:21:39:08		你只要有科技工具
01:21:40:06		你有一台電腦, 你就可以參與
