00:03:59:16 今天的「藝文大道」對我來說
00:06:31:18 那種感覺嗎
00:06:32:18 就比方說
00:06:33:10 你說從Film變成Video
00:06:35:13 然後從...
00:06:36:02 像台灣也是啊
00:06:36:25 從戒嚴到解嚴
00:06:39:12 其實你都是處在一個
00:06:40:22 就是一個很大轉變的時期
00:06:42:08 那種感覺
00:06:42:27 是, 我們正好是碰到一個
00:06:45:05 全世界都在劇變的一個年代
00:06:47:23 那我在日本念書
00:06:49:19 那個學校
00:06:50:29 你現在問我說學到了什麼
00:06:52:13 它就是Video製作
00:06:54:06 從一到十你把它學會之外
00:06:56:19 它觀念上最重要告訴你
00:06:58:28 就是說你學習東西
00:06:59:28 不要學這個是什麼
00:07:02:13 這個不是什麼比較重要
00:07:04:29 這個觀念其實幫助我一輩子
00:07:07:17 包括你做電視, 做音樂
00:07:09:27 其實都是在做一些很創新
00:07:12:18 別人沒有做過的事情
00:07:14:24 所謂創新的意思就是說
00:07:16:16 我都是去找沒有的東西
00:07:18:23 因為有的東西
00:07:19:14 我比較...
00:07:20:10 就已經有了
00:07:21:06 你要在裡面做好
00:07:22:02 其實很難
00:07:23:15 你永遠要面對一個
00:07:24:13 另外一個比你好的嘛
00:07:26:05 那如果是沒有的東西的話
00:07:27:12 你就可以自己定一個你的標準
00:07:29:21 那言之有物, 言之什麼
00:07:32:01 反正你自己有一套
00:07:33:10 有一點成績
00:07:34:02 它就是獨一無二的
00:07:36:22 所以對我來講
00:07:37:22 我是這樣在思考很多事情的
00:07:39:19 對, 因為對我來說
00:07:40:10 最好玩的是看這本書
00:07:41:20 不只是看到一些我們認識的人
00:07:44:25 曾經做過的一些事情
00:07:46:07 因為像伍佰老師就說
00:07:47:13 這本書充滿了八卦
00:07:49:15 這是他說的
00:07:50:12 裡面就是大家的八卦
00:07:52:02 那除了看八卦的心態之外
00:07:53:21 我們也知道
00:07:54:19 有些事情
00:07:55:06 其實有時候不是一步到位的
00:07:57:12 它就是慢慢有一個醞釀的過程
00:07:59:10 比方說我們知道
00:08:00:04 「週末派」
00:08:01:02 我們從小到大
00:08:02:05 很Fashion, 很酷的一個回憶
00:08:04:21 「週末派」之前
00:08:05:16 原來有一個很怪的
00:08:07:20 「電視副刊」
00:08:08:13 對, 「電視副刊」
00:08:09:15 其實我都不記得有這個節目了
00:08:11:16 但是我看你在說
00:08:13:08 你們拍攝的一些過程的時候
00:08:14:28 我就覺得
00:08:17:03 你現在拿來做啊
00:08:18:29 可能大家都還覺得挺新的
00:08:21:18 對, 那個其實就是說
00:08:23:05 我從日本念完書回來
00:08:24:17 我滿腦子都是...
00:08:25:29 就是一個Video的概念
00:08:27:27 那台灣那時候
00:08:28:18 還是一個電視的概念
00:08:30:24 所以我基本上就是用
00:08:31:28 Video的概念
00:08:32:29 進電視台做節目
00:08:34:22 那時候開始有ENG嘛
00:08:36:09 攝影機可以跑
00:08:37:07 跑到戶外
00:08:38:22 那Video有它自己的特性
00:08:41:08 比如它有長時間拍攝
00:08:42:29 它有給...
00:08:43:28 而且在那個年代
00:08:44:22 你把Video拿到街上
00:08:46:06 對著人訪問的時候
00:08:47:04 大家沒有經驗
00:08:48:02 就只有投降
00:08:48:28 你要怎麼樣, 他就怎麼樣
00:08:50:19 所以它有很多它的特質
00:08:52:04 是
00:08:52:23 就利用那個特質
00:08:54:02 做了一些實驗
00:08:56:06 在那個年代三台的電視
00:08:58:09 三家電視台
00:08:59:10 然後戒嚴的時代
00:09:00:17 其實我們那時候
00:09:01:09 也做了很多奇奇怪怪的東西
00:09:03:17 其實你今天要問我的話
00:09:04:21 我覺得真的最值得被寫
00:09:07:18 其實是那段我們做電視的時候
00:09:10:06 發生了很多事情
00:09:12:00 其實那個東西, 我覺得對...
00:09:13:22 現在看起來
00:09:14:14 可能對台灣的社會的影響
00:09:17:09 或者是刺激
00:09:18:11 其實是滿大的
00:09:19:26 那也是因為有那樣的節目之後
00:09:21:26 才會有後面的
00:09:23:21 我們還可以繼續做搖滾樂
00:09:25:05 做嘻哈
00:09:26:01 我覺得都是它有連帶的互動
00:09:28:17 那到了「週末派」
00:09:30:20 因為前面的失敗的案例
00:09:32:00 所以「週末派」就做得更完整
00:09:34:10 所以我們就是把一個Video概念
00:09:36:27 放進電視的框架裡面
00:09:39:01 所以中間那個很重要的
00:09:41:01 就是我們的導演張榮貴
00:09:42:27 因為他每一集都要出去拍外景
00:09:46:16 那他的那個攝影的風格
00:09:48:03 當時還是比較偏向廣告的風格
00:09:50:18 所以就是比一般電視台的
00:09:52:13 那個三台或者是三機作業
00:09:54:17 或者是甚至於
00:09:56:26 比這個戲劇的節目的製作的
00:09:59:23 畫面要漂亮很多
00:10:01:21 那再用那精緻的畫面去呈現
00:10:05:25 一種都市進步的
00:10:07:14 一種時髦的感覺
00:10:09:17 那個東西就在電視
00:10:10:22 放在電視的框架現場
00:10:12:11 然後在現場再加上吃一點東西
00:10:14:26 介紹這些東西
00:10:16:02 所以它就會呈現出一種
00:10:17:27 比較特別的情形
00:10:18:29 其實台灣在當時
00:10:21:03 並沒有那麼時髦
00:10:22:28 只是我們在那個節目裡面
00:10:25:03 營造出一種時髦的感覺
00:10:27:01 包括小燕的造型啦
00:10:28:19 服裝什麼的
00:10:30:12 那我自己比較得意的事情
00:10:33:12 就比如說那時候我有介紹過
00:10:35:10 Philip Glass的Video Arts
00:10:38:19 那他就要把電視機立起來
00:10:40:18 看一個錄影帶
00:10:42:07 像那樣的東西
00:10:43:02 那也可以介紹
00:10:44:16 那我的片頭, 片尾
00:10:45:27 是用的是那個Kraftwerk
00:10:48:15 是全世界第一個
00:10:49:23 所謂電子音樂的樂團的音樂
00:10:52:25 那你說為什麼
00:10:53:24 也沒有為什麼
00:10:54:10 因為那樣的東西
00:10:55:00 放在當時的那個電視上就特別
00:10:57:11 就是要造成一種時髦就是別人沒有做過的
00:11:00:10 那種感覺就是特別的感覺
00:11:01:20 就是營造那樣的一個氣氛
00:11:03:02 像諸如此類
00:11:03:23 這中間做了很多
00:11:05:10 你怎麼讓我覺得
00:11:06:08 好像以前比現在更自由的感覺
00:11:08:14 因為現在好像你要做這些電視
00:11:10:04 然後上面可能就會跟你說
00:11:12:11 收視率
00:11:13:08 不看這些東西或是什麼的
00:11:14:25 但你那時候其實想做什麼
00:11:16:28 也就這樣做下去了
00:11:18:26 好像是
00:11:19:28 那好像也沒有人去管這些東西
00:11:21:21 因為在那個領域
00:11:23:09 大家不是那麼清楚
00:11:25:04 所以你就可以一直去
00:11:27:02 放一些新的東西進去
00:11:28:21 可是你做音樂的時候呢
00:11:30:06 你做音樂的時候
00:11:30:29 就有想得比較多了嗎
00:11:32:22 音樂的時候
00:11:34:05 就是因為有所謂的市場嘛
00:11:36:06 有成本什麼的
00:11:37:08 那當時的社會氣氛就是
00:11:40:03 主流音樂就是偶像
00:11:41:27 長得漂亮
00:11:42:27 還有音樂就是要走卡拉OK情歌
00:11:46:10 那個東西的挑戰就比較大
00:11:48:15 那挫折也比較大
00:11:50:06 因為永遠會面對說
00:11:51:24 這些人長得不夠帥
00:11:54:00 然後音樂太怪
00:11:56:06 然後不好
00:11:57:20 不適合在卡拉OK唱
00:11:59:19 比如說像這些東西
00:12:00:14 都是我們要面對的壓力
00:12:02:17 可是你看啊
00:12:03:14 你看你也從「週末派」
00:12:04:20 這樣一路下來
00:12:05:18 說實在, 你是知道
00:12:07:10 你知道
00:12:07:29 比方你知道觀眾可以接受什麼
00:12:09:20 要看什麼
00:12:10:22 你知道哪些唱片會賣
00:12:12:29 然後你也可以在商業上得到成就
00:12:15:00 但你也沒有做這件事情
00:12:16:19 比方說你成立了真言社
00:12:18:02 其實你做的大部分都是新人
00:12:20:13 對
00:12:21:09 其實那個本來就是一件很冒險的事
00:12:23:27 而你說找帥哥
00:12:26:13 以你的狀況來講容不容易
00:12:28:13 其實是可以做得到的
00:12:29:22 以你的人脈啊, 資源啊
00:12:31:09 眼光啊, 眼界啊
00:12:33:03 你包裝啊
00:12:33:24 你從日本回來什麼
00:12:34:15 你都看過所有東西
00:12:36:01 你知道該怎麼做
00:12:36:28 但為什麼你沒有這樣做呢
00:12:39:08 還是那個邏輯
00:12:40:05 就是我比較找沒有的東西
00:12:42:16 我一直找沒有的東西
00:12:43:22 還有一個就是音樂上
00:12:44:28 我比較在乎的
00:12:46:06 可能是音樂類型
00:12:47:26 因為我小時候聽熱門音樂
00:12:50:01 西洋歌聽的多
00:12:51:18 然後到日本也是演唱會
00:12:54:06 接觸得很多
00:12:55:01 然後那個時候整個世界上
00:12:57:27 流行音樂是一個很強的動力
00:13:00:03 那個時候有麥可傑克森
00:13:01:23 有瑪丹娜
00:13:02:19 八○年代MTV剛出來
00:13:04:19 整個世界在音樂這個上面
00:13:06:10 是一個很新的東西
00:13:08:17 那你在日本待過以後
00:13:10:17 總是對我們的國家
00:13:12:07 有一種焦慮感
00:13:13:20 覺得說我們落差太大
00:13:15:15 要追過它
00:13:16:27 那怎麼追呢
00:13:17:21 就是在我能力的範圍裡面
00:13:19:04 盡量去做嘛
00:13:20:04 所以開始的時候
00:13:21:25 音樂類型是我一個思考
00:13:23:16 第二個就是我覺得
00:13:24:15 未來一定是要走表演
00:13:27:03 演唱會
00:13:27:22 現場
00:13:28:10 演唱會
00:13:28:29 那個時候麥可傑克森, 瑪丹娜
00:13:30:18 都已經開始了嘛
00:13:32:08 所以我覺得
00:13:32:26 所以我找的藝人
00:13:33:22 就是要找那樣類型的藝人
00:13:35:17 至少一定要會唱
00:13:37:01 會唱, 然後能演
00:13:38:27 能演
00:13:39:13 你是說演戲的演, 不是吧
00:13:41:00 上台表演
00:13:41:16 上台表演
00:13:42:26 那我自己也前面做
00:13:45:25 「紅唇族」的經驗
00:13:46:28 讓我知道說
00:13:48:15 可能要一個長期的訓練的過程
00:13:50:27 雖然訓練的過程
00:13:51:24 我們台灣其實到目前為止
00:13:53:06 都還沒有這樣的一個機制
00:13:54:19 所以那時候也是土法煉鋼
00:13:57:04 在那個時候你要做訓練
00:13:58:13 大概就是找舞蹈老師
00:14:00:05 編一個舞跳
00:14:01:26 那我知道那樣是不靈的
00:14:03:24 所以我們就自己找蘭陵的朋友
00:14:07:04 比如說國修啦, 金士傑啦
00:14:10:00 做肢體上的訓練跟開發
00:14:12:08 公司的長灝啦
00:14:13:26 那長灝開始也是大學...
00:14:16:17 北藝大剛畢業
00:14:17:18 其實有一些戲劇訓練的基礎
00:14:19:25 但是怎麼樣轉到歌手
00:14:21:25 其實他也不知道
00:14:23:05 其實我們都不知道
00:14:24:05 歌手也不知道
00:14:25:05 所以就大家在一起共同切磋
00:14:28:05 慢慢發展出來
00:14:29:11 然後就慢慢做出這些東西來
00:14:31:17 那時間過了二十年
00:14:33:07 回頭去看
00:14:34:28 我覺得這個體會就是這樣的
00:14:36:19 其實真正好的教學
00:14:38:11 跟真正好的學習
00:14:39:13 是沒有課表的
00:14:41:09 是大家把自己有的經驗
00:14:43:01 放在一起
00:14:44:05 就是一個沒有領導的領導
00:14:46:09 跟沒有教學
00:14:47:06 沒有課表的教學
00:14:48:26 其實是最好的教材
00:14:50:25
00:15:21:24 所以你可以說
00:15:22:17 你是那種因材施教的好老師嗎
00:15:25:06 因為你看喔
00:15:25:24 你看, 伍佰, 林強, 張震嶽
00:15:29:00 他們其實是截然不同的
00:15:31:01 脈絡跟系統
00:15:32:01 你不可能用訓練伍佰的方式
00:15:34:08 因為你說
00:15:35:00 要用訓練運動員的方式
00:15:35:28 訓練藝人嘛
00:15:37:13 訓練伍佰的方式
00:15:38:05 訓練林強是不行的
00:15:39:09 訓練林強的方式
00:15:39:29 訓練張震嶽也是不行的
00:15:41:20 所以你的方法是什麼
00:15:43:13 先跟他們交朋友
00:15:44:19 對, 交朋友
00:15:45:10 交朋友
00:15:45:26 了解他們是個什麼樣的人
00:15:46:23 了解他們是什麼
00:15:47:18 然後盡量找到他們的個性
00:15:49:19 個性的特色
00:15:51:06 那其實每一個人都有缺點
00:15:53:25 唱歌, 表演都有缺點
00:15:55:23 那真正的特色
00:15:56:27 其實是要把你的缺點拿出來
00:15:59:04 變成給人家看
00:16:00:22 你有沒有這個勇氣
00:16:01:21 我唱歌就是五音不全
00:16:03:19 但是這個可能會變成
00:16:04:19 我一個特色
00:16:06:00 這樣的五音不全
00:16:07:07 怎麼樣變成一種特色
00:16:08:16 轉化成魅力
00:16:09:13 變成無可取代的
00:16:11:09 譬如說舉例是這樣子
00:16:12:18 這要經過一個時間的開發
00:16:16:06 他自己要認知
00:16:17:27 那如果說現在跟以前比
00:16:20:12 我現在做這樣的能力
00:16:21:25 應該比二十年前好很多
00:16:23:26 因為我自己的人生經驗也多
00:16:25:19 然後現在社會的資源也多
00:16:28:04 所以你要做出很好的課程
00:16:30:21 或者是訓練的方式
00:16:31:26 我覺得現在比以前容易得很多
00:16:33:21 以前我們真的大家都是很懵懂
00:16:35:26 都三十出頭的人
00:16:37:02 小孩他們也不過才二十幾歲
00:16:39:06 其實我們知道的都很不清楚
00:16:40:28 現在看起來就會看得更清楚
00:16:43:05 就知道很多
00:16:43:28 現在有一些要怎麼樣做訓練
00:16:46:26 要該怎麼開發
00:16:47:27 其實看起來非常知道怎麼做
00:16:50:04 可是我怎麼感覺
00:16:50:28 現在好像唱片變得很不好做呢
00:16:53:06 因為以前
00:16:53:27 你看, 以前我們可能...
00:16:55:13 雖然我們得到資訊的管道不多
00:16:58:12 但是只要你在那些目標的管道
00:17:01:14 做對的事情
00:17:03:07 全世界都知道了
00:17:04:25 現在就是
00:17:05:24 我已經有很好的藝人了
00:17:07:02 然後你現在也知道
00:17:07:25 要怎麼訓練他們
00:17:08:23 都OK了, 沒問題了
00:17:10:07 但你要怎麼讓大家都知道
00:17:11:22 變成是一件很難的事了
00:17:13:02 是
00:17:13:22 現在是分眾的時代
00:17:15:01 分得太細了
00:17:16:12 以前因為是媒體集中嘛
00:17:18:16 所以你只要打歌
00:17:20:01 錢花下去
00:17:21:15 關係做到
00:17:22:16 歌就會紅
00:17:23:17 像以前
00:17:24:17 每一年大概很清楚
00:17:25:26 有哪一首是Hit song嘛
00:17:27:13 這種家喻戶曉, 大家都唱
00:17:29:24 現在沒有這個事情
00:17:31:10 所以音樂跟人的關係也在調整
00:17:34:08 那整個通路的狀況也在調整
00:17:37:19 所以現在整個流行音樂
00:17:40:06 不能用以前唱片的概念來看它
00:17:42:23 就是要用音樂產業的概念看它
00:17:44:28 所以全世界都在面臨這個轉變
00:17:47:29 那到底未來是什麼
00:17:49:08 沒有人知道
00:17:50:16 你知道啊
00:17:51:10 你永遠都走在別人前面啊
00:17:52:25 我們都很想聽你在說什麼
00:17:54:29 所以這個就是現階段
00:17:56:03 我覺得最有樂趣的時候
00:17:58:29 所以你說現在是
00:18:00:08 一般人對流行音樂都覺得
00:18:01:20 還是停留在說
00:18:02:20 流行音樂現在不行了
00:18:04:05 好做嗎
00:18:04:26 但是在我來看
00:18:06:17 我覺得現在正是開始
00:18:07:26 另外一個黃金二十年
00:18:09:19 你永遠都這麼樂觀喔
00:18:11:21 不是, 是真的...
00:18:13:07 比如說很多數據的證明
00:18:14:20 說從二○一二年開始
00:18:16:03 全世界的數位音樂下載的
00:18:18:22 營業額就開始成長
00:18:20:20 全球比例起來
00:18:22:16 大概每個地方
00:18:23:11 大概都從百分之五
00:18:24:22 到百分之十的成長
00:18:27:08 那數位的下載
00:18:30:02 數位的那個營業額
00:18:31:05 幾乎已經佔掉
00:18:32:18 實體的百分之五十以上
00:18:34:06 像美國大概是百分之五十
00:18:35:16 韓國百分之五十
00:18:36:28 那我們台灣因為是比較先進啦
00:18:40:27 就是大概在十幾年前
00:18:42:21 就開始整個產業崩盤
00:18:44:11 所以其實台灣在這個過程中間
00:18:46:01 其實我覺得業界也好
00:18:47:25 社會也好
00:18:48:22 大家其實有累積出
00:18:50:00 一些經驗跟能量
00:18:51:28 如果現在就是找到正確的方法
00:18:54:27 我覺得會是有更不同的
00:18:57:04 不同的產業格局出來
00:18:59:14 你是不是也是用這樣子
00:19:01:03 以前沒有這麼多數據分析的時候
00:19:03:14 你是怎麼說服大家
00:19:04:19 比方說你怎麼說服大家說
00:19:06:14 我就是要做林強
00:19:07:20 我覺得他一定會中
00:19:08:24 我就是要做伍佰
00:19:09:25 他一定會中
00:19:10:21 我就是要做張震嶽
00:19:11:20 他一定會中這樣子
00:19:13:16
00:19:13:26 說服
00:19:14:21 其實那個時候
00:19:16:01 還是因為你是老闆
00:19:16:25 所以你說了就算了
00:19:18:16
00:19:19:01 一半是這樣子
00:19:20:00 我還是要跟滾石的三毛溝通
00:19:23:08 能夠有做這樣的事情
00:19:24:24 其實另外一個很重要的人
00:19:25:25 就是三毛
00:19:27:04 因為他是有一個大格局的觀點
00:19:29:24 所以他對音樂有很好的想法
00:19:31:25 然後他又是個很會行銷的人
00:19:34:18 所以常常我幾乎上
00:19:36:07 就是跟他兩個人互動
00:19:38:07 很多事情跟他討論
00:19:39:27 那他認可
00:19:40:18 我就可以做
00:19:41:22 所以在那個時候
00:19:42:28 唱片好的時候
00:19:43:27 我可以花個...
00:19:45:10 像林強至少花了快兩年的時間
00:19:47:29 去做一張片子
00:19:49:19 那現在可能沒有這樣的條件
00:19:51:29 現在我們的藝人就是
00:19:53:17 希望他透過歌唱比賽
00:19:55:29 人紅了
00:19:57:09 然後趕快出片
00:19:58:26 出片以後再做在職訓練
00:20:01:17 那你現在看看韓國的狀況
00:20:04:18 韓國他一個藝人
00:20:05:15 可以從十五歲開始
00:20:07:14 培養個三到五年
00:20:08:26 對, 三到五年
00:20:10:11 所以這就證明說
00:20:11:09 我們台灣跟韓國的差距
00:20:13:28 就是我們的產業規模不夠大
00:20:16:13 我們現在的唱片公司
00:20:17:16 都是小本經營
00:20:19:04 都是中小企業的格局
00:20:20:26 所以怎麼樣
00:20:21:17 把這個產業的規格做大
00:20:23:12 我覺得是現階段很重要的
00:20:25:08 就是不能只在在職訓練
00:20:27:05 因為在職以後人紅了
00:20:29:03 人紅了以後
00:20:30:15 會迷失掉很多事情
00:20:32:04 很多事情就沒有辦法去做
00:20:33:23 我們剛剛講的一些調整
00:20:35:01 或者是互相的學習
00:20:38:09 那前面的
00:20:39:14 前面的那個訓練的系統
00:20:41:04 是需要重新再建構起來的
00:20:43:08 所以我也是在看這本書之後
00:20:44:18 我才知道說
00:20:45:13 原來伍佰老師在紅之前
00:20:49:27 被你操到真的挺慘的
00:20:52:21 你知道嗎
00:20:53:11 因為做過很多很另類
00:20:55:01 你讓他做過哪些人的製作人
00:20:57:12 我...
00:20:58:01 他幫The Party做過一張
00:21:00:13 他怎麼可能去做The Party
00:21:03:03 他怎麼可能做嘻哈
00:21:04:08 他伍佰耶
00:21:05:05 對
00:21:06:05 那他是台灣嘻哈的先驅
00:21:09:03 怎麼會是這樣
00:21:10:04 那L.A. Boyz裡面
00:21:11:19 他也有唱跳乎伊爽
00:21:13:20 那是他的聲音, 對
00:21:14:19 所以我也是看這本書
00:21:16:03 我說伍佰老師
00:21:17:01 原來你是一個這麼分裂的人
00:21:18:27 他到現在還是很不喜歡嘻哈
00:21:21:00 他自己是不喜歡
00:21:21:29 那當時你是怎麼說服他
00:21:23:07 做這些事的呢
00:21:24:06 這就是伍佰的特...
00:21:25:26 表面上看他很有個性什麼
00:21:27:10 但其實他是個彈性很大的人
00:21:29:24 他是彈性非常大的
00:21:30:24 因為他很清楚他要什麼
00:21:32:22 他就是我一定要成功
00:21:34:24
00:21:35:28 他在認識你的時候
00:21:37:21 就有這樣的企圖心嗎
00:21:38:16 有... 非常清楚
00:21:39:19 就是我一定要成功
00:21:40:22 而他知道他會成功
00:21:41:23 他一定...
00:21:42:20 他知不知道不重要
00:21:43:21 但他一定要成功
00:21:45:01 而且他是絕無退路的
00:21:47:10 你去他家看就知道
00:21:48:13 家徒四壁
00:21:49:10 只有錄音帶
00:21:50:19 還有兩把吉他
00:21:51:20 住在那貧民窟
00:21:52:18 我們就知道這個人就是玩真的
00:21:54:29 真的是貧民窟
00:21:55:21 在台大那邊一個蟾蜍山
00:21:57:22 現在已經整個拆掉了
00:21:59:26 然後...
00:22:00:12 但是他很堅持他要做的事情
00:22:04:05 但是為了達到這個目的
00:22:06:23 他很多事情
00:22:07:22 他是可以配合去做
00:22:09:02 比如說像做別的
00:22:10:06 別的藝人的類型的專輯
00:22:13:03 對他來講就是學習嘛
00:22:15:07 這是很好的
00:22:16:05 然後他可以去接觸
00:22:17:12 跟羅百吉
00:22:18:23 那時候很早就接觸Sampling
00:22:21:19 做做嘻哈的音樂
00:22:23:02 然後把他的那個單純的
00:22:26:06 搖滾化的風格的路線開大
00:22:29:15 我覺得這是他非常清楚
00:22:30:17 他在幹嘛
00:22:32:07 所以到後來
00:22:33:01 現在已經沒有辦法
00:22:33:25 再回頭做這樣的事情了吧
00:22:35:19 他還是可以
00:22:36:14 他還是可以
00:22:37:16 我覺得他做製作人
00:22:38:17 會是非常好的製作人
00:22:40:14 那也有許多歌手找他去配唱
00:22:43:05 譬如說他配唱的方法
00:22:44:07 就會跟別人的不一樣
00:22:45:27 因為他比較不是美聲掛的
00:22:47:08 他比較是情緒掛
00:22:48:08 他有他的方法
00:22:49:20 我覺得以製作來講
00:22:51:01 他會是很好
00:22:51:28 但他還是比較...
00:22:53:18 現在因為也忙嘛
00:22:54:18 就專注在他自己的音樂上
00:22:57:08 你人生當中
00:22:57:28 有多少個Yes的Moment啊
00:23:00:17 Yes的moment
00:23:01:11 因為其實這本書裡面
00:23:02:22 其實有非常多Yes的Moment
00:23:04:15 你知道嗎
00:23:05:05 你說林強
00:23:05:27 Yes
00:23:06:24 伍佰老師
00:23:07:10 Yes
00:23:08:08 其實張震嶽
00:23:08:25 阿嶽也挺Yes的啊
00:23:10:17 L.A. Boyz也很Yes吧, 當年
00:23:12:25 L.A. Boyz...
00:23:13:16 整個超誇張的啊
00:23:15:03 對, L.A. Boyz對我來講
00:23:16:12 也是很不錯
00:23:17:06 因為就是等於開啟了嘻哈
00:23:19:21 開啟了街舞
00:23:20:24 還有ABC突然變得好受歡迎
00:23:22:23 對
00:23:23:16 而且是講台語
00:23:25:04 對, 好另類喔阿公阿嬤的口條
00:23:27:00 他就是...
00:23:27:26 也就是如果沒有羅百吉
00:23:30:20 沒有Jeff他們三個人
00:23:33:06 也不會有L.A. Boyz
00:23:34:07 我自己也沒有辦法
00:23:35:22 我也不可能去在街上
00:23:37:11 兜出一個這樣的東西來
00:23:39:19 那只是說我們碰到了
00:23:40:27 怎麼樣去把它包裝
00:23:43:06 把它弄成一個暢銷的產品
00:23:45:26 那...
00:23:47:10 Yes moment
00:23:48:04 對, 然後Hip-Hop的這一塊
00:23:50:29 我倒覺得那個是一個
00:23:53:10 羅百吉是在我們流行音樂界
00:23:55:10 是非常重要
00:23:56:08 可能大家都忘掉他了
00:23:58:04 沒有, 他最近有一首那個什麼
00:23:59:19 蘇什麼
00:24:00:23 「蘇偉在哪裡」
00:24:01:28 在KTV還是很紅
00:24:03:19 有的時候
00:24:04:06 我的朋友會點這首歌出來唱
00:24:05:15 我想說羅百吉
00:24:07:15 在KTV還是挺受歡迎的
00:24:08:28 對, 羅百吉現在就是等於
00:24:10:14 他的歌已經變成所謂台嗨嘛
00:24:13:06 我有一次在那個...
00:24:14:19 參加一個...
00:24:17:10 大龍峒那邊的一個廟會的
00:24:21:05 所有的電子花車
00:24:22:08 幾乎都在放他的歌
00:24:24:07 走出一條路喔
00:24:25:05 對, 走出另外
00:24:25:28 他從最時髦的
00:24:27:07 已經走到Groundly
00:24:28:08 到廟會去
00:24:29:28 最草根的我覺得這是他最...
00:24:30:26 對, 這是最厲害的
00:24:31:19 厲害...
00:24:32:13 所以他對台灣流行音樂的貢獻
00:24:34:26 是非常大的
00:24:36:04 你自己都笑了
00:24:37:06 對
00:24:37:26 有沒有
00:24:38:15 對啊, 所以我最好奇的就是
00:24:40:28 雖然你剛剛都挺謙虛的說
00:24:43:12 其實這就是
00:24:44:15 因為剛好他們有這樣的能量
00:24:46:20 你只是想辦法讓他們的能量
00:24:48:10 讓大家可以看到
00:24:49:27 或者是說
00:24:50:23 你看到L.A. Boyz有能量
00:24:51:24 看到羅百吉有能量
00:24:52:23 想辦法把他們湊在一起
