00:00:43:25 你是否也想體驗一場藝術夜遊
00:05:40:02 最後是我們的新朋友
00:05:41:05 白晝之夜的新媒體藝術策展人
00:05:43:18 蔡宏賢老師, 你好
00:05:44:23 寶儀好
00:05:45:09 你好
00:05:46:01 因為我們還需要熱身一下
00:05:47:20 所以我會對你比較客氣一點
00:05:49:06 不好意思
00:05:51:00 我們是亞洲第一個城市耶
00:05:54:04 我光是想到我都熱血沸騰了起來
00:05:56:15 因為以前如果我們要參加
00:05:57:19 這樣的活動
00:05:58:07 其實我們要坐飛機去
00:05:59:17 而且其實一定得在那一天
00:06:01:04 錯過了
00:06:01:26 不好意思, 明年再來
00:06:04:00 可是一百二十個城市
00:06:05:25 竟然亞洲沒有一個城市
00:06:07:16 承辦過這樣的活動
00:06:09:04 局長, 恭喜喔
00:06:11:04 謝謝...
00:06:12:20 不過我可能要先說明一下
00:06:14:18 因為它一開始就是做
00:06:16:25 首都的鏈結
00:06:18:25 所以它之前曾經在京都舉辦過
00:06:22:15 但是如果是用亞洲的首都而言
00:06:25:16 台北是第一個
00:06:27:23 而且我們要恭喜所有的
00:06:30:04 台北人, 台灣人的原因是
00:06:32:20 我們過去
00:06:33:19 特別是在二十世紀下半期開始
00:06:36:26 很努力地透過文化要做外交
00:06:39:20 那過去因為政治, 經濟
00:06:43:05 種種的原因
00:06:44:04 可能會受到阻撓或是瓶頸
00:06:47:15 那大家都巴望可以透過文化外交
00:06:49:28 更永續的經營
00:06:51:27 城市對城市, 國與國的關係
00:06:54:29 所以這次終於成功了
00:06:56:25 白晝之夜是台灣有史以來
00:07:00:04 參與的國際文化活動
00:07:02:03 第一個受到國際認證的
00:07:04:27 白晝之夜聽說...
00:07:05:28 我都是聽說
00:07:07:14 其實說實在的
00:07:08:11 在座我們四個裡面
00:07:09:25 只有一個人真正參與過
00:07:11:20 就是我們的局長而且玩了好幾國
00:07:15:10 玩了好幾國
00:07:16:10 你還玩了好幾國
00:07:17:09 真令人羨慕
00:07:18:07 我們都是在網上看到別人的遊記
00:07:20:11 每個人都是那種
00:07:22:02 不睡覺, 好開心
00:07:23:11 然後沒有想到可以這麼好玩
00:07:25:26 局長, 你可不可以說一說
00:07:26:23 你自己的經歷
00:07:27:19 就是為什麼白晝之夜
00:07:29:04 可以從二○○二年到現在
00:07:31:04 越來越多的首都參與呢
00:07:33:03 是, 坦白來講
00:07:35:00 我們知道那時候
00:07:35:25 我們談千禧年到了這個尾端
00:07:38:21 然後世紀末的情境
00:07:40:11 大家都會很恐慌
00:07:41:23 特別遇到像法國來講
00:07:43:26 它的殖民地越來越少
00:07:45:26 那法語的優勢也消失
00:07:47:27 再加上歐盟統合
00:07:50:09 這個滿十周年
00:07:52:13 馬上要滿十周年
00:07:53:11 它就會很擔心
00:07:54:25 下一步怎麼去訴說
00:07:57:19 那所以巴黎當時就開始訴求
00:08:01:13 文化就是一切
00:08:03:14 那這也可能是回應了這個
00:08:05:28 可能從法國第五共和以來
00:08:09:03 認為這個文化就是王道
00:08:11:16 文化才是一個國家
00:08:13:10 從榮譽感, 使命感
00:08:15:15 串連過去, 現在, 未來的象徵
00:08:17:25 所以他們就想發起一個
00:08:20:20 用文化外交
00:08:22:00 取代政治經濟外交的可能性
00:08:25:25 那沒想到這樣子一呼百諾
00:08:28:15 所以他們一開始也是從巴黎的一個區開始
00:08:31:25 那問的問題很單純
00:08:34:06 如果說這個
00:08:35:17 我們要這個...
00:08:38:28 One night stand
00:08:40:11 或者是通宵達旦不回家
00:08:44:04 可不可以不是只是去夜店
00:08:46:29 泡酒吧
00:08:48:14 或是去club
00:08:50:07 而是做因為文化活動而徹夜不歸
00:08:54:17 大家都知道歐洲人好早就回家
00:08:57:18 下班, 睡覺
00:08:59:16 那所以他們最後研擬出來
00:09:01:15 透過當代藝術, 當代的表演
00:09:04:07 那種種的所謂的文化活動
00:09:07:10 而且可能是動態, 可能是靜態
00:09:10:08 那怎麼讓公部門的主張
00:09:13:15 能夠透過這個由下而上
00:09:16:07 主動的提案, 串連
00:09:18:19 最後讓大家
00:09:21:13 可以從傍晚的六點鐘
00:09:23:07 到第二天清晨六點
00:09:25:00 整整十二個小時
00:09:27:09 來去完成這個白晝之夜的壯舉
00:09:30:26 那它有幾個原則
00:09:32:03 第一個, 一定要免費
00:09:34:27 因為我們所有運用的公共空間
00:09:37:02 公共資源
00:09:37:25 包括我們可以共同成就
00:09:40:03 這樣的機緣
00:09:41:01 是大家共同創造的結果
00:09:43:11 第二, 它必須要在步行的距離
00:09:46:14 人要回到
00:09:47:13 用他的尺度去丈量空間
00:09:50:23 跟別人互動
00:09:52:04 然後...
00:09:53:12 所以不管從聽, 看
00:09:56:06 這個嗅, 聞
00:09:58:08 就要一起做這些事情
00:10:00:19 那第三個特質就是說
00:10:02:07 無論如何
00:10:02:26 就是要做藝術文化活動
00:10:05:23 那到最後這樣子的這個結果
00:10:09:20 就變成說歐洲國家之間
00:10:14:05 開始發起串連
00:10:15:22 那巴黎甚至連總統府
00:10:17:21 都曾經整夜打開過
00:10:20:19 因為它的主張就所有的禁地
00:10:22:23 白天的禁地
00:10:23:21 晚上因為文化藝術的這個
00:10:26:26 置入和參與
00:10:28:04 它應該就是要打開
00:10:30:18 對公眾整個打開
00:10:32:26 當然我也必須承認
00:10:33:26 我們嘗試著要讓總統府打開
00:10:36:14 可是今年因為十月一號
00:10:38:10 十月十號要國慶
00:10:39:17 他們有很多安檢等等這個部分
00:10:43:03 每一年都是耶, 十月十號
00:10:46:14 它原則上他們的訴求很有意思
00:10:48:29 就是說
00:10:50:19 如果這麼講
00:10:52:25 秋天
00:10:53:29 秋天就從十月開始
00:10:56:10 那十月的第一個禮拜三
00:10:58:01 也往往都是歐洲大學要開學的日子
00:11:01:14 可是你剛開學總是有很多不耐
00:11:04:09 所以第一個週末
00:11:05:06 如果可以一起參加文化活動
00:11:07:22 像一個initiation
00:11:09:06 是很有趣的
00:11:10:22 所以如果問我個人
00:11:13:01 我那時候跟這個團隊在溝通
00:11:16:23 我的想像就台北的秋天
00:11:19:24 可不可能從此從白晝之夜開始
00:11:23:15 因為它的遊戲規則是這樣子
00:11:26:22 十月的第一個週末
00:11:30:01 禮拜六跨禮拜天
00:11:32:08 就是我們擁有自己的時間
00:11:34:00 我們有可能選擇
00:11:35:10 可是我們選擇參與文化活動
00:11:38:04 來去做一個表述
00:11:40:07 所以非常感謝的
00:11:41:20 真的就是要感謝法國在台協會
00:11:45:13 因為這個
00:11:48:02 法國等於希望透過台北來舉辦
00:11:53:04 去整個跟我們一起伸張很重要的
00:11:56:24 所有的創意藝術文化
00:11:58:25 最根本就是要自由
00:12:01:09 是要完整的言論自由
00:12:04:03 表達自由
00:12:04:29 你創意才可以源源不絕
00:12:07:06 那台北之所以受到青睞
00:12:09:21 很重要就是
00:12:11:16 整個華人地區, 整個亞洲
00:12:14:26 我們絕對是言論最自由的地方
00:12:17:25 這點不會因為有言論的箝制
00:12:20:28 或思想的檢查
00:12:22:11 去限制到這一切
00:12:24:18 所以他們能夠用
00:12:26:15 整個這個白晝之夜的串連
00:12:29:05 為台北的自由民主
00:12:32:25 還有源源不絕的創意背書
00:12:36:01 真的是我們的福氣
00:12:38:17 那相對來講我也想說
00:12:41:25 很多時候
00:12:43:25 像我過去參與
00:12:45:06 今天不管在巴黎
00:12:46:27 在這個
00:12:48:20 或者是羅馬
00:12:49:27 像之前帶學生參加這個
00:12:52:25 跟羅馬大學, 同濟大學
00:12:55:04 做的這個國際設計營
00:12:57:23 我們都故意把最後一個週末
00:13:00:05 就是安排是...
00:13:01:24 當然在義大利是談
00:13:03:11 Notte Bianca(白晝之夜)
00:13:04:22 還是White Night(白晝之夜)
00:13:06:06 還是
00:13:07:13 Nuit Blanche(白晝之夜)
00:13:08:26 那學生完全都是瘋狂的狀況
00:13:11:22 為什麼呢
00:13:12:13 你很難想像
00:13:13:11 從這個Piazza del Popolo
00:13:15:21 就是人民廣場
00:13:16:27 一路到了萬神殿的古蹟區
00:13:20:08 塞滿了幾百萬人
00:13:22:14 然後旁邊所有的這個空間
00:13:26:07 都是民眾或者是民間組織
00:13:30:19 或者是官方
00:13:32:12 全部的參與
00:13:33:17 所以以羅馬來講
00:13:36:18 它可能前後就禮拜五跨禮拜天
00:13:39:08 羅馬城會突然增加五百萬人
00:13:42:26 像巴黎市政府的統計
00:13:45:24 它每年舉辦
00:13:47:04 那天晚上巴黎會多兩百萬人
00:13:49:22 從哪裡來
00:13:51:02 從其他的城市
00:13:52:21 其他的國家來
00:13:54:11 因為每一個人
00:13:57:01 都希望能夠跟別人串連
00:13:59:14 體驗完全不一樣的白晝之夜
00:14:01:29 而且像巴黎的話
00:14:04:00 它最後推到所有的區域
00:14:06:22 甚至包括塞納河
00:14:08:16 第一條橋到第十條橋
00:14:11:13 我們過去對那個紅藍白
00:14:14:12
00:14:17:01 奇士勞斯基的這個電影的想像
00:14:19:25 最後它讓它真正的發生
00:14:23:23 那到最後
00:14:25:03 怎麼樣變成一種文化主張
00:14:27:19 然後我們又怎麼樣因此被肯定
00:14:30:18 我們長久以來這個努力
00:14:32:10 應該就是白晝之夜最重要
00:14:36:15 希望傳達的訊息
00:14:37:25
00:15:13:21 它的確而且它是一個非常好吸引
00:15:15:28 你說吸引遊客的
00:15:17:04 是...
00:15:17:29 就是為什麼我們還要來台北玩
00:15:19:25 除了台北有小吃之外
00:15:21:02 台北到底還有什麼
00:15:22:13 為什麼我們十月的時候要來台北
00:15:24:13 因為我們有白晝之夜
00:15:25:24 所以其實很有意思的就是說
00:15:28:03 像香港, 澳門
00:15:32:08 甚至像新加坡的旅行社
00:15:35:05 都開始在問, 為什麼
00:15:36:25 因為事實上我就常跟朋友講
00:15:39:18 白晝之夜的好處是
00:15:40:28 你連旅館都不用訂
00:15:42:16 對, 一早你就飛走吧, 沒關係
00:15:45:05 你就禮拜五下了班
00:15:47:12 你才訂飛機進來
00:15:49:12 然後就開始玩...
00:15:52:09 對, 就可以了
00:15:53:26 有各式各樣的配套措施就對了
00:15:56:20 禮拜六先睡飽了
00:15:58:03 然後安步當車, 搭個捷運
00:16:01:13 然後從台北車站開始玩
00:16:03:09 玩到第二天清晨吃完早餐
00:16:06:10 然後再搭捷運回家
00:16:08:20 完全...
00:16:11:02 非常好
00:16:11:17 OK, 好我們兩個聊得這麼開心
00:16:13:24 其實兩位男士還在煎熬當中
00:16:17:00 我們的主題叫做「好呀! 大家都不要睡」
00:16:19:12 他們已經很多天都沒睡
00:16:22:20 因為這是一個...
00:16:25:19 台北第一次辦
00:16:26:24 對
00:16:27:06 然後既然是在晚上舉辦的
00:16:30:09 然後它一定有它的難度在
00:16:33:00 因為白天跟晚上
00:16:34:01 這個城市的樣貌是有點不太一樣的
00:16:36:17 也因為它是第一次辦
00:16:37:29 你要端出什麼樣的菜色
00:16:39:21 打響這第一炮
00:16:41:17 辛苦了, 兩位
00:16:42:15 接下來你們就要好好介紹囉
00:16:44:01 Akibo老師, 我們有什麼菜色
00:16:45:07 要端給別人看呢
00:16:46:10 這次主題又是什麼呢
00:16:47:17 是... 我覺得
00:16:49:11 我很喜歡你用菜色
00:16:50:24 來形容這次的活動
00:16:53:08 因為就是要做得很豐富
00:16:55:19 那剛講過了
00:16:56:22 就是每一個城市
00:16:57:28 要表現自己的性格
00:16:59:17 所以我們的表演或者是藝術家
00:17:02:18 當然是以台灣為主幹
00:17:04:20 但是因為我們也是亞洲第一個
00:17:06:17 所以我們也有邀請了
00:17:07:20 日本, 香港, 泰國的藝術家
00:17:10:03 來參與
00:17:10:29 那在歐洲當然有法國, 荷蘭, 義大利
00:17:14:16 也都有藝術家參與
00:17:15:20 所以它不但是...
00:17:17:20 既本土
00:17:18:17 它又是一個很國際性的活動
00:17:21:27 那我覺得剛剛講得很好玩
00:17:23:10 就我們先定這個主題叫藝術夜遊
00:17:26:18 就是想說
00:17:27:20 讓台北或台灣的觀眾
00:17:31:05 因為沒有參加過
00:17:32:05 所以我們很直白就直接破題
00:17:34:23 就是你晚上要出來玩
00:17:36:27 要跟著藝術一起玩
00:17:38:11 那想說還要再更有煽動力一點
00:17:42:14 就想了一句slogan說
00:17:43:27 「好呀! 大家都不要睡」
00:17:45:14 整個有一種豁出去的感覺
00:17:46:15 對, 結果一講出來
00:17:48:14 我們有一個群組
00:17:50:26 晚上在討論事情
00:17:52:02 都是討論到天亮
00:17:53:15 所以...
00:17:54:12 其實你在調時差就對了
00:17:55:20 是啊, 就先調起來
00:17:57:28 我們白天也沒睡
00:17:59:29 好可憐對啊, 眼睛紅紅
00:18:01:07 所以我要介紹
00:18:02:20 宏賢就是負責
00:18:03:23 我們作品部分的策展人
00:18:05:20 我們還有兩位
00:18:06:16 劉真蓉她是負責空間
00:18:09:00 陳昱興Dave他是負責活動
00:18:11:06 所以我們是一個鐵三角
00:18:13:11 Dave他是那個...
00:18:15:17 Dave
00:18:16:02 他是野餐俱樂部的發起人
00:18:19:16 所以他辦過很多很豐富的活動
00:18:21:26 所以我們其實這樣集合起來
00:18:24:00 就是它從純藝術到大眾藝術
00:18:31:00 從主流文化到次文化
00:18:34:10 就是我們可以看到
00:18:35:25 等一下有很多菜
00:18:37:01 賣關子, 等一下再細細講
00:18:38:14 就是說它從交響樂團
00:18:42:07 到獨立音樂
00:18:43:10 然後到純藝術作品
00:18:45:13 投影, 塗鴉
00:18:46:27 各種的表現方式
00:18:49:12 所以我想
00:18:50:17 這一定會是一個菜色非常豐富
00:18:54:16 然後很精彩
00:18:55:10 值得大家把時間空下來
00:18:57:27 然後安排好
00:18:59:12 那一天就是一定要來參加的
00:19:01:04 一個藝術活動
00:19:02:22 如果說
00:19:04:03 你那天可能本來計畫要去夜店
00:19:06:19 或是要去夜唱, 要去哪裡玩
00:19:09:03 那個一年都有
00:19:10:20 但是這一天就只有
00:19:12:29 白晝之夜
00:19:13:29 就只有一天在那邊等你
00:19:15:20 所以希望大家都可以一起來參與
00:19:19:04 然後把台北城擠爆
00:19:21:29
00:19:23:14 發下豪語, 要擠爆就對了
00:19:26:08 蔡老師是新媒體藝術的策展人
00:19:29:24 那表示說這一次真的是
00:19:31:24 菜色非常的多樣
00:19:32:27 光是新媒體
00:19:33:26 好像就有很多不同的東西
00:19:36:03 想要給大家耳目一新的感覺
00:19:38:10 那晚上在做新媒體
00:19:40:11 是比較困難嗎
00:19:42:00 因為畢竟我們在大城市裡面
00:19:43:14 是有光害的問題或是什麼的
00:19:45:22 你要怎麼克服
00:19:46:24 或是你在節目的挑選上
00:19:48:16 是不是也有做這方面的考量呢
00:19:51:06 對, 就像剛剛兩位提的
00:19:53:07 就是其實在城市特色的部分
00:19:56:08 譬如說
00:19:57:07 夜市是我們非常習慣的部分
00:20:00:10 那但是大部分的藝術活動
00:20:02:16 其實比較是室內的
00:20:04:23 所以除了白天夜晚的挑戰
00:20:06:25 我們還有一個室內外的挑戰
00:20:09:04 那所以很多作品是在街道上的
00:20:11:21 所以還有包含
00:20:12:27 怎麼裝置這件事情的挑戰
00:20:16:00 那光害的部分
00:20:17:15 其實光是相對的
00:20:19:17 就是說當這個城市太亮了
00:20:22:16 那我就要比它更亮
00:20:23:29 對, 那另外一個就是
00:20:26:18 就是市政府文化局這邊
00:20:29:20 就是很幫忙
00:20:30:19 要不然我就把它降暗
00:20:33:07 譬如說有一些公園處
00:20:35:23 或是等等之類的
00:20:37:19 那我們想辦法就要把光線拉到更低
00:20:41:01 所以我的作品就會可以跳出來
00:20:44:05 所以真的是整個城市
00:20:46:27 當天晚上有一種不太一樣的感覺
00:20:50:26 都做了一個調整
00:20:52:15 感覺有一個很大的燈光師
00:20:53:25 在那邊調整
00:20:55:14 先往下拉
00:20:56:13 然後再往上推那種感覺
00:20:57:14 文化局有主導我們就是跨局處
00:21:00:18 一直開很多會
00:21:01:25 包括交通, 包括燈光
00:21:05:11 動線
00:21:05:26 那還有也要非常感謝中央部會
00:21:09:02 像文化部, 像我們國家博物館
00:21:14:17 那旁邊當然就是
00:21:16:02 我們文化局的二二八公園
00:21:19:01 所以那天晚上
00:21:20:14 就可以夜宿博物館
00:21:24:11 好開心喔
00:21:26:16 感覺那恐龍都會跑出來
00:21:27:24 對... 因為土銀館
00:21:29:25 就台博的土銀館
00:21:32:13 是的確有一隻恐龍化石
00:21:34:29 所以小朋友都夢寐以求
00:21:36:15 就可以睡到恐龍下頭
00:21:38:11 這樣太棒了, 好
00:21:39:29 但我們也不能把夢想作得太大
00:21:41:29 好像把整個台北市
00:21:43:07 只要是台北縣以內
00:21:45:12 新北市以內
00:21:46:28 畫一個線
00:21:47:18 然後那個線以內我們就整個都大爆發
00:21:50:21 應該還是有在一個侷限的範圍之內的
00:21:54:18 而這次是怎麼挑選出
00:21:56:02 這一次我們要party的地方呢
00:21:57:26 局長
00:21:59:06 最主要是因為
00:21:59:27 我們希望可以結合歷史街廓
00:22:04:24 然後也希望說
00:22:06:08 能夠跟北門重現結合
00:22:11:06 再包括說
00:22:13:06 本來大家就很習慣有的
00:22:15:20 像當代藝術館
00:22:17:10 這個博物館
00:22:19:04 這些空間
00:22:20:01 晚上是沒有機會體驗的空間
00:22:22:09 也可以在裡頭
00:22:23:17 那當然我們還是夢想著
00:22:25:12 像巴黎一樣
00:22:26:08 一區一區的擴展
00:22:28:01 那甚至我們可以去影響
00:22:29:16 其他的城市
00:22:31:21 不過萬事起頭難
00:22:33:18 還是從這個部分開始
00:22:36:25 那誠如剛才Akibo老師講到
00:22:39:28 各種交通工具
00:22:41:23 除了你的雙腿之外
00:22:43:13 其實都可以在裡頭
00:22:47:02 所以包括像台大醫院
00:22:49:28 我們也必須要承認
00:22:51:10 我們一定要提供
00:22:52:23 必要的醫療的可能
00:22:56:08 但是我們也要特別跟大家報告
00:22:58:09 很多部分它不是只是單純的去做表現
00:23:02:05 或創意而已
00:23:03:25 像我們特別安排這個
00:23:06:21 得到國際小丑執照的
00:23:11:17 台灣藝術家
00:23:13:08 那在白晝之夜
00:23:14:21 那天會為台大兒童病房裡頭
00:23:18:24 癌末, 癌症末期的小朋友
00:23:22:03 做特別的表演
00:23:23:24 因為這可能是我們第一個白晝之夜
00:23:27:28 可是也有可能是
00:23:28:23 他們生命中最後那個
00:23:31:15 那當然我們還是努力的說服他們的醫生
00:23:33:24 讓他們出門來體驗
00:23:35:24 可是這個難度真的非常高
00:23:37:28 所以我們最少最少
00:23:39:11 應該透過這樣子的時刻
00:23:43:07 然後讓他們去...
00:23:45:20 在生命最後的階段
00:23:47:05 還可以體會完全不一樣的時光
00:23:51:26 要不然你想小朋友六點之後
00:23:54:01 要自己靜靜的在病房
00:23:57:22 感覺其實這一次的確
00:23:59:25 節目是方方面面的都有照顧到
00:24:03:20 大朋友, 小朋友
00:24:05:11 老朋友
00:24:06:10 你是可以走得很遠的
00:24:08:06 體力很好的
00:24:09:02 一次可以看很多的
00:24:10:10 或者是你可以定點的
00:24:12:08 他可能在不同的時段
00:24:13:15 也有不同的選擇
00:24:15:01 所以有很多不同的玩法
00:24:16:29 感覺要做一個攻略才可以了
00:24:19:22 其實這樣子的活動
00:24:22:25 因為我們台北
00:24:23:16 有噪音防制的關係
00:24:25:01 所以一切有聲音的演出
00:24:27:23 大概十點就會結束
00:24:29:20 所以我會建議就是
00:24:32:01 大略的攻略是這樣
00:24:33:13 就是十點以前
00:24:35:00 我們把它當作音樂祭來玩
00:24:37:03 因為要去衝舞台
00:24:38:29 就算我們是執行的單位
00:24:41:16 我也不可能看完全部的
00:24:43:14 因為我們有好幾個舞台
00:24:45:06 所以十點以前大家盡量衝舞台這樣子
00:24:48:04 那我們有協調
00:24:49:21 讓YouBike
00:24:50:23 就是在那個時候我們會增加數量
00:24:54:13 那十點以後
00:24:55:17 那些作品它不會跑掉
00:24:57:24 它會等你到天亮
00:24:59:02 所以大概大原則是這樣子
00:25:01:19 剛剛提到很有趣的一點就是說
00:25:04:15 就是親子這件事
00:25:06:02 雖然我們除了關心
00:25:08:00 就是在台大醫院裡面的小朋友
00:25:10:13 其實我們這次也特別要照顧
00:25:14:05 就是有一群小朋友的觀眾
00:25:17:25 我記得在
00:25:19:02 就是我們每次去
00:25:20:03 Summer Sonic
00:25:21:06 我就會在他們那邊
00:25:22:06 發現一個叫做Kids Sonic
00:25:25:10 就是給小孩子參加的
00:25:27:16 我們每次都會在那邊停留很久
00:25:29:09 雖然我還有很多表演要去看
00:25:31:09 那時候我一直在想說
00:25:32:13 這樣子的安排
00:25:33:07 其實它有兩個背後的意義
00:25:35:03 一個就是說
00:25:36:09 有一些年輕的夫妻
00:25:37:20 就是他年輕的時候他是Rocker
00:25:39:20 到處去衝演唱會
00:25:40:27 但是有小孩以後他就不能去了
00:25:43:17 所以第一個它會把這些人又帶回來
00:25:46:17 第二個, 它是讓這些小孩
00:25:48:17 以後就會變成Rocker
00:25:50:10 那因為他這麼小他就...
00:25:52:00 你看到有一個小舞台
00:25:53:19 所有小朋友都跑上去
00:25:55:15 就是彈空氣吉他這樣
00:25:58:10 就是一直播Rock音樂給他們
00:26:00:02 所以我們這一次也要...
00:26:03:01 就是吸引這些年輕夫妻
00:26:05:07 有小朋友的夫婦
00:26:08:12 你們也來參加
00:26:09:08 因為有好多節目是適合小朋友
00:26:12:06 例如說像企業吉祥物
00:26:14:14 他們就有一個表演
00:26:16:19 企業吉祥物其實...
00:26:17:23 你看我有一次在購物中心演講
00:26:20:04 然後前面開場就是企業吉祥物的表演
00:26:22:19 然後我演講的時候
00:26:23:16 前面有一排小女生來聽
00:26:25:26 講完她們就來跟我自我介紹
00:26:27:19 我們就是剛剛演吉祥物的人
00:26:29:26 就是都矮矮小小
00:26:31:01 很可愛這樣子
00:26:32:05 然後我就問她, 你是誰
00:26:33:15 你是卡通人物, 你是誰
00:26:35:11 你是卡通人物
00:26:36:21 我最喜歡卡通人物了
00:26:37:17 你知道其他的吉祥物還跺腳
00:26:40:04 還在入戲裡面就對了
00:26:41:29 所以其實你不要覺得說
00:26:44:17 它是一個超商的宣傳, 不是
00:26:46:19 它真的是小孩子會很開心的
00:26:49:09 除此之外例如說
00:26:50:22 宏賢老師他有一個白傘計畫
00:26:52:14 小朋友可以去做白傘的道具
00:26:55:10 那是什麼
00:26:56:19 是一個白傘
00:26:58:01 可是你可以投影
00:26:58:29 其實它是一個社運工具
00:27:01:12 就是你可以投
00:27:02:19 不同的圖案在上面
00:27:04:10 所以你想像
00:27:05:16 一個白傘上面有一個影像
00:27:07:20 然後在暗夜裡面散步
00:27:09:27 怎麼聽起來有點恐怖的感覺
00:27:11:20 但是是可以可愛圖案的
00:27:13:06 OK, 所以這個白傘是一個互動的裝置
00:27:16:02 對, 所以我們會有工作坊
