00:00:29:25 劉墉
00:03:27:25 我可能已經做這個節目兩年多
00:03:30:09 很久沒有為了要訪問來賓
00:03:32:19 還失眠的
00:03:34:05 因為你太多事情可以講了
00:03:37:04 但我必須要說
00:03:37:29 你真的是一個下苦功的人
00:03:40:00 而且是一個很執著的人
00:03:41:24 有的時候你做了太多的事
00:03:43:08 你就必須要下苦功
00:03:44:19 舉個例子來講
00:03:45:29
00:03:46:29 很多人不知道我畫畫
00:03:49:04 雖然我原來是學藝術的
00:03:50:17 是
00:03:51:18 而且當時到美國去
00:03:52:28 也是美國的博物館邀請的
00:03:54:20 是
00:03:55:15 於是當他們知道說劉墉畫畫
00:03:58:16 他寫文章的
00:03:59:11 他畫畫一定就玩票
00:04:01:09 所以我畫畫
00:04:02:20 我要比別人更下功夫
00:04:05:17 你下更深的功夫
00:04:07:23 人家看到
00:04:08:12 人家才會服氣
00:04:10:01 所以老師
00:04:10:20 你希望別人怎麼介紹你呢
00:04:12:26 暢銷作家劉墉先生
00:04:15:05 生活家
00:04:15:29 我就講我是生活家
00:04:17:09 就是生活家
00:04:17:29 所有的作品
00:04:18:18 都是從生活當中出來的
00:04:20:10 你應該在很小的時候
00:04:21:19 就是一個很有趣的人了吧
00:04:23:24 是不是
00:04:24:13 不太有趣
00:04:24:29 真的嗎
00:04:25:23 我們的鄰居
00:04:27:04 在我們搬去之後大概兩年
00:04:28:23 才知道我們家是有小孩的
00:04:30:24 因為你很安靜
00:04:31:26 我很安靜
00:04:33:08 當然也沒挨打
00:04:34:12 如果挨打
00:04:35:16 不要打了...
00:04:36:16 人家就知道有小孩
00:04:37:27 可是我很安靜
00:04:39:11 我會在日本房子那個下頭
00:04:43:08 院子的在那邊挖
00:04:44:21 看看以前的屋主
00:04:47:05 有沒有掉了什麼小東西
00:04:48:22 到那下面
00:04:49:15 我就挖到日本瓷器的小片片
00:04:52:16 我會種花
00:04:53:20 通通都是沒有聲音的
00:04:55:11 我以前念龍安國小
00:04:57:25 他們也有的時候把我挺封鎖的
00:05:00:08 為什麼
00:05:00:25 不參加朝會
00:05:02:04 不參加朝會
00:05:03:01 說回頭感冒了
00:05:03:27 因為你要代表學校
00:05:04:23 參加演講比賽
00:05:06:13 你是被保護動物啊
00:05:07:18 對的
00:05:08:24 然後還有的時候說
00:05:10:16 今天躲到防空壕裡
00:05:12:10 千真萬確
00:05:13:07 要我躲在學校後面的防空壕裡
00:05:15:21 說因為某某學校的
00:05:18:17 什麼什麼人要來
00:05:20:05 他們學校也有代表要參加演講
00:05:24:11 說不定跟你打聽
00:05:25:17 你要講些什麼東西
00:05:27:09 我就躲在防空壕裡
00:05:29:10 對的
00:05:30:09 就是那種
00:05:30:25 小心匪諜就在你身邊這種
00:05:33:04 就把它對一個小學生
00:05:34:16 對一個小學生
00:05:35:12 你的人生也太傳奇了吧
00:05:37:00 沒有啊
00:05:38:14 所以你等於是很小的時候
00:05:40:15 就已經...
00:05:42:15 不要說鋒芒畢露啦
00:05:43:22 應該就是很受關注
00:05:45:21 而且是才華
00:05:46:23 就已經被大人所知道了
00:05:48:16 我的功課是很爛
00:05:50:05 我前些時回到我的母校
00:05:53:02 成功高中去
00:05:54:10 然後校長就...
00:05:55:20 一進校長室
00:05:56:29 就送我一個紀念品
00:05:57:24 說是
00:05:58:17 這是你以前在學校的成績單
00:06:00:25 一看天啊, 媽啊
00:06:02:16 那高一的成績是可以吃的
00:06:05:11 可以吃的東西
00:06:06:06 不是甲, 也不是乙
00:06:07:16 是拿丙
00:06:08:29 丙(餅)是可以吃的耶
00:06:10:21 我說好驕傲...
00:06:11:29 謝謝, 他拿我的成績單
00:06:13:25 讓我回想起
00:06:15:06 我以前的不堪的歲月
00:06:17:03 年年都要留級
00:06:19:00 但是學校卻很重視我
00:06:22:05 因為我給學校拿了很多獎盃
00:06:24:15 不論是書畫
00:06:25:29 或者是演講
00:06:27:01 或者是其他的東西
00:06:28:18 所以我一直在這個矛盾當中
00:06:30:19 我在這些課外活動當中
00:06:33:03 建立自己的自信
00:06:35:02 又在課堂上失掉自己的自信
00:06:38:18 其實我是夠搗蛋的
00:06:41:02 根本就不上課
00:06:42:06 編校刊去了
00:06:43:20 就請公假
00:06:44:22 那你當然這科就當掉啊
00:06:46:26 我有一次明明考得很好
00:06:48:03 老師還給我很差的分數
00:06:49:15 我說為什麼呢
00:06:50:14 他說因為你都不好好上課
00:06:52:23 我說我就是考得好
00:06:53:25 你應該給我好的成績啊
00:06:56:01 反正那個時候我是很頑皮的
00:06:59:23 但是我不論是初中或者是高中
00:07:03:23 到了最後的時段就會衝刺
00:07:06:26
00:07:08:00 所以他們也拿你沒辦法
00:07:09:17 衝刺之後
00:07:10:27 我就會考上我的...
00:07:12:17 理想的學校
00:07:13:09 理想的學校
00:07:13:29 對, 因為當時我覺得
00:07:14:26 成功也是很好的學校
00:07:15:23 對的
00:07:16:17 師大也是很好的學校
00:07:17:19 對, 我第一志願
00:07:19:05 而且你也不填別的
00:07:20:20 你就是我就是...
00:07:21:03 我填了四個還是五個
00:07:22:22 都是藝術
00:07:23:23 就老師本來說你就多填幾個
00:07:25:13 填一下也沒關係嘛對, 他說
00:07:27:14 那時候可以填一百多個
00:07:29:05 他說你應該填什麼外交系什麼
00:07:31:12 這麼會說話
00:07:32:21 政治系
00:07:34:08 我說那我就是填我喜歡藝術
00:07:37:09 其中有一個是國文系
00:07:38:18 我說如果我考術科的那天
00:07:41:00 生病了的話
00:07:42:09 那我說不定還可以進國文系
00:07:45:00 所以顯示我從小就是喜歡藝術
00:07:48:18 喜歡畫畫
00:07:49:15 喜歡寫文章
00:07:51:06 是多小的時候呢
00:07:53:15 從小學就在國語日報上就畫畫
00:07:58:06 然後我小學三年級
00:08:00:10 我在復興廣播電台演廣播劇
00:08:03:29 回家就自己寫廣播劇的腳本
00:08:07:12 自己來寫
00:08:08:24 然後拿去給老師看
00:08:11:05 被澆冷水
00:08:12:26 你說你要到陽明山
00:08:14:07 你是坐火車去
00:08:15:22 陽明山沒有火車嘛
00:08:17:22 這個老師有點差勁嘛, 對不對
00:08:19:28 但是我繼續寫
00:08:22:10 所以從很小嘛
00:08:24:05 然後我高中的時候
00:08:25:05 我的零花錢
00:08:26:23 都是來自我給報紙畫插圖
00:08:30:25 或者畫什麼小孩玩的
00:08:32:12 那迷宮, 連數字
00:08:35:06 因為你還畫了挺多東西的
00:08:37:03 比方你畫了一個
00:08:38:00 「現代孫悟空」
00:08:39:00 「現代孫悟空」, 對
00:08:39:28 孫悟空跟如來佛
00:08:41:16 是要用原子彈打仗的
00:08:43:07 對的...
00:08:44:14 然後你也畫有點像是大富翁
00:08:48:03 對...
00:08:49:07 的那種東西
00:08:50:04 其實你從小就是一個
00:08:53:00 挺天馬行空的人
00:08:54:13 因為我是不會下棋的
00:08:57:26 那下棋
00:08:59:02 就算是我會下個什麼跳棋
00:09:01:22 也不容易贏
00:09:03:17 我乾脆自己設計棋
00:09:05:19 我老贏
00:09:07:04 對不對, 就用這個方法嘛
00:09:08:25 所以我會設計什麼
00:09:10:10 我的大富翁那一類的東西
00:09:12:17 劉老師, 你有測過你的智商嗎
00:09:14:27 我相信如果我測智商
00:09:16:10 一定可能會很是不高
00:09:19:02 我是覺得...
00:09:19:20 到底是很高還是很是不高
00:09:21:13 很是不高
00:09:22:10 因為我腦袋很奇怪的
00:09:24:13 我進旅館
00:09:25:14 我出旅館房間
00:09:27:01 馬上就會忘記
00:09:27:26 我是住幾號房間
00:09:30:06 然後...
00:09:30:29 對啊, 我有一天我就打電話
00:09:32:28 問我太太
00:09:33:14 我說...
00:09:34:10 她在餐廳
00:09:35:05 她沒有跟著我回房間
00:09:37:10 我說我在幾號房間啊
00:09:39:28 我太太就說
00:09:40:17 就不久之前
00:09:41:19 她說我就覺得奇怪
00:09:43:07 你居然沒打電話問幾號房間
00:09:45:04 你能夠找得到房間
00:09:46:09 那真稀奇了
00:09:47:18 所以...
00:09:48:15 所以你很妙耶
00:09:49:19 你是一個在自己的專業領域上
00:09:52:20 如果我們說藝術領域
00:09:53:25 對的...專業領域, 寫作
00:09:55:13 你鑽研都裡面是很厲害
00:09:57:06 我們都稱呼老師了
00:09:58:18 OK... 是對不對
00:09:59:20 但是在生活的小細節裡面
00:10:01:25 對
00:10:02:13 又很像小孩子
00:10:03:21 對, 有一個出版社的總經理
00:10:06:24 有一次在台灣接受媒體訪問
00:10:08:29 談到劉墉
00:10:09:28 他說他是創作的天才
00:10:11:16 然後下面一句
00:10:12:13 他說生活的白痴
00:10:15:00 還白痴
00:10:17:14 所以真的要謝謝你太太
00:10:19:03 陪你走了這麼長的時間
00:10:20:14 是的...
00:10:21:17 要不然你怎麼能夠
00:10:22:17 安安穩穩的坐在我們面前
00:10:24:09 對啊
00:10:24:22 還能夠做這麼多的事情
00:10:25:26 對啊, 而且我必須要
00:10:26:23 用我的方式來生存, 來活
00:10:29:05 因為早期我都自己出去旅行
00:10:31:19 那我怎麼樣記旅館房間
00:10:33:01 就盯著看
00:10:34:04 七一二就是我拿一根拐杖
00:10:36:25 打死一條蛇, 救了一隻鵝
00:10:39:13 就是七一二
00:10:41:17 你要這樣子才能記要透過這樣的方式
00:10:43:15 這跟...
00:10:44:21 不好意思
00:10:45:04 這跟老人痴呆有什麼兩樣
00:10:46:14 差不多...
00:10:47:26 但是你要知道
00:10:48:18 用這個方法所記的東西
00:10:50:08 你常常會記得很久
00:10:51:11 對, 沒錯...
00:10:53:18 其實今天我們主要是
00:10:54:13 想聊的就是
00:10:55:18 大家可能比較沒有那麼熟悉的
00:10:57:06 那個部分
00:10:59:01 畫
00:11:00:12 其實老師的畫很多耶
00:11:03:04 如果不是這次
00:11:03:25 我有機會可以訪問老師
00:11:05:13 我不知道原來你
00:11:06:27 除了書出了很多之外
00:11:08:22 畫也畫了很多
00:11:09:29 你就是一個很勤勞的人
00:11:11:14 而且出了很多
00:11:13:14 您看到的是極小的部分
00:11:15:11 有很多是中英文版的
00:11:17:15 在美國是大學做教科書的
00:11:20:04 在大陸也沒有
00:11:21:21 在台灣也很少
00:11:22:17 有的絕版了
00:11:23:17 有的我現在想辦法在買
00:11:25:18 都還買不回來
00:11:26:14 教科書是哪方面的教科書
00:11:28:05 譬如說山水寫生畫法
00:11:30:09 我把中國山水畫
00:11:32:08 譬如我們畫葉子
00:11:33:09 用介字點去畫
00:11:34:19 像是介紹的介
00:11:36:01 那麼這個葉子早期
00:11:38:06 古人是怎麼樣觀察自然
00:11:40:08 然後創造出這個葉點呢
00:11:42:20 那麼我就一點一點追溯
00:11:44:14 然後用拍照的方式
00:11:46:22 中國的山水畫又有皴法
00:11:49:16 畫石頭
00:11:51:05 有的是比較橫著的
00:11:53:01 像是折帶皴
00:11:54:21 有的側峰這樣畫的
00:11:56:08 像是披麻皴
00:11:57:17 有的是把筆這樣子...
00:11:59:16 叫斧劈皴
00:12:00:29 它跟自然物的關係是怎樣呢
00:12:04:13 如果我們去橫貫公路
00:12:05:17 我們用哪一種皴法
00:12:07:01 來表現哪一部分的岩石呢
00:12:09:15 我就用攝影
00:12:11:13 然後一步一步來介紹
00:12:14:11 就像做學問一樣的
00:12:16:05 在教學藝術就對了
00:12:18:04 那請問一下皴的英文是什麼
00:12:20:11 這個texture stroke
00:12:22:12 Texture stroke
00:12:23:09 Texture
00:12:24:02 對, 就是說質感的stroke
00:12:26:10 所以包括你畫樹桿的話
00:12:28:25 你也有texture stroke
00:12:30:29
00:12:32:26 所以老師, 你不但有這麼多
00:12:34:14 自己要畫的東西
00:12:35:18 你還要想辦法還要教給別人
00:12:38:04 對的
00:12:39:02 因為我自己要問自己
00:12:41:20 就好像大陸著名的畫家
00:12:43:12 李可染他所講的
00:12:44:18 他說以最大的力量打進去
00:12:46:21 再以最大的力量打出來
00:12:48:29 我從來都主張
00:12:50:26 聰明人要用笨方法治學
00:12:53:24 反而是比較駑鈍的人
00:12:55:22 可以用聰明的方法討個巧
00:12:57:26 你聰明人
00:12:58:21 如果你一目十行
00:13:00:06 請問如果是詩歌, 詩詞
00:13:03:01 你一目十行
00:13:03:22 你欣賞到了嗎
00:13:04:22 沒有
00:13:05:13 所以我們反而要讓自己
00:13:07:23 死在裡面
00:13:08:20 一點一點去想
00:13:10:03 懷疑別人所不懷疑的東西
00:13:12:27 所以我也花了十幾年的時間
00:13:14:21 寫了一本書叫做「唐詩句典」
00:13:16:25 對
00:13:18:05 也是絕版
00:13:19:24 我的那些新聞界文壇朋友都說
00:13:23:20 有你這樣笨的人
00:13:25:18 做「唐詩句典」
00:13:26:23 把唐詩一句一句就分類
00:13:29:02 就有我們這種聰明人來用
00:13:32:10 你可不可以介紹一下這本書
00:13:33:10 因為這本書實在太神奇了
00:13:34:26 我在看資料的時候
00:13:36:06 我都覺得
00:13:37:07 怎麼會現在還有人要做這種
00:13:39:22 傻傻的事情
00:13:40:25 但又很有趣
00:13:41:29 你是把唐詩
00:13:43:06 譬如說是寫月亮
00:13:45:03 那麼李白寫的月亮那是怎麼樣
00:13:46:29 假使說是邊塞派
00:13:48:19 受降城外月如霜
00:13:50:23 那種月的感覺
00:13:53:17 如果說是「夜雨寄北」
00:13:55:19 OK, 那麼寫雨
00:13:57:15 它的這個李商隱的感覺是怎樣
00:14:03:00 不論是田園派或者是邊塞派
00:14:07:01 他們各有各的特長
00:14:10:03 同時我再分析
00:14:13:06 唐代詩人他到底哪一個季節
00:14:15:03 寫得比較多
00:14:16:01 哪個季節寫得比較少
00:14:17:21 哪個季節寫得比較多
00:14:18:23 大概秋天會寫得多一點
00:14:19:27 為什麼
00:14:20:24 我想比較容易感懷
00:14:22:07 天氣也比較舒服
00:14:24:01 對, 包括李易安
00:14:26:06 我相信李易安
00:14:27:17 說是這個笑語檀郎
00:14:29:01 今夜紗廚枕簟涼
00:14:31:00 那是夏天
00:14:33:11 但是她也在貪涼
00:14:35:15 她也在貪涼
00:14:36:24 所以詩人大概冬天
00:14:40:16 雖然有綠螘新醅酒
00:14:43:09 紅泥小火爐的那些句子
00:14:45:04 或者是獨釣寒江雪的那些句子
00:14:48:01 但是冬天畢竟比較難受
00:14:50:24 尤其以前不太有...
00:14:52:15 沒有暖氣...
00:14:54:26 夏天又太熱
00:14:58:00 恐怕揮汗尚且來不及
00:15:00:13 所以也作品少
00:15:01:29
00:15:02:29 老師, 你也是嗎
00:15:04:18 我也是
00:15:05:14 你也是
00:15:05:27 所以我在看
00:15:06:26 唐代詩人的詩句的時候
00:15:08:13 我會一點一點看
00:15:09:17 你看, 唐代的營養一定很不錯
00:15:12:00 你看這個十三歲的女孩
00:15:13:13 就發育得很好了
00:15:14:26 娉娉褭褭十三餘
00:15:16:22 荳蔻梢頭二月初
00:15:19:08
00:15:20:14 已經在形容十三歲的女孩子
00:15:22:16 那一種豐腴美麗的
00:15:23:27 那種筆觸已經出來了
00:15:26:10 所以當我用這種笨方法
00:15:29:22 去看每一個小節的時候
00:15:32:20 你看到了些別人看不到的東西
00:15:34:23 是
00:15:36:04 它就不只是一個
00:15:37:04 文學的剖析而已
00:15:38:12 對, 你看到了詩人
00:15:39:26 活生生的站在你的面前
00:15:41:14 很生活化的
00:15:42:18 是的
00:15:43:27 因為比方說像我在看
00:15:45:24 老師的這些作品的時候
00:15:47:07 有的時候我也在想
00:15:48:17 老師挺不容易的
00:15:49:18 因為我知道老師在畫畫的時候
00:15:51:19 是
00:15:52:16 基本上尤其是像寫生的時候
00:15:55:18 你是不太會說
00:15:57:19 太冷了, 先拍著
00:15:59:02 然後我們回家慢慢畫或什麼的
00:16:01:06 你真的都是在現場
00:16:03:04 我看到...對
00:16:04:08 我看到有一個
00:16:05:15 我忘記是哪一幅畫了
00:16:06:24 你就寫說外面實在太冷了
00:16:09:00 墨都還已經結成冰了
00:16:10:28 所以還要回房間裡面
00:16:13:02 把它弄熱了之後
00:16:14:06 然後再出來是在日本的日光
00:16:17:20 日光有個湖
00:16:18:29 我在那湖旁邊寫生
00:16:21:16 然後結冰了
00:16:23:22 只好到旁邊的一個小飯店
00:16:27:25 然後到那邊喝碗湯
00:16:30:13 然後我就說你有沒有墨啊
00:16:33:00 那個老闆說有... 你來...
00:16:35:01 然後他就帶我到一邊去
00:16:36:25 看到有硯台, 有墨
00:16:38:24 怎麼那麼厲害人家擺著是
00:16:41:04 王羲之的「快雪時晴帖」
00:16:44:16 他自己寫
00:16:45:23 他自己正在練字
00:16:47:03 你也太神奇了吧
00:16:48:15 在日本日光
00:16:50:04
00:16:51:06 那個時候
00:16:51:29 我不知道到這雪地會很滑
00:16:55:16 我穿了個皮鞋跑去
00:16:57:17 那個整個都結得...
00:16:59:01 山的陰面都結著冰
00:17:01:10 走路咻...
00:17:02:26 這樣子滑很危險耶
00:17:03:24 年輕啊
00:17:05:00
00:17:06:04 我那時候
00:17:06:29 我那時候寫一個小說
00:17:09:15 叫做「水雲齋」
00:17:10:14 講一個裱畫店的師傅
00:17:12:06 老師傅
00:17:13:11 後來被日本人請去了
00:17:15:21 在東大寺那邊教裱畫
00:17:19:04 所以我就到了奈良
00:17:21:04 到東大寺
00:17:22:10 就住在那兒
00:17:24:00 然後去感覺
00:17:25:08 有的時候那個感覺很重要
00:17:27:18 所以這也是你非常堅持著
00:17:29:16 寫生一定要在現場
00:17:30:25 對的
00:17:31:16 絕對不拍照回去嗎
00:17:32:24 對, 我有的時候寫生
00:17:34:24 把寫生本這樣舉著
00:17:36:16 然後這樣子畫
00:17:37:27 我記得有一次
00:17:38:25 大概是在丹麥吧
00:17:40:03 也就是就這樣畫
00:17:42:13 上面就在下雨
00:17:43:24
00:17:45:18 還有一次在灕江
00:17:47:18 在桂林
00:17:49:02 這個雨點就劈里啪啦打
00:17:53:00 但是後來你再看的時候
00:17:54:28 畫的是雨景
00:17:56:12 那個雨點在上頭
00:17:57:26 那是活生生的雨點
00:17:59:17 突然自己就回到了那一刻
00:18:02:16 所以寫生
00:18:03:23 如果你現場寫生
00:18:05:04 真是最好的日記
00:18:07:06 那你家人也都這樣陪著你嗎
00:18:09:19 我通常寫生都是自己
00:18:12:08 但是出去旅行的時候
00:18:14:07 會太太會在旁邊
00:18:16:02 她也是會像書僮一樣
00:18:17:28 幫你捧著墨
00:18:19:08 幫你遮把傘在黃山會的
00:18:21:05 會喔在黃山
00:18:22:10 是啊
00:18:23:01 我就擠...
00:18:24:00 擠到一個山的窪窪
00:18:26:12 然後她會擠...
00:18:28:02 擠到那個山窪窪
00:18:29:15 坐在旁邊
00:18:30:24 所以像我在黃山
00:18:32:05 畫了好幾幅側頁
00:18:35:07 還有畫了好幾張大畫
00:18:37:12 那都是她做書僮
00:18:39:25 其實我原來認為她爬不上去的
00:18:43:00 後來發覺人家還真厲害
00:18:45:27 跟我一起爬山
00:18:47:00 一點不比我差
00:18:48:16 女生有的時候就會
00:18:50:08 把她那個本事藏著
00:18:52:17 對, 不要小看女生
00:18:53:20 女生爆發力是很強的當然, 厲害...
00:18:55:20 只是你不知道而且記憶力也好
00:18:57:23 有的時候我朋友打電話給我
00:18:59:05 我說你幾號
00:19:00:02 我就複述一遍
00:19:02:16 然後隔了好長一段時間
00:19:03:26 我忘了
00:19:05:16 找不到那個號碼了
00:19:06:13 我太太會說
00:19:07:03 好像那天是幾號...
00:19:09:16 媽啊
00:19:10:08 用記的耶
00:19:11:23
00:19:12:23 不過我覺得人找伴侶真的
00:19:15:24 有時候真的是挺互補的
00:19:17:20 對的
00:19:18:10 就是就算她沒有這樣子的本事
00:19:20:16 她跟你相處久了
00:19:21:25 她也會養成自己這樣的本事
00:19:23:18 有的時候
00:19:25:06 她就變得沒那個本事
00:19:27:02 譬如我愛吃木瓜
00:19:28:04 她就不愛吃木瓜
00:19:29:03 那木瓜就這樣給我吃了
00:19:31:00 她是讓你
00:19:31:27 她愛你嘛
00:19:32:24 這跟本事就無關了
00:19:35:00
00:20:09:20 劉墉年輕時就臨摹古人的畫作
00:20:12:29 磨練了近五十年的畫筆功夫
00:20:16:04 他將傳統畫可以居, 可以遊
00:20:19:03 具有豐富劇情的精神
00:20:21:11 帶給人無限想像空間的要點
00:20:23:28 發揮到極致
00:20:25:14
00:20:26:12 他在近二十歲時
00:20:27:27 所畫的「水上人家」長卷中
00:20:30:23 可以看到不論是岸邊, 舟裡
00:20:34:02 每個人物各有其姿態
00:20:37:02 而他六十多歲所畫的
00:20:38:29 「春江花月夜」更是細膩
00:20:41:27 每個人物
00:20:42:18 都在栩栩如生的互動著
00:20:45:07 走近些
00:20:46:11 彷彿可以感受到他們正在對話
00:20:49:14
00:20:50:08 劉墉作畫不但細緻
00:20:52:13 而且非常的考究
00:20:54:23 在這幅「龍山寺慶元宵」之前
00:20:58:00 還特地走訪萬華附近的耆老
00:21:01:03 務求將當年的氛圍與環境
00:21:03:16 準確的透過畫作傳達出來
00:21:06:06 去龍山寺附近寫生, 訪問
00:21:10:22 跟那些當地的老人家談
00:21:13:20 原來這個是蓮花池
00:21:16:18 坐在...
00:21:17:21 常常都坐藤椅上
00:21:19:23 在那邊, 這個小姐
00:21:21:28 這個保鑣拿著棍子出來要打人
00:21:24:16 說後面有壞小孩在偷看
00:21:27:06 這邊賣大力壯陽丸
00:21:29:11
00:21:31:15 那這邊有個動態是車子來了
00:21:35:14 所以這個就叫孩子...
00:21:38:03 趕快把小孩...
00:21:39:01 小心, 車子過來了
00:21:41:02 那個時代
00:21:42:02 汽車都沒有太多啦
00:21:44:04 我記得汽車一過
00:21:45:22 小朋友在後面聞汽油味
00:21:48:16 這裡面花燈那就太複雜了
00:21:51:12 就要慢慢慢慢一點點看
00:21:52:20 所以空間藝術
00:21:54:04 就變成了時間藝術
00:21:55:19 你可以慢慢慢慢看
00:21:57:13 它變成一個小說
00:21:58:27
00:22:02:26 老師的畫挺細的
00:22:07:01 而且有很多是非常栩栩如生的
00:22:10:16 很多山水裡面
00:22:11:25 尤其有時候我在看的時候
00:22:14:02 很多花...
00:22:15:11 尤其是花草類的
00:22:16:28 對的
00:22:17:25 有很多昆蟲在裡面
00:22:19:12 對的
00:22:19:28 然後鳥在裡面
00:22:22:06 牠們...
00:22:23:11 牠不是一般的鳥跟昆蟲
00:22:26:10 所以你還是用
00:22:27:15 研究昆蟲學跟鳥類學的心情
00:22:30:05 去畫畫嗎
00:22:31:06 我主張
00:22:32:23 我在我的書
00:22:33:29 就教繪畫的書上
00:22:35:16 一開頭我就講
00:22:36:23 我說觀物精微
00:22:39:06 你觀察物體的時候
00:22:41:14 生物的時候
00:22:42:03 你要很精細的去觀察
00:22:44:10 所以包括這個昆蟲的腳是怎樣
00:22:46:15 或者螳螂牠是怎樣
00:22:48:17 要觀物精微
00:22:50:01 然後體物有情
00:22:51:26 你要對它有情
00:22:53:02 要很喜歡它, OK
00:22:55:05 然後要移情入物
00:22:57:01 你變成它
00:22:58:17 所以譬如說我畫一隻蜜蜂
00:23:00:19 正要飛上去來採花蜜
00:23:03:18 那這時候
00:23:04:02 裡面已經有一隻蜜蜂了
00:23:06:09 那麼你會發覺
00:23:08:09 外面那隻蜜蜂會等
00:23:10:01 牠們會彼此讓
00:23:10:29 就算是不同種類喔
00:23:13:02 裡面一個小小的蜜蜂在採蜜
00:23:16:16 外面一隻大大的大馬蜂
00:23:18:11 牠會等
00:23:19:01 牠說等你一採完了
00:23:20:06 我進去
00:23:20:27 於是你觀察牠們
00:23:22:17 你就變成牠們
00:23:24:06 你就可以感觸到
00:23:26:04 原來在昆蟲的世界裡面
00:23:28:05 牠們也有禮讓
00:23:30:22 然後到最後是物我兩忘
00:23:33:15 這時候你也可能把物形忘掉了
00:23:36:27 你只是說我現在要畫一個蜜蜂
00:23:39:12 我今天畫一隻蜜蜂
00:23:41:09 是什麼物形
00:23:42:11 它自然的就東西就出來了
00:23:44:21 這個是最高的境界
00:23:46:22 所以我觀察東西
00:23:49:07 細的地方是很細的
00:23:50:13 所以可能有些讀者
00:23:52:10 讀過我的「殺手正傳」
00:23:54:09 十八萬字寫一隻螳螂
00:23:57:16 我們全家養那一隻螳螂
00:23:59:16 真養
00:24:00:18 真養啊
00:24:01:15 養到第二年的一月
00:24:04:22 好像二月初吧
00:24:06:10 我覺得我應該可以說是
00:24:07:24 破金氏紀錄了
00:24:10:02 你說一隻螳螂可以養這麼久
00:24:11:26 養到這麼久, 對
00:24:14:11 螳螂很難養
00:24:16:06 螳螂也不難養
00:24:17:16 你就是給牠抓蟲吃嘛
00:24:19:11 所以你為了牠
00:24:20:12 還要抓蟲給牠吃
00:24:21:21 對啊, 所以你要抓蟲的時候
00:24:23:00 譬如我拿一個塑膠袋
00:24:24:10 今天這個蜜蜂正在採蜜
