01:00:29:09	01:00:31:02	非常歡迎你
01:03:14:05		你是他徒弟
01:03:15:09		是, 我師父
01:03:16:23		對, 因為剛你就說
01:03:17:16		蔡家班在台灣電影圈擲地有聲
01:03:20:16	01:03:21:08	真的
01:03:21:28		蔡家班到底有多大呢
01:03:23:13		蔡家班以蔡揚名導演為首
01:03:26:06		我為中啦, 導演
01:03:28:10		其實前面有陳俊良導演
01:03:30:11		還有林鷹導演
01:03:31:16		在三立電視台, 在民視
01:03:33:14		導了很多八點檔的
01:03:35:03		那還有一個現在最厲害的
01:03:36:24		蔡岳勳導演
01:03:37:26		那這本來就出自他們家的
01:03:40:02		中間漏了一個
01:03:40:25		還有楊立國導演
01:03:41:27		楊立國導演
01:03:42:26		他是導「魯冰花」的「魯冰花」的導演
01:03:44:28		你說這個蔡家班厲害嗎
01:03:45:26		他們都是當我副導演
01:03:49:25		然後幾年以後
01:03:51:16		我覺得他們成熟了
01:03:52:22		我就投資兩部電影讓他們當導演
01:03:55:29		正式當導演
01:03:56:27		我投資, 我出錢的
01:03:58:13		然後他們成功了以後才離開我
01:04:01:05		這個也是成功了以後就離開我了
01:04:03:17		所以那時候你是有開一個學校
01:04:05:01		這樣培訓他們
01:04:06:01		沒有... 完全就是電影
01:04:08:06		我們做蔡導演的副導演
01:04:10:01		副導演
01:04:10:20		大師兄, 二師兄, 三師兄
01:04:12:11		我應該算是四師兄
01:04:14:28		小師弟是蔡岳勳
01:04:16:28		還是稱自己是師兄
01:04:18:00		其實就是老四
01:04:18:27		還稱自己是師兄
01:04:20:12		那個時候
01:04:21:03		好像你還在念書對不對
01:04:22:11		對, 我在念東吳大學
01:04:25:02		那時候為什麼你會想說
01:04:26:04		要跟著蔡導演一起拍戲
01:04:27:26		是因為曾經是他的粉絲嗎
01:04:29:21		還是說...
01:04:30:20		也不是因為我們知道蔡導演
01:04:31:19		以前是很帥的台語劇大明星
01:04:35:28		拍過好多戲
01:04:37:06		你看, 萬人空巷耶
01:04:39:04		那時候是為什麼會跟著蔡導演
01:04:40:27		其實我老早就在大學一年級
01:04:42:28		做臨時演員, 演死人
01:04:44:19		真的假的
01:04:45:11		對啊, 我就進了電影圈
01:04:46:22		然後靠著自己努力
01:04:48:23		做到場記, 做到副導演
01:04:50:28		然後跟到蔡導演
01:04:53:00		蔡導演就真的是我的再造恩人
01:04:56:28		這麼講不怕肉麻
01:04:58:06		就是說蔡導演一來
01:04:59:24		就丟了一本劇本給我寫
01:05:02:04		我完全不會寫劇本的人
01:05:03:24		他說你是大學生嘛
01:05:05:04		你應該能寫吧
01:05:06:03		就這樣而已
01:05:06:23		就這樣子丟給我寫
01:05:07:25		沒有, 我買了那個
01:05:09:06		「錯誤的第一步」的小說
01:05:11:06		小說版權
01:05:12:11		電影版權
01:05:13:08		對
01:05:13:28		那我的副導是朱延平導演
01:05:17:09		那個時候是副導
01:05:18:18		我覺得這個副導很有才華
01:05:21:05		你那時候為什麼會看出
01:05:22:02		他很有才華
01:05:23:08		第一, 他就要來我這裡就先說
01:05:26:16		我晚上要去念東吳大學
01:05:29:20		還繼續在學校我要跟導演說
01:05:31:26		晚上我要念書的
01:05:33:07		你可以用我嗎很認真...
01:05:34:16		對
01:05:34:28		然後他文筆又好
01:05:37:04		我就把那個電影版權的小說
01:05:40:10		交給朱導演去寫
01:05:42:24		改編成電影劇本
01:05:44:25		那一次他就得獎了
01:05:46:21		對, 那是我這一輩子
01:05:48:07		唯一的一個獎
01:05:49:15		亞洲影展得到編劇獎
01:05:52:06		是處女作嗎
01:05:53:02		處女作, 處女寫
01:05:54:12		那時候你幾歲
01:05:55:15		我那時候三十左右吧
01:05:57:12		那時候已經三十了
01:05:58:27		二十八, 九吧
01:05:59:18		我以為大學生是二十出頭那種
01:06:01:06		我是當兵回來以後才考了大學
01:06:03:08		那你真的很認真耶
01:06:04:13		對...
01:06:05:10		你知道, 因為我為什麼
01:06:06:16		今天見到兩位真的很開心
01:06:07:26		是因為我在網路上查兩位的資料
01:06:10:05		尤其是朱導演的資料的時候
01:06:12:13		你得到的是第二十五屆
01:06:13:25		亞太電影節最佳編劇獎
01:06:16:17		但我在網上看到一個編劇獎的全名是
01:06:19:21		最富倫理道德價值意義編劇
01:06:23:14		你知道我看到這個名字的時候
01:06:25:04		我想說
01:06:26:03		這一段我一定要跟我爸說一聲
01:06:28:00	01:06:30:22	他一定會講說怎麼可能, 那個朱下流
01:06:32:03		怎麼可能得到
01:06:33:01		最富倫理道德價值意義編劇
01:06:36:17		這真的是當時的名字嗎
01:06:37:26		所以你看嘛我真的是被冤枉了好多年
01:06:40:29		導演你不知道為什麼叫朱下流吧
01:06:42:21		我跟她爸爸曾志偉
01:06:44:25		還有王晶
01:06:45:24		我們三個人自稱下流幫
01:06:48:06		因為我們以前都沒拿過獎嘛
01:06:50:09		就我們自甘下流
01:06:51:15		所以她爸爸叫曾下流
01:06:54:03		王晶叫王下流, 我叫朱下流
01:06:56:06		其實他們不知道朱下流
01:06:57:09		老早就先拿過
01:06:58:15		亞洲倫理道德意義價值編劇獎
01:07:02:19		你看看全名你還記得
01:07:03:26		我還要寫起來耶
01:07:05:05		這是我唯一的一個獎啊
01:07:07:05		不過可是蔡導演
01:07:08:19		你看你的徒弟們在這麼些年來
01:07:11:16		對台灣不管是電視或電影的貢獻
01:07:14:08		真的是大家有目共睹的
01:07:16:20		你自己當然本身也做了很多很棒的作品
01:07:19:02		你看著他們成長的心情
01:07:20:24		是怎麼樣呢
01:07:21:27		而且他還得了一個什麼倫理道德
01:07:24:01		我都不願意再講這個
01:07:25:20		真的很安慰
01:07:26:27		很安慰但是問題是
01:07:28:15	01:07:31:12	跟我做副導演是很辛苦的
01:07:32:14		我給他們很大的責任
01:07:34:00		當然也給他們很大的權力
01:07:36:25		所以跟了幾年以後我就知道
01:07:40:10		可以培養成台灣一位導演出來
01:07:43:19		所以我這樣連續培養了
01:07:46:00		連蔡岳勳是...
01:07:47:02		蔡岳勳我也有投資, 五個
01:07:49:11		你在太太的肚子裡
01:07:50:23		就開始培養他了
01:07:51:21		你記得將來要當導演
01:07:53:17		你最看重的新人導演的特質是什麼呢
01:07:57:16		你最看重的新人導演的特質
01:07:59:21		除了聰明, 上進
01:08:01:17		有文筆, 負責有倫理道德之外
01:08:04:08		還有什麼呢
01:08:05:13		就是他的特質就是肯用心
01:08:09:01		不怕吃苦
01:08:10:17		而且對電影要熱愛
01:08:12:19		而且要很有誠意
01:08:14:17		我這些副導演
01:08:15:22		都具備有這個條件
01:08:17:20		尤其我們朱導演真的是
01:08:20:04		我公司全部他在管耶
01:08:21:22		連請小妹都他在請
01:08:24:14		他很樂意吧沒有, 我跟你講
01:08:25:25		跟蔡導演壓力其大無比
01:08:28:03		因為他...
01:08:29:18		我們蔡導演是拍完戲
01:08:31:02		絕對就立刻不見了
01:08:32:24		你永遠都找不到他
01:08:34:00		你不知道他去哪裡
01:08:35:00		然後明天要拍的東西
01:08:36:21		你要自己想好
01:08:37:27		所以我覺得導演給我們
01:08:38:25		你錯了... 你這句話就錯了
01:08:41:17		是
01:08:42:08		我因為剛有講過
01:08:43:19		我兩個月殺青以後
01:08:45:13		再兩個半月到三個月一定要開鏡
01:08:48:04		所以我的工作人員
01:08:49:06		什麼場務, 燈光
01:08:50:21		一輩子沒換過
01:08:52:24		那我副導演就是等他們到成熟
01:08:56:03		培養他們為導演以後
01:08:58:00		才離開, 才換新的回來
01:09:00:01		這位是第三位
01:09:01:27		楊立國是第四
01:09:03:19		原來你是三師兄了
01:09:04:15		然後我在收工之前你要記得
01:09:08:10		我都會把明天第一個鏡頭
01:09:11:12		演員, 工作人員
01:09:13:27		導演, 化妝
01:09:15:02		那個副導演, 化妝都在現場
01:09:17:06		我就排給他們看一遍
01:09:19:17		那我就說
01:09:20:28		副導你明天先把這些鏡頭弄好了
01:09:24:20		準備好了
01:09:26:02		然後你負責通告我
01:09:30:00		那像他們都會通告說明天七點鐘
01:09:33:08		那如果演員比較麻煩的
01:09:35:10		演員六點鐘到化妝
01:09:37:00		如果是明天第一個鏡頭
01:09:38:27		燈光很麻煩
01:09:40:00		那就燈光要六點鐘到
01:09:42:00		那我的通告
01:09:43:07		他忘了, 都是他在定
01:09:45:12		他會說明天
01:09:46:28		導演, 你大概七點四十到
01:09:49:04		那我就七點四十
01:09:50:13		車子就開到
01:09:51:22		他們就說導演到了...
01:09:54:00		然後我進來以後他們已經試過了
01:09:57:01		副導演都試過戲了
01:09:59:03		所以我進來坐下來
01:10:00:23		我就好, 正式試一遍
01:10:02:26		那就大家就正式試了
01:10:05:15		大概...
01:10:06:24		我大概就是因為
01:10:08:22		靠這些副導演的全力支持
01:10:12:00		大概到現場二十分鐘以內
01:10:14:10		一定拍完第一個鏡頭
01:10:16:20		所以他們就...
01:10:18:14		我才能信任他們
01:10:19:25		培養他們當導演啊
01:10:21:03		不是說沒有根據
01:10:25:25		而且讓他們當導演
01:10:27:18		我這樣聽完這一整段
01:10:29:24		我會覺得蔡導演
01:10:30:19		其實是我們演員心目當中的
01:10:32:10		A級導演
01:10:33:23		什麼叫A級導演
01:10:34:25		A級導演除了要有才華之外
01:10:36:28		腦筋很清楚
01:10:38:14		知道自己要什麼, 不要什麼
01:10:39:29		就事論事, 按部就班
01:10:42:03		而且很有規矩
01:10:43:21		你知道有很多很有才華的導演
01:10:45:11		都是來了再說
01:10:47:08		現場就想一想
01:10:48:13		你走兩遍看看
01:10:49:29		今天拍不了, 明天再來
01:10:51:13		這個就算再有才華
01:10:52:15		也挺折磨人的, 對不對
01:10:54:14		可是A級導演就是
01:10:56:05		也很清楚知道自己要什麼
01:10:58:01		所有的工作人員, 演員
01:10:59:23		都在對的位置上
01:11:01:16		才能夠拍這麼多部
01:11:03:17		而不是...
01:11:04:29	01:11:06:10	我們不說誰了
01:11:07:19		那今天我很榮幸能夠訪問到兩位
01:11:10:11		是因為蔡導演在二○一三年暑假的時候
01:11:14:16		在美國的紐約
01:11:16:07		算是亞洲電影節吧
01:11:18:01		然後得到了終身成就獎
01:11:20:05		對
01:11:20:26		這個是多麼不容易的事
01:11:22:25		紐約耶
01:11:23:29		那等於是世界級的肯定了耶
01:11:26:15		這個我就要講說
01:11:28:06		讓美國人來肯定蔡導演的成就
01:11:30:24		是非常不容易的
01:11:32:09		對, 真的很不容易
01:11:34:03		那相對來說台灣其實有一點
01:11:38:00		忽略了我們蔡導演
01:11:39:04		對台灣電影的貢獻
01:11:40:17		沒有...
01:11:41:16		沒有, 蔡導演
01:11:42:13		他其實在那個時候
01:11:43:17		是呼風喚雨的
01:11:44:27		在蔡導演那個年代開啟了這個
01:11:47:22		他其實不是黑幫電影之父
01:11:50:01		他也拍了很多其他類型的電影
01:11:52:10		像「大地飛鷹」
01:11:53:11		「大地飛鷹」
01:11:53:26		對啊, 那時候也創了
01:11:55:06		武俠片的一個新的
01:11:56:19		完全新的風潮
01:11:58:07		金馬影帝這次會回來
01:11:59:25		導演, 王冠雄
01:12:01:05		就是我們蔡導演
01:12:02:25		一手把他做起來
01:12:03:24		成為亞洲的巨星
01:12:04:29		他其實對台灣的電影貢獻
01:12:06:23		一點都不亞於任何的導演
01:12:10:02		我覺得台灣有的時候
01:12:11:18		你講到台灣電影
01:12:12:21		好像只有新浪潮
01:12:15:02		好像沒有別的了
01:12:16:02		其實你像這些了不起的導演
01:12:17:26		在那個時候獨領風騷
01:12:19:11		帶動了整個電影的一個潮流
01:12:22:14		都是了不起
01:12:23:15		所以美國紐約影展會想到說
01:12:26:15		給蔡導演一個終身成就獎
01:12:28:21		讓美國人來肯定我們導演
01:12:30:25		我覺得是...
01:12:31:24		對導演是一個有一點委屈啦
01:12:34:09		我覺得很棒...
01:12:37:09		我都想不到
01:12:38:23		對啊
01:12:39:09	01:12:40:26	真的是很意外
01:13:12:17		聽說美國紐約影展
01:13:14:29		在幾年前就到台灣來看我的電影
01:13:17:28		蒐集我的資料
01:13:19:13		他認為說在戒嚴時期
01:13:21:25		敢挑戰政府, 拍這種社會寫實
01:13:26:18		討論社會的問題
01:13:28:17		然後他們研究了幾年
01:13:31:23		決定今年頒給我
01:13:33:04		這個終身成就獎
01:13:36:04		我真的很感謝紐約影展
01:13:39:12		這樣讓我覺得呢
01:13:41:06		電影是個有希望的行業
01:13:44:20		只要你很用心
01:13:46:07		一定會得到成果
01:13:48:15		真的很安慰請問他們當時第一時間
01:13:51:06		通知你這個消息是什麼反應
01:13:54:03		是在家裡嗎
01:13:54:25		那個時候還是...
01:13:56:13	01:13:59:01	我第一時間以為是詐騙集團
01:14:00:13		真的嗎
01:14:00:28		就想不可能啊
01:14:02:17	01:14:04:20	台灣人都不理我
01:14:05:07		除了我們這些好朋友之外
01:14:07:15		美國人幹嘛呢
01:14:09:18		怎麼可能呢
01:14:10:23		到台灣來蒐集我的資料
01:14:12:25		瞭解我的背景
01:14:14:24		它那邊的報紙登了是
01:14:17:28		電影界的傳奇人物
01:14:20:08		主演了兩百多部電影
01:14:22:10		主演, 都男主角
01:14:23:27		然後導演了八十部電影
01:14:26:15		他們認為說美國人做不到
01:14:28:21		所以他們才會把這個終身成就獎
01:14:31:18		頒給我
01:14:32:20		美國人是真的做不到
01:14:33:19		做不到
01:14:34:06		沒有一個人做得到
01:14:35:16		全世界真的沒有一個人做得到
01:14:37:20		這真的是傳奇了
01:14:39:15		那你領獎的時候呢
01:14:40:23		領獎的時候
01:14:41:17	01:14:43:14	請問你在台上說了些什麼
01:14:44:16		我說真的太興奮了
01:14:47:06	01:14:48:03	我覺得
01:14:49:16		這個禮物好像是天上掉下來的
01:14:52:11		我自己都想不到
01:14:54:02		我沒想到說你們那麼用心
01:14:57:08		去蒐集我的資料
01:14:59:01		真的非常感謝
01:15:00:16		這是我這一輩子
01:15:01:29	01:15:04:03	最快樂的一個時刻
01:15:05:14		好棒
01:15:06:12		真的很棒
01:15:07:01		好感動
01:15:08:16		我在看導演資料的時候
01:15:09:18		我就在想說會不會是...
01:15:11:08		因為導演希望把光環留給年輕人
01:15:15:01		比方說不管是你們
01:15:17:07		或者是自己的兒子
01:15:19:07		蔡岳勳導演
01:15:20:01		這幾年也都非常的努力
01:15:21:19		而且成績也都很好
01:15:23:18		會不會是因為你想把光環留給他們
01:15:26:10		所以你就漸漸的
01:15:27:24		盡量也不接受訪問了
01:15:29:25		比較退到幕後
01:15:30:23		我都是這樣子想的
01:15:32:06		所以你看, 約你訪問很難
01:15:33:24		對
01:15:34:16		我很低調
01:15:35:25		真的, 我非常低調
01:15:37:28		我真的不喜歡訪問
01:15:39:25		你為什麼要這麼低調呢
01:15:42:00		就個性, 我個性很靦腆
01:15:44:28		那奇怪了
01:15:45:27		很靦腆的個性就走到這條路來
01:15:48:24		我跟蔡導演學到一樣很重要的事
01:15:52:10		就是要有計畫拍電影
01:15:55:05		這是蔡導演能夠拍八十部
01:15:57:10		否則你就剛你說的那種
01:15:58:27		到現場再來想
01:16:00:12		三年拍一部的那種
01:16:01:19		可能拍八部就已經到底了
01:16:03:22		對不對
01:16:04:16		那我從蔡導演那邊學到
01:16:05:27		拍電影是一個很專業的
01:16:08:22		很職業的, 很有紀律的
01:16:10:23		很有想法的一個拍戲方式
01:16:14:16		那我們當年
01:16:16:00		因為台灣的版權地區有限
01:16:20:03		所以資本有限
01:16:21:29		你不能這樣海闊天空拍
01:16:24:21		所以導演要負責時間控制
01:16:27:27		資本預算的控制
01:16:29:28		我們絕對不敢超出成本
01:16:32:08		像朱導演也是這樣的
01:16:34:03		他從來沒有超過預算完全對老闆負責任
01:16:36:09		對, 老闆就是我的衣食父母
01:16:38:28		這樣子講
01:16:39:19		老闆就是我們的天嘛, 對不對
01:16:41:13		可是據我所知
01:16:42:26		其實拍攝的品質並沒有因為
01:16:45:18		比方說時間, 成本而降低
01:16:47:25		像我有看到一個消息說
01:16:49:13		當年拍「大地飛鷹」的時候
01:16:51:21		因為那個沙的顏色不夠漂亮
01:16:54:06		是潮濕還是怎麼樣
01:16:55:20		你是不是還有請人把那個沙炒乾
01:16:57:22		沒有, 我跟你講
01:16:58:13		那個時候因為我的戲
01:17:00:07		都是還沒有拍完
01:17:01:22		還沒有拍就檔期先定
01:17:04:06		「大地飛鷹」定在青年節
01:17:06:25		三二九
01:17:08:01		那麼過年的時候
01:17:09:20		白沙灣都下雨嘛
01:17:11:05		整個白沙灣是黑的, 黑沙
01:17:13:22		那我要拍那種
01:17:14:20		王冠雄男主角走過沙漠
01:17:17:15		然後很渴, 那怎麼拍
01:17:20:05		我們那時候的工作人員也很好
01:17:22:29		年初一就是場務跟劇務
01:17:26:02		全部帶了人拿一個鍋子
01:17:28:00		然後去那邊炒沙
01:17:29:05		炒沙是什麼畫面啊
01:17:31:25		然後你看白沙灣那麼大
01:17:33:19		你怎麼炒
01:17:34:17		炒了兩天
01:17:35:08		他說導演我們怎麼炒都炒不夠
01:17:38:11		對啊
01:17:39:10		後來就找附近村民全部出來
01:17:42:28		就幾十個人, 上百人
01:17:44:19		就在那邊炒沙, 你知道
01:17:46:06		我當年怎麼沒有把這個畫面拍下來
01:17:48:26		壯觀
01:17:49:14		壯觀啊
01:17:50:02		這個真的是破紀錄的
01:17:51:00		上百人在那邊炒沙子
01:17:53:00		炒沙, 我覺得這個終身成就獎
01:17:55:03		應該要寫在裡面你知道
01:17:56:11		這絕對也很少有導演會這麼做
01:17:58:00		沒有聽過吧
01:17:58:27		沒有聽過啊
01:18:00:01		然後你看白沙灣整個沙把它炒白
01:18:03:04		然後我初七
01:18:05:18		初七就去拍
01:18:07:16		拍王冠雄過那個大沙漠
01:18:10:21		然後他很渴
01:18:12:11		因為你沙漠要很熱啊
01:18:14:02		他才會很渴, 渴得要死
01:18:15:21		因為他有武功的人
01:18:17:06		然後就看到有一隻飛鷹飛過來
01:18:19:13		他跳上去抓了飛鷹下來
01:18:21:27		把毛拔掉, 就喝牠的血
01:18:24:18		這個因為你武俠片
01:18:26:20		你打死幾百個人
01:18:29:06		人家就說那都是武行
01:18:31:17		到天上去抓一隻大鷹下來
01:18:34:13		飛鷹下來
01:18:35:09		把牠毛拔掉這樣吸了血喝
01:18:37:22		就知道他有多厲害
01:18:40:15		多man啊
01:18:41:20		就是
01:18:42:08		我都記得那個鏡頭
01:18:43:11		大概拍了一百多次
01:18:44:28	01:18:46:08	王冠雄抓不到
01:18:47:03		誰抓得到啊導演記得嗎
01:18:48:13		他跳彈簧床, 這邊丟老鷹嘛
01:18:50:21		一邊丟老鷹
01:18:51:07		這是什麼畫面
01:18:52:06		就要在空中看他抓到那個飛鷹嘛
01:18:54:29		多難啊
01:18:55:27		導演就一定要拍到那個鏡頭
01:18:57:08		一定要拍到
01:18:58:04		你說現在多好, 有特效
01:18:59:02		就是抓到了...現在有特效
01:19:00:20		就假裝抓東西就可以了
01:19:02:05		我們當年都硬拼的
01:19:04:13		那個時候真的他也幫了很大的忙
01:19:06:11		我的印象好深
01:19:07:17		像我們剛回想起
01:19:08:19		除了「大地飛鷹」之外
01:19:10:04		「錯誤的第一步」
01:19:11:01		對
01:19:11:20		那個時候開啟了那個黑幫電影風潮
01:19:14:26		我記得我小時候
01:19:15:23		在看那些黑幫電影的時候
01:19:16:23		我都嚇死了
01:19:18:02		因為以前生活很單純
01:19:20:08		不知道這個世界
01:19:21:10		原來有所謂的黑社會這種事情
01:19:23:26		然後也不曉得說原來女生
01:19:26:00		就可以做一些另類的事情
01:19:28:07		為什麼蔡導演在當時民風這麼純樸
01:19:31:28		又保守, 又戒嚴的情況之下
01:19:34:12		要挑戰這麼難拍的題材呢
01:19:37:03		我從邵氏公司
01:19:39:14		香港回到台灣來
01:19:41:09		我一直都拍武俠片跟動作片
01:19:44:17		有一天看了一本小說
01:19:45:29		叫做「錯誤的第一步」
01:19:48:25		讓我聯想到
01:19:50:08		台灣有一句成語是說
01:19:53:24		仙人打鼓有時錯
01:19:56:19		腳步踏差誰人無
01:19:59:19		意思就是說
01:20:00:21		連神仙在打鼓都會打錯
01:20:03:04		人做錯了事
01:20:05:09		如果他想悔改, 他想回頭
01:20:07:21		我們應該包容, 應該接受他
01:20:11:11	01:20:13:15	所以我就用這種精神
01:20:14:12		來拍這部「錯誤的第一步」
01:20:16:18		沒想到上演以後大轟動
01:20:20:25		然後台灣就跟起了
01:20:22:16		大家都一起拍
01:20:23:09		拍了好多, 上百部
01:20:26:07		然後那個時候
01:20:28:01		台灣才有這個社會寫實片
01:20:31:11		這個名詞
01:20:32:14		就是因為「錯誤的第一步」開始
01:20:35:10		不過其實我覺得
01:20:36:09		拍電影真的是很妙的事情
01:20:37:23		因為有的題材
01:20:39:13		是可遇不可求的
01:20:41:13		你真的不知道
01:20:42:14		你有天走在路上
01:20:43:16		突然之間靈機一動
01:20:45:01		題材就到你身上的那個感覺
01:20:47:14		比方說像「大頭仔」
01:20:50:00		「大頭仔」
01:20:51:19		我小時候好喜歡那部片喔
01:20:54:01		我小時候真的覺得
01:20:55:07		那時候覺得萬梓良超...
01:20:56:13		我覺得那是萬梓良狀態最好的時候了
01:20:58:23		拿影帝, 那部戲金馬影帝
01:21:00:10		他說拍了兩百多部
01:21:02:12		只有那部戲拿到影帝
01:21:04:17		就那部戲
01:21:05:07		而且那個題材
01:21:06:07		好像也是你無意之間碰到的對不對
01:21:09:01	01:21:11:19	「大頭仔」是的確有這個人
01:21:13:03		這個故事發生在嘉義
01:21:15:13		我知道這個故事的時候
01:21:17:10		知道這件事的時候
01:21:18:26		他被判死刑
01:21:20:16		關在台南看守所
01:21:22:28		那麼他的家人
01:21:24:22		從嘉義到台南要去跟他會面
01:21:27:18	01:21:29:01	車禍死了
01:21:30:08		我就覺得說
01:21:31:13		這就是印證歹路不可行
01:21:34:15		所以我就去找人去訪問他
01:21:37:04		去蒐集他的資料
01:21:39:09		然後就來把它拍成「大頭仔」
01:21:43:08		因為當時其實台灣
01:21:44:14		民風真的算保守的
01:21:47:01		其實拍「錯誤的第一步」
01:21:48:15		在台灣是一個非常非常大的挑戰
01:21:51:20		導演, 記得在寶斗里拍嗎
01:21:53:25		我們蔡導演
01:21:54:28		堅決要在寶斗里實境拍攝
01:21:57:09		這是因為什麼呢
01:21:58:17		因為我們標榜的是真人實事
01:22:03:02		所以我一定要到
01:22:04:27		那個故事發生的地方去拍
01:22:07:12		寶斗里之難, 還有蘭嶼
01:22:09:21		那我的工作人員就苦了
01:22:11:16		最苦的就是副導演
01:22:13:13		你知道什麼叫寶斗里嗎
01:22:15:16		我知道就是妓女戶嘛
01:22:16:27		紅燈區...
01:22:17:28		對... 整個區
01:22:19:10		多亂, 龍蛇混雜
01:22:21:10		你想想看
01:22:21:28		而且在晚上那個時候
01:22:23:13		我這一輩子都忘不了
01:22:24:15		你為什麼不搭景呢
01:22:25:25		那時候導演就是要實景我不肯搭景, 要實地
01:22:28:16		然後機器一架, 燈一打
01:22:30:09		你想那邊混混去嫖妓的說
01:22:33:16		拍電影
01:22:34:26		就罵, 就翻臉了
01:22:36:29		拍到你去逛窯子戶, 你肯嗎
01:22:39:20		所以你也不能說走開...
01:22:41:09		那邊讓開, 不要看
01:22:43:12	01:22:44:27	一把刀就過來了
01:22:46:03		真的冒生命危險在拍
01:22:48:05		但是蔡導演就堅持
01:22:49:18		拍出來的東西就是漂亮
01:22:51:12		就是寫實, 震撼
01:22:53:17		我敢說第一部在寶斗里拍攝的電影
01:22:56:17		可能也只有這部了
01:22:57:23		而且唯一的一部
01:22:59:02		導演, 沒有了, 後面沒有了
01:23:00:12		不敢了
01:23:01:05		這個對副導演來說是很大的挑戰
01:23:04:06		尤其那時候你又還年輕
01:23:05:14		我們導演也找了幾個...
01:23:07:01		彪形大漢嗎
01:23:07:24		很大咖的兄弟在那邊圍事
01:23:10:29		我一看有不對
01:23:12:05		我就立刻躲到那個大咖後面去
01:23:14:13		因為副導演要吼嘛
01:23:15:24		那邊的人走過來, 那邊
01:23:17:04		你膽子很大耶對啊
01:23:18:20		一看有一個凶神惡煞衝過來
01:23:20:06	01:23:22:10	我立刻到大咖後面去躲著
01:23:23:11		很可怕
01:23:24:12		可是我覺得那個時候
01:23:25:05		台灣雖然你說民風保守
01:23:26:27		但拍戲的氣氛應該還是很好的
01:23:29:11		太好了
01:23:30:09		拍戲的氣氛特好
01:23:31:06		就是真的很像一家人那樣
01:23:33:06		住進宿舍
01:23:34:17		現在沒有了
01:23:36:01		那個感覺現在沒有辦法體會
01:23:38:17		沒有辦法體會我們那個
01:23:39:16		你看我工作人員只有用一批
01:23:42:00		副導演就是給他責任給他權力
01:23:45:07		到他成熟我就投資讓他當導演
01:23:48:06		然後就讓他出去外面, 離開我
01:23:50:23		再換新的副導
01:23:52:06		我從來沒有換過人
01:23:53:26		然後現在好像
01:23:54:20		一部戲沒拍完就換
01:23:56:03		對啊, 我們在導演這邊
01:23:57:12		就像在家裡一樣
01:23:59:07		他小妹的
01:24:01:18		也是我來應徵的
01:24:02:25		他的這個...
01:24:03:27		有的時候調頭寸
01:24:04:25		我還要告訴導演
01:24:05:27		今天明天有多少的頭寸
01:24:07:17		趕快要準備
01:24:08:18		我這副導演是連他家的事我都有管
01:24:11:19		我們就是一家人的感覺
01:24:13:21		那導演就覺得把你帶...
01:24:15:14		帶到一個地步
01:24:16:27		他就給你一部電影
01:24:18:02		去讓你自己獨當一面
01:24:20:10		他不是把你扒在手上用二十年
01:24:22:11		不是的
01:24:23:07		他就給你一個
01:24:24:08		我這一輩子
01:24:25:08		受到導演最大的教誨就是
01:24:27:13	01:24:29:18	他告訴我你要拍喜劇
01:25:02:13		我這一輩子
01:25:03:03		受到導演最大的教誨就是
01:25:05:12		他告訴我你要拍喜劇
