01:00:30:16	01:00:32:27	雕塑藝術家楊奉琛
01:04:33:24		所以我們開始連續
01:04:36:01		很認真的做了
01:04:37:24		做了一些
01:04:38:29		如果有一些重疊
01:04:40:10		或者是元素重複了
01:04:43:10		那常常也是因為我們有時候
01:04:46:14		無法每年都做啦
01:04:47:18		因為做了以後
01:04:48:28		年都不要過了
01:04:51:14		所以就讓有些徒弟
01:04:54:02		讓自己的同伴
01:04:55:13		他們去競爭吧
01:04:57:27		其實你看這麼多年
01:04:59:02		因為其實我印象當中
01:05:01:11		所謂的主燈應該都還是
01:05:02:26		跟當年的生肖的主題
01:05:05:06		是有契合的
01:05:06:17		所以陸陸續續我們看到
01:05:07:25		很多不同的動物好朋友
01:05:11:11		是...
01:05:11:28		都以一個
01:05:13:04		比較特別的形象出現了
01:05:15:27		你知道, 像大家印象比較深刻
01:05:17:15		比方像羊
01:05:18:27		羊印象大家很深刻
01:05:20:14		我印象比較深刻像猴子
01:05:22:12		是
01:05:22:25		猴子那一年
01:05:23:21		是我在看的時候
01:05:25:16		我想說這跟其他幾年
01:05:27:04		感覺有點不太一樣
01:05:28:04		因為其他幾年
01:05:29:07		金屬的感覺是比較強烈的
01:05:32:08		那猴子的那個感覺
01:05:34:10		還真的挺像猴子
01:05:35:13		挺像孫悟空的感覺
01:05:36:11		猴年那一年
01:05:37:09		我們覺得它是齊天大聖
01:05:40:28		七十二變
01:05:41:24		所以那個變化我們就會更猛的
01:05:44:10		去做一些創意的變化
01:05:47:00		那羊年那一年
01:05:48:09	01:05:49:22	我們覺得
01:05:50:10		我們常有時候覺得說
01:05:52:17		要挑戰寫實
01:05:54:05		所以那年我還特別用不鏽鋼
01:05:56:04		做了一個毛茸茸的感覺
01:05:58:04		把不鏽鋼的那種特質
01:06:00:25		毛茸茸的感覺
01:06:02:07		不鏽鋼跟毛茸茸
01:06:03:11		好難聯想在一起
01:06:04:20		就是說白天它都是一個
01:06:06:13		很完整的作品
01:06:07:25		那到了晚上還千變萬化
01:06:10:19		會呼吸
01:06:11:19		會跟著音樂的節奏做變化
01:06:14:16		那現在目前好像還被保養在台中的公園
01:06:18:26		希望有天能夠發光
01:06:20:18		對, 因為很多人都應該會很好奇說
01:06:23:09		燈會結束了
01:06:24:19		我們喜歡的這些燈
01:06:26:23		會在哪裡呢
01:06:28:02		我們還可以去哪裡看到它們呢
01:06:29:13		基本上我們做的七次的燈
01:06:31:27		都還都做了保留
01:06:34:14		尤其高雄的那個「鰲躍龍翔」
01:06:37:14		聽說最近我們高雄
01:06:39:12		有一些大的計畫
01:06:41:07		還要把這個
01:06:42:05		「鰲躍龍翔」的這一個燈
01:06:44:19		給請下來
01:06:45:26		擺在跟觀眾容易拍照的位置上
01:06:50:00		那尤其這個燈在去年也是龍年
01:06:55:13		那我用過去做的經驗
01:06:57:18		現在也挑戰
01:06:58:29		登陸了北京的那個地壇公園
01:07:02:28		全世界的燈光比賽
01:07:05:01		那我們也很榮幸
01:07:07:07		又被當作主燈發表
01:07:11:24		我覺得也是因為老師在做的這些
01:07:14:14		雖然我們一開始的時候
01:07:15:11		介紹老師是雕塑藝術家
01:07:18:00		可是事實上老師還有另外一個頭銜
01:07:20:00		叫光雕藝術家
01:07:21:07		這個是很少聽到的
01:07:24:04		我記得我在做功課的時候
01:07:25:23		一聽到, 一看到老師
01:07:27:07		光雕藝術家我想說是打錯字嗎
01:07:30:24		我怎麼從來沒看過
01:07:31:19		至少我在我曾經讀過的書上
01:07:34:07		是從來沒看過這個形容詞的
01:07:36:28		所以光雕藝術家
01:07:38:02		以全世界來講
01:07:39:05		其實是非常少的對不對
01:07:41:02		我們運氣很好
01:07:42:10		曾經我做過
01:07:44:12		北京奧運國際雕塑評審委員
01:07:47:28		我們評審兩百多個國家的雕塑
01:07:51:12		從全大陸到全世界的雕塑界
01:07:57:04		我們還沒有看到
01:07:58:21		有以發光為主的雕塑
01:08:02:26		所以我們覺得也自信滿滿
01:08:04:23		所以最近我們傾全力
01:08:07:19		就是用這種高科技的結合
01:08:12:18		尤其現在LED的這個再現
01:08:16:04		它取代了過去比較繁重的這種電影燈
01:08:21:14		因為那個太耗能量了
01:08:23:02		那LED越做越好
01:08:24:29		我覺得現在的取代功能更高
01:08:28:06		今年我也為北京
01:08:31:18		第九屆園林博覽會的台灣園
01:08:34:22		做了一個九公尺的鳳凰
01:08:37:04		也永久的佇立在我們台灣園
01:08:40:26		那其實雕塑跟光的結合
01:08:43:22		既然在全世界是這麼少見
01:08:45:28		當時你們是怎麼發想出來說
01:08:48:28		不要只做雕塑
01:08:50:00		雕塑應該要跟光結合
01:08:51:15		做一點不一樣的東西呢
01:08:53:17	01:08:55:03	我想這個
01:08:55:26		我父親給我很大的一個教導跟啟示
01:09:01:04		我覺得這個世紀
01:09:03:09		實在是一個整合的世紀
01:09:05:24		我覺得我們要運用自己的專業
01:09:08:26		可是同時
01:09:10:03		我們也非常留意這個周邊
01:09:14:09		不同種類的專業
01:09:16:21		特別藝術跟科學一結合
01:09:19:24		特別藝術的創作
01:09:22:14		能夠跟現在的環境
01:09:24:11		跟現在所有各個方面的
01:09:27:07		這種專業的這種人才結合
01:09:30:08		所以這個二, 三十年來
01:09:32:13		我們經常都是去開發新的塑材
01:09:36:23		新的發光的原材
01:09:39:23		然後我們每一年
01:09:41:21		基本上都不斷地做實驗
01:09:44:06		那同時也希望
01:09:46:27		這樣子的發光雕塑
01:09:48:21		也能夠跟建築結合
01:09:52:01		跟環境結合
01:09:54:10		我們也確信未來的建築
01:09:56:21		可能會跟這種
01:09:59:20		能夠律動的這種光
01:10:01:16		也能夠結合
01:10:03:10		這樣是一個很美麗的世界
01:10:05:26		那像老師的那些燈啊
01:10:08:04		因為...
01:10:08:27		你知道
01:10:09:14		每次我們去看燈會的時候
01:10:11:05		不見得每個人都能擠到
01:10:13:06		就是最靠近
01:10:14:15		然後能夠這麼仔細的看說
01:10:16:05		原來這些燈是從哪裡出來的
01:10:17:26		但是比方說
01:10:19:00		就算我們不去現場
01:10:20:04		我們在家裡看的時候
01:10:21:01		我們也會訝異說
01:10:22:09		為什麼這些燈
01:10:23:13		會有這麼多千變萬化的變化
01:10:26:17		然後跟這些雕塑做結合
01:10:28:13		它好像不只是在外面打進去的
01:10:31:02		它有很多是在從裡面發出來的
01:10:33:27		是這樣嗎
01:10:35:03		所以我們平常靠著實驗的經驗
01:10:39:08		那還有就是更重要的就是說
01:10:41:24		藝術它要生活化
01:10:43:19		藝術要生活化
01:10:45:10		那我常常就是說長期的做雕塑以來
01:10:48:08		我已經發現雕跟塑這兩個字
01:10:53:04		其實是中國文化裡面
01:10:55:14		最重要的一種陰陽哲學
01:10:59:06		比方說我們看得見的物體
01:11:01:15		把不要的去掉
01:11:03:13		那就叫雕
01:11:04:23		塑就是把要的物品
01:11:08:01		不斷地去積累, 那叫塑
01:11:11:00		所以一減一加
01:11:13:10		如果能夠和諧了
01:11:15:01		加得剛剛好, 減得剛剛好
01:11:18:02		我覺得雕塑這兩個字
01:11:19:27		它已經是...
01:11:21:22		所有材料都可以如此的運用
01:11:26:22		那麼從雕塑的這種陰陽造型
01:11:30:11		它推演的就是整個環境
01:11:33:17		包括都市的建設
01:11:35:02		包括建築的建設
01:11:37:05		包括我們周遭生活的日用品
01:11:40:05		它無所不是雕塑
01:11:42:16		那就好像在大自然裡面
01:11:45:04		圍著地球
01:11:46:12		我們看的有山就必定有水
01:11:50:12		有陸地必須有海面
01:11:53:12		河面, 水面
01:11:55:18		所以這種陰陽的關係
01:11:58:09		在大自然裡面它是無所不包
01:12:01:25		所以我把雕塑
01:12:03:03		已經用在這個生活用品上
01:12:06:12		尤其在文化創意產業的這個
01:12:09:18		最近兩岸的流行
01:12:11:07		全世界的一個流行
01:12:13:11		我覺得運用雕塑
01:12:15:26		這兩個字的哲學, 思想
01:12:19:19		我們可以建構非常美麗的未來
01:12:23:09		那這些可能就是
01:12:24:10		老師在不斷的創作過程當中
01:12:26:23		慢慢累積
01:12:28:16		或者是說自己在生活當中的修行
01:12:30:17		慢慢累積得出的結論
01:12:32:05		也希望說能夠透過這些作品
01:12:34:09		不只是帶給大家一種美的感覺
01:12:36:18		更能夠感受到
01:12:37:20		我們跟這個地球宇宙互動的感覺
01:12:40:29		可是像我們不只是在燈會的時候
01:12:43:24		可以看到老師的作品對不對
01:12:45:05		像很多地標式的作品
01:12:48:07		我覺得地標這個東西
01:12:49:14		其實是挺有意思的
01:12:51:05		因為為什麼要叫地標
01:12:52:18		就是你看到了這個雕塑
01:12:55:15		你就會想起它的環境
01:12:57:25		你就會想起你去到這個地方的時候
01:13:00:04		你感受到的空氣
01:13:01:18		濕氣, 味道, 聲音那種感覺
01:13:04:01		比方說老師在屏東的海生館
01:13:07:13		做的那個什麼魷...
01:13:09:12		大王魷魚
01:13:10:06		大王魷魚, 對
01:13:12:11		然後樂游游還什麼之類的
01:13:14:11		那個我會覺得好...
01:13:17:08		好適合在那裡出現
01:13:18:21		我不知道為什麼
01:13:19:17		然後以至於我看到它的時候
01:13:21:14		對... 那就是我去海生館
01:13:23:05		然後我還有...
01:13:23:28		除了我還可以看到海
01:13:25:14		然後我還可以看到很多海洋生物的那個感覺
01:13:28:24		其實那個地標感覺上
01:13:29:23		已經跟不管是那個海生館的建築物
01:13:32:23		或是跟那個地方
01:13:34:16		想要給人家呈現的一個感覺
01:13:36:15		合而為一了, 是嗎
01:13:37:26		我參加了很多的公共藝術的這種競圖
01:13:42:25		那海生館是一個很重要的一環
01:13:46:26		那我們當時在創作的時候
01:13:49:10		知道海生館是全世界
01:13:51:02		大概數一數二的, 前三名的
01:13:54:27		那麼它的第一期
01:13:56:22		已經把台灣的海域都敘述了
01:13:59:01		那第二期它的一個重點就是
01:14:01:06		全世界的海洋生物
01:14:03:08		誰是最大的
01:14:05:14		可以超過
01:14:07:15		比鯨魚
01:14:08:19		可以讓鯨魚覺得說
01:14:11:28		相形失色剋星
01:14:13:15		那就是大王魷魚
01:14:15:14		所以我們用這個被發現
01:14:18:18		這個像公共汽車這麼大的
01:14:20:10		這種大王魷魚
01:14:21:21		我用家庭的一個組合方式
01:14:24:18		等於做了差不多有四十米寬
01:14:27:07		八米高的這個海生館的一個地標
01:14:31:23		大王魷魚的這種生態
01:14:34:11		牠是覓食的時候
01:14:36:03		生氣的時候
01:14:37:12		牠做各種對應關係的時候
01:14:40:27		牠會發出不同的光
01:14:43:29		這很有意思
01:14:45:21		你是真的有看過大王魷魚嗎
01:14:48:14		海生博物館的館長
01:14:51:18		他是全世界海洋協會的會員
01:14:54:14		他特別告訴我
01:14:56:14		資訊裡面, 資料裡面
01:14:58:16		不容易得到全部的畫面
01:15:01:23		可是稍許的畫面裡面可以預知
01:15:05:18		那麼也是未來
01:15:07:06		人類在海底世界的
01:15:09:19		一個探訪的時候
01:15:11:09		它會越來越清晰
01:15:13:07		所以我這件作品
01:15:15:03		在未來能夠夜間開放的時候
01:15:18:09		能夠更多的發光的訊息
01:15:21:04		我們可以一模一樣的把它仿製出來
01:15:24:17		所以我覺得雕塑運用在
01:15:27:13		知識, 常識的這種取代
01:15:30:05		跟把人帶到這種...
01:15:33:03		大的這個世界裡面
01:15:35:10		我覺得它也是一個
01:15:37:07	01:15:41:08	很好的一個作業形式
01:16:11:27		海生館它第一期
01:16:13:11		是以台灣為主軸的鯨魚
01:16:16:27		第二期它就希望是全世界的
01:16:19:13		所以它會有一個指標
01:16:21:20		會有一個方向
01:16:23:05		那麼城市雕塑也是如此
01:16:25:20		等於是每一個城市的
01:16:27:15		特質不一樣
01:16:28:23		那能夠變成地標
01:16:30:28		也就是把當地的文化, 歷史
01:16:34:25		還有它的過去, 現在到未來的
01:16:37:11		一種期待
01:16:38:28		那麼透過藝術家的創作
01:16:41:28		透過所有專家的一些整合
01:16:45:09		所以我覺得這個叫公共藝術
01:16:48:00		那像桃園機場呢
01:16:49:27		桃園機場其實我們也可以看到
01:16:51:06		老師的作品
01:16:52:12		因為桃園
01:16:53:07		我覺得像國際機場
01:16:54:19		其實就是一個國家的門面了
01:16:56:13		桃園機場當時我們做這個
01:16:58:20		是被委託
01:16:59:18		因為當時還沒有
01:17:01:08		公共藝術的立法
01:17:03:14		那我記得我們在討論的時候
01:17:07:01		討論到未來的主題
01:17:08:22		其實我那個時候
01:17:09:20		也深受這種中國文化的洗禮
01:17:13:23		比方像這種陰陽的這種哲學
01:17:17:06		我覺得台灣的機場
01:17:22:02		應該就是讓全世界都知道
01:17:23:25		台灣是美麗的寶島
01:17:25:14		它有最高的群山
01:17:28:23		它有最好的江河
01:17:32:18		所以我們就用玉山
01:17:36:03		這種百嶽
01:17:38:10		然後到十分瀑布
01:17:39:22		做兩個主題的牆
01:17:41:22		那中間我就用立體的這種太極
01:17:46:01		立體太極的這種作業
01:17:49:00		我記得我還挑戰了
01:17:50:16		一半是用琉璃做
01:17:51:27		一半是用銅做
01:17:54:14		那用太極做主軸
01:17:57:04		讓旁邊的兩面牆
01:17:58:19		就是敘述台灣的百嶽
01:18:02:08		一面牆就敘述這種很磅礡的
01:18:05:02		很大氣的這種
01:18:06:20		水流的這種十分瀑布
01:18:09:20		然後當然我這個
01:18:11:19		還把原住民的這種主軸
01:18:14:15		放在這個太極球的地下室
01:18:18:07		也就是現在捷運通了以後
01:18:20:16		它的必經之處
01:18:22:29		那在入口還有兩個這個發光的
01:18:27:09		代表這個宇宙的這種形式
01:18:31:03		大概我做了六件雕塑
01:18:33:04		在這個機場
01:18:35:18		那個時候還沒有所謂的公共藝術
01:18:37:10		那老師是一個很...
01:18:39:11		自己蒐集了很多資料
01:18:40:24		然後也希望把這些資料消化了
01:18:42:14		迫不及待想要告訴大家的
01:18:44:01		這樣一個老師耶
01:18:45:07		我覺得好的雕塑
01:18:46:17		我覺得啦, 我們必須要挑戰
01:18:49:01		它應該是一部感人的故事
01:18:51:27		它應該是一部
01:18:53:12		很有遠見的這種哲學
01:18:56:24		它應該是代表過去的傳承
01:18:59:23		代表未來的期待
01:19:01:18		所以老師的雕塑基本上呢
01:19:03:06		遠看是一種感覺
01:19:05:07		就是不管是大的
01:19:07:19		給人家的感覺
01:19:08:15		氣勢或者是什麼的
01:19:10:05		但是近看其實是有很多細節
01:19:12:00		是有很多訊息要傳遞的
01:19:13:29		所以這個在
01:19:16:06		華族的這種思想裡面
01:19:17:28		至大無外, 至小無內
01:19:20:28		這種...
01:19:22:16		常常有朋友形容
01:19:24:09		我喜歡做的雕塑叫天大地大
01:19:26:24		可是我覺得這是一個
01:19:27:26		宏觀的天地人的概念
01:19:30:16		那微觀的話
01:19:31:19		我們可以不斷的縮小縮小
01:19:34:13		去看這個更微觀的世界
01:19:37:13		那我這裡我想我就要舉例說明
01:19:40:04		我在四年前為海南航空
01:19:43:02		做了一個六根神木
01:19:46:19		就是說海南航空的這個
01:19:48:24		當時是王健總經理
01:19:51:08		他是很虔誠的喇嘛大黑天的崇拜者
01:19:55:26		那他告訴我
01:19:56:28		在中國是不能用宗教來表達
01:20:00:23		他希望把這個密宗的這個教義
01:20:03:25		用地, 水, 火, 風, 空, 識
01:20:07:25		這個六個主題
01:20:10:06		那麼它是密宗的一個
01:20:12:20		六個很主要的一個教義
01:20:15:16		我們也很清楚
01:20:17:05		這個佛教從印度傳到西藏
01:20:21:22		然後再傳到中國
01:20:24:01		中國是用道教
01:20:26:07		道教的這個普及的概念
01:20:29:03		其實我們很容易去解讀它
01:20:31:09		地, 水, 火, 風, 空
01:20:33:19		就是我們看得見的太極
01:20:37:05		就是金, 木, 水, 火, 土
01:20:40:06		然後那個最後的識
01:20:41:25		也就是無極
01:20:44:14		也就是空無的意思
01:20:46:22		其實就是精神的意思
01:20:48:26		那麼我用這個道教
01:20:51:18		中國的這種最普及的文化元素
01:20:56:04		去解讀
01:20:57:28		那麼我就跟王健總講
01:21:00:00		我說我希望用細胞的放大
01:21:04:20		就是等於把這種
01:21:06:11		人身體上的這種循環系統
01:21:09:12		這種神經系統
01:21:11:02		代表肺, 心, 肝這種元素
01:21:16:18		來表達
01:21:17:26		那這一點等到做完的時候
01:21:20:17	01:21:22:09	我們就發現
01:21:23:19		二十米高的這個六根大柱子
01:21:26:15		我就用不同材料去整合
01:21:29:04		當時他希望用神木
01:21:32:04		可是還好我建議他
01:21:33:17		我說我們台灣大概用一般木頭
01:21:35:18		就可以做神木
01:21:37:11		後來我想他為什麼要用神木
01:21:40:01		其實他希望是把真的神給請進來
01:21:44:13		所以最後我突然完成的時候
01:21:46:20		有一個感悟
01:21:48:06		我就用四個字來送回給他
01:21:51:10		原來不就叫做六根清淨嗎
01:21:55:26		也就是說我們體內的五行
01:21:58:12		當我們很健康的排序以後
01:22:01:08		一切都健康了
01:22:02:19		一切都平衡了
01:22:04:21		那我們製作的過程裡面
01:22:06:15		我們的工作同仁也會有人提到說
01:22:11:06		因為剛好我的助手
01:22:14:19		有人潛水
01:22:16:09		他說老師... 這個像...
01:22:18:09		這些細胞看起來就是海底世界的
01:22:21:22		看起來像腦神經
01:22:23:16		有些是一些細胞
01:22:25:29		就是很類似
01:22:27:04		我在想
01:22:28:02		也對啊
01:22:29:05		因為假設地球是一個細胞的時候
01:22:31:24		百分之七十是海洋
01:22:33:22		跟我們的人的水的比例
01:22:37:08		有百分之七十, 是一樣的
01:22:39:02		所以至小無內, 至大無外
01:22:42:13		當然我們還有一個感觸
01:22:44:06		很有意思
01:22:45:20		過程裡面我們覺得很糾結
01:22:49:07		做得很辛苦
01:22:52:12		那就好像看到所有的細胞
01:22:54:19		它就好像人類一樣
01:22:56:10		看到所有的器官
01:22:57:28		其實它就好像所有的專業
01:23:00:19		但是沒有可以獨立存在的專業
01:23:05:20		最後要有一個統一思想
01:23:08:08		用我們的人類的這種思想
01:23:12:00		來引領我們的未來
01:23:14:27		所以文化創意產業
01:23:17:18		我覺得我們正是準備努力地
01:23:20:16		把自己的專業, 別人的專業
01:23:23:18		大家共同的專業
01:23:24:29		我們用一個正念的思考
01:23:27:17		把所有的專業集合起來
01:23:31:01		那尤其兩岸
01:23:32:04		台灣這麼小
01:23:33:14		可是人才輩出
01:23:36:00		所以我比較期待
01:23:38:04		所有的文化人, 所有的創意人
01:23:40:28		盡量凝聚, 齊聚一堂
01:23:43:25		彼此先做互動
01:23:45:29		相互的結盟
01:23:48:14		然後也才能夠為對岸
01:23:51:01		做一些比較有利的影響跟服務
01:23:54:21		所以只要我們任何的看得見的
01:23:58:07		我們都不要忘了
01:23:59:15		它有一個更高的一種無形的精神
01:24:04:03		所以這也是
01:24:05:02		兩岸現在目前最大的落差
01:24:07:21		那我現在用光來表達
01:24:11:04		看不見的那種精神
01:24:16:06		那世界
01:24:18:02	01:24:20:01	這個宇宙的元素
01:24:21:06		形, 音, 色
01:24:22:22		它都是一種波
01:24:24:27		那我們用正念的波
01:24:26:22		一起去感應
01:24:28:04		所以我期待用光
01:24:30:20		能夠把這種無形的世界
01:24:33:23		描述得更清晰
01:24:35:17		像老師剛剛有說
01:24:36:18		其實不管是在台灣
01:24:37:20		或者是在大陸
01:24:39:02		你都做了很多
01:24:40:01		不管是公共的場域的
01:24:42:22		或者是就算是燈會主題的
01:24:45:02		可是事實上其實你的觸角也伸到
01:24:47:09	01:24:48:21	比方像新加坡
01:24:49:19		好像你也去過新加坡
01:24:50:19		做過跟雕塑, 是那個...
01:24:53:22		因緣的關係
01:24:55:00		我在新加坡也有很多的工作
01:25:00:17		比方說十三年前
01:25:03:29		做「鰲躍龍翔」這件作品
01:25:06:28		當時謝長廷謝市長
01:25:09:07		我們一起討論
01:25:10:24		新加坡有一個魚尾獅身
01:25:12:16		是
01:25:13:16		那麼那個魚尾獅身
01:25:14:20		本來我從它的下半身的這種台座
01:25:19:13		代表水域的部分
01:25:21:01		我們已經用琉璃全部取代了
01:25:24:05		可惜那時候
01:25:25:16		我們說燈要放在裡頭
01:25:27:14		他們在過程裡面
01:25:30:20		大概可能是我英文不好吧
01:25:33:01		沒有把這個東西傳遞得很好
01:25:36:00		做了琉璃, 居然把燈放在外頭
01:25:39:05		所以那個效果不好
01:25:40:13		否則的話當時全部的
01:25:42:26		會變成一個大琉璃都亮起來
01:25:44:16		因為那個魚尾獅身
01:25:46:24		是新加坡的地標
01:25:49:00		那麼它在位移的時候
01:25:52:07		以前的水泥要改成一個最現代的材料
01:25:55:22		接受了我們用玻璃的概念
01:25:58:28		那是玻璃鑄造
01:26:00:25		那有這樣的經驗
01:26:02:12		當時跟謝市長在討論
01:26:04:12		那高雄的地標是什麼
01:26:06:28		我們當時
01:26:09:16		謝市長的意思是說
01:26:11:14		希望高雄是一個蛻變的
01:26:13:08		就是鯉魚躍龍門
01:26:15:27		因為台灣就像一個寶島
01:26:17:24		它就像在大海裡面是一條魚
01:26:20:24		高雄又是魚尾的位置
01:26:23:05		所以那個「鰲躍龍翔」
01:26:24:22		就是一個鯉魚尾巴翹起來
01:26:27:25		就是等於表示它的生命
01:26:30:28		當然戴上一個龍帽
01:26:32:15		就很像就是鰲躍龍翔的一個表徵
01:26:37:14		那麼也等於是
01:26:39:05		像新加坡的這個魚尾獅身一樣
01:26:43:18		高雄的地標就變成是「鰲躍龍翔」
01:26:47:12		所以老師其實在幫不同的地方
01:26:49:22		做地標的時候
01:26:50:19		其實都會對這個地方
01:26:52:10		做一個比較深入的瞭解
01:26:54:04		對
01:26:54:19		就是你不只是做...
01:26:57:00		就坐在那裡吃點他們的東西
01:26:58:15		感受一下那些人的生活
01:27:00:21		而且是不管是在歷史, 文化
01:27:03:29		沒錯
01:27:05:06		從過去的到未來的
01:27:06:27		你都會想得比較透徹, 對嗎
01:27:10:09		我想這個是一個創作的過程
01:27:13:01		如果我們的根
01:27:14:24		紮得不夠深
01:27:16:08		這個根脈就是歷史的脈絡
01:27:19:19		樹幹就是我們的未來的一個指標
01:27:23:28		那麼有過去有現在的這種架構
01:27:29:14		樹根越大
01:27:32:15		自然枝葉茂密, 就越茂密
01:27:35:19		所以這個茂密的部分
01:27:37:15		也就是我們的未來
01:27:39:16		所以我覺得落葉歸根
01:27:42:21		或者是一個善性的循環
01:27:45:28		傳承是非常的重要
01:27:48:10		我覺得我從上一代
01:27:49:26		我的父親的這種諄諄教誨
01:27:52:23		甚至於他還要我
01:27:55:04		一定要去念古文
01:27:58:03		這種到私塾去念書
01:28:02:00		那能夠把中華文化的
01:28:04:05		一種無形的特質
01:28:06:24		能夠從一知半解
01:28:08:29		一直到生活的體驗
01:28:10:26		到運用
01:28:12:08		我覺得華族文化的
01:28:15:17		過去的
01:28:16:26		是非常憨厚的
01:28:18:15		如果我們都能夠瞭解祖先的智慧
01:28:23:21		我們就有很大的根基
01:28:26:10	01:28:30:05	我們也能夠建構非常完整的未來
01:29:01:29		我們在聊作品的時候
01:29:02:25		我們可不可以特別聊一個作品
01:29:04:01		就是「浴火鳳凰」
01:29:05:22		因為「浴火鳳凰」太漂亮了
01:29:08:24		今年一個比較重要的代表作
01:29:13:18		它也同時登陸在北京
01:29:17:00		是因為北京第九屆園林博覽會
01:29:19:20		在五月份的時候開館
01:29:23:28		那麼台灣園
01:29:25:08		自然就是代表我們台灣的特質
01:29:28:04		所以我記得兩年前
01:29:29:14		我們有三個人主要在規劃
01:29:33:14		我們找了這個陳光雄建築師
01:29:37:17		台灣非常有名的環保建築師
01:29:40:11		還有經驗非常豐富的老圃
01:29:42:27		做地景
01:29:44:09		那我就負責文創
01:29:46:13		我們希望用築巢引鳳
