01:00:30:09	01:00:33:14	巨大的章魚腳攀附在建築物上
01:11:03:01		柏斯去展覽
01:11:04:15		回來才到台北
01:11:06:01		覺得說這個東西
01:11:07:12		如果沒有讓台北人分享
01:11:09:10		很可惜對不對
01:11:10:14		那過了一年
01:11:11:25		也就是說二○○一年做了以後
01:11:14:04		我們隔了很久才做
01:11:15:26		也是因為應觀眾的要求
01:11:17:17		因為大家就覺得
01:11:18:18		你們這麼好的這種概念
01:11:20:17		能夠在都市裡面
01:11:22:04		無牆美術呈現給大家
01:11:23:27		然後在我們東區的生活裡面
01:11:26:09		好像不預期就可以撞見藝術
01:11:28:03		這種史無前例
01:11:29:28		他們都覺得太好
01:11:30:26		為什麼你們不繼續下去
01:11:32:10		那我們就覺得說
01:11:33:29		好吧
01:11:34:14		既然大家都好像有一點點...
01:11:36:22		應觀眾要求
01:11:37:20		對...
01:11:38:14		那我們也就繼續做下去
01:11:39:27		雖然我們很辛苦
01:11:41:00		因為每一年暑假
01:11:42:24		你知道
01:11:43:09		就是三, 四十度的這種
01:11:45:10		很熱的大熱天
01:11:46:11		我們這些女生們
01:11:47:24		還要扛著這些畫
01:11:50:12		然後包括國外的藝術家來
01:11:52:28		我們要怎麼讓他們能夠
01:11:55:00		在兩個禮拜內
01:11:56:01		把東西都能夠裝置上去
01:11:57:16		這要有非常多的體力要投入
01:12:00:26		所以我覺得這些女孩子
01:12:02:08		在我們藝術基金會
01:12:03:21		她們要有男人的這種毅力
01:12:06:25		然後當然我覺得最重要的
01:12:08:06		就是要有熱情
01:12:09:05		就是說你要對你的工作
01:12:10:22		有很多的熱忱
01:12:12:14		對
01:12:13:04		你一定要有這個熱情
01:12:13:29		要不然不可能做得下去
01:12:14:29		就像我一樣
01:12:15:23		你說藝術對我是怎麼樣
01:12:17:09		它就是一個熱情
01:12:18:05		要不然我也不可能
01:12:19:07		我可以做一個蒐藏家就好了
01:12:21:04		我為什麼需要來工作
01:12:22:13		其實工作就是
01:12:23:08		每天要去解決很多問題
01:12:25:11		包括我就是一個媒婆對不對
01:12:26:23		我自己說我是個媒婆
01:12:27:27		我是藝術跟商家
01:12:30:21		跟企業之間的媒婆
01:12:32:14		因為這個三角關係
01:12:33:24		大家要和諧
01:12:35:00		今天的藝術展覽
01:12:36:09		才有可能呈現得出去
01:12:38:08		我會覺得說
01:12:38:29		做藝術行政
01:12:40:09		做藝術推廣
01:12:41:02		做藝術的分享
01:12:41:27		是我的志業
01:12:43:07		也是生命的一部分
01:12:44:05		它其實不是一個工作
01:12:46:07	01:12:47:29	它其實是一個分享
01:13:23:03		我覺得粉樂町是一個
01:13:24:13		很新的構想
01:13:27:09		因為我後來仔細想一想
01:13:29:14		粉樂町像是什麼
01:13:30:20		很像是一個沒有牆的MoMA(紐約現代藝術博物館)
01:13:34:11		就是...
01:13:35:00		對, 就是你是進去MoMA了
01:13:37:04		可是它就是在左轉, 右轉當中
01:13:40:16		你就會看到
01:13:41:08		而且都是現代藝術嘛
01:13:42:06		因為為什麼叫MoMA
01:13:42:29		就是因為你其實選的
01:13:44:12		都是現代藝術
01:13:45:12		它不是說已經過去的
01:13:48:10		那些藝術家的作品
01:13:49:07		對...
01:13:50:20		然後它可以結合在生活當中
01:13:52:13		然後它也是有變化的
01:13:54:15		它跟在地的東西是有互動的
01:13:57:11		可是你當時是怎麼樣
01:13:58:27		會有這樣的一個構想
01:13:59:26		雖然你說藝術就是生活
01:14:01:16		生活就是藝術
01:14:02:21		你是有看到什麼東西
01:14:04:01		給你這樣的啟發嗎
01:14:05:15		還是說...
01:14:07:03		到底為什麼呢
01:14:09:02		因為我深深相信說
01:14:10:29		一個杯子也可能是一個藝術品
01:14:12:26		對不對
01:14:14:02		我覺得藝術應該是沒有國界
01:14:16:23		也沒有分說
01:14:18:07		它是在什麼樣的場域嘛
01:14:21:25		其實粉樂町有個重點是說
01:14:24:03		我為什麼會喜歡這個概念
01:14:25:17		是因為我覺得
01:14:27:05	01:14:32:12	如果店家能夠多一點主動
01:14:33:12		對藝術有感覺
01:14:34:16		那以後台灣的店家
01:14:36:22		他們所裝潢出來
01:14:39:09		或者甚至他們賣的產品
01:14:41:02		他們一直提升的話
01:14:42:17		這個都市才會進步
01:14:46:03		對
01:14:46:25		這樣讓我想起了
01:14:48:14		就是其實有的時候我們...
01:14:50:16		比方說我們要裝修一個家
01:14:52:14		當我買了一個藝術品之後
01:14:54:00		我們就會發現
01:14:55:01		這個牆要重新粉刷
01:14:56:00		對...
01:14:56:25		然後這個燈已經不能擺在這邊了
01:14:58:25		因為我們要改掉這邊的
01:15:00:08		於是整個客廳變得不一樣了
01:15:01:23		是
01:15:02:05		當你客廳變的時候
01:15:03:06		你就會飯廳也變了
01:15:04:08		飯廳變完了就變廚房
01:15:05:13		廚房完了就變臥室
01:15:06:11		然後廁所
01:15:07:13		你整個家因為一件藝術品
01:15:09:27		可能就會不一樣了
01:15:11:22		那我覺得粉樂町
01:15:12:15		還有一個比較重點是說
01:15:14:15		我覺得我們在做粉樂町的人
01:15:15:29		是要無私的
01:15:16:28		怎麼說呢
01:15:17:25		因為我們是媒婆嘛
01:15:18:28		媒婆你假如促成三方都很滿意
01:15:21:18		這就是我們的功能
01:15:22:27		所以我們在做粉樂町的時候
01:15:24:07		我們要很小心
01:15:25:00		是因為我們的場域
01:15:26:01		跟人家不一樣
01:15:27:00		有可能是公司行號
01:15:28:19		像我們的富邦總部的大廳對吧
01:15:32:01		那也有是店家
01:15:34:02		那藝術家也很重要
01:15:35:19		為什麼
01:15:36:04		藝術家就像剛才你講的
01:15:37:18		他到了美術館
01:15:38:20		他其實不一定要知道
01:15:39:25		他畫放在哪裡
01:15:40:25		有時候都是策展人說你給我
01:15:42:26		我選你這個東西
01:15:43:23		我幫你放在哪兒
01:15:44:22		而不是藝術家
01:15:45:21		本身有這個機會可以去挑選
01:15:48:03		可是我們的藝術家
01:15:49:03		是有這個機會
01:15:50:10		譬如說我們說這條街
01:15:51:27		你自己看中哪一條
01:15:53:07		哪一個block
01:15:54:08		你想把東西放到...
01:15:55:10		你可以自己去挑選
01:15:56:23		所以藝術家會培養他有一個3D的觀念
01:15:59:18		就是說他對space
01:16:01:04		對空間要有感覺
01:16:02:17		所以很多藝術家他在創作
01:16:04:09		譬如說一個雕塑品
01:16:05:11		他在創作
01:16:06:00		他並不一定要知道
01:16:07:06		他的雕塑品放在哪裡, 對不對
01:16:08:25		他只要創作就好了
01:16:09:24		沒錯
01:16:10:10		可是我們的粉樂町的藝術家
01:16:11:23		他要知道他的作品放在哪裡
01:16:14:06		對他來講是一種考驗
01:16:15:24		他也在學習
01:16:17:03		那商家也是一樣
01:16:18:23		我的店裡
01:16:19:23		我要把一個最重要
01:16:21:20		最有評效的櫥窗拿出來放藝術
01:16:24:02		我必須要本身這個人
01:16:27:09		就是說這個商店的所有者
01:16:28:26		他要懂藝術
01:16:30:08		他要欣賞文化
01:16:31:22		他要知道這個是無價的
01:16:34:03		他才有辦法把這樣的東西
01:16:36:07		這個空間挪出來
01:16:37:28		我們的富邦也是一樣
01:16:39:16		我們之前
01:16:40:10		一開始放到證券的時候
01:16:42:11		證券的公司的人說
01:16:43:17		不要給我放綠色的進來
01:16:45:00		只要紅色
01:16:45:23		因為紅盤
01:16:47:00		然後...對
01:16:48:10		好好玩喔
01:16:48:26		所以我們也得要去尊重到
01:16:51:18		人家原來辦公室怎麼在用
01:16:54:04		它有它自己的作用嘛
01:16:56:03		它有它的功能
01:16:57:14		那人家是一個商業場地
01:16:58:19		我不能夠很強勢的說
01:17:00:21		我告訴你, 藝術是什麼
01:17:01:29		我就是要給你放什麼
01:17:03:04		不行的, 我們要尊重
01:17:04:15		所以其實粉樂町的難處
01:17:06:08		就是在於你怎麼做這個媒婆
01:17:08:12		互相尊重
01:17:09:18		又可以得到一個平衡點
01:17:11:13		大家都開心
01:17:12:16		然後最後觀眾看了也開心
01:17:14:22		所以這個就是難度在這裡
01:17:16:18		所以這個東西不是說一般
01:17:18:20		你想要像到美術館這麼容易
01:17:20:24		美術館其實有個既定的空間
01:17:22:28		我只要我的策展人說怎麼做
01:17:25:27		就好了
01:17:26:27		可是我們不是的
01:17:27:28		我們是要這麼多的人牽涉
01:17:30:01		最後來評斷的還是看的人嘛
01:17:34:17		看的人你也不知道是誰對不對
01:17:36:03		你可能路過什麼人
01:17:37:11		他都可以跟你講幾個好或壞
01:17:39:06		你知道嗎
01:17:39:22		這就是你要有那個度量去
01:17:41:27		去包容每一個人在看藝術
01:17:43:22		跟你講的反應是怎麼樣
01:17:46:10		所以我一直在跟我們的藝術團隊講說
01:17:48:15		其實藝術是沒有標準答案的
01:17:50:17		我常常帶人家去導覽的時候
01:17:52:22		你還會帶人家去導覽
01:17:53:22		Yes
01:17:54:08		我都會帶我們的朋友去導覽
01:17:55:19		我這次粉樂町已經去了八次了
01:17:58:02		我會帶我自己的朋友團隊
01:18:00:21		我先生的這種朋友團隊
01:18:02:22		什麼總裁協會啦什麼
01:18:04:13		我都會帶他們去看
01:18:05:21		那其實他們這麼多年下來
01:18:08:03		他們都很喜歡
01:18:09:01		是因為他覺得這個概念
01:18:10:28		很不一樣
01:18:12:15		然後他們...
01:18:13:20		我覺得導覽的方法也很重要
01:18:15:05		就是說
01:18:15:21		譬如說寶儀, 我帶你去看
01:18:16:21		我會跟你...
01:18:17:12		我不會跟你講說
01:18:18:27		寶儀, 你看
01:18:19:16		這個英國的藝術家多棒
01:18:21:14		他的背景怎麼樣
01:18:22:12		我從來不喜歡講這些
01:18:24:00		因為這是一個知識
01:18:25:12		我覺得真正的藝術是
01:18:26:20		你好像在談戀愛一樣
01:18:28:18		你要撞見
01:18:29:17		先看了嘛
01:18:30:05		就像你看到一個你心儀的男人
01:18:32:16		你一定是先看到
01:18:33:23		你覺得對他印象好
01:18:35:13		你想要跟他講話才繼續下去
01:18:37:08		而不是說
01:18:38:00		因為他是一個什麼...
01:18:39:25		PhD(博士學位)
01:18:40:20		什麼醫生
01:18:41:18		所以你對他有興趣
01:18:42:26		絕對是那個第一印象
01:18:44:18		所以我覺得對藝術也是一樣的
01:18:46:16		就像你在生活一模一樣
01:18:48:01		你怎麼跟他...
01:18:49:13		你第一眼看到他, 對他的印象
01:18:51:07		你一定有你自己的想法
01:18:53:05		它沒有標準答案的, 對不對
01:18:54:27		同樣一個男人
01:18:56:14		五個女人
01:18:57:06		都會對他有不同的看法
01:18:58:20		那藝術也是一樣
01:18:59:27		你不可以跟我講說
01:19:01:02		這個人這幅畫五千萬
01:19:04:12		就比五十萬的好
01:19:05:28		沒有這回事的
01:19:07:01		那是個人的感覺的問題, OK
01:19:09:08		所以我一直覺得說
01:19:10:13		我要培養我的觀眾
01:19:11:26		去看藝術的時候
01:19:13:03		是很自由的
01:19:14:22		沒有知識性的障礙的
01:19:16:17		你只有用眼睛看就好了
01:19:18:06		你覺得是什麼就是什麼
01:19:19:24		所以寶儀, 你看到這個東西
01:19:21:08		你告訴我那是什麼
01:19:22:17		譬如說我們去看章魚好了
01:19:24:08		痞子路克(Filthy Luker)
01:19:25:02		你有看到那個綠色章魚
01:19:26:23		那你覺得是什麼呢
01:19:28:20	01:19:29:25	就異形
01:19:31:05		對, 異形
01:19:32:05		那就是你, 沒有關係
01:19:33:09		因為你覺得是什麼
01:19:34:16		就表示你內心有
01:19:36:11		這個東西曾經在你的生命
01:19:38:24		體驗
01:19:39:19		對
01:19:40:11		有過這樣的回憶
01:19:41:11		或種過這樣的種子
01:19:43:01		所以藝術的好處
01:19:44:08		是讓你看了以後
01:19:45:16		你跟你自己內心可以對話
01:19:47:21		它不是說藝術多少錢
01:19:50:04		藝術怎樣...
01:19:51:07		我覺得那個東西都有一點
01:19:53:04		那個太過了啦
01:19:54:03		就是說其實我們在廣告
01:19:55:25		在宣傳的就是說
01:19:57:29		其實我們要開發我們的五感
01:20:00:19		要去看, 要去聽, 要去聞
01:20:02:14		要去觸覺, 要去感覺
01:20:04:02		就是說藝術其實是
01:20:05:13		你要打開你的這些五感
01:20:07:01		你才有辦法體會得到的
01:20:08:16		所以我是覺得說
01:20:09:26		不要把藝術同等於錢
01:20:12:10		藝術其實就是生活
01:20:14:06		生活就是一種尊重
01:20:16:03		其實藝術也是一種尊重
01:20:17:23		你在尊重藝術家的分享
01:20:19:22		他用他一輩子的生命
01:20:21:18		他的生命
01:20:23:00		他願意無私的
01:20:24:08		把我內心也許最痛苦或最快樂
01:20:27:02		我來跟你分享
01:20:28:07		這很不容易耶
01:20:29:01		像我們一般的人都只會壓抑的
01:20:30:20		到外面都是表現好的
01:20:32:03		我不願意去解決
01:20:33:03		我內心的問題給你看
01:20:34:16		可是藝術家不是的
01:20:35:27		你要是一個好的藝術家
01:20:37:03		你必須要誠實
01:20:38:14		面對你自己的問題
01:20:39:27		你把問題拿出來面對了以後
01:20:42:11		分享出來
01:20:43:12		甚至他在創造的過程中
01:20:45:13		他已經在做治療, 自我治療
01:20:47:24		這個東西是一種
01:20:49:13		願意分享的情操
01:20:51:02		所以我覺得做一個藝術家
01:20:52:10		他需要非常誠實
01:20:53:23		他非常勇敢
01:20:54:18		他需要面對
01:20:55:29		那我覺得對我們觀眾
