00:00:35:08 在劇場燈光下
00:05:49:28 尤其在影視圈
00:05:52:08 劇本工作者
00:05:53:16 往往會被視為是一種
00:05:55:17 寫手
00:05:56:09 導演的助手
00:05:57:15 你寫出來的東西
00:05:58:05 是拿去讓導演跟演員改的
00:06:01:00 唯有在比較...
00:06:02:25 怎麼講
00:06:03:25 有名氣的大作家
00:06:05:28 他們出手的劇本
00:06:07:14 才會被認為是
00:06:08:11 可能是文學性的劇本
00:06:10:08 我們真的不曉得
00:06:11:19 什麼時候才能爭取到
00:06:13:02 諾貝爾這件事情的關注
00:06:15:16 事實上
00:06:17:10 講到諾貝爾
00:06:18:09 一百年的諾貝爾獎裡面的
00:06:20:14 九十幾位, 上百位的作者
00:06:22:15 很少不是劇作家的
00:06:24:10 我覺得這其實也變成了是一個
00:06:26:06 相聲瓦舍的一個特色
00:06:27:18 你不得不說因為
00:06:28:23 很多我們聽到相聲
00:06:30:24 我們都覺得說相聲...
00:06:32:01 應該就在講一些傳統的段子吧
00:06:33:15 嘴皮子嘛, 很溜嘛對, 就傳統的段子
00:06:35:11 你背起來
00:06:36:20 好笑嘛
00:06:37:06 然後能夠演得不差
00:06:38:22 然後其實好像就是一個
00:06:39:28 不錯的表演
00:06:40:24 但是相聲瓦舍其實不只於此
00:06:44:12 這個跟我們在一九八八年
00:06:46:19 都還是學生的時候
00:06:47:29 那個啟動點就有關係
00:06:49:24 我當時一開始就有一個
00:06:50:27 很重大的覺悟
00:06:52:11 這麼好的段子
00:06:53:20 這麼好笑的內容
00:06:55:14 是誰寫的啊
00:06:57:17 我好想要當那個人
00:06:59:12 我好想要當那個
00:07:01:23 把相聲說得很好笑
00:07:03:11 並且我還跟你講
00:07:04:18 這個本兒是我寫的喔
00:07:06:03 我好想當那個人
00:07:07:24 所以我從可以說一開始
00:07:09:08 一啟動的時候我就在研究
00:07:11:08 人家劇本是怎麼寫的
00:07:12:24 侯寶林這個段子
00:07:13:25 講出來這麼好笑
00:07:14:25 誰寫的
00:07:15:23 魏龍豪, 吳兆南段子這麼好笑
00:07:17:17 誰寫的
00:07:19:17 逐漸的一一去找線索
00:07:21:10 找到各種跟相聲創作
00:07:23:16 跟相聲文本有關的書籍, 研究
00:07:26:24 或自己試寫
00:07:28:14 我非常的幸運
00:07:29:12 我開始試寫相聲段子的時候
00:07:31:25 我的指導老師是賴聲川
00:07:34:08 非常的幸運
00:07:35:23 所以
00:07:36:25 在這樣的一個成長過程裡面
00:07:38:13 讓我很快的能夠掌握到一些
00:07:40:22 原則跟原理
00:07:42:00 能夠讓我自己在我的意願
00:07:44:07 創作意願的這種成長上面
00:07:46:18 順利的走上我的創作道路
00:07:48:24 這是一個很大的幸運
00:07:50:17 不過你剛有提到一九八八年
00:07:52:09 那個時候你是...
00:07:53:11 大四
00:07:54:07 學生
00:07:54:27 學生
00:07:55:12 那你也提到說其實賴老師
00:07:57:05 等於是當時你的指導老師之一
00:07:58:28 賴老師在我學術上面
00:08:00:21 以及在我私人的這個
00:08:03:08 私塾的這種培養上面
00:08:04:28 都是我的指導教授
00:08:06:09 我的碩士學位論文
00:08:07:20 也在他的指導下完成的
00:08:09:19 所以他徹底的是我指導教授
00:08:11:26 那你可以說一說
00:08:12:15 當時你是怎麼開始進入
00:08:14:10 相聲這個範疇裡面嗎
00:08:16:02 因為他跟李立群還有李國修
00:08:18:01 他們三個人每天都神秘兮兮的
00:08:19:20 窩在賴聲川的研究室裡面
00:08:21:20 正在秘密的
00:08:22:19 不曉得在打造一個什麼東西
00:08:24:13 我就經常過去瞄
00:08:26:01 你們這三個在幹什麼
00:08:27:19 搞兩個電視喜劇演員
00:08:29:18 對, 那時候他們還是
00:08:30:12 電視喜劇演員, 演短劇
00:08:32:18 對嘛, 然後在小燕姊的那個
00:08:34:03 對,「綜藝100」
00:08:35:05 搭啦哩搭啦, 我是易百拉
00:08:37:09 在那裡面嘛
00:08:38:08 你看我一講
00:08:38:29 我們就知道我們年齡在哪
00:08:40:06 你啊
00:08:40:23 對不起, 不好意思
00:08:42:07
00:08:42:26 我聽我爸爸媽媽說的
00:08:44:08 沒有啦, 開玩笑的
00:08:45:17 所以我每天就看你們在幹什麼
00:08:48:09 你們這三個老頭
00:08:49:13 那時候李立群跟李國修
00:08:50:19 也留著那個山羊鬍喔
00:08:52:25 賴聲川有山羊鬍我們都知道
00:08:54:10 三個人都有山羊鬍
00:08:55:14 這是他們這個組織的一個
00:08:57:09 標的
00:08:57:21 秘密標誌
00:08:58:23 他們三個人弄成個秘密會社
00:09:00:24 還戴著圓眼鏡
00:09:02:16 我就經常去瞄
00:09:04:02 後來才知道
00:09:04:25 他們在編
00:09:05:14 「那一夜, 我們說相聲」
00:09:07:01 那是一九八五年的事情
00:09:09:09 「那一夜, 我們說相聲」
00:09:10:05 被編出來
00:09:10:28 然後這個演出
00:09:13:00 之後賴老師把一個
00:09:14:11 很重要的工作交給我
00:09:16:01 叫做把這個劇本
00:09:17:21 從影像跟這個聲音記錄上
00:09:20:20 抄成一個文字劇本的形式
00:09:24:06 所以那時候你只是一個
00:09:25:13 抄寫工
00:09:27:01 但你要知道為什麼要抄寫
00:09:28:27 各位, 一九八六年
00:09:31:25 比爾蓋茲還在湊錢
00:09:33:06 所以大家還沒有
00:09:34:03 PC可以用的那個時代
00:09:35:20 所以要用手抄
00:09:37:03 它是我一個字一個字抄出來的
00:09:38:24 這一個建構了我日後創作相聲
00:09:42:15 追尋相聲的那個原創原點的
00:09:45:23 很重大的一個起始點
00:09:47:25 其實這個戲喔
00:09:48:26 我覺得對...
00:09:49:20 因為我看過馮老師的論文
00:09:52:07 馮老師的論文
00:09:52:28 其實也有在研究跟說明
00:09:55:10 其實這個戲當時對於
00:09:57:14 相聲在台灣來講是一個非常
00:09:59:14 它是一個啟動
00:10:00:09 非常深遠的意義
00:10:01:23 相聲能夠從市民娛樂
00:10:04:21 轉而變成精緻的劇場藝術的
00:10:06:27 重大轉捩點
00:10:08:04 就是「那一夜, 我們說相聲」
00:10:09:21 那我們作為學生恭逢其盛
00:10:11:27 能夠追上這個創意的腳步
00:10:14:05 而且日後在...
00:10:15:13 你像參與賴聲川的
00:10:17:09 這個表演工作坊
00:10:18:15 這麼多的好戲能夠讓我趕上
00:10:22:06 能夠讓我演出
00:10:23:11 現在都還在演「寶島一村」
00:10:25:07 是
00:10:25:24 「寶島一村」這個戲
00:10:26:20 現在都還在現場演, 都還沒停
00:10:28:13 是
00:10:28:28 你想想看
00:10:29:18 是, 包子都不知道發了多少個
00:10:31:02 真的
00:10:32:05 大家有人跟著「寶島一村」
00:10:33:18 吃包子都能過日子了
00:10:35:07 那也太誇張了
00:10:37:03 可是那你就等於是
00:10:39:06 開了你對相聲的這一扇門吧
00:10:41:14 是, 我覺得很重要的一個啟蒙
00:10:43:27 那也就是說
00:10:45:13 我理解相聲
00:10:46:18 它必須理解為
00:10:48:24 任何戲劇型態的那個最源頭
00:10:51:07 本子是誰寫的
00:10:52:29 把本子要寫出來
00:10:54:13 那個幽默的態度, 幽默的氣質
00:10:57:12 你要具備
00:10:58:12 不管你是演, 還是編
00:11:01:03 那當時怎麼會有這個
00:11:02:18 要發起相聲瓦舍的這個
00:11:04:17 念頭跟想法它是一個活動, 一個校內活動
00:11:06:18 我們就中午想說相聲給同學聽
00:11:09:04 試驗一下
00:11:09:23 我們寫出來的東西怎麼樣嘛
00:11:11:10 你出去賣錢
00:11:11:29 你還不曉得票能賣多少錢呢
00:11:14:08 對不對
00:11:14:18 我們兩個笨學生
00:11:15:24 一個大四, 一個大一啊
00:11:16:26 所以你跟宋少卿
00:11:18:18 那個時候就已經結合在一起了
00:11:20:00 他大一
00:11:20:16 是你找上他的還是他找上你呢
00:11:22:04 他考進我們學校來
00:11:24:16 然後你一眼就相中他
00:11:26:00 我在馬路邊
00:11:26:13 覺得他相貌堂堂
00:11:27:27 他...
00:11:29:06
00:11:31:10 相貌堂堂的
00:11:32:15 正好適合做這一件事情
00:11:34:01 OK
00:11:34:19 所以我們在院子裡面
00:11:36:10 說相聲給同學聽
00:11:37:27 說我們編寫的試驗
00:11:40:03 以及我們學習老相聲的那個成果
00:11:44:00 那承蒙同學們認為我們說得好
00:11:47:19 他們大家都笑了
00:11:48:28 我們被鼓舞了
00:11:50:00 所以我們
00:11:50:19 那個活動叫相聲瓦舍
00:11:52:22 瓦舍是劇場的意思
00:11:54:17 所以大家到劇場來看
00:11:56:22 相聲的演出
00:11:58:08 那活動叫相聲瓦舍
00:11:59:14 連辦了兩次
00:12:01:01 然後我就去當兵了
00:12:03:03 然後我回來, 少卿又去當兵了
00:12:04:29 等少卿再回來我們就是說
00:12:06:25 我們把相聲瓦舍成立一下
00:12:08:13 登記一下
00:12:09:07 成立一個劇團來試試看好了
00:12:11:11 結果沒想到
00:12:12:17 一九八八年開始
00:12:13:27 主辦的這個活動
00:12:15:21 到現在居然
00:12:16:15 四分之一個世紀都過去了
00:12:18:19 二十五年好可怕
00:12:20:01 當時你在做這件事情的時候
00:12:21:17 並沒有想到
00:12:22:08 其實它會成為你主要的工作吧
00:12:25:25 我主要的工作
00:12:26:17 一定是要在劇場藝術上面
00:12:28:06 這是無庸置疑的
00:12:29:09 但是我不曉得我自己
00:12:30:10 可以創造一個事業
00:12:32:04 我沒有這樣想
00:12:33:11 我就是很願意演
00:12:35:15 我就是願意
00:12:36:19 寫我自己要演的稿子
00:12:39:14 想法非常的單純
00:12:41:07 而且我覺得有一個滿特別的
00:12:42:21 我覺得其實跟你本人的個性
00:12:44:22 其實也挺有關係的
00:12:45:25 你看喔
00:12:46:10 像其實相聲瓦舍已經在台灣
00:12:49:16 說實在的挺有名氣了
00:12:51:04 然後很有群眾基礎
00:12:53:28 基本上只要打出
00:12:54:29 相聲瓦舍的這個招牌
00:12:57:23 你大概都可以知道
00:12:58:21 會有多少人來看
00:12:59:20 你們自己是心裡有數的
00:13:01:13 是的, 我認為還有一個是
00:13:03:26 社會上給我們的機會
00:13:05:18 我們被編入了中學的教材
00:13:08:12 這樣的話使得小朋友們
00:13:10:16 年紀小小的時候
00:13:11:21 他看著教材也好
00:13:13:10 老師要播放的教具也好
00:13:15:17 他就有一個相聲瓦舍可以選擇
00:13:17:24 那相聲瓦舍剛好又在這個
00:13:19:07 良性的循環當中
00:13:20:25 小朋友會長大
00:13:22:11 他會變成我們的觀眾變成你們的基本觀眾
00:13:24:06 對
00:13:25:03 但是我覺得
00:13:25:27 我剛想要說的是其實除了
00:13:27:26 其實因為你們本來
00:13:28:12 就已經挺有成績的了
00:13:29:29 但是你並沒有說
00:13:32:13 我已經很會寫了
00:13:33:20 而且我有很多觀眾的掌聲了
00:13:35:16 你反而更加的
00:13:36:24 在相聲的這個歷史上做鑽研
00:13:39:16 據我所知
00:13:39:29 好像您還有去北京拜師學藝
00:13:42:19 是...
00:13:43:12 這個是當時我看
00:13:44:24 我記得當時
00:13:45:17 我過了一段時間才知道這件事情
00:13:48:08 那時候我還覺得說
00:13:49:25 為什麼, 他都已經自成一家了
00:13:52:10 還要去做這件事
00:13:53:11 那是一種樂趣啦
00:13:54:21 那是一種樂趣
00:13:55:22 因為跟常寶華老師的這個緣分
00:13:59:10 常寶華老師講的比我講的好
00:14:01:06 他說啊
00:14:02:00 我們大家投緣
00:14:03:02 大家有這個機會能夠交朋友
00:14:05:09 那只不過大家年齡有個差距
00:14:07:19 如果我跟少卿跟阿綱
00:14:09:10 我們結拜為兄弟
00:14:10:24 恐怕不符合江湖禮儀
00:14:13:03 OK
00:14:14:03 所以我們結拜為師徒
00:14:15:22 師徒
00:14:16:14 就因為有好的朋友的緣分嘛
00:14:18:28 那你分別在賴聲川老師
00:14:20:22 跟在常寶華老師身上
00:14:22:10 學到的是哪些不同的東西
00:14:24:02 我這樣形容常寶華老師
00:14:25:13 台灣觀眾對他不是很熟悉
00:14:27:15 就宋少卿如果再誠懇一點
00:14:30:28 或宋少卿日後的那個年齡
00:14:33:15 他有這個福氣
00:14:34:17 活到常寶華老師這個年紀的話
00:14:37:06 我認為常老師就是一個
00:14:38:21 老的宋少卿
00:14:40:13 所以我跟宋少卿的這個
00:14:41:29 奇怪的投緣
00:14:42:27 你看我這個人的人格特質
00:14:45:01 跟少卿是天差地遠的
00:14:46:16 是
00:14:47:21 然而跟常老師見到面
00:14:49:19 我就覺得天啊
00:14:51:03 少卿有這個命活到這個歲數
00:14:52:26 我看就是你
00:14:54:03 就是很開朗所以他也活得很隨興
00:14:55:24 很開朗, 很隨興的一個人
00:14:58:00 也許就是因為這個人格特質
00:14:59:12 因為我是一個
00:15:00:10 確實比較嚴謹的人
00:15:01:10 是
00:15:01:25 我看到那個活潑隨興的人
00:15:03:28 我就喜歡
00:15:05:01 我就想要接近他
00:15:07:13 所以你在他身上學到的是
00:15:09:20 我覺得常老師很...
00:15:11:08 很有一種負責任的態度
00:15:12:25 阿綱來了
00:15:13:20 那我們今天就要談一談
00:15:15:06 *我大哥常寶(*方方土)先生
00:15:17:14 他就主動的要談一談
00:15:18:24 *相聲大師常寶(*方方土)
00:15:20:10 那個外號叫小蘑菇的大明星
00:15:22:26 他就要談談他
00:15:23:28 我覺得那對我來講太受用了
00:15:25:20 因為我去書上查的
00:15:27:25 不如這個四爺講的啊
00:15:29:13 對
00:15:29:29 四爺告訴你
00:15:30:15 本人是口述歷史啊
00:15:31:21 告訴你口述
00:15:32:10 所以他講了非常非常多
00:15:34:06 他自己親身經歷的
00:15:35:12 關於茶館裡面說相聲
00:15:37:17 關於馬路邊說相聲
00:15:39:06 關於市場裡說相聲
00:15:40:10 關於他大明星大哥
00:15:41:22 *常寶(*方方土)先生種種...
00:15:43:18 這都是書上沒辦法查的
00:15:45:16 這就是我作為一個
00:15:47:24 研究者的一個幸運
00:15:49:18
00:16:22:12 你會認為
00:16:23:25 相聲的傳承這件事情重要嗎
00:16:26:23 因為很多
00:16:27:13 像現在有些新派的相聲
00:16:28:29 像我們有時候
00:16:29:27 去看大陸的一些相聲
00:16:31:26 他們可能就是自成一格
00:16:34:20
00:16:35:20 我觀察到
00:16:36:20 他們有時候也很客氣
00:16:37:21 他們也告訴我說
00:16:38:19 那是因為看了一些相聲瓦舍
00:16:41:19
00:16:42:28 他們老實這樣跟你說喔
00:16:44:08 對... 他們也說來
00:16:45:29 我看他們也是很客氣
00:16:47:15 從...
00:16:48:24 相聲瓦舍畢竟是在台灣
00:16:50:17 這個比較奔放的
00:16:52:01 比較開放的社會成長的
00:16:54:01 大陸在社會的開放度上面
00:16:56:13 還在加強中, 在變化中嘛
00:16:59:15 那很多的年輕人
00:17:00:16 從線上看相聲瓦舍節目
00:17:03:00 他願意取而為他的一種材料
00:17:06:06 或取而為他的一種創作的
00:17:08:22 養分或起始點
00:17:10:12 我也覺得很榮幸啊
00:17:12:06 那我的目的不在於
00:17:13:19 培養他們成為傳人
00:17:15:08 但如果說我對他們
00:17:16:10 有一點點良好的影響力的話
00:17:18:25 我真是快樂無比
00:17:20:08 這太棒了, 太給我面子了
00:17:21:20 我覺得觀眾們
00:17:22:05 一定也會非常好奇一件事情
00:17:23:16 就是相聲瓦舍的劇本
00:17:26:05 到底是怎麼生出來的
00:17:28:10 我寫的
00:17:30:00 是... 沒錯
00:17:30:25 因為這邊都是寫馮翊綱著嘛
00:17:32:17 但是大家就會想說
00:17:33:21 那你是已經先想好了
00:17:36:09 不管, 我這一次就是要講什麼
00:17:38:02 然後我寫好了
00:17:39:05 你連宋少卿的台詞都想好了
00:17:41:02 你的語氣就是這樣都想好了
00:17:42:21 你忘記什麼你也想好了
00:17:44:01 然後都不是
00:17:45:18 就是意外的
00:17:47:00 你知道有的時候比方
00:17:48:06 因為他常常在台上忘詞
00:17:51:17 這是各位觀眾看到的戲的內容
00:17:53:24 然後可是忘詞的來
00:17:55:01 你又可以接一些東西
00:17:56:14 然後他又接上別的東西
00:17:57:13 我想說不對
00:17:58:06 這個忘詞應該是設計過的
00:18:00:26 他這樣子喔
00:18:01:20 我們要分幾個層面來說
00:18:04:19
00:18:05:08 你剛剛講到宋少卿忘詞
00:18:06:16 最有名的就是
00:18:07:00 我們的「黃鶴樓」
00:18:08:22 對不對
00:18:09:05 對
00:18:09:19 「黃鶴樓」這個是個老段子
00:18:11:13 是馬三立先生傳世的一個
00:18:13:21 非常重要的一個作品
00:18:15:11 我們作為這個後代學習者
00:18:17:18 大家能夠學會「黃鶴樓」
00:18:19:05 能夠學會「黃鶴樓」
00:18:20:11 並且把「黃鶴樓」這個段子
00:18:22:07 搬上舞台來演
00:18:23:24 就已經是相聲演員的成就了
00:18:26:21 我們非常榮幸, 敢演
00:18:28:10 並且大家還看
00:18:29:03 還演了好幾次
00:18:29:22 還願意看我們演這個段子
00:18:31:23 這裡面會出現很多那種忘詞
00:18:33:27 什麼那個東西
00:18:34:26 那都是本子早就寫好的
00:18:37:03 那各位觀眾為什麼會相信
00:18:38:25 宋少卿忘詞呢
00:18:39:28 因為宋少卿演得很自然
00:18:42:06 他超會演忘詞的
00:18:43:03 宋少卿好演員啊
00:18:45:11 什麼詞兒
00:18:47:00 忘了
00:18:47:23 那你提我一句
00:18:48:17 少不了你也大不了我
00:18:50:01 他那個忘詞是表演的忘詞
00:18:52:20 而那個表演忘詞如果演不好
00:18:54:28 哎呀, 我把我的台詞忘記了
00:18:56:29 你就背...
00:18:57:21 觀眾也不相信了
00:18:58:13 你這個叫背詞, 你這不叫忘詞
00:19:00:26 正是因為宋少卿是好演員
00:19:02:27 他能把忘詞演到讓觀眾說
00:19:05:20 該糟了...
00:19:07:00 看馮翊綱等一下怎麼辦
00:19:08:14 看你們怎麼辦
00:19:09:02 他有那種危險的感覺
00:19:10:06 沒錯
00:19:10:21 你們要解決這個問題
00:19:11:26 但事實上每一招, 每一式
00:19:13:24 都穩穩穩穩的寫在劇本上
00:19:15:27 都算計過的
00:19:16:25 好演員就要把這個內容
00:19:19:08 演到讓觀眾都相信
00:19:21:23 我曾經還有一個
00:19:22:25 那個段子是這樣
00:19:24:00 我跟少卿說
00:19:25:17 「空城計」
00:19:26:18 兩個跑龍套, 有沒有
00:19:28:14 上來頭旗, 二旗
00:19:29:20 一個站左, 一個站右
00:19:30:25 三旗, 四旗上來
00:19:32:06 弄錯了
00:19:32:22 通通站到那邊去了
00:19:33:23 結果這邊站了一個
00:19:34:19 這邊站了三個
00:19:36:16 那個事情也是一種後設演法
00:19:38:28 就我馮翊綱說我站錯位子了
00:19:41:27 演完之後
00:19:43:12 到了外面碰到觀眾
00:19:45:22 觀眾說不要傷心...
00:19:47:18 真的假的
00:19:48:15 你以前站錯位子
00:19:50:03 那因為你以前年輕不懂
00:19:52:03 你現在已經是大師了
00:19:54:17 他好入戲喔
00:19:55:08 我說你這個觀眾還真是喔
00:19:57:16 還真是看得很投入了
00:19:59:14 我說剛剛的都是戲詞
00:20:01:24 我沒有發生過
00:20:03:06 站龍套站錯位子的事情
00:20:04:28 觀眾還...
00:20:06:07 你剛才那一切都是假的啊
00:20:08:11 他還有一種
00:20:09:16 恍然大悟的感覺
00:20:10:18 各位觀眾, 我們說相聲
00:20:12:27 就是說謊
00:20:14:23 說相聲就是最高明的
00:20:16:27 把說謊變成高度藝術的
00:20:19:12 說謊藝術家
00:20:21:00 那是一句戲言
00:20:22:18 我們不都講了嗎
00:20:23:09 戲劇, 那是戲言
00:20:25:12 那是在演戲
00:20:26:17 台詞都是假的
00:20:28:03 之所以讓你感覺到像真的
00:20:29:20 那是因為我們很專心的排了戲
00:20:31:26 一次又一次的把它練到很真
00:20:34:20 那真的忘詞的時候怎麼辦呢
00:20:37:11 因為我們一次一次這麼練
00:20:39:00 他就不會忘詞了嘛
00:20:40:18 他這是邏輯問題
00:20:42:04 你們從來沒有發生過
00:20:44:04 一次都沒有
00:20:45:10 你要讓我講說哪一次有
00:20:47:00 或哪一次沒有, 你...
00:20:48:09 總是會, 難免
00:20:49:00 總是會, 難難免免
00:20:50:07 難免的這裡少一個扣子
00:20:52:02 那裡要繞回去一句吧
00:20:53:19 但是因為你很熟
00:20:54:29 你一忘了你就知道了
00:20:56:21 等一會兒一個眼神
00:20:57:19 他又回來了
00:20:59:00 那這種忘詞是不可能
00:21:01:18 不發生的
00:21:02:03 不可能
00:21:03:00 讓它變成影響演出的這個問題
00:21:06:23 話不要講太早, 因為
00:21:08:05 是, 我剛還正想敲一下桌子
00:21:10:07 因為年齡還在增...
00:21:11:27 增長
00:21:12:12 增長中
00:21:13:07 這個演員還是希望
00:21:14:13 繼續留在舞台上
00:21:16:02 年齡越來越大的時候
00:21:17:27 難免什麼時候開始忘
00:21:19:25 那個時候大家又要
00:21:21:02 因為包容老人家就算了
00:21:22:11 一定包容...
00:21:23:12 一定給你掌聲鼓勵
00:21:24:09 讓你重新再來講一次
00:21:25:12 對... 希望
00:21:26:07 希望能夠得到大家這樣的包容就好
00:21:28:04 沒問題的
00:21:29:14 那像你看喔, 其實從...
00:21:31:13 你是從什麼時候開始寫劇本的呢
00:21:33:09 我從大學時期
00:21:35:04 大學就開始寫了
00:21:35:17 我主修劇本創作
00:21:37:06 寫了多少的劇本, 你還記得嗎
00:21:39:01 不記得了
00:21:40:08 已經寫到不記得啦
00:21:41:29 不記得了
00:21:42:24 就我的創作已經是我的生活
00:21:45:27 跟生命的樂趣的一個部分
00:21:48:06 我經常的就要寫
00:21:49:20 而且還有很多你像
00:21:51:08 大家看見的劇本出版也好
00:21:53:06 或者是
00:21:53:26 大家看見的相聲瓦舍也好
00:21:55:26 還有一些可能公關活動
00:21:57:22 你今天去就是二十分鐘的本子
00:21:59:15 也是我寫啊
00:22:01:02 就有一次讓宋少卿寫
00:22:02:10 金曲獎頒獎典禮
00:22:03:23 讓宋少卿寫一次就被罵了
00:22:05:21 我記得那一次
00:22:06:27 宋少卿, 那一次是宋少卿寫的
00:22:08:07 是因為原住民的那個事情嘛
00:22:09:16 可是這個提一提喔
00:22:11:04 宋少卿自己是原住民
00:22:12:19 我知道
00:22:13:21 當宋少卿說人家山地人的時候
00:22:16:14 是有那個分際, 是可以的
00:22:18:25 因為他自己是
00:22:19:18 是
00:22:20:05 我們現在看美國片不都常看
00:22:21:19 Hey, nigger
00:22:22:17 有沒有
00:22:23:26 黑人叫黑人nigger
00:22:25:11 有什麼問題
00:22:26:18 我們不是的就不能說
00:22:29:00 所以以這個邏輯來說
00:22:30:10 宋少卿稱別人為山地人
00:22:32:18 我認為有他的分際
00:22:34:20 是被允許的
00:22:35:16 可是可能當下的那個氣氛也好
00:22:38:01 或者是大家覺得
00:22:39:06 宋少卿好像
00:22:41:03 不太恰當這時候說這一句幹什麼
