01:00:30:15	01:00:31:09	你看
01:12:09:08		拜託你們成立一個劇團, 好嗎
01:12:10:19		讓我們有一個地方可以去服務
01:12:13:09		那後來我們就成立一個
01:12:15:14		故事工廠的小匠, 小工匠
01:12:18:03		那我們招募了一百三十四個
01:12:22:23		全台灣北中南
01:12:23:24		那很多耶
01:12:25:19		對
01:12:26:04		所以這些人一直在支持我們
01:12:27:25		給我們力量
01:12:28:22		然後他們也都是不支薪的
01:12:31:06		不論晴雨
01:12:32:06		就站在前台為我們服務
01:12:34:04		所以我覺得真的很感動
01:12:36:25		因為雖然在創作的時候
01:12:40:11		是很寂寞的
01:12:42:02		但是我知道在劇場這條路上
01:12:44:08		我並不孤單
01:12:45:16	01:12:46:27	因為我有很多的夥伴
01:13:21:24		說實在
01:13:22:10		那個「白日夢騎士」
01:13:23:23	01:13:24:28	賣得超好的
01:13:26:02		那我去看了
01:13:26:22		你們台北最末的那一場
01:13:29:13		對, 加演
01:13:30:01		全滿耶
01:13:30:28		對
01:13:31:27		這個
01:13:32:16		其實這個對於一個新劇團來說
01:13:34:15		這個成績是非常非常不容易的
01:13:37:04		對, 因為當時我們在
01:13:40:04		在國家戲劇院的實驗劇場
01:13:42:12		首演的時候
01:13:43:06		也是算破了記錄
01:13:44:16		就三天, 還沒對外正式開放
01:13:46:23		只開放會員就賣光了
01:13:48:28		但是我們知道說觀眾其實他
01:13:52:03		不會所有觀眾都從屏風
01:13:53:29		直接平行移植來故事工廠
01:13:57:07		因為創作的
01:13:59:15		你的作品的風格, 走向不一樣
01:14:02:02		所以觀眾當然會有一些改變
01:14:04:21		所以我們很清楚說
01:14:06:02		我們要重新去定位這個品牌
01:14:08:15		重新去建立
01:14:09:13		和這個觀眾之間的關係
01:14:11:15		因為坦白講
01:14:12:18		我自己今年才三十三歲
01:14:15:01		我的人生閱歷
01:14:15:28		其實還有很多很多空間
01:14:17:14		所以
01:14:18:15		我想這些觀眾
01:14:19:07		會跟著我一起成長
01:14:20:28		然後一起去體悟到
01:14:23:22		很多在生命中的一些點滴的
01:14:25:27	01:14:26:24	這些故事
01:14:27:29		那其實廠長, 你要不要講一下
01:14:29:18		你對故事工廠的期許
01:14:31:06	01:14:34:12	因為當時如果只是一個初衷說
01:14:36:03		不管是有這麼多的好的資源
01:14:37:25		或是希望給大家一個新的家
01:14:40:25		我們還有一群喜歡戲的人
01:14:42:16		可以聚在一起
01:14:43:17		不管是做戲或者是看戲
01:14:45:12		但是故事工廠
01:14:46:06		如果將來要走得很長遠的話
01:14:47:23		其實你一定也會
01:14:48:20		幫它定立一個目標
01:14:50:24		是有別於屏風的
01:14:52:26		那你到底當時
01:14:54:09		定了什麼樣的目標呢
01:14:55:13		其實我剛成立的時候
01:14:57:00		我有把核心的團員找來
01:15:00:01		那我問了大家幾個問題
01:15:01:25		其中有一個我問說
01:15:04:15		任何一個好的團隊
01:15:05:25		要能夠持續的往下走
01:15:07:23		它第一件事情要把使命定出來
01:15:11:06		然後你必須要開拓你的願景
01:15:13:17		所有的同仁都要有共同的信念
01:15:16:25		所以當時候幾經討論之後
01:15:19:21		最後定了一個調
01:15:22:09		這個調
01:15:22:21		還要自己拿來念一下
01:15:24:08		你自己都忘記了, 是不是
01:15:25:14		在這裡
01:15:26:04		我們製造感動, 製造驚奇
01:15:28:04		製造有生命的故事
01:15:30:26		這句話是當時候
01:15:33:09		我們所有的人共同確認
01:15:38:20		這個是我們接下來要做的使命
01:15:42:01		那在表演藝術界最可貴的
01:15:44:01		其實不在作品
01:15:45:18		而是在於人
01:15:47:11		包含未來做文創其實都是
01:15:50:00		當你有人
01:15:51:17		它才會有溫度
01:15:52:27		它才能夠感動更多的人
01:15:55:19		所以我們常常講說
01:15:57:16		這是屏風人第二個家
01:15:59:24		在故事工廠
01:16:01:06		你可以感受到
01:16:02:08		原來家裡面那個溫暖
01:16:04:28		因為大家都說這個致凱是
01:16:07:13		國修老師的嫡傳弟子
01:16:09:07		那中間當然有很多很多的故事
01:16:11:02		比方說
01:16:11:13		聽說你們還就正式的拜師了
01:16:13:21		而且是古禮拜師的那種
01:16:16:11		先... 先喝掛
01:16:17:13		可是對於因為你現在其實
01:16:19:11		因為三十幾喔
01:16:20:20		正是一個男人
01:16:22:28		我覺得是一個要轉變的時候了
01:16:24:12		轉大人嗎
01:16:25:12		對, 因為其實三十歲以前
01:16:27:01		你就是不斷地吸取養分
01:16:28:26		然後慢慢吸取養分
01:16:30:17		可是三十歲之後
01:16:31:15		你接著其實就是開始要想
01:16:33:18		我是誰
01:16:34:29		我接下來要走一條my way
01:16:37:09		我自己的路了
01:16:38:12		而你前面如果承接的是一個
01:16:40:16		挺大的東西的話
01:16:42:28		你要走出自己的那一條路
01:16:44:19		相對於別人來講
01:16:45:29		因為有些人不需要承接
01:16:47:04		其實我走什麼都是my way了
01:16:49:00		可是現在你的狀況就是
01:16:51:10		你要如何
01:16:52:10		就別人一定會看你說
01:16:53:25		你這條路有沒有走歪掉
01:16:55:15		可是問題是
01:16:56:05		如果那是my way
01:16:57:02		其實根本沒有歪掉這件事
01:16:58:28		所以你的路
01:16:59:21		又比別人更難走了一點
01:17:01:19		我覺得像演員
01:17:02:25		演員可能還滿常
01:17:04:05		直接跟你溝通的
01:17:05:15		他可能就會看得很清楚
01:17:06:29		就因為很多人都會說
01:17:08:07		致凱跟國修老師越來越像了
01:17:09:23		可是越來越像
01:17:10:05		到底是好事還是壞事
01:17:12:06		你真的不知道
01:17:13:06	01:17:14:13	你的感想是什麼呢
01:17:15:16		cue到你了
01:17:16:11		cue你啊, 當然啊
01:17:17:09		我以為你是要問他耶
01:17:18:25		沒有啊
01:17:19:17		我先問一下旁觀者嘛
01:17:20:21		旁觀者啊
01:17:22:03		我應該也可以說是看著他長大
01:17:24:16		我應該說
01:17:24:26		我們互相看著彼此長大
01:17:26:16		快十年了喔
01:17:27:09		對, 有十年
01:17:28:08		二○○五年
01:17:28:29		對, 二○○五年到今年九年
01:17:30:26		那就真的從一開始
01:17:33:02		我看著他就是
01:17:34:05		跟在國修老師後面
01:17:35:15		然後就跟著他屁股轉
01:17:36:24		然後拷貝
01:17:37:28		他拷貝老師真的是百分之百
01:17:39:29		我不是說表演喔
01:17:40:24		表演不行
01:17:41:13		真的我們都建議他
01:17:42:06		還是就是好好的編導
01:17:44:01		編導就好了, 對
01:17:45:05		編導是都很好
01:17:46:14		然後演員部分
01:17:47:09		他就不要嘗試, 對
01:17:48:18		然後他拷貝老師, 他的...
01:17:50:18		老師的講課, 老師的講義
01:17:52:05		他可以百分之百完全的拷貝
01:17:55:13		然後完全的一字不漏
01:17:56:29		所以到現在我覺得常...
01:17:59:15		我很喜歡找他聊天的時候
01:18:01:01		因為我覺得從跟他聊天當中
01:18:04:08		我可以聽到很多
01:18:05:08		老師跟我講的一些老師的道理
01:18:07:15		老師的道理在
01:18:08:19		可是他會用他的方法
01:18:10:07		或是我可以聽得懂的方式
01:18:12:07		因為他也知道我才疏學淺, 對
01:18:14:11		他會轉換成他自己的
01:18:16:24		溝通的方式
01:18:17:16		然後我聽得懂的
01:18:18:17		然後告訴我
01:18:19:10		然後包含他導戲的時候
01:18:21:00		其實跟老師也是好像喔
01:18:23:10		很像...
01:18:24:20		對, 那當然啦
01:18:25:26		因為我覺得最可惜的就是
01:18:29:05		就差那麼幾年
01:18:30:10		他如果可以跟老師再貼身
01:18:32:08		把表演這一塊要是再能夠...
01:18:34:28		你是想他跟你們搶飯碗就對了
01:18:37:15		還不夠嗎
01:18:38:10		我相信他應該是
01:18:40:01		跟我們搶
01:18:40:23		還是有一點點程度的差異
01:18:42:14		對啊, 他就可以專心做他的事
01:18:44:14		但是因為老師
01:18:45:14		我覺得他真的非常厲害
01:18:46:23		就是他看到我們表演完之後
01:18:48:10		隨隨便便一個點
01:18:49:20		他就知道我們的問題卡在哪裡
01:18:52:00		那他會用老師的方式
01:18:53:15		然後用說的告訴我們
01:18:54:26		然後老師會用其他的方式
01:18:57:01		他那個老老貓的方式就很快
01:18:59:04		就一聽
01:19:00:05		原來是這樣子這樣, 對
01:19:01:26		好, 這個是演員的角度了
01:19:03:16		你自己怎麼看這個事呢
01:19:06:17		因為當時
01:19:08:17		國修老師他就曾經說過
01:19:10:05		他說
01:19:11:21		我訓練黃致凱
01:19:13:17		我不是要把他訓練成
01:19:15:14		我的接班人
01:19:17:12		我要把他培養成我的對手
01:19:19:25		在劇場的擂臺上較勁
01:19:22:18		他講了這樣一段話
01:19:25:07		因為所有的創作
01:19:27:02		都來自於我們的生活
01:19:29:04		那我們的經驗有分成
01:19:31:17		生活經驗和生命經驗
01:19:33:13		生活經驗談的是食衣住行育樂
01:19:36:10		生命經驗談的是
01:19:37:17		悲歡離合, 生離死別
01:19:39:09		他這應該是老師說的話
01:19:40:15		這老師說的
01:19:41:09		對
01:19:41:22		你也感覺到了
01:19:42:19		是...
01:19:44:26		那因為當我跟他生活在一起
01:19:47:23		但是我們的生命經驗不同
01:19:49:22		成長背景不同
01:19:50:26		所以我們能夠說故事的內容
01:19:52:23	01:19:54:11	跟方式就不太一樣
01:19:55:07		那像我過去在屏風
01:19:57:13		發表過幾個作品
01:19:58:17		其實就跟國修老師作品
01:19:59:25		算是差別非常大
01:20:02:06		我在二○○九年的時候做了
01:20:04:15		算台灣第一齣推理劇
01:20:05:26		叫「合法犯罪」
01:20:07:06		台灣沒有人做過
01:20:08:12		二○一○年那時候
01:20:09:27		我做了算是台灣第一齣的
01:20:11:28		原住民的歌舞劇, 在花博
01:20:14:08		國修老師那時候來看戲的時候
01:20:15:22		他一看
01:20:16:20	01:20:17:29	這是屏風的戲嗎
01:20:19:00		因為它裡面有很多歌舞的場面
01:20:21:10		然後這個舞台非常的美輪美奐
01:20:25:10	01:20:26:20	真的像百老匯那樣子
01:20:28:22		二○一一年那時候
01:20:30:04	01:20:32:08	我做了一齣戲叫「王國密碼」
01:20:33:05		那齣戲是一個城市現代武俠
01:20:35:24		舞台上有中正紀念堂
01:20:37:10		士林夜市啊
01:20:38:10		然後在台北市裡面尋寶
01:20:40:24		結合台灣的歷史, 地理等等
01:20:43:05		做了這樣的戲
01:20:44:19	01:20:46:02	到後來有一次就跟我說
01:20:47:23		我覺得你中好萊塢的毒太深了
01:20:49:22		他這樣跟我說
01:20:50:25		可那是你的養分啊
01:20:52:00		對, 因為我跟他差別在於
01:20:54:08		我們這個世代是
01:20:55:24		圖像思考的這種世代
01:20:58:16		所以我們接受的訊息
01:20:59:24		是很快速的
01:21:01:02		是
01:21:01:27		那國修老師他
01:21:03:01		因為他是演員出身
01:21:04:26		所以其實如果仔細比較
01:21:06:28		黃致凱跟李國修的作品
01:21:08:02		你會發現就是
01:21:09:08		老師的作品
01:21:10:02		因為他很擅長去處理角色關係
01:21:12:18		跟解決演員的這個角色的...
01:21:15:02		處理角色的困境
01:21:15:23		沒錯
01:21:16:14		所以他的戲多半是
01:21:18:10		角色的關係來編織情節
01:21:20:07		來推動情節
01:21:21:29		那我的戲是情節支配角色
01:21:25:16		就是說每個人
01:21:26:16		都被這個某個事件逼到一個
01:21:29:05		你不得不做這個這件事
01:21:31:03		然後你被迫做決定
01:21:33:03		我們從角色遇到事情
01:21:34:05		在做決定的時候看見他的性格
01:21:36:10		這是我的故事和老師的故事
01:21:38:11		最大的不同
01:21:38:27		不同, 對
01:21:39:18		我的情節比較強
01:21:41:07		所以他會說
01:21:42:08		比較偏向好萊塢那樣子
01:21:43:16		可是那是我覺得自己在
01:21:45:13		在成長過程當中
01:21:46:11		當然跟我成長過程的際遇
01:21:48:09		也有關係
01:21:49:15		因為你沒有一個事件發生
01:21:51:14		你看不見一個人的性格
01:21:54:05		所謂行為...
01:21:55:05		它不是別人說的嘛
01:21:56:16		是你的行動, 所作所為嘛
01:21:59:04		就代表你這個人了
01:22:00:01		對
01:22:00:18		這是我跟他的不太一樣的地方
01:22:02:26		這是好理智的分析
01:22:04:15		很多人以為創作者是很感性的
01:22:07:05		其實我某種程度
01:22:08:07		我是一個很感性的人
01:22:09:28		但是其實我
01:22:11:10		很多人不知道我
01:22:12:02		其實黃致凱是一個
01:22:12:23		非常理性的人
01:22:14:08		我在看待很多事情
01:22:15:24		其實我可以是很有條理
01:22:17:10		而且甚至是可以很冷酷的
01:22:19:28		看待某些事情
01:22:21:12		像很多人覺得說
01:22:22:05		創作者是不是都醉生夢死啊
01:22:24:28		是不是要去抽菸, 喝酒啊
01:22:26:20		抱歉, 我不菸不酒
01:22:28:15		我每天早上最晚大概八點半
01:22:30:28		我平常大概七點就起床了
01:22:32:05		我生活是很規律的
01:22:33:19		我去運動
01:22:34:12		然後會去跑步, 會去爬山
01:22:36:06		我算是劇場界的模範生
01:22:38:13		挺驕傲的嘛, 說這個話的時候
01:22:39:26		真的
01:22:40:09		就覺得我們
01:22:40:25		好像我們大家都很糜爛似的
01:22:42:11		他在看你
01:22:42:28		不是, 不菸這個可以理解
01:22:44:14	01:22:46:17	但不酒是因為酒量不好啊
01:22:47:20		突然就開始吐槽了
01:22:49:10		對啊, 拜師就吐了一大...
01:22:50:18		不是
01:22:51:12	01:22:53:04	我有一次吐在國修老師身上
01:22:54:18		這是你送給他的禮物
01:22:56:01		因為有一次那時候我在
01:22:58:00		台大戲劇系那時候
01:22:59:15		我是第一屆
01:23:00:19		然後畢業製作做了一個喜劇
01:23:01:27		但我覺得做得很糟糕
01:23:03:09		然後就跟老師就去
01:23:05:05		算是去吃消夜這樣子
01:23:06:21		然後等下跟老師懺悔
01:23:07:17		他算是我的指導老師
01:23:09:04		說老師, 我真的對不起你
01:23:11:04		我覺得我做的喜劇
01:23:11:27		一點都不好笑
01:23:12:15	01:23:13:07	老師, 對不起你
01:23:14:15		一講完就整個吐了
01:23:15:27		那老師他又是穿著那種
01:23:17:07		很寬鬆的衣服
01:23:18:20		所以你一吐就它直接積了一攤
01:23:20:18		就是穢物在他身上
01:23:21:19		接在身上了
01:23:23:09		他就大師, 大師嘛
