01:00:19:02	01:00:20:13	賣竹竿
01:03:00:18		邵庭輾轉得知
01:03:01:24		一位購物專家的電話
01:03:03:16		決定以電訪的方式
01:03:05:14	01:03:08:02	來請教請教這位專家啦
01:03:10:01		這邊就是要詢問你一下
01:03:11:17	01:03:14:09	購物台是不是會作假
01:03:15:15		說作假其實也不至於吧
01:03:17:26		有時候是會加一些手法
01:03:19:25		讓產品成效快一點啦
01:03:22:21		手法嗎
01:03:23:12	01:03:25:10	那是什麼樣的手法
01:03:26:07		像我曾經有看過的例子是
01:03:28:17		廠商是賣粉刺面膜的
01:03:30:21		它在現場是加了漿糊
01:03:33:03		加了面膜黏著力會比較強一點
01:03:35:22		但是你買回去的商品
01:03:36:23		是不會有漿糊的啦
01:03:38:12		Oh, My God
01:03:39:16		根據購物專家所說的例子
01:03:41:23		有些商品真有可能動手腳
01:03:43:29		來加快成效
01:03:45:24		像面膜會額外添加
01:03:47:04		快乾的黏著劑漿糊
01:03:49:04		利用它固化時的黏著性
01:03:51:03	01:03:53:16	來吸附拔除粉刺
01:03:56:05		而關於流言所說的
01:03:57:13		神奇鍍膜商品
01:03:59:05		稍有頭緒的邵庭
01:04:00:14	01:04:03:24	就化身成購物專家來解謎啦
01:04:07:03		你不要以為穿那個套裝
01:04:09:04		然後頭上頂兩個小籠包
01:04:10:25		你就可以成功賣出商品
01:04:13:11		我今天這一檔無敵奈米鍍膜
01:04:15:23		可是你錯過要後悔的商品耶
01:04:18:14		多少錢
01:04:19:06		拜託, 原價九千塊
01:04:20:24		今天因為老朋友
01:04:22:00		特別算你八千九百九十九
01:04:24:04		才便宜一塊
01:04:25:11		我瘋啦
01:04:25:23		我沒事花八千多塊, 九千塊
01:04:27:09		買這東西幹什麼
01:04:28:03		你不知道它有多厲害
01:04:29:27		我現場實驗給你看
01:04:31:12		來
01:04:31:25		OK
01:04:32:09		這邊有一塊汽車板金
01:04:34:16		一分為二
01:04:35:11		這邊歸你, 這邊歸我
01:04:36:26		現在把這個無敵奈米鍍膜
01:04:39:08		噴在我這邊
01:04:40:02		噴, OK
01:04:41:08		照做就對了
01:04:42:14		噴上去之後
01:04:43:24		直接把它這樣擦乾
01:04:46:20		你會看到你的愛車光滑亮麗
01:04:49:07		怎麼樣
01:04:49:19		有沒有光滑亮麗啊
01:04:52:06		當然
01:04:52:22		你這邊剛剛擦過
01:04:53:28		當然會亮啊
01:04:55:14		如果我要車子亮
01:04:56:27		我就把車送去打蠟就好
01:04:58:17		才幾百塊
01:04:59:06		我幹嘛沒事花個幾千塊
01:05:00:18		買你這什麼鍍膜
01:05:02:00		這樣不買
01:05:02:28		當然不買啊
01:05:03:23		那我問你
01:05:04:17		車子怕不怕泥巴髒
01:05:06:26		怕
01:05:07:14		這下雨天開出去挺麻煩的
01:05:09:04		沒有錯
01:05:10:04		萬一下雨天的時候開出去
01:05:11:24		然後濺到泥巴的時候
01:05:13:02		會怎麼樣呢
01:05:14:15		來試試看
01:05:16:00		這個要搖一搖
01:05:16:23		把下面那個沙子搖勻
01:05:18:19		然後一起把它淋上去
01:05:19:19		好... 我知道...
01:05:20:26	01:05:22:06	來...
01:05:23:27	01:05:25:22	來... 對...
01:05:27:01		你那個泥巴水淋上去
01:05:28:13		這個板金上面
01:05:29:17		當然會殘留這麼多沙子啦
01:05:31:26		小石頭的
01:05:33:04		這個髒水
01:05:34:04		誰說當然
01:05:35:12		你看看
01:05:37:14		你的這個也太乾淨了吧
01:05:39:00		對
01:05:39:27		只是稍微有一點水的感覺而已
01:05:41:21		但是一點泥沙都沒有
01:05:43:09		厲不厲害
01:05:43:29		要不要買
01:05:44:21		如果我怕泥沙的話
01:05:46:04		我再把我的車子送去洗車就好
01:05:48:04		也是幾百塊嘛
01:05:49:07		我幹嘛再花個幾千塊
01:05:50:17		買你這什麼鍍膜啊
01:05:52:17		不怕這個嗎
01:05:53:28		OK啊
01:05:54:15		那我問你
01:05:55:10		你的車子怕不怕被刮
01:05:58:16		這太缺德了, 我跟你講
01:05:59:25		心痛啊
01:06:01:09		痛啊
01:06:02:04		萬一你的車子停在路邊
01:06:03:08		不小心被刮到
01:06:05:03		一下就心痛得不得了
01:06:07:04		來, 你看看
01:06:08:09	01:06:10:02	像這樣
01:06:14:07		好心痛啊
01:06:15:18		你也太狠了吧
01:06:17:14		拜託
01:06:18:08		這一種刮車法
01:06:19:18		這個車子
01:06:20:08		一定要送回去烤漆的嘛
01:06:21:29		對吧
01:06:22:18		但是如果今天
01:06:23:14		你有使用無敵奈米鍍膜
01:06:25:12	01:06:28:27	但是車子被刮的話會怎麼樣
01:06:36:05		是不是一擦就掉了沒有痕跡耶
01:06:38:20		完全不留任何的刮痕
01:06:40:20		厲不厲害
01:06:41:15		這個東西好耶
01:06:42:27		你說...
01:06:43:10		你說一組多少錢...
01:06:44:10		要不要買
01:06:44:29		八九九九是不是
01:06:46:11		沒關係, 義氣你八千五
01:06:48:06		八千五是不是
01:06:49:03		我買十組...買不買...
01:06:50:09		買...
01:06:51:25		這樣你就買
01:06:54:07		你一定常當冤大頭
01:06:56:06		什麼冤大頭
01:06:56:28		原來事情的真相可不單純喔
01:06:59:13		噴上鍍膜的板金
01:07:00:23		看來確實亮麗如新
01:07:03:02		但邵庭潑的不是泥巴水
01:07:05:06		而是以奶茶為基底的色素水
01:07:08:25		因為鍍膜具有疏水性
01:07:10:23		能讓水分子滑落
01:07:12:27		但一碰上貨真價實
01:07:14:16		黏稠的泥沙顆粒
01:07:16:08		就行不通了
01:07:17:18		為了要呈現
01:07:18:13		不沾泥沙的神奇效果
01:07:20:11		這才把奶茶假作泥水
01:07:22:19	01:07:24:15	來誇大效果啦
01:07:26:13		另外鍍膜不怕刮的真相
01:07:28:12		玄機就來自於
01:07:29:13		打火機後方的粉筆啦
01:07:31:26		只要利用借位
01:07:33:08		就能用粉筆畫出一條條的痕跡
01:07:36:09		遠看還真以為是板金被刮傷了
01:07:39:16		但其實這是粉筆的粉末
01:07:42:06		只要輕輕一擦
01:07:43:15		痕跡就立刻消失
01:07:45:07		但板金如果真的被刮傷
01:07:47:03	01:07:49:18	可是怎麼擦都無法擦掉的
01:07:51:11		第一則流言
01:07:52:09		輕輕鬆鬆就破解了
01:07:53:24		不過我想這個汽車鍍膜
01:07:56:01		它只是在這個購物台上面
01:07:58:02		呈現比較誇張一點點啦
01:08:00:06		以我買這麼多商品的經驗
01:08:01:22		我覺得購物台商品
01:08:02:22		其實還是很不錯的啦
01:08:04:01		是這樣嗎
01:08:05:22		流言有提到
01:08:07:00		某個小姐在購物台
01:08:08:04		買了號稱萬能粉的強效洗衣粉
01:08:10:22		據說商品一到手之後
01:08:13:05		效果就沒有廣告影片來得那麼神奇
01:08:15:29		這個萬能洗衣粉
01:08:17:07		我是還沒買
01:08:18:01		不過我是很有興趣
01:08:19:02		因為你知道
01:08:19:15		它那個影片拍得真的很厲害
01:08:21:09		你想想看
01:08:21:25		所有的那個汙垢
01:08:23:00		包含什麼醬油啦
01:08:24:18		小孩子髒汙的衣服啦
01:08:26:11		地毯, 沙發
01:08:27:10		你只要用那個萬能的洗衣粉
01:08:29:09		泡個水這樣輕輕鬆鬆
01:08:30:12		就可以把它清得乾乾淨淨
01:08:32:05		快, 要不要
01:08:32:18		我們來團購一下, 好不好
01:08:33:23		買個洗衣粉嘛, 好不好
01:08:34:25		來... 問一下...
01:08:35:20		好, 買...
01:08:36:16		你們要買萬能洗衣粉
01:08:38:14		找我買就對了
01:08:40:01		眼前這位
01:08:40:24		可是對生活科學
01:08:42:00		瞭若指掌的生活科學專家
01:08:43:25	01:08:45:08	高老師
01:08:46:15		追追追洗衣粉
01:08:48:05		我們有出過這商品喔
01:08:49:10		我沒有印象
01:08:50:05		哪來的啊, 這個
01:08:51:00		對啊
01:08:51:28		為什麼
01:08:52:26		這是我特別調製的秘方
01:08:54:15		效果一定一級棒
01:08:55:25		我知道兩位很喜歡做實驗
01:08:57:22		現在我們就用追追追洗衣粉
01:08:59:22		來驗證它的清潔效果
01:09:02:07		這盒老師掛保證的洗衣粉
01:09:04:03		和一般洗衣粉看來差不多
01:09:06:09		一樣都是白色的粉末
01:09:08:07		效果如何呢
01:09:09:22	01:09:12:11	就讓追追追購物台來驗證了
01:09:17:08		歡迎收看追追追購物台
01:09:19:01		我是主持人邵庭
01:09:20:08		各位婆婆媽媽們有福了
01:09:22:07		因為今天這一檔要介紹的
01:09:24:01		是你每個家裡面
01:09:25:12		絕對不可以沒有的東西
01:09:27:15		而且邀請到的
01:09:29:00		可是購物天王兵總
01:09:32:13		邵庭好
01:09:33:04		電視機前面的婆婆媽媽
01:09:34:29		阿姨, 姊姊們大家好
01:09:36:09		看到我兵總
01:09:37:12		就知道我要帶好東西來給你們了
01:09:39:21		這個追追追萬用洗衣粉
01:09:42:11		我們的追追追牌萬用洗衣粉
01:09:44:12		是由我們台灣農民親手種植
01:09:46:24		檸檬的萃取物所做成
01:09:48:23		百分之百純天然
01:09:50:05		所以買我們追追追牌萬用洗衣粉
01:09:52:12		就等於是照顧我們台灣農民
01:09:53:26		愛台灣啦
01:09:54:18		太好了, 沒錯
01:09:56:06		而且你看這個追追追洗衣粉
01:09:58:24		它這個粉末
01:09:59:27		白晶透亮的
01:10:01:18		就像結晶體一樣很漂亮的
01:10:04:27		邵庭... 你在幹什麼
01:10:07:05		你知不知道剛剛撒的那幾粒
01:10:09:27		就可以洗一件衣服了
01:10:11:18		我們追追追牌萬用洗衣粉
01:10:13:09		好處就是用量非常非常省
01:10:15:14		非常的環保
01:10:16:23		加一點我們追追追牌萬用洗衣粉
01:10:19:09		來... 你看到沒有
01:10:20:21		是不是立即溶解了
01:10:22:04		真的耶
01:10:22:25		而且水還是好清喔
01:10:24:18		沒錯
01:10:25:05		來... 劭庭, 我跟你講
01:10:27:05		這個婆婆媽媽們, 對不對
01:10:29:00		平常在家東擦擦, 西抹抹
01:10:31:11		抹布用得這麼髒
01:10:32:25		如果抹布沒有洗乾淨的話
01:10:34:21		你擦到哪裡, 髒到哪裡對不對
01:10:37:02		洗抹布最麻煩
01:10:38:05		但是交給我們追追追萬用洗衣粉
01:10:40:00		來, 你看看
01:10:40:25		直接丟下去
01:10:41:20		泡進去, 來
01:10:43:06		這個廚房的油汙是非常難洗的
01:10:46:14		媽媽平常要洗這種
01:10:47:25		這麼髒的抹布
01:10:49:17		都在這個流理台, 洗手台
01:10:51:22		一邊這樣搓啊...
01:10:53:22		搓半天對不對
01:10:54:20		搓半天還不見得洗得乾淨
01:10:56:11		但是你看看
01:10:57:10		我們這樣子輕輕鬆鬆的
01:10:59:05		已經可以了我也沒有花很大力氣對不對
01:11:00:28		來, 擠乾
01:11:02:06		你看看...
01:11:04:09		這個抹布是不是跟新的一樣
01:11:06:16		好乾淨喔
01:11:07:21		乾淨吧, 我跟你講
01:11:08:26		這個拿來擦臉都是可以的啦
01:11:11:11		乾不乾淨
01:11:12:13		非常乾淨
01:11:13:11		OK
01:11:13:25		抹布的問題解決了
01:11:15:02		連廚房的油汙都可以洗掉
01:11:16:17		非常的厲害
01:11:18:00		這關過了
01:11:19:00		接下來
01:11:20:01		家裡有一大堆衣服對不對
01:11:21:29		小朋友
01:11:22:28		尤其那個媽媽們
01:11:24:03		小朋友吃東西
01:11:25:15		隨便吃... 對不對滴來滴去
01:11:27:19		吃到衣服髒兮兮的
01:11:29:06		如果譬如說有醬油
01:11:30:13	01:11:31:08	怎麼辦
01:11:32:02		淋到了...
01:11:33:16		怎麼不小心
01:11:35:05		也太不小心了吧
01:11:36:06		媽媽, 這個時候
01:11:37:25		不要罵小孩子對不對
01:11:39:25		小孩子無辜的嘛
01:11:41:01		他不懂嘛
01:11:42:02		這麼髒的衣服怎麼辦
01:11:43:17		沒關係
01:11:44:08		好在有我們追追追萬用洗衣粉
01:11:46:14		來, 你看看
01:11:47:23		這個也可以嗎
01:11:49:02		這個我就不太相信了
01:11:50:13		你覺得有夠難洗的
01:11:52:02		只要用我們這個追追追萬用洗衣粉
01:11:54:28		你看
01:11:55:14		醬油也可以嗎
01:11:57:02		來
01:11:58:09		是不是乾乾淨淨了
01:11:59:11		太厲害了
01:12:00:14		是不是跟後面這個乾淨的
01:12:02:00		一模模, 一樣樣
01:12:02:28		乾乾淨淨的
01:12:04:05		有沒有
01:12:04:20		完全看不出來啊
01:12:06:20		你家呢這件怎麼了
01:12:07:18		應該可能也有像這樣的衣服吧
01:12:09:08		放了好幾年
01:12:10:02		拿出來發現
01:12:11:06		這衣服怎麼已經泛黃
01:12:13:01		泛黃了啦
01:12:14:15		這也泛太黃了
01:12:15:26		你是不是覺得說
01:12:16:27		這個衣服只能丟什麼舊衣回收箱
01:12:18:24		或是直接丟掉當抹布對
01:12:20:02		沒關係
01:12:20:20		交給我們追追追萬用洗衣粉
01:12:22:06		來, 你看看
01:12:23:08		通常這種泛黃的衣服
01:12:24:16		都是放久了之後就當居家服
01:12:26:22		穿得舊舊髒髒, 破破的
01:12:28:01		丟掉算了
01:12:28:25		因為泛黃真的太難洗
01:12:31:11		不可能
01:12:32:16		尤其剛剛那件又黃成這個樣子
01:12:34:13		怎麼可能洗得乾淨
01:12:35:18		劭庭, 我跟你說怎麼可能跟新的一樣
01:12:37:11		算了啦
01:12:38:03		你太浪費
01:12:39:02		我們要愛物惜物啦
01:12:40:07		來...不是, 它都黃成...
01:12:41:19		你看看
01:12:42:01		交給我們追追追萬用洗衣粉
01:12:44:19		這...
01:12:45:03		泛黃, 哪裡泛黃
01:12:47:20	01:12:48:17	我看
01:12:49:20		天啊
01:12:50:12		這麼白
01:12:52:01		太厲害了
01:12:53:15		這是同一件嗎
01:12:54:24		我根本認不出來
01:12:56:13		趕快打電話
01:12:57:29		我們今天有優惠
01:12:58:26		買十盒送兩盒
01:13:00:00		不得了了
01:13:00:21		這個追追追洗衣粉
01:13:02:04		真是magic
01:13:03:03		不出幾秒
01:13:04:01		就把沾染廚房油汙的抹布
01:13:05:24		洗乾淨
01:13:07:04		白衣服遇到醬油也不用怕
01:13:09:14		還有...
01:13:10:05		就連萬年沒穿發黃的衣服
01:13:12:17		追追追洗衣粉
01:13:14:00		通通能還清真面目
01:13:16:05		更驚人的是...
01:13:16:28		來... 你看看
01:13:19:08	01:13:21:04	加下去之後
01:13:22:15	01:13:23:18	小兵
01:13:40:16		追追追萬用洗衣粉
01:13:41:27		還有一個更厲害的地方
01:13:42:28		就是大家都知道
01:13:44:09		以後是一個
01:13:45:08		水資源非常重要的時代對不對
01:13:47:09		對
01:13:47:20		像這一盆乾乾淨淨的水
01:13:49:06		你當然敢喝, 對不對
01:13:50:12		但是如果被人家加了一大堆東西
01:13:53:18		工業汙染, 河川汙染
01:13:55:25		水髒成這樣這誰要喝啊
01:13:56:27		你看看...
01:13:58:00		你敢喝嗎
01:13:59:00		不敢喝嘛, 對不對
01:14:00:20		我們追追追萬用洗衣粉
01:14:02:10		還有一樣功能
01:14:03:06		就是可以淨化水質
01:14:05:08		來...淨化
01:14:06:25		你...
01:14:07:21		水現在顏色這麼髒喔
01:14:10:14		來... 你看看
01:14:12:23		加下去之後
01:14:14:04		水是不是變成乾淨透明了
01:14:16:18		敢不敢喝
01:14:17:11		敢喝嘛
01:14:18:22	01:14:19:17	太強了
01:14:22:00		我的天啊
01:14:22:29		沒想到追追追洗衣粉的威力之大
01:14:25:13		居然能把髒水
01:14:26:16		三秒變得乾淨透澈
01:14:28:18		See, 兵總
01:14:29:17	01:14:31:19	這真是太神奇了
01:14:34:21		老師
01:14:35:18		你這個追追追牌洗衣粉
01:14:36:28		也太厲害了吧
01:14:38:14		這麼髒的水
01:14:39:13		你看, 都可以變清澈
01:14:41:15		這麼好用的東西
01:14:42:13		怎麼只帶一盒來啊
01:14:43:20		應該多準備幾盒嘛
01:14:44:25		大家都想要
01:14:45:19		去汙能力那麼好耶
01:14:46:22		對啊
01:14:47:24		是啊
01:14:48:12		其實要達到去汙的效果
01:14:49:27		它的原理很簡單
01:14:51:13		像我們一般家庭
01:14:52:11		所使用的清潔用品
01:14:54:15		都含有界面活性劑
01:14:56:00		只要靠界面活性劑
01:14:57:05		就可以達到去汙的效果
01:14:59:17	01:15:01:18	這個界面活性劑, 有沒有
01:15:03:08		看到沒有
01:15:04:04		它的這個親水端
01:15:05:16		會把空氣包在裡面
01:15:07:00		形成這樣的泡泡
01:15:08:03		像我們平常在玩那個吹泡泡
01:15:09:24		裡面就含有界面活性劑
01:15:10:28		對
01:15:12:09		但是在清洗油膩的碗盤時
01:15:14:15		卻是相反的情況
01:15:16:06		界面活性劑的親油端
01:15:17:19		會吸附油脂
01:15:18:24		把油汙分子團團圍住
01:15:21:04		這是一種乳化的過程
01:15:23:09		然後再用大量的清水
01:15:25:05	01:15:27:17	就可以把髒汙沖洗掉了
01:15:28:27		有...
01:15:30:09		這樣子稠稠的有沒有
01:15:31:28		乳化...
01:15:32:19		變得有點稍微白白的...
01:15:33:09		原來一般的清潔劑
01:15:34:09		含有界面活性劑
01:15:35:24		它的分子結構就像個大頭蝌蚪
01:15:38:20		有個長尾鏈是討厭水的親油端
01:15:41:14		另一端則是帶有電荷的親水性頭基
01:15:44:29		當界面活性劑分子碰上油脂時
01:15:48:05		親油端可以把油垢包覆住
01:15:50:14		形成微胞而造成乳化現象
01:15:53:06		沖洗盤子時
01:15:54:13		親水端便幫忙
01:15:55:23		把包住油脂的微胞沖離
01:15:58:02	01:16:00:03	而達到清潔目的
01:16:02:08		可是一般的洗衣粉
01:16:03:10		應該也有加界面活性劑啊
01:16:05:25		為什麼就追追追牌這麼厲害
01:16:07:24		其實追追追萬用洗衣粉
01:16:09:17		根本不是洗衣粉
01:16:11:23		而且髒汙也不是真的髒汙
01:16:14:17		這個不是
01:16:15:21	01:16:17:06	這...
01:16:17:16		這不是髒汙
01:16:18:28		那是什麼東西
01:16:20:07		髒汙其實是用優碘調配的
01:16:23:01		優碘...
01:16:24:00		那這個不是洗衣粉的洗衣粉
01:16:25:11		是什麼東西
01:16:26:11		其實它是硫代硫酸鈉
01:16:28:10		它可以當作還原劑
01:16:29:26		然後把黃棕色的優碘
01:16:32:04	01:16:34:11	還原變成無色的碘離子
01:16:40:29		原來這神奇的效果
01:16:42:08		是優碘被俗稱大蘇打的硫代硫酸鈉
01:16:45:02		還原成無色的碘離子
01:16:47:13		如此說來
01:16:48:14		有添加還原劑的洗衣粉
01:16:50:18		除了能清除髒汙
01:16:52:08		還能立刻讓優碘瞬間消失
01:16:55:27		這視覺效果
01:16:56:28	01:16:59:19	還真是讓人驚呼連連
01:17:01:22		老師
01:17:02:17		那剛剛那個兵總
01:17:04:20		表演給我看的神奇效果
01:17:06:13		結果都是假的嘛
01:17:08:08		所以萬一如果我沾到真的髒汙
01:17:10:03		或者是醬油的話
01:17:11:10		老師
01:17:12:05		這個追追追洗衣粉是洗不掉的
01:17:14:17		光靠還原劑是不行的
01:17:16:21		一定要靠界面活性劑才可以
01:17:19:03		所以老師
01:17:19:22		如果我們有機會
01:17:20:14		看到人家在做這樣的實驗
01:17:22:04		我們怎麼知道
01:17:23:01		它的髒汙是真的髒汙
01:17:24:12		還是跟那個無辜的兵總一樣被騙了
01:17:26:19		拿的是優碘
01:17:28:01		這個時候
01:17:28:29		你就可以利用雙氧水
01:17:30:16		雙氧水是一種氧化劑
01:17:32:23		然後它可以把無色的碘離子
01:17:35:23		氧化變成黃棕色的碘分子
01:17:40:12		有...
01:17:41:26	01:17:42:25	變色了
01:17:43:24		沒錯
01:17:44:12		優碘能被還原劑硫代硫酸鈉還原
01:17:47:13		也能和氧化劑雙氧水產生氧化
01:17:50:29		而讓碘離子再度變回棕色的分子
01:17:54:09		但要注意這過程
01:17:55:19		可是會釋放熱量
01:17:57:01	01:17:58:23	可別被燙傷囉
01:18:01:00		而這一連串的氧化還原效果
01:18:03:06	01:18:06:18	就和咱們曾做過的大象牙膏相同
01:18:11:05		說到底
01:18:11:28		我們模擬的實驗
01:18:12:24		其實都動了手腳
01:18:14:15		像是泥巴水
01:18:16:08		也不是真的泥巴水
01:18:18:22		而且這些刮痕
01:18:20:12		都是粉筆畫出來的
01:18:22:06		另外像是洗衣粉還有髒汙
01:18:24:12		也都是假的
01:18:26:19		其實這些誇大的銷售手法
01:18:28:16		很早就有了
01:18:29:20		自古以來就常有江湖術士
01:18:31:28		敲鑼打鼓, 四處走唱
01:18:34:00	01:18:35:03	販賣商品
01:18:36:26		來喔...
01:18:38:01		各位鄉親父老趕快來喔
01:18:40:22		今天小女子跟我哥哥
01:18:42:13		來到貴寶地
01:18:43:07		要為大家帶來這一款
01:18:44:22		超神奇的藥草膏
01:18:46:24		療效有多神奇
01:18:48:00		我不多說
01:18:48:19		各位睜大眼睛眼見為憑
01:18:52:17		此藥膏乃咱家之祖傳秘方
01:18:55:28		今天來到貴寶地
01:18:57:11		就是要跟各位英雄好漢
01:18:59:22		介紹個好東西
01:19:01:08	01:19:04:21	各位睜大眼睛仔細瞧
01:19:08:02		哥, 等等
01:19:09:14		今天沒玩這麼大
01:19:10:29		別擔心
01:19:12:04		我們有神奇藥膏
01:19:13:25		這...
01:19:14:25	01:19:15:25	來
01:19:18:22		哥, 你還好吧
01:19:20:21		我叫你今天別割這, 你不聽
01:19:24:10		快幫我塗上祖傳的神奇藥膏
01:19:27:07		藥膏...
01:19:29:02		哥, 你別擔心
01:19:30:00		塗了這個藥膏之後
01:19:30:24		你瞧瞧有沒有了, 是不是
01:19:32:15		傷口不痛了
01:19:33:24		血也不流了
01:19:35:13		你瞧瞧
01:19:36:07		這傷口馬上就癒合了
01:19:38:28	01:19:40:01	哥
01:19:41:29		怎麼樣
01:19:42:26		是不是很有用
01:19:44:08		沒有錯
01:19:45:06		各位鄉親父老, 錯過可惜啊
01:19:48:03	01:19:49:16	來...
01:19:50:10		太神奇了吧
01:19:51:22		他傷口馬上就好了
01:19:53:05		而且一點事都沒有耶
01:19:54:25		老師, 我覺得這事有蹊蹺
01:19:57:25		沒錯
01:19:58:19		其實這是一套
01:19:59:13		精心設計的廣告效果
01:20:01:05		我猜他的刀子是假的
01:20:03:04		血也是假的
01:20:04:27		那這個效果也太好了吧
01:20:06:20		你看看這個刀子輕輕的一劃
01:20:08:17		馬上就一道血痕出來
01:20:10:22		老師, 如果是效果的話
01:20:12:04		怎麼做出來的
01:20:13:00	01:20:15:11	不然我們來試試看這個
01:20:16:12		薑黃
01:20:18:03		老師, 這做咖哩用的吧
01:20:21:01		咖哩主要的成分就是薑黃
01:20:23:16		我們吃的咖哩顏色黃黃的
01:20:25:13		就是因為含有薑黃素的關係
01:20:29:02		這散發著辛香味的薑黃
01:20:31:07		根莖含有黃色素
01:20:32:27		曾經被視為
01:20:33:27		台灣重要的經濟作物之一
01:20:36:05		不僅是天然的染料
01:20:38:05		也是咖哩的主要成分
01:20:40:11		甚至還可以當作酸鹼指示劑
01:20:43:07		只要在薑黃水中
01:20:44:19		加入鹼性的洗衣粉
01:20:46:13		就能讓薑黃水
01:20:47:27		轉為深紅色的溶液
01:20:50:00		因此兩人就決定
01:20:51:23	01:20:55:05	用薑黃來嘗試假血的效果啦
01:20:57:28	01:20:59:09	來... 你看
01:21:01:18		這樣夠多了吧
01:21:02:15		這有多...
01:21:03:27		來... 肥皂水的假刀
01:21:05:11	01:21:07:00	準備喔
01:21:11:13		慘了
01:21:11:29		超像真的血的
01:21:13:20		有夠明顯的, 你看看
01:21:15:26		好明顯喔
01:21:17:00		根本就真的啊
01:21:18:01		成功了
01:21:19:18		等一下...
01:21:21:06		血看起來是很真沒錯
01:21:23:05		可是旁邊那個薑黃粉這麼明顯
01:21:25:16		你當觀眾看不到啊
01:21:27:04		你傻了你
01:21:28:20	01:21:29:24	不行
01:21:31:08		看得到, 很明顯
01:21:33:14	01:21:35:21	老師, 這樣也不行吧
01:21:37:26	01:21:39:07	你們等我一下
01:21:40:21		瞧老師神秘兮兮的
01:21:42:08		拿出兩大罐粉末
01:21:44:05		請邵庭, 小兵
01:21:44:28		將粉末加入清水中攪拌
01:21:47:09		要來重現藥膏效果囉
01:21:50:05		小兵
01:21:50:27		你現在砍這個地方就對了
01:21:53:07		老師叫我做的
01:21:54:23		邵庭, 原諒我不是, 輕一點
01:21:56:05		真的輕一點
01:21:57:09		我刀子輕輕劃上去不要怎樣
01:21:59:26	01:22:01:29	小兵
01:22:02:29		流血了
01:22:03:27		當然流血了, 痛啊
01:22:05:18		那老師, 快點
01:22:07:00		你的藥膏...
01:22:07:25		在這裡
01:22:08:20		藥膏快到了
01:22:09:07		要不要忍耐一下
01:22:10:03		乖... 忍耐一下
