01:01:03:26	01:01:07:05	立育, 你在看什麼書啊
01:21:05:14		還要更認真
01:21:06:29	01:21:08:22	真佩服耶
01:21:10:19		我在學校教
01:21:11:25		五, 六年級的社會課
01:21:13:19		還有
01:21:14:16		一, 二, 三, 五年級的音樂課
01:21:18:00		你知道平原是在這裡
01:21:19:15		所以你就抄在這裡
01:21:21:12		看不到怎麼教
01:21:22:23		就是要想辦法
01:21:24:05		可能必須要用電子媒材
01:21:26:00		就是可能要用網路的資源
01:21:27:19		或是電子書
01:21:29:08		我可能就是要把我手寫的東西
01:21:31:23		必須要把它打成投影片
01:21:34:06		就是可能我會花掉
01:21:35:04		我自己的個人時間
01:21:36:18		可是我會覺得那是我的責任吧
01:21:38:23		所以我一定會想辦法
01:21:40:16		把他教到會為止
01:21:42:02		好, 哪一個是台灣最大的台地
01:21:45:01		桃園...
01:21:46:21		你們的筆記都有抄嘛
01:21:47:25	01:21:49:07	所以都回答得出來
01:21:49:29		老師真的是太厲害了
01:21:52:02		厲害是雖然老師眼睛看不到
01:21:54:21		可是還可以認真教我們
01:21:56:01		音樂, 社會什麼的
01:21:57:29		都可以教
01:21:59:07	01:22:01:17	所以老師厲害的點就是在這裡
01:22:02:05		就覺得就是她即使看不到
01:22:05:02		還是會去努力完成自己的夢想
01:22:08:05		我覺得這樣很偉大
01:22:10:05		像我視力也很差
01:22:11:12		眼鏡拔掉也是什麼都看不見
01:22:12:29		可是我發現
01:22:13:22		她比我的活動力還好
01:22:15:27		然後就更有信心
01:22:17:26		會覺得說自己好像很有希望
01:22:20:09		還可以做很多事情這樣子
01:22:22:11		所以她無形當中
01:22:23:10	01:22:25:23	鼓勵了我們所有的人這樣子
01:22:29:02		好了
01:22:29:24		因為她是我實驗課的小老師
01:22:32:20		她每次都幫我拿東西
01:22:34:10		好棒喔
01:22:35:28		老師會照顧我們
01:22:37:19		所以就來幫她做一些事情
01:22:40:19		謝謝你
01:22:42:12		她的努力是學生可以看得到
01:22:44:21		學生也知道老師的用心
01:22:46:18		所以教育這種東西
01:22:47:17		就是生命影響生命
01:22:49:21		我用我的生命成長的歷程
01:22:51:19		來影響我們的孩子
01:22:53:09		那孩子會受到影響之後
01:22:55:24		其實他在學習上
01:22:57:04		他有一個方向
01:22:59:09		這樣的話其實給家長
01:23:01:19		所以一直我沒有聽到家長的
01:23:05:16		說這個陳老師教學有什麼不力
01:23:07:19		這種情況都沒有
01:23:09:09		可能是因為她也很認真的
01:23:10:24		準備她的教材
01:23:12:12		她教了好多班級
01:23:13:15		我那時候還跟我們教務講說
01:23:14:18		排那麼多班級給她
01:23:15:21		會不會有太大的壓力
01:23:17:08		又教這個, 又教那個
01:23:18:25		結果發現她都一一可以去克服
01:23:21:17		這一點就可以看到
01:23:22:18		真的是一個很棒的老師
01:23:24:29	01:23:27:06	準備, 開始
01:23:27:24		而且她是滿會鼓勵孩子的
01:23:30:05		她都會過來跟我們分享說
01:23:32:18		我的孩子就像天使一樣
01:23:35:10		然後孩子都很乖
01:23:36:25		她說這些孩子真的都很棒
01:23:39:07		我覺得我們學校這樣安排
01:23:40:20		孩子反而是一個
01:23:41:23		很好的一個生命教育的
01:23:43:12		很棒的一個教材
01:23:45:20		我兒子也很喜歡她
01:23:46:17		剛開始她沒有帶到他的時候
01:23:48:03		我兒子是負責擦音樂教室
01:23:50:22		那我兒子就回來告訴我說
01:23:52:03		媽媽, 有一位老師很特別喔
01:23:55:03		她眼睛看不太到
01:23:57:12		但是她的聲音好好聽喔
01:23:59:05		然後我覺得
01:24:00:02		她一定是很好的老師
01:24:01:04	01:24:02:21	而且她教音樂喔
01:24:03:20		小朋友
01:24:04:21		你們唱得開不開心啊
01:24:06:21		開心...
01:24:08:02	01:24:09:05	開心
01:24:10:01		來唱快樂的聖誕歌
01:24:13:29	01:24:18:00	迎著那鈴聲它整日響亮
01:24:18:26		我覺得思斐老師真的非常優秀
01:24:21:11		一個眼睛看不太清楚
01:24:23:00		但是她卻能做出
01:24:24:03		這麼優異的一個教學成果
01:24:26:10		還有帶學校去比賽
01:24:28:28		孩子都這麼喜歡她
01:24:30:13		我覺得神給她恩典
01:24:32:10		然後我們也很珍惜
01:24:34:00		我們在學校能夠相遇
01:24:35:17		成為很好的同事
01:24:37:03	01:24:38:27	今天天氣真好
01:24:40:02		那一年
01:24:40:17		我剛好接合唱團的指揮老師
01:24:43:02		她的兒子剛好進入合唱團
01:24:45:23		是因為兒子的關係
01:24:47:00		然後我們就建立
01:24:48:11		一個特別的關係
01:24:49:11		彼此幫助跟扶持這樣
01:24:51:20		也就可以說她是我的眼睛這樣
01:24:53:12	01:24:56:01	然後我們兩個會互相鼓勵
01:24:58:11		她音樂彈得很好
01:25:00:08		有時候我覺得說
01:25:01:02		上帝眼睛給她不足的地方
01:25:03:06		但是各方面
01:25:04:07		音樂還有聽力什麼各方面
01:25:06:19		也給她滿滿的恩典
01:25:08:15		所以我在這裡祝福思斐
01:25:09:20		她這樣一步一步
01:25:11:14		能有著燦爛開朗的笑容
01:25:13:23	01:25:16:07	面對人生充滿希望
01:25:16:25		我覺得上帝給她的
01:25:18:18		應該不算是屬世的價值的能力
01:25:22:29		而是屬天的敬拜的能力
01:25:26:09		當她在彈琴的時候
01:25:28:04		雖然不能像是
01:25:29:09		完美的那種音樂家的演出
01:25:32:01		但是可以帶下上帝的同在
01:25:34:29	01:25:37:14	我覺得這個比一切都重要
01:25:40:00		她讓我展現一個新的我
01:25:42:08		就覺得說她能夠從灰白的顏色
01:25:45:17		進入彩色的世界
01:25:46:23		那是我所能夠從她身上看到
01:25:49:02		她是一個不畏懼
01:25:50:29		她就是再怎麼樣的辛苦
01:25:52:16		她就是朝著一個目標在前進
01:25:55:08		然後也是一個
01:25:56:20		媽媽的期望的一個女兒
01:25:58:14		因為媽媽希望她成為教師
01:26:00:21		她也希望自己是
01:26:01:29		她就努力成為媽媽所期望的
01:26:04:04		那個角色這樣子
01:26:06:03		所以是我們每個人學習的一個
01:26:08:15		很棒的一個女孩子
01:26:10:12		我們一起來看一下老師...
01:26:11:26		我的成長歷程
01:26:12:28	01:26:15:11	我很習慣叫自己是老師
01:26:15:27		我為什麼會喜歡教會
01:26:17:02	01:26:20:16	因為教會有詩歌, 有聖歌隊
01:26:21:03		然後會有表演
01:26:22:03		很喜歡那種四部合唱的感覺
01:26:24:25		然後也很喜歡
01:26:25:22		那種流行的敬拜讚美
01:26:27:24		會覺得很熱情
01:26:29:19		而且因為我自己一個人住外面
01:26:31:28		然後會覺得
01:26:32:22		教會就像我的家一樣
01:26:34:11		隨時隨地只要有教會的地方
01:26:36:18		就會覺得
01:26:37:04	01:26:39:08	感覺好像回到家的感覺
