01:01:04:02	01:01:05:19	爆米花
01:37:52:24		所以我們教會動員千人
01:37:54:18		來練習手語
01:37:55:15		有另外兩首詩歌
01:37:57:00		好棒喔
01:37:57:16		就是...
01:37:58:05		對, 就是為了
01:37:59:04		特別為了聽障的一個事工
01:38:01:23		很難得耶
01:38:02:22		很難得啊
01:38:03:16		所以這真的是要推廣
01:38:04:26		因為我們有時候
01:38:06:05		有時候我們這些聽障朋友
01:38:07:25		出去買個東西
01:38:09:18		或者是要跟人家表達謝意
01:38:11:13	01:38:13:05	有時候是真的很麻煩
01:38:13:23		聽聽看我們的評審老師們
01:38:15:24		來
01:38:16:16		我覺得就是舞台上
01:38:18:14		就是服裝很有加分
01:38:21:04	01:38:24:22	然後那個道具的部分就是
01:38:25:12		周圍的部分就是有錯開
01:38:27:08		然後讓這些手語歌
01:38:29:22		就是變得更豐富了
01:38:31:17		我還滿喜歡的, 謝謝
01:38:33:04	01:38:34:17	滿喜歡的
01:38:35:01		表情很豐富
01:38:37:04		表現出了愛
01:38:39:08		讓我很感動
01:38:41:19		很棒來, 老師點評一下
01:38:43:12	01:38:45:02	她們講的我都贊成
01:38:45:18		不管是任何方面
01:38:46:25		他們真的...
01:38:47:12		尤其是正能量上面
01:38:49:27		非常重要
01:38:50:22		對, 但唯一美中不足的
01:38:54:29		比較缺少一些些個性
01:38:58:10		如果說我們再挑剔一點的話
01:39:00:04	01:39:01:29	感覺好像伴舞
01:39:02:12		如果說有一點點那個...
01:39:04:25		一點點個性跑出來
01:39:07:22		是
01:39:08:11		不一定是角色
01:39:09:16		而是一整齣東西的個性
01:39:11:17		除了正能量之外
01:39:13:04		還有什麼東西
01:39:14:21		否則像伴舞就有點美中不足了
01:39:18:11		好像大家的個性太一致了
01:39:20:05		太一致了
01:39:20:28		就比較平面化
01:39:21:28		因為剛剛講的我通通贊成
01:39:23:09		但是就是這一點點
01:39:25:11		要不有點小小的變化
01:39:26:25	01:39:29:23	那個就變得就更好了
01:39:31:02		我覺得剛剛我們表演完
01:39:33:02		然後評審的講評
01:39:34:01		我們每一個都聽得滿開心的
01:39:36:24		因為都滿正面的鼓勵
01:39:38:17		然後讓我們比較沮喪的
01:39:40:17		是加分題
01:39:41:16		覺得好可惜喔
01:39:42:18		因為我覺得他們剛剛三個人
01:39:44:02		其實已經表現得很好了
01:39:46:01		但是好像是手語少了點
01:39:47:23		還是什麼
01:39:48:15		因為我覺得他們已經很棒了
01:39:50:01		可是我們只加到一分
01:39:51:12		所以有點小擔心
01:39:53:03		會不會影響總成績
01:39:54:26		終於走到這一天了
01:39:56:03		因為就是呈現完之後
01:39:57:05		我們就將所有的一切
01:39:59:20		就可以卸下
01:40:00:22		可是在這之前
01:40:01:17		其實我們沒有很多的時間
01:40:03:00		可以練習
01:40:03:27		就是會覺得說
01:40:04:27		就是比賽前的那種緊張跟重擔
01:40:08:01		其實是有的
01:40:09:08		可是我們仍然很喜樂
01:40:10:20		因為知道我們為什麼而做
01:40:12:04	01:40:13:25	為什麼而來練習
01:40:39:23		接下來這個團隊
01:40:40:25		就是我們在地的了
01:40:42:17		來自我們大同社大的手語班
01:40:47:09		這是我們台北在地的
01:40:48:26		而且這次帶來的這個是
01:40:50:04	01:40:51:29	比較屬於老歌的
01:40:52:16		沒錯
01:40:52:29		這首老歌是「鳳凰于飛」
01:40:55:05		我們一塊兒來欣賞
01:40:55:26	01:40:57:09	她們精采的演出
01:40:58:19		大同社大
01:40:59:23	01:41:01:20	加油...
01:41:02:14		活到老學到老
01:41:03:24		用在大同社大的
01:41:05:01		這群六, 七十歲的
01:41:06:09		婆婆媽媽身上
01:41:07:14		真是再貼切不過了
01:41:09:08		因為她們對手語的旺盛學習心
01:41:11:19		可是一點也不輸給年輕人喔
01:41:13:28		不過在複賽時
01:41:15:09		因為被評審批評
01:41:16:23		表演太中規中矩的她們
01:41:18:27		卻對即將到來的總決賽
01:41:20:17	01:41:22:08	有點信心不足
01:41:28:22		為了恢復大姊們的信心
01:41:30:16		我們特地派出
01:41:31:23		帶過很多知名舞團的
01:41:33:09		顏翠珍老師
01:41:34:15	01:41:36:07	前往給予協助
01:41:36:19		這個手要清楚
01:41:38:06		不要要做不做的這樣
01:41:40:19		乾乾淨淨的, 來
01:41:42:08		有沒有可能這個動作分離
01:41:44:02		我們就象徵人本來在一起
01:41:46:12		對不對, 一起
01:41:47:17		然後慢慢的退開來
01:41:49:13		分離不如雙棲的好
01:41:51:12		我們兩個是這樣
01:41:52:24		對, 斜一點就比較好看
01:41:55:21	01:41:57:28	要有帥哥在那邊
01:41:58:17		山眉水眼
01:42:01:09		水眼, 看哪裡
01:42:02:19	01:42:03:28	看前面
01:42:04:14		要眼睛正視喔
01:42:06:16	01:42:07:29	擺好
01:42:08:27		由於大姊們一直無法放開肢體
01:42:11:10		顏老師只好使出殺手
01:42:13:14		帶她們到文化大學舞蹈系
01:42:15:10		希望透過專業舞蹈表演
01:42:17:08	01:42:19:21	刺激一下這群婆婆媽媽
01:42:23:05		若是說今天看了文大的學生
01:42:26:00		這樣的專業的演出的態度
01:42:28:14		精神的話
01:42:29:09		我想對她們很多的幫助
01:42:30:25		在表達, 表現
01:42:33:08	01:42:35:19	還有傳達上都有幫助
01:42:37:18		其實我覺得她們都很肯學習
01:42:40:09		然後也真的是為了手語歌
01:42:43:08		大家在彼此之間的默契
01:42:45:11		或是要求上
01:42:47:01		她們都自我要求很高
01:42:48:25		所以都非常的認真
01:42:50:15	01:42:51:25	很棒
01:42:58:02		經過改造的婆婆媽媽們
01:42:59:29		將會有什麼
01:43:00:20	01:43:02:17	令人刮目相看的演出呢
01:46:04:05	01:46:06:03	尖叫
01:46:07:25	01:46:09:03	這就是...
01:46:09:19		我們為什麼會有興趣
01:46:11:23		在做手語的表演
01:46:13:22		或是說學手語呢
01:46:15:07		來, 我們這位財務會計總長
01:46:19:04		是, 我們學手語
01:46:21:16		我們六個人有一個共同的目標
01:46:23:17		就是我們將來
01:46:24:29		就是手語表演得很好
01:46:26:12		我們可以去做一些公益的演出
01:46:29:06		然後就是藉著這種公益的演出
01:46:32:03		手語的表演
01:46:33:03		然後我們就是
01:46:34:21		可以更加的認識手語
01:46:36:11		那將來碰到有需要幫忙的人
01:46:38:11		我們就可以幫忙他們, 謝謝
01:46:40:09		太有愛, 太有心了
01:46:41:17		給她們鼓勵一下, 好不好
01:46:43:21		謝謝
01:46:44:15		而且聽說她們為了這次的比賽
01:46:47:03		因為她們都要上班嘛
01:46:48:09		是
01:46:48:22		下班之後
01:46:49:15	01:46:51:12	還要開車到很遠的地方
01:46:51:27		去練習
01:46:53:03		就是我們最右邊那位
01:46:55:15		就是冠每
01:46:56:08		她是髮廊的設計師
01:46:59:04		因為她的工作非常非常忙
01:47:01:03		她還接新娘秘書那種的
01:47:03:10		還有就是拍電視外景的
01:47:05:02		所以她工作時間
01:47:06:08		都是到八點半或九點
01:47:08:15		所以我們要配合她的時間
01:47:10:10		所以到她那邊去練
01:47:12:01		所以通常我們練完
01:47:13:09		都會在差不多晚上十點半以後
01:47:16:11		回到家都十一點半這樣子
01:47:18:22		你看, 各位
01:47:19:27		這個是為了公益
01:47:21:02		這也沒有賺錢的喔
01:47:22:25		出去就服務
01:47:23:23		我們需要幫助的朋友
01:47:24:23		為了熱忱
01:47:25:29		這都是熱忱
01:47:27:08		你看人家說
01:47:27:26		我們這個電視圈有沒有
01:47:29:17		說拍戲沒日沒夜的
01:47:31:22		公益圈也是這樣
01:47:33:15		不是人幹的, 你看
01:47:34:23		需要大家支持
01:47:35:21		對
01:47:36:04		三更半夜還在練手語, 是不是
01:47:38:09		六位美女
01:47:39:13		我們當然要請我們的這個
01:47:41:12		現場唯一的男...
01:47:42:24		男士
01:47:43:21		羅老師
01:47:44:09		前面那三組
01:47:45:20		都看得出來他們想要贏
01:47:48:23		我不是說你們不想要贏
01:47:50:14		對, 你這話得講清楚
01:47:51:27		我們也想贏啊
01:47:52:24		當然想...
01:47:53:19		我們是客氣而已
01:47:54:24		有一些人生歷練之後
01:47:56:16		我發現
01:47:57:07		我在看她們表演的時候
01:47:59:28		非常能夠enjoy
01:48:01:13		非常能夠樂在其中
01:48:04:27	01:48:07:04	而且好自在
01:48:07:25		我不是說想贏是錯的
01:48:09:05		並不是這樣子
01:48:09:27		而是用力了
01:48:14:01		多用了一點力
01:48:15:12		然後笑容多了一點
01:48:18:23		有時候又多一點點什麼東西
01:48:21:26		能量
01:48:22:25		都有一點點over
01:48:24:17		多多少少
01:48:25:08		像我上台演戲也會...
01:48:26:25		有時候會over
01:48:27:21	01:48:29:25	那你是更over了
01:48:30:11		但是看這幾位
01:48:31:17		我就覺得
01:48:32:21		她在做
01:48:34:02		就有一種很自在
01:48:35:20		很享受的感覺
01:48:38:04		我其實滿喜歡這種
01:48:42:04		不為什麼而來
01:48:44:03		就是你看
01:48:44:18		她們原本的目的是什麼
01:48:46:15		是幫助別人
01:48:47:11		有需要她們的時候
01:48:48:21		她們就會出去
01:48:49:29		然後帶著這種心情來的時候
01:48:52:13	01:48:54:24	我覺得是非常舒服的
01:48:55:10		和複賽比起來
01:48:56:25		你們真的是改頭換面
01:48:59:08		有了一百八十度的轉變
01:49:01:13		讓我很驚豔
01:49:02:24		真不容易耶
01:49:04:12		原本以為
01:49:05:08		要你們加上動作不容易
01:49:07:11		但是不會
01:49:08:26		你們都做到了
01:49:10:13		難以置信
01:49:11:18		要給你們最大的掌聲肯定
01:49:13:24	01:49:14:27	謝謝老師
01:49:16:26		我們在比賽之前
01:49:18:12		因為有一些道具
01:49:19:27		都不知道要放在哪裡
01:49:21:16		很傷腦筋
01:49:22:22		我們試過很多很多的方式
01:49:25:11	01:49:28:01	就是要讓評審有個驚豔
01:49:28:14		可是真的是傷透我們的腦筋了
01:49:32:03		我們知道有很多隊伍都很年輕
01:49:35:13		他們的肢體動作
01:49:37:04		都可以說是在我們之上
01:49:40:16		那我們的年齡都比較大
01:49:42:10		所以可能一些比較大的動作
01:49:44:07		對我們來講是一種障礙
01:49:46:18		也是一種阻礙
01:49:48:04		所以我們是
01:49:49:14		比較擔心的就是這一點
01:49:51:08		就覺得還滿高興的
01:49:53:00		因為我們畢竟有變化
01:49:55:14		因為依我們年齡層來說
01:49:57:27		就依評審講的
01:49:58:29		我們走位上可能有點困難
01:50:01:04		可是為了這次比賽
01:50:02:25	01:50:04:21	我們真的是很拼命
01:50:05:02		就為了這個走位
01:50:06:17		還有舞蹈的問題
01:50:07:26		我們就是盡全力
01:50:08:28		真的很辛苦
01:50:10:06		所以評審這樣跟我們說
01:50:12:27		跟之前變化很大
01:50:14:29	01:50:16:24	我覺得還滿欣慰的
01:50:17:23		我剛剛看得正過癮
01:50:19:20		怎麼就沒有了呢
01:50:21:09	01:50:22:12	真是的
01:50:23:09		這沒辦法啊
01:50:24:20		因為我們今天的節目時間
01:50:26:07		已經到了
01:50:27:07		你想看的話
01:50:27:29	01:50:29:15	只好等下個禮拜囉
01:50:30:23		還要等到下個禮拜喔
01:50:33:15		不過為了看這麼好看的比賽
01:50:36:02	01:50:38:04	等一個禮拜也是值得的
01:50:38:28		不過在這裡
01:50:40:20	01:50:43:04	我也可以先跟大家透露一點點
01:50:43:18		後面的參賽隊伍
01:50:45:09		不但會有
01:50:46:00		媲美八點檔的古裝大戲
01:50:49:14		以及充滿了青春
01:50:51:24		熱力十足的熱舞
01:50:54:26		還有...
01:50:55:16	01:50:57:07	夠了...
01:50:58:04		你再說下去
01:50:59:27	01:51:01:20	我可能連一個禮拜
01:51:01:15	01:51:03:10	都等不了了
01:51:04:05		別忘了
01:51:05:04		下禮拜一定要繼續準時收看
01:51:08:14		精采又刺激的
01:51:10:17		「寶島好手」總決賽喔
01:51:13:19	01:51:14:14	知道嗎
01:51:14:29		「聽聽看」下週見囉
01:51:17:09	01:51:18:18	拜拜
