01:01:03:09	01:01:05:07	大家好, 我是曉書
01:06:43:24	01:06:45:16	雕工十分的精細
01:06:49:00		這是...
01:06:50:05	01:06:53:01	你猜這隻牛是要送給誰的
01:06:54:06		女朋友吧
01:06:55:14		我老婆
01:06:57:09		我要送給她
01:06:58:24		她屬牛的
01:07:00:07	01:07:01:27	就送給她
01:07:04:21	01:07:06:09	來, 你聞聞看
01:07:08:28		介洲雕這頭牛的目的
01:07:11:14		是為了追老婆
01:07:13:08		就是以前的女朋友
01:07:14:25		剛好她屬牛
01:07:16:14		就雕來送她
01:07:17:17		怎麼又拿回來了
01:07:18:23		拿回來, 是啊
01:07:20:04		她拿回來擺在家裡
01:07:21:15		反正沒用嘛
01:07:23:01		老婆就拿回來放
01:07:24:20	01:07:26:12	就擺來擺去囉
01:07:26:27	01:07:28:05	就這樣啊
01:07:34:22		畢業以後就去念大學
01:07:37:28		結果我考上了國立藝專
01:07:44:15		那個時候還不是大學
01:07:46:04		現在才改制
01:07:47:16		以前大概是在四, 五十年前吧
01:07:52:07	01:07:54:05	那個時候叫做國立藝專
01:07:55:03		學科考試通過之後
01:07:58:19		還沒有去念
01:07:59:28		就跟我爸說我考上了
01:08:02:15		結果我爸說不要去念了啦
01:08:05:05		有沒有大學畢業
01:08:06:24		都一樣要出社會工作嘛
01:08:08:23	01:08:11:11	高中畢業也可以工作啊
01:08:12:08		我一聽就傻了
01:08:13:22		只好放棄學業
01:08:14:23		直接去工作
01:08:15:28		從當學徒開始
01:08:17:23		然後慢慢的練習
01:08:20:20	01:08:23:00	一直維持興趣到現在
01:08:24:00		這個是花瓶
01:08:25:24	01:08:27:05	可以插花
01:08:30:02		介洲的木工學徒之路
01:08:32:03		可說是既艱辛又漫長
01:08:34:10		十八歲那年
01:08:35:15		他在父親的工廠裡
01:08:36:26		學習木工技藝
01:08:38:25		但是因為聽不見聲音
01:08:40:18		他只能邊看邊模仿
01:08:42:24		經過三年多手工操作之後
01:08:45:17		才讓他試著用機械切割
01:08:48:08		在工廠整整磨練了一, 二十年
01:08:51:05		將木結構以及技巧
01:08:53:02		練得十分的精熟
01:08:54:25		當時還非常年輕的介洲
01:08:57:03	01:09:00:06	終於成為手藝精湛的木工師傅
01:09:06:05		好別致喔
01:09:07:20		這也是你做的
01:09:08:23	01:09:09:24	是啊
01:09:10:05	01:09:11:24	這兩個不一樣
01:09:13:25		有什麼不同
01:09:15:02		剛開始刻的比較大
01:09:17:27		後來我就嘗試縮小
01:09:20:05	01:09:22:17	沒想到真的可以縮成這麼小
01:09:23:05		偶爾會不小心刻斷
01:09:25:08	01:09:27:10	後來就越刻越小
01:09:27:28		對了, 你有沒有一塊錢
01:09:29:13		有嗎
01:09:30:03	01:09:31:28	一元硬幣來比比看
01:09:33:21		很多人對於介洲的作品
01:09:35:09		都非常感興趣
01:09:36:28		連一些設計師
01:09:38:01		也會向他訂製家具或是藝品
01:09:40:27		他個人得過多項
01:09:42:09		國內及國際的木雕和木工獎項
01:09:45:21		而他的太太也是一位創作人才
01:09:48:18		在陶藝和籐藝方面
01:09:50:15		也是得獎連連
01:09:52:07		可說是難能可貴的
01:09:53:18	01:09:55:25	聽障夫妻創作檔
01:10:00:28		好浪漫喔
01:10:02:12	01:10:03:24	不對...
01:10:05:25		你喜歡編籐藝
01:10:08:03		喜歡啊
01:10:09:05	01:10:10:18	為什麼
01:10:11:22		編籐的過程
01:10:13:03		你會覺得跟它融為一體
01:10:15:17		很好玩
01:10:16:18		很開心
01:10:18:06	01:10:19:25	編籐很好玩
01:10:24:04		先生希望我可以去參加比賽
01:10:27:23		但是我一直拒絕
01:10:29:15		他還是不斷鼓勵我去試試看
01:10:32:08		雖然心裡很忐忑
01:10:34:15		但是看他那麼努力
01:10:36:14		我覺得就試試看吧
01:10:38:22		然後就開始練習
01:10:40:21		剛開始是學捏陶
01:10:44:02		沒想到得了第三名耶
01:10:46:03		我覺得自己能力還可以
01:10:47:23		建立了信心
01:10:49:21	01:10:52:23	他又希望我報籐藝
01:10:53:20		我考慮很久
01:10:55:07		決定再試試看
01:10:56:18		練習了一陣子再去參加比賽
01:11:00:02		又得到了第三名
01:11:02:20		真的很謝謝我老公
01:11:04:29		感謝他的鼓勵
01:11:06:13	01:11:08:15	讓我有勇氣去比賽
01:11:09:07	01:11:11:05	我真的很感謝他
01:11:12:28		介洲自從成家立業以來
01:11:15:13		在家庭和工作方面
01:11:17:10		都付出相當大的努力
01:11:19:13		他和太太兩個人
01:11:20:22		各自在自己的創作領域上
01:11:22:20		不斷的求進步
01:11:24:12		彼此是對方重要的精神支柱
01:11:27:03		遇到瓶頸時也會互相鼓勵
01:11:29:25		可說是一對
01:11:30:20		相知相惜的恩愛夫妻
01:11:33:01	01:11:35:11	令周遭的親友們稱羨
01:11:43:13		這是什麼呢
01:11:44:27	01:11:46:13	蔥蛋
01:11:47:08	01:11:49:06	炒蔥花蛋, 讚
01:11:51:14		這蔥花蛋很香吧
01:11:53:02		很好
01:11:53:29		很香
01:11:54:16	01:11:55:28	你吃吃看
01:11:56:05		他小時候很可愛, 很漂亮
01:11:58:09		那個眼睛很大
01:11:59:26		那個睫毛很翹
01:12:01:10		我們大家都很愛他
01:12:02:15		我們都很愛他啦
01:12:04:11		我那些堂弟裡面
01:12:07:12		就他最帥
01:12:09:05		我最愛他
01:12:10:12		他就很辛苦
01:12:12:09		他真的很辛苦
01:12:13:24		因為他沒有聽到
01:12:15:21		那個嘴巴不能講
01:12:17:07		之前我有教他講話
01:12:19:29		音怎麼講
01:12:21:00		嘴唇怎麼對
01:12:22:15		有一段時間
01:12:23:13		他那發音有一點點正確
01:12:26:00		有比較正確
01:12:27:11		後來因為我結婚之後
01:12:29:00		就比較少接觸
01:12:30:16	01:12:33:14	沒辦法再這樣繼續再教他
01:12:40:16		他娶太太以後
01:12:41:24		娶太太以後
01:12:43:08	01:12:45:05	自己就出來發揮
01:12:46:00		很老實
01:12:47:10		他的才藝真的很好
01:12:49:02		他有得很多獎
01:12:50:26	01:12:52:21	漂亮... 讚
01:12:53:13		好朋友
01:12:54:28		跟她買東西
01:12:55:26		對啊
01:12:56:14		她是原住民喔
01:12:58:03		原住民, 跳舞超厲害的
01:13:00:05		讚
01:13:00:18		就是我們常常會來這邊表演
01:13:02:21		就好朋友
01:13:03:22		他們人很好
01:13:05:01		她心地很好
01:13:06:23	01:13:08:19	不會講就用寫的
01:13:17:00		這對夫妻真的是模範的
01:13:19:17		是我們台灣之光
01:13:21:05		這個
01:13:22:11		他木椅都自己做的
01:13:25:10		他真的有這種功夫
01:13:27:29	01:13:29:02	真的很不錯
01:13:29:16		像我們就帶他們
01:13:30:13		去南部自強活動
01:13:32:05		大鵬灣, 六堆文化
01:13:34:03		都去參訪一下
01:13:35:23		差不多一年都會出去外面
01:13:37:12		跟人家交流一下
01:13:39:03		那個旅遊要去嗎
01:13:41:08		他說他不能去
01:13:41:26	01:13:44:05	他說要去國小教那個...
01:13:48:13		介洲只有在假日的時候
01:13:51:03		在外面擺攤做生意
01:13:53:20		他在斗南自己的住家裡
01:13:55:28		設置了木工工作室
01:13:58:18		你看, 就是這裡
01:14:00:16		平常他就在工作室裡
01:14:03:13		從事他的木工創作
01:14:06:03		介洲一家真的很特別
01:14:08:20		不但夫妻兩個人才藝出眾
01:14:11:22		他們的兒子政軒也很厲害
01:14:14:21		現在就讀南華大學
01:14:18:18		今年才剛剛拿下
01:14:20:21		國際展能節的木工金牌
01:14:24:05		真是好優秀的一家人啊
01:14:26:08		看他們同心協力
01:14:27:29		在四樓這邊
01:14:29:18		有專屬的木工工作室
01:14:32:11		還有雕刻器具
01:14:33:25	01:14:35:01	去看看
01:14:37:22	01:14:40:23	這邊一定要處理得順一點
01:14:41:26	01:14:43:15	要弄順一點
01:14:44:11		來...
01:14:46:28		爸爸教你的時候
01:14:48:09		有沒有很凶啊
01:14:50:06		有啊, 平常都有
01:14:51:22		會凶你啊
01:14:52:27		都凶你什麼
01:14:53:25		會打你嗎
01:14:55:13		沒有打我啦
01:14:56:12		只是會凶
01:14:57:13		用手語跟我說
01:14:58:17	01:15:00:12	很多要注意的事情
01:15:01:05	01:15:02:25	拿去畫線, 這裡
01:15:04:09		要留嗎
01:15:05:16	01:15:06:18	隨便...
01:15:08:25		教他, 有時候心裡會一把火
01:15:12:22		甚至氣到叫他不要再做了
01:15:15:14	01:15:17:07	反正做了也會失敗
01:15:18:09		他罵兒子的時候
01:15:20:28		兒子個性比較溫和
01:15:23:09		我會勸老公不要勉強孩子
01:15:25:16		孩子比較溫和
01:15:27:06		慢慢教他
01:15:29:03		但他還是氣不過
01:15:31:14		我就一直安撫老公
01:15:33:03		等過幾天
01:15:34:02	01:15:36:25	孩子自然就會努力的去學
01:15:37:14	01:15:38:26	他才同意
01:15:39:26		我以前也是過來人
01:15:42:17		以前年輕的時候也很激動
01:15:45:19		後來才知道爸爸說的對
01:15:47:29		我應該聽他的
01:15:49:20		所以就把以前爸爸說過的話
01:15:51:28		拿來教兒子
01:15:53:05		兒子有時候也會生氣
01:15:54:28		我只好要他冷靜
01:15:56:05	01:15:57:23	慢慢改正錯誤
01:16:01:24	01:16:02:29	再做一次
01:16:08:29		真不愧是老師傅
01:16:10:25		一隻老鳥帶著一隻菜鳥
01:16:14:16		慢慢的示範給孩子看
01:16:17:11	01:16:19:12	傳授自己的一身絕活
01:16:21:28		你看, 就是這樣
01:16:24:13	01:16:26:14	要注意這半邊的弧度
01:16:27:03		我告訴孩子要忍耐
01:16:29:15		爸爸是希望你技巧越來越純熟
01:16:33:29		去比賽也能夠拿個冠軍
01:16:37:06		一直在開導他
01:16:38:20		要理解爸爸對你的期待
01:16:41:05		孩子就能夠接受了
01:16:42:25		在還沒有開始學木工之前
01:16:45:29		你本來會不喜歡木工嗎
01:16:48:10		會啊
01:16:49:12	01:16:50:25	為什麼呢
01:16:51:26		我本來個性就比較懶散
01:16:54:20		真的, 本來就很懶散
01:16:57:04		為什麼懶呢
01:16:58:15		看到爸爸
01:17:00:20		我這麼懶
01:17:01:25		還認真的教我
01:17:03:17		把他的技術整個傳給我
01:17:06:08		好辛苦喔
01:17:07:14		所以我決定不再懶散
01:17:08:22		認真學習
01:17:09:25		後來呢
01:17:11:07		後來, 就去比賽了
01:17:13:21		你也知道啊
01:17:14:28		我去法國比賽得到了金牌
01:17:17:15		因為我很努力
01:17:18:22		也把獎牌獻給爸爸
01:17:20:12		爸爸他很高興
01:17:22:06		所以
01:17:23:12		以後要繼續努力的做下去嗎
01:17:26:08		會, 這三年要用心學雕刻
01:17:30:03	01:17:32:14	再拿金牌讓爸爸開心
01:17:33:15		你現在就已經拿到金牌了
01:17:34:29		還要再拿什麼
01:17:36:14		希望除了木工金牌
01:17:39:01		還可以拿木雕金牌
01:17:40:27		就像爸爸以前一樣
01:17:42:11		他只拿到木雕銅牌
01:17:44:01		我希望能夠幫他拿到金牌
01:17:45:26	01:17:47:24	讓他與有榮焉
01:17:48:18		他說想代替爸爸去拿金牌
01:17:51:16		要拿木雕金牌
01:17:53:01	01:17:54:11	我也很開心
01:17:54:22	01:17:56:25	當爸爸的真的很開心
01:18:00:04		李政軒是
01:18:01:11		我研究所一年級的指導的學生
01:18:04:12		他大學四年也是在這邊念的
01:18:07:18		他是完全聽不到
01:18:08:27		他在大四的時候
01:18:11:01		去參加全國的身心障礙競賽
01:18:14:07		他得到了第二名
01:18:15:20		也獲取了國手的資格
01:18:18:11		到法國波爾多
01:18:19:15		參加國際的展能節技能競賽
01:18:22:17		他也很爭氣
01:18:24:18	01:18:25:27	他得到了金牌
01:18:27:24	01:18:31:04	他這次競賽的作品就是這個
01:18:32:06		不容易
01:18:32:24		因為這個要經過長時間的訓練
01:18:35:23		你才有這個水準
01:18:37:14		最起碼要訓練一年
01:18:39:08		才有可能把這個結構
01:18:40:28		做得那麼漂亮
01:18:42:16		它規定的時間是五個半小時
01:18:45:03		他提前一個小時做完
01:18:47:07		做完以後我也很有把握
01:18:49:18		他應該是沒有問題
01:18:51:20		可以拿到金牌
01:18:53:00		比賽整個過程
01:18:53:28		他爸爸都站在旁邊
01:18:55:28	01:18:57:12	所以給他壓力很大
01:18:58:01		老師的功勞最大
01:19:00:11		教得很辛苦
01:19:02:11		老師很熱心又很細心的指導
01:19:05:06		真的很感謝他
01:19:06:19		我雖然也可以教
01:19:08:03		但實在是太忙了
01:19:09:14		沒辦法
01:19:10:07		還是讓老師來指導
01:19:11:17		我有工作
01:19:12:24		沒辦法分心
01:19:14:08		我知道他是一位
01:19:15:12		很細心的好老師
01:19:17:19		真的很好
01:19:18:20		太感謝他了
01:19:19:14	01:19:20:03	謝謝
01:19:24:10		我是一直鼓勵他
01:19:26:01		在我們學校把碩士讀好
01:19:28:01		如果他能夠取得碩士學位
01:19:30:10		學校這邊
01:19:30:26		就可以安排他來做兼課的工作
01:19:33:26		那他可以在生活上
01:19:35:25		也有一些津貼來補助他
01:19:38:13		這個機器刨出來的一定很好
01:19:41:06	01:19:42:25	這機器刨出來的
01:19:43:15		就是看他的做事的方法
01:19:46:04	01:19:48:15	就是沒有那麼細心
01:19:49:19		所以如果那個細心
01:19:51:00		可以改善的話
01:19:52:12	01:19:53:29	會比較好多了
01:19:54:28		她很厲害...
01:19:56:13		他的好還是你的好
01:19:58:22	01:20:00:22	老師教的好
01:20:04:05		擁有一身好木雕
01:20:06:03		和木工本領的介洲
01:20:08:16		很樂意把自己苦學多年的技藝
01:20:11:15		傳承給下一代
01:20:13:07		因此他就想到
01:20:14:28		文化必須向下扎根
01:20:17:26		這幾年來他很熱心的
01:20:19:21		在做傳統木工藝術的推廣工作
01:20:23:08		在國小和國中擔任木藝老師
01:20:26:21		希望有機會能夠培養出
01:20:29:20	01:20:32:03	更優秀的木藝人才
01:20:42:13		今天再來做一把劍
01:20:45:20	01:20:46:16	OK
01:20:47:18		今天我們這邊上課的是
01:20:49:21	01:20:51:15	五年級的同學
01:20:52:15		很高興我們有邀請到介洲老師
01:20:55:06		跟我們一起來這邊上課
01:20:57:11		因為介洲老師
01:20:58:15		可能表達比較不方便
01:21:00:08		我們通常是用比的
01:21:01:29		就會大概瞭解他的意思
01:21:04:03		如果真的不知道
01:21:05:05		我們就稍微手寫一下
01:21:06:13		你看一下桌面上
01:21:07:27		這些全部都是我們溝通的
01:21:11:00		我們都是在這邊溝通的
01:21:12:16	01:21:13:24	對...
01:21:14:17		這班是六年級的班級
01:21:16:21		然後這班孩子很喜歡木工
01:21:19:05		所以他們的進度也可以說
01:21:21:07		都是在比預期再更好一點
01:21:24:11		其實你只要夠努力
01:21:26:09		你都可以成為佼佼者
01:21:27:28		像介洲老師今年帶孩子去參加
01:21:30:18	01:21:33:15	國外參展得到金牌等等的
01:21:34:01		這個是攪拌棒
01:21:36:10		那時候老師跟我講說
01:21:38:06		可以自己去找你想要做的東西
01:21:40:02		然後老師會讓你去做
01:21:42:02		所以我就這樣子一直想
01:21:43:26		想說要不然做攪拌棒好了
01:21:46:06	01:21:48:25	然後上面用一隻貓咪比較可愛
01:21:49:12		哪一個是貓咪
01:21:50:13		這個
01:21:51:22	01:21:53:09	他自己設計的
01:21:54:22		有一次我在綠色隧道
01:21:57:11	01:21:59:00	遇到李介洲老師
01:21:59:28		首先是到他的攤子
01:22:01:09		看到他這些作品
01:22:02:27	01:22:05:28	覺得非常的自然樸實
01:22:06:22		原來李老師是一個聽障人士
01:22:09:16		那更為感動說
01:22:11:09		他不去看到他自己的困難點
01:22:14:23		反而做了很多的突破
01:22:16:20		學校剛好也有木工的課程
01:22:19:17		當下我就鼓起勇氣
01:22:21:27		邀請老師是不是有這個機會
01:22:23:20		來山峰任教
01:22:25:05	01:22:27:13	那老師很爽快的就答應了
01:22:31:25		其實老師本身就是一個寶庫
01:22:35:05		他很多的工法
01:22:37:04		很多做木工的一個方式
01:22:39:13		傳遞給孩子
01:22:41:01		那孩子在做的這個過程中
01:22:43:06		它的這個細緻度
01:22:45:06		它的精緻度
01:22:46:10		作品的多樣性
01:22:47:20		都變得更寬廣
01:22:49:10		其實老師教的不是只有技術
01:22:51:17		而是他這種精神層面
01:22:53:15		他克服困難
01:22:54:28		然後勇於突破
01:22:56:07	01:22:58:03	希望這個精神能夠傳達給孩子
01:22:59:04		教得很開心
01:23:00:15		這些孩子很棒
01:23:02:02		從五年級什麼都不懂
01:23:04:20		到現在可以有自己的想法
01:23:07:17		以前剛開始什麼都不會
01:23:11:13		慢慢的精益求精
01:23:13:10		有了動力和樂趣
01:23:15:04		開始喜歡木工
01:23:16:15		跟五年級時真的不一樣
01:23:18:27		比起以前
01:23:20:04		現在每個人都相當的積極
01:23:22:19	01:23:24:07	進步很多, 對不對
01:23:24:24		對不對
01:23:25:21		大家都有進步
01:23:26:27		也都很有興趣
01:23:27:26	01:23:29:04	你也是嗎
01:23:29:19		你看得懂老師的手語嗎
01:23:32:03		有時候不太清楚
01:23:35:03		那怎麼辦
01:23:35:29		寫在黑板或寫在桌子上
01:23:38:20	01:23:42:25	如果老師不知道就用比的
01:23:43:12		老師很認真在教我們
01:23:45:18		就學興趣可以做東西
01:23:47:29	01:23:51:18	然後有時候就是可以拿來做
01:23:53:06		李老師是不錯, 人很好
01:23:55:23		會送我們一些雷射過的筷子
01:23:59:09		就幫我們寫上自己的名字
01:24:01:20		然後做完一個很好的東西的話
01:24:04:11		他就會送一個
01:24:07:02		很好的東西給我們
01:24:08:21	01:24:10:08	像梳子這樣
01:24:12:07	01:24:13:24	我是外地的家長
01:24:14:19		然後帶小孩來這邊上學
01:24:16:09		順便就有家長成長課
01:24:18:14		然後我就過來這樣
01:24:20:04	01:24:21:17	有時間就過來
01:24:23:18		要有弧度, 你看
01:24:25:17		弧度要很漂亮
01:24:27:12	01:24:28:14	你看
01:24:30:00		初級
01:24:31:09		初級, 還是初級的
01:24:33:25		老師是說要斜四十五度
01:24:36:15	01:24:37:17	對...
01:24:40:11		覺得...
01:24:42:13		剛開始都不會
01:24:43:24		那做了之後
01:24:44:24		有老師的指導
01:24:45:27		我覺得至少不會那麼的生疏
01:24:49:09	01:24:51:28	然後不會還有人可以請教
01:24:52:18	01:24:54:24	主要是要做給孩子用的
01:24:56:21		我從沒有木工的底子
01:24:59:22		然後看到我們的成品
01:25:01:07		感覺有時候就覺得
01:25:02:18		我怎麼可以從不會
01:25:04:02		然後到做到這樣子
01:25:06:25	01:25:08:28	所以覺得很謝謝老師
01:25:12:15		他本身也是身心障礙者
01:25:16:20		希望能夠回饋社會
01:25:19:05	01:25:21:03	用愛去推廣
01:25:22:03		回饋社會大眾
01:25:24:15		希望能跟大眾交流
01:25:27:20		聽人跟聾人都一樣
01:25:29:21		要彼此幫助
01:25:30:22	01:25:31:12	這樣才好
01:25:32:13		從以前二十歲的時候
01:25:34:26		就對木藝有興趣
01:25:37:09		二十五歲景氣還不錯
01:25:39:18		三十歲開始
01:25:40:29	01:25:43:08	木藝就慢慢的沒落了
01:25:44:08		一直到現在都沒有了
01:25:45:27		沒落了, 沒有了
01:25:47:24		我很擔心木藝會失傳
01:25:50:24		有危機感
01:25:52:04		希望一定要繼續傳承下去
01:25:55:04		所以我也去國小教木藝
01:25:57:14		希望培養他們的興趣
01:25:59:14		從日常用品湯匙做起
01:26:01:12	01:26:02:06	慢慢的培養
01:26:04:20	01:26:05:22	對了
01:26:07:22	01:26:08:15	你看
01:26:10:25	01:26:11:20	做得很好
01:26:13:23		今天我非常的高興
01:26:15:26		不但看到我們的聽障之光
01:26:18:10		木工金牌師傅李介洲
01:26:20:19		非常精緻的木製工藝品
01:26:23:07		同時也跟他們一家人
01:26:24:16		聊得相當的愉快
01:26:26:11		一件好的工藝藝術作品
01:26:28:13		往往是工藝師傅
01:26:29:25		多年心血的累積
01:26:32:08		它豐富了我們的生活
01:26:34:15		同時更傳達了許多美的訊息
01:26:37:19	01:26:40:02	使生命更加的美好
01:27:23:16	01:27:24:17	一樣
01:27:26:08	01:27:27:11	一樣
01:27:40:09	01:27:41:15	做什麼啊
01:27:42:19		日本
01:27:44:00		台灣
01:27:45:05		搭飛機來
01:27:46:12		開心...
01:27:47:23	01:27:49:02	讚...
01:28:12:04		你們一定覺得很好奇
01:28:14:17		為什麼我要表演默劇呢
01:28:16:25		聽說
01:28:17:28		有兩位來自日本大阪默劇團的
01:28:20:19		聽障朋友來台灣演出
01:28:23:14		他們也跟我一樣演默劇
01:28:26:02		想一睹
01:28:26:23		兩位日本聽障朋友的風采嗎
01:28:28:25		好, 趕快跟我一起去瞧瞧吧
01:28:31:29	01:28:33:02	走
01:28:39:04	01:28:40:08	跟我來
01:28:45:18		日本聾人在那邊等我們去會合
01:28:49:07	01:28:50:00	走
01:28:51:27		嗨
01:28:52:23		嗨
01:28:53:20	01:28:54:26	嗨
01:28:56:22		很高興認識你們
01:28:57:28	01:28:58:19	謝謝
01:29:09:03		這位是濂僑
01:29:10:08	01:29:11:11	濂僑
01:29:12:06		我是芳本, 你好
01:29:14:02		芳本, 你好
01:29:15:01		我是濂僑
01:29:15:22		你是...
01:29:16:17		我是田中
01:29:17:12		田中
01:29:18:00		好的, 請...
01:29:19:06	01:29:20:05	謝謝
01:29:22:27		兩位來自日本的聽障朋友
01:29:24:20		芳本光司與田中真吾
01:29:27:04		是大阪市聾人學校的
01:29:28:16		學長與學弟
01:29:30:04		因為學生時代
01:29:31:14		看到學校
01:29:32:06		邀請從德國來的聽人演員
01:29:34:12		表演默劇
01:29:35:16		對默劇產生了興趣
01:29:37:11		而在一九七八年尋找同好
01:29:40:04	01:29:42:14	成立了日本大阪默劇團
01:29:46:20		大阪默劇團成立的時候
01:29:48:20		我是創團元老
01:29:50:26		當時廣泛的找聾人, 聽人
01:29:52:27		一起參與
01:29:54:01	01:29:56:21	互相合作學習, 經營劇團
01:29:57:27		當初學長找我負責控制燈光
01:30:01:26	01:30:05:16	利用光的明暗製造氣氛
01:30:06:03		我負責燈光
01:30:07:26		後來漸漸的
01:30:09:04	01:30:11:27	學長教我表演默劇
01:30:13:12		你很棒
01:30:14:17		然後和他一起搭檔
01:30:16:17		登台演出
01:30:18:01		接著去許多國家表演
01:30:20:04		都是免費演出
01:30:21:17		到不同的國家去
