01:01:04:08	01:01:05:03	曉書
01:06:12:01		他很怕我會哭
01:06:13:16		他在寫到哥哥走的那一段
01:06:15:26		十七, 八年了
01:06:16:29		如果哥哥在的話
01:06:17:29	01:06:19:12	已經快要考大學了
01:06:24:27		以前是比較怨嘆啦
01:06:27:09		就覺得說怎麼
01:06:28:20		上天怎麼這麼會開玩笑
01:06:30:15		一個這樣
01:06:31:15	01:06:33:00	然後又一個又...
01:06:36:03		因為他生出來好手好腳的
01:06:38:08		又白白胖胖的
01:06:39:26		阿公阿嬤都讚不絕口
01:06:41:26		就覺得很開心
01:06:43:12		那時候我還帶他去大陸
01:06:45:10		爸爸在大陸工作
01:06:46:23		我就帶他當空中小飛人這樣
01:06:49:17		就回來兩個月, 過去兩個月
01:06:52:03		後來有一次我就問醫生
01:06:53:22		我說我的孩子現在一歲出頭了
01:06:56:22		也好像還沒有叫爸爸媽媽耶
01:06:58:11		那時候我公公就說
01:07:00:10		你看那上面有寫大隻雞慢啼
01:07:05:03	01:07:06:12	沒有啦, 那個叫反問句
01:07:07:25		那個人家特別就是提醒家長
01:07:10:22		不要認為大隻雞慢啼
01:07:12:07		爸爸就覺得說誰隔壁的小孩
01:07:13:29		五歲才講話也沒怎樣啊
01:07:15:26		你這個才一歲多而已
01:07:17:04		你就在那邊緊張
01:07:18:17		可是我感覺就是有點怪怪的
01:07:21:07		人家的小孩比較會吵
01:07:23:03		我們家的小孩只吵餓
01:07:24:15		只要吃飽了, 他就沒事了
01:07:26:14		他就自己玩
01:07:27:14		我記得他最愛轉自己的手指頭這樣玩
01:07:31:04		很方便就是
01:07:31:25		我甚至可以出去買菜
01:07:33:02		把他丟在家裡
01:07:34:03		我出去一個小時都沒事
01:07:36:06		那我陪他玩, 他也沒什麼意見
01:07:38:27		你不陪他玩也沒什麼關係
01:07:41:06		只有不能剪趾甲
01:07:43:16		很小的時候就是剪腳趾甲
01:07:44:28		就哭到那個震天響
01:07:48:08		就是剪腳趾甲而已
01:07:50:01		後來長大才知道說
01:07:51:06		剪趾甲簡直就是惡夢
01:07:53:11		他常常在這間房間就是躲在這個角落
01:07:56:21		他好像比較喜歡躲在這裡
01:07:57:27	01:07:59:08	他們有這種習慣性
01:08:03:11		然後後來桃園市的醫院
01:08:05:12		主任就跟我們講
01:08:06:09		你這個孩子七八成是自閉症
01:08:09:20	01:08:13:08	就說是重度自閉兼智障多重障礙者
01:08:14:13		那時候我當場就哭了
01:08:16:02		後來看妹妹長大以後比較愛哭
01:08:18:01		我說都是媽媽懷你的時候常常愛哭
01:08:21:05		害你也很愛哭, 對
01:08:24:01		那時候真的是覺得很脆弱
01:08:25:10		什麼事情都一下子
01:08:26:25	01:08:29:04	就很能夠把你擊倒一樣那種感覺
01:08:38:29	01:08:41:15	我是亂跳, 根本捉不到節拍
01:08:43:06	01:08:44:26	妹妹拉琴拉得很優雅吧
01:08:52:16		其實在他還不能跟我們溝通之前
01:08:55:07		對我們家的影響非常非常的大
01:08:58:24		它大到我們甚至會想要
01:09:02:09		真的要結束這個生命
01:09:04:05	01:09:05:00	真的是這樣
01:09:08:04		他每天晚上哭, 白天哭
01:09:10:09		因為沒辦法溝通
01:09:11:12	01:09:12:18	他就只能用哭的
01:09:14:08		我們在這邊曾經半夜有人報警
01:09:16:20		那警察半夜來敲門說我虐童
01:09:19:27		不要講是不是, 是喔
01:09:21:24		沒關係, 講一下
01:09:23:16		然後我就跟警察講說
01:09:25:21		如果你有辦法讓他不哭
01:09:28:15		那我真的很佩服你
01:09:29:18	01:09:32:02	因為我也想睡覺, 我也想休息
01:09:37:23		真的啊
01:09:38:20		因為白天在學校哭
01:09:39:27		晚上在家裡哭
01:09:41:08	01:09:43:06	日哭夜哭, 哭了三個月整
01:09:49:06		我跟你講真的是想自殺
01:09:50:27		我真的很感謝說
01:09:51:27		上天早就料到我會這樣
01:09:53:15		所以讓我不小心有一個妹妹
01:09:55:28		那真的快崩潰了
01:09:57:01		又不能捏死他
01:09:58:17		真的是
01:09:59:15		只能真的想說帶他一起走算了
01:10:01:22	01:10:03:29	可是看到妹妹在旁邊才真的
01:10:07:08		妹妹很熱心的在照顧哥哥
01:10:09:25		真好啊
01:10:10:26		我記得節目訪問過一位
01:10:12:13		接觸過很多自閉症孩子的老師
01:10:15:04		她說自閉症百百種
01:10:17:29		個別的差異性非常的大
01:10:20:11		唯有更深入的相處和瞭解
01:10:23:02		才能夠找出跟他們溝通的方法
01:10:25:22		高晏是一個很耐人尋味的自閉症孩子
01:10:28:25		需要父母, 師長跟醫療團隊
01:10:31:05	01:10:32:20	給他全力的支持
01:10:39:23	01:10:40:21	搗亂的
01:10:42:04		來搗亂的
01:10:43:02		你是被他打亂的
01:10:43:25		對啊, 因為他把這個壓下去
01:10:45:14		聲音就突然變小了
01:10:47:08		教他彈琴
01:10:48:15		對啊, 他自己也喜歡
01:10:50:19		可是他通常都是彈一遍
01:10:52:11	01:10:54:20	然後他就站起來, 然後...
01:10:55:24	01:10:57:20	然後所以我又叫他回來
01:11:00:12		他就說駐守在妹妹的音樂城堡
01:11:04:21	01:11:08:07	是我無上的榮耀, 無邊的歡喜
01:11:10:10		但是哥哥都很聽我的話
01:11:13:12		我們家最...
01:11:14:20		高晏最聽話的人就是她
01:11:16:21		我叫, 媽媽叫, 他都不過來
01:11:18:26		我就說妹妹, 叫哥哥過來
01:11:20:09		她只要一叫然後我一叫他就來了
01:11:21:10	01:11:22:19	她就叫哥哥, 他就來了
01:11:23:20	01:11:25:18	哥哥... 過來
01:11:26:22		晏晏就說
01:11:28:06		守護妹妹一輩子的人不一定是我
01:11:31:15	01:11:36:20	但是掛心她最長最久的卻可能是我
01:11:37:27		七歲開始在大醫院自閉症中心
01:11:40:17		進行治療的高晏
01:11:42:06		在學習口語和寫字等方面吃了不少苦頭
01:11:46:14		後來心理師發現他認知正常
01:11:49:10		於是教他學習電腦注音打字
01:11:52:09		有了文字的表達
01:11:53:25		情感就像是找到了宣洩的出口
01:11:56:28		高晏不再感到被外界隔絕
01:11:59:20		就像一個外星人
01:12:01:05		終於找到跟地球人溝通的方法
01:12:04:14		到後來我們才知道原因就是因為
01:12:06:11		他長期累積下來
01:12:07:20		他沒有辦法跟我們溝通
01:12:09:25		他那種痛苦會造成他心理上
01:12:12:12		就很大的一堆壓力
01:12:14:03		他沒辦法洩出來
01:12:15:19		所以他只能用哭的來表達
01:12:18:15		那這些哭的事情
01:12:20:11	01:12:22:25	在可以溝通之後直接就消失了
01:12:25:11		很多父母遇到身障的孩子
01:12:28:07		常常都不知道
01:12:29:14		該如何與他們相處
01:12:31:04		或突破溝通的困難
01:12:32:24		索性就帶到心理治療師這邊
01:12:35:25		讓心理師慢慢的去挖掘他的潛能
01:12:39:07		瞭解溝通方式之後
01:12:41:16		才能夠開始對症下藥
01:12:45:02		就像是高晏
01:12:46:12	01:12:49:26	自己最擅長的就是文學了
01:12:51:05		你的那一本書
01:12:52:17	01:12:55:17	就是你執行力最好的一個證明
01:12:57:05		就是剛開始先讓他找到一個自信
01:12:59:21		然後他願意有一個溝通的管道
01:13:02:03		那之後再來藉由我們瞭解他
01:13:04:13		然後瞭解他的能力
01:13:06:04		那就發現說
01:13:07:23		原來他的能力不是這麼樣的低
01:13:10:02		甚至是高過一般孩子很多
01:13:12:04		所以你就可以看到他越多越多的光芒
01:13:14:21		甚至他把一件事情
01:13:15:27		他可以描述得
01:13:16:27		讓我們如同跟他一樣的感同身受
01:13:20:11		好, 那你給我多少時間
01:13:24:00		沒錯
01:13:24:15		晏晏現在做的並不是語言治療
01:13:27:03		他現在實際上
01:13:28:11		有部分是在做心理治療對不對
01:13:31:07		那我們比較強調的是溝通
01:13:34:07		不能因為孩子不會講話
01:13:36:00		我們就不給他溝通的管道
01:13:38:12	01:13:41:22	所以我們在對我們這個族群的小朋友
01:13:43:09		我們非常強調的是
01:13:45:11		要給他建立一個好的溝通管道
01:13:48:22		對不對
01:13:49:06		如果我們不給他這個溝通的管道的話
01:13:52:19		那我們看到的大概就是一個
01:13:54:06		很混亂的, 情緒困擾的小孩
01:13:57:05		所以自閉症很多孩子被誤會
01:13:59:27		說他們的情緒行為是很嚴重的
01:14:02:14		其實那都是因為溝通管道沒建立起來
01:14:05:25		那你溝通好了
01:14:06:28	01:14:10:00	你很多行為你不太需要一直去限制他
01:14:11:08		我給他看其實是兩個女生的腳
01:14:15:14		就是在購物買鞋的圖片
01:14:17:26		但是我會跟他討論
01:14:19:14		我會跟他說
01:14:20:15		你看了這張圖片之後
01:14:22:28		你有什麼感覺
01:14:24:20	01:14:27:09	那你可以用你的想法去表達
01:14:28:11		晏晏說
01:14:29:09		這一幅的題目就叫進階
01:14:31:08		他說多重印象
01:14:32:21		就移動中
01:14:33:21		人為進階而拼搏逆行
01:14:37:28		就是體悟到
01:14:40:05		那個人生好像是一種
01:14:42:08	01:14:44:29	好像逆流而上那種感覺, 對
01:14:46:29		高晏他之前在國小念書的時候
01:14:51:00		就在母校畫了這一幅畫
01:14:54:22		除了畫畫之外
01:14:56:12		他也寫了一些文章
01:14:58:17		只看畫或許看不出個所以然來
01:15:02:02		但是透過文字輔助說明
01:15:04:11		讓人更能夠瞭解他的作品意涵
01:15:06:27		非常有保存的價值喔
01:15:09:00		你看, 這四周都張貼了畫
01:15:11:00	01:15:12:11	還有影片播出喔
01:15:14:22		那幅畫是媽媽
01:15:16:00		你看這個畫很醜
01:15:17:27		前面有寫修理高晏
01:15:20:04	01:15:22:01	因為他就說我都修理他
01:15:23:20		晏晏, 好久不見了
01:15:25:22		他變胖了
01:15:27:08		變高又變胖
01:15:28:20		對, 非常開心
01:15:30:00		你看, 學弟學妹都來看你了
01:15:32:24		他跟我感情很好耶
01:15:34:16	01:15:35:09	對啊...
01:15:36:26		高晏在文學方面很有造詣
01:15:39:14		那每一年
01:15:39:29		獲得這個文薈獎的一個優選的
01:15:42:09		這樣的一個殊榮
01:15:43:29		那在之前他也得到了
01:15:46:10		我們總統教育獎的一個得主
01:15:48:25		我們已經創校五十年了
01:15:50:26		第一個得到這麼大的一個殊榮的一個獎項
01:15:54:16		那也給我們校內的小朋友
01:15:56:04	01:15:58:14	當作一個學習的一個楷模
01:16:00:03		晏晏在慈文
01:16:01:03		其實對慈文的特教老師也好
01:16:03:21		或是班級的普通班的老師也好
01:16:06:18		其實都是一個
01:16:08:04		全新的一個接觸跟體驗
01:16:11:01		那其實很感謝我們所有的老師
01:16:13:02		在晏晏身上的一個付出跟用心
01:16:15:29		那晏晏在一點一點的時間裡面
01:16:18:07		能夠逐步的適應慈文所有的學習跟生活
01:16:22:08		那晏晏到學校來學習之後
01:16:24:15		都有媽媽來陪著
01:16:26:06		那我們真的是可以從媽媽身上
01:16:28:14		看到怎麼樣的用心付出
01:16:31:10		用愛來陪伴孩子成長
01:16:33:05		很深刻的感受到
01:16:34:20		媽媽在晏晏身上所付出的一個心力跟心血
01:16:38:18	01:16:39:28	非常非常的辛苦
01:16:40:29		我覺得還滿有趣的
01:16:42:10		小朋友也把我當成同學這樣
01:16:43:29		記得讓自己也變得心態年輕一些
01:16:46:18		來, 各位同學
01:16:48:03	01:16:51:01	我們掌聲熱烈歡迎一下晏晏跟晏晏媽媽
01:16:53:29		老師之前也已經推薦給你們看過這一本書
01:16:58:12		「我和地球人相處的日子」
01:17:00:05		這就是高晏晏晏他自己所寫的一本書
01:17:03:15		所以老師希望未來能藉由各位
01:17:06:03		一起帶著晏晏
01:17:07:25		讓他融入我們
01:17:09:00	01:17:10:18	讓他願意接近我們
01:17:12:01		他有時候會發出聲音
01:17:13:22		就是常去跟他玩
01:17:16:06	01:17:19:22	然後後來他就會抓我們的手
01:17:22:08		因為晏晏很喜歡出去玩
01:17:24:12		然後我們就陪著他
01:17:26:24		因為我喜歡幫助別人
01:17:28:21		見他很喜歡拿樹枝跟石頭
01:17:32:00		但不知道為什麼
01:17:33:15		他說會拿樹枝是因為想要訓練手指
01:17:37:17		他的小肌肉不發達
01:17:39:28		他會踢石頭是因為他看我們玩球
01:17:42:29		他很想玩球
01:17:44:05		可是他又沒那麼靈活
01:17:45:20	01:17:47:16	所以他就用踢石頭來代替
01:17:49:06		高晏很喜歡跟人有身體的接觸
01:17:52:20		可能是因為他想跟人溝通的關係吧
01:17:55:15	01:17:56:12	來
01:17:57:15		越瞭解晏晏這個孩子
01:17:58:25		感覺就像一隻囚在籠子中的小鳥一樣
01:18:02:20		其實他的思想是非常的成熟
01:18:05:21		他非常想要做一些很特別的事情
01:18:08:19		他的智商大概有一百五十六以上
01:18:11:13		這在同儕當中可以說是相當傑出
01:18:14:08		各位同學, 我們今天是
01:18:16:00		我們閱讀社團的小書發表會
01:18:18:27		這個是高晏他自己作的作品
01:18:22:22		尤其老師非常喜歡的
01:18:24:16		是他後面的這四句話
01:18:26:29		信在果實的芬芳裡
01:18:29:02		信在奔騰的河流裡
01:18:31:03		信在彎腰的收穫裡
01:18:32:29		信在冬藏的溫暖裡
01:18:35:21		所以當一個人心中
01:18:37:15		有希望的時候
01:18:39:06	01:18:42:02	四季都是春天, 對不對
01:18:43:08		老師把高晏自己畫的
01:18:45:15		自己寫的作品
01:18:47:00		利用投影片讓同學來欣賞
01:18:49:14		也可以回饋給高晏
01:18:51:09		相信同學們看了他的文筆之後
01:18:53:22		一定會相當的感動
01:18:55:08		進而向他學習
01:18:56:24		這個孩子他的心境
01:18:59:07		說實話我覺得他的內心
01:19:00:28		好像住著一個比較古老的一個靈魂
01:19:04:03		但是或許也是因為他歷經很多的事
01:19:07:00		然後在心中積壓了很多的一些思考跟想法
01:19:10:11		所以晏晏所表達出來的
01:19:12:11		都超乎他那個年紀所能夠體會的心境
01:19:16:06		這一陣子我們的會考題目
01:19:18:04		剛好是「捨不得」
01:19:20:02		我剛好也在我的社群網站上面
01:19:22:02		寫出捨得跟捨不得的一個心境的轉換
01:19:25:17		那晏晏也回應了
01:19:27:02		他當中提到的捨不得
01:19:28:18		他那種捨不得是那種
01:19:29:26		對命運不得已被迫的一些接受
01:19:33:05		那在接受之後, 他只好放下
01:19:35:20		所以我們可以看到晏晏的文字
01:19:37:22		感覺是很像那種
01:19:39:29		生命當中的擠壓出來的
01:19:43:03	01:19:46:11	很精練, 很凝練的那樣的一個文字
01:19:47:18		我有用那個訊息問他說
01:19:49:11		晏晏, 那在你的身體裡
01:19:50:29		是怎麼樣的靈魂呢
01:19:52:24		對, 那晏晏他就回我說
01:19:55:18		我的靈魂喜歡獨立自在
01:19:58:18		我的軀體卻步依賴
01:20:01:17		對, 就退卻的那個卻, 對
01:20:03:17		那彈指間碩物無存
01:20:05:23		何況還需等待我荒原櫟木一般的打字
01:20:09:23		對, 所以就是
01:20:11:18		我覺得他真的是一個衝突很大
01:20:13:27		很矛盾的一個個體
01:20:16:04	01:20:17:21	的確是非常神奇
01:20:18:24		他在一些用字遣辭上
01:20:20:28		除了他會用一些比較高深
01:20:22:22		可能大概是高中, 大學程度
01:20:25:09		甚至是我們社會人士的用詞之外
01:20:28:18		還包括就是
01:20:29:22		他可能會自己會去把那個文字新創
01:20:33:15		就是會有一些用詞
01:20:35:02		並不是一般那麼常見的
01:20:36:24		可是你看到那樣的用詞
01:20:38:12		你會感受到是他真的是
01:20:40:14		內心很真實的感受
01:20:42:01		去把它鎔鑄出來的一個新的詞彙
01:20:44:28		好, 這個是蘇東坡
01:20:46:04		他在他年輕的時候
01:20:48:02		對自己的一個新的期許
01:20:51:00		我們可以把它寫下來
01:20:53:00		我們有問過他說你的文字
01:20:54:09		你怎麼去寫跟一般人不太一樣的文字
01:20:57:07		他說他喜歡文字的
01:20:59:00		不同的排列組合
01:21:01:20		他說我喜歡把這些文字
01:21:03:09		做跟一般人不同的排列
01:21:05:21	01:21:07:10	但它會得到不同的意境
01:21:09:02		我們其實有時候也是覺得說
01:21:10:19		有很多的天才
01:21:12:03		其實他不是這一世修來的
01:21:14:07		我不知道這樣講會不會有點太宗教化
01:21:16:29		但我們總覺得
01:21:17:22		他其實應該是累積了好幾世
01:21:20:17		甚至有人也會開玩笑說
01:21:22:25		晏晏可能忘記喝了孟婆湯
01:21:25:02		把他好幾世的那樣的一個才華
01:21:27:25	01:21:29:07	帶來這個世上
01:21:31:05		這個部分很多人都這樣講
01:21:32:22		就認為他是古代轉世的
01:21:34:24	01:21:37:03	那我也很想問他是不是
01:21:38:12	01:21:39:13	但是現在沒有答案
01:21:40:24		那他是有...
01:21:41:23		我有問過他最喜歡古代的哪個詩人
01:21:44:29		他曾經有講過他最喜歡白居易
01:21:47:09		據我的瞭解
01:21:48:11		白居易本身就是一個天才詩人
01:21:50:27		六歲就能寫詩
01:21:52:04		他也覺得說
01:21:53:01		他跟白居易有某方面相似的地方吧
01:21:55:13	01:21:57:17	不然他不會這樣覺得說他像白居易
01:22:02:26		現在開始考試
01:22:04:15		比較不一樣的是
01:22:05:27		平常大家都是排排坐寫考卷
01:22:08:22		高晏則是抽離到資源班去考試
01:22:11:25		一般考試的時間是四十分鐘
01:22:14:23		高晏則延長為六十分鐘
01:22:17:15		甚至連答題的方式也不一樣
01:22:20:14		除了書寫
01:22:21:21	01:22:24:09	他可以使用電腦輔具來點選作答
01:22:25:21		這一次的歷史題目其實是比較難的
01:22:28:12		他這一次的段考成績我是覺得
01:22:31:13		全年級這麼多人一百當中
01:22:33:03		他卻是可以很難得
01:22:34:11		是他們班唯一的滿分這樣子
01:22:37:17		任何學生潛力是無窮的
01:22:39:11		也就是我們教一些法則
01:22:41:04		然後我們也是在校園裡面
01:22:42:11		一邊走一邊看一些植物
01:22:43:28		然後一邊是在講這些生物
01:22:46:08		那我相信晏晏也是有感受到
01:22:49:01		所以他這一次為什麼還可以考一百分
01:22:51:09		他這次一百分是讓人家
01:22:53:04		感覺是滿驚豔的
01:22:54:23		男生, 我說慢跑還用走的啊
01:22:57:22		現在上的是體育課
01:23:00:12	01:23:03:08	高晏也要跟著大家一起來跑步
01:23:05:29		他最有趣的我覺得應該是跳繩的部分
01:23:09:11		因為跳繩的部分
01:23:10:05		我覺得他在跳繩找到他的自信
01:23:13:17		雖然說他不會連續的跳
01:23:15:20		可是今天你可能完成一下
01:23:17:22		那明天我們就讓他學會第二下
01:23:20:20		對, 所以對我來講
01:23:22:02		我認為他是在跳繩這一方面
01:23:23:28		讓他自己有很大的自信心
01:23:25:23		你看老師
01:23:26:16		看這個球球, 看這裡
01:23:28:10		打這邊
01:23:29:07		這樣子就會進了
01:23:29:28		丟
01:23:31:17		歪掉了
01:23:32:15		我跟你說
01:23:33:25		現在的你我
01:23:35:22		一同過未來的回憶
01:23:38:01		是快樂還是惋惜, 都無法從頭
01:23:42:17		所以我捨不得每一天的流逝
01:23:46:15	01:23:50:19	也珍惜每一位特別的你或您
01:23:52:11	01:23:54:10	就以熱烈的掌聲來歡迎曉書
01:23:58:26		很高興慈文國中邀請我來分享
01:24:02:20	01:24:05:15	自己從小到大的心路歷程
01:24:06:21		今天是非常榮幸邀請到曉書
01:24:09:22		來這邊做她的經驗的分享
01:24:12:08		也希望在我們的教育職場上
01:24:15:07		老師們可以藉由這個經驗
01:24:17:09		可以給我們現在的孩子
01:24:18:25		更多的幫忙
01:24:20:09		那我們特別的邀請晏晏
01:24:22:16		也可以來參與這一場的研習
01:24:25:01		然後讓他可以對手語
01:24:26:22		或者是對其他的一些溝通的方式
01:24:29:02	01:24:30:22	有更多的認識
01:24:31:26		那特殊教育
01:24:32:19		真的很需要親師生的合作
01:24:35:10		老師的一個關愛的眼神
01:24:37:27		一個動作
01:24:38:19		都會影響孩子的成長
01:24:39:29		尤其在國中階段
01:24:41:07		所以家長跟老師跟學校行政團隊
01:24:44:08	01:24:46:08	一定要共同去努力的一個方向
01:24:47:25		書
01:24:49:18		書本
01:24:50:21		曉書姊姊有沒有漂亮
01:24:52:15		書
01:24:53:00		有, 她真的很漂亮
01:24:54:02		來, 曉書
01:24:55:25		那我覺得今天晏晏看到她是
01:24:58:07		應該是有影響的
01:24:59:17		雖然他在那麼多人是比較緊張的
01:25:02:06		可是他還是很想告訴曉書
01:25:04:09		偉大因為一直努力
01:25:07:16	01:25:09:07	一直持續努力被看見
01:25:10:23		原來, 高晏提到的偉大
01:25:14:16		他認為偉大是持續不斷的努力
01:25:17:25		最後獲得成功
01:25:19:21		這就是偉大
01:25:21:00		希望高晏跟曉書一起加油
01:25:23:04		偉大
01:25:24:01		來
01:25:25:04		來
01:25:25:27		希望你們兩個都這樣
01:25:27:02		來
01:25:28:00	01:25:28:23	Give me five
01:25:29:26		讚
01:25:31:10		希望高晏
01:25:32:28		來, 加油
01:25:34:22		不要讓人看扁了
01:25:36:10	01:25:38:04	他是有智慧的天才
01:25:41:26		晏晏說果是因的伸展
01:25:44:25		因是我的動能
01:25:46:19		未來自現在鋪陳
01:25:48:24		一直想與看也不會有真辦法
01:25:53:10		世界的變動, 人心的不定
01:25:55:22		都很難預測
01:25:57:18	01:26:01:25	那就以執著我對應變幻的未來吧
01:26:03:26		就像一般對未來有著憧憬的孩子一樣
01:26:08:01		高晏也有很多想做的事情
01:26:12:02		但是可以預見的
01:26:14:00		他的挑戰跟困難
01:26:15:11		會比一般人還要多更多
01:26:18:09		他更需要家庭, 學校, 醫療
01:26:21:09		以及社會各界的支持接納和包容
01:26:25:07		永不放棄是一種信念
01:26:27:21		它會產生一股力量
01:26:29:23		能夠帶給高晏和他的家人堅定的勇氣
01:26:33:09	01:26:35:00	面對一切的一切
01:27:13:12		俊松, 你在做什麼
01:27:15:27		我在整理履歷表啊
01:27:18:20		履歷表
01:27:19:22	01:27:20:27	你要找工作嗎
01:27:22:08		不是我啦
01:27:23:23	01:27:26:17	這份履歷表是幫我的朋友準備的
01:27:28:00	01:27:29:20	這是怎麼一回事呢
01:27:31:22		我這位朋友在公司做了十幾年
01:27:35:17		不過最近因為業務虧損以及緊縮
01:27:39:04		為了節省人事成本
01:27:41:17		他的公司不得已祭出了優離優退的方案
01:27:46:18		要求步入中年的他能夠提前離職
01:27:50:29		所以他也只好重新再找工作了
01:27:54:07		好可憐喔
01:27:55:09	01:27:57:13	中年找工作很困難耶
01:27:58:21		所以他才拜託我幫他準備履歷表
01:28:02:22		看能不能順利的找到新的工作
01:28:05:25		沒想到你這位朋友的遭遇
01:28:08:09		和我們手語劇場的一位資深副總
01:28:10:22		還真是同病相憐
01:28:13:09		他也被優退了嗎
01:28:15:03		是啊, 這位副總
01:28:17:04		也是被工作了十幾年的公司優退
01:28:20:23		不過穿著西裝提著公事包的他
01:28:24:23		在百貨公司旁邊閒逛
01:28:27:21		忽然碰到了三位
01:28:29:11		要出去拜訪客戶的老同事
01:28:32:17	01:28:34:26	頓時間場面變得很尷尬
01:28:36:14		是喔, 肯定又有好戲可以看囉
01:28:40:17		手語劇場看好戲
01:28:43:21		快樂輕鬆學手語
01:28:46:09	01:28:47:02	請看
