01:00:30:15	01:00:32:17	你知道寵物為什麼不能喝酒嗎
01:03:01:02		不行
01:03:02:05		你本來想要牠看家
01:03:03:15		但是牠好累... 要睡著了
01:03:05:26		你給牠喝個咖啡
01:03:06:29		牠就精神很好就幫你顧家
01:03:08:20		不行...
01:03:11:14		你們, 好, 那我們投票
01:03:12:26		我們小組內先投票
01:03:14:11	01:03:15:27	覺得咖啡不行的舉手
01:03:17:11		不行
01:03:18:12		不行, 是不是
01:03:19:15	01:03:21:12	好, 恭喜你們答對了
01:03:24:09		葡萄乾
01:03:25:26		它的裡面有加調味料
01:03:27:00		覺得葡萄乾可以嗎
01:03:28:07		老師
01:03:29:12		你們的回答是你回答...
01:03:30:20		不行
01:03:32:00	01:03:34:00	不行, 很好, 恭喜你們
01:03:38:10		你們知道葡萄乾的原因
01:03:39:18		是什麼呢
01:03:40:21		就是葡萄乾裡面
01:03:42:19		有時候會加一些
01:03:44:02		就是滿多的糖什麼的
01:03:45:28		人類的調味料
01:03:47:25		那我們再來換小兵組
01:03:50:29		辛香料
01:03:52:19		因為就是狗狗貓貓跟人不一樣
01:03:56:05		人有些覺得好吃
01:03:58:04		可是像辣椒
01:04:00:15		你覺得牠們能吃嗎你們答案是...
01:04:02:02		不行...
01:04:04:16		不能吃
01:04:05:21	01:04:07:05	很好, 恭喜你們
01:04:09:13		酪梨可不可以給狗狗貓咪吃
01:04:11:29		回答
01:04:12:21		不行
01:04:13:14		不行, 是不是
01:04:14:17		他們說書上有寫喔
01:04:16:17	01:04:17:15	有看過書上
01:04:18:16		酪梨最主要的原因
01:04:20:12		是這個水果它本身會有毒性
01:04:24:24		可是我們人吃的話是沒有事情的
01:04:27:29		來, 那請問一下
01:04:29:04		巧克力可不可以不行
01:04:31:21		不行吧, 對不對
01:04:33:07		恭喜你們
01:04:34:12		很簡單啊
01:04:35:07		那來, 你們討論一下
01:04:36:25		請問生蛋白可不可以
01:04:39:05		不行
01:04:39:25		因為有沙門桿菌, 所以不行
01:04:42:20		很專業喔
01:04:43:12		對, 他一直講一些專有名詞
01:04:45:10		嚇死我了
01:04:46:17	01:04:48:18	好, 恭喜你們答對了
01:04:53:09		那我們恭喜湘涵這一隊
01:04:55:29		獲得連線
01:04:57:28		好, 我們拍拍手
01:05:00:08		看來寵物的飲食真的很重要耶
01:05:02:17		如果一不小心吃壞了肚子
01:05:04:10		就只能來看醫生囉
01:05:05:28		還好這邊有二十四小時急診的動物醫院
01:05:09:04		走, 進去問它的獸醫師吧
01:05:11:11		說到獸醫的工作
01:05:13:02		我跟湘涵曾經跟著一群獸醫系的學生一起實習
01:05:17:02	01:05:19:03	當時從幫小狗量肛溫
01:05:20:09		實際拿針筒幫豬抽血
01:05:22:28		還有用整隻手伸進牛的直腸做檢查
01:05:26:15		直到現在
01:05:27:18		那些經歷可以說是歷歷在目耶
01:05:30:18		那一次真的是難忘的經驗耶
01:05:32:22		不過寵物跟我們人這麼親密的生活在一起
01:05:35:29	01:05:38:22	有沒有什麼應該注意的疾病或大小事情呢
01:05:40:24		小金剛
01:05:41:16		嗨, 醫師你好
01:05:42:19		你好
01:05:43:04		嗨, 醫師你好
01:05:44:05		你在幫牠做檢查啊
01:05:45:26		對啊, 小金剛吃壞肚子了
01:05:47:18		小金剛, 是不是
01:05:49:03		你怎麼了
01:05:50:07		亂吃東西吃壞肚子喔
01:05:51:29		我們在醫院很常遇到亂吃東西的狗狗
01:05:55:01		牠們都會吃一些什麼東西啊
01:05:56:22		可能會吃到一些人的食物啊
01:05:59:02		人的零食或者是去亂翻垃圾桶
01:06:03:01		然後找到一些有香味的東西
01:06:05:24		但是牠們其實不可以吃這些東西
01:06:08:01		那有時候就會造成胃蠕動的問題
01:06:11:20		然後腸子蠕動的問題
01:06:13:09		可能會吐, 可能會拉肚子
01:06:15:20		對啊, 那有時候會因為這樣
01:06:17:18		反而吃不下飯了
01:06:18:20		就很嚴重
01:06:19:14		那醫生, 不好意思
01:06:20:12		那我們可不可以講
01:06:21:12		你們大部分都是用猜的
01:06:24:01		應該不能這樣說
01:06:25:08		我們只能去推測
01:06:26:21		然後跟客人就是我們的飼主
01:06:29:04		討論一下討論牠到底發生什麼事情
01:06:31:26		我們要慢慢推理
01:06:33:10		有點像偵探的感覺
01:06:34:15		真的耶
01:06:35:25		對, 那這樣聽起來還滿好玩的, 對不對
01:06:37:17		滿有趣的
01:06:38:28		所以醫師, 其實你們在這邊
01:06:40:16		每天都要處理很多很多事情
01:06:42:09		每天都很忙碌, 對不對
01:06:43:06		真的啊, 對啊
01:06:44:01		非常繁忙的工作
01:06:45:08		那每一天遇到的挑戰不一樣
01:06:47:24		那有時候
01:06:48:16		可能是一些非常嚴重的重症
01:06:50:10		就會住在我們後頭的
01:06:51:24		二十四小時的重症病房
01:06:53:16		加護病房這樣子
01:06:54:15		對啊, 那有時候
01:06:55:14		像剛才小金剛亂吃東西
01:06:57:27		有的狗狗牠可能吃到了硬幣
01:07:00:03		或者是不該吃的硬的玩具
01:07:02:19		這一些的時候
01:07:03:16		可能就需要做一些X光檢查
01:07:05:20		再來超音波檢查
01:07:07:02		最後可能需要用手術的方式
01:07:08:25		把它拿出來
01:07:10:14		還要動到手術喔對啊
01:07:12:16		對, 不過這些東西
01:07:13:22		其實在我們的博物館裡面
01:07:15:22		你們是可以體驗到的喔
01:07:16:27		就是假裝我們今天如果要當獸醫師的話
01:07:19:16		要做哪些事, 是不是對, 沒錯
01:07:21:06		在樓上博物館嗎沒錯
01:07:22:17		好耶
01:07:23:13		醫生, 謝謝你
01:07:24:16	01:07:25:15	我們先去體驗了
01:07:28:18		來到寵物體驗營
01:07:29:23		第一站就是診療體驗區
01:07:32:11		小朋友們第一件事就是先穿上醫師袍
01:07:35:25		戴上聽診器
01:07:37:12		練習聽聽寵物的心跳
01:07:39:10		然後學會幫寵物進行CPR
01:07:42:00		而整個獸醫體驗營的過程中
01:07:44:06		都是用狗的絨毛娃娃來代替
01:07:46:18		不過這些絨毛娃娃
01:07:48:09		都有設計巧妙的機關
01:07:49:29		來模擬真實的檢驗過程喔
01:07:52:09		手勢準備好之後
01:07:53:23		我們要把手放在哪裡
01:07:55:14		它的心臟位置
01:07:56:28		這隻叫做Casper
01:07:59:00		那這隻叫做幾米
01:08:01:09		來, 請幫你們的狗...
01:08:02:18		先把姿勢準備好
01:08:04:11		好, 預備開始
01:08:06:07		一, 二, 三
01:08:08:20		四, 五
01:08:10:23		好, 五下了
01:08:11:28		那我們找它的鼻子幫它人工呼吸
01:08:13:22		好
01:08:14:11		一, 二, 三
01:08:16:00		四, 五
01:08:17:17		學會幫狗狗做CPR之後
01:08:19:24		我們來到第二站影像體驗區
01:08:22:13		可以檢查寵物有沒有懷孕
01:08:24:08		或是器官有沒有問題喔
01:08:26:10		對, 然後我要請你們的眼睛
01:08:29:09		看一下這個小螢幕
01:08:30:15	01:08:31:22	看看有什麼變化
01:08:33:02		真的耶, 有耶
01:08:34:19		因為人的肚子裡面
01:08:36:00		都會有那個水在那裡
01:08:37:14		還有水, 對不對
01:08:39:08		如果是人的話
01:08:40:07		那如果要碰到那個有血液可不可以
01:08:43:13		可以啊你要捐出你的小肚子來給大家
01:08:46:11		來練習, 好不好
01:08:47:23		借大家看一下你肚子吧
01:08:48:29		不要...
01:08:50:12		那誰要捐出自己的肚子有沒有人, 誰自願
01:08:52:08		你...
01:08:53:08		小兵, 你自己...
01:08:56:00	01:08:56:29	好
01:08:59:10		你是什麼犬
01:09:01:21	01:09:02:27	我是台灣犬
01:09:05:06		你猜我懷了幾個小嬰兒
01:09:06:22	01:09:11:15	小嬰兒...
01:09:13:24		真的看得到東西
01:09:15:14		看得到東西
01:09:16:11		但是因為他的肚子
01:09:17:29		他的身體也很健康
01:09:19:11		比如說他的裡面
01:09:20:16		可能也沒有什麼腎結石
01:09:22:26		也沒有小嬰兒
01:09:24:14		接下來進入最緊張的一關
01:09:26:13		手術室
01:09:27:17		寵物跟人一樣可能需要動手術
01:09:30:14		這種手術跟人的手術
01:09:32:06		有什麼不同呢
01:09:33:15		大家一一戴上口罩和手術帽
01:09:36:11	01:09:39:17	準備幫這隻不小心吃進十元硬幣的寵物開刀
01:09:40:23		醫生除了消毒完自己以外
01:09:43:03		他也要幫狗狗消毒喔
01:09:46:00		那通常我們會用棉球用優碘
01:09:49:17		在我們即將要開刀的部位
01:09:51:28		好, 來幫狗狗做消毒
01:09:54:08		好, 我要開它的肚子對不對
01:09:55:25		十元硬幣在哪
01:09:57:02		那消毒完畢之後
01:09:58:12		我們就可以用麻醉針準備來幫它打針了
01:10:03:08		那打完麻醉針之後
01:10:04:25		狗狗就會像睡覺一樣睡著了
01:10:07:01		但是可能會忘記呼吸喔
01:10:08:29		所以要幫它戴上氧氣罩
01:10:11:04		提供氧氣給它
01:10:13:09		那在手術過程當中
01:10:15:14		請不要把它拔掉
01:10:17:09		會讓它沒空氣了
01:10:18:13		對, 它就沒有辦法呼吸了沒空氣
01:10:22:00		異物取出來
01:10:23:15		看完館長的示範之後
01:10:25:06		館長再次提醒小朋友
01:10:27:04	01:10:29:07	手術過程中最重要的規則
01:10:30:22		那我們的手術規則, 遊戲規則
01:10:32:17		就是用工具, 好不好
01:10:35:14		好
01:10:36:18		接著就換小小獸醫準備上場開刀囉
01:10:39:22		看到小獸醫們有模有樣的專注神情
01:10:42:26		不知道是不是因為太過緊張
01:10:44:29	01:10:48:03	一不小心就忘記手術的程序和規則囉
01:10:52:04		應該是你要先把繩子拿開吧
01:10:54:29	01:10:55:27	對啊, 你剛剛...
01:10:57:22	01:10:58:17	不可以用手喔
01:11:00:01	01:11:01:17	好, 你要善用工具
01:11:03:11		經過一陣手忙腳亂之後
01:11:05:12		他們總算從寵物的肚子裡
01:11:07:19	01:11:09:07	取出兩個十元硬幣囉
01:11:10:19	01:11:11:17	醒了
01:11:12:18		它好像北極熊喔
01:11:14:10		要照顧寵物一輩子
01:11:15:24		就表示要照顧到牠上天堂
01:11:18:08		看到那個小小的紙箱
01:11:19:29		大家應該可以猜到
01:11:21:13		它是做什麼用的吧
01:11:23:04		它的功能是用來引領寵物
01:11:25:13		化作天使到另一個世界
01:11:27:22		而牆上也貼滿許多
01:11:29:01	01:11:31:04	小朋友追思寵物的小紙條喔
01:11:33:08		我以前養過一隻狗
01:11:34:18		我從牠一個禮拜大的時候
01:11:36:02		我就養到牠十四歲死掉
01:11:38:00		有一天是我媽媽打電話給我
01:11:40:04		她說我們家那隻狗
01:11:41:18		真的身體已經快要不行了
01:11:43:23		然後叫我趕快趕回去
01:11:45:07		我才急急忙忙的開車回到家
01:11:47:21		然後準備把牠抱著到獸醫院去急救
01:11:50:27		結果才抱出來走到巷口的時候
01:11:53:03		牠就在我的懷裡面死掉了
01:11:56:06		我好難過... 一直哭...
01:11:58:17		因為其實我有一點點後悔
01:12:00:14		聽到小兵分享自己養寵物的經歷
01:12:03:10		許多小朋友也有感而發
01:12:05:17		搶著要分享自己養寵物的心路歷程
01:12:09:05		我的叫做可可
01:12:11:01		還有我本來在...
01:12:12:15		埋起來啊
01:12:13:24		埋在汐止的山上
01:12:15:16		是喔
01:12:16:13		偶爾會想到牠嗎
01:12:18:13		會啊
01:12:19:04		會喔
01:12:19:20		而且我還會就是一直跟牠許願
01:12:23:24		許願啊
01:12:24:24		牠在上面
01:12:26:01		寵物的生命真的很短暫
01:12:28:00		沒辦法陪伴我們一輩子
01:12:30:03	01:12:32:13	所以我們真的要寵愛牠們的一生
01:12:35:05		嗨, Eric
01:12:36:11		嗨, 你好
01:12:37:09		你現在在做什麼啊
01:12:38:15		我現在幫我們這個Cookie
01:12:40:22		狗狗Cookie
01:12:41:14		在做剃腳底毛的動作, 對啊
01:12:44:01		剃腳底毛算是美容的一部分嘛, 對不對
01:12:46:15		對...
01:12:47:03		如果我們狗狗牠踩在自己的毛上面走路
01:12:49:20		很容易滑倒
01:12:50:15		牠們對牠們的一些關節都不是很好
01:12:53:07		那如果清耳朵的話
01:12:54:16		讓牠們耳朵比較不容易發炎
01:12:56:20		其實對牠們都是有一個正面的幫助
01:12:59:01		對啊是喔
01:13:00:05		所以這些基本的清潔
01:13:01:25		一般飼主在家裡都可以學著做嗎
01:13:03:27		當然啊
01:13:04:16		那我們趕快來開始跟你學幾招
01:13:06:22		好
01:13:07:12		平常在家裡沒有這些專業工具的話
01:13:09:02		就是用棉花棒就可以了
01:13:10:20		那我們一般去那個寵物店
01:13:12:23		就可以買一些清耳液
01:13:14:12		耳朵的清耳液
01:13:15:11	01:13:15:29	沾一點點
01:13:17:00		那我們這邊就可以稍微地把狗狗的耳朵往外翻
01:13:20:27		我們一開始
01:13:21:25		因為每隻狗狗個性不一樣
01:13:24:02		如果你怕突然伸進去
01:13:25:03		牠可能也會緊張
01:13:26:02		你可以先從外面開始
01:13:27:22		讓牠習慣之後再輕輕的往裡面掏
01:13:30:09		這麼深啊
01:13:31:24		對啊
01:13:32:25		你看就有一些髒的東西掏出...Cookie, 你的耳朵好髒喔
01:13:35:04		我的天啊你
01:13:36:17		你願意讓湘涵試一下嗎
01:13:39:04		我好害怕喔
01:13:40:14		Cookie
01:13:41:27		Cookie乖
01:13:42:21		Cookie...
01:13:44:25		Cookie來, 好棒喔
01:13:46:06	01:13:47:25	先在外耳道這樣
01:13:49:02		然後還有一些皺折的部分
01:13:50:13		可以做一個清潔
01:13:52:12		不用擔心你不要...
01:13:53:10		你嚇我, 什麼啦
01:13:55:02		不是, 你動...
01:13:57:20	01:13:58:21	嚇到我, 好不好
01:13:59:23		還有什麼比較難的
01:14:01:00		剪指甲
01:14:02:05		所以Eric你可不可以告訴我們一下
01:14:03:29		這個狗的
01:14:04:27		要怎麼看牠指甲太長了還是OK
01:14:07:21		就是是怎麼看得出來的
01:14:09:04		其實你就是從側面看
01:14:12:11		你發現牠的指甲已經會接觸到地面的時候
01:14:15:25		就代表牠的指甲已經過長了
01:14:17:18		你說像這一隻嗎
01:14:18:16		對, 像這一隻的話已經有接觸到地面
01:14:21:02		如果碰到地就會有叩叩叩的聲音
01:14:23:23		就完全靠牠肉墊碰地就好了
01:14:25:17		對... 正常就是要靠牠肉墊
01:14:27:22		對, 不然牠踩在指甲上面
01:14:29:29		其實是一件很不舒服的事情
01:14:32:05		稍微剪掉
01:14:34:01		然後你可能就稍微修一下
01:14:36:07		這樣就好了
01:14:37:11		這樣就剪好了
01:14:38:12		換我囉
01:14:39:22		Cookie, 我來幫你剪
01:14:41:17		這樣可以吧
01:14:42:09		可以...
01:14:43:05		這樣就可以
01:14:44:06		很厲害...很棒...
01:14:45:25		謝謝你配合, Cookie
01:14:47:11		你克服你的心魔了
01:14:48:14		真的, 會害怕耶
01:14:50:19		那接下來
01:14:51:12		除了這兩個我們平常可以做的
01:14:53:26		還有呢
01:14:54:26		我們平常的話也可以就是幫牠多梳毛
01:14:57:22		這很舒服的刷子耶
01:14:59:07		對啊, 所以我們平常在家裡
01:15:00:21		就是用這種梳子
01:15:01:18		就可以幫牠去做一個
01:15:03:08		皮膚的一些按摩啊
01:15:05:04		或者一些毛髮上的整理
01:15:06:23		你看梳完之後
01:15:08:00		就會覺得很乾淨
01:15:09:10		然後你在梳的過程之中
01:15:10:17		你可以看牠有沒有一些
01:15:11:16		皮膚上的問題
01:15:13:04		通常如果說
01:15:13:23		牠皮膚有問題是變成紅色的
01:15:15:17		春夏在換季的時候
01:15:17:23		可能會有一些...換毛, 掉毛
01:15:19:28		體外寄生蟲
01:15:21:06		比如說跳蚤啊, 壁蝨啊
01:15:23:28		這些我們在平常在梳毛的時候
01:15:25:12		就可以去發現說有沒有這個問題
01:15:28:06		那這也是跟狗狗一個非常好的一個互動
01:15:30:10		互動對啊
01:15:32:06		你是不是想太多了
01:15:33:19		寵物...
01:15:34:28		顧名思義就是被寵愛的動物
01:15:37:20		牠們無法陪伴我們一輩子
01:15:39:19		但是我們可以寵愛牠們的一生
01:15:42:00	01:15:45:13	所以請不要再以虐待跟棄養來對待寵物喔
01:15:46:22		沒錯
01:15:47:16		寵物博物館建議大家
01:15:49:08		在想要飼養寵物之前
01:15:50:28		千萬要三思而後行
01:15:52:27		要考慮自己的生活作息
01:15:54:22		跟居家環境適不適合養寵物
01:15:57:06		如果真的可以飼養
01:15:58:28	01:16:01:07	也建議以認養代替購買喔
01:17:10:04		大家好, 我是陳愛妮
01:17:11:10		我喜歡折氣球
01:17:13:09		我在自修上面看到
01:17:16:21		有折貴賓狗的樣子
01:17:18:16		然後我就請媽媽帶我去買氣球
01:17:21:24		然後回來之後
01:17:23:23		就看著書本練習, 一次就會了
01:17:27:12	01:17:30:12	覺得氣球很好玩, 也很有趣
01:17:31:14		從三年級開始到現在大概有一年多
01:17:36:12		越難就會越想要把它折好
01:17:38:26	01:17:40:17	然後會很愉快的感覺
01:17:41:23		有想過要開一家氣球餐廳
01:17:44:26		然後裡面就有放氣球
01:17:46:13		然後又可以吃到美食
01:17:49:00		我也想要當街頭藝人
01:17:51:07		就是氣球的街頭藝人
01:17:54:00		因為兩個都覺得很好玩
01:17:56:16	01:17:58:09	就是有一種快樂的感覺
01:18:02:25		現在我正在準備明天遊行要用的氣球
01:18:06:12		需要很多...
01:18:08:04		應該要五, 六百條吧
01:18:11:12		第一條綠色的
01:18:13:04		它是最細, 氣球裡面最細的
01:18:15:16		它叫一六○的氣球
01:18:17:18		然後紅色這一條是二六○
01:18:20:25		然後黃色這條是三五○
01:18:23:22		它很粗
01:18:24:26	01:18:27:13	就大概跟腳一樣粗吧
01:18:28:22		目前我在折的氣球
01:18:30:02		大部分都是長條形氣球
01:18:32:16		因為它可以做的變化最多
01:18:34:28		然後要折的氣球也要挑選過
01:18:37:21		像我用過幾個牌子
01:18:39:17	01:18:42:08	後來覺得這個牌子最不容易破
01:18:43:29		這個是雙向打氣筒
01:18:45:29		因為它一吹過去就是一下
01:18:47:24		回來也是一下
01:18:49:15		一來一回都可以充氣
01:18:51:13	01:18:53:13	比單向打氣筒快很多
01:18:54:15		你可以用嘴巴吹但是建議不要
01:18:56:28		因為用嘴巴吹
01:18:59:22		會造成眼睛不舒服
01:19:02:02	01:19:03:14	還有身體的不舒服
01:19:04:23		有時候一直綁...
01:19:06:05		然後就手會破皮
01:19:08:08		然後有時候痛的話
01:19:10:02		就會用OK繃貼
01:19:11:29		不能把氣球充得很滿
01:19:14:18		不然很容易一折就爆破
01:19:17:09		一剛開始氣球爆破的時候
01:19:19:07		我就會有一種可怕的感覺
01:19:21:10		然後之後氣球爆破就覺得
01:19:23:28	01:19:25:14	覺得很好玩, 很開心
01:19:26:18		氣球雖然可以折出很多東西
01:19:29:01		但是像是眼睛這種比較細小的東西
01:19:31:29		還是折不出來
01:19:33:11		所以要用畫的
01:19:35:13		畫氣球不能用油漆筆畫
01:19:38:05		因為會把氣球腐蝕掉
01:19:39:23		然後你做的完成品然後就會爆掉
01:19:42:18		建議用麥克筆
01:19:43:28		因為它的畫上去比較快乾
01:19:46:14	01:19:49:20	而且重點是它不會腐蝕氣球
01:19:53:01		氣球剛吹好剛開始會反光
01:19:56:07		但是過了幾天之後
01:19:59:02	01:20:01:06	它會變得完全霧霧的
01:20:03:24		然後如果要讓它維持很亮
01:20:06:23		如果以這個亮度的話
01:20:08:04		那就要噴亮光漆
01:20:10:04		亮光漆有兩個作用
01:20:11:11		一個是保護它的顏色
01:20:13:13		讓它的顏色可以持續個一兩天
01:20:16:10		第二個作用是
01:20:17:25		讓它可以維持得比較久
01:20:20:02		如果不噴的話
01:20:21:00	01:20:23:05	兩個禮拜之後就會變成這樣子
01:20:25:04	01:20:26:24	完全縮水
01:20:31:20		今天晚上要折很多帽子和手環
01:20:34:18		讓大家明天遊行的時候可以戴著
01:20:37:15		除了帽子和手環之外
01:20:39:18		我還要再折一個很特別的東西
01:20:43:00		大概四隻手指頭...
01:20:45:11		中間有一個結
01:20:47:05		這裡也有一個結
01:20:48:13		把它這樣子卡在一起
01:20:51:05		要把結和結卡在一起
01:20:53:18	01:20:54:17	卡另一邊
01:20:55:20	01:20:56:03	然後就好了
01:20:57:04	01:20:58:05	就把它卡在一起
01:20:59:17		你們猜猜看我現在在折什麼呢
01:21:03:06		走在大街上都被民眾拍的話
01:21:06:07		我會覺得自己很開心
01:21:08:00	01:21:10:16	又做了一件很漂亮的作品
01:21:19:18		這是一件氣球洋裝喔
01:21:22:05		最後還是有再加裝一點點
01:21:24:00		因為我做得太小件了
01:21:25:23		然後今天還加裝了肩帶
01:21:28:11		很舒服, 然後穿起來很漂亮
01:21:31:04	01:21:31:24	不用擔心
01:21:33:08		我本來想要把那個花貼在中間的
01:21:36:08		然後最後因為噴了亮光漆
01:21:37:29		油油的
01:21:38:19		然後就貼不上去
01:21:40:13		所以後來媽媽就用繩子綁在最下面
01:21:43:20		穿起來覺得很好看
01:21:45:23	01:21:47:19	我自己做的也很好看
01:21:52:01		穿上氣球裝後
01:21:53:19		大家都在拍我們
01:21:55:12	01:21:57:20	其實會覺得有一點害羞
01:22:03:11	01:22:04:09	嗨...
01:22:05:02		這裡打招呼好了
01:22:05:21		這邊打打招呼, 那邊打打招呼
01:22:07:24	01:22:10:07	我覺得氣球可以做帽子很厲害
01:22:19:00		現在已經出發了
01:22:19:28		然後我們現在一直慢慢的前進
01:22:23:05		我們來打鼓
01:22:24:26		五, 四, 三, 二, 一
01:22:26:17		我們來舞旗
01:22:28:10		稀奇古怪樣樣行
01:22:31:22		有很多人看到我們兩個穿氣球裝
01:22:34:18	01:22:36:02	大家覺得都...
01:22:37:11	01:22:38:01	一直叫
01:22:39:04		我之前沒看過這種氣球做的洋裝
01:22:41:17		這是頭一次看
01:22:42:25		好厲害喔, 有兩件都是
01:22:45:16	01:22:47:01	很漂亮, 很厲害
01:22:50:02		我們等一下沿路會發氣球貴賓狗給觀眾
01:22:55:08	01:22:56:15	大部分都喜歡
01:22:57:23	01:22:58:21	妹妹, 送你
01:23:01:05		我看到大家的反應我覺得很開心
01:23:03:00		因為別人可以那麼驚訝
01:23:05:23	01:23:06:28	我覺得很喜歡
01:23:11:29		請問有人跟我一樣喜歡氣球嗎
01:23:15:01	01:23:17:17	趕快來社群網站跟我聊天
