01:00:31:08	01:00:33:22	體驗蘭嶼傳統製陶耐力大考驗
01:06:20:23		但是還不能開始捏陶喔
01:06:22:19		因為土裡面
01:06:23:15		還有不容易挑出來的小石頭
01:06:25:21	01:06:26:27	需要被搗碎
01:06:28:18		你把它敲碎在裡面的話
01:06:30:09		它不是就更難發現它的存在了
01:06:33:15		沒有
01:06:33:25		這個就變成它的黏力就比較夠
01:06:40:02		是不是有點像是水泥, 有沒有
01:06:42:24		沙子, 然後加水
01:06:44:27		水泥要混一點沙, 對不對
01:06:46:19		然後有的時候
01:06:47:18		還要混一點那個小石頭的話
01:06:49:21		蓋起來那個混凝土的屋子
01:06:51:08		才會更堅固
01:06:52:19		所以它
01:06:53:10		等於就變成它結構的一部分
01:06:55:22		然後就可以更牢
01:06:57:14		然後你做出來的陶器
01:06:59:10		更不容易破掉, 是不是
01:07:00:22	01:07:01:22	對
01:07:02:23		搗土的工具很原始
01:07:04:19		是就地取材的石頭
01:07:06:14		沒有機器
01:07:07:12		或是什麼現代的工具協助
01:07:09:12	01:07:11:29	就是一點一滴的跟土交朋友
01:07:14:20	01:07:15:23	有...
01:07:17:06	01:07:18:07	不行啦
01:07:19:13		你弄到草堆裡面去啦
01:07:21:09		不是... 我跟你講真的
01:07:22:24		你手要過來前
01:07:23:16		先喊一個什麼暫停之類的
01:07:25:09		或暫停一下, 好不好
01:07:27:08		好
01:07:27:29	01:07:28:27	對啊
01:07:30:16		所以你看這畢竟是我們
01:07:33:02		真的紮紮實實
01:07:34:04		到野外去採回來的土
01:07:36:15		從剛剛開始挖土, 對不對
01:07:39:20		然後在現場
01:07:41:05		先初步把比較大塊的石頭挑掉
01:07:43:22		回來之後再挑掉小小的石頭
01:07:45:25		中型的
01:07:46:19		對, 然後接下來更小的
01:07:48:15		就必須要用很大的力氣
01:07:50:25		這個用石頭
01:07:52:04		不斷不斷的把這些小石頭給敲碎
01:07:54:14		然後這樣子我們的這些陶土
01:07:56:15		才變得很細緻
01:07:57:26		之後做出來的這個成品才會好
01:08:01:00	01:08:01:28	不要客氣
01:08:03:27		都那麼厲害
01:08:05:10		她還在這邊要混嗎
01:08:06:27	01:08:07:27	對不對
01:08:21:09		早上辛辛苦苦跋山涉水
01:08:23:22		好不容易採到了土, 對不對
01:08:25:24		回來之後又千錘百鍊
01:08:28:19		鍊石, 你看看
01:08:30:13		終於啊
01:08:31:09		我們的這個土應該算好了吧
01:08:34:01		好細喔
01:08:35:06		Kaka, 這個已經可以
01:08:36:12		開始來做我們的陶器了吧
01:08:38:00		對, 可以
01:08:39:02		大家剛剛處理過的土
01:08:40:18		還有一點溫度
01:08:41:24		用萬能的雙手和一把木槌
01:08:44:16		Kaka熟練的捏製, 拍打
01:08:47:00	01:08:49:07	小陶甕就這樣慢慢的成形了
01:08:50:26	01:08:52:19	這麼重, 要裝一個湯
01:08:53:25		我覺得根本分不出來
01:08:55:13		這個陶甕裡面有沒有水
01:08:56:25		因為太重了
01:08:59:00		這樣可以打
01:09:01:06		跟我想像中的甕
01:09:03:14		開始那個雛形有出來了
01:09:05:29		開始變得比較薄
01:09:07:07		然後底稍微比較小
01:09:09:07		然後開始有一個往上的斜度出來了
01:09:11:28		但是說是比較薄
01:09:13:04	01:09:15:02	現在還是有大概這麼厚耶
01:09:16:15	01:09:18:11	然後再用手在裡面塑形
01:09:25:29		Kaka, 像我們在
01:09:27:08		不管剛剛在練土
01:09:28:15		或是現在在捏塑形的時候
01:09:31:03		有什麼儀式嗎
01:09:32:12		或是又有什麼禁忌
01:09:34:23		是不可以做的嗎
01:09:37:02		我們這樣在做甕的時候
01:09:39:24		旁邊不能有很...
01:09:41:20		不能嚷嚷
01:09:43:10		也不會叫...
01:09:44:26		也不會讓女孩子靠近我們
01:09:48:19		不... 這是示範
01:09:49:17		示範, 這是示範
01:09:50:09		所以女孩子不可以靠近
01:09:52:14		對...
01:09:53:01		然後旁邊看的人不能吵
01:09:55:27		對不對
01:09:57:07		同學都閃光了
01:09:58:17		他們...
01:09:58:28		聽到了
01:09:59:22		他覺得他們會很吵
01:10:01:01		就跑光
01:10:02:04		而且剛才他們笑也是都...
01:10:03:23		很小聲還有呢
01:10:04:19		還有沒有什麼事情是不能做的
01:10:06:23		還有
01:10:08:21		不能在旁邊折甘蔗
01:10:11:24		甘蔗
01:10:12:28		折甘蔗
01:10:15:02		折嗎
01:10:16:01		吃都不行
01:10:17:14		為什麼
01:10:18:12		關甘蔗什麼事
01:10:20:07		不知道, 因為他們說那個甘蔗
01:10:22:15		會喀擦喀擦那個聲音
01:10:25:10	01:10:26:28	好像裂掉的聲音
01:10:28:01		香蕉
01:10:29:00		不能吃香蕉
01:10:30:11		為什麼
01:10:31:05		因為香蕉我們要吃的時候
01:10:33:15		就是剝開
01:10:34:15		對
01:10:35:12		也是一種
01:10:37:17		就是會裂的一種
01:10:41:07		剝落
01:10:42:09		會剝落的感覺, 對不對
01:10:45:08	01:10:46:21	還很多禁忌耶
01:10:50:24		沒關係嘛裂掉你就不要給我就好
01:10:53:01		你就說忘了燒你燒好的給我就好
01:10:55:29		燒好的她要
01:10:57:20		破掉的給你
01:10:59:00	01:11:00:05	哪有這種事
01:11:01:25	01:11:02:26	我是燒好的
01:11:03:29		達悟族人對於小孩是十分疼愛的
01:11:06:16		在製造陶器時
01:11:07:25		通常會利用剩下來的黏土
01:11:10:02		製作出各式陶偶
01:11:11:16		給幼童當玩具玩
01:11:13:11		像是島上的動物
01:11:14:24		和傳統的生活場景
01:11:16:12		都一一呈現
01:11:17:15	01:11:19:26	是外界評價很高的原始藝術
01:11:21:20		好可愛
01:11:23:29	01:11:24:27	山豬
01:11:26:17	01:11:27:16	我看一下
01:11:28:27		瓶頸了
01:11:30:02	01:11:32:17	我在修整我的天鵝翅膀
01:11:36:12		今天辛苦了一整天
01:11:37:19		從採土到練土
01:11:39:14		到塑形陶甕
01:11:40:21		還有我們這個手上的小玩偶
01:11:43:06		大家好像都已經快完成了
01:11:44:23		不過天色已經晚了
01:11:46:19		看來今天要燒陶是不大可能了
01:11:49:02		沒關係, 就等明天吧
01:11:50:26	01:11:53:09	我的大象作品就可以出爐囉
01:11:55:18	01:11:56:10	腳快斷了
01:11:57:10	01:11:58:24	快... 把握機會
01:12:07:18		我們去找kaka
01:12:08:23		快, 你的是哪一個
01:12:10:00		我的大象, 你的是...
01:12:11:18		飛魚
01:12:13:16		你呢, 你的是什麼
01:12:14:17		你的是什麼
01:12:16:19		你的杯子
01:12:17:14		要提醒大家
01:12:18:21		如果是做大件的陶器
01:12:20:24		可是要經過多日的陰乾
01:12:22:25	01:12:24:00	再燒製喔
01:12:25:28		走囉
01:12:27:07	01:12:28:02	來囉
01:12:29:17	01:12:30:24	斷掉了
01:12:31:26	01:12:35:12	他的杯子的那個耳朵斷了
01:12:38:29		危險
01:12:40:18		就這樣子擺在那邊
01:12:41:28		它們不用一個什麼架子還是什麼嗎
01:12:44:11		不用, 我們野外燒就是這樣
01:12:47:05		我們用的木頭都是台東龍眼
01:12:51:06		就是番龍眼
01:12:52:05		番龍眼
01:12:52:26		都是好的木頭, 對
01:12:55:07		有差嗎
01:12:56:00		用其他的木頭會有什麼差別
01:12:59:03		因為其他的木頭
01:13:00:28		它的那個燜燒度不夠
01:13:03:24		溫度不夠
01:13:05:08		很容易裂
01:13:06:26		然後你要擺好一點
01:13:09:03		萬一上面的木頭
01:13:11:13		燒完了就掉下來
01:13:12:28	01:13:14:00	會打到那個
01:13:15:08		那怎麼辦
01:13:15:28		會不會壞掉
01:13:17:08		對啊, 會壞, 它會壞
01:13:19:13		如果是甕的話
01:13:20:13		我們會穿那個傳統服裝
01:13:23:06		真的嗎
01:13:23:27		這麼慎重
01:13:25:07		對, 很慎重
01:13:26:15		要穿著傳統服燒喔
01:13:28:13		如果全部都沒有裂掉
01:13:31:25		我們就會拜拜
01:13:32:29		會殺豬殺羊
01:13:34:28		慶祝說所有的陶甕
01:13:36:23		都燒得很完整這樣子
01:13:38:23		好, 希望順順利利的
01:13:40:04	01:13:41:06	來吧, 點火
01:13:48:07		傳統製陶中
01:13:49:09		燒陶是最後相當重要的步驟
01:13:51:27		因此在準備燒製時
01:13:53:22		會做些很慎重的儀式
01:13:55:28		主要目的就是希望
01:13:57:11		費盡心血做出來的陶器
01:13:59:13	01:14:01:23	都能完整順利的燒製成功
01:14:05:08		他跟陶土講說就是你不要破
01:14:08:13	01:14:10:23	我們就是...
01:14:12:21		讓你就是燒得很成功的意思
01:14:16:11		謝謝maran
01:14:17:14	01:14:19:22	謝謝...
01:14:39:01		Maran說
01:14:41:28		招魚祭(會用到的鍋子)有兩種
01:14:45:10		一個是男孩子的鍋子
01:14:47:21		一個是女孩子
01:14:49:09		一般招魚祭結束了也是兩個
01:14:52:20		會變成一個家庭就是四個
01:14:55:02		然後我們男孩子吃的魚
01:14:58:03		那個魚湯不能倒在那個女孩子的
01:15:01:18		傳說從前人們
01:15:03:01		將貝, 蟹, 飛魚等
01:15:05:08		混合著煮食
01:15:07:14		結果吃了以後就生病了
01:15:10:15		於是飛魚神就托夢給一位老人
01:15:13:21		告訴他食用飛魚的正確方法
01:15:16:16		而其中很重要的
01:15:18:00	01:15:19:11	就是不可以混煮
01:15:21:28		Maran說
01:15:23:17		因為小朋友現在不好教
01:15:26:10		他都不會聽父母親的話
01:15:30:22		現在我們唯一一個可以補救的地方
01:15:33:03		就是讓學校
01:15:35:11		可以說教導他們
01:15:37:22		就做一個, 辦一個
01:15:40:26		做這些文化傳承的那個課
01:15:45:13		讓學生可以去接觸這些傳統的東西
01:15:49:21		對, 那個學校可以
01:15:52:06	01:15:53:22	每天可以做這個
01:15:58:17		Kaka說
01:15:59:09		這種傳統開放式的柴堆燒陶的方式
01:16:03:01		最難的是溫度的控制
01:16:05:05		所以就之前的經驗
01:16:07:02		陶甕平均燒製成功的機率
01:16:09:14		大約是七成左右
01:16:11:05		所以失敗的機會還不算小喔
01:16:13:28		雖然這次燒的大部分是小件的陶偶
01:16:17:05		難度比較低
01:16:18:09		但是我們還是做好心理準備
01:16:20:14		希望我做的天鵝
01:16:21:26		和小兵的大象
01:16:22:29	01:16:24:19	都能夠完好的出窯
01:16:30:15		燙...
01:16:32:05	01:16:33:03	很燙嗎
01:16:39:09	01:16:40:20	都好可愛喔
01:16:41:23	01:16:43:00	把它拍一拍
01:16:44:17		這個真的很美
01:16:46:18	01:16:48:02	燒成炭的顏色
01:16:50:10		我們的陶偶完成啦
01:16:52:10		其實我覺得
01:16:53:07		蘭嶼他們做陶的這個藝術
01:16:55:07		是源自生活的需要
01:16:57:03		雖然說燒出來的陶
01:16:58:15		跟一般我們看到那種
01:16:59:29		上釉, 很華麗的陶不一樣
01:17:01:27		帶著純樸, 質樸的美
01:17:04:02		可是我覺得這樣子簡單的概念
01:17:05:29		是很多藝術家
01:17:06:26		終其一生都在追求的
01:17:08:22		對其實是非常非常難得
01:17:10:12		而且我覺得是很漂亮的
01:17:12:12		反璞歸真, 對不對
01:17:14:04		所以我真的衷心的希望
01:17:16:22		蘭嶼的這個傳統的燒陶文化
01:17:19:14		千萬不要中斷
01:17:20:21		然後也希望
01:17:21:12		你看, 可以像朗島國小這樣子
01:17:23:17		他們有這樣的傳統陶藝課
01:17:25:10		然後把這些很好的文化
01:17:27:05		一代一代的傳承下去
01:17:28:26		對不對對啊
01:17:29:17		也希望大家來這裡的時候
01:17:31:17		多多瞭解一下
01:17:32:22		體會一下這裡傳統的技藝啦
01:17:35:01		還很燙嗎
01:17:35:22		還很燙
01:17:36:14		西瓜甜不甜
01:17:37:25	01:17:39:07	甜不甜
01:18:14:21	01:18:15:20	拜拜
01:18:18:22	01:18:19:17	哈囉
01:18:27:08		好久沒去蛙調了
01:18:29:00	01:18:30:25	我帶你們一起去蛙調吧
01:18:40:12		什麼是蛙調啊
01:18:42:03		是釣蛙嗎
01:18:43:17	01:18:45:00	不是啦, 我可以帶你去啊
01:18:50:15		不過蛙調的時候
01:18:52:12		一定要保持安靜
01:18:54:28	01:18:58:02	不然對青蛙很沒有禮貌喔
01:19:00:05		蛙調就是記錄
01:19:01:14		一個地方的青蛙數量
01:19:04:00		定期的蛙調
01:19:05:04		可以知道這裡的生態環境
01:19:07:14	01:19:08:19	有沒有改變
01:19:09:23		我喜歡動物
01:19:11:01		有時會請爸媽帶我來野外觀察生態
01:19:15:29		有一次我來這邊
01:19:17:28		剛好遇到了蛙調團隊
01:19:20:04		我就跟著他們一起走
01:19:22:06		那是我的第一次蛙調
01:19:24:27		就是感覺習慣性的
01:19:26:10		就變成說每一次蛙調我都要來
01:19:29:19		之後我去做了一個
01:19:31:15		蛙蛙數位學院的測驗
01:19:33:20		我通過了
01:19:34:18	01:19:36:13	他們就讓我當志工
01:19:37:23		蛙調雖然不危險
01:19:40:05		但是因為是晚上
01:19:42:09		所以還是要做好準備
01:19:44:23		記得, 一定要穿長袖
01:19:46:14		免得會被蚊蟲叮咬
01:19:48:26		手電筒, 圖鑑
01:19:50:26		遇到不知名的蛙類
01:19:52:11		查圖鑑才能迅速地知道
01:19:55:06	01:19:56:25	那個蛙類到底是什麼東西
01:20:03:23	01:20:06:12	找青蛙的重點就是聽聲音
01:20:09:25	01:20:12:05	鈞鈞, 這邊有青蛙耶
01:20:13:08		兩隻
01:20:14:04		這是台灣最普遍的一種青蛙
01:20:16:22		叫盤古蟾蜍
01:20:18:00		這隻上面怎麼有浮萍
01:20:19:16		牠可能剛剛跳到水裡了
01:20:21:08		這個有毒嗎
01:20:22:09		有, 牠有耳後腺
01:20:24:14		眼睛後面還有一個突突的
01:20:26:16		牠的毒液是用來保護自己
01:20:28:18		如果掠食者吃掉牠
01:20:30:06		可能會感到疼痛或是直接死亡
01:20:33:11		讓掠食者知道
01:20:34:08		以後不要吃這種青蛙
01:20:36:01		不過摸到只要洗手就好
01:20:38:05	01:20:40:11	除非你吃掉牠才有問題
01:20:41:29		我看到青蛙會先請大人照相
01:20:44:27		然後把看到的蛙種數量
01:20:47:04		寫在筆記本上
01:20:48:22		替牠們做記錄
01:20:50:13	01:20:53:21	這是蛙調和釣蛙不一樣的地方
01:20:55:24		有一隻面天
01:20:56:20		來, 看...
01:20:57:19	01:20:58:14	有一隻面天
01:20:59:14		好可愛, 不怕人
01:21:01:13		這個是背部有一個H形
01:21:03:21		或是一個叉叉形
01:21:05:10		牠的手上有一些吸盤
01:21:07:09		因為牠是樹蛙
01:21:08:06		牠生活在灌木叢或是高樹上
01:21:11:09	01:21:12:13	牠的聲音怎麼叫
01:21:14:00	01:21:15:15	牠現在應該在裝死
01:21:17:18		爸爸, 我找到我最喜歡的
01:21:19:24		拉杜希氏赤蛙了
01:21:21:29		牠最明顯的就是牠的背折線
01:21:24:29		牠的背折線非常粗
01:21:26:16		非常高, 非常明顯
01:21:28:16		所以有人叫牠闊褶蛙
01:21:30:17		牠的叫聲
01:21:31:14	01:21:34:11	是有點像拉肚子便秘的聲音
01:21:35:11		這個聲音
01:21:36:12		有人叫牠拉肚子吃西瓜的青蛙
01:21:39:04	01:21:40:26	牠很可愛, 我非常喜歡
01:21:43:00		通常蛙調最重要的是
01:21:45:03		不能帶走原生種或保育類
01:21:47:18		如果遇到外來種要抓走牠
01:21:50:00	01:21:51:09	必須再三確認
01:21:52:25		清除外來種
01:21:53:26		是為了不要讓牠們
01:21:55:14		破壞到原生種的生存空間
01:21:58:09		所以我和蛙調團隊
01:22:00:02	01:22:02:25	會定期的到處清除外來種
01:22:07:24		我盒子裡的這兩隻是花狹口蛙
01:22:11:03		牠是台灣的外來種
01:22:13:04		牠們跟樹蛙一樣有吸盤
01:22:15:21		通常人們就是把牠包成一袋
01:22:18:14		放進冰箱
01:22:19:18		因為在很冷的時候
01:22:21:23		青蛙會開始讓自己冬眠
01:22:24:28		然後冬眠在睡覺的時候
01:22:26:27		慢慢死亡
01:22:28:02		我遇到這種外來種的話
01:22:29:19		我就是可以養就養
01:22:32:08		牠們其實很可愛
01:22:33:24		可以選擇的話
01:22:34:22		牠們當然不要當外來種
01:22:36:25		牠們可以在牠們的原生地
01:22:38:07		好好生活
01:22:39:28		所以這不是牠們的錯
01:22:41:06	01:22:42:12	這是我們的錯
01:22:50:07		我那麼喜歡到各地去蛙調
01:22:53:00		如果有一天
01:22:54:11		我遇到了一個女孩
01:22:56:06		我喜歡她
01:22:57:18		但她不喜歡動物
01:22:58:26		也不喜歡青蛙
01:23:00:14		那我會告訴自己
01:23:02:13	01:23:05:02	小心, 不要愛上她
01:23:15:28		有些青蛙的命名
01:23:17:14		恰好和牠們的叫聲相似
01:23:20:11		比如史丹吉氏小雨蛙是吉...
01:23:24:25		古氏赤蛙是古...
01:23:27:12		你知道台灣哪一種青蛙的名稱
01:23:30:14	01:23:32:26	恰好和牠的聲音相似呢
