01:00:31:19	01:00:33:00	搭飛機
01:02:36:21		才要剛開始上課對不對
01:02:37:27		對
01:02:38:14		上課前先叫他們活動一下
01:02:40:13		跳一跳, 吼一下
01:02:42:00	01:02:44:04	然後那個精神才會來
01:02:57:25		開心的唱唱跳跳醒腦之後
01:03:00:04	01:03:02:16	接下來上的是數學課
01:03:10:14		這節課是低年級
01:03:11:25		最簡單最簡單的數學
01:03:14:11		與其說數學
01:03:15:08		倒不如說認識數字
01:03:17:21		因為老師從零
01:03:19:12		然後到一
01:03:20:21		教二, 教三
01:03:22:07		除了教它的念法之外
01:03:23:25		還教它的寫法
01:03:25:11		可是六歲的孩子
01:03:27:25		為什麼是學校在教這個啊
01:03:29:21		Johnny, 像這樣子
01:03:32:01		為什麼六歲
01:03:32:22		才在學校學這個數字呢
01:03:34:11		是我們的政府的法律是這樣
01:03:37:21		從六歲
01:03:39:21		小孩子可以上學
01:03:41:06		爸爸媽媽在家裡
01:03:42:00		沒有教他們這些喔
01:03:43:17		有時候爸爸媽媽也不會
01:03:46:18		因為如果父母親的學歷
01:03:48:06		不夠的話
01:03:49:04		他其實沒有辦法
01:03:50:00		教給他自己的孩子
01:03:51:13		必須要仰賴到學校
01:03:52:29		才學到這些東西
01:03:54:07		對
01:03:54:22		也是有父母到現在他們相信
01:03:58:21		上學不是那個重要的東西
01:04:03:00		寧可他去田裡幫忙
01:04:04:21		也許去抓魚, 去種菜
01:04:07:18	01:04:09:07	對... 就幫他們去搬東西
01:04:10:00		在這個馬達加斯加南部的小學
01:04:12:17		孩子一個月的學費
01:04:13:29		是七千阿里阿里
01:04:15:18		折合台幣大約是九十元
01:04:18:05		馬國是全世界最貧窮的國家之一
01:04:21:04		人民平均每日收入
01:04:22:28		大約一塊美金
01:04:24:15		這筆學費對一個家庭來說
01:04:26:17	01:04:28:13	是一項不小的支出
01:04:31:23		Johnny, 這間教室的設備
01:04:33:13		其實還滿簡陋的
01:04:35:07		嚴格來說大概就是四面牆
01:04:38:02		然後一個破破的屋頂
01:04:39:28		那如果這樣下雨天要怎麼辦
01:04:41:27		那個雨季的時候
01:04:43:18		有時候有下雨
01:04:45:02		一點點可以啊
01:04:46:06		如果他想自己...
01:04:47:29		那誰決定呢
01:04:48:27		老師會每天跟同學講說
01:04:51:06		明天氣象預告說要下雨
01:04:53:05		明天不來上什麼
01:04:54:06		不是... 不是這樣
01:04:55:18		小孩子到這兒
01:04:56:27		然後老師決定你們可以回家
01:05:00:03		因為下雨了
01:05:02:08		那怎麼辦
01:05:03:09		要回家怎麼辦
01:05:04:00	01:05:05:23	誰照顧他們
01:05:07:14		不管
01:05:08:06		不管
01:05:08:25		就即便這個同學
01:05:09:25		他可能已經花了半個小時
01:05:11:14		一個小時走路
01:05:12:21		然後來到學校
01:05:13:23		因為雨太大
01:05:14:15		就叫他回家這樣子喔
01:05:15:29		對
01:05:16:28		那這樣子雨季常常會碰到大雨
01:05:19:06		那同學們不是一天到晚就是
01:05:20:26		來學校就回家...
01:05:22:06		有地方是這樣
01:05:23:18		所以這種的
01:05:24:04		像這樣的教室
01:05:24:26		不算是很差的是不是
01:05:26:18		對, 這個還可以
01:05:28:10		這個還可以
01:05:28:29		這個還可以啊
01:05:30:11	01:05:31:25	真的還可以
01:05:36:13		Johnny
01:05:37:12		這個教室就還不錯, 對不對
01:05:39:19		對... 這個還可以
01:05:40:27		這個跟剛剛那個低年級的比起來
01:05:43:26		這個起碼黑板也大多了
01:05:46:04		同學們的課桌椅也多很多了
01:05:48:29		這個是三年級的是吧
01:05:50:09	01:05:51:06	對, 三年級...
01:05:52:05		Johnny說雖然是公立小學
01:05:54:20		但因為經費不足
01:05:56:04		除了校舍簡陋
01:05:57:15		僅有的幾張破舊課桌椅
01:05:59:26		也只能夠給中高年級使用
01:06:02:24		而全校三百名學生
01:06:04:16		只有一位政府分發的正式老師
01:06:07:17		其他人員都是家長花錢請來
01:06:10:06	01:06:12:01	協助教學工作的
01:06:16:19		很明顯的
01:06:17:16	01:06:19:22	現在在上地理課
01:06:20:15		老師一定是左邊那個圓是地球
01:06:24:05	01:06:26:09	她在畫一個赤道
01:06:28:00		然後老師要指出馬達加斯加
01:06:30:25		大概在地球的哪個位置對不對
01:06:33:16	01:06:35:08	你看, 我懂了...
01:06:40:27		就算學校資源不足
01:06:42:22		下課玩遊戲
01:06:44:00		還是孩子們最愛的事情
01:06:46:04		這裡的孩子
01:06:46:29		雖然沒有遊樂設施
01:06:49:00		沒有玩具
01:06:49:29		只有玩伴
01:06:51:01		但是簡單的跳格子遊戲
01:06:53:10		就能夠讓校園裡充滿笑聲
01:06:56:01		規則很簡單
01:06:57:11		跳格子不能看
01:06:59:07	01:07:01:05	誰踩線, 誰就輸
01:07:03:02		他們很喜歡玩這個東西是不是
01:07:05:20		對
01:07:06:11	01:07:10:00	如果輸掉的人會有什麼處罰嗎
01:07:12:22		跳舞
01:07:13:21		輸的人跳舞
01:07:14:25		對
01:07:15:12		贏了就贏了
01:07:15:29		輸了跳舞
01:07:16:24		像她這樣
01:07:17:21		我們現在要比賽是不是
01:07:18:28		對
01:07:19:13		那我輸了
01:07:19:24		我還要跳舞給她看
01:07:20:16		對...
01:07:22:07	01:07:23:18	好
01:07:24:09		你們要幫我當裁判
01:07:25:13		看誰輸誰贏喔
01:07:27:06	01:07:29:12	一, 二, 三, go
01:07:39:16		他們說她輸了
01:07:41:06		她輸了嗎
01:07:42:14		她輸了
01:07:43:01	01:07:43:18	她
01:07:44:08	01:07:45:17	她輸了, 跳舞
01:07:46:12	01:07:48:02	跳舞... 那種
01:07:53:27		看著孩子們天真無邪的笑容
01:07:56:05		我想起Johnny說過
01:07:58:03		馬達加斯加
01:07:59:00		擁有極度豐富的天然資源
01:08:01:15		人民卻極度的貧窮
01:08:03:15		而教育是唯一能夠改變
01:08:05:09		不公平待遇的方式
01:08:07:13		沒錯
01:08:08:03		同學們
01:08:08:25	01:08:11:11	一定要珍惜學習的機會喔
01:08:12:00		告別了這群孩子
01:08:13:03	01:08:15:26	我們繼續往西南邊前進
01:08:27:14		我們剛剛搭飛機
01:08:28:23		來到了圖利爾
01:08:30:05		今天的行程
01:08:31:11		聽說要去馬島南部
01:08:32:24		一個很重要的國家公園對不對
01:08:34:28	01:08:35:22	是啊
01:08:36:09		崇瑋曾在二○一二年
01:08:37:23		獨自探索馬達加斯加
01:08:39:25		來馬島
01:08:40:15	01:08:42:05	跟他就對了
01:08:42:11		不過聽說這個交通方式
01:08:45:02		有一點點複雜
01:08:46:05		可能要換好幾次
01:08:47:10		但是我之前也沒有來過
01:08:48:16		所以詳細情況也不是很清楚
01:08:50:29		反正去了就知道了
01:08:52:04		走
01:08:52:12	01:08:53:16	好, 走
01:08:54:17		崇瑋說
01:08:55:09		馬達加斯加
01:08:56:06		有一種非常特別的鳥
01:08:58:00		牠不但棲息在
01:08:59:00		幾乎沒有動物可以生存的鹽湖上
01:09:01:22		更誇張的是
01:09:02:28		牠有著幾乎沒有其他動物擁有的粉紅色
01:09:06:07		對, 粉紅色
01:09:08:04		這到底是什麼樣特別的鳥呢
01:09:11:00		根據崇瑋所提供的線索
01:09:12:29		火鶴鳥生長在馬達加斯加
01:09:15:04		南部的齊馬南佩處察國家公園
01:09:18:02	01:09:20:04	走, 去尋找牠的蹤影吧
01:09:22:28		我們的旅行計畫是這樣的
01:09:25:00		抵達大城圖利爾之後
01:09:27:06		再搭船到阿納考
01:09:29:16		再轉車到齊馬南佩處察國家公園
01:09:32:22		這樣子就要花上一整天了
01:09:35:02		沒想到這時候
01:09:36:13		居然還多出一種
01:09:37:20	01:09:40:08	不可思議的交通工具
01:09:41:23		現在這一段
01:09:42:19		是稍微比較誇張一點點
01:09:44:09	01:09:45:14	你看看
01:09:46:01		牛車
01:09:47:06		因為我們剛剛搭車
01:09:48:13		在外面的大馬路下車
01:09:50:04		然後因為船在這邊
01:09:51:05		現在有點退潮的關係
01:09:52:13		距離有點遠
01:09:53:16		就要辛苦這四頭牛
01:09:55:08		幫我們把我們的行李, 器材
01:09:57:17		然後還有我們的人
01:09:58:23		載運到那邊去
01:10:00:00	01:10:01:09	好啦, 上車啦
01:10:03:16		這裡的孩子上午上學
01:10:05:12	01:10:08:04	下午就來打工駕駛牛車
01:10:10:01		等一下還要涉水
01:10:11:11	01:10:12:28	我的媽啊
01:10:13:19	01:10:16:03	還好真的有坐牛車
01:10:18:12		Johnny
01:10:18:27		我們現在到底在馬達加斯加的
01:10:21:17		大概哪一個方向
01:10:22:24		西南角
01:10:23:15		西南角, 對
01:10:24:06		那我們現在這邊的海是什麼海
01:10:25:23		海... 莫三比克海峽
01:10:27:05		從這邊這樣子一路過去
01:10:28:22		就可以到非洲大陸
01:10:30:06	01:10:31:14	對...
01:10:31:29		看得到嗎
01:10:33:20		看不到
01:10:34:12		很遠
01:10:34:28		看不到
01:10:35:13		太遠了
01:10:36:03	01:10:37:12	OK, 我看一下
01:10:38:10		牛拉著牛車
01:10:39:09		整個淹進海裡
01:10:40:20		我還是第一次遇到
01:10:41:23	01:10:43:22	真是太誇張了啦
01:10:44:02		通常都是小船換大船
01:10:46:14	01:10:49:11	很少有這種牛車換小船
01:10:51:00	01:10:52:13	太酷了
01:10:52:28		搭牛車下海的奇妙經歷
01:10:54:25		只讓我興奮短暫片刻
01:10:56:24		因為接下來
01:10:57:20	01:11:00:05	將是磨人的快艇行程
01:11:04:26	01:11:05:29	終於到了
01:11:06:15	01:11:08:01	小船上來了
01:11:09:15		鹹的, 海水
01:11:10:25		Johnny
01:11:11:13		我們現在從這邊開始
01:11:12:16		搭船搭多久
01:11:13:15		一個小時
01:11:14:12		我看今天海象好像不是很好
01:11:16:00		對不對
01:11:16:18		對
01:11:17:02	01:11:18:20	可能會有一點點顛簸
01:11:23:20		航行在莫三比克海峽
01:11:25:11		聽起來很浪漫
01:11:26:25		事實上
01:11:27:22	01:11:30:15	卻是噁心反胃的破浪之行
01:11:30:25		尤其是當太陽漸漸西下
01:11:33:12	01:11:35:13	眼前依舊一望無際
01:11:35:26		我開始擔心
01:11:37:00		到底能不能夠到達
01:11:38:05	01:11:40:04	我們的目的地
01:11:46:12		瞧我們三個一身狼狽對不對
01:11:50:03		頭髮濕了, 亂了的
01:11:52:01		全部都有
01:11:53:04		但是完全不能怪Johnny對不對
01:11:55:08		我們反倒得謝謝Johnny
01:11:56:15		因為如果不從這個圖利爾
01:11:58:26		坐快艇到阿納考的話
01:12:00:19		開車來要多久
01:12:01:23	01:12:02:29	要十個小時
01:12:04:07		所以他貼心的安排
01:12:05:16	01:12:07:27	幫我們省了九個小時的時間
01:12:08:26		阿納考其實是這個馬達加斯加
01:12:11:13		非常著名的一個渡假聖地
01:12:14:28		你看看
01:12:15:19		身後這些小木屋
01:12:16:24		待會我們晚上就要入住
01:12:18:09		不過很抱歉
01:12:19:14		我們完全沒有時間享受
01:12:21:08		因為明天我們必須起了一大早
01:12:23:04		前往...
01:12:24:00		齊馬南佩處察
01:12:25:09		齊馬南佩處察國家公園
01:12:27:09		好, 所以趕快去梳妝清洗一下
01:12:31:18		對不對
01:12:32:07		趕快吃個晚餐
01:12:33:05		早點休息啦
01:12:34:16	01:12:36:00	好, 走
01:12:45:18		隔天起了一大早
01:12:47:00		帶著期待的心情
01:12:48:07		前往國家公園
01:12:49:26	01:12:51:12	沒想到...
01:12:51:24	01:12:54:14	計畫趕不上變化啊
01:12:57:26		我現在在馬達加斯加島南部的
01:13:01:19		一個小村落叫做Beheloke
01:13:03:22		這是去齊馬南佩處察國家公園
01:13:06:12		必經之路
01:13:07:09		為什麼要停在這邊休息呢
01:13:08:22		要往齊馬南佩處察國家公園
01:13:10:28		大概需要兩個小時的車程
01:13:12:29		所以我們一行人
01:13:14:05		決定四點半就起床
01:13:16:01		五點鐘就要出門
01:13:17:11		結果當我們準備出門的時候
01:13:19:22		其中我們安排的一輛車子
01:13:21:27		突然放我們鴿子
01:13:23:03	01:13:24:17	沒有出現
01:13:25:09		怎麼辦
01:13:25:25		所以我們七個大人
01:13:27:14		只好通通擠這台車
01:13:29:14		還有我們的攝影器材
01:13:31:08		所以一路上是非常的顛簸
01:13:33:17		坐得非常的擁擠
01:13:35:09		只好在半路這個小村落
01:13:37:17		停了下來
01:13:38:06		中途先稍微休息一下
01:13:40:06		不過這也算是一個
01:13:41:26		很美好的機遇嘛, 對不對
01:13:43:10		如果我們沒有停下來的話
01:13:44:18		就見不到這群可愛的孩子啦
01:13:46:10		對不對
01:13:47:00	01:13:47:29	哈囉
01:13:50:06		一下車
01:13:51:22		大概全村的人都跑來了
01:13:54:00		當然第一個啦
01:13:54:24		因為這可能比較少外地來的人
01:13:57:18		尤其像我們這樣黃皮膚的人
01:13:59:15		他們更是少見
01:14:01:03		其實這邊每個人都很友善
01:14:03:14		會跟我們這樣子打招呼啊
01:14:05:25		Say hi啊
01:14:06:29		剛剛其中有個人說流鼻涕
01:14:09:22		我們本來以為
01:14:10:10		他在講中文的流鼻涕
01:14:12:02		是小孩的意思
01:14:13:02		講法語啊
01:14:13:29		法語
01:14:15:09		法語的小孩子
01:14:17:11		聽起來那個中文發音叫流鼻涕
01:14:19:22		其實還滿合理的嘛, 對不對
01:14:21:10		因為小孩子總是這樣
01:14:22:19	01:14:24:03	掛著兩行鼻涕
01:14:24:19		我又多會了一句法語
01:14:26:04	01:14:27:12	流鼻涕
01:14:28:19		馬達加斯加人熱情又好奇
01:14:31:02		我們一到新的村莊
01:14:32:22		馬上就會吸引一大群人圍觀
01:14:35:08		這個時候
01:14:36:12		一位將臉塗白的婦女
01:14:38:10		吸引了我的目光
01:14:39:27		Johnny
01:14:40:08		她的臉為什麼要塗成這樣子
01:14:42:04		防曬
01:14:43:03		發財
01:14:43:28		防曬
01:14:44:26		發財
01:14:45:17		對, 防曬
01:14:46:20	01:14:47:02	什麼...
01:14:48:00	01:14:48:25	防曬
01:14:49:10		防曬
01:14:50:02		我以為塗那樣可以發財
01:14:52:11	01:14:54:00	那怎麼不大家都塗
01:14:54:24		許多熱帶國家
01:14:56:02		因為氣溫高, 陽光強
01:14:58:06		於是當地居民就地取材
01:15:00:11		將植物磨成粉
01:15:01:29		創造了他們自己的防曬美容霜
01:15:04:20		小村莊的人友善好客
01:15:07:01		一位村民邀我們到她家聊聊
01:15:09:24		原來才三十歲的Peny
01:15:11:20		十八歲就結婚了
01:15:13:14		老公是漁夫
01:15:14:26		現在已經有六個小孩了
01:15:17:14		馬達加斯加的人大都早婚
01:15:19:27		簡單的茅草屋
01:15:21:01		就是馬國鄉村典型的住宅
01:15:23:23	01:15:27:01	Peny家就是馬島人生活的縮影
01:15:36:18		揮別Beheloke的新朋友
01:15:38:14		我們一行人繼續上車
01:15:40:10		往我們的目的地前進
01:15:42:11		兩個小時漫長的車程
01:15:44:11		還好有美景相伴
01:15:46:19		沙地上的多刺灌木林
01:15:48:20		一片旱相
01:15:50:07		原來馬島南部
01:15:51:12		因為位於山脈背風側
01:15:53:19		降雨極少
01:15:54:24		是全國最乾旱的地方
01:15:57:01		呈現出
01:15:57:24		台灣所見不到的異國風情
01:16:00:09	01:16:04:00	很快的國家公園就在前方了
01:16:04:28		我們千里迢迢來朝聖的
01:16:06:17		齊馬南佩處察國家公園
01:16:08:26		真的會有火鶴鳥嗎
01:16:10:20		下一段更精彩
01:16:11:24		不要走開
01:16:12:15	01:16:13:29	馬上回來
01:16:35:21		你們看
01:16:37:08	01:16:38:28	好漂亮喔
01:16:41:22		一片白的
01:16:43:12	01:16:45:21	好像牛奶一樣喔
01:16:47:25		終於抵達了
01:16:48:15		齊馬南佩處察國家公園
01:16:50:27		這裡有長達十六公里的湖泊
01:16:53:08		也是馬達加斯加唯一的鹽水湖
01:16:55:29		這麼美麗的景色
01:16:57:06	01:16:59:05	怎麼能夠錯過呢
01:16:59:17		這有點像是馬爾地夫
01:17:01:15		人家那種白沙灘
01:17:02:27		沒錯啦
01:17:03:26	01:17:06:12	因為以前這裡都是海啊
01:17:06:25		這是海
01:17:07:08		這不是湖嗎
01:17:08:08		對, 以前都是海
01:17:10:08		什麼都有
01:17:10:28		有海豚, 有蝦, 有魚啊
01:17:13:16		什麼都有
01:17:14:14		但是海退潮的時候
01:17:16:16		海豚...
01:17:17:03		沒有跟著一起...
01:17:17:24		對...
01:17:18:10		留在這邊
01:17:19:00		走不掉
01:17:19:28		因為牠跟海的連結斷掉了
01:17:22:11		對, 走不了
01:17:23:00		海豚死掉了
01:17:23:23		對, 都死掉了
01:17:25:14		所以現在這邊看不到海豚了
01:17:27:07		對
01:17:27:23		所以為什麼
01:17:28:19		我們叫這個地方齊馬南佩處察
01:17:31:11		因為齊馬南是沒有的意思
01:17:34:00		佩處察是海豚的意思
01:17:35:29		所以這個地方
01:17:36:20		才叫做齊馬南佩處察
01:17:38:24		海豚死掉之後
01:17:39:24		它們就叫齊馬南佩處察
01:17:41:27		對
01:17:42:09		就變成這個國家公園的名字了
01:17:44:27		對不對
01:17:45:15		對
01:17:46:02		Johnny, 所以這個水是鹹的
01:17:47:28		然後又沒有跟大海相連
01:17:49:21		那不就跟那個死海一樣
01:17:51:01		如果太陽一直蒸發水分的話
01:17:53:26		那個鹽度很高
01:17:54:22		我們人到裡面去
01:17:55:26		人是可以這樣浮在水上面的
01:17:58:02		可以下去玩嗎
01:17:59:03		不行
01:17:59:27		你可以就到這邊
01:18:02:19		但是你不會去裡面
01:18:04:18		因為這個湖是神聖的湖
01:18:07:17		你看到沒有...
01:18:09:02		這個國家公園對當地人來說
01:18:11:13		是許多神靈庇護與定居的場所
01:18:14:13	01:18:16:18	當然也不能隨便嬉戲啦
01:18:18:26		所以我起碼可以去摸一下這個水吧
01:18:21:23	01:18:22:22	對
01:18:30:09	01:18:31:18	鹹的耶
01:18:32:00		Johnny
01:18:32:24		這個水雖然是鹹的
01:18:34:12		但是感覺沒有像海水那麼鹹啊
01:18:37:18		是啊
01:18:38:01		因為現在有河流跟這個湖一起
01:18:41:16		所以說不這麼鹹了
01:18:43:06		稀釋掉了對不對
01:18:44:17	01:18:46:16	所以現在反而沒有像海那麼鹹
01:18:47:03		我剛剛之前遠看
01:18:48:29		以為像是馬爾地夫一樣
01:18:50:18		是那種白色細沙
01:18:52:23		但是實際走過來一摸才發現
01:18:55:06		這應該是這種鹽啊
01:18:56:22		然後還有這樣泥
01:18:58:01	01:18:59:08	所以有點像是...
01:19:00:10		你看
01:19:01:08	01:19:02:13	這樣子
01:19:03:00	01:19:05:07	這其實如果這樣子
01:19:06:07	01:19:07:17	抹臉上
01:19:07:29	01:19:10:06	不就跟剛剛那個村民一樣
01:19:10:18	01:19:11:10	Johnny
01:19:11:24		這個東西可以來當防曬的吧
01:19:13:29		不行啊
01:19:15:02		為什麼不行
01:19:15:23		太鹹了
01:19:16:17		太鹹了
01:19:17:03		對
01:19:17:21		所以等一下
01:19:18:03		我臉會這樣刺刺痛痛的就對了
01:19:21:03		好啦, 沒關係啦
01:19:21:17		應該還行
01:19:23:13		視野開展
01:19:24:18		乳白帶著淺藍的鹽湖
01:19:26:18		真讓人覺得天寬地闊
01:19:28:22	01:19:31:04	這輩子我都不會忘記
01:19:37:04	01:19:38:05	小兵...
01:19:38:23	01:19:39:28	你看
01:19:41:21		佛朗明哥鳥
01:19:42:18		這個是來到這個鹽湖
01:19:44:05		第二個重點
01:19:45:06		數量不少
01:19:46:19		我們當地人叫Flamingo
01:19:48:20		Samaka
01:19:49:13		Samaka...
01:19:50:22		對, Samaka是很特別
01:19:52:27	01:19:55:04	很奇怪的mouth
01:19:56:12		因為你們覺得牠的嘴巴
01:19:58:05		跟一般的嘴巴不大一樣是不是
01:20:00:09		對, 不太一樣
01:20:01:18		跟別的鳥...
01:20:03:23		火鶴鳥棲息在溫熱帶鹽水湖裡
01:20:06:22		全世界只有六種
01:20:08:21		至於為什麼這裡會有火鶴鳥呢
01:20:11:12		原來每年四月到十月
01:20:13:19		這裡的食物充足
01:20:15:10		牠們就會在這裡覓食
01:20:17:09		等到十月
01:20:18:08		這裡食物短缺的時候
01:20:19:29		牠們就會遷徙飛往東非
01:20:22:06	01:20:23:28	隔年再回來
01:20:27:11	01:20:28:24	你看... 這個
01:20:29:11		對啊...
01:20:30:04		牠的羽毛
01:20:31:05		你看, 一根羽毛就這樣子了
01:20:32:12		如果是整身的這樣子就是...
01:20:34:14		好漂亮喔
01:20:36:03		好夢幻的顏色喔
01:20:38:01		但是牠為什麼會有紅色的出現
01:20:41:25		牠的菜單裡面
01:20:42:22		有一種小型的節肢動物
01:20:45:12		這個節肢動物
01:20:46:04		牠的體內帶有一些紅色素
01:20:48:12		牠吃進去的時候
01:20:49:05		這個紅色素
01:20:49:22		就會反應在牠的羽毛上
01:20:51:14		是牠們吃一種菜
01:20:53:15		紅色的菜
01:20:55:08		這個...
01:20:55:29		你說牠們這些火鶴也會吃這個
01:20:58:27		對, 在地上牠們找這個菜
01:21:02:22		你看紅色的菜
01:21:04:04		但是這個菜人也吃
01:21:06:14		人也吃
01:21:07:05		綠色的人吃啊
01:21:08:19		紅色的給...
01:21:10:04		火鶴吃
01:21:11:04		對
01:21:11:26	01:21:13:01	這個...
01:21:14:15		這裡面好juicy喔
01:21:16:13		有點像火龍果的顏色
01:21:18:13		會不會也是牠們吃了這個
01:21:19:28		然後體色變紅啊
01:21:21:03	01:21:22:27	也是有可能, 對
01:21:25:22		好鹹喔
01:21:27:06		這個比這個湖水鹹很多
01:21:29:08		這個菜叫salicorn...
01:21:32:04		Sali是鹹的意思
01:21:33:19		鹹
01:21:34:06		鹹的
01:21:35:14		所以就是鹹菜的意思
01:21:36:22		對...
01:21:37:23	01:21:39:22	有, 夠鹹...
01:21:41:20	01:21:43:24	但吃起來還不錯, 對不對
01:21:45:05		鹽湖中到底有什麼食物
01:21:46:27		我不知道
01:21:47:24		但放眼湖邊遍地的鹹菜
01:21:50:13		或許也是吸引火鶴鳥
01:21:52:06	01:21:54:13	每年依約前來的原因吧
01:22:00:10		成群粉紅色的火鶴鳥
01:22:02:13		襯著白色的鹽湖
01:22:04:03		一步一步慢慢的前行
01:22:06:11		牠以最自然
01:22:07:15		最有自信的方式走台步
01:22:10:06		在這個湖心舞台
01:22:11:17	01:22:13:23	牠就是最動人的主角
01:22:18:05		今天我們從圖利爾
01:22:19:15		搭牛車去坐船
01:22:21:19		航行在莫三比克海峽上
01:22:24:06	01:22:27:13	顛簸的破浪中終於抵達阿納考
01:22:28:02		隔天雖然被司機放了鴿子
01:22:30:17		但卻反而拜訪了
01:22:31:19	01:22:34:00	友善的Beheloke小村莊
01:22:34:28		一波三折終於抵達了
01:22:36:17		齊馬南佩處察國家公園
01:22:39:05		讓我能夠見到夢幻的白色鹽湖
01:22:41:27	01:22:44:06	和優雅自在的火鶴鳥
01:22:44:18		此行的辛苦與冒險
01:22:46:07	01:22:48:05	我想我一輩子也忘不了
01:22:48:24		如果有機會
01:22:50:06		你一定要拜訪
01:22:51:08	01:22:54:22	充滿野性之美的馬達加斯加喔
