01:00:31:16	01:00:33:16	乾枯無水的礁坑會有什麼寶呢
01:03:54:07	01:03:55:12	給我...
01:03:56:15		我挖到了
01:03:57:13		不過斷掉了
01:03:58:20		那麼小, 而且又斷掉了
01:04:00:09		你根本不會挖, 自以為是
01:04:02:00		走啦... 去問阿伯啦
01:04:03:12		阿伯
01:04:04:22		阿伯, 你看啦
01:04:05:27		小兵都把你這個挖斷了啦
01:04:08:03		阿伯, 我不是故意的啦
01:04:09:26		不好意思...
01:04:10:20	01:04:12:03	來, 我挖給你們看
01:04:13:19		好多... 好多喔
01:04:15:15		有... 這裡有
01:04:17:04		阿伯, 你怎麼知道裡面有啊
01:04:19:18		看這個頭就知道
01:04:21:00		什麼頭
01:04:21:22		哪裡有頭
01:04:23:01		像這個有頭啊
01:04:24:16		這個喔
01:04:25:03		所以這下面就會有是不是
01:04:26:20		借一下好, 那你試試看
01:04:27:15		你這次不要再弄斷囉
01:04:29:00	01:04:29:19	放心
01:04:30:24	01:04:32:00	我弄遠一點
01:04:33:22		太大塊
01:04:34:08		夠大塊了吧
01:04:35:16	01:04:37:05	你看...
01:04:39:26		還有, 這邊也有對不對
01:04:41:25		沒想到這個看似貧瘠荒蕪的土地
01:04:45:13	01:04:47:06	底下居然有這麼多的這個
01:04:48:15		我以為還有很深耶
01:04:49:24		還不錯...
01:04:50:25		不錯耶
01:04:51:29	01:04:53:11	你看, 這麼大支
01:04:55:08		不過阿伯
01:04:56:04		粉薯要怎麼吃啊
01:04:57:17		把皮剝掉
01:04:59:02		直接就可以吃喔
01:05:00:11		吃生的喔
01:05:01:09		生吃也是可以吃
01:05:02:14		生吃
01:05:03:08		我聞聞看, 這沒什麼味道耶
01:05:05:01		沒什麼味道
01:05:06:10		甜甜
01:05:08:19		哪裡甜甜啊, 阿伯
01:05:10:02		哪有甜
01:05:10:25		有甜甜的, 有沒有
01:05:12:07		我知道為什麼叫粉薯了
01:05:14:07		好粉喔有一個粉粉的
01:05:15:26		你們如果有皮膚過敏
01:05:17:04		吃這個很有幫助
01:05:18:03		真的假的
01:05:18:26		真的
01:05:19:16		很好, 這真的很好
01:05:20:16		我有一年全身都發癢
01:05:22:09		都吃這個
01:05:23:16		摻這個粉下去吃
01:05:25:01		不然你們如果去打針
01:05:26:10		要花好幾千塊
01:05:28:21		所以這個也退火就是了是不是
01:05:30:15		這天然的東西
01:05:31:19		這都不用藥或是什麼
01:05:33:01		是喔
01:05:33:21	01:05:34:17	這算天然的
01:05:35:17		這個可以做成
01:05:36:15		古早太白粉的粉薯
01:05:38:04		也有人叫它葛鬱金
01:05:39:26		這裡的居民
01:05:40:27		通常習慣在春天種植
01:05:43:01		等到秋冬天氣冷
01:05:44:20		葉子掉光, 休眠的時候
01:05:46:15		再採收地下的塊莖
01:05:48:09		製成粉薯粉
01:05:49:18		然後將粉做成勾芡料理
01:05:52:10		有...
01:05:53:21		礁坑雖然水源不豐
01:05:55:15		但是正好適合葛鬱金的生長
01:05:57:27		不需要澆水
01:05:59:00		只要將塊莖埋在土裡
01:06:00:27		就可以等著收成囉
01:06:02:12	01:06:04:16	等一下就一起來做粉薯粉囉
01:06:06:19		大家都在處理
01:06:07:12		剛剛採收回來的粉薯了
01:06:08:26		大家好辛苦了
01:06:10:24		現在是在去皮對不對
01:06:12:10		對
01:06:13:00		對啊, 你看看
01:06:13:18		它皮要剝
01:06:14:27		本來這樣子
01:06:15:14		要把它剝成這樣子
01:06:17:10		然後再去做處理嘛, 對不對
01:06:19:18		小兵...
01:06:20:08		你看, 後面那個
01:06:21:22		那個
01:06:22:10	01:06:23:12	你來看...
01:06:24:12		這個粉
01:06:25:10		這個粉該不會就是粉薯粉吧
01:06:28:08		對啊
01:06:28:26		就是喔
01:06:30:10		你們就是說要把它做成像這樣子的喔
01:06:33:00		這個看起來那個粉的質地
01:06:34:26		就是真的跟太白粉很像耶
01:06:37:09		但是它比太白粉還好
01:06:38:27		真的喔
01:06:40:03		那到底怎麼樣從這個粉薯
01:06:42:00		變成粉薯粉的呢
01:06:43:18		媽, 他們在問說
01:06:44:24		這個粉薯粉怎麼做
01:06:45:19		你教他們一下
01:06:46:19		我這樣搥
01:06:47:25		搥一搥之後洗粉
01:06:49:16		搥一搥就可以變粉喔
01:06:51:08		對... 要洗啊
01:06:52:18		這個剝皮完是這樣子嘛
01:06:54:14		然後就拿這個槌子
01:06:56:12		把它稍微搥一下
01:06:57:14		這樣搥, 搥一搥之後再洗
01:06:59:06		為什麼不能直接去洗就好了
01:07:01:27		一定要先搥一搥
01:07:03:08		這樣洗不出粉來啊
01:07:05:17		要把它搥破才有粉啊
01:07:07:15		就是我們剛才吃的
01:07:08:14		那個口感粉粉的
01:07:09:20		那個要把它洗出來, 對不對
01:07:11:23		所以手就變得白白的
01:07:13:27		阿嬤, 你幾歲
01:07:15:17		我喔, 我七十八啊
01:07:16:26		你看, 七十八歲的手
01:07:18:21		很細耶
01:07:19:12		比我的還嫩耶
01:07:20:20		真的手很嫩啊, 真的
01:07:22:15		阿嬤, 不好意思
01:07:23:01	01:07:24:26	我不是要吃你豆腐
01:07:26:03		要搥破, 搥到破
01:07:27:19	01:07:29:15	全部都散開這樣
01:07:31:14		好, 接下來所以要洗是不是
01:07:35:07		怎麼洗
01:07:36:05		這個我媽媽來教你
01:07:38:09		要怎麼做用網子
01:07:39:11		這個是像網子
01:07:41:08		兩層的網子, 對不對
01:07:43:17		然後把這個呢
01:07:45:17	01:07:46:25	拿下去, 放下去
01:07:48:01	01:07:49:12	全部都放進去全部嗎
01:07:55:19		好
01:07:56:24	01:07:57:21	然後加水
01:07:58:26	01:08:00:17	還有臉盆裡的
01:08:03:04		整個倒進去, 對不對一點一滴都不浪費
01:08:05:00		這裡還有
01:08:05:20		我要加水了
01:08:07:01		還要...
01:08:08:09		洗一洗
01:08:10:09		你看
01:08:10:22		對, 已經有白色的那個
01:08:12:07		混濁的那些出來了
01:08:13:20		現在你就去搓啊
01:08:15:10		搓, 搓一下
01:08:16:20		這個網子
01:08:17:17	01:08:18:22	進去這樣子
01:08:19:26		這樣啊...
01:08:21:19		我知道我把這些水倒進去
01:08:22:23	01:08:23:26	好, 你再倒一點
01:08:25:25		現在你們的手就這樣
01:08:26:24		裡面這樣子對不對
01:08:27:25		就是像洗衣服這樣子
01:08:29:11		稍微把它洗
01:08:31:12		像洗衣機這樣子稍微洗一下
01:08:33:24		要弄到什麼程度, 阿姨
01:08:36:23		這樣洗一洗
01:08:38:02		你看, 這樣粉就會跑到外面來
01:08:40:28		白白的, 對不對
01:08:42:01		等一下它會沉澱下去
01:08:43:17		這裡面就是有粉
01:08:45:00		那剩下的這個就不要了喔
01:08:46:24		這還是要繼續用
01:08:48:09		還要用
01:08:48:26		對啊, 這還要繼續洗啊
01:08:50:26		還要再洗過
01:08:51:12		對要洗幾次
01:08:52:02		要洗很多次
01:08:52:29		你洗一次不會全部出來啊
01:08:54:03		洗一次不會洗出全部啦
01:08:55:09		等一下還要拿去搥嗎
01:08:57:24		不用... 等一下不用搥
01:08:58:27		就這樣洗
01:08:59:22		一直洗...
01:09:01:09		想盡辦法把裡面的粉
01:09:02:27		通通都要洗出來就對了
01:09:04:29		阿姨那要洗到什麼時候才叫好
01:09:06:29		等一下就把它拿起來也是可以
01:09:08:21		怎麼拿起來
01:09:09:23		拿起來擰啊
01:09:11:16		擰
01:09:12:03		怎麼擰這樣擰, 把它擰乾啊
01:09:14:21		像擰衣服那樣子把它擰乾喔
01:09:16:06		對...
01:09:18:04		好... 試試看...
01:09:20:00		你先試試這樣硬擰啊
01:09:21:17		這樣子轉嗎
01:09:22:14		對... 這樣硬擰
01:09:23:29	01:09:26:01	這樣啊
01:09:26:28	01:09:27:25	硬擰
01:09:31:13		這好費力喔
01:09:32:08		這個是以前的作法
01:09:33:21		現代化有機器
01:09:35:03		有機器
01:09:36:02		有機器可以做了
01:09:37:07		用機器就可以做
01:09:38:02		那剛剛我們幹嘛還要這樣子敲
01:09:40:28		敲了半天
01:09:41:28		因為要讓你們體驗一下
01:09:43:13		古時候的人是怎麼做粉薯粉啊
01:09:45:26		所以阿姨跟阿嬤
01:09:47:00		以前都是這樣子做的是不是
01:09:49:08		傳統的作法
01:09:50:05		對...
01:09:50:25		不是啦, 大哥這種話你就早點說嘛
01:09:52:21		來... 放下來
01:09:53:09		我們去看看
01:09:54:04		機器呢
01:09:54:23		機器在那邊
01:09:56:02	01:09:57:04	要拿到那邊去絞
01:09:58:10		這個嗎這個就是機器
01:10:00:24		這台跟壓甘蔗的機器有點像
01:10:03:27		就是壓甘蔗的
01:10:05:00	01:10:06:23	那示範一下給我們看, 好不好
01:10:09:28		過去了
01:10:10:16		聽到聲音了
01:10:11:29		差太多了吧, 怎麼那麼快啊
01:10:15:05		我們剛剛要搥了不知道多少下
01:10:17:11		才可以變成這樣
01:10:18:20		它現在一直...
01:10:19:29		就已經擰成這樣子
01:10:21:15		那怎麼都沒有汁出來啊
01:10:23:12		有, 等一下就會出來了
01:10:24:19		還有汁
01:10:25:12		有汁
01:10:26:12		在哪
01:10:26:28		在這邊
01:10:28:15		這個等於就已經洗出來
01:10:29:26		那個粉的濃度很高了, 對不對
01:10:32:02		就是說根本就不需要加水洗
01:10:33:28		然後也不用這樣擰
01:10:35:01		它就直接出來了嗎
01:10:36:05		第一次是不用加水
01:10:37:17		但是這個要洗三次
01:10:40:09		第二次跟第三次一定要加水
01:10:42:11		你是說下面這個
01:10:43:09		還要再拿上來再打嗎
01:10:44:16		對, 要打
01:10:46:12		雖然現在已經不用辛苦的擰出
01:10:48:27		粉薯的澱粉漿
01:10:50:13		但是製作的過程
01:10:51:19		還是一樣很費時
01:10:53:12		壓汁後還要過濾
01:10:55:08		除去粉薯的纖維
01:10:57:03		再進行沉澱
01:10:58:15		為了不浪費原料
01:10:59:28		來回三次
01:11:01:06	01:11:03:26	這樣就要花上一整天的時間囉
01:11:06:13		好了, 全部榨完了
01:11:08:16		我給你看一下它的粉
01:11:10:01		好
01:11:11:01		有機器真的快多了
01:11:12:09		對啊
01:11:12:28	01:11:14:01	它的粉就是這樣子
01:11:15:03		好像豆腐一樣喔
01:11:16:08		大哥, 是你剛才那個
01:11:17:18		有水的這些汁
01:11:19:02		你把它放
01:11:19:27		然後讓它變乾之後
01:11:21:06		就變這樣子嗎
01:11:22:06		對, 它會沉澱
01:11:23:08		然後沉澱完我們再把水倒掉
01:11:25:10		然後我們就是把它的水分吸乾
01:11:27:09		然後就準備曬太陽了
01:11:28:20		所以你剛剛鋪毛巾
01:11:30:00		是要把它的水再吸乾喔
01:11:31:28		吸乾一點
01:11:32:23		對, 因為現在摸起來
01:11:34:01		還是稍微就是有點像受潮的那種感覺
01:11:37:02		是
01:11:37:20		把粉薯的澱粉鋪在大盤子上曬
01:11:40:17		不僅需要太陽的守護
01:11:42:16		也需要人時時在旁顧著
01:11:44:18		以防雨天澆溼了耕耘的心血
01:11:47:12	01:11:49:15	那可要全部重新來過囉
01:11:56:13		阿姨, 你說這個粉薯粉
01:11:57:27		就跟太白粉一樣
01:11:59:02		有勾芡的效果, 對不對
01:12:01:11		所以你看看
01:12:02:01		這鍋肉羹湯
01:12:03:02		現在這樣子黏稠稠
01:12:04:25		對, 但是是用粉薯粉做的喔
01:12:07:12		那這個是什麼, 阿姨
01:12:08:24		那是甜的, 像粉粿這樣
01:12:11:05		好Q喔
01:12:12:21		非常勾芡的感覺耶
01:12:15:04		這個是怎麼做
01:12:16:16		水燒開, 糖放下去
01:12:18:08		水滾後加那個粉下去攪拌
01:12:20:05		就好了喔
01:12:21:23		所以就是粉薯粉加糖這樣子
01:12:24:26		很像那個藕粉泡水
01:12:27:06		泡熱水的那個味道
01:12:28:28		很好吃
01:12:29:20		你如果吃壞肚子
01:12:30:28		你就是要煮成像這樣吃才行
01:12:33:00		那個是吃壞肚子的
01:12:34:26		那冷的呢
01:12:35:19		冷的是吃宿便的
01:12:37:13		宿便
01:12:38:16		吃完了還可以排宿便
01:12:40:03	01:12:40:27	可以
01:12:42:02		據說吃粉薯製成的粉薯粉
01:12:44:10		可以清熱益氣
01:12:45:22		化痰理肺
01:12:46:23		生津止渴
01:12:47:28		強化脾胃的作用
01:12:49:12	01:12:51:03	是古老的養生食材呢
01:12:53:06		品嚐過了礁坑社區的第一寶
01:12:55:05		純天然的粉薯粉
01:12:56:23		接下來就找一找
01:12:58:01		礁坑社區的第二寶
01:13:00:05		好啦, 林大哥
01:13:00:28		請你獻第二個寶啦
01:13:02:14		來, 第二個寶在這邊
01:13:04:20		葉子
01:13:05:13		對
01:13:06:04		這葉子有什麼...
01:13:06:24	01:13:07:20	先品嚐一下
01:13:08:25		對啊
01:13:09:13		葉子可以吃
01:13:10:16	01:13:11:12	才好吃
01:13:12:27		真的很好吃
01:13:13:20		林大哥, 你是無尾熊嗎
01:13:15:07		你為什麼一直在吃葉子啊
01:13:16:27		奇怪
01:13:18:07		這個東西你先吃了
01:13:19:15		等一下我才拿東西給你們看
01:13:22:28		這個葉子明明就很酸
01:13:24:18		然後又澀, 有什麼好吃的
01:13:26:15		你沒吃不知道啊
01:13:27:29		慢慢吃
01:13:28:27		你是不是跟我吃不一樣的
01:13:29:23		你為什麼吃得津津有味
01:13:31:24		真的好吃啊
01:13:32:29	01:13:34:14	好澀喔
01:13:36:06		好吃嗎
01:13:37:19		不好吃
01:13:38:13		你這片更酸
01:13:39:04	01:13:40:09	會回甘啦
01:13:41:21		來...
01:13:43:01		林大哥說
01:13:44:01		這種植物的葉子可以泡茶
01:13:46:07	01:13:47:14	所以要我們嚐一嚐
01:13:48:24		不過這也太酸了吧
01:13:50:22		那果實的味道怎麼樣呢
01:13:52:13		這是什麼
01:13:53:24		這是什麼
01:13:55:22		來, 這顆給你吃
01:13:57:17		這個是它的果子, 是不是
01:13:58:29	01:13:59:21	對
01:14:02:21		更酸, 這什麼東西啊
01:14:04:27		橄欖
01:14:05:24		這是橄欖
01:14:06:26		你們吃都不曾吃過成熟的
01:14:08:12		都吃到那種醃漬品的
01:14:10:00		所以橄欖樹在這邊喔
01:14:12:02		這整片都是橄欖
01:14:14:19		這些都是喔
01:14:15:14		對
01:14:15:29		真的耶
01:14:16:21		上面有橄欖超高超多的耶
01:14:19:09		可是好高喔
01:14:20:16		所以橄欖就是你們的第二寶
01:14:22:22		那開始比賽啦
01:14:24:02		看誰摘得多, 是不是
01:14:25:04		好, 兩個那個
01:14:26:27		一人一盤, 好
01:14:28:26		太好了, 我有這個
01:14:30:10	01:14:31:01	我有這個
01:14:32:04		那我要搖樹嗎
01:14:33:18		就會掉下來嗎
01:14:35:11		你會摘嗎
01:14:36:12		我會啊
01:14:37:18	01:14:39:15	看我這樣可以摘到很高的
01:14:42:10		這個不知道可不可以
01:14:43:18		林大哥, 這個可以對不對
01:14:44:28		可以...
01:14:45:16		可以, 我就地上撿啊
01:14:47:10		他在那邊辛苦
01:14:48:20		我比較聰明
01:14:50:02	01:14:51:07	你先撿...
01:14:52:13		小兵, 加油喔
01:14:53:13		這麼好用的東西你不會用
01:14:54:28		要不要我教你
01:14:56:01		好啊
01:14:56:19		你像這樣有看到
01:14:58:09		看到了, 你的刀要這樣
01:15:00:07		像這樣...
01:15:01:14		這樣會摘了嗎
01:15:03:01	01:15:04:12	這樣就下來了
01:15:07:21		有時候比賽比的不是蠻力
01:15:10:09		是比智力
01:15:11:16		你看
01:15:12:18		一下子我就已經整盤了有沒有
01:15:16:06	01:15:18:12	一邊吃, 一邊看他們比賽
01:15:19:13	01:15:20:10	掉下來了
01:15:23:09		一次掉五顆啊
01:15:25:17	01:15:26:15	這厲害吧
01:15:28:00		小兵, 你很棒耶
01:15:30:06		不錯吧
01:15:31:13		我告訴你, 我搶到這個刀子
01:15:33:05		速度可快的呢
01:15:34:26		你看看, 又兩顆
01:15:36:05		又兩顆...
01:15:38:01	01:15:39:28	好厲害喔, 你看看我
01:15:41:04		差好多喔
01:15:43:13		你是什麼在旁邊市場買的是吧
01:15:45:16		你怎麼有那麼多
01:15:46:19		我跟你說
01:15:47:16		這地上超多的, 都是落果
01:15:49:18		我就把它撿起來
01:15:50:17		每一個都超完整的啊
01:15:52:08		偷吃步
01:15:53:05		林大哥, 可以這樣子嗎
01:15:54:18		可以啊
01:15:55:05		可以喔
01:15:56:02		怎麼樣, 我贏了吧
01:15:57:25		你看, 勝負這麼明顯啊
01:16:01:03		林大哥說
01:16:02:01		成熟時滿地的落果
01:16:03:25		是錫蘭橄欖的特性
01:16:06:10		我居然沒注意到
01:16:07:21	01:16:08:27	亞里, 算你好運
01:16:10:12		林大哥
01:16:11:00		你們這邊為什麼這麼多的橄欖樹
01:16:12:28		是你們特別種的喔
01:16:14:06		這是日據時代日本人引進
01:16:16:13		引進來我們這邊種的
01:16:17:26		因為當時他們在寒帶
01:16:19:15		要到熱帶, 水土不服
01:16:21:22		如果吃壞肚子
01:16:23:12	01:16:24:24	這是藥用橄欖
01:16:25:27		所以最早是拿來治胃不舒服的
01:16:27:20		對... 水土不服都可以用的
01:16:30:01		不過林大哥
01:16:31:13		其實大部分橄欖
01:16:32:23		我們吃的還是那種醃過的對不對
01:16:35:03		對, 所以我才說你們今天來
01:16:37:07		讓你們自己去嘗試到
01:16:39:04		生鮮的水果
01:16:40:12		還有熟透的都可以吃
01:16:42:13		等一下有機會
01:16:43:17	01:16:46:14	我再做現製的蜜餞給你們吃
01:16:47:16		酸澀的新鮮橄欖果
01:16:49:09		真的是難以入口
01:16:50:27		然而糖釀的橄欖蜜餞
01:16:53:04		和發酵的橄欖醋
01:16:54:22		卻都出奇的好吃喔
01:16:56:15		社區發展協會用心嘗試
01:16:59:01		讓日據時期所留下來的橄欖樹
01:17:01:23	01:17:04:05	跟人們有了新的互動方式
01:17:05:14		來, 現在現採的橄欖蜜餞
01:17:08:13		可以現吃的喔
01:17:10:00		試吃看看
01:17:10:23	01:17:12:00	看起來不錯耶
01:17:15:05		不一樣了
01:17:16:27		剛剛那個橄欖
01:17:18:11		本來味道很酸
01:17:19:21		現在調成蜜餞之後
01:17:21:12		變好吃很多耶
01:17:23:02		對, 它裡面綿綿密密的
01:17:24:19		然後配上外面這個糖
01:17:26:02		好搭喔
01:17:27:06		原來這橄欖要做蜜餞這麼容易
01:17:29:24		現採橄欖下來
01:17:31:04		拿去川燙
01:17:32:01		川燙完之後
01:17:33:09		拌糖跟甘草粉就OK了耶
01:17:35:25		不過林大哥, 我很好奇耶
01:17:37:22		像我們現在吃的這種橄欖
01:17:39:27		跟我們一般市面上賣的這一種
01:17:41:23		就是黃黃小小顆的橄欖
01:17:43:15		我覺得好像口感不太一樣耶
01:17:45:22		這個肉比較脆對不對
01:17:47:05		因為它是木橄欖
01:17:48:21		但是我們是錫蘭橄欖
01:17:50:13		不是橄欖
01:17:51:11		它的形體跟橄欖很相似
01:17:53:25		它是錫蘭引進來
01:17:55:06		所以變成錫蘭橄欖
01:17:56:15		是要怎麼分啊
01:17:58:07		它裡面的籽不一樣
01:17:59:26		你吃吃看
01:18:00:19		這個籽是尖的
01:18:01:16	01:18:02:15	這個籽是圓的
01:18:03:20		沒想到吧
01:18:04:19		錫蘭橄欖居然不是橄欖科的
01:18:06:28		它的原產地是錫蘭
01:18:08:23		又因為長得像橄欖
01:18:10:13		所以稱為錫蘭橄欖
01:18:12:07		和真正的橄欖相比
01:18:13:28		肉薄籽大
01:18:15:04		是杜英科的植物
01:18:16:27		由於它遮蔭性佳
01:18:18:23		葉子落下前又會變紅
01:18:20:20		適合觀賞
01:18:21:25		果實又可以吃
01:18:23:06		所以在台灣各地
01:18:24:20	01:18:26:06	都可以看到它的身影喔
01:19:02:29		日本政府為軍隊需求
01:19:04:22		種植能夠做胃藥的橄欖樹
01:19:07:11		居民因為不知道它的用途
01:19:09:08		所以任其荒廢了
01:19:10:29		一直到無意間重新探勘橄欖山
01:19:13:22	01:19:16:15	居然發現了讓人毛骨悚然的現象
01:19:17:18		林大哥, 來到橄欖山
01:19:19:11		該不會又叫我們找橄欖吧
01:19:21:17		不是, 我們的寶太多了
01:19:24:06		我們現在這邊要找的是地道
01:19:26:15		地道
01:19:27:17		這裡怎麼會有地道啊
01:19:29:21	01:19:30:19	看誰先找到
01:19:35:02	01:19:35:25	這邊
01:19:39:24		這個房子怎麼會寫民房啊
01:19:42:08		這樣是不是有點此地無銀三百兩
01:19:44:02	01:19:44:27	怪怪的
01:19:47:03		什麼都沒有
01:19:48:28	01:19:49:17	繼續
01:19:52:23		我就說嘛
01:19:53:19		要多用眼睛觀察嘛
01:19:55:02		這不就寫著嗎
01:19:55:27		假墓地道
01:19:57:21		有指示牌的嘛
01:19:59:11		亞里呢
01:20:01:04		太衝動了
01:20:02:16	01:20:03:09	走...
01:20:05:04	01:20:07:13	這些建築物怎麼感覺都這麼像啊
01:20:08:13	01:20:10:00	庫房, 什麼啊
01:20:13:06		感覺好陰森
01:20:14:06		很殘破的感覺耶
01:20:16:08	01:20:17:10	小兵
01:20:24:06		應該就是這裡了啦
01:20:25:12		對啊, 小兵, 你找到了耶
01:20:27:25		林大哥, 你怎麼躲在裡面
01:20:29:18		你要嚇死人喔
01:20:31:04		休息一下啦
01:20:32:16		是這裡喔
01:20:33:10		是... 這裡就是地道
01:20:34:28		亞里...
01:20:36:17	01:20:37:26	找到了啦, 來
01:20:39:08		小兵
01:20:40:03		我跟你說我們下次不要分開來探索
01:20:42:18		不要分開來比賽
01:20:43:16		我們還是一起就好了
01:20:44:24		你是發生了什麼事, 是吧
01:20:46:27		林大哥
01:20:47:22		這裡怎麼會有一個地道啊
01:20:49:06		防空洞嗎
01:20:50:08		這是用來訓練阿兵哥上前線
01:20:52:25		所以這裡面建造之後
01:20:54:18		假的墳墓啦, 我們的民房啦
01:20:57:16		庫房和關公廟
01:20:59:03		林大哥, 我剛才就有看到
01:21:00:12		那個民房跟庫房耶
01:21:02:17		沒有錯...
01:21:03:11		其實很聰明耶
01:21:04:12		不然我帶你們進去
01:21:05:24		可以喔
01:21:06:27		我帶你們進去鑽墓穴
01:21:09:05		好...
01:21:10:07		來... 帶路...
01:21:11:27		來, 我帶你們進去
01:21:13:06		來, 手電筒給你們
01:21:14:17		好...
01:21:16:09	01:21:17:07	好黑喔
01:21:18:17		很恐怖耶
01:21:19:20		入口好小喔
01:21:21:20		放心...
01:21:22:18		到裡面就可以比較大了
01:21:24:05		這個人都可以這樣站直了
01:21:25:09		對啊, 裡面進來就可以站直了耶
01:21:28:16		不只有這條地道
01:21:29:27		整座橄欖山
01:21:30:25		其實都遍布了密密麻麻的地道
01:21:33:16		隨意走走
01:21:34:09		都可以看到傾圮地道的痕跡
01:21:36:25		而民房與庫房的牆面
01:21:38:18	01:21:40:05	也有射擊孔的設計喔
01:21:46:12		這個一整個都已經是廢墟了嘛
01:21:49:00		真的
01:21:49:28		我看一下
01:21:51:10		這裡應該是以前的
01:21:53:03		譬如說廚房之類的地方
01:21:56:08		亞里, 你看看
01:21:57:07		以前為了要反攻大陸
01:21:59:03		花這麼多的功夫
01:22:00:17		蓋這種假民房
01:22:01:24		然後挖了這麼多密密麻麻的地道
01:22:03:21		訓練士兵
01:22:04:29		可惜壯志未酬啊
01:22:07:11	01:22:09:03	對啊, 好荒涼喔
01:22:15:16		今天我跟亞里的礁坑社區友誼賽
01:22:18:12		其實算是不分軒輊啦, 對不對
01:22:20:05		不過最重要的是
01:22:21:11		藉由這個比賽的過程當中
01:22:23:05		讓我們認識了礁坑社區的寶喔
01:22:25:03		對啊, 我沒有想到
01:22:26:02		像礁坑這個這麼缺乏水的地方
01:22:28:10		居然有粉薯
01:22:29:24		然後還有橄欖
01:22:30:28		以及這麼有歷史的地道耶
01:22:32:27		所以大家有機會來礁坑社區
01:22:35:14		自己來尋寶啦
