01:00:04:06	01:00:05:28	來, 走
01:04:42:04	01:04:45:06	我要跟老師改我們家的通訊錄
01:04:49:07		那寫六樓啊
01:04:50:21	01:04:51:18	確定喔
01:05:26:26	01:05:27:27	好啦
01:05:32:15	01:05:34:13	你手很賤耶
01:05:40:21	01:05:43:03	你人趴好啦
01:05:47:14		媽, 對不起
01:05:49:25		先讓您委屈一點
01:05:51:21		住在這裡
01:05:53:01		等到我賺大錢的時候
01:05:55:12		我一定把你請到大房子裡去住
01:05:57:17		你有沒有怎麼樣啊
01:05:58:24		哪一招啦
01:06:00:02	01:06:01:03	是在吵什麼
01:06:28:08		你等一下
01:06:28:29	01:06:30:06	我叫你出去你再出去
01:06:40:15		找誰
01:06:41:28	01:06:44:18	我是住在隔壁新搬來的房客
01:06:55:10		怎麼了
01:06:56:27		那個
01:06:57:25	01:06:59:23	剛才是不是你們一直在撞牆壁
01:07:01:07		原來剛是你在敲牆壁喔
01:07:03:09		不是, 我是在釘照片
01:07:04:28		那你一直撞牆壁
01:07:06:02		我媽媽的照片就掉到地上
01:07:07:29		那你不會換別的地方釘喔
01:07:09:17		好, 那你小聲一點
01:07:11:08		我們不要影響到鄰居
01:07:12:11		我哪有大聲
01:07:13:11		我說話本來就這樣啦
01:07:14:13		好...
01:07:15:05		那總之你不要再去撞那個牆壁了, 好不好
01:07:17:28		你是住海邊的嗎
01:07:19:09		管這麼寬
01:07:20:16	01:07:21:17	不是, 我...
01:07:34:23		實在是被打敗
01:07:37:00	01:07:39:09	隔壁搬來一個聽不懂人話的畜生
01:07:41:10	01:07:43:17	是不是帶著一個女兒搬來的男人
01:07:50:16		哈囉, 你們要...
01:07:52:24		換機油
01:07:53:26		換機油嘛
01:07:54:29		好, 我去拿
01:07:55:22	01:07:56:22	好, 謝謝
01:08:09:28		魁手(手殘之意)
01:08:10:25		誰是魁手
01:08:12:09		你啊
01:08:13:17		你要換快一點喔
01:08:14:20		那邊還要換煞車線
01:08:15:27		你不會去幫忙換嗎
01:08:17:18		我很忙啦
01:08:18:10	01:08:19:19	還要幫其他客人換機油
01:08:20:21		我跟你講喔
01:08:21:24		你不要看人家是妹
01:08:22:21		你就想去把
01:08:24:07		誰先來就幫誰先換
01:08:25:24		在那邊亂規矩啊
01:08:27:01		不是啊
01:08:28:04		我換煞車線很慢耶
01:08:29:26		所以才想說
01:08:30:20		換機油這種不重要的事我來
01:08:33:01		重要的事交給魁手哥你啊
01:08:36:23		放尊重一點啊
01:08:37:19	01:08:38:19	什麼魁手魁手的
01:08:40:02		我很敬重你啊
01:08:42:05	01:08:44:01	好啦, 我去幫其他客人換機油
01:09:02:27		偉仔, 吃飯啦
01:09:04:08	01:09:05:06	好
01:09:09:25		做什麼
01:09:11:05		沒大沒小
01:09:13:02	01:09:14:28	等偉仔來再一起吃啦
01:09:18:27		坐啦
01:09:19:15	01:09:20:08	好
01:09:21:00	01:09:22:00	隨便吃
01:09:23:06		做工沒空就比較隨便
01:09:26:20		不會啦
01:09:27:26		現在時機不好
01:09:30:00		有工作可以做
01:09:31:13	01:09:32:24	有飯可以吃就好了
01:09:36:10		是啊, 現在不比以前啦
01:09:40:08		是說你怎麼搞成這樣
01:09:44:02		三家這麼大間的機車行
01:09:46:14	01:09:47:20	說倒就倒
01:09:51:13		沒關係啦
01:09:52:21		反正你的功夫都還在
01:09:55:23		暫時先在我這邊做
01:09:58:04	01:10:00:13	以後有機會再出去開一間
01:10:05:27		喇叭
01:10:07:15		偉仔在我們這邊做是你的福氣
01:10:11:04	01:10:12:28	要好好跟他學, 知道嗎
01:10:14:22		但是, 他的手會抖耶
01:10:18:08		你是說什麼瘋話
01:10:20:15	01:10:21:29	沒大沒小
01:10:24:11		就算人家喝酒喝到手抖成這樣
01:10:27:17		功夫一樣厲害
01:10:29:24	01:10:31:02	對吧, 偉仔
01:10:32:05	01:10:33:15	好啦, 吃飯啦
01:10:36:19	01:10:38:04	是不會撿起來啊
01:10:51:18		你手藝真的很棒
01:10:52:20	01:10:53:22	下次再來找你
01:10:54:25		不要在這邊說這個
01:10:56:15		我會害羞啦
01:10:58:03		就是真的很棒啊
01:10:59:14	01:11:00:29	好啦, 下次再來玩喔
01:11:14:22		爸爸, 你又不脫鞋子了
01:11:17:13		可是我尿急啊
01:11:18:19	01:11:19:29	我等下還要回車行
01:11:23:21		地板又不是你在拖
01:11:25:13	01:11:27:01	你又不知道我的辛苦
01:11:32:09		我知道你很辛苦
01:11:33:28		我也很辛苦啊
01:11:35:11		你看我載你回來
01:11:36:21	01:11:38:16	我現在馬上要再回去工作嘛
01:11:45:06		我不在家的時候
01:11:46:20		不要到處亂跑
01:11:48:18		外面全都是壞人, 知道吧
01:11:51:09	01:11:52:20	好啦, 知道
01:12:03:12		你這顆電池壞了
01:12:05:27		怎麼可能
01:12:07:17		幾個月之前才給你們換的
01:12:10:00		你自己看啊, 你看
01:12:11:14	01:12:12:13	對不對
01:12:14:18		我們這裡有大陸的還有原裝的
01:12:16:27	01:12:18:01	差三百, 你要哪一種
01:12:20:05		換大陸的就好了啦
01:12:21:18		搞不好幾個月後又壞了
01:12:23:22		好, 你等一下
01:12:24:26		魁手哥
01:12:25:25		這個我來就好了啦
01:12:27:02		還有其他車要修
01:12:28:07		好... 那你搞定啊
01:12:29:25	01:12:31:08	老闆, 抱歉...
01:12:41:25		喇叭, 你有沒有看到
01:12:42:28	01:12:44:15	客人訂的那個排氣管啊
01:12:46:23	01:12:47:17	你在幹嘛
01:12:50:14	01:12:51:16	怎麼那麼多電池
01:12:52:18	01:12:54:20	沒有啊, 那些都是要回收的
01:13:04:04	01:13:05:04	這都是新的耶
01:13:08:15		魁手哥
01:13:09:19		你千萬不要跟老闆說
01:13:11:17		不然我一定會被炒魷魚
01:13:14:03		其實我也不想這樣
01:13:16:02		可是當學徒薪水很少
01:13:18:13	01:13:19:20	我要還助學貸款
01:13:21:10		魁手哥
01:13:23:03	01:13:24:06	我求你
01:14:12:16	01:14:13:25	又怎樣
01:14:14:29		你幹嘛啦
01:14:16:25		你們真的很誇張耶
01:14:18:22		做這種見不得人的生意
01:14:20:17		把這個用完的保險套
01:14:22:01		還敢這麼大方的往下丟啊
01:14:24:07		我們有什麼見不得人的
01:14:26:23		你又確定這是我們丟的喔
01:14:28:24		我剛才在停車的時候
01:14:30:19		這個東西就掉在我身上
01:14:32:17		我抬頭一看
01:14:33:19		你們窗戶沒有關
01:14:35:00	01:14:37:01	而且窗戶裡面還有人影在動
01:14:41:18		你有把保險套丟下去嗎
01:14:43:18		不是我啦
01:14:44:29		還不是剛客人在那邊甩
01:14:46:13		說是流星鎚
01:14:47:27		結果手一滑就丟出去了
01:14:50:11	01:14:51:12	你丟到人了啦
01:14:56:06		對不起喔
01:14:57:15	01:14:58:27	流星鎚打到你
01:15:00:03		拿衛生紙給你擦啦
01:15:01:23		不用了啦
01:15:03:04	01:15:04:08	這個怎麼辦
01:15:12:29	01:15:14:19	進去啦
01:15:40:23		房東小姐, 你好
01:15:41:19		陳先生, 你好
01:15:42:11	01:15:42:25	是
01:15:44:03		這是新打好的備用鑰匙
01:15:45:12		好...
01:15:46:21	01:15:47:28	怎麼樣, 住得還習慣吧
01:15:49:05		是這樣子的
01:15:50:24		我不知道
01:15:51:29		房東小姐你曉不曉得
01:15:53:29		住我們隔壁
01:15:55:10		那些人她們是做什麼的
01:15:56:22		做什麼的
01:15:58:06	01:15:59:14	色情按摩
01:16:01:23	01:16:03:07	怎麼會這樣啊
01:16:04:28		所以說我想跟你商量一下
01:16:07:04		就是因為我女兒她現在是
01:16:10:00		青春期嘛
01:16:11:06		那我怕她們會影響到她
01:16:13:26		所以看是不是可以
01:16:15:29		我們的租約本來是一年的
01:16:18:27		改成三個月的
01:16:20:24		那只要租約一到期以後
01:16:22:10		我馬上就搬走
01:16:23:22		陳先生, 我們約都簽了
01:16:26:05		改合約的話
01:16:27:09		你的押金會被沒收
01:16:28:24		我還要找別的房客
01:16:30:22		對我們雙方都不好啦
01:16:33:20		可是我就是怕她們影響我女兒
01:16:36:27		不會的
01:16:37:22		現在小孩子他們都很聰明
01:16:40:05		自己會選擇
01:16:41:17		而且像我房子這種條件和租金
01:16:44:20		你在台北找不到的啦
01:16:47:26		是...
01:16:49:02		可是我就是
01:16:51:01		反正合約是不能改啦
01:16:52:24		我這樣臨停太久
01:16:53:24		怕會被開罰單
01:16:55:00		就先這樣了
01:16:55:28	01:16:56:20	拜拜
01:17:19:12		怎麼了
01:17:20:16		昨天晚上沒有睡好嗎
01:17:22:18	01:17:24:19	昨天晚上隔壁好吵喔
01:17:26:24		你以後放學回家了
01:17:28:15		就不要再出門了聽到沒有
01:17:30:15		為什麼
01:17:31:28		你聽我的就對了
01:17:33:00	01:17:34:00	不要問為什麼
01:17:43:23		嗨
01:17:44:20		嗨
01:17:45:21		你剛放學啊
01:17:46:21		對啊
01:17:47:21		你讀幾年級
01:17:48:29		我讀六年級
01:17:50:09		準備升七年級
01:17:52:11		妹妹, 你叫什麼名字啊
01:17:53:28		我叫陳詠玲
01:17:55:21		妹妹
01:17:57:09	01:17:59:02	你比你爸爸還有禮貌
01:18:01:04		那個以後看到阿姨的時候
01:18:03:11		記得打招呼啊
01:18:04:29		是姊姊
01:18:06:17		我是夢夢姊姊
01:18:07:12		她是雙雙姊姊
01:18:09:07	01:18:09:23	來
01:18:12:16		一支給你, 一支給你爸爸
01:18:14:02		謝謝
01:18:15:24	01:18:16:27	那是拜拜用的耶
01:18:19:11	01:18:21:29	有空來我們這邊坐啊
01:18:24:24	01:18:25:24	走...
01:19:46:28		小玲
01:19:47:29		你這是在幹嘛
01:19:49:16		不可以...
01:19:52:17	01:19:54:09	不可以啊
01:20:25:27		魁手哥
01:20:27:24	01:20:28:28	你看起來很累耶
01:20:32:03	01:20:33:17	有沒有什麼要我幫忙的啊
01:20:37:10	01:20:38:13	這個你會修嗎
01:20:50:11		魁手哥
01:20:52:00	01:20:55:10	你不會把那件事跟老闆說吧
01:20:57:25		看你表現啊
01:20:59:16		去幫我拿一組火星塞
01:21:01:01	01:21:01:27	好
01:21:08:26		真會拍馬屁
01:21:10:18		沒什麼
01:21:11:16	01:21:13:00	把妹的基本功嘛
01:21:15:08		我問你啊
01:21:16:16		如果想要請女生幫忙的話
01:21:18:25		該怎麼做
01:21:20:07		巴結她們啊
01:21:21:15		說一些甜言蜜語
01:21:23:00		送一些東西
01:21:24:17	01:21:26:05	送花, 玫瑰花
01:21:27:09		魁手哥
01:21:28:10		太老套了啦
01:21:29:24		其實送一些女生平常會用到的小東西
01:21:32:21		她們就會覺得你很細心
01:21:34:05	01:21:35:19	平常都有在關心她們
01:21:55:08	01:21:56:08	這是什麼啊
01:22:06:07		我們好紅喔
01:22:07:14	01:22:09:02	還有客人送我們情書耶
01:22:30:11		兩位小姐, 你們好
01:22:32:18		我是住在你們隔壁的房客
01:22:34:22		我知道你們的工作性質
01:22:36:06		比較辛苦也比較特別
01:22:38:18		所以蜆精給你們保肝
01:22:40:18	01:22:41:22	乳液給你們護手
01:22:42:25		事情是這樣的
01:22:44:18		我有個正值青春期的女兒
01:22:46:22		她這個年紀
01:22:47:14		正是成長最重要的年紀
01:22:49:24		我希望能給她一個好的環境
01:22:52:00		免得將來她的價值觀偏差
01:22:54:01	01:22:55:01	走上歧途
01:22:56:13	01:22:57:14	是在說什麼瘋話啊
01:22:59:14		我要繼續唸嗎
01:23:01:18		唸個屁
01:23:02:18	01:23:03:14	不用唸了啦
01:23:09:20		所以他到底想講什麼
01:23:12:14		隔壁的要我們搬走
01:23:13:21	01:23:15:05	不要帶壞他女兒
01:23:17:22	01:23:19:14	真的是腦袋裝屎耶
01:23:25:27		爸爸
01:23:27:10		這不是你早上
01:23:28:14	01:23:30:26	掛在阿姨家門口的袋子嗎
01:23:57:12		隔壁的先生, 你好
01:24:01:21		我們都當過人家的兒女
01:24:03:23		也能夠體會
01:24:04:15		爸爸擔心女兒的心情
01:24:07:27		可是我們在這裡租房子
01:24:09:21		有我們自己的苦衷
01:24:12:02		相信你在這裡租房子
01:24:14:27		也有自己的苦衷
01:24:17:04		那要我們搬走是不可能的
01:24:19:27		不然就你自己多賺一點錢
01:24:22:10		再帶你女兒
01:24:22:28		搬到那個比較高尚的地方
01:24:25:07		要不然小孩子住在這種老房子
01:24:27:23		又是違建
01:24:28:26	01:24:31:06	真的滿危險的
01:24:33:03	01:24:34:05	PS
01:24:35:20	01:24:39:24	有空來我們這裡坐
01:24:48:15		爸爸
01:24:49:26	01:24:51:16	你要不要吃香蕉
01:24:59:29		涉嫌假按摩真賣淫
01:25:01:21		偉仔, 吃飯啦
01:25:02:17		按摩店被警方查獲後
01:25:04:06		八名小姐紛紛以外套遮臉
01:25:06:24		由手拿MP5衝鋒槍的
01:25:08:18		霹靂小組和女警
01:25:09:29		一一帶下樓
01:25:11:05		送上大型警備車
01:25:13:20	01:25:15:05	這不是我們對面那間嗎
01:25:17:12	01:25:19:01	老闆, 你有去過喔
01:25:20:02	01:25:22:19	你不說話沒人會當你啞巴
01:25:24:07		業者打著活力按摩的名號
01:25:26:10		隱身在商業大樓裡
01:25:28:00	01:25:29:02	涉嫌從事...
01:25:31:23	01:25:33:06	學長, 我們去值勤囉
01:25:35:06		你說你家隔壁
01:25:36:04	01:25:37:14	有人從事色情行業
01:25:39:03		我不確定她做到什麼程度
01:25:41:27		但是應該不是純的
01:25:44:26		那你怎麼能確定
01:25:47:00		因為我每天晚上
01:25:47:23		都聽到她們隔壁傳來那個
01:25:50:00		嗯嗯啊啊的聲音
01:25:51:10		還有那個撞牆壁的聲音
01:25:53:07		這應該是做黑的吧
01:25:55:13		你地址在哪
01:25:56:12		我們會派人過去看
01:25:58:13		延平北路三段
01:26:01:06		六十八巷九號
01:26:04:27	01:26:05:28	六樓
01:26:07:16	01:26:10:00	你該不會住在那一排頂樓違建
01:26:25:25	01:26:26:29	來... 在這裡
01:26:36:09		我們接獲民眾報案說
01:26:37:06		這邊有人在從事色情行業
01:26:39:20		沒有啦, 怎麼可能
01:26:41:16		誤會啦...
01:26:44:01		我們也可能覺得是誤會
01:26:45:01		對啊
01:26:45:20		不好意思, 打擾了
01:26:46:12		不會...
01:26:47:00		辛苦了喔, 辛苦了
01:26:48:21	01:26:50:04	不好意思, 那麼晚耶
01:26:56:12		不知道是誰去亂說
01:26:58:03		實在是很壞心
01:27:00:27	01:27:02:26	會遭天打雷劈啦
01:27:16:10		爸爸
01:27:17:26		你是不是不舒服啊
01:27:20:13		沒有, 我就是有點累了
01:27:23:05	01:27:24:15	睡一下就好了
01:27:28:07		那要不要我幫你按摩
01:27:31:00		不用, 不用按摩
01:27:32:01		不用按摩啦
01:27:33:07		不用按摩
01:27:34:27		我...
01:27:35:20		爸爸休息休息就沒事了
01:27:38:22	01:27:39:25	好, 晚安
01:27:41:08		小玲
01:27:42:14	01:27:43:04	怎麼了
01:27:44:14		那個
01:27:46:11		那個以後
01:27:47:27		以後不可以隨隨便便
01:27:49:04	01:27:50:22	就幫人家按摩, 知道吧
01:27:53:05		好
01:27:54:10	01:27:55:16	爸爸晚安
01:28:05:11		魁手哥, 你幹嘛
01:28:06:18		有話外面講就好了啊
01:28:08:11	01:28:09:08	下去啦
01:28:22:24		喇叭
01:28:23:23		之前你做的那些事情
01:28:25:20		我都從來沒有跟任何人講
01:28:27:23		這你應該知道吧
01:28:29:19		我知道啊
01:28:30:16		魁手哥, 你真的很講義氣
01:28:32:21		而且我之後也都沒再做了
01:28:34:24	01:28:35:22	真的
01:28:37:03		我現在想要請你幫我一個忙
01:28:39:17	01:28:40:20	什麼忙
01:28:43:23		幫我趕走兩個人
01:28:45:24		你有沒有什麼辦法呢
01:28:48:16	01:28:49:19	要趕走誰
01:28:52:02	01:28:57:05	(小心, 頂樓兩位小姐有菜花)(我被傳染惹)
01:29:02:17	01:29:04:12	你鬼點子還真多耶
01:29:47:29		慘了
01:29:50:01	01:29:51:22	這兩個禮拜生意怎麼這麼差
01:29:53:13	01:29:55:22	本來就不可能每天過年嘛
01:29:57:23		坐過去啦
01:30:00:01		有時間塗這麼漂亮
01:30:01:18		不如去call客比較實在
01:30:03:09		我可以自己看啊
01:30:05:19		看
01:30:06:08	01:30:07:24	看你的大頭鬼啦, 看
01:30:09:05		大砲哥
01:30:10:29		我雙雙啦
01:30:12:18	01:30:14:20	你不是有約時間, 怎麼沒來
01:30:17:11		你在忙啊
01:30:19:02	01:30:19:18	我...
01:30:21:08		好...
01:30:22:13		你先忙
01:30:23:28	01:30:24:19	好啦
01:30:25:29		騙誰啊
01:30:28:01		我就聽到他在唱KTV
01:30:29:27	01:30:31:06	當我是白痴啊
01:30:34:00	01:30:35:05	不要啦
01:30:47:24		爸爸
01:30:49:10		我可以拿這些韭菜盒
01:30:50:29		給隔壁的阿姨嗎
01:30:53:29		為什麼, 你不餓嗎
01:30:55:19		她們上次送我們香蕉
01:30:57:22	01:30:59:23	我們是不是也應該謝謝她們
01:31:01:20		那些人有什麼好謝的嘛
01:31:03:17	01:31:05:11	爸爸, 你怎麼這樣說啊
01:31:06:26		好...
01:31:08:14		那你拿去給她們
01:31:09:26		你記得啊
01:31:10:25	01:31:12:00	去了以後馬上回來
01:31:28:15		王大哥
01:31:30:12		我雙雙啦
01:31:32:10		我傳訊息給你
01:31:32:29	01:31:34:00	你怎麼都沒有...
01:31:35:01	01:31:37:13	喂...
01:31:39:12		掛老娘的電話
01:31:41:03	01:31:42:06	是找死嗎
01:31:56:03		嗨, 妹妹怎麼啦
01:31:57:26		阿姨, 這個給你們吃
01:32:00:08		這麼好啊
01:32:01:19		謝謝你
01:32:02:26	01:32:05:02	但是我是姊姊
01:32:15:19		那什麼
01:32:16:20		好像是韭菜盒耶
01:32:18:05		要吃嗎
01:32:19:12		不要, 吃那個嘴巴臭死了
01:32:21:09	01:32:22:14	要怎麼做生意
01:32:23:19		我覺得今天一定不會有客人來
01:32:25:28	01:32:27:04	來吃一口嘛
01:32:27:28		豪哥
01:32:29:10		我雙雙啦
01:32:31:10		你不是說要來
01:32:32:12		怎麼都沒有來
01:32:33:22	01:32:35:04	最近在忙什麼
01:32:37:15	01:32:38:17	你在大陸啊
01:32:40:03		現在是國際電話
01:32:41:23		好啦... 那不說了
01:32:43:26	01:32:44:24	好...
01:33:14:02	01:33:15:03	這哪裡來的
01:33:18:20		包韭菜盒的
01:33:20:04	01:33:21:10	誰拿來的啦
01:33:26:17		雙雙姊, 算了啦
01:33:28:09		什麼算了
01:33:29:08	01:33:30:10	你承認你有菜花喔
01:33:39:07		妹妹, 那個
01:33:41:10		你爸爸在嗎
01:33:43:02	01:33:44:24	我爸爸去上班了
01:33:47:26		那你跟阿姨講一下
01:33:49:03		你包韭菜盒這張紙
01:33:51:27	01:33:53:00	是從哪裡來的
01:33:54:25	01:33:57:26	拜託... 跟姊姊說嘛
01:34:01:24		拿一支機油T桿來
01:34:03:17	01:34:04:09	好
01:34:08:11	01:34:09:16	你最好是用丟的啦
01:34:16:05		長菜花是不是, 好
01:34:17:29		老娘今天就把你打到長菜花
01:34:20:00		你長菜花
01:34:21:17		長菜花啦你
01:34:22:28		你怎麼亂打人啊
01:34:25:00		你不是那按摩小姐
01:34:26:17		你也有份
01:34:27:11		你也有啦你
01:34:28:18		你們兩個完蛋了
01:34:29:11		不... 不是啦
01:34:30:02	01:34:30:23	別跑
01:34:34:18	01:34:35:21	長菜花
01:34:46:18		怎麼又是你啊
01:34:48:23		警察先生
01:34:50:06		上次說那個
01:34:51:15		做色情按摩的就是她啦
01:34:53:22	01:34:55:13	你媽才做色情按摩啦
01:34:56:26		這是警局啊
01:34:58:09	01:35:00:19	這樣大聲小聲的很囂張喔
01:35:02:00	01:35:03:12	學長, 我去值勤喔
01:35:04:26		一碼歸一碼
01:35:05:28		先處理你們打架的事
01:35:08:01	01:35:09:04	你們為什麼打她
01:35:10:19	01:35:11:25	是她打我們耶
01:35:13:14	01:35:14:17	你為什麼打他們
01:35:17:26		就他們性騷擾我啦
01:35:20:00		你不要亂講啊
01:35:21:03		你摸我屁股, 他摸我胸部
01:35:23:13		你哪來的胸部啊
01:35:24:28		怎樣
01:35:25:19		好了啦, 不要吵
01:35:27:16		你留下聯絡方式
01:35:29:08		可以先回去了
01:35:30:12	01:35:32:16	有事我會請人聯絡你來警局一趟
01:35:34:13		那我鞋子可不可以拿走
01:35:35:13	01:35:36:25	不行, 那是證物
01:35:38:02	01:35:38:29	穿這個回去
01:35:40:15		怎樣, 不想走啊
01:35:42:06	01:35:43:26	還是你要留下來做筆錄
01:35:58:01	01:35:58:25	你們等我一下
01:36:00:21		警察先生
01:36:01:22		那我什麼時候可以走啊
01:36:03:19	01:36:06:01	我女兒她還一個人在家裡等我
01:36:18:04		這麼晚你不回家
01:36:18:25	01:36:20:02	你坐在這裡幹什麼啊
01:36:22:00		爸爸打電話說他在警察局
01:36:24:13		還沒有辦法回家
01:36:26:16	01:36:27:29	所以我在這裡等他
01:36:31:29	01:36:33:24	我叫她進來等, 她也不要
01:36:37:28	01:36:40:11	妹妹, 你要不要先進來
01:36:42:04		爸爸可能會很晚才回來
01:36:44:22		我爸爸到底怎麼了
01:36:46:05	01:36:48:07	為什麼他被留在警察局
01:36:51:08		沒有啦
01:36:51:23		就那個警察叔叔
01:36:54:12		有一些事情要問他啦
01:36:56:21	01:36:58:13	問完之後他就可以回來了
01:37:01:00		我不相信
01:37:01:26		真的啦
01:37:03:11		你要不要先進來
01:37:05:28	01:37:06:27	好不好
01:37:12:07		好啦, 那你看
01:37:14:27		等一下你有什麼需要幫忙
01:37:16:23	01:37:18:02	再跟阿姨說
01:37:39:00	01:37:39:26	後來怎麼樣
01:37:44:23		老娘讓他知道我鞋子穿幾號
01:37:47:16		才會鬧到警察局
01:37:49:04		真的假的
01:37:50:19	01:37:52:13	所以呢, 快說
01:37:54:00		一到那邊
01:37:55:02		我鞋子拿起來就丟過去
01:37:56:18	01:37:58:00	阿姨
01:38:03:23	01:38:04:16	妹妹
01:38:05:26	01:38:06:29	怎樣
01:38:11:22	01:38:13:01	黑輪, 不行喔
01:38:18:26		現在生活
01:38:21:00	01:38:23:04	做狗都比做人好
01:38:59:24	01:39:00:21	你在這裡幹什麼
01:39:02:14	01:39:03:11	跟我回去
01:39:07:26	01:39:09:28	你對小孩別這麼粗魯啦
01:39:13:19		你跑去隔壁幹嘛
01:39:14:27	01:39:16:04	你知不知道她們是做什麼的
01:39:24:26		你在幹嘛啊
01:39:26:03		開門啦
01:39:26:29		不要
01:39:28:24	01:39:30:01	我要你開門, 你聽到沒有
01:39:39:14		我跟你講喔
01:39:40:18		你要是不開門的話
01:39:41:13		我就拿鐵鎚把這個門敲開喔
01:39:43:08		你不要我開門, 我才開門
01:39:45:01	01:39:45:17	我...
01:39:47:05		好, 我不要你開門
01:39:49:03		你現在把門打開
01:39:50:21	01:39:52:22	騙人, 你明明還是要我開門
01:39:54:11		沒關係
01:39:55:05		你不要開門也沒關係, 好
01:39:56:21		我問你
01:39:57:19		你跑到隔壁阿姨家裡去
01:39:59:08		為什麼
01:40:00:06		你為什麼被警察抓
01:40:01:25	01:40:02:16	我...
01:40:04:01		因為我罵了隔壁的阿姨啊
01:40:05:18		所以才到警察局去啊
01:40:07:11		我又沒做錯啊
01:40:08:09		那你為什麼罵她們啊
01:40:10:22		她們在做色情按摩啊
01:40:12:14		是色情的耶
01:40:14:14		雖然我不知道色情按摩是什麼
01:40:16:16		可是我知道隔壁阿姨對我很好
01:40:18:21		你那麼凶, 而且又那麼沒禮貌
01:40:20:23		不... 這...
01:40:21:21		不能這麼說啊
01:40:22:10		那不一樣啊
01:40:23:26		哪裡不一樣
01:40:24:26	01:40:26:03	我們不都一樣的
01:40:28:27		我不懂你為什麼要這麼凶
01:40:31:04		我到底做錯了什麼
01:40:32:27		隔壁阿姨做錯了什麼
01:40:34:28		我月經來了流血
01:40:36:08		家裡沒有人啊
01:40:38:11	01:40:40:01	我才請她們幫忙
01:40:45:21	01:40:46:25	小玲, 對不起啊
01:40:48:14		那你會不會不舒服
01:40:50:11		要不要我帶你去看醫生
01:40:52:22	01:40:55:06	月經不用看醫生
01:42:45:10		小玲啊
01:42:46:23		等一下把這個韭菜盒
01:42:49:12		拿去給隔壁的阿姨
01:42:50:27		順便幫爸爸跟她們說謝謝
01:42:52:29		你為什麼不自己去
01:42:55:16		你去就好了嘛
01:42:57:06		那一起去
01:42:59:06		好... 一起去...
01:43:00:15	01:43:01:10	走
01:43:13:01	01:43:14:05	怎麼了嗎
01:43:15:17		沒事的話, 我要進去囉
01:43:17:07		等一下... 那個...
01:43:19:07		這個我... 昨天是我不好
01:43:21:08		我真的不好意思
01:43:22:24		小玲回去都有跟我說了
01:43:25:04		是我誤會你們了
