01:00:26:10	01:00:28:10	請問這裡是古舍古鄉嗎
01:12:37:06		你所拍下來的那一刻
01:12:38:14		就會變成永恆
01:12:40:19		對啊, 回憶很重要
01:12:42:22		所以我也要像我爺爺一樣
01:12:44:07		揹著這個相機
01:12:45:21		隨時提醒自己
01:12:47:20	01:12:52:03	要尊重按下快門的那一瞬間
01:13:01:08		笑什麼啦
01:13:02:14	01:13:05:05	我要跟我爺爺的作品合照啊
01:13:07:22		好啦, 我幫你們拍好了
01:13:09:03	01:13:10:01	好不好
01:13:10:28	01:13:12:14	不用了啦
01:13:19:05		你把女生弄生氣
01:13:20:13	01:13:22:15	都不用表示一下的喔
01:13:25:17		好, 但...
01:13:26:22	01:13:28:00	我叫李振凱
01:13:29:01	01:13:32:11	我知道你叫李振凱
01:13:34:04	01:13:35:23	那你要去哪裡啊
01:13:37:29	01:13:39:06	不知道耶
01:14:20:25	01:14:22:15	沒來由的相遇
01:14:23:02	01:14:25:29	理所當然的被說成緣分
01:14:27:09		所以沒來由的離別
01:14:29:23	01:14:31:28	自然也就是緣分盡了
01:14:34:05		這一些沒來由
01:14:36:14		是緣分一個重要的特質
01:14:40:00	01:14:42:23	有隨時讓人無以為繼的不安
01:14:53:05	01:14:54:29	我想吃番茄炒蛋
01:15:01:18	01:15:02:16	好
01:15:05:05	01:15:06:26	恰恰相反的
01:15:07:23		約定
01:15:09:04	01:15:12:07	變成了戀人們安穩一點的寄託
01:15:17:01		只要沒有人忘記
01:15:19:17	01:15:23:03	或許就可以走到盡頭
01:15:23:26		就像南極跟北極
01:15:26:22		緣分與約定
01:15:29:14		極不相干
01:15:31:04	01:15:33:12	卻又緊密的結合
01:15:38:25		你還真的把它做出來喔
01:15:41:24		當然啊, 簡單
01:15:43:16	01:15:44:18	吃一個
01:15:45:11	01:15:46:28	謝謝, 來
01:15:47:16		緣分與約定
01:15:49:20		讓戀人們有機會開始
01:15:52:29	01:15:54:16	有機會圓滿
01:16:53:25		晚安
01:16:54:29	01:16:56:04	晚安
01:17:02:04	01:17:03:11	你都看過了
01:17:04:03	01:17:05:03	對啊
01:17:06:09		你幹嘛要揉掉啊
01:17:07:18	01:17:09:14	我覺得你寫得很好耶
01:17:13:07		我要當你第一個書迷
01:17:15:08	01:17:17:13	我可不可以陪你一起寫作啊
01:17:21:04		好啊, 如果你不覺得無聊的話
01:17:23:13		不會
01:17:24:17	01:17:26:15	怎麼會無聊呢
01:17:34:15		是不是太近了
01:17:36:11	01:17:37:29	好像太近了
01:17:55:20	01:17:57:26	這是什麼意思啊, 這裡
01:18:04:03	01:18:05:29	好好吃喔, 什麼口味
01:18:06:27	01:18:08:08	你要不要來一片
01:18:11:19	01:18:14:04	對不起, 我不吵你
01:18:18:22	01:18:20:07	我們去看星星好不好
01:18:20:29		好啊
01:18:22:00	01:18:23:01	走
01:18:46:12	01:18:47:17	飽了
01:18:50:12	01:18:52:10	那我們今天去哪裡玩啊
01:18:53:22		可以摘個水果吧
01:18:55:15		摘水果
01:18:57:00		哪裡啊
01:18:58:23	01:19:00:00	那邊都有啊
01:19:00:26	01:19:02:04	怎麼了
01:19:05:10		怎麼了
01:19:06:05	01:19:07:08	噓
01:19:12:06		喂, 帥哥老爸
01:19:13:24		你又想我了喔
01:19:15:12		不要一直打
01:19:16:21		國際電話很貴的
01:19:18:11		我很乖啦
01:19:19:24		很乖
01:19:21:08		我一回家就沒有看到你
01:19:22:16	01:19:23:18	哪裡乖
01:19:25:14		你回來了喔
01:19:26:24		你不是在上海嗎
01:19:28:13		事情提早結束了
01:19:29:19		所以就先回來了
01:19:31:04		那你呢
01:19:32:11		在忙什麼啊
01:19:33:20		我...
01:19:34:14	01:19:37:08	就跟朋友出來玩啊
01:19:39:05		我晚一點就回去了
01:19:40:28	01:19:42:06	等多久啊
01:19:43:10		還是我去接你呢
01:19:45:08		不...
01:19:46:22	01:19:49:13	你要是來了就不好玩啦
01:19:50:25		那我馬上回去好了
01:19:52:28	01:19:54:00	拜拜
01:19:55:24		完了...
01:19:58:11		怎麼了
01:19:59:11	01:20:01:19	我爸要我馬上回家
01:20:03:07		那你先收東西吧
01:20:05:13	01:20:07:05	然後我送你坐車
01:20:08:08	01:20:09:13	好吧
01:20:41:28		你...
01:20:43:02	01:20:44:12	家裡沒事吧
01:20:45:23		沒有啦, 我爸太想我了
01:20:48:01		我怕他跑來
01:20:49:12	01:20:50:26	那就糟糕了
01:20:51:27	01:20:52:25	糟糕
01:20:54:07		沒什麼恐怖的
01:20:55:20		你爸應該是想你才對啊
01:20:57:17		對啊, 他很愛我啊
01:20:59:20		所以如果他跑來
01:21:00:22		看到我跟你站在這裡
01:21:02:03	01:21:03:28	那糟糕的會是你耶
01:21:07:16	01:21:10:05	那你沒事就好了
01:21:14:09		我們來拍照吧
01:21:15:17	01:21:16:22	留作紀念
01:21:19:20	01:21:20:21	一, 二, 三
01:21:21:20	01:21:23:16	你說的啊, 回憶很重要
01:21:25:06	01:21:26:03	來了
01:21:26:29	01:21:28:01	走囉
01:21:29:13	01:21:31:06	那你什麼時候回來那你什麼時候回台北
01:21:57:11	01:22:00:14	請問這裡就是古舍古鄉嗎
01:22:03:07	01:22:04:21	我們去看星星好不好
01:22:05:18		好啊
01:22:06:13	01:22:08:06	大驚小怪
01:22:12:27		完了...
01:22:14:29	01:22:16:04	怎麼了
01:22:16:29		一, 二, 三
01:22:19:05	01:22:21:02	你說的啊, 回憶很重要
01:22:30:21		振凱
01:22:31:13		魏艾剛打給我
01:22:32:15		跟我要你的電話號碼
01:22:33:19		我給她囉
01:22:34:20	01:22:35:19	我知道
01:22:38:09	01:22:39:12	你知道
01:22:43:16		你怎麼會知道
01:22:45:12	01:22:47:15	她傳照片過來啊
01:22:48:26	01:22:50:02	我就知道
01:22:51:27		我真的搞不懂你們兩個耶
01:22:53:22		你們兩個在幹嘛
01:22:55:06	01:22:58:01	連瞎子都看得出來你們互相喜歡
01:22:59:09		你到底在彆扭什麼啊你
01:23:01:11		人家女生都這麼明顯了耶
01:23:03:21	01:23:05:04	你在等什麼
01:23:09:27		就這麼決定
01:23:10:28		你今天下午東西收一收
01:23:12:16	01:23:13:27	回台北找她
01:23:14:22		啥
01:23:15:11	01:23:17:21	啥什麼啥, 收東西啊
01:23:20:21		笑什麼笑
01:23:21:21		等一下就收東西回台北找她
01:23:24:01	01:23:26:11	就這麼決定了, OK
01:24:59:16	01:25:00:20	我回來了
01:25:01:07		回來啦
01:25:02:15		怎麼樣
01:25:03:15	01:25:05:24	今天都有什麼好玩的啊
01:25:06:28		今天就跟朋友到處走一走啊
01:25:10:08	01:25:12:25	去看電影啊
01:25:13:19		逛逛街啊
01:25:15:05		喝下午茶
01:25:16:08		反正跟平常差不多啦
01:25:17:29		還不都一樣, 有什麼好玩的
01:25:21:00		當然不一樣啊
01:25:23:00		你跟不一樣的人出去
01:25:24:15		就會有不一樣的心情
01:25:25:22		所以就會有不一樣的好玩
01:25:28:01		這個比較特別
01:25:29:14	01:25:31:06	就剛剛那個傢伙啊
01:25:32:18		爸, 你幹嘛偷看啦
01:25:35:02		我哪裡有偷看
01:25:36:13		我每天都站在那喝紅酒
01:25:38:22	01:25:41:05	你們兩個跑進來讓我看到的
01:25:43:17	01:25:45:12	那我下次躲好一點
01:25:46:19	01:25:48:16	這是你男朋友啊
01:25:50:03		不是啦
01:25:51:24		就普通朋友而已啊
01:25:54:03		好啦, 不管什麼朋友啦
01:25:56:24		你幫我約他一下
01:25:58:05		我請他吃個飯
01:26:00:00		我看看
01:26:01:13		不要啦
01:26:02:29		我哪一個男生朋友
01:26:04:07		跟你吃得完一頓飯啊
01:26:06:04		嚇都嚇死了
01:26:08:19		好朋友會變成男朋友的
01:26:11:07		爸爸也年輕過
01:26:12:24		帶回來給我鑑定一下
01:26:14:15		不要
01:26:16:13		經過這麼多年慘痛教訓
01:26:18:04		我還學不會嗎
01:26:19:24		在我還沒有把他們訓練好之前
01:26:21:27		一定不會帶回來讓你鑑定
01:26:24:19		所以說這個是你男朋友對不對
01:26:27:03		沒有, 就不是
01:26:29:19	01:26:31:13	不是為什麼送你蘋果
01:26:32:12		怎麼有一顆蘋果, 好奇怪喔
01:26:34:24		我家樹上掉下來的啊
01:26:36:05		有...
01:26:37:20		我們家好像結蘋果了
01:26:39:12	01:26:40:24	檸檬樹
01:26:49:00		如果不要開始
01:26:51:06	01:26:53:01	就永遠不會結束
01:26:54:20		但是如此一來
01:26:57:04	01:27:02:00	也不會有過程中的酸甜苦辣
01:27:03:00	01:27:05:20	更不會有所謂的刻骨銘心
01:27:07:10		就像不小心按下
01:27:08:15	01:27:10:18	電腦上的消除鍵
01:27:11:08	01:27:13:09	一點痕跡也沒有
01:27:15:02	01:27:16:19	回憶很重要
01:27:17:16		就算不知道結果
01:27:19:24	01:27:22:00	還是要勇敢的開始
01:27:24:09	01:27:26:23	你見過一種浪漫的人嗎
01:27:27:24	01:27:29:22	拍照用底片
01:27:30:12	01:27:32:26	寫作拿紙筆
01:27:33:29		就算影像糊了
01:27:36:03	01:27:37:27	就算文章乏味
01:27:38:29	01:27:42:03	那都是走過後留下的痕跡
01:27:42:28	01:27:44:14	不會那麼速食
01:27:45:05	01:27:47:01	也不會煙消雲散
01:28:03:12		爸, 你喜歡吃茄子
01:28:05:14		多吃一點
01:28:06:19		老爺
01:28:07:14	01:28:08:08	好
01:28:09:20	01:28:11:01	把我的也吃了吧
01:28:14:10		這是綠花菜耶
01:28:16:09		好耶
01:28:17:20		養顏美容, 永保青春
01:28:20:26	01:28:22:13	多吃一點啊
01:28:26:29	01:28:28:23	這一個是什麼啊
01:28:29:28	01:28:31:03	吃吃看
01:28:32:03		吃吃看, 看你喜不喜歡吃
01:28:35:08	01:28:36:14	多吃一點
01:28:42:01	01:28:43:03	爸
01:28:43:28		你今天心情好不好啊
01:28:45:26	01:28:47:14	什麼事, 你講吧
01:28:50:13		你不要那麼直接嘛
01:28:52:20		人家好歹也是個女生
01:28:55:14		就給人家留一點面子嘛
01:28:58:22	01:29:00:00	錢不夠用啊
01:29:04:13	01:29:05:08	對
01:29:11:08		年輕人相愛是一回事
01:29:14:05	01:29:17:10	有相愛能力又是另外一回事
01:29:18:29		如果現在都吃不起一頓飯
01:29:21:09	01:29:22:29	哪裡有將來呢
01:29:26:17	01:29:27:21	知道了
01:29:31:12		吃飯吧, 吃飯
01:29:32:29	01:29:34:16	這個太嚴肅了, 不說了
01:29:39:20	01:29:41:17	一本還是兩本啊
01:29:44:02	01:29:45:04	天保哥
01:29:46:08		你可以不要把外面兄弟那一套
01:29:48:09	01:29:49:24	帶回家裡來嗎
01:31:24:10	01:31:26:06	老闆, 照片我傳過去了
01:31:47:05	01:31:48:07	不好意思
01:31:52:05	01:31:53:23	老闆, 請你收一下
01:32:06:15	01:32:08:09	我好久沒有吃了
01:32:09:16	01:32:10:21	你看
01:32:11:29		想說晚上你肚子餓的話
01:32:13:13		就可以自己煮
01:32:14:16	01:32:15:22	這個蝦子很大
01:32:16:18		微波爐可以煮嗎
01:32:19:00		可以啊
01:32:19:14		才二九九耶
01:32:20:23		很便宜耶
01:32:22:07		便宜... 還滿貴的耶
01:32:24:23		我們買新鮮的好了
01:32:25:26		等一下到那邊買新鮮的
01:32:27:13	01:32:28:27	好啊
01:32:29:29		大胃王耶要不要吃冰棒
01:32:31:07		要不要吃冰棒
01:32:31:28		會不會太冷
01:32:32:24	01:32:34:12	現在會不會很冷啊
01:32:37:03		我們都穿長袖了, 毛衣了
01:32:39:25	01:32:40:23	你覺得呢
01:32:43:02		喂, 老闆
01:32:44:25		照片我傳過去了
01:32:45:29	01:32:47:03	請你收一下
01:32:59:00	01:32:59:29	小鳳
01:33:02:04	01:33:02:23	老爺
01:33:04:03		你做這什麼菜
01:33:05:16	01:33:06:23	湯都涼的
01:33:19:23		等下不要幫她收
01:33:21:21	01:33:23:16	她愛做就讓她自己做
01:33:35:27		小姐, 你要做什麼
01:33:38:08	01:33:40:05	你幫我拿一下西瓜好不好
01:33:41:13		刀子
01:33:42:23	01:33:44:12	刀子在檯子上左邊
01:33:45:18		西瓜來了
01:33:47:10		好, 那你去忙吧...
01:33:49:16	01:33:50:19	我自己來
01:33:59:03		爸, 吃西瓜
01:34:00:20		我不吃
01:34:02:02		這個是我切的喔
01:34:03:17		你看我把每一顆籽都挑出來了
01:34:05:13	01:34:07:07	是不是很貼心啊
01:34:08:08		吃一下嘛
01:34:09:16		你女兒真的好棒棒耶
01:34:11:15	01:34:14:15	不用練習就有愛人的能力囉
01:34:15:29		你一天到晚跟他鬼混
01:34:17:20		當女傭
01:34:18:21		這個樣子有什麼意義
01:34:21:02		而且我說的是那個窮小子
01:34:22:19	01:34:24:08	又不是說你
01:34:26:23		我也要一起嘛
01:34:28:11		我也要練習
01:34:29:27		才能夠當賢妻良母啊
01:34:31:25		以後才會有人娶我啊
01:34:34:01		而且這樣我才能照顧你啊
01:34:38:13		我不要人家照顧
01:34:39:25		要啦
01:34:41:06		拜託, 讓我照顧你好不好
01:34:45:10		好啦
01:34:47:03		你忍心拒絕我這麼可愛的女兒嗎
01:34:50:12	01:34:51:11	好不好
01:34:51:29		好不好
01:34:53:07	01:34:55:02	好啦...
01:35:03:07		我就說你行的吧, 大作家
01:35:05:24		還好啦
01:35:06:19		人家只是說要先看看而已啊
01:35:09:29		人家一定是看過你部落格的文章
01:35:12:09		所以才會找你的啊
01:35:13:27		哪有什麼好看看的
01:35:15:25	01:35:17:20	就是好看
01:35:18:14		好看
01:35:18:28	01:35:20:24	對, 沒錯...
01:35:22:29		你什麼時候開始玩弄文字啊
01:35:26:25	01:35:28:00	還好啦
01:36:00:07		我差不多要回家了
01:36:02:14		我爸叫我回家了
01:36:03:23		我扶你上去睡覺好不好
01:36:05:27		我扶你上床
01:36:07:17		不要走
01:36:08:15		不要
01:36:09:21		乖啦
01:36:11:14	01:36:13:16	不要, 你不要走
01:36:17:08	01:36:18:15	不要走
01:37:16:02	01:37:17:08	爸
01:37:18:13		對不起喔
01:37:20:02		我昨天晚上
01:37:22:01	01:37:23:14	就...
01:37:26:14		整天就知道往外跑
01:37:29:03		現在連家都不回了是不是
01:37:32:15		我告訴你, 從現在開始
01:37:34:05	01:37:36:20	沒有我的同意你都不准出門
01:37:38:03		爸, 你不能這麼不講道理啦
01:37:41:02	01:37:42:04	爸
01:37:43:19		爸, 你不能這麼不講道理啦
01:37:47:15		我還要跟你講道理啊
01:37:49:12	01:37:51:12	好啊, 講道理
01:37:52:27		你考試準備美國升學
01:37:56:03		都準備好了嗎
01:37:58:12		成天就知道玩
01:38:00:07		我看你乾脆直接到美國
01:38:01:23		去找你媽算了
01:38:03:13		什麼托福也不用考了
01:38:04:23		直接過去美國住
01:38:06:19		學校我想辦法幫你喬一所
01:38:08:17		下個禮拜就開始上課
01:38:11:06		爸
01:38:12:16		我真的沒有在玩啊
01:38:14:16		我很認真在做一件事情耶
01:38:17:00		而且就差一點點時間
01:38:18:07	01:38:19:23	就可以完成了
01:38:21:00		你不要那麼霸道嘛
01:38:23:04		我霸道
01:38:24:16	01:38:26:09	再說你明天就去
01:38:33:17	01:38:35:15	我就不是那個意思嘛
01:38:40:08		那你說
01:38:41:28	01:38:44:24	你現在都在做什麼偉大的事啊
01:38:46:15		我想要好好陪振凱
01:38:47:28		完成他的第一本小說
01:38:50:16		那是他的夢想
01:38:52:27	01:38:55:11	而且他真的很有才華耶
01:38:57:09		只要再一點點時間
01:38:59:05		等到他的書出版了
01:39:01:24		一定可以賣錢
01:39:03:08		到時候我們就可以過比較好
01:39:04:13		那你呢
01:39:06:14	01:39:08:26	你預備怎麼打算
01:39:17:01		我想要跟他一起證明
01:39:19:09	01:39:21:13	我們都有愛人的能力啊
01:39:22:10		而且昨天已經有出版社
01:39:24:02		找上我們了耶
01:39:25:08	01:39:28:12	說只要在三天之內就會有消息
01:39:29:01		不可以...
01:39:31:15	01:39:36:09	再給我們一點時間嗎
01:39:38:14	01:39:40:20	吃東西吧, 吃東西
01:39:48:28		這是好的意思嗎
01:39:52:25	01:39:54:10	就三天喔
01:39:58:10		那麼有把握啊
01:40:00:11	01:40:02:26	那你說說你打算怎麼辦
01:40:06:20	01:40:08:02	出去玩啊
01:40:11:04		你坦白說
01:40:12:17	01:40:14:22	我是不是又被你騙了
01:40:16:15	01:40:18:26	我就知道不能跟你講道理
01:40:27:20		你怎麼還在趕稿啊
01:40:29:09		昨天不是已經交給出版社了嗎
01:40:32:16		剛編輯打電話來說
01:40:33:18		要修改一大堆東西
01:40:35:17		要不然老闆不會過
01:40:38:03	01:40:40:07	好多角色都要重新寫
01:40:45:08	01:40:47:11	那你寫得怎麼樣了
01:40:48:06		他們要的改法完全不順
01:40:51:00		所以我完全...
01:40:52:08	01:40:54:09	所以我完全沒有想法
01:40:57:17		如果寫不出來的話
01:40:58:28	01:41:00:27	就先停一下嘛
01:41:01:28		你看今天外面天氣很好耶
01:41:04:06	01:41:06:02	我們出去走一走嘛
01:41:08:26		好嘛, 我們去走一走
01:41:11:00		你也會比較有靈感啊
01:41:13:23		不行啦, 真的不行
01:41:16:06		我要趕快趕稿
01:41:17:23	01:41:19:27	免得失去這個機會
01:41:22:01		可是你什麼都改掉了
01:41:23:24		就失去了你本來的意思啦
01:41:27:16		好不容易才有這家出版社
01:41:29:02		你先坐一下好不好
01:41:32:02		先讓我想一想, 乖
01:41:34:17	01:41:36:25	看電視什麼的
01:41:52:08		你現在這麼煩躁
01:41:53:07	01:41:55:12	也寫不出好作品啊
01:42:03:21		我爸說他很喜歡你的文章耶
01:42:07:00		還是我們請他幫忙啊
01:42:09:19		我不想靠你爸
01:42:11:20		我不想靠任何人
01:42:12:28	01:42:15:19	我只想靠我自己, 好不好
01:42:22:02		你這樣坐在電腦前面
01:42:23:14		根本一點用也沒有啊
01:42:26:05		走啦, 出去走走嘛
01:42:28:26		什麼叫沒有用
01:42:31:19		你可以一整天想要去玩
01:42:33:15		想要怎樣怎樣都無所謂
01:42:34:24		因為你有一個好爸爸
01:42:36:03		我是沒有
01:42:37:14		我從小到大都是靠自己的
01:42:40:20		所以
01:42:42:11	01:42:45:22	請你讓我做一件事, 好嗎
01:42:51:14		我知道你現在心情很不好
01:42:54:04	01:42:57:02	對我講話很大聲我也可以理解
01:42:58:04		可是我已經拜託你很久了啊
01:43:01:28		我真的很想跟你出去再...
01:43:04:09	01:43:06:06	再去走一走
01:43:09:22	01:43:12:06	而且再不去就來不及了
01:43:14:06		拜託嘛, 就算一天也好
01:43:18:11		走一走...
01:43:19:13	01:43:21:06	你煩不煩啊你
01:43:57:25	01:43:59:15	你幹什麼, 我沒有存檔
01:44:03:25		你要走
01:44:04:27	01:44:06:14	你自己去走
01:44:11:08		回憶很重要
01:44:12:02		這個是你說的, 不是嗎
01:44:15:17		你還有很多的時間可以寫稿
01:44:19:15		我只是想要出去
01:44:20:18	01:44:22:25	跟你走一走而已
01:44:27:16	01:44:30:00	回憶很重要, 沒錯
01:44:34:12	01:44:36:12	但是我的稿子更重要
01:44:46:26	01:44:48:07	我只是...
01:44:50:13	01:44:53:06	我只是想要跟你出去走一走而已
01:44:54:20	01:44:55:28	我不想
01:46:15:24		喂...
01:46:16:29	01:46:17:28	你好
01:46:18:28		對
01:46:20:02		對, 正在改...
01:46:22:22	01:46:25:01	應該最快是明天啦
01:46:25:26		好, 我知道
01:46:27:08		好...
01:46:29:06	01:46:30:06	拜拜
01:47:15:29		我回來了
01:47:17:22		這麼快就回來了
01:47:19:07	01:47:21:01	不是說要三天嗎
01:47:22:08	01:47:24:02	你不要問了啦
01:48:25:25	01:48:28:00	對啊, 回憶很重要
01:48:29:09		好, 但...
01:48:30:12		我叫李振凱
01:48:31:01		走一走...
01:48:31:27	01:48:33:21	你煩不煩啊你
01:48:36:25	01:48:37:29	一, 二, 三
01:48:38:26	01:48:40:26	你說的啊, 回憶很重要
01:48:46:22	01:48:47:28	進來
01:49:00:04		怎麼, 他欺負你是不是
01:49:01:24		我去找那個混帳
01:49:02:22		沒有啦
01:49:03:26		他說他要趕稿
01:49:05:08		我不想要吵他
01:49:06:10		所以就先回來了
01:49:07:27		沒事啦
01:49:09:11		稿子不是昨天就交了嗎
01:49:12:21		就...
01:49:13:20	01:49:16:11	出版社就說要小修一下
01:49:18:08	01:49:20:09	哪個出版社, 你告訴我
01:49:22:24	01:49:24:27	別鬧了啦, 爸
01:49:34:23	01:49:36:21	要不要多要幾天啊
01:49:47:09		沒有關係
01:49:49:00	01:49:51:26	等他寫完, 他就會來找我
01:50:16:00		我想要好好陪振凱
01:50:17:12		完成他的第一本小說
01:50:20:03		那是他的夢想
01:50:22:13	01:50:24:28	而且他真的很有才華耶
01:50:26:26		只要再一點點時間
01:50:28:21		等到他的書出版了
01:50:31:06		一定可以賣錢
01:50:32:23		到時候我們就可以過比較好
01:50:33:28		那你呢
01:50:35:14	01:50:37:27	那你說說你打算怎麼辦
01:50:39:17		出去玩啊
01:50:41:01	01:50:42:14	錢不夠用啊
01:50:43:19	01:50:44:20	對
01:50:58:02		很大耶
01:50:59:08		拿回家種一種會不會更大
01:51:01:02	01:51:02:14	你看
01:51:04:19	01:51:06:12	那我下次躲好一點
01:51:08:26	01:51:10:28	我就知道不能跟你講道理
01:51:11:28		你忍心拒絕我
01:51:13:02		這麼可愛的女兒嗎
01:51:15:07		好不好...
01:51:18:03	01:51:20:14	好啦...
01:53:04:12		先生
01:53:05:19	01:53:06:17	老爺
01:53:33:09	01:53:35:26	我真的很想跟你再去走一走
01:53:36:19	01:53:38:25	而且再不去就來不及了
01:53:41:04		拜託嘛
01:53:42:14	01:53:44:18	就算一天也好
