01:01:53:00	01:01:54:15	不可以喔
01:16:50:10	01:16:53:19	爸爸在幫兒子找小姐
01:16:54:10		人呢
01:16:55:28	01:16:57:22	在裡面...
01:17:00:25		怎麼啦
01:17:01:24		對不起
01:17:03:00		我跟你講一聲
01:17:05:00		我兒子有點特別
01:17:07:26		請你不要介意
01:17:10:00		隨便啦
01:17:11:14		計程車在樓下跳錶
01:17:12:22		我沒有時間跟你囉唆
01:17:14:05	01:17:15:28	快...
01:17:19:11	01:17:22:06	辰歸, 叫姊姊
01:17:36:19	01:17:37:27	姊姊
01:17:39:14		他已經洗過澡了
01:17:41:18		不過他有點那個
01:17:44:01		請你多包涵
01:17:47:10		你有沒有搞錯啊
01:17:49:00		你兒子是個傻瓜
01:17:50:26		你還幫他叫小姐喔
01:17:52:11		他真的需要這個
01:17:54:06		請你幫個忙吧
01:17:55:10		幫個屁啦
01:17:56:28		你神經病喔
01:17:59:11		我才不要和這傻瓜睡
01:18:01:16		我又不是發瘋了
01:18:02:29		下流
01:18:03:29	01:18:05:04	變態
01:18:06:05		小姐...
01:18:08:18		我加你錢嘛
01:18:10:16	01:18:12:02	我不要
01:18:15:02	01:18:16:13	兩千還你
01:18:17:29	01:18:19:20	小姐, 你不要...
01:19:33:15	01:19:34:23	爸爸
01:19:35:12		爸爸...
01:19:54:28	01:19:57:04	爸爸, 我要回家
01:20:01:13	01:20:04:23	爸爸, 我要回家
01:20:05:25		不要吵, 你不要吵嘛
01:20:08:24		我的天啊
01:20:10:11		這些表, 這麼多表怎麼填呢
01:20:12:12	01:20:14:17	從哪兒填起啊
01:20:26:10		我要回家
01:20:28:21		你這孩子
01:20:29:23		你乖乖的坐下吧
01:20:30:26		我要回家
01:20:32:18	01:20:33:13	站住
01:20:35:03		你怎麼不聽話呢
01:20:36:06		你這孩子
01:20:37:18		你這樣...
01:20:39:02		我要回家
01:20:40:06		你看...
01:20:41:11		這警察伯伯在那裡
01:20:43:01		警察要抓你喔
01:20:45:19		你乖一點
01:20:46:29	01:20:48:05	我要回家
01:20:49:05	01:20:50:13	辰歸
01:20:51:06		辰歸, 慢點走嘛
01:20:53:18		等爸爸一下下
01:20:55:20		辰歸, 聽到沒有
01:20:57:10		叫你慢點走
01:20:58:07		慢點走嘛
01:20:59:19		你看你
01:21:00:18		爸爸, 回家
01:21:02:08		我們回家
01:21:03:22		是
01:21:04:23		好
01:21:05:23		我們回家
01:21:06:24		爸爸也捨不得你啊
01:21:08:22	01:21:10:24	走...
01:21:48:22		溫師傅
01:21:49:19	01:21:51:03	你怎麼在這兒
01:21:52:19	01:21:54:04	辰歸呢
01:21:57:17		辰歸你沒帶出來
01:21:58:17		辰歸
01:22:00:12		有啊
01:22:02:03	01:22:03:15	人呢
01:22:10:14		辰歸呢
01:22:12:13		對, 辰歸呢
01:22:15:10		辰歸
01:22:16:13		你先別緊張...
01:22:19:04		你去前面找
01:22:20:08		我去後面
01:22:21:13		我幫你找喔
01:22:22:10	01:22:23:26	好
01:22:24:20	01:22:26:05	辰歸
01:22:28:06	01:22:29:16	辰歸啊
01:22:31:14	01:22:33:02	在哪兒啊
01:22:34:02	01:22:35:12	辰歸
01:22:35:29	01:22:37:09	辰歸啊
01:22:39:29		辰歸啊
01:22:41:20	01:22:43:05	辰歸
01:22:43:27		辰歸啊
01:22:45:18	01:22:46:22	辰歸
01:22:48:19	01:22:49:29	辰歸啊
01:22:50:17		辰歸
01:22:52:15		辰歸啊
01:22:53:21	01:22:55:16	你在哪兒
01:22:57:04	01:22:58:27	辰歸
01:23:00:25	01:23:02:08	辰歸啊
01:23:06:06	01:23:07:20	辰歸
01:23:09:11		辰歸
01:23:11:07		爸爸在找你啊
01:23:13:14		溫師傅...
01:23:15:18		在這兒啦...
01:23:16:25		辰歸找到了
01:23:19:06	01:23:21:02	抱歉...
01:23:22:15		兒子, 原來你在這兒
01:23:24:22		爸爸找了你半天了
01:23:26:07		他老爸啦
01:23:27:01		伯伯, 你怎麼不把他看好
01:23:28:22		你讓他這樣亂跑
01:23:29:27		還搶小朋友的茶喝
01:23:32:20		搶茶...
01:23:34:16		對不起...
01:23:36:00		這個茶多少錢
01:23:37:09		我賠給你
01:23:38:11		算了...
01:23:38:25		你以後不要再讓他來公園了
01:23:40:18	01:23:42:12	嚇到孩子怎麼辦
01:23:43:17		你說這個話我就不同意了
01:23:45:27		你們家的孩子就是孩子
01:23:47:18		我家的孩子就不是孩子
01:23:49:24		這是公園
01:23:51:03		誰愛來誰來啊
01:23:52:27		你說這個話
01:23:53:27		真莫名其妙
01:23:55:00	01:23:56:18	走, 兒子
01:23:58:08		抱歉啦...
01:24:00:11		莫名其妙
01:24:02:05		這也不能去
01:24:03:20		那也不能去
01:24:05:09		幹嘛啊
01:24:06:07		這是國家的土地
01:24:08:04		又不是你們家
01:24:09:22		我愛上哪去就到哪去
01:24:11:26		管得著嘛你
01:24:13:11		黏
01:24:14:01		坐下...
01:24:14:24		黏黏, 擦
01:24:16:28		好啦... 乖
01:24:17:24		擦
01:24:18:10		坐... 坐著
01:24:19:14		我給你拿毛巾擦擦手
01:24:21:10		乖
01:24:21:24		黏
01:24:22:24		擦擦
01:24:24:13		擦
01:24:25:29		爸爸擦擦
01:24:27:29		黏黏
01:24:30:07		爸爸擦擦
01:24:31:27		黏
01:24:33:04		我黏黏
01:24:35:02		擦
01:24:36:20		你這孩子
01:24:37:03		我讓你坐在那個地方
01:24:38:27		你怎麼跑這兒來了呢
01:24:40:02		擦擦
01:24:40:16	01:24:41:17	來...
01:24:45:17		中午了, 該吃藥
01:24:48:18	01:24:50:09	自個兒擦擦
01:25:06:25	01:25:08:18	這是中午的藥
01:25:09:17	01:25:11:17	還是晚上的藥呢
01:25:12:18	01:25:14:09	怎麼...
01:25:49:27	01:25:54:08	好...
01:26:41:00		根據檢查的結果
01:26:42:12		確定你罹患了阿茲海默症
01:26:44:18		一開始
01:26:45:17		會有一些短暫失憶的情況
01:26:47:17		再來
01:26:48:11		隨著身體及腦部功能的退化
01:26:50:26		會開始失去大段的記憶
01:26:52:28		兩年之後
01:26:53:29		你可能什麼都記不得了
01:26:55:20		雖然現在聽起來有點糟糕
01:26:58:07		但是
01:26:58:25		如果你願意接受適當的治療
01:27:00:25	01:27:03:10	便可以延緩惡化的速度
01:27:07:01		里長
01:27:08:06		我會找個時間
01:27:08:28		去拜訪溫伯伯他們
01:27:10:11	01:27:11:27	看要怎麼安置辰歸
01:27:13:14		是說辰歸比較怕看見陌生人
01:27:18:02		所以老溫那邊
01:27:19:13		比較不給不認識的人去
01:27:21:26		可是我還是要跟他們本人聊過
01:27:23:20		才知道要怎麼幫他們
01:27:25:13		而且要儘快
01:27:27:10		溫伯伯年紀那麼大了
01:27:29:27		還要照顧一個老小孩
01:27:32:06		而且他這個病
01:27:33:28		情況只會越來越糟
01:27:36:00		這我知道
01:27:37:14		我也想幫忙他們
01:27:40:01		而且我叫老溫幫辰歸取個老婆
01:27:44:25	01:27:46:25	生孩子留後
01:27:47:23		只是說娶妻還得靠緣分
01:27:51:20		就算有人肯嫁他
01:27:53:17		誰知道幾年後
01:27:55:15	01:27:57:28	會不會跟別人跑了
01:28:02:04		夫妻是緣
01:28:03:24		是善緣還是惡緣
01:28:06:25	01:28:08:25	冤冤相報
01:28:09:17		兒是債
01:28:11:21		來還債
01:28:13:03	01:28:14:13	來討債
01:28:15:06	01:28:17:01	無債不來
01:28:38:08		剛才的
01:28:38:26	01:28:40:00	拿去
01:28:44:01		還不開車
01:28:44:16		還在幹嘛
01:28:45:29		你在催什麼啦
01:28:48:09		我都沒在趕
01:28:49:04		你在趕什麼
01:28:50:17		等一下我如果輸了找你算帳
01:28:51:29		我告訴你
01:28:53:01	01:28:54:22	神經病
01:29:08:25		你安分一點
01:29:10:14	01:29:12:16	不要裝神弄鬼
01:30:19:29	01:30:21:20	別跑
01:30:27:07		別跑
01:30:28:10	01:30:29:07	借過
01:30:30:11	01:30:31:19	別跑
01:30:38:14		你再跑啊
01:30:39:18		你再跑
01:30:40:14	01:30:41:23	你再跑啊
01:30:42:02	01:30:44:28	我今天絕對要把你打到變殘廢
01:31:03:22		借過...
01:31:06:05	01:31:09:11	抱歉, 借我躲一下
01:31:14:14		你神經病喔
01:31:16:24		我才不要和這傻瓜睡
01:31:19:02		下流
01:31:20:04	01:31:21:08	變態
01:31:28:24		阿伯
01:31:30:04		你有沒有看到一個女人
01:31:30:24		穿短短的
01:31:32:06	01:31:34:20	從這裡跑過
01:31:54:05	01:31:56:10	阿伯, 有沒有
01:32:01:28	01:32:03:08	沒有
01:32:04:19	01:32:06:11	不早講喔
01:32:16:04		胖子, 過來
01:32:17:06	01:32:18:18	你們兩個過來
01:32:20:25		我跟你說
01:32:21:19		你過去公園那邊找
01:32:24:22		你過去那一邊
01:32:25:17		好
01:32:26:19		小心點喔
01:32:27:11	01:32:28:15	好
01:32:50:07	01:32:51:16	吃
01:32:52:04	01:32:53:20	不痛
01:33:18:16	01:33:20:13	他人還在下面
01:33:21:18	01:33:24:04	你暫時在我這兒躲一躲
01:34:57:08		把我打這一下
01:34:58:28		你們剛才跑去哪兒
01:34:59:27		我在樓上的時候
01:35:01:03		去幫你買檳榔
01:35:02:01		什麼狀況你去買檳榔
01:35:04:00		頭殼壞去
01:35:05:20	01:35:07:17	我真的被你打敗
01:35:11:12	01:35:13:00	誰啊
01:35:13:15		幫我開門
01:35:14:14		拜託, 幫我開門一下
01:35:15:20	01:35:17:14	拜託...
01:35:18:16		這麼晚了
01:35:19:28		你是誰啊
01:35:21:08		我...
01:35:22:05	01:35:23:13	我是...
01:35:27:09	01:35:28:27	喂
01:35:29:25		哪一位
01:35:30:13		我是薇薇
01:35:31:14		趕快幫我開門
01:35:32:10		快點
01:35:33:17	01:35:35:27	快一點
01:36:18:10	01:36:20:23	來, 吃一口
01:36:22:22		來
01:36:23:16	01:36:25:02	來吃一口
01:36:29:11	01:36:31:13	好, 這好好吃嘛
01:36:32:26		怎麼樣
01:36:33:21	01:36:35:15	沒事了吧
01:36:36:17		昨天...
01:36:38:02		昨天追你的那個男人
01:36:40:04	01:36:41:27	是你什麼人
01:36:44:00		那個阿狗是個王八蛋
01:36:47:08		他騙我欠了一百多萬的債
01:36:49:08		還逼我接客
01:36:51:07		我昨晚是趁他不注意時偷跑
01:36:55:00		如果我真的被他抓到
01:36:57:05	01:36:59:20	我死定了
01:37:00:10	01:37:04:24	那以後你怎麼打算呢
01:37:07:14	01:37:09:07	我也不知道
01:37:10:24	01:37:13:11	只有過一天算一天
01:37:18:17		你這裡可不可以借我住幾天
01:37:21:07		我可以幫你做很多的家事
01:37:23:06		洗衣服, 做飯
01:37:24:15		你要我做什麼都可以
01:37:26:01		只要你願意幫個忙
01:37:27:28		等這個風頭過了
01:37:29:20	01:37:32:12	我馬上走, 好不好
01:37:37:16	01:37:38:28	拜託啦
01:37:42:21		辰歸啊
01:37:44:17		姊姊要在我們家住幾天
01:37:47:11	01:37:48:26	可不可以
01:37:56:07		好吧
01:37:57:28		那就暫住我家避避風頭吧
01:38:02:01		謝謝...
01:38:04:10	01:38:05:22	多謝
01:39:06:14	01:39:07:15	你...
01:39:08:03	01:39:09:01	你是...
01:39:10:00		你好
01:39:10:27		我姓賴
01:39:11:23		是溫師傅的鄰居
01:39:13:18		溫師傅和辰歸在不在
01:39:16:10	01:39:18:08	他們出去了
01:39:19:18		這個時間
01:39:20:10	01:39:23:22	溫師傅應該帶辰歸去散步了吧
01:39:24:14		應該吧
01:39:26:01		你是溫師傅的什麼人
01:39:28:19		以前好像沒見過你
01:39:31:09		我...
01:39:33:02		我是他姪女
01:39:35:05	01:39:36:13	姪女
01:39:37:26		溫師傅自己一個人到台灣來
01:39:41:07	01:39:43:12	怎麼會有姪女
01:39:44:13		遠房親戚啊
01:39:45:25		這兩年才聯絡上的啦
01:39:48:10		我從南部上來
01:39:49:24	01:39:52:02	來照顧辰歸
01:39:55:19	01:40:00:09	昨晚是你按的電鈴吧
01:40:02:27		抱歉啦
01:40:04:12		昨晚肚子餓
01:40:06:12		出去外面買一些東西
01:40:08:13		忘記帶鑰匙
01:40:09:22	01:40:11:11	打擾你了
01:40:11:28		原來是這樣啊
01:40:13:23	01:40:16:18	我還在想大半夜的會是誰
01:40:19:05		你會在這兒住多久
01:40:21:14	01:40:24:15	我住幾天就回去了
01:40:27:17		不然這樣吧
01:40:28:21		你跟溫師傅說我來過
01:40:31:03		帶點水果給他和辰歸
01:40:33:18	01:40:34:27	好
01:40:48:17		來... 把衣服脫掉
01:40:51:00		把衣服脫了
01:40:52:02		不要
01:40:52:19		你怎麼那麼磨人呢
01:40:55:02		不要
01:40:55:15		我跟你講
01:40:56:12		把衣服脫掉睡覺比較舒服點
01:40:59:10		來...
01:41:00:12		不要
01:41:01:08		你幹什麼, 你這個樣子
01:41:03:24		你討厭啊
01:41:04:25		你想把我氣死啊
01:41:05:28	01:41:06:27	怎麼啦
01:41:08:07		我讓他脫衣服睡覺
01:41:10:07		他就是不肯
01:41:12:03		跟我彆扭
01:41:13:28	01:41:16:07	你說氣不氣人嘛
01:41:22:11	01:41:23:18	我來
01:41:28:15		辰歸
01:41:29:28		怎麼啦
01:41:31:10		不聽爸爸的話不乖喔
01:41:33:20		脫衣服睡覺比較舒服
01:41:35:13	01:41:37:05	來, 乖
01:41:39:03		姊姊幫你脫
01:41:40:26	01:41:42:09	來
01:41:46:18	01:41:48:05	眼睛閉著
01:41:49:08	01:41:50:23	辰歸好乖
01:41:53:01	01:41:55:02	謝謝你的幫忙
01:41:56:25		我什麼都不會
01:41:59:01		如果是脫男人的衣服
01:42:00:16	01:42:01:29	我最行
01:42:05:14		辰歸, 乖
01:42:06:09	01:42:07:20	睡覺喔
01:42:10:01	01:42:11:11	怎麼啦
01:42:13:09		姊姊陪我
01:42:15:17		姊姊陪你
01:42:17:21	01:42:19:05	你這孩子
01:42:26:15	01:42:27:21	好
01:42:30:23		好, 姊姊陪你
01:42:33:08		那你要乖乖睡覺喔
01:42:34:19	01:42:36:05	來, 躺下
01:42:37:19		好, 乖...
01:42:39:01	01:42:40:24	來, 蓋被被喔
01:42:49:03		姊姊唱歌
01:42:51:06	01:42:53:13	還要姊姊唱歌喔
01:42:54:07		那你乖乖睡覺喔
01:42:55:07	01:42:56:21	姊姊唱歌喔
01:42:57:28		嬰仔嬰嬰睏
01:43:04:01		一暝大一寸
01:43:10:14		嬰仔嬰嬰惜
01:43:16:16	01:43:21:21	一暝大一尺
01:43:31:01	01:43:32:09	奇怪了
01:43:33:08	01:43:34:19	我的藥呢
01:43:35:28	01:43:37:28	怎麼找不到呢
01:43:38:25	01:43:40:12	奇怪喔
01:43:40:29		你在找藥喔
01:43:43:07		你的藥我都放在櫃子裡面
01:43:45:12	01:43:46:17	在這兒
01:43:49:09	01:43:50:23	都在這兒
01:43:53:13	01:43:55:22	來, 你看看喔
01:44:05:20	01:44:09:01	有記號的是晚上吃的啦
01:44:09:28		你怎麼知道
01:44:11:21		我當然知道啊
01:44:13:06		早上幫你打掃的時候
01:44:14:24		你牆壁上寫了好多字條
01:44:16:11		我都有看到
01:44:18:03	01:44:19:09	好...
01:44:30:08	01:44:33:02	你生病了啊
01:44:41:09		對不起
01:44:42:25		你不要生氣
01:44:44:12		是不是叫做阿...
01:44:47:01	01:44:48:01	對
01:44:48:19		醫生跟我說
01:44:50:13		我得的是老人癡呆症
01:44:55:17		像我這個歲數
01:44:57:21		退化得很快
01:44:59:13		兩年以後
01:45:00:28		什麼人都不認識了
01:45:03:21		那...
01:45:05:27	01:45:07:14	那這樣子
01:45:08:26	01:45:10:17	辰歸怎麼辦啊
01:45:12:09		我照顧他幾十年了
01:45:14:19	01:45:18:22	從來我都沒想過這個問題
01:45:20:29		我就是怕我比他早死
01:45:25:09		我要早死的話
01:45:26:29	01:45:28:22	他怎麼辦
01:45:32:19	01:45:34:00	我只希望
01:45:35:03	01:45:38:22	只希望能夠比他多活一天
01:45:39:16	01:45:42:00	能夠比他多活一天
01:45:43:14	01:45:45:20	我把他送走了
01:45:47:15	01:45:49:20	我就心安了
01:46:11:18	01:46:14:06	來, 再一口
01:46:15:25		家裡沒有肉了
01:46:17:04		給我一點錢
01:46:18:02	01:46:19:19	我去買點回來
01:46:20:18		就在櫃子抽屜裡面
01:46:22:12	01:46:24:08	自己去拿吧
01:46:25:00		來, 乖
01:46:27:06	01:46:28:29	再吃一口
01:47:27:09		薇薇啊
01:47:28:07		找到沒有啊
01:47:30:09	01:47:31:22	找到了啦
01:47:52:22		幾點了還在睡
01:47:53:16	01:47:55:04	該起來了
01:47:58:16		對啦
01:47:59:06	01:48:02:01	我這幾天交代你的事情做了嗎
01:48:07:04		我不管啦
01:48:07:29		反正你這禮拜給我弄好就好了
01:48:10:08		理由別那麼多
01:48:12:16	01:48:13:28	好...
01:48:31:27	01:48:33:00	別跑
01:48:34:20	01:48:35:27	別被我抓到
01:48:37:11	01:48:38:14	還跑
01:48:40:26	01:48:42:00	別跑
01:48:51:27	01:48:52:19	別跑
01:48:58:06	01:48:59:14	別跑
01:49:00:00	01:49:01:19	不要被我抓到
01:49:04:20	01:49:05:25	再跑啊
01:49:10:11		開門...
01:49:12:17		再跑啊
01:49:14:05		拜託啦
01:49:15:05		你再繼續跑啦
01:49:16:15	01:49:18:26	你繼續跑啦
01:49:21:13		拜託
01:49:22:00	01:49:25:05	你再跑, 再叫啊
01:49:26:11	01:49:28:03	你再叫啊
01:49:28:27		我拜託你啦
01:49:31:01		我現在已經有錢了
01:49:32:17		你給我幾天的時間
01:49:33:19		我一定會還你
01:49:34:29		我聽不懂
01:49:36:15		你給我幾天
01:49:37:03		我就會還你了啦
01:49:38:22		我聽不懂
01:49:39:12		我們回去說好不好
01:49:40:08	01:49:41:17	我們回去說
01:49:52:26	01:49:54:02	好痛
01:49:56:00		以後買什麼東西
01:49:57:21		你跟我說一聲
01:49:59:16	01:50:01:28	我出去買就行了
