01:00:08:20	01:00:10:25	阿嬤, 你叫什麼名字
01:04:01:28		哪一種比較難救
01:04:03:20		小姐, 你不要想不開
01:04:06:00	01:04:08:12	每個人的生命都是獨一無二的
01:04:08:26		有什麼困境
01:04:09:25		我們生命線都可以提供你幫助
01:04:11:16		不
01:04:12:16	01:04:15:20	我的生命本身就是一個大錯誤
01:04:16:14		我那個老公
01:04:18:21	01:04:21:26	每天只會吸毒, 賭博
01:04:22:15		而我那個兒子
01:04:24:20		根本只是要我的錢而已
01:04:27:24		每個人都在利用我
01:04:30:19		我活在這世界上有什麼用
01:04:33:09		我去跳樓算了啦
01:04:35:23		小姐, 你先冷靜一下
01:04:37:14		有什麼事情慢慢說
01:04:39:17		來, 先跟我們做一個深呼吸
01:04:42:27		吸二三四
01:04:46:12		吐二三四
01:04:49:17		生命線小姐, 不好意思喔
01:04:50:24		有插播, 我接一下
01:04:51:26		你不要掛掉
01:04:52:25	01:04:54:02	吐
01:04:54:22		喂, 你好
01:04:56:08		我是
01:04:57:29		什麼
01:04:59:03		我媽走失了
01:05:00:09	01:05:02:00	好...
01:05:03:12		生命線小姐
01:05:04:12		麻煩你, 我給你地址
01:05:05:13		你幫我叫計程車
01:05:06:15		我要去台北找我媽
01:05:07:27	01:05:09:02	謝謝喔
01:05:09:24		阿嬤, 你女兒住在台中
01:05:11:28	01:05:13:25	怎麼不早點說啦
01:05:15:24		來... 我們靠邊一點啦
01:05:17:17		好
01:05:18:03	01:05:18:24	小心
01:05:21:24	01:05:23:29	原來是換成全家了啦
01:05:27:00		這樣我下次知道
01:05:28:25		看到這間就左轉
01:05:31:23		好, 這樣你知道路了吧
01:05:33:00		對...
01:05:34:03		我要去巡邏了
01:05:34:29		好...
01:05:35:25		麻煩你...
01:05:36:24	01:05:37:26	好, 再見
01:06:02:17	01:06:04:18	我的水果呢
01:06:19:02		來, 祝你中獎
01:06:20:13	01:06:21:27	謝謝
01:06:25:15		我要買一張樂透
01:06:28:00		阿嬤, 你這麼厲害
01:06:29:23		也知道要買樂透
01:06:31:03		沒有啦
01:06:31:25		就我二兒子常常買啦
01:06:34:09		我想說買一張給他當伴手禮
01:06:38:07		那你要選幾號
01:06:40:18		我不知道
01:06:42:00	01:06:43:16	隨便啦
01:06:46:11	01:06:48:21	不然這是電腦選的, 來
01:06:51:21		這可以自己選號碼嗎
01:06:55:02		很簡單啦
01:06:56:00	01:06:57:09	來...
01:06:57:18		選六個號碼就好
01:06:59:15		不然你跟我說
01:07:00:15		我替你寫
01:07:01:26		好...
01:07:02:28		我今年八十
01:07:04:11		八十號的
01:07:05:27		我們這個只有一號到四十九號
01:07:08:13		這樣啊
01:07:09:03		要不我顛倒寫變○八好嗎
01:07:11:28		好啊...
01:07:12:18		好
01:07:13:14	01:07:16:28	我大兒子金山五十三啦
01:07:22:00	01:07:25:00	阿母, 你怎麼會在這兒
01:07:26:06		今天是幾號啊
01:07:28:15		就...
01:07:29:06		今天幾號
01:07:30:28		對, 阿母
01:07:32:08		你怎麼不在山仔那裡
01:07:34:04		沒有啦
01:07:34:29		我...
01:07:36:01		我打電話罵他
01:07:36:28		真的是
01:07:37:24		時間還沒到就把你送回來
01:07:39:18		力偉, 你怎麼沒有叫阿嬤
01:07:42:13		來... 不要玩了
01:07:43:12		來幫阿嬤把行李提去房間
01:07:45:12	01:07:48:08	來...
01:07:50:21	01:07:52:09	小心喔
01:07:53:07		山仔啊
01:07:54:14		你現在是怎樣
01:07:56:00	01:07:58:03	為什麼阿母會在我家啊
01:08:03:16		時間就還沒到
01:08:04:13	01:08:05:27	你真的...
01:08:07:05	01:08:08:18	乖
01:08:12:14		阿母來我家住的那個月是大月
01:08:15:14		這次你是小月
01:08:16:12		還差一天啦
01:08:18:01		我跟你說喔
01:08:19:10		我最近很忙
01:08:20:12	01:08:22:07	沒時間照顧啦
01:08:29:04		阿母
01:08:30:02		我幫你討一個公道回來了
01:08:31:19		山仔應該多留你住一天
01:08:33:28		等等我叫他來帶你回去
01:08:35:27		對啦... 阿母
01:08:37:22		大哥的房子比較大間
01:08:39:27		你住起來也比較舒服啦
01:08:41:23		來不及了
01:08:43:22		對了
01:08:45:13	01:08:47:02	力偉, 來
01:08:48:03		這個給你
01:08:49:08	01:08:50:22	照顧阿嬤
01:08:56:25		你電話都不接的嗎
01:08:58:11		阿母現在不見了
01:08:59:02		你都不在乎嗎
01:09:00:10		哪有可能
01:09:01:22		阿母在金海那邊啦
01:09:03:11		阿母今天應該住在誰家
01:09:05:17		我哪知道
01:09:06:24		日子都是你嫂子在算的
01:09:08:16		阿母什麼時候離開的
01:09:09:15		你都不知道
01:09:10:15		你這個大哥怎麼當的
01:09:12:13		我這個做大哥的就比較倒楣嗎
01:09:14:17	01:09:16:25	喂...
01:09:50:18		各位聽眾朋友大家好
01:09:52:16		又到了咱們的阿源報樂透的時間囉
01:09:56:04		如果有買樂透的人
01:09:57:21	01:10:00:23	趕緊把你的彩券拿在手上
01:10:02:15		我們這期的中獎號碼是
01:10:04:22		○八, 三五, 一五
01:10:09:02		四三, 四○, 二九
01:10:14:04		特別號是三八
01:10:16:01		艱苦人沒這個命
01:10:18:15		來, 沒聽清楚的朋友
01:10:20:10		阿源念慢點讓你們對一次
01:10:23:05		○八
01:10:25:18		三五
01:10:27:20		我大兒子金山五十三歲
01:10:31:23	01:10:33:07	那就三五
01:10:33:26		我二兒子金海五十一
01:10:37:21		一五
01:10:39:06		我女兒阿霞四十三
01:10:41:14		四三
01:10:43:00		我小兒子金星四十
01:10:46:15	01:10:48:12	四○
01:10:50:28		還差一個號碼喔
01:10:53:10		不然用我大孫子二九
01:10:58:17	01:11:00:14	二九
01:11:04:20		沒中的聽眾朋友也別喪志
01:11:07:00		因為阿源也買了五百塊也沒中
01:11:09:16		若是有中獎的人也別太開心
01:11:12:03		因為我們常常聽人家說中獎了
01:11:14:23		結果反而鬧得家庭不和
01:11:17:14		兄弟反目等等的故事
01:11:19:22		朋友, 要記得喔
01:11:21:11	01:11:23:13	要注意啊
01:11:38:23	01:11:40:08	力偉
01:11:40:21		你幫阿嬤打個電腦看看
01:11:43:28	01:11:47:12	中樂透頭獎要怎麼領
01:11:48:13	01:11:51:12	Siri, 中樂透頭獎怎麼領
01:11:52:03	01:11:53:20	問得好
01:11:58:15		阿嬤, 我看不懂啦
01:12:00:20		我在忙
01:12:01:27		我幫你FB給姊姊
01:12:03:24	01:12:05:28	她最愛對發票了
01:12:06:16		什麼唉佛邊
01:12:09:14	01:12:11:26	對啊, FB啊
01:12:13:17	01:12:17:13	還要放在佛邊喔
01:12:30:19		思妤... 要畫快點喔
01:12:32:17		副導在催了喔
01:12:33:15		好... 抱歉...
01:12:34:18		我幫阿銘哥哥畫一下
01:12:35:18		等一下就過去
01:12:36:27		謝謝...
01:12:38:15	01:12:42:07	演戲這種專業是非常講究的
01:12:43:02		斯坦尼斯拉夫斯基說過
01:12:46:14		要先有內心的狀態
01:12:48:27		要從內到外
01:12:52:00	01:12:55:03	再到外而內
01:12:58:05		哥哥, 你好用功
01:13:00:23	01:13:03:01	你這次演什麼角色
01:13:06:14		屍體就位
01:13:07:26	01:13:09:13	運將, 多謝喔
01:13:18:05	01:13:19:17	阿霞
01:13:20:19	01:13:21:23	阿母
01:13:23:01	01:13:24:05	阿母
01:13:26:19		這麼晚了
01:13:27:04		你怎麼一個人在外面走啦
01:13:29:10		我就肚子餓
01:13:30:16		想要買個罐頭來配薯條
01:13:33:28		二哥他們沒煮給你吃喔
01:13:36:06	01:13:37:14	沒關係啦
01:13:38:11		力偉有去買那個麥當勞
01:13:40:25	01:13:43:22	我是怕說那個是牛肉做的
01:13:53:11		阿母啊
01:13:54:25		你怎麼買這個啦
01:13:55:28		這是狗在吃的耶
01:13:57:27	01:13:59:29	怎麼可能啦
01:14:01:00		這包裝包得這麼漂亮
01:14:03:03		我只是隨便買買
01:14:05:00	01:14:08:12	哪知道台北的狗吃這麼好
01:14:10:08	01:14:11:29	阿母啊
01:14:12:28		你為了我們這些兒女
01:14:14:16		辛苦一輩子
01:14:16:15		現在他們這樣對待你
01:14:17:15	01:14:19:09	你還笑得出來
01:14:20:01		沒關係啦
01:14:21:11	01:14:23:18	「罔笑」一下就好
01:14:25:03		阿母
01:14:26:15		我們回去鄉下
01:14:27:17	01:14:30:02	不要留在這邊讓人家欺負好不好
01:14:35:00		力偉
01:14:36:08	01:14:37:18	力偉
01:14:38:03		你怎麼打這個
01:14:40:14		中樂透頭獎怎麼領
01:14:42:08		你有買喔
01:14:44:05	01:14:46:16	阿嬤叫我查的啦
01:14:48:07	01:14:50:14	阿嬤叫你查的
01:14:52:05		阿母來的時候
01:14:53:17	01:14:55:20	好像有拿一個紅包袋耶
01:14:58:26		那阿母呢
01:15:00:16	01:15:01:28	阿母...
01:16:16:13	01:16:18:16	阿母現在在哪兒
01:16:20:16	01:16:23:01	她走路有駝背嗎
01:16:24:07		有喔
01:16:25:17		有駝背喔
01:16:26:28		有多駝
01:16:27:20	01:16:28:13	有多駝
01:16:33:04		差不多這樣
01:16:35:06		對啦...
01:16:36:26		是阿母...
01:16:38:02	01:16:39:29	但是阿母去哪裡了
01:16:41:06	01:16:43:28	據傳出說這個樂透獎的得主
01:16:48:03	01:16:50:26	現在全台灣掀起了一股
01:16:53:02		根據瞭解
01:16:54:06		這一次頭獎的這個得主
01:16:57:00	01:16:59:19	好像就是記者旁邊這名男子的媽媽
01:17:05:01		不是...沒有...
01:17:05:26	01:17:06:27	你不要亂講喔
01:17:07:16	01:17:08:25	這張是假的啊
01:17:09:26		你收錢的時候不會看清楚啊
01:17:11:17		沒有... 沒有得...
01:17:12:28	01:17:13:27	得頭獎會不會分給你們
01:17:15:24		你不要亂講喔
01:17:16:09		錢會怎麼做分配呢
01:17:17:24	01:17:19:00	不...
01:17:26:03	01:17:27:12	走了...
01:17:32:21	01:17:34:09	阿母呢
01:17:36:10		難道是阿霞嗎
01:17:38:01	01:17:39:16	快, 準備行李
01:17:42:05		對了
01:17:43:02	01:17:44:28	阿母她最疼誰
01:17:53:23	01:17:54:07	哥
01:17:55:08		哥, 快點
01:17:57:14		快起來...
01:17:58:27		收工了啦
01:18:00:10		不行
01:18:01:13		導演還沒喊卡
01:18:02:18		你爸爸打電話給你啦
01:18:04:27		快起來, 快點
01:18:06:11		我爸打給我
01:18:07:09		對啊
01:18:08:01	01:18:09:22	怎麼可能
01:18:10:14		三年前我媽過世
01:18:11:23		他都沒打給我
01:18:14:04	01:18:15:18	你看
01:18:17:14	01:18:19:23	速回鄉下
01:18:20:14	01:18:22:23	有急素
01:18:58:28		觀音佛祖啊
01:19:00:29	01:19:03:11	信女罔笑啦
01:19:04:06		自從我老伴過世後
01:19:07:06		那些子孫過年時
01:19:09:17		都沒怎麼想要回來古厝
01:19:12:11		我是希望說四散的那些兄弟
01:19:16:12		可以回來家裡
01:19:17:17		大家團圓一下
01:19:20:03		我也沒什麼時間了
01:19:22:25	01:19:25:04	沒辦法再看顧他們
01:19:25:29	01:19:29:04	這是我唯一的心願啦
01:19:41:13		我中這個樂透
01:19:43:26		不知道會不會害他們兄弟鬩牆
01:19:46:27		請佛祖給我指示
01:19:50:05		如果要讓他們知道
01:19:52:00	01:19:54:14	給我一個聖筊
01:19:57:16	01:19:59:04	笑筊喔
01:20:07:00	01:20:09:07	怎麼又是笑筊
01:20:10:02	01:20:11:29	罔笑嬸啊
01:20:13:19		平時看你都笑咪咪的
01:20:15:10	01:20:18:15	今天怎麼愁眉苦臉
01:20:19:08		沒有啦
01:20:20:16		佛祖一直笑
01:20:22:05		我也不知道什麼意思耶
01:20:24:18		這樣啊
01:20:26:04		不然這樣
01:20:26:22		你去抽一支籤
01:20:28:08		我幫你看看佛祖是什麼指示
01:20:30:11		這樣好嗎
01:20:32:13	01:20:34:26	好... 好啦
01:20:39:04		國運
01:20:40:01	01:20:43:06	這支籤是什麼意思
01:20:49:12	01:20:51:23	會家破人亡
01:20:53:08		那要怎麼辦
01:20:55:21		沒關係啦
01:20:57:04		好在今天有我國運在這裡
01:20:59:27	01:21:01:27	我幫你改運改看看
01:21:03:21		是說罔笑嬸
01:21:05:24		你最近是不是有什麼橫財
01:21:09:01	01:21:10:23	橫財
01:21:15:27		這個啦...
01:21:16:22		快點幫我改一改
01:21:18:09	01:21:19:17	改一改
01:21:27:14		好, 我來寫一張符
01:21:30:20	01:21:32:10	把這張彩券封起來
01:21:38:00		這裡有一張平安符
01:21:39:23		是要給你壓驚保平安的
01:21:42:04		你先拿去那裡過個爐
01:21:44:26	01:21:45:25	好
01:22:03:03		我已經把彩券的煞氣
01:22:04:27		封在這張符裡
01:22:07:07		拿回去之後
01:22:07:29		二十四小時都不能打開
01:22:10:12	01:22:13:06	藥效二十四小時
01:22:14:06		還有
01:22:15:25	01:22:18:12	千萬不可以跟任何人講
01:22:19:07	01:22:23:22	這樣才能福傳子孫, 富三代
01:22:27:15		難怪佛祖會這樣一直笑
01:22:30:15	01:22:34:01	就是要叫我要笑二十四小時喔
01:22:37:26		來, 我們現在來排練一下
01:22:40:11		來, 聽我的口令喔
01:22:41:12		來...
01:22:42:16		一二三
01:22:44:04		二二三
01:22:45:22		三二三
01:22:47:05	01:22:48:04	漂亮
01:22:49:28		停... 他們回來了啦
01:22:51:13	01:22:52:25	停啦
01:22:53:13	01:22:55:03	等一下再拿就好了啦
01:22:56:22	01:22:58:23	快點... 阿母來了
01:23:00:09		阿爸, 請原諒兒子不孝
01:23:03:06		這麼久都沒回來看您
01:23:05:03		您要保佑
01:23:06:14		保佑我們
01:23:07:16		快點啦
01:23:08:02	01:23:09:25	我會好好孝順阿母啦
01:23:11:05	01:23:13:06	阿母...
01:23:24:26		快, 快出去啦
01:23:26:01		快...
01:23:26:28		力偉
01:23:27:13		阿母...
01:23:28:29		快點...
01:23:29:18		阿母...
01:23:32:05	01:23:34:12	你們怎麼都在這裡
01:23:35:20	01:23:36:22	阿母啊
01:23:37:20		阿爸有託夢給我
01:23:39:05		說祖墳有漏水
01:23:42:13		住得不舒服
01:23:43:21	01:23:46:13	所以就特地回來掃墓啦
01:23:47:18	01:23:49:20	是這樣喔
01:23:51:13		山仔, 你呢
01:23:53:02	01:23:54:08	我
01:23:56:28		阿爸也有託夢給我
01:23:58:24		說他那裡很熱
01:24:00:10		我想說回來燒一台冷氣給阿爸
01:24:03:02		亂講
01:24:04:13	01:24:06:20	大過年怎麼會熱
01:24:09:25		阿母啊
01:24:11:02		你走那麼久一定很累了
01:24:12:25		來, 力偉
01:24:14:04		扶阿嬤進去休息
01:24:15:22		來...
01:24:16:19		把阿嬤扶好喔
01:24:17:21		小心, 來
01:24:18:18		慢慢走
01:24:19:05		有門檻
01:24:19:28		要小心
01:24:21:06		阿母
01:24:22:00		拜祖先要長子先拜嘛
01:24:24:28		沒有, 先來的先拜
01:24:26:29		在講什麼
01:24:28:14	01:24:29:17	哪有這樣
01:24:32:17		這水果我們買的耶
01:24:34:07	01:24:36:29	借拜一下是會怎麼樣嗎
01:24:38:26	01:24:40:29	你們在這裡幹嘛
01:24:54:24	01:24:56:27	阿母, 這塊給你
01:25:02:16		阿霞
01:25:04:04		手機一直響
01:25:05:29		你怎麼不接
01:25:07:19		我...
01:25:09:16	01:25:11:03	快接...
01:25:13:18	01:25:15:25	我現在不想要跟你講啦
01:25:17:10	01:25:18:25	要離你就離啊
01:25:19:18		房子你要就拿去啦
01:25:21:09		反正我連死都沒在怕了
01:25:22:13	01:25:24:03	還有什麼好怕的
01:25:26:11		大嫂
01:25:27:23	01:25:29:26	你這胎胖不少喔
01:25:30:20		我是因為懷孕才胖
01:25:32:28	01:25:36:12	不像有人從一出生就是胖
01:25:37:06		力偉, 來
01:25:38:11	01:25:39:17	快點
01:25:40:14		來, 這菜拿去給阿嬤吃
01:25:43:07	01:25:44:27	快點...
01:25:45:17		阿嬤, 這菜給你吃
01:25:48:02		好, 乖...
01:25:49:03	01:25:50:16	放著就好
01:25:51:09	01:25:52:20	阿母...
01:25:53:12		阿母
01:25:54:15		醫生說我這胎是男生耶
01:25:57:26	01:26:01:06	以後阿母就多一個金孫了喔
01:26:03:01		對了
01:26:03:24	01:26:05:11	阿銘呢
01:26:05:27		我哪知道
01:26:07:04		他自己住外面
01:26:09:06		平常很少回來
01:26:11:01		書讀那麼高不知道要幹嘛
01:26:13:00		現在跟人搞什麼藝術啦
01:26:15:02	01:26:18:06	藝術是可以當飯吃嗎
01:26:19:06		沒關係...
01:26:21:12		我這胎醫生說頭尖尖
01:26:24:26	01:26:27:19	將來一定很會賺錢
01:26:28:27		大嫂, 你會不會想太遠
01:26:31:15		孩子都還沒生
01:26:32:23		你就知道他會賺很多錢
01:26:35:05		再怎麼說
01:26:36:08	01:26:40:14	阿銘才是正港的大孫
01:26:41:26		講到阿銘
01:26:43:15		我從小帶到大的
01:26:46:05		我也很擔心
01:26:48:00		要三十歲了
01:26:49:10		到現在還沒結婚
01:26:51:13		我想說
01:26:52:07	01:26:55:06	我的手尾錢都留給他好了
01:27:09:26		我爸
01:27:10:15		你幫我接一下啦
01:27:11:19		不要啦, 那是你爸啦
01:27:14:03		你大伯, 你比較熟啦
01:27:15:21	01:27:17:26	不要, 你就直接進去
01:27:21:06		阿銘, 你怎麼會來
01:27:24:18	01:27:25:27	阿嬤
01:27:33:09		阿銘
01:27:34:15		你不是說很久沒看到阿嬤
01:27:36:10		很想她
01:27:37:02		來啊... 快點
01:27:37:24		來坐阿嬤的旁邊
01:27:39:15	01:27:41:01	是啦...
01:27:41:15		阿銘啊
01:27:42:17		我打好多通電話找你
01:27:44:21		都找不到你
01:27:45:28		害我多擔心
01:27:47:23		來... 快來坐阿嬤旁邊
01:27:49:20		來...
01:27:50:13		阿嬤
01:27:51:00		坐這邊...
01:27:51:28		這裡坐...
01:27:54:06		來...
01:27:55:11		來, 東西放著
01:27:56:29		吃飯...
01:27:57:21		這碗先給你
01:27:58:08		我都還沒動的
01:27:59:04		來...
01:27:59:24		思妤
01:28:01:07	01:28:03:19	來... 來阿嬤這兒
01:28:04:25		你也是從小阿嬤帶大的
01:28:07:28		以後阿嬤會留一些錢
01:28:09:24		給你當嫁妝
01:28:11:15	01:28:13:09	阿嬤, 謝謝
01:28:14:17		思妤, 來...
01:28:15:16		坐這裡...
01:28:16:13		阿嬤很想你
01:28:17:20		來, 你起來...
01:28:19:21		來, 坐這裡
01:28:20:26		陪阿嬤吃飯
01:28:22:02	01:28:23:04	我幫你添飯
01:28:23:19	01:28:24:24	不用, 我...
01:28:25:17		阿爸也捨不得讓你嫁出去
01:28:28:15	01:28:30:08	對吧, 阿母
01:28:30:26	01:28:32:10	吃飯...
01:28:34:04		阿嬤, 我來就好了
01:28:34:29	01:28:36:08	謝謝...
01:28:49:16		佛祖保佑
01:28:51:28		這張符真靈驗
01:28:54:19	01:28:57:04	子孫都回來了
01:29:04:26		還差一個還沒回來
01:29:07:01		媽, 你怎麼不回來過年
01:29:09:27		媽媽不回去啦
01:29:11:17		媽媽在這邊陪你阿嬤
01:29:13:13		你自己照顧自己
01:29:15:08	01:29:17:25	那你紅包記得用匯的給我喔
01:29:28:27	01:29:31:00	阿母, 你有沒有怎麼樣
01:29:32:04		沒事啦
01:29:33:25		臉盆掉下去而已
01:29:35:06	01:29:36:23	撿起來就好
01:29:41:13		你人不舒服喔
01:29:43:03		不知道為什麼
01:29:44:16		胸口稍微悶悶的而已
01:29:46:15	01:29:48:16	休息一下就好了
01:29:49:06		我沒怎麼樣啦
01:29:50:21	01:29:53:08	你不要跟他們說
01:29:54:22	01:29:56:10	對了
01:29:57:17		你打個電話給阿星
01:30:00:05	01:30:01:21	阿星
01:30:08:11	01:30:10:12	阿母, 你先休息
01:30:16:27		喂
01:30:18:02		阿星喔
01:30:19:09		我姊姊啦
01:30:20:22	01:30:23:12	阿母最近身體不太舒服
01:30:24:01		我的眼皮也一直跳
01:30:25:29		不知道阿母會發生什麼事情
01:30:28:11		你很久沒回來了
01:30:29:21	01:30:31:09	快回來一趟好不好
01:30:32:23	01:30:34:15	可愛
01:30:35:25		阿母
01:30:37:04		你們來了喔
01:30:38:01	01:30:39:16	你在看相片喔
01:30:40:05		腳會痠嗎
01:30:40:27	01:30:42:13	我幫你按摩
01:30:43:11		阿母
01:30:44:11		昨天你來我家
01:30:45:24	01:30:48:05	不是有要拿什麼東西給我
01:30:49:22		就是你姨婆拿一些水果來
01:30:52:25		說今年收成很好, 價錢很差
01:30:55:12	01:30:57:08	不是啦
01:30:59:26		不是啦, 阿母
01:31:01:22		你來的時候
01:31:03:07		不是有拿一個紅包袋出來
01:31:05:22		是啊, 阿母
01:31:07:09	01:31:10:17	那個不是放彩券的紅包袋嗎
01:31:13:25	01:31:16:01	你有中喔
01:31:24:00	01:31:26:05	你是說這個喔
01:31:42:04		沒中
01:31:44:12	01:31:46:28	怎麼可能會沒中
01:32:00:16		阿母, 我還有事要忙
01:32:04:03	01:32:06:00	我先走了
01:32:09:02	01:32:10:26	這...
01:32:29:16	01:32:31:16	阿銘, 怎麼都不接電話
01:32:34:11		阿嬤
01:32:35:27		阿銘, 你回來了
01:32:37:28		來... 快來吃飯
01:32:39:09	01:32:41:07	我一直打電話給你耶
01:32:47:06		阿銘, 你不是說很久沒回來
01:32:49:01		很想阿嬤
01:32:49:18	01:32:51:11	要回來看她
01:32:52:15		所以說
01:32:54:04		你爸爸到底找你回來幹嘛
01:32:57:28		我哪知
01:32:59:08		後來他也沒來找我
01:33:01:02		不過根據我們剛剛這樣推敲
01:33:04:02		應該想利用我大孫的身分
01:33:06:10		分財產
01:33:08:09		怎麼這樣
01:33:09:24		阿嬤又沒有怎樣
01:33:11:04	01:33:13:01	他們很過分
01:33:13:14	01:33:16:03	你那個繼母很噁心
01:33:16:19		沒差啦
01:33:18:09		我都長這麼大了
01:33:20:11	01:33:22:17	反正有阿嬤養我就好
01:33:24:06		我就隨便跟我爸分筆錢
01:33:26:19		我就要去攻佔好萊塢
01:33:29:08		哥哥, 你帶我去
01:33:31:26		這樣我就不用在家裡
01:33:33:12		當我弟的女傭
01:33:35:17	01:33:37:26	超沒存在感
01:33:40:07		是誰
01:33:41:11		是誰
01:33:42:17		誰在跟我說話
01:33:43:24	01:33:45:27	在這兒啦
01:33:49:26		阿嬤
01:33:50:11		阿嬤
01:33:51:19		你們兩個在這裡睡
01:33:53:04		這樣會冷到啦
01:33:54:27	01:33:57:25	要不然跟阿嬤一起睡好嗎
01:33:58:19		阿嬤, 沒關係啦
01:34:00:07		我們都晚睡
01:34:01:12	01:34:03:11	怕會吵到你
01:34:04:20		你喔
01:34:06:06		快三十歲了
01:34:07:18		還沒要娶老婆
01:34:08:29	01:34:11:05	阿嬤很擔心
01:34:12:21	01:34:13:23	來
01:34:14:21		這個是你阿祖留下來的
01:34:17:06	01:34:20:12	要給你娶老婆用的戒指
01:34:22:07		阿嬤
01:34:23:17		現代人哪有人在戴金戒指的
01:34:26:13		很土耶
01:34:28:03		而且我又沒有要結婚
01:34:30:08		我不是普通人
01:34:31:27		還要做大事業
01:34:34:10		不是普通人
01:34:35:20		也是要結婚生子
01:34:38:01		萬一哪一天阿嬤如果不在了
01:34:40:12	01:34:43:03	祖先牌位也是要你拜
01:34:44:12		阿嬤, 你都偏心
01:34:48:02		我都沒有喔
01:34:50:04		你喔
01:34:51:01	01:34:53:21	你也有啦
01:34:55:09		阿嬤, 不用啦
01:34:57:09		我...
01:34:58:14		來
01:34:59:10		這是阿嬤當初嫁來的嫁妝
01:35:02:11		你出生的時候
01:35:03:21		阿嬤就想要給你當嫁妝的
01:35:05:26		來, 收起來
01:35:08:16	01:35:10:15	阿嬤
01:35:11:19	01:35:13:25	阿嬤, 謝謝
01:35:15:04		還是我的阿嬤對我最好
01:35:19:04		不像我爸媽
01:35:21:04		偏心力偉
01:35:23:05		超重男輕女的
01:35:26:06		好了...
