01:00:03:02	01:00:04:05	我喔
01:03:06:20		記得回我電話喔
01:03:08:20	01:03:09:27	拜拜
01:03:16:24		喂
01:03:17:15		方太太
01:03:18:17	01:03:20:02	不... 是方小姐
01:03:20:22		你是誰啊
01:03:22:00		我緣起不滅的林木榮啦
01:03:24:00		跟您報告一下
01:03:24:27		在我們精挑細選
01:03:26:09		層層過濾之下
01:03:27:26		我保證這次的對象
01:03:29:02		您一定會喜歡
01:03:30:24		我相信絕對是萬中選一
01:03:33:06	01:03:34:28	天作之合啊
01:03:36:21		到時候見囉
01:03:37:21	01:03:39:06	拜拜
01:03:49:05		很高興大家在這個百忙之中
01:03:51:00		抽出寶貴的時間
01:03:52:04		來參加我們這個活動
01:03:53:13		那我現在來為大家介紹一下
01:03:55:06		張先生, 這是我們方玉燕小姐
01:03:58:03	01:03:59:06	你好
01:03:59:19		方小姐, 這是我們張南成先生
01:04:01:27		你好
01:04:03:06		旁邊的是婷婷跟衛楷吧
01:04:04:26		你們要不要自我介紹一下
01:04:06:09	01:04:07:16	你好
01:04:09:23	01:04:11:14	不好意思, 我接個電話
01:04:18:11		沒關係, 婷婷小姐先去忙
01:04:20:04	01:04:22:22	那衛楷要不要先自我介紹一下
01:04:24:20		我兒子不太會講話
01:04:25:21	01:04:27:24	讓我來為他介紹好了
01:04:28:07		那我也幫我女兒介紹一下
01:04:30:13	01:04:32:01	大家看過來...
01:04:32:29		這張是我女兒
01:04:34:01		得全校演講比賽第一名的照片
01:04:36:07		當然還有很多啦
01:04:37:01	01:04:40:04	心算, 圍棋還有跆拳道
01:04:40:14		這一面
01:04:41:29		北一女
01:04:43:01		這邊就是台大
01:04:44:21		從小到大她沒有補過習喔
01:04:48:15	01:04:50:15	滿厲害的嘛
01:04:51:02		當然了
01:04:51:25		我女兒學歷高, 工作能力強
01:04:55:20		本來很多人追她的
01:04:57:27		但後來越來越沒人追了
01:05:00:02	01:05:01:11	為什麼
01:05:02:10		因為男生看到她收入這麼高
01:05:04:27		自慚形穢
01:05:06:00	01:05:08:25	覺得配不上她就不敢追了嘛
01:05:10:09		我兒子非常優秀
01:05:12:15		程式設計師
01:05:14:02		工作好, 收入豐厚
01:05:16:18		很好
01:05:17:08		那你兒子名下有房產嗎
01:05:20:18		租的還是買的
01:05:22:06		幾坪
01:05:23:13		貸款還清了嗎
01:05:25:19		兩間
01:05:27:13	01:05:31:25	兩間房子貸款都還清了
01:05:32:20		兩間啊
01:05:34:08		那將來結婚就沒有什麼煩惱了
01:05:38:08	01:05:43:01	那你兒子有什麼股票和基金嗎
01:05:44:27		兩位的子女既然都這麼優秀
01:05:47:02		那不如來參加我們緣起不滅的
01:05:49:14		郵輪菁英聯誼活動
01:05:51:00		相信經過四天三夜的相處
01:05:53:12	01:05:55:28	兩位一定有更進一步的認識
01:05:58:09		一個人三萬
01:05:59:28		太貴了吧
01:06:01:19		張先生
01:06:03:02		兒女的幸福是無價的喔
01:06:05:10		而且我們船上的菁英份子
01:06:06:29		都是來自四面八方
01:06:08:11	01:06:10:23	經過我們精挑細選的喔
01:06:13:17	01:06:15:00	那我可以參加嗎
01:06:16:22		當然可以啊
01:06:18:00		父母同行還有超值大禮
01:06:22:07	01:06:23:15	什麼
01:06:26:07		你在搞什麼啊
01:06:28:13	01:06:30:24	都要開幕了你東西還沒有出來
01:06:32:08		我不管你用什麼方法
01:06:33:25		明天早上以前我要看到東西
01:06:35:25	01:06:37:22	不然你就等著別人接替你的位子
01:06:38:25		兩位不要再考慮了
01:06:40:01		機會非常的難得
01:06:41:10		而且我們的船上
01:06:42:24		不僅只有醫師, 律師, 老師
01:06:44:14		還有工程師, 風水師跟禮儀師
01:06:46:14		什麼師都有, 應有盡有啊
01:06:48:21	01:06:50:16	醫師, 律師
01:06:51:14	01:06:53:22	我們參加...
01:06:59:18		我可不可以不要去啊
01:07:01:04		我們也參加
01:07:02:24		沒問題
01:07:03:25		我馬上為兩位來安排
01:07:05:24	01:07:07:10	不... 是四位
01:07:27:04	01:07:28:21	我跟你講喔
01:07:29:12	01:07:31:13	你這次再搞砸試試看
01:07:32:08		這個女的條件很不錯
01:07:33:12	01:07:35:20	你要好好把握, 知不知道
01:07:37:13	01:07:38:26	知不知道
01:07:50:08		婷婷, 你走慢一點
01:07:51:22		別走那麼快嘛
01:07:53:22		爸
01:07:54:22		你也看到我工作這麼忙了
01:07:56:21		你還要我去搭郵輪
01:07:58:14		你都幾歲的人了
01:07:59:16		工作能夠陪你一輩子嗎
01:08:01:10		哪天你生病了
01:08:02:22		老闆還會記得你
01:08:04:02		到你家來照顧你
01:08:05:18		況且船上有這麼多
01:08:06:27		醫師, 律師, 工程師
01:08:08:14	01:08:09:20	爸
01:08:10:05	01:08:12:13	我可不可以不要再相親了
01:08:16:25		你就別再接了
01:08:18:08	01:08:20:07	就聽我一次好不好
01:08:37:22		來...
01:08:38:17		緣起不滅
01:08:39:17		郵輪菁英聯誼活動的團員們
01:08:42:09	01:08:44:20	大家來這裡集合
01:08:47:02		你停車位找到了沒有
01:08:49:23		剛剛公司的人才打電話來跟我說
01:08:52:00		明天的活動主辦人她出車禍了
01:08:54:10	01:08:56:08	他們要我現在趕回公司處理
01:08:56:29		那怎麼辦啊
01:08:58:12		你公司沒有其他人啦
01:09:00:09		我錢都付了你才說不來
01:09:02:04		爸, 對不起啦
01:09:04:14		不然這樣
01:09:05:02		你看錢能不能退
01:09:06:03		如果不能退的話我幫你出
01:09:08:23		你就當放自己一個假
01:09:10:07	01:09:11:14	好好去玩
01:09:12:17	01:09:15:01	喂...
01:09:16:04	01:09:17:24	掛我電話
01:09:43:18		真的不能退費啊
01:09:45:04		真的沒辦法, 張爸
01:09:46:00		連一個都不能退
01:09:47:07		真的不行
01:09:48:04		我小本經營
01:09:49:04		你看
01:09:49:25		我都只有錢做這麼小的旗子
01:09:51:11		林老闆, 我兒子不來了
01:09:52:17		所以我不參加, 我回去了
01:09:55:05		你錢都不要啦
01:09:56:20		你和我一起爭取退費怎麼樣
01:09:58:18		不用了... 這個錢我不要了
01:10:00:03		我要回去了
01:10:01:13		一個三萬
01:10:02:23		兩個就六萬
01:10:04:11	01:10:05:21	你都不要
01:10:07:22		兩位...
01:10:08:23		兩位聽我說
01:10:09:28		既然你們的小孩都不去的話
01:10:12:11		那不如就兩位代替他們上船去
01:10:15:24		就當作替他們相親嘛
01:10:17:19	01:10:19:04	也當作度假囉
01:10:20:11		各位緣起不滅的團員們
01:10:22:28		美好的時光要來囉
01:10:24:07		我們趕快上船去囉
01:10:25:19	01:10:28:06	跟我來...
01:10:37:16	01:10:39:06	歡迎登船...
01:11:04:12		所以你兒子喜歡身材好的女生
01:11:08:02		對, 互補啦...
01:11:11:03		那是你們父子倆在想
01:11:13:09		能幫我們找到比較重要啦
01:11:16:11	01:11:17:24	不要想那麼多
01:11:19:17		你對你女兒對象的條件
01:11:21:02		有什麼意見嗎
01:11:22:13		沒有意見
01:11:24:03		我女兒長得這麼漂亮
01:11:26:07		要挑
01:11:27:09		當然是要挑好一點的
01:11:29:09	01:11:31:24	至少像我這個樣子
01:12:18:23	01:12:21:03	你終於願意接電話了
01:12:21:24		你還要不要我這個老媽
01:12:23:20		媽, 對不起
01:12:26:14	01:12:28:06	什麼對不起啊
01:12:29:07		你每天那麼難過的樣子
01:12:30:28		我看了心裡有多難過
01:12:32:04		你知不知道
01:12:33:09	01:12:34:26	你到底要我怎麼做嘛
01:12:35:13		媽, 我現在只想一個人
01:12:38:06	01:12:39:17	不想再談戀愛
01:12:40:13		誰沒失戀過
01:12:42:06	01:12:43:26	有這麼嚴重嗎
01:12:45:06		你有我慘嗎
01:12:47:02		當初你爸怎麼對我
01:12:48:07		你又不是沒看到
01:12:49:24	01:12:51:23	我現在活得還不是好好的
01:12:53:14		你幹嘛又提他
01:12:54:22	01:12:56:16	我為什麼不能提他
01:12:58:00		你等一下
01:12:58:22		誰
01:12:59:25		方小姐, 導覽時間到了
01:13:02:10	01:13:03:18	你等一下
01:13:04:05	01:13:06:02	這筆帳回去再跟你算
01:13:08:07	01:13:09:18	來了
01:13:12:28		各位, 我們剛經過的是
01:13:14:21		七樓大廳的服務台
01:13:16:18		如果你們有任何疑難雜症
01:13:18:16		都可以到那邊去處理掉
01:13:20:18		這艘船一共分為三個部分
01:13:22:20		一共是船頭, 船中跟船尾
01:13:25:13		我們現在來到這個地方
01:13:26:19		是船尾的部分
01:13:28:03		就像大家看到的
01:13:29:00		我們後面有很可愛, 很好看的
01:13:31:04		大海跟藍天
01:13:32:17		以後有空可以常常上來這裡
01:13:35:11		跟大家介紹一下
01:13:36:24		這是我們吉祥物夏琳
01:13:38:22		大家有空可以跟他拍個合照
01:13:40:19		作紀念
01:13:41:27		來, 兩位, 笑一下
01:13:43:16	01:13:45:19	好可愛, 好好看
01:13:46:10		每個人都有機會拍到
01:13:47:11	01:13:48:22	不用急...
01:13:49:15		大家跟著我來
01:13:50:11		繼續往前走
01:13:51:28		我們現在這個地方
01:13:52:29		是九樓的游泳池
01:13:54:22		大家有空的時候
01:13:55:13		可以來這邊躺在躺椅上
01:13:57:10		看看藍天白雲
01:13:58:29		輕鬆又自在, 逍遙又舒服
01:14:01:16		接下來我們往前走
01:14:03:12		前面是我們這個中式餐廳
01:14:06:09	01:14:08:00	來... 跟我走...
01:14:08:15		好, 這邊就是我剛剛前面講的
01:14:10:21		中式餐廳
01:14:12:05		這裡主要是吃合菜
01:14:14:04		一共有早午晚三餐
01:14:15:29		統統都是免費供應的
01:14:18:27		我剛剛忘了說
01:14:20:06		十二樓還有桑拿跟按摩池
01:14:23:04		大家有空可以去體驗一下
01:14:25:08	01:14:28:27	泰式按摩跟腳底按摩
01:14:30:13		按摩是免費的嗎
01:14:32:10	01:14:34:01	當然要付費
01:14:34:14		不過還是可以去體驗看看
01:14:36:00		這樣啊
01:14:36:29		各位...
01:14:38:27		其實我也是一個推拿師
01:14:41:13		如果有團員想要體驗的話
01:14:43:26	01:14:45:06	可以找我
01:14:45:26		我這邊有名片
01:14:47:01		絕對可以打折
01:14:48:17	01:14:50:14	絕對比船上要便宜
01:14:51:16		打折
01:14:52:23	01:14:54:23	不滿意可以退費
01:14:55:10		不像某些相親團
01:14:57:08		不滿意還不能退費
01:14:59:11	01:15:01:06	也不打折的
01:15:04:26	01:15:05:26	來找我啊
01:15:14:22		各位美麗俊俏的團員們
01:15:16:07		大家好
01:15:17:00		好
01:15:18:18		很高興大家上船來參加
01:15:20:12		我們緣起不滅的
01:15:21:28		郵輪菁英聯誼活動
01:15:24:22		我是林木榮
01:15:26:18		很高興大家來這裡
01:15:27:26		那我們廢話不多說
01:15:29:13		待會兒馬上來開始我們的暖身活動
01:15:32:24		換桌遊戲
01:15:34:10		換桌遊戲有沒有玩過
01:15:35:18		有
01:15:37:13	01:15:38:22	換桌遊戲
01:15:39:18	01:15:41:08	那是什麼遊戲啊
01:15:41:22		我先跟大家介紹一下
01:15:43:03		我們兩位特別來賓
01:15:44:28		這兩位
01:15:45:28		是這一次特別代替他們的小孩
01:15:48:25		來參加這個活動
01:15:50:13		張爸, 方媽
01:15:52:06		請起立
01:15:53:03		讓我們用熱烈的掌聲
01:15:54:08	01:15:55:29	來歡迎他們
01:15:59:19		好, 那接下來
01:16:01:08	01:16:03:24	就開始我們的換桌遊戲了
01:16:10:01	01:16:11:18	預備
01:16:12:05	01:16:13:25	開始
01:16:14:09		你是醫生啊
01:16:15:18		好年輕啊, 你好...
01:16:18:25		我也是醫生
01:16:19:28		不過我是中醫
01:16:21:16		有空可以到我們中藥行來聊一聊
01:16:23:23	01:16:25:29	我免費幫你推拿
01:16:27:01		不管是中醫或西醫
01:16:28:16		只要會救人
01:16:30:02	01:16:31:24	就是一家人嘛
01:16:32:26	01:16:34:25	好... 青年才俊
01:16:36:21	01:16:37:20	你好
01:16:39:03	01:16:41:04	請問一下你在哪裡高就
01:16:41:27		目前待業中
01:16:43:08	01:16:45:17	正準備在公務員考試
01:16:46:27	01:16:48:06	待業中
01:16:49:03	01:16:50:19	你考了幾年啊
01:16:51:05	01:16:52:14	七年了
01:16:55:11	01:16:56:16	七年了
01:16:57:23		你等一下, 我幫你拍張照
01:17:00:08	01:17:01:24	好給我兒子看一下
01:17:03:27	01:17:05:04	笑一下
01:17:06:08	01:17:07:26	好, 謝謝
01:17:09:03	01:17:12:19	請問你父母都還健在嗎
01:17:14:27	01:17:16:01	還在...
01:17:17:28		你好
01:17:19:19		我沒有冒犯的意思
01:17:21:14		我可以問你
01:17:23:07	01:17:24:26	你交過幾個男朋友嗎
01:17:27:17	01:17:31:09	一, 二, 三
01:17:32:19	01:17:34:14	我也不記得耶
01:17:38:24	01:17:40:05	謝謝
01:17:45:25		你這個脈象
01:17:48:07	01:17:50:24	看起來似乎腎不太好喔
01:17:53:01		男人啊
01:17:54:06		全部的精氣神
01:17:55:18		就在那一顆腎裡面
01:17:57:20	01:18:00:23	腎不好, 婚姻很難幸福喔
01:18:01:18		有空一定要來找我
01:18:03:14	01:18:06:06	我抓幾帖藥幫你補一補
01:18:07:12	01:18:08:21	糟糕...
01:18:11:09	01:18:12:16	你好
01:18:13:07		你會不會做菜啊
01:18:15:01		不會沒關係
01:18:16:20		我兒子喜歡吃獅子頭
01:18:18:02	01:18:19:19	我可以教你做
01:18:26:07	01:18:27:17	拍張照, 等一下喔
01:18:30:16	01:18:31:16	好
01:18:34:09	01:18:36:04	遊戲結束
01:18:36:18		現在來到我們最重要的配對時刻
01:18:39:26		請現場的男士們
01:18:41:05		將你手中的玫瑰花
01:18:42:20		親手交給你想要認識的對象
01:18:45:12		然後一起去吃個浪漫的晚餐
01:18:48:19		互相深入地瞭解一下
01:18:50:25	01:18:52:14	開始行動
01:18:54:02	01:18:55:24	男士們動作要快喔
01:18:58:11		快...
01:19:00:05		動作慢
01:19:01:08		你心儀的對象
01:19:02:13	01:19:04:12	就會被人家追走囉
01:19:20:23	01:19:22:10	來... 這...
01:19:27:11	01:19:28:25	這麼多人啊
01:19:30:12		我不在這裡吃
01:19:31:00	01:19:32:05	我要去隔壁吃
01:19:33:00		隔壁要自己付費, 這裡不用
01:19:35:02		排一下馬上就輪到了嘛
01:19:36:16	01:19:37:23	再排一下...
01:19:38:19		吃飯還要等喔
01:19:40:12	01:19:41:27	會不會太命苦了啊
01:19:42:10		而且我不習慣這麼多人
01:19:44:14		要等你自己慢慢等
01:19:45:27		我要去隔壁吃了
01:19:47:22	01:19:49:05	這...
01:20:03:04	01:20:04:27	這一碗你吃得飽嗎
01:20:05:21	01:20:06:27	吃得飽
01:20:08:14		細嚼慢嚥
01:20:09:26		再加上一點想像力
01:20:12:07	01:20:13:22	一定吃得飽
01:20:21:21	01:20:24:24	你這盤生魚片看起來不錯
01:20:25:22	01:20:28:01	不過一盤八百塊
01:20:29:07	01:20:30:23	太貴了吧
01:20:31:23	01:20:32:27	還好吧
01:20:34:14	01:20:37:19	偶爾對自己好一點不為過
01:20:38:26		看你這臉色
01:20:39:28	01:20:42:20	吃那麼生的是不是不太好啊
01:20:43:17	01:20:45:09	我的臉色怎麼樣
01:20:48:22		看你氣血不順
01:20:50:18		皮膚粗又乾燥
01:20:52:20	01:20:56:06	你胃不好, 是不是
01:20:57:02		你怎麼知道
01:20:58:03		是吧
01:20:59:20		我幫人看病看了幾十年
01:21:01:04		一看氣色我就知道
01:21:02:16		你這是脾胃虛寒
01:21:04:25		只要用乾薑, 大棗, 黃耆
01:21:07:27		這些藥材一補下去
01:21:10:03		保證你容光煥發
01:21:12:04		連更年期失調都不用怕了
01:21:14:03	01:21:16:11	來... 我幫你把個脈
01:21:16:20	01:21:18:06	你幹什麼你啊
01:21:20:14		我跟你說
01:21:21:13	01:21:23:14	中藥太苦了, 我不習慣
01:21:23:29	01:21:25:14	中藥太苦了
01:21:25:27	01:21:28:18	你是看西醫那一掛的對不對
01:21:29:28		吃西藥容易有副作用
01:21:31:26		一點都不天然
01:21:33:03		我跟你講, 相信我
01:21:34:21		藥越苦, 病越快治好
01:21:38:05		回台北我幫你看
01:21:39:10		我幫你打折
01:21:40:18	01:21:42:06	打這個...
01:21:43:13	01:21:44:23	八折, 怎麼樣
01:21:46:12		張南成先生
01:21:47:25		我的身體我自己會照顧
01:21:49:27	01:21:51:03	謝謝你
01:21:51:24		不用謝我
01:21:52:25		遇到我, 你算是遇到專家了
01:21:55:01	01:21:57:19	沒有人比我對胃病更熟悉的
01:21:58:13		有種藥草叫做紫茉莉
01:22:00:08		對胃非常的好
01:22:01:27		不然桂圓敢不敢吃
01:22:04:00		桂圓也不錯
01:22:04:22	01:22:06:15	我剛才跟你說過了
01:22:07:09	01:22:09:08	中醫不適合我
01:22:10:25	01:22:12:01	收到
01:22:14:13		這麼生冷的你不能吃
01:22:16:21	01:22:18:23	那就我來吃, 別浪費
01:22:20:03	01:22:21:17	來... 生魚片
01:22:23:17	01:22:24:25	忘了加芥末
01:22:25:17	01:22:27:12	又忘了加醬油
01:22:31:10		好吃耶
01:22:32:22	01:22:35:00	雖然是八百塊, 值得
01:22:37:23	01:22:38:26	生魚片
01:22:39:22	01:22:40:25	芥末
01:23:34:08		這些都是經過設計的
01:23:36:19		都是騙人的
01:23:38:10		看魔術就看魔術嘛
01:23:39:14	01:23:40:21	怎麼那麼囉嗦啊
01:23:42:03		現在, 各位先生女士
01:23:43:25		我需要一名自願的觀眾上台
01:23:46:24	01:23:48:22	我看見一位漂亮的美眉
01:23:49:14		哈囉, 你好嗎
01:23:50:12		你好
01:23:51:25		你願意跟我上台嗎
01:23:54:04		好
01:23:54:24		將手給我, 我帶領你
01:23:56:07		走這裡
01:23:57:01	01:23:58:17	謝謝
01:23:59:15	01:24:01:03	注意你的腳步
01:24:01:27		請到舞台中間
01:24:03:21		這裡
01:24:04:21	01:24:06:09	在這燈光下
01:24:07:16		很好
01:24:08:17		請別緊張
01:24:11:02		好
01:24:11:27		請問你的名字
01:24:12:24	01:24:14:16	我的名字是舒
01:24:16:07	01:24:17:13	小舒
01:25:53:06	01:25:54:19	張先生
01:25:59:21	01:26:01:13	張中醫師
01:26:02:07	01:26:04:08	麻煩你小聲一點
01:26:11:22	01:26:13:13	張中醫師
01:26:15:26	01:26:17:25	你可不可以小聲一點
01:27:17:16	01:27:19:03	吸
01:27:22:02	01:27:23:11	吐
01:27:26:21	01:27:28:05	吸
01:27:31:09		吐
01:27:32:15		怪老頭
01:27:34:11	01:27:36:08	身體健康才有鬼
01:27:55:25		原來是你啊
01:27:57:06	01:27:59:17	還以為船上也有賣玉蘭花的
01:28:00:12		幹嘛穿成這樣
01:28:01:25	01:28:03:03	怕冷啊
01:28:04:08		你懂什麼
01:28:05:16	01:28:06:19	防曬
01:28:12:00	01:28:13:17	莫名其妙
01:28:18:28		各位
01:28:19:21	01:28:22:25	我們現在要進行的是闖關遊戲
01:28:24:18		待會兒
01:28:25:18		你們要去跟你上次
01:28:26:27		配對成功的搭檔
01:28:28:05		一起合作
01:28:29:02	01:28:30:14	來完成我們這個遊戲
01:28:31:00		不要懷疑
01:28:32:04		你們看到桌上的麵包
01:28:33:18		就是給你們臉貼臉用的
01:28:36:16		怎麼可能
01:28:37:27		還有更厲害的
01:28:39:09		那些乒乓球你們要把它從起點
01:28:41:20		一直夾...
01:28:42:26		夾到終點去
01:28:44:12	01:28:45:19	很難耶
01:28:46:27		有沒有發現今天的船比較晃
01:28:49:18		對啊, 超晃的, 還要夾乒乓球
01:28:51:24	01:28:55:16	這樣玩起來會更刺激更有趣
01:28:56:14		最快通關的
01:28:58:04		我們有豐厚的獎金
01:29:00:20	01:29:01:29	有獎金耶
01:29:03:06		你要去哪裡啊
01:29:04:08		好無聊的遊戲喔
01:29:05:03		有獎金不拿
01:29:06:03		不要...
01:29:06:22	01:29:08:07	那我找誰玩啊
01:29:08:28		方媽要走了...
01:29:10:07	01:29:11:21	你們勸一下啦
01:29:12:18		方媽, 不要走啦
01:29:14:05		有獎金
01:29:14:29		一起玩...
01:29:16:14		好... 玩...
01:29:18:21	01:29:20:04	方媽玩...
01:29:22:04		太好了
01:29:23:00		那我們準備開始我們的遊戲喔
01:29:25:16	01:29:27:08	預備, 開始
01:29:27:29		加油...
01:29:34:19		張爸. 方媽
01:29:35:12	01:29:36:18	再一次
01:29:39:15	01:29:42:04	加油, 後面的準備喔...
01:29:42:19	01:29:44:16	加油...
01:29:49:15		張媽還是沒有任何進展
01:29:51:17	01:29:52:23	非常的辛苦
01:29:54:23	01:30:00:06	加油...
01:30:01:07		方媽掉到地上, 不算數
01:30:02:21		要從頭來
01:30:03:18	01:30:06:04	你要從頭來, 不要矇混
01:30:08:03		方媽要準備第三顆球的旅程
01:30:10:27		非常緊張, 非常刺激
01:30:13:12		第二組已經領先了
01:30:14:17		幾乎有六顆之多
01:30:16:09		乒乓球還有很多喔
01:30:18:02		大家腳步要加快
01:30:19:08	01:30:20:23	加油, 方媽
01:30:22:23	01:30:25:09	方媽, 再跑一下, 撐一下
01:30:26:17	01:30:28:11	好, 現在換張爸
01:30:31:00	01:30:32:14	幾個字...
01:30:33:08	01:30:35:02	七個字...
01:30:37:13		高
01:30:38:17	01:30:40:08	矮
01:30:41:12		低
01:30:43:03	01:30:45:14	矮
01:30:47:05	01:30:48:24	愛
01:30:49:27	01:30:51:09	第四個字
01:30:52:18		心臟
01:30:53:23	01:30:54:24	心
01:30:56:16		什麼心
01:30:57:09	01:30:58:15	第五個字
01:30:59:11	01:31:00:20	嘴巴
01:31:01:13		口
01:31:02:11		口
01:31:03:22	01:31:06:16	愛, 你, 心, 口
01:31:07:08		愛你在心口難開
01:31:10:02		答對了
01:31:11:16	01:31:13:02	正確答案
01:31:14:18		正確答案
01:31:15:22		正確答案
01:31:17:08	01:31:18:27	恭喜方媽
01:31:21:06		乒乓球那一關太慢啦
01:31:23:08		我運動神經不發達嘛
01:31:24:24		不過愛你在心口難開
01:31:26:18		那個厲害吧
01:31:27:09		厲害...
01:31:28:24	01:31:29:27	這是什麼
01:31:33:16	01:31:35:00	這滿可愛的啊
01:31:36:00		月老幸運符
01:31:38:24		我還以為是獎金
01:31:39:27		結果發這個
01:31:41:15		這個不錯啊
01:31:42:16	01:31:44:10	我可以帶回去給小孩啊
01:31:55:25	01:31:56:28	這...
01:31:58:03	01:31:59:00	人呢
01:32:33:21	01:32:34:28	這一張
01:32:40:08	01:32:42:14	多少錢一張啊
01:32:47:09	01:32:48:28	這麼貴啊
01:34:01:03	01:34:02:23	你嚇死人啊
01:34:03:09	01:34:05:02	你在跟蹤誰啊
01:34:08:20		你有相機喔
01:34:10:02	01:34:11:09	對啊
01:34:12:06	01:34:13:17	跟我來
01:34:27:11	01:34:28:20	怎麼樣
01:34:29:16		我看一下...
01:34:30:22		不對... 角度不像
01:34:32:18		不像談戀愛
01:34:33:11		哪裡不像了
01:34:34:23		你要像電視裡面那樣談戀愛啊
01:34:36:20		那樣是哪樣啊
01:34:38:03		你不是談過戀愛嗎
01:34:39:26		我跟你講
01:34:40:11		如果說角度拍得好, 像談戀愛
01:34:43:10		船上所有的消費都算我的
01:34:44:24		你說的喔
01:34:45:23		騙人是小狗喔
01:34:47:08	01:34:49:01	我是老師, 我幹嘛騙你啊
01:34:52:24		他們移動了啦
01:34:54:20		走...
01:34:55:21	01:34:56:24	要追啊
01:35:04:19	01:35:06:23	快點拍, 快拍...
01:35:07:07		快拍啊, 怎麼樣嘛
01:35:08:00		你別催我
01:35:08:27		我來...
01:35:09:26	01:35:11:06	給我...
01:35:12:08	01:35:14:14	我的相機...
01:35:15:23		我就跟你說你不要搶
01:35:17:17	01:35:18:21	在幹什麼
01:35:19:19		走...
01:35:20:29		走
01:35:22:02		去哪裡啊, 走
01:35:23:07		快點啦
01:35:24:08	01:35:25:19	快什麼啊
01:35:33:22		你走慢一點好不好
01:35:35:06		你把我腳踩得很痛耶
01:35:37:00		你摔了我的相機耶
01:35:38:02		我已經跟你說對不起了嘛
01:35:40:04		都叫你別催我嘛
01:35:41:23		我問你...
01:35:42:26		那個照片看得到嗎
01:35:45:04		看不到, 螢幕壞了
01:35:46:04		但是救得出來
01:35:47:19		我跟你講
01:35:48:17		這台相機是我女兒送我的
01:35:50:13		一台不便宜
01:35:51:26		你要賠我喔
01:35:52:18		好啦, 賠就賠嘛
01:35:53:24	01:35:55:04	你說的喔
01:35:56:08		好啦... 你先坐下
01:35:57:16	01:35:59:02	坐下, 來...
01:35:59:14	01:36:00:26	坐一下...
01:36:02:05	01:36:03:06	來, 坐
01:36:05:15	01:36:06:18	對了
01:36:07:00		你要我拍的那個女的到底是誰啊
01:36:09:21		你老公的小三
01:36:11:09		什麼我老公的小三
01:36:12:29	01:36:14:26	我離婚都十幾年了
01:36:15:19		是我兒子的前女友, 叫小舒
01:36:19:06		小舒
01:36:20:17	01:36:22:18	那你幹嘛拍她啊
01:36:24:20		我兒子自從跟她分手之後
01:36:26:25		整個人就鬱鬱寡歡
01:36:28:02		過得非常不快樂
01:36:29:19		我就是想說拍幾張
01:36:31:18		他前女友跟男生在一起
01:36:33:01		很快樂的照片
01:36:34:07		讓他覺得
01:36:35:17		他的生活應該重新開始
01:36:37:21	01:36:39:23	好放棄這個女生啦
