01:03:27:08	01:03:28:04	樹仔
01:08:07:01	01:08:08:07	是不是你
01:08:15:12	01:08:16:28	大目仔, 是不是你
01:08:37:05		你有嗎
01:08:38:27	01:08:40:05	沒有啊
01:08:42:03	01:08:43:05	沒有
01:08:44:04		你給我出來
01:08:45:19		我就說我沒有了嘛
01:08:47:24		你沒有
01:08:49:07	01:08:50:20	包包給我拿出來
01:08:51:26	01:08:53:09	拿來啦
01:08:55:04	01:08:56:26	我要是翻到, 你就死定了
01:09:01:16	01:09:02:23	這是什麼
01:09:18:22	01:09:20:16	你知道你在做什麼嗎
01:09:22:12	01:09:23:21	你知不知道
01:09:26:06	01:09:27:23	對不起, 阿輝哥
01:09:50:12	01:09:53:08	你們私底下要怎樣我都不管啦
01:09:56:28	01:09:58:19	但是你要記得
01:10:03:15		你們現在還年輕
01:10:05:11		你們會老
01:10:07:10	01:10:09:25	這一行撐不久啦
01:10:15:21	01:10:17:13	要是賺夠了
01:10:20:14	01:10:23:00	看你們要做什麼就盡量去
01:10:28:13	01:10:30:14	反正我不知道要說什麼
01:10:32:09	01:10:33:25	你們自己想想看
01:11:09:19		組仔, 要吃香腸嗎
01:11:12:02	01:11:13:03	好啊
01:11:14:08		有熟嗎
01:11:14:27	01:11:16:04	有啦
01:11:17:04		不然我先走
01:11:17:24		好...顧好呢
01:11:19:02		開慢一點喔
01:11:19:24	01:11:20:28	好
01:11:26:07	01:11:27:08	爸
01:11:28:18	01:11:30:01	你怎麼來了
01:11:36:13	01:11:37:17	阿輝
01:11:38:17	01:11:40:10	把那個人放下來
01:11:41:24		爸, 那個...
01:11:43:17		做錯事要處理一下
01:11:46:04	01:11:47:24	把人放開啦
01:11:49:03		爸, 我要是把他放下來
01:11:50:11		我以後要怎麼帶人
01:11:52:15	01:11:54:09	叫你把人放開啦
01:11:58:25	01:11:59:27	建宏
01:12:00:25		和阿碰去把人放下來
01:12:02:23	01:12:03:22	好
01:12:07:06	01:12:09:23	爸, 我看你滿身汗臭味
01:12:11:00	01:12:12:16	我拿衣服給你換
01:12:26:10	01:12:28:08	這你應該可以穿
01:12:29:19	01:12:31:00	來旁邊換啦
01:12:36:10		門幫我關起來
01:12:38:08	01:12:39:29	關好了啦
01:12:45:08		怎麼這麼重
01:12:46:07	01:12:48:13	不像樣的, 這麼重
01:12:57:28	01:12:59:13	還滿合身的
01:13:02:07		輝哥哥
01:13:03:27		你阿爸穿這樣
01:13:05:20	01:13:07:27	比你還像老大
01:13:16:04	01:13:17:16	好像是喔
01:13:19:12		爸, 我帶你去吃東西
01:13:21:17		順便載她們去上班
01:13:22:22	01:13:23:20	好嗎
01:13:24:25	01:13:26:00	大哥, 請
01:13:28:03	01:13:29:05	走啦
01:13:37:26		輝哥哥, 我要燈光...
01:13:43:17	01:13:46:08	好啦...
01:13:49:06		好有氣氛喔這樣才對
01:13:51:07	01:13:53:04	沒錯...
01:14:03:02		阿伯
01:14:03:20		這個霓虹燈這樣閃啊閃啊
01:14:05:14	01:14:07:16	你這樣看起來特別帥耶
01:14:09:28		為什麼把音樂關掉
01:14:11:14	01:14:13:06	對啊, 怎麼換歌啦
01:14:13:28		平常你們都吃重鹹吃習慣了
01:14:16:19	01:14:18:21	今天我們聽一些清淡的
01:14:20:14		真的喜歡這首耶
01:14:22:00		沒關係啦
01:14:23:11		這首歌也很好聽
01:14:25:10		對啊, 你最喜歡的
01:14:26:27		最愛唱的
01:14:28:23		你們還不是一樣
01:14:31:16		你哪問我什麼是幸福
01:14:35:18		叫我怎樣講
01:14:39:19		阮若是千金小姐
01:14:43:21	01:14:47:25	好命還嫌不夠
01:14:49:26		你哪問我什麼是人生
01:14:53:27		叫我怎樣回
01:14:57:29		阮不是在家閨秀
01:15:02:00	01:15:06:08	幸福要叼位找
01:15:07:15	01:15:08:29	高音...
01:15:11:07		阮是野地的長春花
01:15:16:08		幸福是風中的蠟燭
01:15:20:06		咱要用雙手捧
01:15:24:14	01:15:26:12	再一次...
01:15:29:09		阮是野地的長春花
01:15:34:11		人生是暗夜的燈火
01:15:38:15	01:15:43:15	帶咱行向前
01:15:45:00		雖然是乎人看輕
01:15:49:01		走到這條路
01:15:53:02		阮嘛是飼家賺吃
01:15:56:23		有什麼通見笑
01:16:01:04		紅燈路頭街巷
01:16:04:11	01:16:08:03	暗暗孤單行
01:16:10:21	01:16:13:05	爸, 喝一罐啦
01:16:14:09		不用啦
01:16:15:06		你喝就好了
01:16:16:08		不然吃花生
01:16:18:00	01:16:19:24	好啦... 你吃...
01:16:21:04	01:16:23:02	你今天跑來找我有什麼事情
01:16:24:10		我來找你
01:16:25:12		是要告訴你
01:16:27:02		找個正經的工作啦
01:16:29:02	01:16:30:18	不要再混黑道了
01:16:31:14		爸
01:16:32:27	01:16:35:05	我是沒寄錢回去嗎
01:16:36:15		像你賺那種不實在的錢
01:16:38:23		對你們來說
01:16:40:05	01:16:44:02	那種錢都是一種敗壞
01:16:45:16		我也跟你講
01:16:47:03		現在這個社會
01:16:48:17		大家只會問你是從哪裡來
01:16:51:16		沒有人會去問說
01:16:52:12		你的錢是從哪裡來的
01:16:55:05		好嗎
01:16:55:25		就是說嘛
01:16:57:02		我媽就是要錢不要人有沒有啦
01:16:58:13		沒有啦
01:17:00:01		你有沒有啦
01:17:01:15	01:17:03:06	有沒有...
01:17:04:11		你幹嘛
01:17:05:16	01:17:06:22	現在是怎樣
01:17:07:18	01:17:09:03	有沒有
01:17:11:09	01:17:12:26	先把她扶去車上...
01:17:13:23		走啦...
01:17:15:03		爸... 走, 先走
01:17:17:23	01:17:20:07	好啦, 把她扶起來...
01:17:24:27		有沒有
01:17:25:23		好啦... 有啦...
01:17:27:02		快點, 先走
01:17:28:05		爸... 先過來
01:17:29:06	01:17:30:17	爸, 這邊啦
01:17:32:04		妹妹, 你...
01:17:33:03	01:17:35:12	我快壓不住了啦
01:17:37:13	01:17:38:24	妹妹啊
01:17:39:08	01:17:41:10	妹妹忍耐
01:17:43:12	01:17:45:05	好好一個人你竟然給他打毒品
01:18:09:15	01:18:10:15	好了啦
01:18:13:24		讓她休息一下就可以了
01:18:15:05		好, 謝謝
01:18:16:29	01:18:18:08	去拿外套
01:18:47:11		阿輝啊
01:18:49:13		你怎麼隔這麼久
01:18:50:29	01:18:52:18	沒去看你大姊呢
01:19:07:26		輝哥哥
01:19:08:12		我很快就可以搞定, 等我喔
01:19:10:17		要等我喔說什麼啦
01:19:12:24		你不要偷客人時間
01:19:15:05		做足一點啦
01:19:16:21		不然人家打來投訴我就麻煩了
01:19:18:13		好啦
01:19:20:07		我時間到再來載你喔
01:19:21:12	01:19:22:18	聽到了啦
01:19:25:18		阿爸
01:19:27:11		我今天可能沒辦法陪你出去走走
01:19:32:07		因為我們公司的車手
01:19:34:14		沒有上班
01:19:35:17		我想說
01:19:36:26	01:19:39:02	我等一下先送你去旅社
01:19:40:04		看怎樣
01:19:41:09		我明天挪點時間
01:19:42:20		再帶你出去玩, 好嗎
01:19:45:13		我不是要來找你玩的啦
01:19:48:05		我是來叫你回家
01:19:50:06		回我們那邊
01:19:51:21		隨便找個工作做也好
01:19:54:17		阿爸, 我們之間沒話題了嗎
01:19:57:22	01:20:00:23	你每次見到我都說這些有的沒的
01:20:04:11	01:20:05:18	我接一下電話
01:20:06:19	01:20:07:11	喂
01:20:10:10		你時間是到了嗎
01:20:11:20	01:20:13:10	你打給我幹嘛
01:20:17:11	01:20:18:18	蟾蜍
01:20:20:26	01:20:22:28	你是在搞什麼啦
01:20:24:10	01:20:26:21	等我過去再說...
01:20:32:04	01:20:34:12	嫌我事情不夠多嗎
01:21:03:05	01:21:04:05	蟾蜍
01:21:05:17		蟾蜍
01:21:06:21	01:21:08:26	你今天搞得這麼熱鬧
01:21:10:09		我看
01:21:11:29		我們兩個之間的事情
01:21:13:23		改天再商量
01:21:15:05		小姐我先帶走, 好嗎
01:21:17:05		好不容易把你帶進來了
01:21:19:16		你一句話都不給我交代
01:21:20:22	01:21:22:11	你說走就要走
01:21:25:27		不然你現在是想怎樣
01:21:28:00		一條路給你走
01:21:29:23		我的貨仍然在你那邊出入
01:21:31:12	01:21:33:04	你都不要管我
01:21:33:28		蟾蜍
01:21:35:03		你是第一天出來混的嗎
01:21:35:27		你有分寸一點
01:21:38:01	01:21:39:06	抱歉...
01:21:40:26		你是第一天出來混的嗎
01:21:42:19		你有你的路
01:21:44:05		我有我的橋
01:21:45:14		你都不可能斷你的路了
01:21:46:25	01:21:48:18	我哪有可能破壞我的規矩
01:21:53:11		好啊, 沒關係
01:21:54:13		你要是這麼說
01:21:55:00		我們就沒什麼好談的
01:21:56:08		你的小姐來這裡到現在
01:21:57:16		都沒招待她喝一下熱茶
01:21:59:22	01:22:01:15	我請她喝杯茶
01:22:08:28	01:22:10:04	讓他死啦
01:22:15:24	01:22:16:25	小心
01:22:18:24		來啊
01:22:21:13	01:22:22:14	再來啊
01:22:29:10	01:22:30:15	老大
01:22:33:05	01:22:34:05	再來啊
01:22:37:03	01:22:38:01	來啊
01:22:38:15	01:22:39:09	再來啊
01:22:39:25	01:22:41:06	再來啊
01:22:45:21	01:22:46:18	爸
01:22:47:07	01:22:48:10	爸
01:22:54:12		阿伯...
01:22:56:10	01:22:57:14	來啊
01:22:58:20	01:22:59:25	再來啊
01:23:07:10	01:23:08:28	我看你能多囂張
01:23:13:25	01:23:15:08	你們有沒有怎樣
01:23:16:20		你有沒有怎樣
01:23:17:23		你有沒有怎樣, 爸
01:23:18:27		現在是怎樣
01:23:19:18	01:23:20:26	老大, 有賊頭
01:23:21:27		不是你喔
01:23:22:11		警察來了...
01:23:24:19		來... 這邊
01:23:26:12	01:23:27:11	那邊
01:23:28:18		快點
01:23:29:21	01:23:30:26	別跑
01:23:40:21	01:23:42:07	忍耐一下
01:23:44:01	01:23:46:07	你這個瘀青要是沒有揉開
01:23:47:23	01:23:49:27	將來這個舊傷就會留著
01:24:04:00	01:24:04:23	爸
01:24:05:15	01:24:08:02	我看, 你就別種田了
01:24:10:17	01:24:12:19	我又不是沒在賺錢
01:24:14:00	01:24:15:09	要是不夠
01:24:15:27	01:24:17:23	你跟我說就好了
01:24:31:12	01:24:32:14	走走看
01:24:37:05	01:24:39:23	我不稀罕你那些錢
01:24:41:10	01:24:43:20	我一個人是能吃多少
01:24:45:13	01:24:48:06	人家說出來混的不會有好下場
01:24:50:22		聽爸的話
01:24:51:26		回來種田
01:24:53:19	01:24:55:10	比較實在啦
01:25:05:04		倒杯熱水給你喝
01:25:07:05	01:25:08:29	這樣比較行氣
01:25:27:09	01:25:28:18	這句話
01:25:31:21	01:25:33:14	要是早點說
01:25:34:06	01:25:35:23	不知道該有多好
01:25:39:23	01:25:42:19	你叫我放開那群小姐
01:25:45:03	01:25:46:05	我沒辦法
01:25:49:01	01:25:50:28	我只要想起大姊
01:25:58:10	01:25:59:27	我就放不下
01:26:16:15	01:26:18:29	來, 喝一下熱水
01:26:21:07	01:26:22:12	阿輝
01:26:23:24	01:26:25:08	阿輝
01:26:26:06		弟弟, 我吹不起來
01:26:27:17	01:26:29:00	你來幫我吹
01:26:38:08		我一個女兒好好的
01:26:39:19	01:26:41:04	你竟然給她注射毒品
01:28:25:17		地上的禮物拿出來
01:28:26:21		相機...
01:28:28:04		好棒喔, 相機
01:28:29:28		爸爸看到這麼棒的禮物
01:28:31:09		來, 興奮一點
01:28:33:01		好棒的禮物喔
01:28:35:22	01:28:36:22	喂
01:28:38:09		爸爸怎麼會來找我
01:28:40:13		好啦, 我在忙啦
01:28:41:10		等一下打給你
01:28:42:19	01:28:43:22	拜拜
01:28:45:23		幹嘛...
01:28:47:15	01:28:48:16	動起來啊
01:29:00:02		相機, 來
01:29:00:28		來, 嘟瑪, 來
01:29:02:10	01:29:04:22	拍照, 就拍照位置王經理收到回答
01:29:06:12		收到
01:29:07:19		那個入園處有訪客
01:29:09:18		好... 我馬上過去
01:29:10:28		你們三個給我好好排喔
01:29:12:00		來, 佳琪
01:29:13:09	01:29:14:26	是盯著他們
01:29:15:15	01:29:17:11	動起來...
01:29:18:00		經理走了
01:29:18:19	01:29:20:29	我們再來排戲一次好嗎
01:30:10:29	01:30:11:29	爸
01:30:12:22		你怎麼來了
01:30:14:19	01:30:15:15	沒有啦
01:30:16:03	01:30:17:26	我是來看看你
01:30:24:04		你怎麼全身都是血
01:30:26:14		人有沒有怎樣
01:30:29:02		沒有啦
01:30:29:19	01:30:32:00	在阿輝那邊沾到的
01:30:34:02		那阿輝有沒有怎樣
01:30:36:01	01:30:38:18	沒事...
01:30:47:05	01:30:48:20	不然你跟我來
01:30:52:15		記我訪客
01:30:53:11	01:30:54:16	好的
01:31:24:19	01:31:25:25	吳柏諺
01:31:26:26	01:31:28:01	你在幹嘛啊
01:31:31:00	01:31:32:05	動作快
01:31:34:00	01:31:36:02	快...
01:31:38:10	01:31:39:25	你位置在哪裡
01:31:43:20	01:31:45:07	動起來啊
01:31:46:21		動大一點
01:31:48:00		要我講幾百次啊, 腦殘啊
01:31:50:11	01:31:51:28	老記不住
01:31:53:02		阿娟
01:31:54:11		人家賺的也是辛苦錢
01:31:56:17		你不要這麼凶
01:31:57:24	01:31:58:29	好好說嘛
01:31:59:22		爸, 我在教員工
01:32:01:28	01:32:03:00	你不懂
01:32:06:12		開心一點
01:32:08:17		怎樣
01:32:09:12		身體不舒服是不是
01:32:10:12	01:32:12:01	那你明天不用來啦
01:32:14:19		王經理收到回答
01:32:16:20	01:32:17:21	收到
01:32:18:09		會議室已經準備好囉
01:32:19:27	01:32:21:12	總經理已經到了
01:32:22:18	01:32:23:28	我馬上過去
01:32:25:24	01:32:26:28	爸
01:32:27:23		我還有事
01:32:28:20		你自己逛一逛
01:32:30:00	01:32:31:03	好
01:32:32:28	01:32:34:11	你給我好好跳喔
01:32:39:22		王經理收到回答
01:32:41:05	01:32:42:07	收到
01:32:44:00		那個...
01:32:45:13	01:32:47:01	旋轉木馬壞了
01:33:07:12	01:33:08:07	爸
01:33:09:08		你衣服換一換啦
01:33:10:19	01:33:12:22	全身都是血, 等一下嚇到遊客
01:33:21:21		她是誰
01:33:22:11	01:33:23:15	我朋友
01:33:24:16		你怎麼進來的
01:33:25:12	01:33:27:00	我帶她來的
01:33:28:14		妹妹, 阿姨跟你說
01:33:30:19		你要來的話, 下次再來好不好
01:33:32:15		媽媽帶你來再來
01:33:33:10		去打電話給媽媽
01:33:34:06	01:33:35:29	叫她來接你
01:33:37:10		媽, 回來載我啦
01:33:39:23		哪有
01:33:40:14		我被趕走了, 快啦
01:33:42:02	01:33:43:03	叫阿公
01:33:46:04	01:33:47:24	叫阿公
01:33:48:28	01:33:51:01	阿公
01:33:53:26		你就是小可喔
01:33:56:14	01:33:57:14	來...
01:34:00:21		那個時候還抱在手裡
01:34:02:21	01:34:04:18	現在已經這麼大了啊
01:34:07:04	01:34:08:01	經理
01:34:09:21		收到
01:34:10:25		布偶的戲碼可以驗收了
01:34:13:07		好, 我馬上過去
01:34:15:01		小可, 你乖
01:34:16:05		在這裡陪阿公玩
01:34:17:26	01:34:19:06	媽媽先去忙
01:34:24:14		小可
01:34:26:00		你要玩什麼
01:34:27:09	01:34:29:00	阿公陪你玩好嗎
01:34:30:09	01:34:31:13	小可
01:35:12:21	01:35:13:23	小可
01:35:18:22	01:35:19:20	小可啊
01:35:22:23		先生
01:35:24:05		請問一下
01:35:25:07	01:35:27:05	剛剛你有沒看到一個小孩
01:35:28:06		差不多這麼高, 穿一件紅衣服
01:35:30:11		沒有
01:35:31:12	01:35:33:02	好, 謝謝...
01:35:35:22	01:35:36:22	小可
01:35:39:25	01:35:40:29	小可
01:35:45:12	01:35:47:10	你們是一家人, 站近一點
01:35:47:26	01:35:49:13	親密一點
01:35:53:29	01:35:56:17	交棒的動作快一點
01:35:59:22		父女感情懂不懂啊
01:36:01:17	01:36:03:13	親密一點啦
01:36:05:17	01:36:09:01	接下來呢換爸爸幫姊姊跟弟弟拍
01:36:10:20		經理我們已經工作六個小時了
01:36:13:14		可以休息一下嗎
01:36:16:16		你有沒有搞錯啊
01:36:17:20		我有休息嗎
01:36:18:24		你要休息, 我有休息嗎
01:36:20:05		那麼累你明天不要來了啊
01:36:22:13		阿娟, 好啦...
01:36:24:20		讓這個年輕人稍微休息一下啦
01:36:27:10		你看, 他臉色這麼蒼白
01:36:29:15		這種天氣這麼熱
01:36:31:00		穿這樣一身
01:36:32:28		一定是很辛苦的嘛
01:36:34:29	01:36:36:20	來...
01:36:39:14		喝一點水...
01:36:41:20	01:36:43:20	你也喝一點, 來...
01:36:49:00		你看看他
01:36:50:02		臉色發青
01:36:51:22		看起來快要中暑了
01:36:53:29	01:36:55:13	我幫你抓一抓
01:36:57:15		這要是不抓一抓
01:36:59:11	01:37:02:16	我看等一下就要昏倒了
01:37:05:05		阿娟, 你做一個主管
01:37:08:16		帶人要帶心啊
01:37:10:09		是不是這樣
01:37:12:18		對了, 阿娟
01:37:14:05		剛剛我換個衣服出來
01:37:16:28		小可就不見了
01:37:18:20		那個沒關係
01:37:19:17	01:37:21:03	她自己會回來
01:37:24:11	01:37:25:16	小可
01:37:27:18	01:37:28:26	小可啊
01:37:29:17	01:37:30:19	小可
01:37:32:04	01:37:33:11	小可
01:37:34:10	01:37:35:20	王毓可
01:37:40:03	01:37:41:06	小可
01:37:43:27	01:37:44:29	小可
01:37:45:15	01:37:46:19	小可
01:37:48:05	01:37:49:10	王毓可
01:37:50:22	01:37:51:28	小可啊
01:37:56:01	01:37:57:07	小可
01:38:00:02		阿娟
01:38:01:12		不然這樣啦
01:38:02:28	01:38:04:18	我們分頭找
01:38:05:05		好啦
01:38:06:22	01:38:08:10	小可王毓可
01:38:12:02	01:38:13:05	小可
01:38:15:25	01:38:17:00	小可
01:38:21:08	01:38:22:11	小可
01:38:55:20		小可
01:38:57:19		你躲在這裡
01:38:59:11	01:39:02:10	你媽媽找你找得很急呢
01:39:11:10	01:39:12:15	小可
01:39:21:08	01:39:22:11	小可
01:39:23:10		阿公陪你玩好嗎
01:39:25:18		你今天都躲起來
01:39:27:17		都沒有陪阿公玩
01:39:30:01	01:39:32:24	可是我跟阿公又不熟
01:40:10:02	01:40:11:03	謝謝
01:40:26:16	01:40:27:22	小可啊
01:40:29:09		你媽媽以前最愛來遊樂園玩
01:40:33:26		可是阿公都在種田沒空
01:40:37:03		沒辦法帶她來這裡玩
01:40:40:02		是說這遊樂場
01:40:42:08	01:40:44:13	我也沒有來過
01:40:45:17		你帶阿公去那邊玩, 好嗎
01:40:47:22		可是遊樂場都關了
01:40:50:23	01:40:52:11	阿公有辦法
01:40:53:10		走
01:40:54:02	01:40:55:10	走吧
01:41:09:20	01:41:10:20	小可啊
01:41:11:07	01:41:12:15	你注意看喔
01:41:17:13	01:41:18:16	好美喔
01:41:19:15	01:41:20:23	好美喔
01:41:29:23	01:41:30:26	漂亮吧
01:41:38:08	01:41:39:05	走
01:41:48:17		好玩吧
01:41:49:28	01:41:51:05	好玩
01:42:04:00		小可
01:42:05:17		阿公講一個故事給你聽好不好
01:42:07:09	01:42:08:10	好
01:42:10:17	01:42:13:07	以前你媽媽小時候
01:42:14:00	01:42:16:10	很喜歡去圳溝玩水
01:42:17:26		有一天她去圳溝玩水的時候
01:42:21:22	01:42:24:08	不小心掉下去了
01:42:25:09		結果是你阿嬤
01:42:28:28	01:42:31:02	跳下去把她救上來
01:42:32:11	01:42:34:06	可是你阿嬤...
01:42:37:07		阿公, 怎麼了
01:42:38:27	01:42:41:09	後來怎麼了
01:42:43:00	01:42:45:21	你阿嬤就這樣沒有上來了
01:42:57:04	01:42:58:11	小可啊
01:43:00:01		以後你長大了
01:43:02:18	01:43:04:23	要孝順你媽媽, 知道嗎
01:43:05:24	01:43:07:09	做媽媽的
01:43:08:03		總是都不顧自己的生命
01:43:09:25	01:43:12:19	去保護自己的孩子, 知道嗎
01:43:18:20		那...
01:43:20:06	01:43:23:17	媽媽有孝順阿公嗎
01:43:46:07	01:43:47:13	小可
01:43:53:03	01:43:54:09	小可
01:44:03:08		阿娟啊
01:44:04:16		你有沒有怎麼樣
01:44:05:07		你去哪裡了
01:44:06:20		很好玩是不是
01:44:08:10		很好玩是不是
01:44:08:28		你在幹嘛啦
01:44:10:16	01:44:12:12	你很好玩是不是
01:44:13:22	01:44:15:09	你是瘋了嗎
01:44:16:20		有話好好講你怎麼可以不見了
01:44:19:08	01:44:21:28	你這樣動手動腳是要幹嘛
01:44:28:29	01:44:30:14	沒事...
01:44:37:00		你是怎麼了
01:44:38:10		有什麼事情好好講
01:44:40:04	01:44:42:09	何必這樣動手動腳的
01:44:43:11		很好玩是不是啦
01:44:45:02	01:44:47:05	你是講不聽嗎
01:44:48:07	01:44:50:29	好... 不要哭...
01:44:53:15		乖...
01:44:55:05		阿公疼
01:44:56:10	01:44:58:19	好... 乖...
01:45:00:23		不要這樣啦
01:45:01:28		小孩子都要用講的
01:45:03:23	01:45:05:20	動不動你就打
01:45:07:14	01:45:09:19	好, 不要哭喔
01:45:21:11	01:45:23:06	書包放好, 去床上
01:45:30:14	01:45:31:18	爸, 你坐啦
01:45:52:18	01:45:53:21	過來
01:45:55:24	01:45:57:10	過來啦
01:45:58:21	01:46:00:29	教小孩要好好講啦
01:46:01:23	01:46:03:02	好好教嘛
01:46:03:17		你這樣打小孩
01:46:04:27	01:46:06:29	小孩跟你不親啦
01:46:07:29		你有資格這樣說我嗎
01:46:10:21	01:46:12:28	你以前不是這樣打我的嗎
01:46:24:19	01:46:26:16	你應該把我打死
01:46:33:14	01:46:35:11	別留我活著受苦
01:47:06:24		來, 我幫你把傷揉一揉
01:47:09:26	01:47:10:27	去躺好
01:47:28:25	01:47:29:29	阿娟
01:47:30:26		你跟你丈夫
01:47:32:02	01:47:33:23	真的要離婚嗎
01:47:37:16	01:47:38:24	阿娟
01:47:40:07		兩個人在一起是一輩子的
01:47:43:02		為了孩子
01:47:44:24	01:47:46:08	多忍耐一點
01:47:54:13	01:47:56:24	人的命都是注定好的
01:47:59:11		離婚啊
01:48:01:08	01:48:03:24	女人的日子不好過
01:48:05:02		你的個性要稍微改一下
01:48:07:10		學你媽媽
01:48:09:22	01:48:11:15	你丈夫會回來的
01:48:23:01	01:48:24:21	你晚上睡這裡
01:51:24:11	01:51:25:20	小可
01:51:31:03	01:51:32:12	起床
01:52:57:12	01:52:58:19	小姐
01:53:00:25	01:53:01:26	小姐
01:53:04:14		我要找我兒子王自強啦
01:53:07:15	01:53:09:00	王自強
01:53:11:04		請用
01:53:12:23	01:53:14:02	謝謝
01:53:18:04	01:53:19:09	還真香
01:53:24:28		我沒有你的話
01:53:25:20	01:53:27:03	我們怎麼能夠...
01:53:33:14		爸
01:53:34:26		你怎麼會來
01:53:36:25	01:53:40:20	我想說來看你一下
01:53:42:18		這我爸
01:53:44:14		我... 我的好朋友
01:53:45:28		喬治
01:53:47:06		王大哥, 你好
01:53:48:06		我是自強的好朋友
01:53:49:19	01:53:51:11	叫我喬治就好了
01:53:52:05		今天先這樣, 我晚上去找你
01:53:54:22		自強啊
01:53:56:15		對朋友要有禮貌一點
01:53:59:23	01:54:01:12	你在緊張什麼
01:54:05:22	01:54:07:14	不然先到裡面坐
01:54:08:28		好...
01:54:10:05	01:54:11:07	走
01:54:22:07	01:54:23:13	Spray
01:54:37:23		好
01:54:38:25		喬治, 幫我拿西裝
01:54:40:02	01:54:41:01	好
01:54:42:29	01:54:45:13	你看, 這樣的髮型好不好看
01:54:46:22	01:54:47:28	來
01:54:51:18	01:54:53:09	來... 起來...
01:54:54:14		秀娟給你的衣服就不要再穿了
01:54:57:00		這裡是台北
01:54:58:08		絲巾
01:54:58:25		好
01:55:00:10	01:55:01:18	整理一下...
01:55:03:18	01:55:04:21	來
01:55:06:05	01:55:08:22	你看, 你兒子很厲害吧
01:55:11:02		爸
01:55:12:02		我等下要錄影
01:55:13:02		你在這裡等我就好了
01:55:14:25		那怎麼行
01:55:16:04		那個...
01:55:16:27		王大哥好不容易來一趟台北
01:55:18:14	01:55:20:01	我陪他出去跑跑
01:55:21:06		我明天放假
01:55:21:28		我再開車帶我爸出去就好了
01:55:24:09		我現在就有空
01:55:25:04		我現在就可以陪他去啊
01:55:27:23	01:55:29:12	好不好
01:55:30:09	01:55:31:15	是不是
01:55:32:23	01:55:35:07	爸, 等我一下
01:55:35:24	01:55:37:07	等一下就回來
01:55:47:00		被我爸知道你會被打死
01:55:48:17		哪有那麼嚴重
01:55:50:11		我們又不是敵人
01:55:51:15	01:55:54:07	更何況我們倆都愛護著同樣一個人
01:55:57:07		我以前的男朋友就是因為這樣
01:55:58:09		被他打跑的
01:55:59:09		到現在都還沒回鄉下
01:56:00:22		真的啊
01:56:01:25	01:56:04:28	那我要感謝你爸爸幫我解決一個情敵啊
01:56:10:01		不要對你爸爸這個樣子
01:56:12:01	01:56:13:25	家人是一輩子的
01:56:22:09		你放心
01:56:23:07		你爸爸交給我沒問題啦
01:56:24:20		好好工作啊
01:56:25:25		來, 親一個
01:56:27:13		親你個頭啦
01:56:28:20	01:56:30:10	我爸在裡面啦
01:56:31:00		快進去吧
01:56:31:16	01:56:32:17	好
01:56:48:23		王大哥, 你看
01:56:49:18		那個是自強的廣告
01:56:51:02	01:56:52:05	帥吧
01:56:55:21		你兒子今天進攝影棚
01:56:57:16		是錄彩妝節目
01:56:59:07		全華人都可以看得到
01:57:01:17		王大哥真會生
01:57:02:24	01:57:05:04	生這麼有才華的造型師
