01:01:11:17	01:01:14:21	媽媽, 我們到台灣了
01:16:06:04		這樣你知不知道啊
01:16:08:09		你爸爸人在哪裡
01:16:09:22	01:16:10:14	媽
01:16:11:18		是發生什麼事情了
01:16:13:00	01:16:14:18	她是陳啟文的女兒
01:16:17:13		你在笑什麼
01:16:18:18		你爸爸在哪裡
01:16:19:14	01:16:21:00	不要這樣啦, 媽我不相信你不知道
01:16:22:19		你爸在哪裡, 你說啊
01:16:24:10		媽, 你冷靜一點
01:16:25:17	01:16:26:10	姊
01:16:27:21		你別過來喔
01:16:28:18	01:16:29:15	好了啦...
01:16:31:25	01:16:33:12	她一定知道啦住手
01:16:49:16	01:16:50:14	是
01:17:01:25	01:17:02:22	謝謝
01:17:03:25		剛剛發生的事
01:17:06:01	01:17:07:15	不要去想它
01:17:10:07		好
01:17:11:25		那你還好嗎
01:17:13:05		沒事...
01:17:14:21	01:17:15:24	沒問題
01:17:17:08	01:17:18:12	吃吧
01:17:20:18	01:17:22:15	謝謝你保護我
01:17:23:26	01:17:24:27	晚安
01:17:26:16	01:17:27:22	晚安
01:17:57:03	01:17:58:02	小綠
01:18:00:18	01:18:01:29	這個燈不可以關
01:18:03:06		是留給阿文師傅的
01:18:05:12		知道嗎
01:18:06:28	01:18:07:27	好
01:18:35:14	01:18:37:10	對不起
01:18:38:29		另外一個椅子要壓在上面
01:18:40:29		這樣才不會掉
01:18:41:26		是
01:18:43:15		搬椅子的時候輕一點
01:18:44:22	01:18:45:20	是
01:19:05:01		不管以前發生過什麼事情
01:19:08:05		做壽司的時候
01:19:11:00		就要拋開一切
01:19:13:17	01:19:15:12	把心靜下來
01:19:33:14		換你
01:19:34:21	01:19:35:17	是
01:20:09:20	01:20:10:29	吃吃看啊
01:20:13:00		是
01:20:14:18	01:20:16:09	那我就不客氣了
01:20:24:14		明天五點起床
01:20:25:28		為什麼
01:20:27:17	01:20:28:27	去買魚啊
01:20:30:06	01:20:32:05	不是想學做握壽司
01:20:43:08		不管你以前學過什麼
01:20:45:12	01:20:48:06	在這裡就要從頭開始
01:20:52:19	01:20:54:09	不可以跟爺爺說喔
01:21:03:29	01:21:05:14	媽媽
01:21:08:03	01:21:09:17	我啊
01:21:13:13	01:21:16:09	現在成為一名壽司的學徒了
01:21:18:25	01:21:21:17	我一定會加油的
01:21:26:16		櫻花拼盤壽司
01:21:29:24	01:21:31:05	蝦子生魚片
01:21:43:25	01:21:45:06	手伸出去一點
01:22:00:09	01:22:01:22	挖下去拌
01:22:06:00	01:22:07:05	有沒有在聽啊
01:23:48:10		請用茶
01:23:49:29	01:23:51:04	謝謝
01:23:55:12		我要一份櫻花拼盤壽司
01:23:57:25		水果沙拉跟味噌湯
01:23:59:20	01:24:01:04	是, 馬上來
01:24:02:19		一桌
01:24:03:15		櫻花拼盤壽司
01:24:05:03		水果沙拉
01:24:06:19		味噌湯
01:24:07:19		櫻花拼盤壽司
01:24:09:13		水果沙拉
01:24:10:20	01:24:11:24	味噌湯
01:24:15:23	01:24:16:22	是
01:24:30:28	01:24:32:08	味噌湯
01:25:26:23		我明年要結婚了
01:25:28:24		想麻煩你們
01:25:29:27		幫我準備婚宴上的餐點
01:25:31:25		方便嗎
01:25:33:12		沒問題
01:25:34:16	01:25:36:22	我幫你問問看師傅
01:25:37:27	01:25:39:00	還有
01:25:40:19		因為我懷孕了
01:25:42:07		所以麻煩你幫我問一下師傅
01:25:45:18		有沒有什麼食物
01:25:46:17	01:25:48:13	是適合孕婦吃的
01:25:49:21		阿之
01:25:51:20		一桌的女客人說
01:25:53:12		她想請我們準備婚宴
01:25:55:25		然後她懷孕了
01:25:57:12	01:26:00:04	想問有沒有適合她吃的
01:26:02:04		要麻煩你
01:26:03:12		幫我預定下個月的十號
01:26:05:20	01:26:07:07	好的, 沒問題
01:26:48:06	01:26:49:15	穎如
01:26:50:24	01:26:52:25	恭喜你要結婚了
01:26:55:28	01:26:57:25	真的很替你高興
01:27:01:25	01:27:05:06	可能這是最後一次幫你做料理
01:27:08:14	01:27:10:27	如果沒有發生那場意外的話
01:27:12:25	01:27:14:20	一切會不會不一樣呢
01:27:46:19		陳啟文的女兒滾回去
01:27:48:20		滾回去
01:27:49:17	01:27:50:24	叫什麼啦
01:27:52:12		你爸呢
01:27:54:12	01:27:55:28	把你爸交出來
01:28:03:10	01:28:04:27	爺爺, 對不起
01:28:09:05	01:28:11:01	說什麼對不起呢
01:28:14:25		到底發生什麼事
01:28:17:06	01:28:19:05	爺爺, 你一定要告訴我
01:28:24:01		那個女孩的父親
01:28:26:17		跟你父親發生生意上的糾紛
01:28:30:01		你父親失手將他推入海中
01:28:33:04	01:28:35:18	本來要跟你媽媽逃去日本
01:28:37:26	01:28:39:06	是我報警的
01:28:40:09		你趕緊讓我走
01:28:42:14		拜託
01:28:43:21		不行
01:28:45:16		你敢做要敢擔當
01:28:48:02		我有妻有子
01:28:49:10		我真的不能進去
01:28:50:23		你將來要怎麼面對你的女兒
01:28:53:05		我會看你離開
01:28:54:05		青田永遠等著你回來
01:28:56:06		師傅
01:28:57:03	01:28:58:04	不行
01:29:43:21		請原諒我
01:29:45:20	01:29:47:09	沒有這回事
01:29:49:21	01:29:52:15	爺爺沒有做錯什麼
01:29:55:08		你應該給他一個機會
01:29:57:23		我們沒辦法選擇父母
01:30:00:15		同樣的
01:30:02:05		父母也沒辦法選擇孩子
01:30:06:03	01:30:08:05	這是命中註定的
01:30:10:09		所以我希望你好好住下來
01:30:12:21		好嗎
01:30:14:19		爺爺
01:30:16:24	01:30:20:25	你都不怕被我跟爸爸連累嗎
01:30:22:05		現在店裡都沒有客人
01:30:24:29		怎麼會呢
01:30:27:12		生意上的好壞
01:30:29:11		是料理好不好吃
01:30:32:06		你不要胡思亂想
01:30:35:00		可能是爺爺手藝退步了
01:30:40:01	01:30:42:13	你還是安心住下來
01:31:49:06	01:31:51:15	青田日本料理店, 你好
01:31:52:25	01:31:55:09	不好意思, 請再說一次
01:32:02:08		好, 謝謝
01:32:04:04	01:32:05:10	謝謝
01:32:12:18	01:32:13:21	阿之
01:32:15:25	01:32:16:26	阿之
01:32:20:07		怎麼了
01:32:22:00		爸爸他...
01:32:24:28	01:32:27:24	神父說我爸爸船要開回來了
01:32:29:12	01:32:31:00	爸爸要回來了
01:32:37:00		那我們去找他
01:32:38:14	01:32:39:10	好
01:32:56:23	01:32:57:28	是永鑫號
01:32:59:20	01:33:00:22	爸爸
01:33:11:24	01:33:12:28	為什麼
01:33:22:26	01:33:24:07	爸爸
01:33:27:15	01:33:28:20	爸爸
01:33:29:27	01:33:31:07	爸爸
01:33:32:21	01:33:34:09	爸爸
01:33:37:25	01:33:39:11	爸爸
01:33:40:18		阿文師傅
01:33:42:11	01:33:43:29	爸爸
01:33:45:08	01:33:46:24	阿文師傅
01:33:48:15	01:33:50:03	阿文師傅
01:33:51:06	01:33:52:25	爸爸
01:35:30:29	01:35:31:29	阿之
01:35:33:07	01:35:34:16	這個給你
01:35:37:22		這是什麼意思
01:35:39:23		我明天就要回日本了
01:35:43:20	01:35:46:03	真的很謝謝你的照顧
01:35:48:28	01:35:50:02	拿回去
01:35:55:11		我跟我爸爸
01:35:57:21	01:35:59:29	一直給你們添麻煩
01:36:01:12	01:36:03:15	真的很不好意思
01:36:10:29	01:36:13:02	你這樣跟你爸有什麼兩樣
01:36:16:03	01:36:18:21	我真的該走了
01:36:20:17	01:36:22:03	會給你寫信的
01:36:25:25	01:36:27:08	謝謝
01:36:35:24	01:36:38:04	你真的只是這樣就要放棄嗎
01:36:41:02	01:36:42:24	不是放棄
01:36:43:26		我在這裡真的會給你們添麻煩
01:36:47:00		什麼麻煩
01:36:48:23	01:36:50:13	你只是在找藉口
01:36:55:28	01:36:57:20	你回日本又能怎樣
01:36:59:22		回去你做得了嗎
01:37:02:07	01:37:04:12	你爸殺人跟你沒有關係
01:37:09:19		跟我爸爸本來就沒有關係
01:37:12:16	01:37:14:07	是我自己要放棄的
01:37:15:18	01:37:17:10	那我之前教你的呢
01:37:19:21	01:37:21:09	你都忘了嗎
01:37:24:02	01:37:26:10	你這樣是在浪費我的時間
01:37:28:24	01:37:30:18	我沒有時間了
01:37:32:13		本來就是我太天真的
01:37:35:16		女生本來就不可能做壽司的
01:37:38:06	01:37:39:27	那我為什麼要選你
01:37:43:02	01:37:44:27	是因為你很努力
01:37:46:29		你比我之前看過的人
01:37:47:27	01:37:49:29	都還要努力, 你知道嗎
01:37:51:13	01:37:53:04	為什麼要放棄
01:38:20:13	01:38:21:18	小綠
01:38:25:17	01:38:26:28	留在台灣
01:38:30:07	01:38:32:18	你可能會失去對壽司的熱情
01:38:36:09	01:38:37:22	回去是對的
01:38:44:08	01:38:46:05	如果有你爸的消息
01:38:49:23	01:38:52:03	我會請爺爺跟你說
01:39:07:16	01:39:08:18	小綠
01:39:20:16	01:39:21:22	小綠
01:40:11:19		你醒了
01:40:13:17		醫生說你馬上要住院
01:40:15:19	01:40:17:13	我先回去幫你拿些衣服
01:40:20:02		我先送你去機場
01:40:21:28		你這樣會來不及
01:40:23:18	01:40:25:17	其他的事我再自己處理
01:40:26:28		我們先去辦住院
01:40:28:23	01:40:30:23	然後我再回去拿衣服
01:40:31:16		你還有沒有什麼東西
01:40:32:10	01:40:33:23	要我幫你拿的
01:40:35:02	01:40:36:14	我不想要住院
01:40:38:16		你在想什麼
01:40:39:25	01:40:40:29	我沒有錢住院
01:40:49:04	01:40:50:13	爺爺知道嗎
01:40:53:22		也要找到配對者才有用啊
01:40:56:24		不然我只是躺在醫院
01:40:59:20	01:41:01:03	我不想住院
01:41:03:00	01:41:06:05	你不應該把時間放在青田上
01:41:08:04	01:41:09:24	我沒有時間了
01:41:11:12	01:41:13:12	所以我只想做一件事
01:41:15:03		就是在下次十號
01:41:16:24		穎如來的時候
01:41:19:01		幫她和她還沒出生的小孩
01:41:22:16		做一道親子料理
01:41:25:11	01:41:27:06	其他事都不重要了
01:41:33:03	01:41:34:08	你知道嗎
01:41:36:25	01:41:38:05	她會這樣
01:41:39:26	01:41:41:11	都是我害的
01:41:44:02	01:41:46:18	當時我騎車不小心撞到她
01:41:51:02	01:41:53:06	害她的腳不能走
01:42:10:26	01:42:12:11	你可以見她
01:42:13:29	01:42:16:02	但我希望是最後一次
01:42:37:14	01:42:38:28	這十年來
01:42:40:20	01:42:42:13	每個月的十號
01:42:44:28	01:42:47:04	她都會坐在同一個位置
01:42:49:09	01:42:51:11	點同一道菜
01:43:05:28	01:43:08:28	這是台灣手工的柳刃刀
01:43:13:08	01:43:14:23	還有我的筆記本
01:43:20:08	01:43:22:13	如果你真的很喜歡壽司
01:43:23:23		就答應我
01:43:26:10	01:43:27:26	不要放棄
01:43:57:05		司機, 不好意思
01:44:00:06	01:44:02:01	麻煩前面調頭
01:44:04:05		我不回去了
01:44:05:29		你不用管我了
01:44:07:25		回日本吧
01:44:09:28		你需要我的幫忙
01:44:12:04		我現在就取消機票
01:44:13:25		這是在幹嘛
01:44:15:21		你在浪費時間, 你知道嗎
01:44:17:16		我的事我自己處理
01:44:19:14		你是大笨蛋
01:44:20:27	01:44:22:10	我不回去
01:44:36:20		爺爺
01:44:38:15		阿之需要找骨髓的配對者
01:44:41:21		但他的很罕見
01:44:44:05		他還剩下多少時間
01:44:47:13		兩個月
01:44:49:01		可能更少
01:44:51:11		而且他沒有錢治療
01:44:54:05	01:44:55:16	該怎麼辦
01:45:25:02	01:45:26:10	切完啊
01:45:31:07	01:45:32:17	你們出來一下
01:45:44:14		我看這間店
01:45:46:24	01:45:48:08	該結束了
01:45:50:16		本來這間店
01:45:53:09	01:45:54:29	我想要傳給你
01:45:57:19		但現在
01:45:59:17		應該賣掉
01:46:01:12	01:46:03:06	來醫你的病
01:46:10:21		師傅
01:46:12:16	01:46:14:09	我真的很想站台
01:46:17:24		我知道你很想站台
01:46:20:15		不過你更應該休息
01:46:23:17		請讓我把店傳下去
01:46:25:15	01:46:27:05	青田不能賣
01:46:28:17		我們都盡力了
01:46:30:22		我送你去醫院
01:46:32:21	01:46:34:12	我不想躺在醫院
01:46:35:20		而且我已經找到
01:46:36:11	01:46:38:16	能夠接手青田的人了
01:46:40:04		是誰
01:46:41:20	01:46:42:23	她
01:46:44:07		她
01:46:45:26	01:46:47:02	小綠
01:46:51:11		不行啦
01:46:53:01		師傅, 她可以的
01:46:55:26		拜託
01:46:57:02		做壽司沒有人在收女生
01:46:59:29		這個行規你不是不知道
01:47:02:06		這裡不是日本
01:47:04:06	01:47:05:20	是青田
01:47:08:20		女孩子手的溫度高
01:47:11:00		看到血還會怕
01:47:12:20		又愛哭
01:47:14:29		手的溫度不是問題
01:47:16:29		而且她不怕血
01:47:19:10		雖然有點愛哭
01:47:20:29		但是她很努力
01:47:23:19		請讓我把店傳下去
01:47:25:20	01:47:27:11	青田不能賣
01:47:29:10	01:47:31:16	這個行規也不是我定的
01:47:34:01	01:47:35:09	爺爺
01:47:37:07		能不能讓阿之
01:47:39:01	01:47:41:09	做到下個月十號就好
01:47:43:01	01:47:45:03	那天對他來說很重要
01:47:46:05	01:47:47:10	你...
01:47:49:24		你已經盡力了
01:47:52:22		而且你生病
01:47:55:05		對客人不禮貌
01:47:57:09	01:47:59:18	阿之的病又不會傳染
01:48:01:04		不行
01:48:02:23		爺爺, 阿之修業十幾年
01:48:05:22		他要的就是那一天而已
01:48:08:06		為什麼這樣都不可以
01:48:10:13		爺爺是老頑固
01:48:11:18		你...
01:48:12:22	01:48:13:29	小綠
01:48:21:23		如果沒有了青田
01:48:24:13		小綠就沒有家了
01:48:26:15	01:48:27:25	拜託你
01:48:32:12	01:48:33:13	好
01:48:34:26		下個月十號之前
01:48:37:03		你們做的壽司
01:48:39:13		如果沒辦法使我感動
01:48:43:11	01:48:45:20	我一樣會把這間店收起來
01:48:47:12		謝謝師傅
01:48:49:15		不過這段期間
01:48:51:00		暫時停止營業
01:48:54:02	01:48:56:04	我看你們的表現
01:48:57:06		我們
01:48:58:11	01:49:00:06	對, 是你們
01:49:06:03	01:49:07:24	爺爺同意了, 你知道嗎
01:49:10:22		真的嗎
01:49:12:14		真的啊
01:49:14:02	01:49:15:20	他同意了
01:49:17:03	01:49:18:17	太好了
01:49:20:13		只要通過爺爺那一關
01:49:22:28	01:49:24:29	就可以把青田傳下去
01:49:29:01	01:49:31:25	沒有你在, 我不可能的
01:49:34:18		那你要放棄喔
01:49:36:02	01:49:37:22	沒有啊
01:52:03:29	01:52:05:09	阿之
01:52:08:21		你給我一個考試
01:52:12:05	01:52:13:19	可以嗎
01:52:24:11	01:52:26:02	把我當成爺爺
01:52:29:16	01:52:30:27	我知道了
01:52:37:20		考試的時候
01:52:40:08	01:52:42:05	就是你一個人
01:52:53:17		不管以前發生過什麼事情
01:52:56:21		做壽司的時候
01:52:59:16		就要拋開一切
01:53:03:03	01:53:05:11	把心靜下來
01:55:11:25	01:55:12:25	阿之
01:55:14:08	01:55:15:12	手
01:55:23:04	01:55:24:08	OK
01:55:56:13	01:55:58:07	你們可以開始了
01:59:16:03		沒有錯
01:59:19:17	01:59:21:12	這就是爸爸的味道
01:59:32:27		這支刀
01:59:34:20		是我在日本出師的時候
01:59:38:01		我師父送給我的
01:59:40:06		現在傳給你
01:59:41:29		從今以後
01:59:43:13	01:59:45:26	你就是一個真正的師傅
01:59:51:21	01:59:54:02	所以小綠可以做學徒了嗎
01:59:55:20	01:59:57:20	再讓我考慮一下
02:00:04:24		師傅
02:00:06:18	02:00:08:08	拜託你給她一個機會
02:00:14:14	02:00:16:00	阿之
02:00:30:17		我沒有時間了
02:00:33:08		所以我只想做一件事
02:00:35:27		就是在下次十號
02:00:37:22		穎如來的時候
02:00:39:18		幫她和她還沒出生的小孩
02:00:43:09		做一道親子料理
02:00:46:06	02:00:48:02	其他事都不重要了
02:01:10:14	02:01:11:24	穎如
02:01:15:08		我看你們最近都暫停營業
02:01:17:29	02:01:19:18	是發生什麼事嗎
02:01:20:21		最近店裡有點事
02:01:22:29	02:01:25:27	但今天晚上我們一定會營業
02:01:28:26	02:01:30:24	拜託你一定要來
02:01:31:29		好
02:01:33:20	02:01:35:24	教會結束我今天一定會來
02:01:40:22	02:01:42:03	謝謝
02:01:43:12	02:01:44:22	晚上見
02:02:03:29	02:02:05:02	阿之
02:02:08:21	02:02:09:26	阿之
02:02:11:24		阿之
02:02:13:09	02:02:14:13	阿之
02:02:19:20		我把材料都帶來了
02:02:21:23		穎如今晚會來
02:02:23:09	02:02:25:07	你能做給她吃嗎
02:02:29:16	02:02:31:24	再讓我睡一下
02:02:33:13	02:02:34:27	再堅持一下
02:02:39:19		阿之
02:02:41:00	02:02:42:10	算了吧
02:02:44:18	02:02:46:01	我好累
02:02:52:01	02:02:53:06	小綠
02:03:05:10	02:03:07:02	你到底想做什麼
02:03:08:13		爺爺
02:03:09:22		穎如今晚會來店裡
02:03:12:20	02:03:15:07	阿之他希望能做壽司給她吃的
02:03:16:17		不管怎樣
02:03:18:26		你不要再提起做壽司的事情
02:03:21:23		讓他休息
02:03:22:25		不要
02:03:24:02		阿之他已經不會好了不是嗎
02:03:26:05		既然如此
02:03:27:18		阿之更應該要把他的心情
02:03:29:07		讓他心愛的人知道
02:03:32:02	02:03:35:17	這是阿之最後的機會
02:03:36:19		他這樣
02:03:38:02		做出來的壽司會好吃嗎
02:03:40:22	02:03:42:16	你不瞭解他的心
02:03:44:02		他的個性如果做不漂亮
02:03:46:16	02:03:48:02	他寧願不做
02:03:50:29	02:03:52:11	放棄吧
02:03:53:18	02:03:55:15	人生沒有十全十美的
02:03:57:17		爺爺不希望你和我們一樣辛苦
02:04:02:15		送走阿之之後
02:04:04:18		你也該回去日本了
02:04:06:19		找一份新的工作
02:04:08:28	02:04:11:00	不要做壽司師傅
02:04:18:23	02:04:19:20	阿之
02:04:22:19	02:04:23:19	你...
02:04:25:05		你怎麼出來了
02:04:26:12		爺爺
02:04:28:23		我不行
02:04:31:01		但她可以
02:04:33:08	02:04:34:28	我會證明給你看的
02:04:37:05	02:04:38:12	帶我回去
02:05:25:19	02:05:27:28	東西我都幫你準備好了
02:05:29:05	02:05:30:17	你可以放心
02:05:41:01	02:05:42:05	穎如來了
02:06:06:23	02:06:07:27	謝謝
02:06:08:29		你們師傅
02:06:10:06		今天沒有上班嗎
02:06:12:05		師傅退休了
02:06:13:15	02:06:17:05	今天做的是師傅最得意的徒弟
02:06:25:03	02:06:26:11	水果沙拉
02:06:28:00		味噌湯
02:06:29:22		謝謝
02:06:31:13	02:06:32:19	請慢用
02:07:15:02	02:07:19:05	還是我握飯, 你握魚片
02:08:01:23	02:08:03:19	幫我祝她幸福
02:08:28:16	02:08:31:16	師傅說祝你幸福
02:12:01:09	02:12:03:00	把你想說的話
02:12:04:03	02:12:05:10	像這樣
02:12:08:06	02:12:10:10	錄給你心愛的人聽
02:12:37:17	02:12:39:00	恭喜你
02:12:59:01		你女兒找你很久了
02:13:01:15	02:13:03:05	想要跟你見一面
02:13:08:16		師傅
02:13:10:28		我是一個丟臉的父親
02:13:13:14	02:13:15:15	我沒資格和她相認
02:13:17:19		那你可以幫我一個忙嗎
02:13:21:03		你就說你是我父親
02:13:23:13		來參加我的喪禮
02:13:26:13		可以嗎
02:13:27:26		是啦
02:13:29:09		她也不知道她父親長什麼樣子
02:13:31:03	02:13:32:13	她認不出來的
02:13:37:16	02:13:38:28	我拜託你
02:13:47:10	02:13:48:21	穎如
02:13:50:02	02:13:52:09	再次恭喜你也祝福你
02:13:54:11	02:13:57:00	謝謝你這些年對我的包容
02:13:59:09	02:14:01:27	我沒有資格擁有你的愛
02:14:03:12	02:14:05:12	我要離開青田了
02:14:06:17	02:14:08:12	我想告訴你
02:14:09:18	02:14:11:11	我一直都愛著你
02:14:15:11	02:14:17:01	等雨停了
02:14:18:26	02:14:20:20	我想去看海
02:14:23:04	02:14:24:07	好
02:14:26:09	02:14:28:05	能幫我一個忙嗎
02:14:32:03	02:14:34:17	我爸可能會來我的喪禮
02:14:36:29	02:14:38:20	如果他有來
02:14:40:09	02:14:43:06	你能幫我做壽司給他吃嗎
02:14:45:05		好
02:14:47:16	02:14:49:04	我會幫你
02:15:17:21	02:15:20:03	我想吃你做的壽司
02:17:43:08		你來了
02:17:45:01	02:17:46:06	好久不見
02:17:47:14	02:17:48:12	來
02:18:13:04	02:18:14:10	謝謝
02:18:15:12	02:18:16:13	對了
02:18:18:14		這個
02:18:20:17	02:18:23:05	是敬之拜託我拿給你的
02:18:28:00	02:18:29:09	謝謝
02:18:34:19		把你想說的話
02:18:37:11	02:18:38:26	像這樣
02:18:41:17	02:18:43:23	錄給你心愛的人聽
02:18:47:25	02:18:49:06	小綠
02:18:52:06	02:18:54:23	恭喜你通過考試
02:18:59:28	02:19:01:28	要站台了
02:19:06:21	02:19:10:11	有件事我想道歉
02:19:14:24		我說我父親
02:19:18:10	02:19:20:15	會來參加我的喪禮
02:19:25:08	02:19:26:22	其實
02:19:28:20	02:19:30:21	他就是你的父親
02:19:50:28		小綠
02:19:52:12		請再給他一點時間
02:19:55:17		請問你是...
02:19:57:21		我是...
02:19:59:24		阿之的爸爸
02:20:01:28	02:20:03:20	我相信有一天
02:20:07:00	02:20:08:18	阿之爸爸, 你好
02:20:10:01	02:20:11:28	他會回到青田
02:20:19:09	02:20:22:18	實現你們一起做壽司的願望
02:20:41:05	02:20:42:21	站出去
02:20:45:08	02:20:47:20	就要成為師傅了
02:20:52:16		還記得我說的
02:20:55:05	02:20:57:02	做壽司前
02:20:59:08	02:21:02:15	把心靜下來
