01:01:33:02	01:01:34:04	成績單呢
01:05:59:14	01:06:01:14	唯一得到的好康
01:06:02:14		一個女朋友
01:06:03:29	01:06:05:18	她叫小玫
01:06:15:07		小玫
01:06:16:00		這是昨天主管交代的文件
01:06:18:03		謝謝
01:06:18:25		你要跟我們一起去吃飯嗎
01:06:19:27		你先去吃吧
01:06:20:28		我還有事要忙
01:06:21:21		OK, 那要幫你買回來嗎
01:06:22:28		不用了, 謝謝
01:06:23:21	01:06:24:16	OK
01:06:37:09	01:06:38:08	哈囉
01:06:42:29	01:06:44:04	這是要給你的
01:06:44:20		你又被炒魷魚
01:06:46:19	01:06:47:27	這次是因為什麼
01:06:48:17	01:06:49:24	一樣啊
01:06:54:19		這是上次幫你媒合的工作
01:06:57:00		找工作又不是交女朋友
01:06:58:26	01:07:00:15	哪有什麼個性不合的啊
01:07:02:04		難不成你跟你的工作
01:07:03:13	01:07:05:02	個性就很合喔
01:07:05:19	01:07:07:17	不合可以不要做啊
01:07:08:03		你在說什麼啊
01:07:09:03		怎麼可以不要做
01:07:10:14		這麼多人失業
01:07:11:14	01:07:13:08	這樣很不負責任耶
01:07:16:06	01:07:18:02	又不是你害的
01:07:19:12		像你這種人可以認真一點
01:07:21:11	01:07:23:07	我就輕鬆很多了
01:07:25:00	01:07:26:21	我是好心勸你耶
01:07:27:18	01:07:29:06	不然你加入我的行列啊
01:07:29:17	01:07:31:18	拋下這萬惡的工作吧
01:07:32:23		你講得這麼容易啊
01:07:34:06	01:07:35:21	我還有家要養耶
01:07:36:03		什麼
01:07:37:13		你是說
01:07:38:21	01:07:40:28	你有三個小孩要養嗎
01:07:42:01	01:07:43:08	小聲一點啦
01:07:44:04		什麼
01:07:45:10		你是說你已經有三個小孩
01:07:46:16	01:07:48:00	還未婚生子喔
01:07:49:08	01:07:50:24	很幼稚耶
01:07:52:17		對啦, 我就是因為幼稚
01:07:55:09	01:07:59:03	所以才會追你追這麼久啦
01:08:04:26	01:08:07:03	你笑起來好可愛喔
01:08:07:27		所以我以前笑起來很醜
01:08:10:04		沒有啦
01:08:11:29	01:08:14:08	你以前笑起來就長這樣啊
01:08:18:14	01:08:20:06	你認真一點好不好
01:08:39:14		其實小玫可能是這個世界上
01:08:41:29	01:08:43:28	唯一一個喜歡我的人了
01:08:45:20		那恭喜你啊
01:08:47:08		剛升上經理一定會很忙的
01:08:49:22		但是記得啊
01:08:50:26		要照顧身體知道嗎
01:08:52:21	01:08:54:15	有空要常回家吃飯
01:08:55:18		來, 這是你最愛吃的放山雞
01:08:57:25	01:09:00:04	媽媽特別請攤子替你留的喔
01:09:08:08		我哥負責讓老爸, 老媽開心
01:09:11:22	01:09:16:18	我負責讓他們不開心
01:09:26:19	01:09:27:21	等等
01:09:28:10		你哥幫你介紹的工作
01:09:29:28	01:09:31:13	面試得怎麼樣了
01:09:33:06	01:09:34:06	還好
01:09:35:05		弟弟, 來吃飯
01:09:35:24	01:09:37:14	媽媽今天有買雞腿
01:09:38:28	01:09:40:03	沒關係啦
01:09:40:12	01:09:43:05	那不是你們特別幫哥準備的嗎
01:09:44:23	01:09:45:26	我出門了
01:10:07:05	01:10:08:11	飛高高囉
01:10:12:10		小姐
01:10:13:12	01:10:15:25	請問你這個位子有人坐嗎
01:10:20:03		不好意思
01:10:20:22	01:10:22:24	有一個帥哥已經坐走了
01:10:27:28		幹嘛臉那麼臭
01:10:29:12	01:10:30:22	心情不好喔
01:10:33:18	01:10:35:12	那一定是又便秘囉
01:10:37:03	01:10:38:03	不是喔
01:10:39:28		我知道...
01:10:40:29	01:10:42:07	大姨媽來了
01:10:44:01	01:10:44:29	也不是
01:10:47:26	01:10:50:26	那各位觀眾
01:10:52:01		一定是...
01:10:53:27		老闆...
01:10:55:22	01:10:57:03	很...
01:10:57:24	01:10:58:26	機車
01:11:07:23		不要心情不好
01:11:08:22		我介紹一個療癒小遊戲給你
01:11:10:25		你看, 你可以拍一個
01:11:12:04		老闆的照片有沒有
01:11:13:17		然後這樣移這個道具
01:11:15:05		移這個道具過來
01:11:16:12		然後再揍他
01:11:17:11	01:11:18:16	揍他的臉
01:11:18:27	01:11:21:00	揍他...
01:11:23:20	01:11:24:28	你幹嘛啊
01:11:26:10		玩遊戲...
01:11:28:00		一天到晚只會玩遊戲
01:11:29:21		你能不能有用一點啊
01:11:31:10	01:11:33:12	能不能...
01:11:35:17	01:11:36:24	你...
01:11:38:05	01:11:40:07	你真的大姨媽來了喔
01:11:53:23		好啦, 對不起
01:11:54:13		都是我的錯
01:11:55:05	01:11:56:25	你不要哭了好不好
01:11:58:09	01:12:00:00	你發生什麼事情
01:12:01:07	01:12:02:18	跟我說嘛, 乖
01:12:07:01		小玫家裡被倒會
01:12:08:29		欠了一屁股債
01:12:11:15		兩個禮拜以後
01:12:12:10	01:12:14:22	就得還高利貸三十萬
01:12:16:07	01:12:20:15	這是我第一次看到她哭
01:12:22:21		我不會讓這個世界上
01:12:23:24	01:12:25:21	唯一喜歡我的人再哭了
01:12:26:03		不過就區區三十萬而已
01:12:28:12		我是她男朋友
01:12:29:20	01:12:30:15	我扛
01:12:34:15		史先生, 很抱歉通知您
01:12:36:05		您的貸款沒有過喔
01:12:37:11		您沒有工作證明
01:12:38:12		是不能申辦現金卡的
01:12:39:14		史先生, 很抱歉
01:12:40:26		史先生
01:12:41:20		你這樣子讓我們很困擾
01:12:43:07		史先生, 你要抵押的房屋
01:12:44:19		不是登記在你名下耶
01:12:46:05		史先生, 對不起
01:12:47:08	01:12:49:04	我們主管說他不想見你
01:12:56:19	01:13:00:14	我果然是個廢柴男友
01:13:27:00	01:13:28:06	怎麼不吃飯
01:13:38:07		爸, 媽
01:13:39:14	01:13:41:27	我女朋友家裡有一點狀況
01:13:42:19		是那個女孩子小玫嘛
01:13:45:05	01:13:46:10	她怎麼了
01:13:46:21	01:13:48:27	她們家現在急需要一筆錢
01:13:51:26	01:13:53:06	要多少啊
01:13:53:15		三十萬
01:13:54:27		不用, 二十萬就好
01:13:56:08	01:13:57:19	其他的我來湊
01:14:00:00	01:14:00:25	好
01:14:01:29	01:14:03:08	幫助人是好事
01:14:07:22	01:14:09:01	兒子長大了
01:14:09:23	01:14:11:10	對啊, 會幫別人想了
01:14:14:26	01:14:16:02	怎麼不吃飯
01:14:21:26		我...
01:14:22:13	01:14:24:09	你最近有在找工作嗎
01:14:28:21	01:14:30:02	什麼樣的工作啊
01:14:32:23		就我女朋友在就業服務中心
01:14:36:23	01:14:38:23	有幫我申請一些工作
01:14:39:23		那個女孩子嘛
01:14:40:23		叫做小麗還是小什麼的
01:14:44:05	01:14:45:15	小玫啦
01:14:45:28	01:14:47:07	講過很多次了啊
01:14:48:11	01:14:50:04	有空帶她到家裡來玩嘛
01:14:51:07		自己都養不活了
01:14:52:22		還交什麼女朋友
01:14:54:20		找個工作
01:14:55:21	01:14:57:07	還要女孩子家來幫忙
01:14:57:21	01:14:58:29	這像話嗎
01:15:05:08	01:15:06:06	我吃飽了
01:15:06:29		你根本什麼都還沒吃
01:15:08:18		我吃不下
01:15:09:26		這樣怎麼行
01:15:10:18		三餐都不正常
01:15:12:01		你看看你兒子
01:15:13:11		到底是怎麼教的嘛
01:15:15:03	01:15:16:03	什麼態度啊
01:15:16:21	01:15:17:29	都是你寵出來的
01:15:18:17		對不起
01:15:19:24		我會再好好跟他說的
01:15:21:21		我拉下老臉
01:15:23:00		幫他介紹部隊裡的職缺
01:15:24:29		他哥幫他安排的工作
01:15:26:22		他哪一個認真做了嘛
01:15:28:12	01:15:30:01	好啦, 你小聲一點
01:15:30:19	01:15:32:09	沒有工作還交女朋友
01:15:33:04	01:15:33:28	荒唐
01:15:57:02		在現實生活中
01:15:58:26		我或許是個不起眼的角色
01:16:01:10		但在這裡
01:16:02:29		我是傳說中的勇者
01:16:05:05		SCOTT578
01:16:07:25	01:16:11:07	鄉民之王史考特大大
01:17:18:26		對耶
01:17:20:10		網路上幫人代刷裝備
01:17:21:21		最適合我啦
01:17:23:11		練功就有錢賺
01:17:25:24	01:17:27:13	我怎麼之前沒想到
01:17:54:07	01:17:57:01	這根本不是一個長久的辦法嘛
01:17:57:16		練等級練到後面越練越慢
01:18:01:00		還沒有升級
01:18:02:03	01:18:04:22	我就要升天了啦
01:18:05:08	01:18:07:24	根本就來不及啊
01:18:33:04		我開始幫人解決各種疑難雜症
01:18:36:03		想不到這份工作
01:18:37:07		就像玩遊戲破關一樣
01:18:39:10		完成一個任務
01:18:40:24	01:18:42:24	可以增加自己的經驗值
01:18:43:11	01:18:45:28	而且現實生活還可以賺到錢耶
01:18:46:15		不用動腦
01:18:47:19		不用廢話
01:18:49:00		也不用討老闆歡心
01:18:50:23		簡直就是為我量身打造的工作
01:18:53:19	01:18:55:09	好處多得數不完啊
01:18:56:09		但可惜啦
01:18:58:03		唯一的缺點就是...
01:18:59:22		四千, 五千, 六千
01:19:02:11		七千, 八千, 九千
01:19:05:06		九千一, 九千二, 九千三
01:19:07:15	01:19:09:14	怎麼還差這麼多啊
01:19:10:25		這樣子的賺法
01:19:12:19	01:19:16:01	根本就來不及啊
01:19:28:19	01:19:30:12	真實的人生
01:19:31:08	01:19:32:23	果然很殘忍
01:19:40:20	01:19:41:19	喂
01:19:44:00	01:19:44:29	我就是
01:19:46:22		對
01:19:47:24		只要是不殺人放火的事情
01:19:49:15		我什麼都接
01:19:50:20	01:19:52:01	請問你哪裡
01:19:55:11	01:19:57:14	什麼, 二十萬啊
01:20:15:01	01:20:15:28	老大
01:20:21:06	01:20:22:18	是不會叫人啊
01:20:25:08	01:20:26:06	大哥
01:20:27:10	01:20:28:08	好
01:20:54:17		漫畫裡心狠手辣的反派角色
01:20:58:05		都是我對面這種
01:20:59:28	01:21:01:28	戴金框眼鏡的人啊
01:21:05:08		殺人放火的事
01:21:06:06		我做不來啊, 大哥
01:21:08:01	01:21:09:09	什麼大哥
01:21:10:04	01:21:11:27	董事長啦
01:21:14:07		對不起啊, 大哥
01:21:15:13	01:21:16:20	還大哥
01:21:29:03	01:21:34:04	把這個裝到我前女友的家裡
01:21:34:28	01:21:36:05	就好了
01:21:37:04	01:21:38:07	簡單吧
01:21:41:03	01:21:42:27	要不是我的小弟...
01:21:48:09		要不是我合法融資公司的
01:21:52:27		理財專員
01:21:54:22	01:21:56:14	我的前女友都認識
01:21:56:27	01:21:58:19	也不會找你做這件事
01:22:01:15		這不是一件
01:22:02:01	01:22:03:25	什麼殺人放火的事情
01:22:08:02	01:22:09:09	應該說
01:22:10:17		這是一個
01:22:11:06	01:22:13:29	在愛情裡面受傷的男人
01:22:16:05	01:22:19:13	想找到真愛的復仇吧
01:22:21:19	01:22:23:25	她傷我傷得太深了
01:22:41:01	01:22:42:16	到時候你在那邊拍
01:22:42:28	01:22:44:11	我就在這邊跟你確認
01:22:46:18	01:22:47:14	好
01:22:59:29	01:23:02:12	信封裡面是頭款十萬
01:23:04:01	01:23:06:02	事成之後再十萬
01:23:10:29	01:23:11:25	怎麼樣
01:23:12:13	01:23:13:12	做不做
01:23:14:09	01:23:15:09	一句話
01:23:19:13	01:23:20:14	我做
01:23:36:08		你是誰
01:23:37:05		你好
01:23:37:14		我是晶晶天然氣瓦斯公司的技師
01:23:39:12		敝姓賈, 編號一六八
01:23:40:26	01:23:42:29	天然氣公司
01:23:43:17	01:23:44:10	要幹嘛
01:23:44:16		這裡是美麗觀園十六號八樓嗎
01:23:47:16	01:23:48:16	是啊
01:23:49:24		我們公司接到你們的電話
01:23:51:05		說瓦斯有問題
01:23:52:04	01:23:54:01	所以派我來檢查
01:23:55:10	01:23:58:00	可是我們都沒有打電話耶
01:24:01:23	01:24:04:04	會不會是你家人打的呢
01:24:06:07		不好意思...
01:24:07:00	01:24:08:04	打擾了...
01:24:14:03	01:24:15:07	你誰啊
01:24:15:21	01:24:18:14	他說他是晶晶天然氣的技工啦
01:24:19:16		對, 我是晶晶天然氣瓦斯公司的技工
01:24:22:04	01:24:23:23	敝姓賈, 編號一六八
01:24:28:21		是你們打電話到我們公司
01:24:30:01		所以我才來查表的
01:24:32:16		你有打電話嗎
01:24:34:00	01:24:35:09	沒有啊
01:24:36:08	01:24:38:02	我們沒有打電話啊
01:24:51:00		好, 不過熱水氣忽冷忽熱的
01:24:54:02	01:24:55:21	你就看看好了
01:24:57:11		好啊, 熱水器在哪裡
01:24:59:22	01:25:01:03	我檢查看看
01:25:02:12		你上次就說那是最後一次了
01:25:04:25	01:25:06:13	那麼危險, 我不要去
01:25:14:08		這種事我說不幹就不幹嗎
01:25:16:23		而且就做完這一票
01:25:18:19		我們可以過好日子耶
01:25:20:24		就很危險啊
01:25:22:01		我也不想再跑路了啦
01:25:24:10		相信我
01:25:25:08	01:25:27:13	就做完這一次, 可以嗎
01:25:40:24	01:25:42:04	有了嗎...
01:25:43:19	01:25:44:23	順時針一點
01:25:45:15		太多了
01:25:46:17	01:25:47:17	這樣可以嗎
01:25:49:12	01:25:50:20	你在幹什麼
01:26:18:11	01:26:19:09	怎麼啦
01:26:20:02	01:26:22:05	喂...
01:26:23:06		喂, 我現在在上班班
01:26:25:10		不能跟你講電話啦
01:26:26:25		什麼東西
01:26:27:12		你在上什麼班
01:26:28:25		你真的很盧
01:26:30:03		我就跟你說在上班班
01:26:32:08	01:26:33:18	你在講什麼啊
01:26:34:19		好啦, 我不能說了
01:26:35:10	01:26:36:07	啾咪, 拜
01:26:38:04		不好意思
01:26:39:14	01:26:40:29	女朋友超煩的
01:26:47:07	01:26:50:02	對, 講都講不聽
01:26:51:12		對啦
01:26:52:14	01:26:54:19	這件事情問我就對了
01:26:55:11		我跟你說
01:26:56:09		我女朋友超盧的
01:26:58:04		對啊, 有夠執著的
01:27:00:16		怎麼講都講不聽
01:27:02:02	01:27:04:19	對啊, 女生都這樣嘛
01:27:23:13	01:27:26:23	嚇死我了...
01:27:28:14	01:27:30:16	沒想到這樣都能過關
01:27:36:13		有時候我厲害起來
01:27:38:06	01:27:39:29	連我自己都害怕
01:27:47:00		完美
01:27:48:12		再加上尾款十萬
01:27:50:17	01:27:51:29	一切就搞定
01:27:54:11	01:27:56:10	你哪來這麼多錢啊
01:27:57:07	01:27:58:07	打工啊
01:27:58:21	01:27:59:25	打工
01:28:00:12	01:28:01:27	打工能賺那麼多
01:28:03:12	01:28:04:13	真的啊
01:28:05:11	01:28:08:04	全部都是我自己一塊一塊賺的
01:28:08:21	01:28:10:05	我才不相信
01:28:11:22	01:28:12:26	真的啦
01:28:14:00	01:28:15:18	錢都在你面前了
01:28:20:05		放心啦
01:28:21:12	01:28:23:02	你就先拿去應急嘛
01:28:23:27	01:28:25:07	可是...
01:28:26:27	01:28:28:10	你就先拿去用嘛
01:28:30:25		好吧
01:28:31:29		算是我先跟你借的
01:28:33:20	01:28:35:22	但我以後一定會還你喔
01:28:38:29	01:28:40:21	你幹嘛那麼見外啊
01:28:44:19		你就拿去用啊
01:28:46:06	01:28:47:27	其他的以後再說嘛
01:29:05:19	01:29:06:26	我想過了
01:29:09:02	01:29:10:19	我知道我以前很廢
01:29:12:15	01:29:13:25	不過...
01:29:14:29	01:29:16:01	我...
01:29:18:26	01:29:20:08	我...
01:29:21:03	01:29:22:29	我想說的是...
01:29:23:15	01:29:25:08	我想要照顧你一輩子
01:29:25:21		讓你每天都開開心心
01:29:27:13	01:29:29:03	不要再有煩惱了
01:29:45:10		我想說的是...
01:29:46:05	01:29:47:17	對不起
01:29:51:14		我最近真的很煩
01:29:52:26		我想一個人靜一靜
01:29:54:12	01:29:56:10	過幾天再說好嗎
01:30:20:02		董事長
01:30:21:06	01:30:22:05	人來了
01:30:23:12	01:30:24:09	游董
01:30:26:05		兄弟
01:30:27:24		做得不錯耶
01:30:29:05	01:30:30:23	你會成功的
01:30:32:02		多敏捷的反應對不對
01:30:33:17		對
01:30:34:04		謝謝
01:30:35:10	01:30:36:18	專業的
01:30:38:07		專業
01:30:39:01	01:30:40:04	好, 專業
01:30:47:05		其實我手上還有幾件事
01:30:50:27	01:30:53:04	我想交給你來做應該不錯
01:30:53:22	01:30:55:17	有沒有興趣多賺一點啊
01:30:57:18		我相信你一定可以做得
01:31:00:08	01:31:02:10	乾淨俐落
01:31:38:21	01:31:39:18	開玩笑的
01:31:40:27		沒關係
01:31:41:23	01:31:43:03	你仔細考慮一下
01:31:46:04		董事長
01:31:46:23	01:31:47:21	來
01:31:49:07	01:31:50:10	這是尾款
01:31:51:28		送客
01:31:52:25	01:31:53:25	謝謝游董
01:31:55:29		自從完成了游董的案子以後
01:31:58:14		我就在想
01:31:59:17		為什麼賺錢可以賺得這麼快
01:32:02:00		後來我才發現
01:32:03:17		原來最重要的關鍵就是...
01:32:05:26	01:32:07:07	假扮別人
01:32:08:23		你都不知道
01:32:10:12	01:32:12:19	原來這種需求有多大
01:32:13:29		曾麗穎
01:32:15:03	01:32:16:06	有
01:32:28:16	01:32:31:10	阿公
01:32:35:06		孫子人在國外沒辦法回來
01:32:37:09	01:32:39:15	所以他們就請我來哭
01:32:52:11		所以那種跑腿的小案子
01:32:53:24		我已經不接了
01:32:55:17		現在我是專門假扮別人的
01:32:58:19	01:33:00:08	事事達人
01:33:05:20	01:33:07:06	他到底想怎樣啊
01:33:08:22		他明明答應我
01:33:09:06	01:33:10:29	今年要跟她分開的啊
01:33:11:11	01:33:12:17	結果現在呢
01:33:13:05	01:33:14:23	什麼都沒有做到
01:33:21:28		他憑什麼若無其事的
01:33:22:27	01:33:24:09	跟她在一起
01:33:29:06	01:33:30:14	JULIE小姐啊
01:33:31:09		但是這樣看下來
01:33:33:22		你才是第三者
01:33:35:16	01:33:36:17	對吧
01:33:39:04	01:33:40:17	第三者又怎樣
01:33:41:02	01:33:42:26	他就是沒有做到答應我的事
01:33:48:19	01:33:49:15	沒關係
01:33:50:04		扮你男朋友有很多種扮法
01:33:52:19	01:33:54:21	只是你想要達到什麼效果
01:33:57:03		來, 這是我們的價目表
01:33:59:08	01:34:00:10	參考看看
01:34:04:21		一般來說
01:34:05:07		我們扮男朋友有很多種扮法
01:34:07:10		譬如說外表
01:34:08:12		就有美系啊, 韓系啊, 日系
01:34:12:02		個性也有很多種不同的風格喔
01:34:14:15		譬如說
01:34:16:06		把你呵護在手掌心的溫柔派啊
01:34:19:14		或者是
01:34:20:24	01:34:24:00	一直對你放電的癡情派啊
01:34:24:19		也可能是
01:34:26:20	01:34:30:29	一口想要把你吃掉的野獸派
01:34:34:04	01:34:36:05	你喜歡什麼都可以選啦
01:34:46:04		沒關係
01:34:47:06		如果你真的不知道要怎麼選
01:34:49:01		現在不急著告訴我答案
01:34:51:07		你可以參考我們的網站
01:34:52:06	01:34:53:12	在這裡
01:34:54:14		你放心
01:34:55:15		所有的會員資料
01:34:57:17		我們完全不會公開
01:34:59:17		你都可以上網填寫
01:35:01:17	01:35:02:24	超方便
01:35:06:05	01:35:07:12	超專業
01:35:10:09		人都是很奇怪的
01:35:12:05		他們只相信權威, 證據
01:35:14:23		還有事實
01:35:16:04		所以如果你只是說你男朋友很有錢
01:35:19:28	01:35:21:24	他們是絕對不會相信的
01:35:24:06		可能要麻煩你笑一下喔
01:35:25:21	01:35:27:10	那我要搭你的肩囉
01:35:28:25	01:35:30:10	一, 二, 三
01:35:31:04		但是如果他們看到
01:35:32:11	01:35:35:06	你跟你男朋友約會自拍的照片裡面
01:35:35:29		他戴著名牌錶
01:35:37:12		背著名牌包
01:35:38:25		還開名牌跑車來接你
01:35:41:09		但你卻總是很低調的
01:35:43:04		不跟他們說你男朋友的家世
01:35:46:08		這時候他們反而會...
01:35:48:18	01:35:49:17	上鉤
01:35:51:05		可能要麻煩你頭靠我一下
01:35:53:13	01:35:54:11	來
01:35:55:29	01:35:58:01	一, 二, 三
01:35:59:09	01:36:01:13	交往時間三個月
01:36:02:20	01:36:04:23	最喜歡的數字是七
01:36:06:13		這是什麼啊
01:36:07:24	01:36:09:02	基本資料啊
01:36:09:13		很重要, 要背起來喔
01:36:11:06		重點我已經幫你
01:36:12:08	01:36:14:02	用底線標示好了
01:36:16:05		還有
01:36:17:05		當天我會遲到一下下再進去
01:36:19:29		為什麼
01:36:21:05	01:36:22:11	期待感啊
01:36:22:20		讓他們上鉤
01:36:24:06	01:36:25:15	很重要
01:36:28:03	01:36:28:27	對了
01:36:29:16		可能要再麻煩你
01:36:31:01	01:36:33:01	跟我多補拍幾張照片
01:36:46:20		可以親密一點的沒關係
01:36:48:26	01:36:50:17	一, 二, 三
01:36:54:23	01:36:55:27	稍等一下
01:36:58:01		不要理她
01:36:58:24	01:37:00:00	好, 再來
01:37:11:29		恭喜
01:37:12:27	01:37:14:05	謝謝
01:37:14:18		所以你們婚期定了
01:37:16:09		確定要去沖繩了嗎
01:37:17:12		對啊...
01:37:18:17		你們不覺得
01:37:19:18		在海邊的教堂辦特別浪漫嗎
01:37:23:07		大手筆耶, SAM
01:37:25:21	01:37:28:02	對啊, 他就是對我這麼好
01:37:29:11	01:37:30:12	還好啦
01:37:30:22		所以現在飯店訂了嗎
01:37:32:09		訂了, 我在網路上
01:37:33:16		看到一個特別豪華的飯店
01:37:35:23	01:37:37:26	但是它就是有一點貴
01:37:39:11	01:37:41:13	可是它的氛圍真的超棒的
01:37:44:00	01:37:45:05	嗨, BABY
01:37:48:02	01:37:49:12	久等了
01:37:51:28	01:37:53:12	你怎麼現在才來
01:38:02:28	01:38:06:03	因為準備這個需要一點時間
01:38:12:24	01:38:14:01	都是給我的
01:38:18:16		BABY
01:38:19:25		喝第幾杯啦
01:38:21:16		才第一杯咖啡而已
01:38:23:25	01:38:25:01	好乖喔
01:38:25:21	01:38:27:09	我再去幫你拿一杯飲料好不好
01:38:31:11		這什麼...
01:38:31:27	01:38:33:01	我要看...
01:38:35:05		哪來的天菜啊
01:38:37:01	01:38:38:27	惦惦吃三碗公喔
01:38:39:22	01:38:40:24	那什麼啊
01:38:43:04		你看, 法國
01:38:45:09	01:38:46:12	PARIS
01:38:46:23		你很會藏耶
01:38:48:26	01:38:49:25	好好喔
01:38:50:13		你男友也太貼心了吧
01:38:52:17		你看人家啦
01:38:54:02	01:38:55:05	哪像你
01:38:56:09	01:38:58:05	他很愛管我喝咖啡
01:38:58:16	01:38:59:27	覺得有點煩
01:39:00:13		咖啡而已好不好
01:39:01:26	01:39:03:04	貼心喔
01:39:04:10	01:39:05:06	BABY
01:39:06:07	01:39:07:14	講我壞話喔
01:39:09:25		不好意思
01:39:11:09		JULIE她心臟不好
01:39:12:10		又愛喝咖啡
01:39:13:20		所以麻煩你們
01:39:15:05	01:39:16:20	多幫我盯著她
01:39:19:04	01:39:21:05	對不起, 我今天遲到了
01:39:21:26	01:39:23:05	沒關係
01:39:28:11	01:39:30:07	我只是擔心你而已
01:39:33:25		你們聊
01:39:35:00		我還有會要開
01:39:36:17	01:39:37:16	先走了
01:39:38:00	01:39:39:09	什麼會啊
01:39:39:24	01:39:41:06	沒有, 臨時的啦
01:39:42:24	01:39:43:23	不用擔心了
01:39:44:16	01:39:45:17	你們慢聊
01:39:47:10	01:39:49:23	等一下回家的時候小心一點
01:39:51:02		別忘了
01:39:52:02	01:39:54:06	明天我們還要挑婚紗呢
01:39:54:26	01:39:56:00	OK
01:40:03:02	01:40:04:00	BYE BYE
01:40:06:16	01:40:08:28	你看, 好用心喔
01:40:09:27	01:40:10:29	你看上面寫什麼
01:40:11:19		寶貝, 我愛你耶
01:40:13:04		超SWEET
01:40:13:22		超SWEET
01:40:14:17	01:40:15:15	對
01:40:18:06		這在哪裡拍的啊
01:40:19:05	01:40:20:16	這也太漂亮了吧
01:40:22:22		對啊
01:40:24:06	01:40:25:18	我先出去一下
01:40:26:10	01:40:27:07	我陪你
01:40:28:14	01:40:30:15	失陪了, 很高興認識你們
01:40:35:20	01:40:36:22	我跟你...
01:40:38:01		怎麼了
01:40:39:08	01:40:40:16	都準備好了嗎
01:40:41:01		好
01:40:41:20		記得, 三分鐘的時間
01:40:43:21		三分鐘喔
01:40:45:02	01:40:46:01	OK
01:40:47:00	01:40:47:27	加油
01:41:11:19	01:41:12:24	找我幹嘛
01:41:13:17	01:41:16:00	有什麼事不能在餐廳裡面講
01:41:17:08	01:41:18:18	那個男的是誰
01:41:21:00		回答我
01:41:22:04	01:41:23:14	你們交往多久了
01:41:24:05	01:41:25:19	關你什麼事啊
01:41:26:10	01:41:27:24	請你放尊重一點
01:41:28:26		更何況
01:41:30:29	01:41:32:29	你的未婚妻還在裡面呢
01:41:35:23		我不是告訴...
01:41:36:13	01:41:38:13	祝福你找到真愛
01:41:39:18		如果沒什麼重要的事
01:41:41:27	01:41:43:06	那我先走了
01:41:47:15	01:41:48:24	我還是愛你的
01:41:49:08	01:41:51:05	你到底還要騙我多久
01:41:53:01	01:41:54:17	你明明說會跟她分開
01:41:55:15	01:41:56:22	現在呢
01:41:58:12	01:42:00:11	你說要跟她去度蜜月
01:42:03:27	01:42:05:10	我會把婚禮取消
01:42:06:12		你知道
01:42:07:16	01:42:09:01	我是愛你的
01:42:10:25	01:42:12:03	你沒有騙我
01:42:18:23	01:42:20:03	我愛你
01:42:20:25	01:42:22:14	我不會再次失去你了
01:42:23:26	01:42:25:00	相信我
01:42:26:01	01:42:27:24	再給我一次機會
01:42:28:25	01:42:30:19	我不會跟她結婚的
01:42:36:22		兩分五十五秒
