01:00:00:16	01:00:01:24	這什麼鬼地方啊
01:07:39:20		關於對方可以對林子閎
01:07:41:15		提出傷害告訴跟民事賠償
01:07:44:08		可能你們雙方談看看
01:07:47:02	01:07:48:20	願不願意和解
01:07:51:16		媽昨天跟林先生談和解
01:07:54:01	01:07:56:15	他說賠償金要五十萬
01:07:57:01		不賠錢也可以啦
01:07:58:28		那就乖乖地到我家住
01:08:00:26		做我的魔術助手一個月
01:08:02:21	01:08:04:08	要不然走法院
01:08:06:05	01:08:07:22	年輕人, 你過來
01:08:25:09	01:08:28:03	未來一個月你住這邊
01:08:31:07	01:08:32:09	這間
01:08:33:00		滿意嗎
01:08:33:22	01:08:35:04	總統套房喔
01:08:36:05		樓上有個房間上了鎖
01:08:39:05	01:08:40:10	不准進去
01:08:41:03	01:08:42:27	洗衣機在那邊
01:08:50:16		今日事今日畢
01:08:51:29	01:08:53:02	快去洗
01:09:20:07		一定又是那個老頭
01:09:21:02		弄什麼機關來整我
01:09:22:21	01:09:24:12	你又在碎碎唸什麼
01:09:25:10		沒有啊
01:09:26:12		你洗衣機壞了
01:09:27:23	01:09:28:24	真的喔
01:09:29:05	01:09:30:12	我怎麼不知道
01:09:39:20		生活白癡
01:09:40:13	01:09:43:03	難怪你媽媽會帶你帶得那麼累
01:09:43:19	01:09:45:22	這種東西不能吃太多
01:09:46:20		從今天開始啊
01:09:48:08	01:09:49:11	戒掉
01:09:53:25	01:09:55:18	我看是你自己想吃吧
01:09:58:18		違規肇事的罰單
01:09:59:21	01:10:01:03	到時候會寄給你們
01:10:01:21		關於對方可以對林子閎
01:10:03:03		提出傷害告訴跟民事賠償
01:10:05:20		可能你們雙方談談看
01:10:07:23		願不願意和解
01:10:09:06	01:10:10:14	林先生, 我們裡面請喔
01:10:11:18		要和解的事情
01:10:12:10		你們就再考慮看看好了
01:10:13:27	01:10:15:00	謝謝
01:10:15:29	01:10:17:09	這一位是林先生
01:10:18:21		林先生, 對不起
01:10:20:12		我兒子不是故意的
01:10:22:07		真的很抱歉
01:10:23:15		害你的手受傷了
01:10:25:09	01:10:26:18	您的手還好嗎
01:10:27:09	01:10:28:10	很不好啦
01:10:28:24	01:10:29:24	不能工作了
01:10:34:17	01:10:36:05	快點跟林先生道歉
01:10:37:28	01:10:38:28	子閎
01:10:43:24	01:10:44:28	對不起
01:10:46:02	01:10:47:10	聽起來沒什麼誠意
01:10:50:07	01:10:51:10	我又不是故意的
01:10:52:16		你怎麼可以用這種態度
01:10:53:13	01:10:54:20	跟人家說話呢
01:10:56:04		他的意思好像是說
01:10:58:09		我不應該用人去撞車
01:11:00:11	01:11:01:20	害他受傷
01:11:02:08		林先生, 不是這個樣子的
01:11:04:09	01:11:05:19	我又沒有這樣講
01:11:07:06		而且我也很倒楣啊
01:11:08:08		我開學之後還有個比賽
01:11:09:09		我這樣怎麼上台啊
01:11:10:21		這一次的見證天團
01:11:11:17		對我來說很重要
01:11:12:14		一年才有一次耶
01:11:13:22	01:11:16:01	而且這次還是由電視台主辦耶
01:11:16:13		對不起
01:11:17:09		我兒子他年紀小還不懂事
01:11:18:25	01:11:19:26	沒關係
01:11:20:17	01:11:22:00	他好像很委屈啊
01:11:23:11		大哥, 咱們法院見
01:11:25:11	01:11:26:14	我要告你
01:11:27:17		林先生...
01:11:28:24		你告就告啊
01:11:30:01		誰怕誰啊
01:11:31:03		你有種把我告死啊
01:11:32:11		你會活得比我久是不是啊
01:11:33:27		你有種就把我給告死啊
01:11:35:22		林子閎
01:11:37:01	01:11:38:24	你到底在幹什麼呀你
01:11:45:12	01:11:48:09	想不到他竟然跟你同名同姓
01:11:49:13	01:11:50:27	連年紀都一樣
01:11:54:22		爺爺從來都沒有忘記
01:11:56:29	01:12:00:07	十年前答應過要教你的魔術
01:12:01:10	01:12:02:26	只是...
01:12:06:24		想不到你爸爸這麼早
01:12:08:15	01:12:10:04	就把你帶走了
01:12:14:23	01:12:16:07	這一次遇到他啊
01:12:17:17	01:12:19:08	爺爺有一種感覺
01:12:21:00		好像是老天爺派他來
01:12:23:14	01:12:24:23	要他代替你
01:12:26:12		讓我有一個機會
01:12:29:05	01:12:31:12	可以實現對你的承諾
01:12:33:04	01:12:34:28	你兒子真的叫林子閎
01:12:37:00	01:12:38:09	他今年幾歲
01:12:38:19	01:12:41:17	他今年就要滿十八, 屬虎的
01:12:43:27		林先生, 我是真的覺得很慚愧
01:12:47:13		沒有把兒子教好
01:12:49:14		可是我希望你大人有大量
01:12:51:20		不要對他提起告訴
01:12:53:19		我們家子閎
01:12:54:20		他真的不是故意要撞你的
01:12:56:24	01:12:58:11	我真的覺得很抱歉
01:13:03:16	01:13:05:04	不告訴也可以啦
01:13:06:12	01:13:08:28	可是也應該處罰他一下
01:13:09:21		我有一個處罰的方式
01:13:11:03	01:13:12:22	想跟你商量一下
01:13:14:26		只要不太讓他受苦
01:13:17:16	01:13:19:09	我可以答應
01:13:20:01	01:13:21:02	受苦啊
01:13:21:12	01:13:22:26	他哪知道什麼叫苦
01:13:31:24		這些技巧啊
01:13:33:05		都需要很靈活的手指頭
01:13:34:21	01:13:36:03	才能做到的
01:13:37:25	01:13:39:12	我的意思是
01:13:40:15		叫他到我家去住
01:13:42:09		一邊幫我工作
01:13:43:16	01:13:45:24	一邊跟我學這個魔術
01:13:46:11	01:13:48:02	當作手指頭的復健
01:13:50:00		這個也許是一個
01:13:52:08	01:13:53:29	很不一樣的處罰啦
01:13:54:14		但是重點是要讓他知道
01:13:56:19	01:13:58:29	做錯事絕對不能逃避
01:13:59:06	01:14:00:21	一定要付出代價
01:14:01:18		如果你願意的話呢
01:14:03:16		希望你能配合我
01:14:05:12	01:14:07:28	我們就能演這齣戲
01:14:08:23		什麼啦
01:14:10:09		當你的魔術助手一個月
01:14:12:07		沒錯, 完全正確
01:14:13:22		這樣你媽媽就不用替你
01:14:14:29	01:14:16:14	賠那五十萬了
01:14:19:00		神經病喔
01:14:19:27		我又不會魔術
01:14:20:09		怎麼當你助手啊
01:14:21:22		這樣做對你有壞處嗎
01:14:23:16		不但不用賠錢
01:14:24:19		而且我教你的魔術啊
01:14:26:26		比醫院的復健還有效
01:14:28:20	01:14:30:22	說不定你的手很快就好了
01:14:32:21		對啊, 你不是也想趕快恢復
01:14:35:01		回樂團彈吉他嗎
01:14:36:18	01:14:38:14	你幹嘛又幫別人講話啦
01:14:39:14		年輕人, 你也差不多一點喔
01:14:41:10		你媽媽耶
01:14:42:26	01:14:44:08	沒大沒小你
01:14:44:20		反正出院以後來找我報到
01:14:47:09	01:14:49:27	要不然就等著坐牢
01:14:58:09	01:14:59:25	媽問過律師
01:15:00:04		是你有錯在先
01:15:01:20		又無照駕駛
01:15:03:03		又撞上上了年紀的老先生
01:15:05:15		是你害得林先生
01:15:06:15		沒有辦法做魔術表演
01:15:09:00		如果我們不私下和解
01:15:10:21		鬧到法院
01:15:11:24		要賠更多的錢
01:15:13:09		什麼跟什麼啊
01:15:14:26		是他傷得比較重
01:15:15:20		還是我比較重啊
01:15:16:28		我手這樣, 腳這樣
01:15:17:21		怎麼去參加那個音樂比賽啊
01:15:19:18		你又知道
01:15:19:29		我有多在乎那個音樂比賽嗎
01:15:21:05		我好不容易才拿到資格
01:15:22:04		可以參加那個音樂比賽耶
01:15:23:18		你現在是對與錯都不分了嗎
01:15:25:17		你怎麼...
01:15:25:27		對啦, 我就是對跟錯都不分啦
01:15:28:16		從小到大
01:15:28:29		你每次都說我對跟錯都不分
01:15:30:21		每次我在學校被人家欺負
01:15:31:19		跟人家打架的時候
01:15:32:11		你就只會帶我去跟人家道歉
01:15:34:01		你有想過我的感受是不是
01:15:35:13	01:15:37:00	你知道我有多丟臉嗎
01:15:37:26		我在學校都被人家笑是
01:15:38:25		沒有爸爸的小孩
01:15:40:04		你到底是不是我媽啊
01:15:41:21		我多麼希望我有個爸爸
01:15:42:18	01:15:44:01	你知不知道啊
01:16:22:27	01:16:24:00	告就告啊
01:16:24:13		我才不相信
01:16:24:28	01:16:26:18	法官會要我賠五十萬
01:16:29:18	01:16:30:09	閃人
01:17:30:09		想逃
01:17:31:15		有保全會嗶嗶
01:17:33:08		亂碰會射毒箭
01:17:35:10	01:17:36:28	神經病啊
01:17:37:29	01:17:39:19	弄得跟鬼屋一樣
01:17:43:13	01:17:44:12	那邊有光耶
01:17:44:22		應該就是這裡了啦
01:17:45:22	01:17:46:29	我們去看看啦
01:17:49:13		小聲一點
01:17:50:03	01:17:51:05	有保全
01:17:52:21		你們怎麼找到這兒的
01:17:54:02		旁邊側門沒關
01:17:55:09	01:17:56:25	所以我們就溜進來啦
01:17:57:08		你在裡面還好嗎
01:17:58:28		裡面怎麼樣...
01:17:59:29		好不好玩啊
01:18:00:27		好玩個屁啦
01:18:02:09		那老頭跟神經病一樣
01:18:03:26		規矩又多, 毛病又多
01:18:04:29		我都快受不了了
01:18:06:08	01:18:08:02	你太誇張了啦
01:18:09:05		走啦, 閃了啦...
01:18:11:00		不要怕被他告啦
01:18:12:03		對啊, 我爸認識很厲害的律師
01:18:13:18		你就跟我們走了吧
01:18:14:22		好了
01:18:16:02	01:18:17:16	吵死了
01:18:18:04		反正就才一個月
01:18:19:15	01:18:21:00	你就先待一下吧
01:18:21:16		不然你想你媽媽工作這麼辛苦
01:18:23:27		萬一到時候還要上法院
01:18:26:01		很麻煩耶
01:18:27:12	01:18:28:16	你乖啦
01:18:30:25		被發現了
01:18:31:10	01:18:32:10	快點, 走
01:18:33:11		我的零食被沒收了
01:18:34:03	01:18:35:23	下次來幫我多帶一點
01:18:57:18	01:18:59:22	晚安, 傑克
01:19:14:08	01:19:18:27	咕咕咕, 起床了
01:20:19:18	01:20:21:03	東西不要亂碰
01:20:26:00		你怎麼規定那麼多啊
01:20:26:27		你要不要一次講完啊
01:20:27:28		多到講不完
01:20:29:00		碰到一樣講一樣
01:20:30:15	01:20:31:15	吃早餐了
01:20:49:04		年輕人
01:20:50:10	01:20:51:21	先自我介紹
01:20:53:04		自我介紹不會啊
01:20:54:21		姓啥, 名誰
01:20:56:02		性別, 興趣
01:20:57:06	01:20:59:25	還有家裡有什麼人等...
01:21:01:17	01:21:03:18	那你怎麼不先自我介紹
01:21:04:08		不准用問題回答問題
01:21:05:26		叫你介紹就介紹
01:21:07:01	01:21:09:03	要不然走法院
01:21:12:11		我姓林, 名子閎
01:21:13:26		我家就我跟我媽兩個
01:21:15:20		我爸在我很小的時候被車撞死
01:21:18:10		反正就我媽一個人
01:21:19:06		很辛苦地扶養我長大
01:21:20:26		興趣彈吉他, 玩音樂
01:21:22:03	01:21:23:01	就這樣
01:21:23:18	01:21:24:12	講完了喔
01:21:26:08		既然知道媽媽辛苦
01:21:27:20		為什麼還對她那麼凶
01:21:29:06	01:21:30:05	我哪有
01:21:33:10	01:21:34:15	我沒有很凶啊
01:21:35:17		你剛剛講的
01:21:36:01	01:21:38:02	跟你媽媽講的不一樣喔
01:21:38:12		你媽媽說啊
01:21:39:25		你爸爸是不負責任
01:21:42:05		把你們母子拋棄之後
01:21:44:06	01:21:46:02	自個兒落跑了
01:21:46:19	01:21:48:08	你為什麼要說謊
01:21:49:13	01:21:50:19	你懂什麼啊
01:21:51:22		你又不是我的誰
01:21:52:20		我幹嘛告訴你家務事啊
01:21:54:13		我們要相處一個月
01:21:55:27	01:21:57:26	我必須多瞭解你一點
01:21:59:17	01:22:01:08	我幹嘛要給你瞭解啊
01:22:01:22	01:22:03:23	我來這邊是學魔術, 做復健的
01:22:04:12		你倒是趕快教我
01:22:05:02		那個什麼魔術復健法
01:22:06:12	01:22:08:14	讓我的手可以趕快恢復靈活
01:22:09:17	01:22:12:28	好, 那等一下跟我到兒童之家
01:22:13:19		去那邊幹嘛
01:22:15:01		問那麼多幹嘛
01:22:16:04		叫你去你就去啊
01:22:17:17	01:22:19:11	要不然走法院
01:22:20:28		走法院
01:22:22:01		你只會走法院
01:22:23:12	01:22:24:22	你住法院算了
01:22:33:22		傑克, 爺爺要出門了
01:22:36:24	01:22:38:10	帶他出去見習啊
01:22:42:08	01:22:45:01	離我們的目標越來越近了
01:22:48:01		年輕人, 拖拖拉拉的
01:22:49:27	01:22:51:01	動作快點啦
01:22:58:22		你東西很重耶
01:22:59:27		這跟復健手指有什麼關係啦
01:23:01:27		重什麼重
01:23:02:23		你平常揹那個電吉他
01:23:04:03		比這個還重啊
01:23:05:10		不甘願揹
01:23:05:27	01:23:07:03	什麼都重啦
01:23:12:18		剩下的回來再撿啦
01:23:14:11		快遲到了
01:23:14:26	01:23:15:29	快點啦
01:23:23:23	01:23:25:07	還一邊走一邊掉
01:23:27:08	01:23:29:01	有事弟子服其勞
01:23:36:15	01:23:37:25	快點啦
01:23:43:20	01:23:44:14	年輕人
01:23:45:00		看我兩手空空, 輕輕鬆鬆
01:23:46:28		你很不平衡是不是
01:23:48:19		心裡不平衡
01:23:49:29		行為就不平衡
01:23:51:03		搞得東西都亂掉
01:23:52:22	01:23:54:01	看到沒有
01:23:56:05	01:23:57:16	你很沒有耐心喔
01:23:58:11		充滿負面思想
01:23:59:19	01:24:01:02	日子怎麼會快樂
01:24:04:24	01:24:06:06	撿一撿 快點啦
01:24:26:05	01:24:27:18	死老頭
01:24:28:02	01:24:29:07	倚老賣老
01:24:33:04		五
01:24:34:08		四
01:24:35:09		三
01:24:36:06		二
01:24:37:08	01:24:38:00	一
01:24:41:18		放完煙火以後
01:24:43:09	01:24:45:03	節目正式開始
01:24:47:26		小朋友
01:24:49:11		這個叫做魔法袋
01:24:51:03		如果今天大家都很乖, 很可愛
01:24:53:19	01:24:56:01	它就會變出禮物來
01:24:59:01		現在有沒有東西
01:25:00:17		沒有...
01:25:01:19	01:25:02:26	沒有喔
01:25:06:08		爺爺幫你們介紹一下
01:25:08:03		我的新的魔術助手
01:25:10:16		吉他哥哥
01:25:12:13	01:25:14:09	歡迎吉他哥哥
01:25:17:17	01:25:18:20	哈囉, 年輕人
01:25:19:12	01:25:20:12	在叫你啦
01:25:21:03		小朋友在歡迎你耶
01:25:22:26	01:25:23:26	來啦
01:25:25:00	01:25:26:09	我們再一次掌聲鼓勵
01:25:33:11		吉他哥哥很孤僻
01:25:35:27		不太喜歡跟人家在一起
01:25:37:27		可是他身上有很多好玩的東西
01:25:41:29	01:25:44:12	到底藏在哪裡呢
01:25:44:23	01:25:46:04	哪裡呢
01:25:48:02	01:25:49:07	在這裡
01:25:52:07	01:25:53:08	只有一個嗎
01:25:55:19	01:25:56:24	你只帶一個來喔
01:25:57:07		只有一顆怎麼玩
01:25:58:05		只有一顆就不好玩了
01:25:59:21	01:26:00:25	對啊
01:26:01:20		來, 沒有關係
01:26:03:12	01:26:05:07	爺爺想辦法
01:26:09:11		我們給它輕輕地揉
01:26:11:22	01:26:13:21	慢慢地搓
01:26:15:21	01:26:17:02	變出兩個來了
01:26:19:01		喬喬
01:26:20:04	01:26:21:12	手打開
01:26:22:04	01:26:23:26	來, 一邊放一個喔
01:26:24:17	01:26:25:11	來
01:26:25:26	01:26:26:27	這一個
01:26:28:11	01:26:29:12	給爺爺
01:26:29:28	01:26:32:26	爺爺放在左手
01:26:33:17	01:26:36:05	來, 這一個喬喬的
01:26:36:20		放在右手
01:26:38:00	01:26:38:27	抓緊
01:26:39:07	01:26:40:15	抓得緊緊的
01:26:41:14		我們吉他哥哥有魔法
01:26:44:14		我們請他來吹一下
01:26:45:24		吹了之後看會變成怎麼樣
01:26:47:21		好不好
01:26:48:14		好...
01:26:50:06		人家說好了
01:26:50:29	01:26:52:04	來, 吹
01:27:05:24	01:27:06:24	吹了
01:27:07:10	01:27:09:01	我們看看會變成什麼
01:27:09:09	01:27:10:14	先看爺爺的
01:27:13:15	01:27:14:17	怎麼不見了
01:27:15:16	01:27:16:14	喬喬
01:27:19:00	01:27:21:09	兩個都變到喬喬這裡了
01:27:21:21	01:27:22:15	好厲害喔
01:27:23:19		好, 今天大家表現得不錯
01:27:25:18		都很乖, 很可愛
01:27:27:14		我們看看那個紙袋
01:27:29:10		會不會跑出禮物出來
01:27:32:01		我們現在請吉他哥哥
01:27:33:25		幫我們看看, 好不好
01:27:35:00	01:27:36:15	好...
01:27:41:11		有沒有...
01:27:47:14		沒有
01:27:48:23		可是大家都很乖, 很可愛
01:27:50:27	01:27:52:18	怎麼會沒有禮物呢
01:27:54:04		一定是吉他哥哥跟我們開玩笑
01:27:57:02	01:27:59:20	你們看他把東西藏在哪裡
01:28:05:06	01:28:07:21	吉他哥哥把它藏在他後面了
01:28:08:21		這是一本很好玩的故事書
01:28:12:03		送給你們
01:28:13:05		謝謝傑克的爺爺...
01:28:18:06		乖喔
01:28:18:24		也要謝謝吉他哥哥
01:28:21:10		謝謝吉他哥哥...
01:28:25:14	01:28:26:18	對, 乖
01:28:31:05		神經病啊
01:28:32:12		醫院嘛
01:28:33:10	01:28:34:24	表演好像結束了耶
01:28:35:18	01:28:37:03	我們真的要跟他說嗎
01:28:37:10		伸頭也是一刀
01:28:38:06		縮頭也是一刀
01:28:39:21	01:28:40:27	直接上了啦
01:28:41:11		你們等一下最好看他心情好不好
01:28:42:23	01:28:44:04	再跟他說
01:28:46:03		好, 乖喔
01:28:47:06		拜拜...
01:28:50:08		好, 拜拜
01:28:51:10	01:28:54:00	爺爺, 拜拜...
01:28:54:13	01:28:55:11	好, 乖
01:28:57:25		你東西收好以後
01:28:58:25	01:29:00:01	到大廳等我
01:29:00:16	01:29:02:12	我有事, 去找個老朋友
01:29:21:18	01:29:24:02	請問你是洛克兒樂團的林子閎嗎
01:29:25:22	01:29:26:18	對啊
01:29:27:08		可以幫我簽個名嗎
01:29:28:26	01:29:29:25	好
01:29:48:13	01:29:49:26	傑克的爺爺, 你看
01:29:50:15		他的招牌動作就是邊彈吉他
01:29:52:28		邊吃科學麵, 喝可樂耶
01:29:55:04		很厲害喔
01:29:56:07		他的科學麵跟可樂
01:29:57:21	01:29:59:14	已經被我禁掉了
01:30:00:11		薑是老的辣啦
01:30:02:01		我來彈吉他的話
01:30:03:16		還可以一邊吞乒乓球
01:30:05:20	01:30:06:22	還有吐火
01:30:07:15	01:30:09:08	你就最會吹牛了你
01:30:10:06		教授, 拜託
01:30:11:20		這隻指頭再幫我包一下
01:30:13:28		包得好像上次的傷還沒好那樣
01:30:16:17		你現在要搞什麼鬼啊你
01:30:18:05	01:30:19:11	別問這麼多啦
01:30:24:12		我幫你做活動的
01:30:25:20	01:30:26:29	以後就不用再換了
01:30:27:17		感恩啦
01:30:28:11		我是做內科的
01:30:30:01		你叫我幫你包紮
01:30:31:12		你為什麼要假裝受傷啊
01:30:33:10		他是魔術師啊
01:30:34:18	01:30:36:14	最會裝神弄鬼啊
01:30:40:17	01:30:41:15	老林啊
01:30:41:27		你的報告已經出來了
01:30:43:14		癌細胞擴散
01:30:45:11	01:30:47:09	我幫你辦理住院
01:30:49:17		我自己的胃
01:30:50:07	01:30:51:11	我自己知道啦
01:30:52:02		剩下的日子
01:30:53:20	01:30:55:27	我想要做我自己想做的事啦
01:30:56:25	01:30:58:08	你不要再鐵齒了啦
01:31:10:13		林子閎, 你吃慢一點啦
01:31:11:16		不然等一下噎到
01:31:12:29		子閎, 他是不是虐待你
01:31:14:23	01:31:16:00	不給你吃東西啊
01:31:22:07		你還好吧
01:31:23:07	01:31:24:18	子閎, 你...
01:31:27:21	01:31:28:24	白癡喔
01:31:29:04	01:31:30:07	再吃啊
01:31:31:00	01:31:31:27	笑什麼啦
01:31:33:17		對了
01:31:34:24		那比賽的曲目啊
01:31:36:07		練得怎麼樣了
01:31:37:14		沒偷懶吧
01:31:38:17		當然...
01:31:39:14	01:31:41:07	Of Course
01:31:42:01	01:31:42:26	最好是
01:31:45:22	01:31:46:14	對了
01:31:47:18	01:31:48:26	醫生說啊
01:31:49:29		手指復健
01:31:51:07	01:31:53:10	可以讓我的手更快速恢復靈活
01:31:54:04	01:31:57:11	他還說學魔術是個不錯的選擇
01:31:58:21		嗨, 各位學長
01:31:59:21	01:32:01:00	抱歉, 來晚了
01:32:01:21		學長, 祝你早日康復
01:32:03:25		我一定會好好努力
01:32:04:27		不會砸了你吉他手的招牌
01:32:07:04		洛克兒樂團這次代表學校
01:32:08:17		參加見證天團的演出
01:32:09:27	01:32:11:26	就放心交給我吧
01:32:15:18	01:32:16:20	什麼鬼
01:32:17:11		他講的什麼意思
01:32:18:21	01:32:19:29	這誰啊
01:32:25:03		他本來跟我們同屆
01:32:26:20		但是被留級了
01:32:28:11	01:32:30:12	你可以叫他學弟
01:32:32:01		我是說
01:32:33:06	01:32:35:07	他剛剛講的那些話是什麼意思
01:32:35:24		學務處今天通知我們
01:32:37:14	01:32:39:04	你嚴重違反校規
01:32:39:16	01:32:43:00	所以要取消你代表學校表演資格
01:32:44:03		不是記過過了嗎
01:32:45:08		子閎
01:32:46:04		你的手應該沒有那麼快好
01:32:47:26		所以我們先請學弟來幫忙
01:32:50:05		你就好好休息嘛
01:32:51:16		學長
01:32:52:15		謝謝你給我這個機會
01:32:53:27		我真的好開心, 好有榮幸
01:32:55:21		我一定會好好努力的
01:32:56:23	01:32:58:02	謝謝學長
01:32:58:22		子閎, 你幹嘛
01:32:59:20	01:33:01:14	你們是帶他來祭祖的是不是
01:33:01:27		還是因為我弄壞你的車
01:33:02:26		你在報復是不是
01:33:04:09		你們明明知道
01:33:04:24		我多在乎這個比賽
01:33:06:13		子閎
01:33:07:13		這個團名是我取的
01:33:08:29		歌也是我寫的
01:33:10:09	01:33:11:09	好了啦
01:33:11:22		你這個廢物啦
01:33:12:22		對啦, 林子閎
01:33:13:14		歌都你寫的啊
