01:01:15:28	01:01:17:04	小姐
01:15:33:27	01:15:37:16	這幾年應該練舞練得很勤吧
01:15:37:29		老師的諄諄教誨
01:15:39:16	01:15:41:21	學生沒有一天忘記
01:15:42:02		真的是古靈精怪
01:15:44:24	01:15:45:16	力香
01:15:46:18		回來預計要待多久
01:15:49:02		有空幫老師個忙
01:15:51:13	01:15:53:18	帶一下舞蹈班的小學弟, 小學妹
01:15:54:21		這年頭在我們這地方
01:15:57:13		要找會教舞的舞蹈老師
01:15:58:23	01:16:00:15	真的很少
01:16:01:08		而且老師前兩年膝蓋受了傷
01:16:04:15	01:16:06:16	教不動了
01:16:26:22		來
01:16:27:14		來啦
01:16:28:14		阿玲, 這你的
01:16:30:19	01:16:32:08	這阿寶, 你的
01:16:36:03		昨晚你們也看見了
01:16:37:27		觀眾比颱風天的時候還少
01:16:43:03		接下來我們筱芸霞
01:16:45:19	01:16:48:01	是要怎樣和三點仔拼場
01:16:49:09		老闆啊
01:16:50:21		賺你沒多少錢
01:16:51:26		還叫我們幫你拼場
01:16:53:18		安靜啦
01:16:55:05		我跟你說
01:16:56:15		明天開始排練
01:16:58:20		現在是月底
01:16:59:25		離拼場剩不到幾天而已
01:17:02:02	01:17:05:05	我們第一場就一定要贏下來
01:17:05:22	01:17:07:05	好啦...
01:17:09:08	01:17:10:19	怎樣...
01:17:11:12		以前筱芸霞正風光
01:17:14:02		正賺錢的時候
01:17:15:09		你們每個人都眉開眼笑
01:17:17:23	01:17:20:13	現在有錢可以領還嫌
01:17:22:10	01:17:24:09	好了啦, 別氣了
01:17:32:24	01:17:34:06	收起來
01:17:42:04		現在跳鋼管的人還沒找到
01:17:45:12		是要怎麼辦
01:17:47:15	01:17:49:24	那個我會想辦法
01:17:51:00		我有跟力香講了
01:17:52:20	01:17:56:04	看她台北有沒有朋友可以來幫忙的
01:17:56:12		誰要你多嘴
01:17:57:26		你是在講什麼
01:17:59:26		我們筱芸霞的事情
01:18:01:14	01:18:02:17	不用外人插手
01:18:03:18		外人
01:18:05:00		什麼外人
01:18:06:15		她是我們的女兒
01:18:07:17		你怎麼說她是外人
01:18:09:17		你的嘴就是這麼刻薄
01:18:12:06	01:18:14:20	她才會五年都不回來
01:18:16:01		你個性再這樣
01:18:17:22		我就跟著女兒
01:18:18:27	01:18:21:12	包袱收一收去台北啦
01:18:25:18	01:18:27:00	這我的啦
01:18:31:01		輸的人退出江湖
01:18:33:08	01:18:35:06	永遠別再回來東港
01:18:52:21		請問你是不是杜力香小姐
01:18:56:05		我就是
01:18:57:05		是喔,你好...
01:18:58:11		我是貨運公司的
01:19:00:04	01:19:02:09	有人寄東西給你
01:19:09:22		杜小姐, 這件比較小件
01:19:11:03	01:19:12:14	先給你
01:19:16:19		杜小姐, 小心一點
01:19:18:04	01:19:20:05	這件很重喔
01:19:29:26		怎麼把東西塞成這樣啊
01:19:32:03		東西原本就這樣了
01:19:33:06		跟我沒關係
01:19:34:03		我是負責送到而已喔
01:19:36:00		還有
01:19:36:28		費用是三千五百塊
01:19:38:20	01:19:40:11	麻煩你簽一下
01:20:04:11		喂
01:20:05:24		阿偉呢
01:20:07:12		我們剛練習完
01:20:08:22	01:20:10:14	他在洗澡
01:20:10:20		力香, 對不起
01:20:13:06		阿偉來找我跳了
01:20:16:01		我的東西是怎麼回事
01:20:17:28		那是阿偉決定的
01:20:20:10	01:20:22:08	他把你們房子退了
01:20:22:28		力香
01:20:24:13		你一直做不到的那個動作
01:20:26:26	01:20:28:12	我可以做到
01:20:29:29		我和阿偉
01:20:31:15		我們還有夢
01:20:33:17	01:20:35:27	你也不要放棄
01:20:51:21	01:20:53:03	就因為一個動作
01:20:54:23		抱歉
01:20:56:08		我覺得
01:20:58:06	01:21:00:21	你一直無法突破你自己
01:21:04:11	01:21:06:27	你已經找到新舞伴了
01:21:07:22	01:21:08:29	對不起
01:21:37:05		你能來帶孩子們跳舞
01:21:38:29		老師真的很高興
01:21:40:04		也很謝謝你
01:21:41:21		待遇方面我會跟校長爭取
01:21:45:05		能夠請到瑪莎葛蘭姆的舞者來教舞
01:21:48:11	01:21:50:22	那可是千載難逢的機會
01:22:04:07		藝霞歌舞團
01:22:06:01	01:22:08:13	感覺好老喔
01:22:09:04		不老
01:22:10:28		要是藝霞還在的話
01:22:13:12		現在應該是五十一歲
01:22:15:21	01:22:17:26	只比老師小一點點
01:22:20:04		那現在呢
01:22:22:01		一九六○年創立
01:22:24:03	01:22:25:23	一九八五年解散
01:22:28:09		好可惜喔
01:22:30:05		我一出生就解散了
01:22:33:07	01:22:34:08	是啊
01:22:35:18	01:22:38:18	是你沒有那個福氣躬逢其盛
01:22:39:24		藝霞在最輝煌的年代
01:22:42:28		每次演出
01:22:45:02		可都說是一票難求
01:22:48:26	01:22:50:12	萬人空巷
01:22:51:14		老師
01:22:52:26	01:22:56:14	藝霞演的是歌中劇喔
01:22:57:09		那時候在國內是創舉
01:23:00:13		雖然藝霞歌舞團
01:23:01:28		是師法日本的寶塚
01:23:03:22	01:23:05:19	清一色都是女孩子演員
01:23:06:21		不過融入了在地的
01:23:08:16		歌仔戲, 胡撇仔
01:23:10:05		還有老歌新唱
01:23:11:16	01:23:13:13	是很有台灣的特色
01:23:23:28	01:23:24:19	怎麼樣
01:23:26:27	01:23:29:14	還和爸爸吵架
01:23:31:10	01:23:33:19	理念不合啦
01:23:34:19		以前老師也編過一齣戲
01:23:36:27		父子倆一見面就吵
01:23:39:04		一見面就鬥
01:23:41:02		吵吵鬧鬧
01:23:42:19	01:23:45:03	到最後還是一筆勾銷
01:23:53:27		我們打擊樂班的老師在練鼓
01:23:56:15	01:23:58:10	要不要一起去看
01:24:14:28	01:24:16:15	打得很棒喔
01:24:19:10	01:24:21:06	楊老師
01:24:26:02		原來如此
01:24:27:21		那你們兩個還真是不打不相識
01:24:30:29		我可沒有打她
01:24:32:03	01:24:33:18	都是她打我的
01:24:34:07		老師
01:24:35:00		他剛剛講的跟事實很不符
01:24:37:02		在台北的時候
01:24:38:07		他是先...
01:24:39:05		力香
01:24:41:00		光大可是我們東港代表會的主席
01:24:44:22		你剛回來
01:24:46:02		東港也變化很多
01:24:47:24	01:24:50:00	有空就讓光大陪你逛逛吧
01:24:50:15		東港我從小跟筱芸霞東奔西跑
01:24:52:26		比他還熟
01:24:55:03		老師, 不好意思
01:24:55:25		我有事先走了
01:24:57:11	01:24:58:21	好
01:25:04:26		老師
01:25:05:21		你展覽辦得怎麼樣
01:25:07:25		要不要我派人幫忙
01:25:09:22		不用啦
01:25:11:02		你自己工作也很多
01:25:13:25		其實有力香回來幫我帶舞蹈班
01:25:17:16		我就可以專心籌備了
01:25:20:06	01:25:21:22	她帶舞蹈班
01:25:23:03		她來是大材小用
01:25:25:01	01:25:28:24	力香可是瑪莎葛蘭姆舞團的舞者喔
01:25:30:19		力香是我見過
01:25:33:25		最有舞蹈天分的女孩子
01:25:36:11		雖然如此
01:25:37:24		她還是經過多少的努力和付出
01:25:40:24	01:25:44:11	才圓夢踏上瑪莎葛蘭姆的舞台
01:25:45:09		你也一樣啊
01:25:48:00	01:25:48:19	光大
01:25:51:10		既然決定回來了
01:25:53:00		就好好在位置上
01:25:54:22		做好你代表會主席的工作
01:25:57:03	01:26:00:18	把東港當成你另一個人生舞台
01:26:03:22		別看了
01:26:05:01	01:26:06:20	你進去啦
01:26:07:28		我們還沒找到人
01:26:09:15		你現在裝這個
01:26:10:27		不是浪費力氣嘛
01:26:13:07	01:26:16:13	你以為找人很簡單嗎
01:26:18:20		若要找一個拼得過豔紅的人
01:26:20:25	01:26:22:00	很難找啦
01:26:22:26	01:26:24:18	一分錢一分貨
01:26:26:01		兩, 三萬元的我們請不起
01:26:28:06		要是七, 八千元的
01:26:29:21	01:26:33:05	請來只是一肚子氣
01:26:50:07		幸好師父已經不在了
01:26:52:29		不然看我裝鋼管
01:26:56:08	01:26:57:19	一定會氣死的
01:26:59:01	01:27:02:08	元仔, 你就別失志
01:27:07:19		你女兒現在是怎麼了
01:27:09:27		什麼東西都搬回來
01:27:12:11		是感情還是事業出問題
01:27:16:01		你做人家阿母的
01:27:17:25	01:27:19:29	都不用關心一下喔
01:27:20:27		對喔
01:27:22:06		她連搬家的費用
01:27:23:24	01:27:26:18	還跟我拿五百塊呢
01:27:27:11		你是她阿爸
01:27:28:19		你關心她
01:27:29:25	01:27:31:16	你就自己去問啊
01:27:31:17		你很囉嗦
01:27:33:02	01:27:35:01	叫你去, 你就去
01:27:35:19		我要去找陳仔
01:27:37:17	01:27:41:00	看他是不是有認識一些跳鋼管的
01:27:59:00	01:27:59:27	力香啊
01:28:00:25		你在做什麼
01:28:02:15	01:28:04:02	在畫圖啊
01:28:04:22		準備教材
01:28:05:26	01:28:07:14	舞蹈班要用的
01:28:25:12	01:28:27:15	媽
01:28:30:29	01:28:32:27	有什麼事情啦
01:28:33:18		力香啊
01:28:35:16	01:28:37:20	你要搬回家住嗎
01:28:38:11		是工作不順利
01:28:41:12	01:28:42:21	還是失戀啊
01:28:43:10		工作很順利
01:28:45:12		感情也很好
01:28:46:25	01:28:48:24	不用你替我擔心
01:28:51:19		媽媽只是想讓你知道
01:28:54:04	01:28:56:04	你想要留多久就留多久
01:28:57:09		這裡是你家
01:28:58:22	01:29:02:25	家裡的門永遠都為你開的
01:29:04:14		媽
01:29:06:13	01:29:08:20	我看到舞台上已經裝了鋼管
01:29:09:22	01:29:11:04	有找到人嗎
01:29:15:08	01:29:16:11	腳伸直
01:29:17:07	01:29:18:13	一
01:29:24:18	01:29:26:04	二
01:29:27:19	01:29:29:05	好, 坐起來
01:29:29:18	01:29:31:14	左腳出
01:29:33:03		換到左邊老師好
01:29:34:21		楊老師
01:29:36:03	01:29:38:01	好, 回到中間
01:29:40:10	01:29:41:05	力香
01:29:43:27		動作繼續
01:29:44:23	01:29:47:15	換邊
01:29:49:23	01:29:51:11	我的侄子胖胖
01:29:52:05		老師好
01:29:53:23		這小子很皮
01:29:54:24	01:29:57:05	你儘管教沒關係
01:29:57:21	01:29:59:04	來
01:29:59:24		去啊
01:29:59:29		胖胖, 你站後面
01:30:01:15		去, 趕快上課
01:30:02:21	01:30:03:28	換邊
01:30:04:20		我們東港漁業已經走到黃昏了
01:30:07:27		黑鮪魚也一年比一年還少
01:30:10:18		漁港為了要生存
01:30:12:03		一定要轉型
01:30:14:01		要發展我們觀光漁港
01:30:17:16		最好是趕快把遊艇碼頭蓋好
01:30:20:29		遊艇碼頭哪裡都有
01:30:22:22		台灣又沒有那麼多遊艇
01:30:24:29		我感覺找地蓋個飯店和遊樂區
01:30:29:12		比較實在
01:30:31:12		不要讓遊覽客來到我們東港
01:30:33:04		只能吃黑鮪魚
01:30:34:24		買個櫻花蝦
01:30:37:07		將我們東港
01:30:38:10	01:30:41:19	永遠是去墾丁玩的休息站而已
01:30:47:13		顏主席
01:30:49:24		我們萬利集團的開發案
01:30:51:26		你覺得如何
01:30:52:28		可以進行嗎
01:30:54:21		顏主席還在評估
01:30:56:07		我們今天開會
01:30:57:04		請各位代表來
01:30:58:07		就是想要匯集你們的意見
01:31:00:02		有了共識之後呢
01:31:01:08	01:31:03:06	會再跟鄉長討論
01:31:28:17		力香
01:31:29:11		這是咱們東港唯一的PUB
01:31:31:19	01:31:33:24	來, 我有訂位喔
01:31:36:08		豔紅, 你也來了
01:31:37:26		小陳, 力香
01:31:38:27		坐啊...
01:31:39:29		力香, 純粹是巧遇
01:31:41:27		我沒有...
01:31:43:29		找她來喔
01:31:45:06		來... 力香
01:31:46:05	01:31:47:16	坐啦...
01:31:48:10		力香
01:31:49:27		你怎麼這麼瘦, 瘦巴巴
01:31:51:26	01:31:54:18	快被鬼抓走了
01:31:56:18		偏偏楊老師說
01:31:58:03		你這樣的身材
01:31:58:27	01:32:00:19	就是練舞的好身材
01:32:01:24		可是力香, 我告訴你
01:32:03:18		你這種的Style
01:32:05:00		在東港是吃不開的
01:32:07:14		小陳, 不好意思
01:32:08:14		我有事先走了
01:32:09:27		力香, 別這樣
01:32:10:27		坐啦...
01:32:11:26		和豔紅又不是不認識
01:32:13:19		老朋友很久沒見面了耶
01:32:16:03		對吧
01:32:16:27		小陳, 你不要鬧力香了啦
01:32:19:21		人家可是堂堂瑪莎葛蘭姆舞團的舞者
01:32:23:29		跟我們這種跳鋼管的喝酒
01:32:26:20	01:32:28:29	可能會降低她的格調
01:32:29:06		豔紅, 不好意思
01:32:30:24		你可能誤會了
01:32:32:05		我沒有這個意思
01:32:33:17		杜力香
01:32:34:25		反正你家筱芸霞要和我們拼場
01:32:37:28		不如我今天就讓你見識一下
01:32:39:17		什麼叫做真正的鋼管舞
01:32:42:28	01:32:44:11	你有看到那支鋼管嗎
01:32:45:17		不管你在外面有多紅
01:32:47:13		今天誰可以征服得了它
01:32:50:08	01:32:52:15	誰就是真正的Queen
01:32:52:20	01:32:53:29	看清楚喔
01:33:59:17		我們女兒很厲害
01:34:01:14		瑪莎葛蘭姆
01:34:02:23	01:34:05:04	世界第一等的舞團
01:34:05:25	01:34:09:02	這幾年你應該練舞練得很勤吧
01:34:10:07		力香啊
01:34:12:01		你在台北有前途
01:34:13:28		千萬別回來
01:34:15:23	01:34:18:28	東港不是一個作夢的好地方
01:34:22:07		對不起
01:34:23:19		阿偉來找我跳了
01:34:25:25		你一直做不到的那個動作
01:34:27:29	01:34:29:22	我可以做到
01:34:42:18	01:34:43:20	其他同學呢
01:34:44:25		怎麼比老師晚到教室
01:34:46:12		老師, 他們不是遲到
01:34:49:19		而是不來了
01:34:51:12		為什麼
01:34:52:09		老師
01:34:53:03		因為他們說跳舞太累了
01:34:55:09	01:34:56:27	不喜歡跳舞
01:35:02:21	01:35:04:01	你們先暖身
01:35:07:27		力香, 是我
01:35:10:01		我現在在忙, 有事嗎
01:35:11:28		阿偉本來不讓我通知你
01:35:14:18		但我還是覺得
01:35:15:28		跟你說一聲比較好
01:35:18:03		我們被舞團選上了
01:35:20:17		下個月就要去美國
01:35:23:08		恭喜喔力香, 你不要難過
01:35:25:11		我和阿偉會在紐約等你
01:35:27:08	01:35:29:06	千萬不要放棄跳舞
01:35:46:00	01:35:48:10	老師, 你怎麼了
01:35:49:27		老師, 你不要難過
01:35:51:25		我會把同學找來一起跳舞的
01:35:54:22	01:35:56:16	你不要哭
01:36:21:01	01:36:22:09	老師
01:36:32:05	01:36:36:02	我沒有錄取瑪莎葛蘭姆
01:36:37:26		台北...
01:36:39:18	01:36:43:02	台北也沒有舞團要我
01:37:40:16		力香
01:37:42:07		夢想實現的過程
01:37:43:27		應該是要快樂
01:37:45:13		充滿笑容的
01:37:47:24		不論過程中是否如意
01:37:50:14	01:37:54:10	都要保持著一顆勇敢開朗的心
01:38:01:08		元仔, 你看
01:38:03:00		這是我第一次上台時
01:38:04:12		所穿的衣服
01:38:06:04		都二十幾年了
01:38:08:07		現在穿不下了
01:38:10:13		三十二年了
01:38:12:07		你以為現在還能演小旦
01:38:15:14		拜託
01:38:16:20		你現在會嫌了
01:38:18:10		那時候不知道是誰聽我唱歌
01:38:21:18		聽到從後台跌下來
01:38:23:23		拜託
01:38:25:06		沒那麼多美國時間聽你講古
01:38:27:12		趕快準備一下
01:38:28:19		等一下演員就要來化妝了
01:38:31:06	01:38:32:18	好啦...
01:38:41:15	01:38:42:23	我爸出事之後
01:38:44:21		我被迫放棄音樂
01:38:45:29	01:38:47:11	從波士頓回來
01:38:50:28		我根本不是搞政治的料
01:38:54:01		卻被迫承接一個
01:38:56:19	01:38:58:15	不可能完成的夢
01:39:03:11		可是他們都把夢放在你身上
01:39:05:17	01:39:07:19	所以我會逃
01:39:17:22		你來做什麼
01:39:19:13	01:39:21:13	刺探軍情喔
01:39:22:03	01:39:25:22	無兵無將是要探什麼軍情啦
01:39:26:13		我今天是好心來跟你通報
01:39:29:23		外面的人風聲說
01:39:31:12		你們筱芸霞的兵將聽說要拼台
01:39:35:07		半夜都逃跑了
01:39:37:25		你還不趕快想辦法
01:39:40:06		今晚的歌中劇
01:39:41:20		我看你只好演布袋戲了
01:39:44:15	01:39:47:22	自己用兩隻手演
01:39:48:07	01:39:50:05	走了
01:39:55:18		他說的是真的還是假的
01:39:57:04		要不要連絡看看
01:39:59:09	01:40:01:14	不可能那麼倒楣
01:40:01:21		元帥爺是很照顧筱芸霞的
01:40:04:04	01:40:06:09	祂應該是不會...
01:40:15:29	01:40:17:27	其實我很羨慕你
01:40:20:24		你擁有自己的夢想
01:40:23:03	01:40:25:24	如願站上瑪莎葛蘭姆的舞台
01:40:28:07		我在台北看到你跳舞
01:40:30:16	01:40:32:00	我就知道了
01:40:32:08	01:40:34:02	看來你不太認識我
01:40:39:02	01:40:41:19	讓我認識你, 多瞭解你就好了
01:40:45:03		在東港
01:40:46:19		我需要朋友
01:40:48:24	01:40:51:14	需要可以一起作夢的朋友
01:40:52:05		才不會讓我忘記
