01:03:52:27	01:03:54:09	很辛苦喔
01:09:21:19		是不是當年我墮胎
01:09:24:05		所以老天爺在懲罰我
01:09:26:27		你在說什麼啦
01:09:28:11	01:09:30:19	我就覺得是我的錯嘛
01:09:32:06	01:09:34:04	你告訴我
01:09:34:22	01:09:37:02	你跟我說老實話
01:09:38:19		是不是因為那件事
01:09:39:28	01:09:41:28	所以有後遺症
01:09:43:05		你不要想那麼多
01:09:44:29	01:09:46:07	沒有
01:09:48:17	01:09:50:11	但是這件事情
01:09:51:24	01:09:53:26	我覺得是不是應該讓昱德知道
01:09:56:14		這過去這麼久的事
01:09:58:09	01:10:01:08	不... 不用讓他知道
01:10:02:29	01:10:04:22	可是你心裡頭過得去嗎
01:10:08:19	01:10:10:02	檢查也檢查了
01:10:11:02	01:10:12:17	都沒有問題
01:10:14:07	01:10:17:19	現代醫學能夠幫你的只是小忙
01:10:18:24	01:10:21:07	最主要是你心裡頭要過得去
01:10:22:09		如果沒有辦法
01:10:23:27	01:10:25:12	就面對它吧
01:10:27:04	01:10:29:02	我知道你想要自己的小孩
01:10:31:04	01:10:33:08	所以我在想
01:10:35:05	01:10:38:13	你是不是要考慮做試管嬰兒
01:10:45:08		你要幹嘛
01:10:45:29	01:10:47:07	掉了
01:10:48:27	01:10:50:04	怎麼沒有
01:11:01:07	01:11:02:20	媽
01:11:07:18	01:11:08:17	長官好
01:11:12:12		什麼情形
01:11:13:23	01:11:14:25	是棄嬰
01:11:20:00		鑑識組呢
01:11:21:05	01:11:22:10	馬上到
01:11:43:27	01:11:45:11	昱德, 我...
01:11:51:04	01:11:52:08	怎麼啦
01:11:52:26	01:11:54:01	沒事
01:11:58:06	01:12:00:23	對了, 你去碩琪那邊怎麼樣
01:12:03:19		很好, 都很穩定
01:12:05:13	01:12:06:22	就...
01:12:08:04	01:12:09:20	還是我壓力太大
01:12:10:25	01:12:11:24	我就說嘛
01:12:13:07		不能壓力太大
01:12:14:21		就算你有個寶寶
01:12:15:14		他也會是個壞心情的寶寶
01:12:17:03	01:12:18:03	對不對
01:12:22:15	01:12:25:17	就是等一下又要被你媽念
01:12:29:04		沒辦法
01:12:30:07	01:12:32:22	她捐那麼多錢給神明求孫子
01:12:33:01	01:12:34:18	還跑那麼多廟
01:12:35:16	01:12:36:22	其實她也滿累的
01:12:39:05	01:12:40:28	今天晚上就辛苦你了
01:12:41:15	01:12:42:28	同樣的話要再聽一遍
01:12:51:23	01:12:52:20	先生, 好了
01:12:53:10	01:12:54:04	等一下喔
01:13:04:26	01:13:05:25	哥, 我去外送囉
01:13:08:20		你好
01:13:09:08		要點些什麼
01:13:10:08		我看一下
01:13:10:27	01:13:11:24	好
01:13:25:03	01:13:26:12	何翰峰先生嗎
01:13:27:04		我是
01:13:28:08		怎麼了
01:13:29:08		何翰峰先生
01:13:30:19		警方懷疑你涉嫌觸犯
01:13:32:06		刑法第271條第一項殺人罪
01:13:35:16		依刑事訴訟法第76條第4款
01:13:38:11	01:13:39:16	拘提你
01:13:40:05		請你現在立刻跟我們回警局
01:13:41:15	01:13:42:22	協助調查
01:13:43:06		你可以任選辯護人
01:13:44:27		你可以保持沉默
01:13:46:19		你無需違背自己的意思
01:13:48:09		而未陳述
01:13:49:13		但現在開始
01:13:50:19		你的所有陳述將成為呈堂證供
01:13:53:03	01:13:54:18	這是你的拘票
01:13:56:11		警察先生, 我想你們找錯人了
01:13:58:18		小峰他怎麼可能會殺人呢
01:14:00:02		小峰, 你說嘛
01:14:01:14	01:14:02:25	跟警察先生解釋
01:14:03:15	01:14:04:21	你說話啊
01:14:05:27	01:14:06:29	小峰
01:14:11:13		是我做的
01:14:13:07	01:14:14:12	帶走
01:14:51:02		不要跑
01:14:51:19	01:14:52:13	別跑
01:14:55:26		請求觀音菩薩
01:14:58:05		賜我們高家一個香火
01:15:01:06		昱德他爸爸走了
01:15:03:08		我年紀也大了
01:15:05:10		看著朋友們含飴弄孫
01:15:07:28	01:15:10:07	我只能羨慕的看著
01:15:10:24		昱德, 家芳年紀也大了
01:15:14:23		我這個做媽的
01:15:16:04		不希望家芳成為高齡產婦
01:15:19:05	01:15:21:10	請賜給我們一個孩子吧
01:15:23:02		如願達成
01:15:25:01		我願天天做公益
01:15:27:29	01:15:29:29	吃齋一輩子
01:15:46:29	01:15:48:29	來... 快來嚐嚐
01:15:49:08	01:15:50:10	看這湯怎麼樣
01:15:52:11		來, 媽, 我幫你
01:15:53:05	01:15:54:24	不, 我來
01:16:06:06	01:16:07:03	好香喔
01:16:08:17	01:16:09:18	我試試看
01:16:13:27	01:16:14:25	好喝耶
01:16:17:01		媽, 上次不是跟您提過嗎
01:16:19:06		其實中藥還是要吃科學提煉的
01:16:21:25		比較好
01:16:22:19	01:16:23:26	其實像這種...
01:16:24:16		阿芳啊
01:16:25:26		這鍋湯我燉了六個小時
01:16:28:23		都把精華熬出來了
01:16:30:10		不是啦, 媽
01:16:30:24	01:16:31:23	我...
01:16:32:07		我知道您是為我們好
01:16:34:02		只是說中藥吃不對
01:16:36:02		反而會傷腎傷肝
01:16:37:27		而且西醫這邊已經開藥給我吃
01:16:39:22		我...
01:16:40:28		媽, 家芳不喜歡中藥的味道
01:16:43:17	01:16:44:28	你就不要再逼她了
01:16:45:11		我都說過了
01:16:46:26		不能太相信西醫
01:16:49:02		調養身子還是要吃中藥
01:16:52:13		家芳啊
01:16:53:22		我從懷孕前
01:16:54:22		就吃這家老字號的中藥
01:16:56:20		才生出阿德這麼乖巧的兒子
01:16:59:03		你就試試嘛
01:17:01:10		再說啊
01:17:02:18		不只是吃中藥
01:17:04:12	01:17:06:14	每天的飲食也是很重要的
01:17:07:14		偶爾你也要在家裡做做菜
01:17:10:28		不要老在外面吃嘛
01:17:12:19		外面的東西太油了
01:17:14:09		你跟阿德在外面吃了
01:17:16:05	01:17:17:20	對身體不好
01:17:18:14		都不知道我這個當媽的
01:17:19:24		心裡有多心疼
01:17:21:18		媽, 家芳是律師
01:17:23:22		她在事務所很忙
01:17:25:10	01:17:27:02	而且做菜她沒興趣啦
01:17:27:28		那也要慢慢學
01:17:29:21		總不能以後生了孩子
01:17:31:10	01:17:33:13	也讓孩子天天在外面吃吧
01:17:34:02		媽, 你又不是不知道
01:17:35:03	01:17:36:12	我不喜歡進廚房
01:17:37:00		而且昱德也同意啊
01:17:38:13	01:17:41:05	做家事又不只是女人的事情
01:17:49:01	01:17:49:26	媽
01:17:51:01		身體的事我會注意
01:17:53:09	01:17:54:21	你不用擔心
01:17:58:01	01:18:00:09	謝謝你, 辛苦了
01:18:05:04	01:18:06:00	媽
01:18:07:09		你放心啦
01:18:08:16		我們一定會把身體調好的
01:18:10:18		很快就會有一個孫子可以抱了
01:18:12:19		在台北的河濱公園垃圾桶裡
01:18:14:11		發現了棄嬰的屍體
01:18:15:19		警方迅速逮捕到兩名嫌犯
01:18:17:20		而這兩名嫌犯
01:18:18:14		現在就在文山二分局當中
01:18:20:10		我們帶大家
01:18:20:24	01:18:22:13	一起來看一下現場的狀況
01:18:23:02		好的, 我們看到現場狀況
01:18:24:06		這一男一女的嫌犯
01:18:25:01		已經由員警戴上手銬
01:18:26:21		準備移送到台北地檢署
01:18:29:04		為什麼要殺小孩
01:18:30:01		你是小孩的爸爸嗎
01:18:31:03		你是小孩的爸爸嗎
01:18:32:09		你不覺得這樣很殘忍嗎
01:18:33:13		你為什麼會把小孩丟掉
01:18:35:02		你是小孩的父親嗎
01:18:36:19	01:18:37:17	為什麼要這樣子呢
01:18:38:05		透過畫面
01:18:38:24		我們看到這一男一女
01:18:39:29		都是剛成年的中輟生
01:18:41:15		手上都銬著手銬
01:18:42:14		由員警帶上囚車
01:18:43:28		何姓男子不發一語
01:18:45:11		據瞭解他是棄嬰的爸爸
01:18:47:00		不曉得是不是太傷心
01:18:48:16		他的步伐緩慢
01:18:49:17		低著頭上了警車
01:18:51:00		邱姓女子是棄嬰的媽媽
01:18:52:28		透過畫面
01:18:53:13		可以看到邱姓女子的臉上
01:18:55:03		竟然露出了冷笑
01:18:57:00		那邊是亂丟孩子
01:18:58:23		我們這邊是想破頭生不出來
01:19:01:04		這世上有沒有天理啊
01:19:03:03		我們家生個孩子就這麼難嗎
01:19:05:13	01:19:07:12	媽, 你就少說一點嘛
01:19:08:10		我又不是故意的
01:19:09:29		我只是看到有人把孩子丟掉
01:19:12:14	01:19:13:24	我生氣嘛
01:19:14:12	01:19:17:09	小孩子是用來疼的
01:19:18:01		這是哪個媽媽啊
01:19:20:02		怎麼會把孩子丟掉呢
01:19:22:03		媽, 對不起
01:19:22:22		我忽然想起來我還有點事
01:19:24:20		我得先走了
01:19:26:04		你就吃兩口就走了啦
01:19:27:25		對不起, 我是真的還有點事
01:19:29:18		你留下來陪媽慢吃好了
01:19:32:13		芳...
01:19:34:08		阿德
01:19:35:19		她可能生氣了
01:19:37:00	01:19:38:17	我又不是故意的
01:19:39:01	01:19:40:11	吃飯吧
01:19:46:28		民國一○三年八月八號
01:19:49:02		也就是三天前凌晨四點左右
01:19:51:26	01:19:53:01	你在哪裡
01:19:54:14		我不是跟警察說過了嗎
01:19:56:19	01:19:58:03	當然在睡覺
01:20:00:27	01:20:03:01	這是不是你那天剛生的嬰兒
01:20:05:21	01:20:06:28	我不知道耶
01:20:07:20	01:20:10:05	才剛生過的嬰兒你會不記得
01:20:11:16	01:20:13:07	記性不好又不犯法
01:20:16:19		你再想清楚
01:20:18:19	01:20:21:00	那一天到底做了什麼事
01:20:25:08		我記得那天晚上
01:20:28:11	01:20:30:21	小孩生下來以後
01:20:31:11	01:20:32:18	我很慌張
01:20:34:10	01:20:35:28	不知道該怎麼辦
01:20:37:15	01:20:39:27	我原本以為我之後就知道了
01:20:41:04	01:20:43:01	可是我不知道
01:20:44:27	01:20:48:28	所以我就把小孩裝進垃圾袋裡
01:20:50:23	01:20:52:11	然後走出去
01:20:53:07	01:20:56:09	一直走...
01:20:57:21	01:20:59:03	走到公園
01:20:59:24	01:21:01:13	直到發現垃圾桶
01:21:02:19	01:21:04:11	我就把小孩丟進去
01:21:07:04		我問你
01:21:08:02	01:21:11:01	殺嬰是不是你跟何翰峰的共謀
01:21:14:16		我都說我不知道了
01:21:16:01	01:21:17:20	你知道我爸是誰嗎
01:21:21:14		邱詩婷真的一無所知
01:21:23:16		都是我做的
01:21:24:23		跟婷婷沒有關係
01:21:26:21	01:21:28:06	你們放了她好不好
01:21:29:00		所以何翰峰未經你同意
01:21:31:01		就把你剛生下來的小孩丟掉
01:21:33:05		是嗎
01:21:34:11		他丟都丟了
01:21:35:11	01:21:36:23	我能怎樣
01:21:37:25	01:21:39:27	大律師, 有沒有補充
01:21:40:12		如果檢方這邊沒有確實的證據
01:21:42:13		證明我當事人棄嬰
01:21:44:02	01:21:47:11	請檢察官這邊釋放我的當事人
01:21:53:28		本案被告經訊問後
01:21:55:20		犯罪嫌疑重大
01:21:56:28		且有串供湮滅證據之虞
01:21:59:14	01:22:01:03	我決定申請羈押
01:22:21:12	01:22:22:24	你還好, 沒事吧
01:22:29:07		你也知道啊
01:22:30:16	01:22:32:16	媽是刀子嘴, 豆腐心
01:22:32:28	01:22:35:06	她是被剛剛那新聞氣到而已
01:22:35:28	01:22:37:25	她一直都很喜歡小孩子的
01:22:38:21		你說真的
01:22:39:03		如果看到一個剛生出來的嬰兒
01:22:40:17		變成棄嬰
01:22:41:25	01:22:43:20	做媽媽都會很難受
01:22:46:05	01:22:47:16	我知道她是為我好
01:22:52:15	01:22:54:04	那你知道就好啦
01:22:57:08		你可是老公疼, 婆婆疼
01:22:59:05	01:23:00:27	每個人都疼的公主耶
01:23:03:16	01:23:04:22	是不是
01:23:06:20	01:23:07:16	好了
01:23:07:26		你餓不餓
01:23:08:22		媽幫你打包一些東西
01:23:09:17		我幫你熱一下
01:23:10:12		不用了...
01:23:11:17	01:23:12:13	我要睡了
01:23:17:07	01:23:18:03	你知道嗎
01:23:18:26		今天在法庭外面
01:23:21:15	01:23:23:19	有一群父母為他們孩子在抗議
01:23:25:05		不知道為什麼
01:23:27:07		我看到的時候
01:23:27:28	01:23:29:22	就突然好想有個孩子
01:23:31:19		父母那麼愛他們的兒女
01:23:33:24		用全力的去保護他們
01:23:36:02	01:23:37:16	其實還滿感動的
01:23:39:15	01:23:40:23	然後就想啊
01:23:41:18		如果有一天
01:23:43:02		你真的懷孕了
01:23:44:17	01:23:46:24	然後你的肚子變得越來越大
01:23:48:02		就終於可以聽到
01:23:48:28	01:23:50:21	我們孩子的聲音
01:23:55:23	01:23:57:25	真的好期待
01:24:20:04	01:24:20:24	嗨, 學長
01:24:24:10	01:24:25:03	學長
01:24:28:22		聽說你分到了
01:24:29:20	01:24:31:18	我起訴的生母殺嬰案
01:24:34:23		那你知道
01:24:35:14	01:24:37:11	那個小媽媽的爸爸是誰嗎
01:24:42:10	01:24:43:14	邱葆華
01:24:48:28		我記得邱葆華大法官
01:24:50:18		是學長你老婆的老師
01:24:52:29	01:24:55:20	也是蒞庭檢察官陳心瑜的老師
01:24:58:11		不過我已經將案件
01:24:59:10	01:25:01:00	轉給蒞庭檢察官了
01:25:01:11	01:25:02:27	就祝你們案子順利囉
01:25:33:05	01:25:34:04	二號
01:25:40:03	01:25:41:01	婷婷
01:25:48:22	01:25:50:06	一年多不回家
01:25:50:24	01:25:53:05	一出現就出這麼大的事情
01:25:54:15	01:25:56:17	從小媽是怎麼教你的
01:25:57:11	01:26:00:05	女孩子要愛惜自己
01:26:01:19		你不替自己想
01:26:02:23	01:26:04:18	也要替媽想一想
01:26:05:29	01:26:08:17	媽懷你十個月多辛苦啊
01:26:09:07	01:26:12:02	生你的時候是痛得死去活來的
01:26:12:28		你就這樣糟蹋自己的身體
01:26:15:03	01:26:16:23	糟蹋自己的名譽
01:26:17:26	01:26:21:06	將來會有哪個清清白白的男孩子敢要你啊
01:26:22:19		你怎麼可以把生下來的孩子
01:26:24:20	01:26:26:29	當垃圾一樣丟進垃圾桶呢
01:26:31:07	01:26:32:04	你倒好
01:26:33:07	01:26:35:16	闖了禍還擺個臭臉給我看
01:26:37:27		你知不知道
01:26:38:15		你爸爸花了多大的力氣
01:26:40:00	01:26:42:07	才把新聞給壓下來啊
01:26:47:02	01:26:49:04	你都十八歲了耶
01:26:49:23		你大姐在你這個年紀
01:26:51:13	01:26:53:12	已經跳級念大學了
01:26:54:04		你二姐在你這個年紀
01:26:55:29	01:26:58:03	已經考托福又考日檢
01:27:00:11		你們三個孩子
01:27:01:12		我一樣方法的教
01:27:03:16	01:27:06:08	怎麼就你這麼不懂事, 不爭氣
01:27:08:26		目前檢方還找不到證據
01:27:10:18	01:27:11:25	證明你殺嬰
01:27:12:08		只要何翰峰不翻供
01:27:14:09		我絕對有信心讓你無罪釋放
01:27:17:17		另外我建議你在出庭的時候
01:27:19:27		保持緘默
01:27:20:22		就跟現在一樣不說話就好
01:27:23:01		同時擺出一副委屈的樣子
01:27:25:01	01:27:27:00	以博取法官的同情
01:27:27:25		我跟你爸是老朋友了
01:27:30:25		顧慮你爸媽的心情
01:27:32:27	01:27:34:27	我不會讓你坐牢的
01:27:38:25	01:27:39:23	你說什麼
01:27:41:01		你...
01:27:42:04		你什麼態度跟媽媽說話
01:27:43:26		你...
01:27:45:02		我真後悔生了你
01:27:46:22		好啊
01:27:47:19		那你為什麼不在出生的時候
01:27:48:20		殺了我算了
01:27:50:00		你...
01:27:50:17		我根本就不想當你的小孩
01:27:52:11		你...
01:27:52:28		你那麼討厭我
01:27:54:13		為什麼不在我出生的時候
01:27:55:06	01:27:56:16	把我殺了算了
01:27:57:04		為什麼
01:27:57:17		婷婷為什麼...
01:27:58:24		婷婷...
01:28:00:00	01:28:01:08	冷靜, 坐下
01:28:03:15	01:28:04:25	婷婷
01:28:07:17		檢察官
01:28:08:24	01:28:10:16	請陳述起訴要旨
01:28:14:07		被告何翰峰, 邱詩婷
01:28:16:18		共同基於殺人之犯意聯絡
01:28:19:14		於民國一○三年八月八日
01:28:22:01		共謀將被告之一
01:28:23:15		邱詩婷所生男性嬰兒
01:28:25:28		由另一名被告何翰峰
01:28:28:02		丟置附近公園垃圾桶
01:28:30:06		地址台北市建國北路三段三十九號
01:28:33:13		導致該嬰兒死亡
01:28:35:07		邱詩婷涉犯刑法第274條第一項
01:28:38:26		生母殺嬰罪
01:28:40:14		何翰峰罪名為
01:28:41:20	01:28:44:29	刑法第271條第一項殺人罪
01:28:47:25		被告邱詩婷
01:28:49:08		你涉犯生母殺嬰罪
01:28:51:10		被告何翰峰
01:28:52:16		你涉犯殺人罪
01:28:54:07		你們有權保持緘默
01:28:55:17		你們可以請律師
01:28:56:29		如果你們是低收入
01:28:58:05		中低收入戶, 原住民
01:28:59:21		或其他依法令可請求扶助者
01:29:01:24		可以向我們請求
01:29:03:04		也可以請求調查
01:29:04:01	01:29:05:22	對你們有利的任何證據
01:29:06:13		被告何翰峰
01:29:07:21		對於剛才檢察官起訴的犯罪事實
01:29:09:24	01:29:10:28	你有何意見
01:29:11:26		沒有意見
01:29:12:27	01:29:13:25	都是我做的
01:29:14:11	01:29:16:00	跟婷婷沒有關係
01:29:20:25		被告邱詩婷
01:29:22:05		對於剛才檢察官起訴的犯罪事實
01:29:24:08	01:29:25:14	你有何意見
01:29:30:06		對於何翰峰丟掉嬰兒
01:29:31:16	01:29:32:26	你一概不知嗎
01:29:42:22		被告邱詩婷
01:29:44:09		本席再問你一次
01:29:46:13		對於何翰峰丟掉嬰兒
01:29:47:26	01:29:49:28	你真的一概不知嗎
01:29:53:09		何翰峰決意棄嬰前
01:29:55:04	01:29:57:08	你們有沒有討論過這件事
01:30:04:03		報告庭上
01:30:05:09	01:30:08:11	我當事人邱詩婷行使緘默權
01:30:10:29		被告邱詩婷
01:30:12:12		對於本席或是其他人
01:30:13:16		問你的問題
01:30:14:08		你可以都不回答
01:30:15:28	01:30:17:17	這不會對你不利
01:30:18:03	01:30:19:24	但是本席再問你一個問題
01:30:20:16		在你的偵訊筆錄上
01:30:21:21	01:30:22:15	你說
01:30:23:22	01:30:25:11	你不記得你生過嬰兒
01:30:25:23	01:30:27:22	並且認不出生過的嬰兒
01:30:28:28	01:30:30:27	你到現在還是完全不記得嗎
01:31:04:21	01:31:06:11	婷婷...
01:31:06:29	01:31:07:26	你看
01:31:11:09	01:31:13:01	我們以後叫他文彥好不好
01:31:13:19		以前我們班上有個叫何文彥的
01:31:16:02	01:31:17:04	功課超好耶
01:31:18:27		希望我們的小孩
01:31:19:20	01:31:20:28	也可以跟他一樣
01:31:21:11	01:31:22:29	不要像我
01:31:23:16	01:31:25:04	數學課都聽不懂
01:31:26:02	01:31:27:14	考試都考二十幾
01:31:29:20	01:31:31:25	我不是跟你說過了嗎
01:31:32:05	01:31:34:01	我不想要這個小孩
01:31:38:24		錢的事情
01:31:40:21		你不用擔心啦
01:31:42:18	01:31:44:01	我哥會幫我們啊
01:31:46:29	01:31:48:27	我就是不要
01:31:49:27		不要...
01:31:52:05	01:31:53:15	不想要
01:31:55:15		你看一下嘛
01:31:56:22		就很可愛耶
01:31:58:10	01:31:59:21	不要
01:32:02:23		媽媽真的不要嗎
01:32:04:17		不要...
01:32:06:23	01:32:08:07	把他拿走
01:32:10:19	01:32:12:22	真的很天兵耶
01:32:13:12		我們現在不把他弄死
01:32:15:23		他就會變得跟我一樣
01:32:17:28	01:32:19:27	我不想他跟我一樣痛苦
01:32:20:14		把他拿去丟掉吧
01:32:21:29	01:32:24:05	丟... 丟掉
01:32:27:03	01:32:28:13	那要丟去哪兒
01:32:30:13		垃圾桶
01:32:31:17	01:32:32:22	垃圾桶
01:32:35:24	01:32:37:00	不會被發現嗎
01:32:38:12	01:32:41:07	就拿個垃圾袋包緊一點
01:32:42:29	01:32:44:17	那怎麼包
01:32:45:01	01:32:45:27	去
01:32:46:14	01:32:47:29	反正你快去啦
01:32:49:23	01:32:51:07	叫你去啊
01:32:51:25	01:32:52:07	快點
01:32:53:06	01:32:54:25	丟掉啦
01:34:03:01		小峰
01:34:04:03	01:34:06:24	你在裡面吃得好, 睡得好嗎
01:34:09:05	01:34:10:09	有啦
01:34:10:19	01:34:13:22	哥, 你也要照顧好自己
01:34:14:11	01:34:15:18	不用擔心我了
01:34:18:29		婷婷懷孕
01:34:20:16		你幹嘛瞞我
01:34:21:25	01:34:23:12	難道哥會怪你嗎
01:34:23:26		那是爸爸媽媽的親孫子
01:34:25:19	01:34:27:04	你...
01:34:28:21	01:34:30:17	你現在搞成這個樣子
01:34:30:25		以後我們到了下面
01:34:31:22	01:34:33:13	怎麼跟爸爸媽媽交代
01:34:40:00		哥還是不相信
01:34:40:29	01:34:42:23	你殺死自己的親骨肉
01:34:43:24	01:34:45:13	是不是婷婷叫你這麼做的
01:34:46:15	01:34:47:05	不是
01:34:47:25	01:34:49:15	你不要亂想
01:34:49:27		我看你這麼慌
01:34:51:03		你就是承認了
01:34:52:10	01:34:54:03	難道你以為哥看不出來嗎
01:34:58:00	01:35:01:08	哥, 對不起啦
01:35:02:04		你現在說再多對不起也沒有用
01:35:04:10		聽哥的話
01:35:05:19		下次出庭
01:35:06:18		你一定要跟法官說實話
01:35:08:22		不要為一個不愛你的女人
01:35:09:24	01:35:11:29	把你的人生賠進去了知道嗎
01:35:13:23	01:35:15:09	婷婷不愛我
01:35:16:29	01:35:19:07	婷婷是因為愛我才給我生小孩
01:35:19:21	01:35:21:11	是我自己沒有能力養大
01:35:22:03		要是這樣就怪婷婷
01:35:23:17		我算什麼男人
01:35:25:05		小峰
01:35:26:11		你聽...
01:35:27:13		小峰...
01:35:29:17	01:35:31:19	小峰...
01:36:12:24		法官大人
01:36:13:28		我是何翰峰的哥哥
01:36:15:04		求求你幫幫我弟弟
01:36:17:03		你有什麼事找你的律師
01:36:18:01	01:36:18:29	你不要找我
01:36:19:27		法官大人
01:36:20:20		可是那個律師都在幫邱詩婷
01:36:22:03	01:36:23:10	他沒有在幫我弟
01:36:24:11	01:36:25:08	法官大人
01:36:27:04		為了救我弟
01:36:28:05	01:36:29:27	多少錢我都願意付的
01:36:31:22		何先生, 我警告你
01:36:34:13		我這次不檢舉你
01:36:35:28	01:36:38:10	但是請你不要再意圖賄賂法官
01:36:38:20		那至於你弟弟的官司
01:36:39:19	01:36:41:11	我會看證據公正判決
01:36:41:24	01:36:42:26	這是我的本分
01:36:43:09	01:36:44:02	你先回去
01:36:45:24		法官大人...
01:36:47:18		我求求你法外開恩
01:36:49:01		我求求你救救我弟
01:36:50:15		我求求你
01:36:51:10		你這樣做沒有意義的
01:36:52:18		我一切會依法處理的
01:36:54:04	01:36:57:15	法官大人...
01:37:28:22		你怎麼現在才來
01:37:29:29	01:37:32:02	老師已經在上面等很久了
01:37:34:04		你怎麼臉色這麼難看
01:37:36:02		沒事
01:37:37:12		你等一下不要擺這個臉色
01:37:38:09	01:37:39:17	給我老師看
01:37:52:13	01:37:54:16	來, 敬我的得意門生
01:37:54:29		來...
01:37:55:18	01:37:56:28	多謝老師的栽培
01:37:57:23		恭喜老師再度獲得總統提名
01:38:00:00		預祝老師連任大法官
01:38:01:29		謝謝...
01:38:03:07		你們都能在法界呼風喚雨了
01:38:06:12		將來是老師要靠你們大家幫忙了
01:38:09:04		沒有...
01:38:09:28		是我們還是要靠老師提攜
01:38:12:12		你是大律師, 不簡單
01:38:14:08	01:38:15:15	沒有
01:38:15:29	01:38:18:20	昱德, 怎麼今天晚上都沒說話
01:38:20:23		我剛剛一直在回想
01:38:22:11		以前在刑法課堂上
01:38:24:16	01:38:26:26	授課老師會再三強調
01:38:27:20	01:38:31:11	法律是正義的最後一道防線
01:38:33:24		他一再告誡我們
01:38:34:25		如果有一天當上了法官
01:38:37:01		不能讓法律
01:38:37:26	01:38:40:04	只站在懂法律的人那一邊
01:38:40:25	01:38:42:14	欺壓弱勢
