01:00:22:03	01:00:23:00	Magic
01:06:50:26		你剛剛是怎麼做到的
01:06:52:13	01:06:53:08	教我
01:06:53:24	01:06:55:04	教你繼續做小偷
01:06:55:26	01:06:57:08	很晚了, 回家吧
01:07:00:29	01:07:02:03	你教我嘛
01:07:19:26	01:07:20:27	不好意思喔, 晚到了
01:07:21:14		都幾點啦
01:07:22:21		跑去哪啊
01:07:23:18	01:07:24:16	對不起啦
01:07:28:24	01:07:30:05	你馬子臉那麼臭
01:07:31:11	01:07:32:14	有沒有問題啊
01:07:35:16	01:07:36:24	我去跟她講一下啦
01:07:41:20	01:07:44:10	小美, 不是都講好了
01:07:45:03	01:07:46:17	你該不會不幹了吧
01:07:47:29	01:07:49:03	我不想玩了
01:07:51:05		那麼多女生
01:07:52:29	01:07:54:27	老頭就指明要你啊
01:07:56:04		一定是因為你最漂亮了對不對
01:07:57:27		好不好
01:07:58:22	01:08:00:01	我就說我不想玩了嘛
01:08:02:28		那你不做
01:08:04:04	01:08:05:09	我們怎麼辦
01:08:07:05	01:08:08:14	我們哪來的錢
01:08:09:22	01:08:11:01	好啦, 走了啦
01:08:12:14	01:08:13:20	他們都在等了
01:08:16:01	01:08:16:29	好啦
01:08:18:12	01:08:19:10	走啦
01:08:20:05	01:08:21:05	拿去啦
01:08:30:03		臉這麼臭幹什麼
01:08:32:06	01:08:33:17	賺錢嘛
01:08:37:05		現在四點半
01:08:39:12		你等會兒十五分鐘以內
01:08:41:01		你想辦法讓他脫光
01:08:43:14		我四十五分就會衝進去拍照
01:08:46:03	01:08:47:08	你有沒有在聽啊
01:08:48:04		有沒有聽到啊
01:08:49:10	01:08:50:10	好啦...
01:08:51:01	01:08:51:28	OK喔
01:08:52:13	01:08:53:10	讓開啦
01:09:06:12		那麼凶幹嘛啦
01:09:08:01	01:09:09:00	她我馬子耶
01:09:09:28	01:09:11:03	我有很凶嗎
01:10:02:10	01:10:03:15	來... 這邊坐
01:10:18:18	01:10:19:22	來啊, 過來啦
01:10:24:25	01:10:25:25	來啦, 快點啦
01:10:31:22	01:10:33:02	來啊, 過來
01:10:36:18	01:10:37:11	來啦
01:10:45:29	01:10:47:01	包包放下來啦
01:10:51:20	01:10:52:20	你幾歲啊
01:11:00:27	01:11:02:05	你要不要去洗澡啊
01:11:02:22	01:11:03:26	我剛洗過啦
01:11:08:03		我還沒洗耶
01:11:09:06		你還沒洗喔
01:11:10:10		沒關係啦
01:11:11:03	01:11:12:13	來啦, 等一下一起洗啦
01:11:13:19		先脫衣服啊
01:11:14:28	01:11:15:27	好, 脫衣服
01:11:17:03		一起脫啦
01:11:17:27	01:11:19:14	我自己來...
01:11:22:14		怎麼脫那麼慢
01:11:23:14		來啦, 我幫你啊
01:11:24:14	01:11:25:12	我快脫好了
01:11:26:02		沒關係啦, 來啦
01:11:27:00		我幫你啦
01:11:27:13	01:11:28:23	我自己...
01:11:30:24	01:11:32:02	沒關係啦, 來啦
01:11:32:28	01:11:34:03	走開...
01:11:35:04	01:11:35:26	來啦
01:11:41:01	01:11:41:28	你敢丟我
01:11:58:11	01:11:59:07	我去看就好了
01:12:01:14	01:12:02:07	小美
01:12:03:14	01:12:04:05	小美
01:12:04:16		到底發生什麼事了啦
01:12:06:01		我不要玩了
01:12:07:10		不行這樣啦
01:12:08:05	01:12:09:05	聰哥會生氣啦
01:12:12:15	01:12:13:28	你這樣算什麼男朋友啊
01:12:16:13	01:12:17:06	小美
01:12:17:24		踹我一腳, 快點
01:12:18:23	01:12:19:23	快點, 踢我一腳
01:12:33:01	01:12:33:25	有人在追我
01:12:35:04	01:12:35:28	不要跑
01:12:38:00	01:12:38:23	不要跑
01:13:00:08		上車...
01:13:01:21	01:13:02:11	快點
01:13:33:20	01:13:34:21	剛剛好險喔
01:13:35:15	01:13:36:09	是啊
01:13:37:17	01:13:38:27	這裡應該很安全了
01:13:41:08	01:13:42:09	應該吧
01:13:45:07	01:13:46:16	剛剛那一票人是誰
01:13:48:06	01:13:49:10	壞人啊
01:13:53:29	01:13:55:08	那我就帶你到這囉
01:14:01:16	01:14:02:16	謝謝你啊
01:14:16:09	01:14:17:20	打電話給你家人啊
01:14:18:18	01:14:19:20	我沒有家人
01:14:20:23	01:14:21:27	你總該有個家吧
01:14:22:27		我不能回去
01:14:24:12	01:14:25:23	他們會找到我的
01:15:19:12		我最討厭人家
01:15:21:05	01:15:22:26	抽這種英文字的菸
01:15:27:18		現在變成什麼菸
01:15:29:16		Made in Taiwan
01:15:30:23	01:15:31:25	對...
01:15:40:24	01:15:41:25	火啦
01:16:01:15	01:16:02:09	哈囉
01:16:03:08	01:16:04:06	俊英
01:16:06:19	01:16:08:03	你現在在說什麼
01:16:09:05		你現在在說什麼
01:16:10:07		你說了算喔
01:16:11:10		騙肖仔
01:16:12:13	01:16:13:12	試試看啊
01:16:18:13	01:16:21:10	火啦, 熄了啦...
01:16:32:20	01:16:33:26	你女朋友呢
01:16:35:27	01:16:37:05	找回來, 我警告你
01:16:37:21		你也一樣啦
01:16:39:06	01:16:40:15	怎麼帶頭的
01:16:58:01	01:16:59:10	到了啊, 走
01:17:16:28	01:17:17:27	轉過去啦
01:17:19:27	01:17:21:06	轉過去
01:17:28:26	01:17:30:00	好了, 進來
01:17:41:09	01:17:42:14	你家很亂耶
01:17:45:06	01:17:46:16	你有沒有什麼喝的啊
01:17:47:10	01:17:48:12	你想喝什麼
01:17:51:06	01:17:52:08	有牛奶嗎
01:17:54:04	01:17:55:08	我找找看
01:18:56:22	01:18:57:27	好漂亮喔
01:19:03:19	01:19:04:16	放下
01:19:07:02		幹嘛那麼凶啊
01:19:08:21	01:19:09:25	碰一下而已嘛
01:19:12:06	01:19:13:15	不要亂碰我的東西
01:19:21:22		好啦, 對不起嘛
01:19:24:13	01:19:26:07	我只是覺得它很漂亮而已嘛
01:19:27:01	01:19:28:01	你女朋友的喔
01:19:30:06	01:19:31:08	我沒有女朋友
01:19:33:15	01:19:34:19	你好遜喔
01:19:41:11	01:19:43:04	嗨, 你好啊
01:19:43:21		你叫我小美就可以了
01:19:45:12		我今年十七歲
01:19:47:09	01:19:48:19	很高興認識你啊
01:19:49:09	01:19:50:15	你怎麼稱呼啊
01:19:54:15	01:19:55:18	我叫小應
01:19:57:13		我現在要上班
01:19:58:25		你一個人待在家
01:20:00:01		不要到處亂跑
01:20:00:28	01:20:02:09	出了事我可不負責喔
01:20:03:11		還有
01:20:05:01		不要隨便動我的東西
01:20:06:09	01:20:07:23	尤其是這間房間
01:20:12:09		我只借你住一晚
01:20:13:29		如果肚子餓了
01:20:14:28		廚房裡面有東西吃
01:20:16:03	01:20:16:29	自己弄
01:20:52:07	01:20:53:06	小應
01:20:56:23	01:20:57:19	小應啊
01:20:59:11		好久不見啊
01:21:00:18	01:21:01:23	你怎麼突然跑來了啊
01:21:05:25		這幾年你都跑哪去了
01:21:07:29		也從來不跟我聯絡
01:21:09:29	01:21:11:25	我都不知道你過得好不好
01:21:12:21		還是經過朋友打聽
01:21:14:16	01:21:15:24	才知道你在這裡
01:21:16:24	01:21:17:20	怎麼樣
01:21:18:17	01:21:19:20	過得好嗎
01:21:20:24	01:21:21:27	還不是老樣子
01:21:22:18	01:21:23:14	哪有什麼好不好
01:21:33:15		小應
01:21:35:01		我今天來找你
01:21:36:07	01:21:37:23	想跟你商量一件事情
01:21:41:10		是好朋友
01:21:43:05	01:21:44:21	就不要聊了好不好
01:21:45:18		就是因為是好朋友
01:21:48:01	01:21:50:01	我才不希望你繼續過這種日子
01:21:51:06		我覺得我現在的日子
01:21:52:02	01:21:53:06	過得很好啊
01:22:05:15		看看照片中的你
01:22:07:07		多帥氣
01:22:08:27	01:22:10:05	還有簽名呢
01:22:13:15		真正的應浩然
01:22:15:13		應該站在舞台上
01:22:17:10	01:22:19:05	而不是關在吧台裡啊
01:22:26:21	01:22:28:08	好了, 兄弟
01:22:29:05		承蒙您看得起
01:22:30:13	01:22:31:07	謝啦
01:22:31:24	01:22:32:25	乾杯
01:23:13:25	01:23:14:25	你回來啦
01:23:19:24	01:23:20:23	這...
01:23:22:02		這我剛剛在衣櫃裡面拿的啦
01:23:25:00	01:23:26:18	沒關係吧
01:23:29:02	01:23:30:05	沒關係
01:23:32:07		這家裡是你打掃的啊
01:23:33:18		對啊
01:23:34:25		家裡真的太髒太亂了
01:23:36:28	01:23:38:16	我實在看不下去了
01:23:41:01		你看...
01:23:42:09	01:23:43:18	這我幫你煎的蛋
01:23:46:10	01:23:47:11	可愛吧
01:23:49:17	01:23:50:16	準備吃宵夜
01:23:51:29		你買什麼啊
01:23:53:11	01:23:55:01	豆漿, 蛋餅, 油條
01:23:58:04		東西都亂放
01:23:59:18	01:24:01:03	壞習慣真的很多耶
01:24:03:15	01:24:04:23	要掛起來啦
01:24:09:13	01:24:10:18	我問你啊
01:24:11:17	01:24:14:08	今天追你的那一票人是誰啊
01:24:15:04		他們喔
01:24:17:06		就是騙子啊
01:24:18:24		騙子
01:24:19:24	01:24:20:26	什麼意思啊
01:24:21:23		就是...
01:24:22:23	01:24:24:16	專門在騙人家錢那種騙子啦
01:24:27:07		我知道了
01:24:29:02		你一定是騙人家很多錢
01:24:30:12	01:24:32:03	所以人家才要抓你對不對
01:24:33:12		反正他們現在
01:24:34:03	01:24:35:17	就是沒有要放過我啦
01:24:37:25	01:24:39:09	那你打算以後怎麼辦
01:24:40:23	01:24:42:00	沒有地方去
01:24:44:24		不過我喜歡你
01:24:46:25	01:24:48:03	因為你也是騙子
01:24:49:11		我哪是騙子啊
01:24:51:04		我剛剛在幫你整理家裡的時候
01:24:52:18	01:24:54:02	發現一個大秘密耶
01:24:55:06		原來你是魔術師耶
01:24:57:17	01:24:58:24	所以你也是騙子
01:25:01:25		這位小朋友
01:25:03:06		我要糾正你一個觀念
01:25:04:24		我們魔術師
01:25:06:03		那叫工作
01:25:07:03	01:25:08:11	不叫騙子, OK
01:25:10:22		那今天他們在追我的時候
01:25:12:22		也是在工作啊
01:25:13:29	01:25:15:12	而且還超專業的
01:25:16:08	01:25:17:08	專業
01:25:21:24		對了, 我們先講好喔
01:25:23:22		我可以幫你煮飯
01:25:24:28		洗衣服, 洗碗
01:25:26:17	01:25:28:14	但是我不會跟你上床喔
01:25:30:00		你會不會想太多啊
01:25:31:21		我在這裡
01:25:33:03	01:25:34:25	總不好意思白吃白住嘛
01:25:35:22		我有答應讓你住下來嗎
01:25:37:12		可是我一出去
01:25:38:21		他們就會找到我啊
01:25:40:09		那關我什麼事啊
01:25:41:17		當然跟你有關係啊
01:25:43:17		我一出去
01:25:44:24	01:25:45:28	我就會這樣耶
01:25:46:23		什麼意思啊
01:25:48:02		GG了啦
01:25:49:14	01:25:50:21	死定了啦
01:25:56:10		你就讓我留下來嘛
01:25:58:09	01:25:59:27	我不會跟你添麻煩的啦
01:26:00:24	01:26:02:21	拜託啦
01:26:04:00	01:26:04:19	好不好
01:26:08:07		小心拿喔, 謝謝
01:26:09:00	01:26:09:26	謝謝
01:26:19:12	01:26:20:09	謝謝
01:26:27:13	01:26:28:08	小美
01:26:29:01		今天我就教你一套魔術
01:26:31:18	01:26:32:12	看好囉
01:26:42:06		這招很神耶
01:26:43:14		教我
01:26:44:20		它叫逃脫術
01:26:46:00	01:26:47:29	Penetration, 穿越現象
01:26:49:13	01:26:50:16	還有, 看好了
01:27:00:04	01:27:02:06	Disappear, 消失現象
01:27:09:02	01:27:10:27	如果我也能消失就好了
01:27:13:25	01:27:14:29	幹嘛啊
01:27:16:08		不就是個魔術
01:27:17:04		幹嘛那麼感傷
01:27:18:03	01:27:19:13	來... 吃蛋糕
01:27:31:08	01:27:32:06	小應啊
01:27:33:09	01:27:34:07	小應
01:27:34:21	01:27:35:24	我在廚房
01:27:43:23		等我一下
01:27:44:13		我泡個茶馬上好
01:27:45:29	01:27:46:27	好
01:28:04:09	01:28:05:06	嗨
01:28:07:00	01:28:07:25	嗨
01:28:12:16		會不會年紀太小了
01:28:13:28		這樣不太好吧
01:28:15:12		你想太多
01:28:16:24		喝茶吧
01:28:17:19	01:28:18:12	好
01:28:21:05		來, 喝茶...
01:28:22:15	01:28:23:18	好, 謝謝
01:28:24:25	01:28:25:21	怎麼
01:28:26:17	01:28:27:26	今天找我什麼事
01:28:30:17		小應啊
01:28:32:10		我都跟你規劃好了
01:28:34:02		我們先在台灣辦一場復出秀
01:28:37:09		然後大陸隨便走一圈
01:28:39:13	01:28:41:06	都有上千場的case
01:28:43:14	01:28:46:03	算了, 那麼多年沒表演了
01:28:48:03	01:28:49:04	都生疏了
01:28:50:12		不會的
01:28:51:20		我相信你練習練習
01:28:53:14	01:28:54:21	手感就回來了
01:28:55:21	01:28:56:21	不行...
01:28:57:24		小應, 你知不知道
01:29:00:18	01:29:03:21	觀眾現在都在期待你的復出啊
01:29:04:25		大叔, 你好
01:29:06:01	01:29:06:27	我叫小美
01:29:07:21		小美啊
01:29:09:02	01:29:10:01	你好...
01:29:10:28		我是小應的表演經紀人
01:29:13:06		我叫廣生
01:29:14:13	01:29:15:15	你說表演
01:29:16:11	01:29:17:22	我也很喜歡表演
01:29:18:29	01:29:20:07	你可以找我一起啊
01:29:21:19	01:29:22:22	我有沒有機會啊
01:29:24:20	01:29:26:18	大家都說我有明星臉耶
01:29:27:14	01:29:28:05	好
01:29:31:27	01:29:32:25	好, 謝謝
01:29:34:06	01:29:35:00	小朋友
01:29:36:02		大人在談事情的時候
01:29:37:23	01:29:39:02	麻煩你進去好不好
01:29:41:26	01:29:43:04	聽一下又不會怎麼樣
01:29:44:00	01:29:44:29	快...
01:29:48:08	01:29:49:07	進去
01:29:55:09	01:29:56:03	小應啊
01:29:56:22		我企劃書在這裡
01:29:58:20	01:29:59:18	你看一看吧
01:30:03:17		謝啦...
01:30:05:15	01:30:06:28	我真的上不了台
01:30:10:20	01:30:11:27	看看這雙手
01:30:13:00		如果每天都用來
01:30:14:01	01:30:15:12	為客人調酒的話
01:30:16:13	01:30:17:24	那多可惜啊
01:30:23:00		我也知道
01:30:24:21	01:30:27:03	這都是因為五年前那場意外
01:30:28:15		可是當時你女兒凱蒂
01:30:30:19		她有氣喘病嘛
01:30:32:15	01:30:34:01	這怎麼能怪你呢
01:30:36:00		沒想到五年都過去了
01:30:38:08	01:30:40:01	你還是走不出傷痛
01:30:41:23		可是小應
01:30:43:19		你別忘了
01:30:45:06	01:30:47:06	凱蒂她可是你最大的粉絲啊
01:30:48:26		如果她能夠看到你復出的話
01:30:51:08	01:30:53:03	你想她會有多麼高興
01:30:54:06		就是啊
01:30:55:19		要是我是你女兒的話
01:30:57:17		看到你這樣
01:30:59:00	01:31:00:14	我也會很難過
01:31:01:12		你看看
01:31:02:21	01:31:05:00	人家女孩子多麼懂事啊
01:31:17:12	01:31:18:13	那助理呢
01:31:18:27	01:31:19:25	助理啊
01:31:21:11	01:31:22:22	那助理我們就找她啊
01:31:23:27	01:31:24:22	她
01:31:25:17		有沒有搞錯啊, 她
01:31:27:05		可以啦
01:31:28:03		只要好好打扮一下的話
01:31:29:28	01:31:31:08	一定能夠成功的嘛
01:31:32:02		廣生哥
01:31:33:07	01:31:34:07	你真有眼光耶
01:31:46:05	01:31:46:28	小應哥
01:31:47:28		你今天超帥的
01:31:49:03		真的嗎
01:31:50:05	01:31:51:19	等一下要帶我去買什麼啊
01:31:52:28	01:31:54:18	我覺得你還是適合回學校
01:31:55:28	01:31:57:01	你每次都講這個
01:31:57:22	01:31:58:24	囉哩八嗦的
01:32:03:19	01:32:04:20	這個呢
01:32:05:09	01:32:06:07	這件可以吧
01:32:38:12		小應哥
01:32:39:20	01:32:40:17	怎麼樣啊
01:32:41:21		你挑裙子一定要挑那麼短的嗎
01:32:44:10	01:32:45:22	難道沒有長一點的
01:32:46:20		這也不行, 那也不行
01:32:48:12	01:32:49:20	到底要我穿什麼啊
01:32:57:03		你又不是我男朋友
01:32:58:00		又不是我爸
01:32:59:04	01:33:00:09	管那麼多
01:33:01:26		對啦
01:33:02:24	01:33:04:19	我們現在只是同居而已嘛
01:33:11:00		現在不是很流行什麼老少配嗎
01:33:12:23		你看...
01:33:13:27	01:33:15:16	你看, 你不覺得我們很配嗎
01:33:16:07		好了, 別鬧了
01:33:17:13		我們後面還有很多事要做
01:33:19:08	01:33:20:06	親愛的
01:33:21:15		好了, 你不用挑了
01:33:23:04	01:33:24:05	我已經幫你挑好了
01:33:25:21		就這一套
01:33:26:12		什麼啊
01:33:27:13	01:33:28:08	快點去換
01:33:29:03	01:33:29:27	快
01:33:42:20		小應哥
01:33:43:22	01:33:45:21	剛剛那件裙子明明就很可愛啊
01:33:47:01		那哪叫可愛
01:33:48:18	01:33:50:07	你穿這樣才叫可愛, 懂不懂
01:33:51:14	01:33:53:02	我真的覺得你不懂美是什麼
01:33:59:20		小應哥
01:34:00:18		你要不要喝什麼
01:34:02:04		我不要
01:34:03:09		那你幫我拿著
01:34:04:07		我要去買東西
01:34:05:12		你有沒有帶錢
01:34:06:08		有啦
01:34:07:04		那我先回店裡囉
01:34:08:01	01:34:08:22	好
01:34:26:13	01:34:27:24	這幾天跑去哪裡了
01:34:29:29	01:34:30:28	要你管啊
01:34:33:10		剛剛那個男的是誰
01:34:35:04		他要幹嘛
01:34:36:15	01:34:37:17	我要去付錢了啦
01:34:38:14		他到底是誰啦
01:34:39:19	01:34:40:17	放開我啦
01:34:55:01		走啦, 跟我回去啦
01:34:56:06	01:34:57:07	你幹嘛啦
01:34:58:21		不回去要去哪裡
01:34:59:15		走啦, 跟我走啦
01:35:01:08	01:35:02:13	我不要啦
01:35:07:10		我跟你講啦
01:35:08:22		你要是不回去
01:35:10:16	01:35:12:02	被聰哥找到你就死定了
01:35:12:20		你煩不煩啊
01:35:14:09		聰哥...
01:35:15:18	01:35:16:21	煩死了啦
01:35:25:16	01:35:26:17	那我問你
01:35:27:15		你還能去哪
01:35:29:10	01:35:31:00	你要跟那個男的一起走嗎
01:35:35:24		這是我的事
01:35:37:15	01:35:38:18	不用你管
01:35:44:11		沒有我
01:35:45:22		誰還能照顧你啊
01:35:47:25	01:35:49:05	那男的可以嗎
01:35:56:22	01:35:57:23	我要走了
01:35:59:02	01:36:00:06	你自己小心
01:36:04:27	01:36:05:25	小美
01:36:12:21		喂, 聰哥
01:36:13:22		小四喔
01:36:14:26	01:36:16:01	你找到人了嗎
01:36:19:01		你耳聾了嗎
01:36:20:11		你找到人了嗎
01:36:21:19		來... 給我回來...
01:36:23:07	01:36:23:29	不必找了...
01:36:31:29		小應哥
01:36:33:13	01:36:35:14	橡皮筋要怎樣才能解開啊
01:36:36:22	01:36:37:26	想不通就別想了
01:36:40:26	01:36:42:19	要是我也能逃脫就好了
01:36:48:00	01:36:49:19	未成年不能抽菸
01:37:04:11	01:37:05:06	看好
01:37:13:23		你怎麼用的
01:37:14:29		教我
01:37:16:06		我也要學
01:37:17:14		要學可以啊
01:37:19:02	01:37:20:24	回學校念書, 我就教你
01:37:22:27	01:37:24:00	每次都講這個
01:37:25:19	01:37:26:07	來
01:37:28:08		先生, 我要一手啤酒
01:37:29:20	01:37:30:06	好
01:37:31:07		來
01:37:32:00	01:37:32:26	謝謝
01:37:34:25	01:37:35:19	麻煩你了
01:37:36:12		你們在玩什麼
01:37:37:07		小美, 你來了
01:37:39:04		來... 坐裡面...
01:37:40:19	01:37:41:26	來...
01:37:42:20	01:37:43:26	小美女耶
01:37:44:09		先喝一杯
01:37:45:10		乾
01:37:46:13	01:37:47:19	酒量不錯嘛
01:37:48:15		來...
01:37:48:27		這位是強哥
01:37:49:25		來, 我敬你
01:37:50:28		我叫小美
01:37:52:03	01:37:52:26	強哥
01:37:54:16		會不會玩吹牛
01:37:55:24		拜託, 這誰不會啊
01:37:58:01		好...
01:37:59:10	01:38:00:06	來個厲害的
01:38:02:16		三個五
01:38:03:17		三個五, 金毛
01:38:05:07		五個五
01:38:06:22	01:38:07:22	五個五
01:38:09:01	01:38:09:29	五個六
01:38:11:25		六個四
01:38:12:29		六個四, 抓
01:38:15:01		沒有...
01:38:16:12	01:38:17:11	喝酒
01:38:17:28	01:38:18:24	好啦
01:38:19:18		我幫你喝
01:38:20:18		不... 輸的人自己喝
01:38:22:13		願賭服輸...
01:38:23:24	01:38:24:25	來... 喝
01:38:27:03	01:38:28:09	讚...
01:38:28:28	01:38:29:24	我們來喝一杯
01:38:39:24	01:38:40:23	你真的有喔
01:38:42:01		走啊, 快點
01:38:43:27		快一點啦
01:38:44:07		好, 走...
01:38:45:24	01:38:46:18	你們喝啊
01:38:47:25	01:38:48:28	好啦...
01:38:50:06	01:38:51:03	那麼急幹嘛
01:39:16:08	01:39:17:07	你幹嘛啦
01:39:18:02		親一下有什麼關係嘛
01:39:19:28		我... 不要啦
01:39:21:18		大家出來玩的嘛
01:39:22:16		走開
01:39:23:18		小美女, 不要裝了啦
01:39:24:21		不要啦
01:39:25:16		沒關係啦
01:39:26:05		走開啦
01:39:27:00		來啦...
01:39:28:00	01:39:28:25	讓我親一個, 來
01:39:30:10		來嘛, 沒關係嘛
01:39:31:21	01:39:32:17	你幹嘛
01:39:37:07	01:39:38:04	強哥
01:39:39:25	01:39:41:11	她未滿十八歲不能抽菸
01:39:43:08	01:39:45:06	她未滿十八歲關你屁事啊
01:39:47:03	01:39:49:01	強哥, 對不起
01:39:50:26		你這個bartender
01:39:51:21		你管得真多啊你
01:39:53:12	01:39:54:04	小應哥
01:39:58:19		強哥, 不好意思
01:40:00:15	01:40:01:20	不好意思啊
01:40:03:03	01:40:04:07	不要打了
01:40:06:17	01:40:08:08	老子今天心情被你搞沒有了
01:40:36:25	01:40:38:15	小應哥, 對不起
01:40:41:27	01:40:43:23	你到底知不知道你在幹嘛
01:40:50:07	01:40:51:15	小應哥
01:40:53:26	01:40:55:07	小應哥
01:41:24:07		小美, 你還年輕
01:41:28:02	01:41:29:27	我不希望你學壞, 你懂不懂
01:41:38:22	01:41:40:14	好了... 別哭了
01:41:41:08	01:41:42:14	沒事了...
01:41:43:21	01:41:44:25	對不起
01:41:53:01	01:41:54:10	對不起
01:41:54:27	01:41:56:29	好了, 不要哭了
01:42:29:12		我把白米
01:42:31:01		倒在我們的黃色的布上面
01:42:34:03	01:42:36:24	好, 接下來我把它蓋起來
01:42:37:26		好了... 快一點啦
01:42:39:07		今天日子不一樣
01:42:41:17		你們知道為什麼日子不一樣嗎
01:42:43:19		不知道
01:42:44:06	01:42:46:22	不知道今天是什麼日子對不對
01:42:52:15	01:42:53:11	小偷
01:42:54:06	01:42:55:12	先生, 她偷你手機
01:42:56:11		手機還我
01:42:57:02		我沒有偷啊
01:42:57:26		你還說沒有
01:42:59:02	01:43:00:02	你幹嘛啦
01:43:00:15		你幹嘛拿我包包啊
01:43:01:17		兩個人看到了, 你還說沒有
01:43:02:25		還我
01:43:03:14		你幹嘛啦
01:43:04:11	01:43:05:10	這是我的包包耶
01:43:06:05	01:43:07:05	這是什麼
01:43:07:21	01:43:08:18	這什麼
01:43:08:28		小小年紀不學好
01:43:10:10		當小偷
01:43:11:10		跟我去警察局
01:43:12:10	01:43:12:26	走
01:43:13:17		先生
01:43:14:12		你誰啊
01:43:15:14		發生什麼事了
01:43:16:15		她偷我東西
01:43:17:14		去警察局
01:43:18:07		不要這樣, 不要這樣子嘛
01:43:20:21	01:43:21:22	你誤會了
01:43:22:11		我們是在街頭表演
01:43:23:22	01:43:24:25	我們在變魔術的
01:43:25:08		這什麼爛理由啊
01:43:26:10		我看你們根本就一夥的
01:43:28:13		真的啊
01:43:29:08		她是我助理
01:43:30:15		她本來想要偷你的手機
01:43:31:17		跟你自拍
01:43:32:21	01:43:33:24	給你一個surprise
01:43:34:17	01:43:35:15	真搞笑
01:43:36:23	01:43:38:10	要不你看看你手錶現在幾點
01:43:40:29	01:43:41:28	我手錶呢
01:43:45:18		不好意思
01:43:46:22	01:43:47:21	對不起...
01:43:48:03		你變魔術幹嘛拿我來試驗啊
01:43:51:05		我又不認識你
01:43:52:10		莫名其妙嘛你
01:43:53:16		對不起...
01:43:54:29		不好意思...
01:43:56:13	01:43:57:22	對不起...
01:44:04:03	01:44:05:06	你在幹嘛
01:44:07:06		我只是想練一下手法嘛
01:44:09:10		我教你手法
01:44:10:00	01:44:11:08	是要你去偷東西啊
01:44:12:22		你幹嘛這樣講啦
01:44:14:02	01:44:15:00	閉嘴
01:44:16:20		你口口聲聲跟我說
