01:00:14:02	01:00:15:10	老闆, 多少錢
01:07:56:00		別客氣
01:07:57:01	01:07:58:18	這是我們應該做的
01:07:59:26	01:08:01:01	好, 再見
01:08:03:26	01:08:05:07	終於打來了
01:08:06:27	01:08:08:03	快去準備動手術吧
01:08:09:28	01:08:10:29	對...
01:08:11:16		剛剛誰找我
01:08:12:25		是院長夫人
01:08:13:25		她說院長媽媽不見了
01:08:15:28	01:08:17:05	你怎麼現在才說
01:08:23:20		喂, 秀賢
01:08:24:28		媽怎麼又不見了
01:08:26:09		今天仲介公司突然打電話來
01:08:28:10		說看護又被趕走了
01:08:30:02		我一直打敏鳳和義生的電話
01:08:31:15		都沒人接
01:08:32:16		直接趕回老家去看
01:08:33:24		才發現媽不見了
01:08:35:10		那現在情況怎麼樣了
01:08:37:00		義生已經去找了
01:08:38:03	01:08:39:18	你趕快回來吧
01:08:39:29		我現在這邊有手術要進行
01:08:41:00		我走不開
01:08:42:11	01:08:43:07	你先處理好了
01:09:36:12		不要等了
01:09:37:06	01:09:38:22	你爸不會回來了
01:09:47:29		媽媽
01:09:48:18	01:09:50:06	為什麼爸爸不會回來
01:09:51:09		這個時間
01:09:51:28		不是在外面跟朋友在喝酒
01:09:53:14		就是在賭博
01:09:54:28	01:09:56:02	不會回來了
01:10:13:29	01:10:15:16	媽, 你還沒睡啊
01:10:16:08	01:10:17:22	明天趕著要出貨
01:10:19:21		如果是這樣
01:10:20:03		我幫你一起做
01:10:20:26		這樣比較快啦
01:10:22:04		不用啦
01:10:22:24		我做就好了
01:10:23:26		你快去睡覺啦
01:10:24:18		明天還要上課
01:10:26:08	01:10:27:10	沒關係啦
01:10:34:00	01:10:35:01	阿仁
01:10:35:24	01:10:37:10	你就要好好認真讀書
01:10:37:27	01:10:40:02	以後做一個有用的人
01:10:40:18		不要像你爸這麼沒出息
01:10:43:00	01:10:44:16	有沒有聽到
01:11:27:17	01:11:28:08	阿義
01:11:28:28		牛肉麵一碗四十五元吧
01:11:32:01		對啊, 牛肉麵一碗四十五元
01:11:34:05		牛肉湯麵是一碗二十五元
01:11:36:19		那對啊
01:11:38:10	01:11:40:03	那阿台仔怎麼說我算錯
01:11:40:26		那是她算錯
01:11:41:22	01:11:42:27	你怎麼可能會算錯
01:11:43:18	01:11:44:20	對吧
01:11:46:00	01:11:48:08	媽, 不然我們進房間休息
01:11:50:05		我跟你說喔
01:11:50:23	01:11:52:08	那個阿台仔都亂算
01:11:52:20		我上回跟她叫一顆滷蛋
01:11:53:22		你知道嗎
01:11:54:11	01:11:55:15	十元耶
01:11:56:12	01:11:58:02	你被她騙了
01:11:59:07		滷蛋才三元, 賣你十元
01:12:01:13		她唬你
01:12:02:08		對啊...
01:12:02:29	01:12:05:29	不過那個滷蛋像西瓜那麼大
01:12:06:20		亂講
01:12:08:05		滷蛋哪有西瓜那麼大的
01:12:10:20		亂講
01:12:11:19	01:12:12:29	來...
01:12:18:03		以後小心一點
01:12:18:27	01:12:20:20	不要讓老人家自己待在家
01:12:20:29		我知道
01:12:22:00		真的很謝謝你們
01:12:23:10	01:12:24:28	謝謝...
01:12:38:01	01:12:39:22	他們是在哪裡找到媽的
01:12:40:15	01:12:41:23	寶藏巖
01:12:42:14		藝術村的人通知警察
01:12:44:13	01:12:45:29	所以很快就找到了
01:12:47:09		我就在想啊
01:12:48:11	01:12:49:27	應該是在那一帶
01:12:51:12		那你怎麼不早點說啊
01:12:53:12	01:12:56:01	害大家像無頭蒼蠅一樣到處找
01:13:18:04	01:13:19:04	爸
01:13:19:09		你怎麼也來啦
01:13:20:17		媽剛剛打電話給我
01:13:21:26	01:13:24:04	叫我帶一些自助餐的菜回來
01:13:36:17	01:13:37:23	媽還好吧
01:13:39:00	01:13:40:09	媽
01:13:40:15		她右手舉不太起來
01:13:42:29	01:13:43:28	其他都還好
01:13:52:14	01:13:54:15	對, 就這一隻手不太好舉
01:13:55:01		我想會不會是因為媽今天太累
01:13:57:18		而且媽最近說
01:13:58:11		她肩膀一直不太舒服
01:14:00:00	01:14:02:01	所以這隻手都不太好舉
01:14:04:09	01:14:05:09	哥
01:14:05:13	01:14:06:21	可是她...
01:14:08:22	01:14:11:06	這個還是一樣
01:14:13:25	01:14:16:15	老人失智就是這個樣子
01:14:17:11	01:14:19:27	最多只是減緩惡化而已
01:14:23:29	01:14:25:04	電視機關掉
01:14:28:25	01:14:30:02	關掉
01:14:41:11	01:14:42:03	哥
01:14:42:26		我今天早上就去開車
01:14:44:22		所以...
01:14:45:18	01:14:47:05	我真的不知道別緊張
01:14:47:25	01:14:49:23	我沒有要責怪你的意思
01:14:53:21	01:14:54:19	敏鳳呢
01:14:55:10		怎麼都沒有看到她
01:14:57:12	01:14:58:14	敏鳳...
01:15:01:06	01:15:02:23	敏鳳她去上班了啦
01:15:04:01		所以最近家裡頭
01:15:05:14	01:15:07:01	只有媽跟外勞兩個人
01:15:08:26	01:15:11:17	如果敏鳳她有班
01:15:11:28	01:15:14:03	我白天又要開車的話
01:15:14:21	01:15:16:10	是這個意思沒有錯
01:15:18:03	01:15:20:01	敏鳳她什麼時候去上班的啊
01:15:21:11		之前怎麼都沒聽她提過
01:15:23:02		我...
01:15:23:17		大嫂, 你別誤會了
01:15:25:09		你跟大哥那麼忙
01:15:26:26	01:15:29:00	我只是還找不到機會跟你們說
01:15:30:28		你今天我打電話給你
01:15:31:19		怎麼都不接
01:15:32:21		媽媽今天出去差點弄丟
01:15:33:14	01:15:34:09	你知道嗎
01:15:35:02		敏鳳啊
01:15:36:05	01:15:37:16	你大嫂沒有別的意思
01:15:38:16		她只是想說
01:15:39:26		如果先讓我們知道
01:15:40:20		你要去上班的話呢
01:15:42:03	01:15:43:18	我們就會另外想辦法嘛
01:15:44:12		盡量不要讓媽跟外勞
01:15:45:11		兩個人在家
01:15:46:21		因為這樣子
01:15:47:21		萬一她們有什麼衝突的話
01:15:49:13	01:15:51:06	我們都沒有人知道嘛, 對不對
01:15:53:06		外勞都換過幾個了
01:15:54:25		來一個, 跑一個
01:15:55:22		這個不靈
01:15:56:19		我上個月反應過了
01:15:58:04	01:15:59:26	好像也沒辦法解決喔
01:16:01:11		我已經打過電話跟仲介說過
01:16:03:19		讓他們再調一個
01:16:04:20		有經驗, 有耐心的來
01:16:06:15		可是他們一直要我等
01:16:08:09	01:16:09:21	我也沒有辦法
01:16:11:01		那也不能這樣理所當然的
01:16:12:25		把我當免費看護用吧
01:16:14:11	01:16:15:21	你怎麼這樣說話
01:16:25:14		大嫂, 你們都吃飽了
01:16:27:04		不好意思, 我還沒吃東西
01:16:28:14	01:16:29:17	我去買個便當
01:16:39:08	01:16:40:27	敏鳳...
01:16:51:07	01:16:52:02	小東
01:16:52:20		我跟你媽出去買點東西
01:16:54:17	01:16:55:28	馬上回來
01:16:58:20	01:17:00:00	阿嬤你照顧一下
01:17:01:07	01:17:04:00	爸, 你們不是才剛吃飽
01:17:04:22	01:17:06:00	有吃沒有飽
01:17:08:23	01:17:10:11	菜都吃光了
01:17:10:28	01:17:12:09	還沒吃飽
01:17:22:18	01:17:24:06	拿走, 我不要吃
01:17:25:02		媽, 我檢查過了
01:17:26:16	01:17:27:23	這真的沒毒
01:17:28:06	01:17:29:07	你騙人
01:17:29:18		你跟那個外勞
01:17:30:29	01:17:32:21	串通要來害我
01:17:34:01		媽, 我是你的媳婦
01:17:36:22		我是阿義的老婆
01:17:38:19	01:17:39:28	你不記得了喔
01:17:43:23	01:17:45:26	抱歉, 對不起...
01:17:48:25		出去媽啊...
01:17:51:11		出去...媽啊...
01:17:52:02	01:17:56:07	出去...
01:17:57:08		抱歉, 對不起...
01:17:59:17		敏鳳
01:18:00:10		不好意思, 對不起敏鳳
01:18:01:19	01:18:02:16	不好意思
01:18:05:08		敏鳳, 你幹嘛
01:18:06:03		你跟我回去
01:18:06:25	01:18:07:23	不要
01:18:09:00		媽失智以後
01:18:10:18		外勞換過多少個
01:18:12:05		印尼, 越南, 菲律賓
01:18:13:09		來一個, 跑一個
01:18:15:01	01:18:16:20	最後還不都是我在顧
01:18:17:14	01:18:19:28	現在一副我不在是罪大惡極
01:18:21:07	01:18:22:09	我知道你辛苦
01:18:23:10		可是你知道
01:18:24:07	01:18:26:04	我們現在就沒有地方住
01:18:26:23	01:18:28:03	住媽家
01:18:28:13	01:18:29:18	多照顧媽一點
01:18:30:03	01:18:31:10	也是應該的
01:18:32:20	01:18:33:27	好感人喔
01:18:34:19	01:18:35:21	陳義生
01:18:35:28		別人不知道
01:18:36:15	01:18:37:22	我清楚得很
01:18:38:05		你老是一大早出門
01:18:39:05		根本不是去跑生意
01:18:40:21	01:18:42:09	你是跑去橋下睡大頭覺
01:18:42:22		逃避照顧媽的責任
01:18:44:18		我...
01:18:45:23	01:18:47:04	我也不是鐵人啊我
01:18:47:20		媽晚上盧起來
01:18:49:02		我怎麼睡啊
01:18:50:06		我只好白天的時候去...
01:18:52:15	01:18:53:22	去補眠
01:18:55:02		你要補眠
01:18:56:08	01:18:57:17	我就不用睡覺
01:18:58:03		你不要忘記
01:18:59:15	01:19:02:14	我現在去工作是拜誰所賜
01:19:06:26	01:19:08:08	好了, 我知道錯了
01:19:08:16	01:19:10:01	你不要這樣子嘛
01:19:10:16		不然我保證
01:19:11:26	01:19:13:22	以後我不逃跑了
01:19:16:07	01:19:17:11	那你跟我回去嘛
01:19:17:22	01:19:18:22	不要
01:19:19:07	01:19:20:14	大嫂那什麼態度
01:19:20:23		就算我去上班又怎麼樣
01:19:22:16		媽的問題
01:19:23:01	01:19:24:08	憑什麼都要我們擔
01:19:25:04	01:19:26:22	你這有什麼好計較的
01:19:27:00	01:19:29:03	今天只是因為媽差點走失
01:19:29:17	01:19:31:28	所以大家著急嘛
01:19:34:06		大家著急
01:19:34:28	01:19:36:05	難道我就不急嗎
01:19:36:20	01:19:38:24	我也在想辦法解決問題
01:19:39:24		外勞的錢
01:19:40:23		媽的生活費
01:19:41:13	01:19:42:19	都是我們在付
01:19:43:01		她怎麼好像一副
01:19:43:26	01:19:45:13	我們什麼都沒做的樣子
01:19:47:25		她這一次出去上班
01:19:49:08	01:19:51:23	擺明的就是要把媽推給我們
01:19:53:16		別說推那麼難聽好不好
01:19:55:08	01:19:56:26	他們也真的是缺錢用
01:19:58:10		所以我就是故意要去上班
01:20:00:17		大家都是媳婦
01:20:01:18		憑什麼把照顧媽的責任
01:20:02:21		全部丟給我
01:20:03:27		把我當免費看護
01:20:06:00		我今天就是要逼大哥大嫂
01:20:07:09	01:20:08:18	把問題解決
01:20:09:28		現在情況變成這個樣子
01:20:12:00		要怎麼解決
01:20:13:22		難道還要強迫她
01:20:14:24	01:20:16:25	繼續留在家裡頭照顧媽嗎
01:20:18:26		你又想說
01:20:19:27	01:20:21:29	把媽接回我們家住是不是
01:20:23:13	01:20:24:16	你不要鬧了好不好
01:20:25:03		之前哥想把媽送到他那裡去住
01:20:27:10	01:20:28:20	是媽堅持不肯
01:20:28:23	01:20:30:00	說要留在自己家裡面
01:20:30:21		媽住在自己家裡面
01:20:31:24		是天經地義的事耶
01:20:33:11		現在是我們兩個住媽家
01:20:34:28	01:20:36:11	你不要搞不清楚狀況嘛
01:20:38:14		不把媽接過來住也沒有關係
01:20:40:16		那我們就搬回老家
01:20:41:21		跟媽住在一塊
01:20:43:08		我們的家
01:20:43:23	01:20:45:12	就讓給義生他們住
01:20:46:20		你在胡說八道什麼啊
01:20:48:27		你捨不得
01:20:50:02		那好啊
01:20:51:00		把我們家的裝潢給改了
01:20:52:12		改得跟老家一樣
01:20:54:00	01:20:55:27	反正媽的腦袋也分不清楚了
01:20:57:00	01:20:58:17	好啊
01:20:58:28	01:21:00:22	要不要把整套傢俱全換了
01:21:01:11		乾脆再訂作一個你爸的蠟像
01:21:03:12	01:21:04:21	那不是更逼真
01:21:05:20	01:21:07:11	總之這次我不會再讓步
01:21:07:27		你...
01:21:08:13	01:21:09:23	你現在到底想要怎麼樣
01:21:10:28	01:21:12:05	把媽送安養院
01:21:16:23		說穿了
01:21:18:04		你就是不想要照顧媽
01:21:19:18		才要把她送到安養院去
01:21:21:10		對
01:21:22:21	01:21:24:07	我就是在逃避
01:21:25:14		你明知道
01:21:26:13		你明知道我跟你媽處不來
01:21:27:19		你為什麼要這樣逼我
01:21:29:10		好
01:21:30:10		不用麻煩你們了
01:21:31:22	01:21:33:16	我自己留下來照顧媽
01:21:54:20		你出去
01:21:55:26	01:21:57:01	我自己來
01:22:01:14	01:22:02:09	爸
01:22:04:29	01:22:06:01	阿嬤呢
01:22:06:11	01:22:07:08	阿嬤在洗澡
01:22:17:07	01:22:19:15	爸, 你是不是跟媽吵架
01:22:20:05	01:22:21:04	沒你的事
01:22:23:12		你先回家
01:22:24:16	01:22:26:20	今天我要留在這邊照顧阿嬤
01:22:27:16		爸, 你要離家出走
01:22:29:17	01:22:31:07	跟媽搞長期抗戰
01:22:32:07	01:22:33:19	這裡也是我的家
01:22:34:18	01:22:35:20	多事
01:22:36:18	01:22:37:23	爸, 那...
01:22:40:09	01:22:41:29	爸, 那我先回去喔
01:22:46:06	01:22:47:24	爸, 再見
01:23:11:20	01:23:13:29	媽, 你要洗澡喔
01:23:17:13	01:23:18:12	我幫你脫
01:23:20:01		走開啦
01:23:21:02	01:23:22:18	你要做什麼
01:23:24:18	01:23:25:21	做什麼
01:23:26:05		做什麼
01:23:26:21		脫褲子啊
01:23:27:15	01:23:29:02	不脫褲子要怎麼洗
01:23:29:21	01:23:31:00	我自己來
01:23:35:16	01:23:36:18	你手是怎麼了
01:23:38:00	01:23:39:08	受傷了嗎
01:23:40:08	01:23:43:00	打球的時候去扭到了
01:23:43:15	01:23:44:16	我來...
01:23:46:13		你是我生的
01:23:47:01	01:23:48:10	你是在害羞什麼啦
01:23:54:25		手拿開啦
01:23:55:20	01:23:57:03	奇怪耶
01:23:57:16	01:23:58:10	怕什麼
01:24:00:27	01:24:03:11	媽, 我是阿仁啦
01:24:04:22	01:24:05:27	我知道
01:24:08:18	01:24:11:03	不然你洗吧
01:24:13:20	01:24:15:08	手腳洗一洗就好
01:24:16:17		這樣喔
01:24:17:16	01:24:18:20	我幫你裝水
01:24:36:06	01:24:38:10	媽, 先坐著吧
01:25:06:19	01:25:09:04	媽, 我們先把手擦一擦
01:25:29:08	01:25:30:03	來
01:25:31:29	01:25:33:06	媽, 換腳
01:25:33:26	01:25:34:24	來
01:26:26:28		媽...
01:26:28:23		你端這些水要去哪裡
01:26:30:17	01:26:32:11	要幫你爸擦身體
01:26:33:01		爸不在了
01:26:34:18		亂講
01:26:36:08		你爸躺在那邊
01:26:38:01	01:26:40:19	每天都是我幫他擦身體的
01:26:43:22	01:26:44:26	媽, 你要去哪兒
01:26:45:09	01:26:47:01	媽說要去幫爸擦身體
01:26:48:01	01:26:48:25	媽
01:26:50:05		你要幫爸擦身體喔
01:26:51:18		對啊
01:26:52:26		我如果不幫他擦身體
01:26:54:24	01:26:57:04	會長褥瘡不乾淨
01:26:58:02	01:26:59:05	媽
01:27:00:18	01:27:02:10	房間在那裡啊
01:27:03:02	01:27:04:08	在那裡有沒有
01:27:05:11	01:27:06:18	來, 我帶你過去
01:27:07:29		來, 我幫你端
01:27:09:05	01:27:10:04	不用
01:27:13:06	01:27:14:01	小心一點
01:27:38:07	01:27:40:13	少年時是黑狗兄
01:27:40:23		放我和三個小孩
01:27:42:23	01:27:45:22	自己跑到外面風流快活
01:27:47:19	01:27:48:05	現在老了
01:27:49:03		不能動了
01:27:50:05	01:27:51:23	才回來要我伺候
01:27:52:15	01:27:55:07	我前輩子是欠你什麼債
01:29:11:25	01:29:14:08	媽, 很晚了
01:29:15:22	01:29:17:02	你休息了吧
01:30:08:10	01:30:09:17	義生啊
01:30:09:29	01:30:12:18	媽還好有你跟敏鳳照顧
01:30:13:01		要是換成我的話
01:30:14:28	01:30:17:12	我沒有辦法像你做得這麼好
01:30:18:20	01:30:21:03	那也不是我搞定的啦
01:30:22:23	01:30:23:28	是爸
01:30:24:29	01:30:28:12	剛才媽又想起爸
01:30:43:11		敏鳳怎麼去買個便當
01:30:44:21	01:30:46:08	這麼久還沒回來
01:30:46:18	01:30:48:02	她是不是生氣啦
01:30:50:01		就...
01:30:50:22		就媽這個問題
01:30:51:12	01:30:52:26	又不是一天, 兩天的
01:30:53:16		每次來那個外勞
01:30:54:18	01:30:56:14	一下就被媽給趕跑了
01:30:57:04		所以我就留給敏鳳來照顧
01:30:59:17	01:31:00:26	時間久了
01:31:02:02	01:31:03:10	她也會受不了
01:31:06:28	01:31:08:23	我知道敏鳳受委屈了
01:31:09:05		可是要等新的外籍看護來
01:31:11:27	01:31:13:14	還需要一段時間
01:31:14:11		有時候一拖就是一, 兩個月
01:31:16:29		如果敏鳳不能幫忙的話
01:31:19:12		那就真的沒人了
01:31:20:23	01:31:22:20	不行, 她要去上班
01:31:24:24	01:31:26:13	你是不是又捅什麼婁子
01:31:32:11		我就想說做一點小生意
01:31:35:15		買點器材
01:31:36:29		那我手上現金不夠
01:31:38:26		所以我就用信用卡去刷卡
01:31:42:13	01:31:44:03	就有卡債了嘛
01:31:46:17		信用卡的循環利息這麼高
01:31:48:21	01:31:49:28	你也敢去借啊
01:32:04:17	01:32:06:27	哥, 你今天不回家喔
01:32:33:16	01:32:35:02	媽...
01:32:36:11		爸都說不回來
01:32:37:23	01:32:39:05	你還在等門
01:32:40:08	01:32:42:00	誰說在等他的
01:32:42:22	01:32:44:00	那這是什麼
01:32:44:16	01:32:46:05	老人安養中心
01:32:53:10	01:32:56:04	媽, 真的要把阿嬤送到安養院
01:32:59:15	01:33:01:15	難道你還有什麼更好的辦法
01:33:02:11		那如果把外婆送到安養院
01:33:05:00	01:33:06:13	你會答應嗎
01:33:07:17	01:33:09:16	外婆又沒有失智症
01:33:10:01	01:33:12:14	你很確定永遠都不會嗎
01:33:13:15		你不要在那邊亂講話
01:33:15:13	01:33:17:02	人小鬼大
01:33:17:23	01:33:19:24	我只是想提醒你而已
01:33:20:17	01:33:22:19	每個人都有老的一天
01:33:26:11		好啦, 你先去洗個澡
01:33:29:09	01:33:30:11	臭死了
01:33:31:27		媽
01:33:32:21	01:33:34:20	這個資料也給我一份好不好
01:33:35:16	01:33:36:25	你要這個幹什麼
01:33:37:15	01:33:39:13	提早做參考比較
01:33:41:05	01:33:42:23	你說什麼啊, 陳益東
01:33:43:25		你現在就打算
01:33:45:01		往後送我們去安養院
01:33:46:18		所以說啊
01:33:48:04		你現在知道
01:33:49:01	01:33:51:19	爸爸一直顧慮阿嬤的感受了吧
01:34:19:19	01:34:20:25	哥, 早
01:34:21:15	01:34:22:12	爸
01:34:22:26		這麼早就過來了
01:34:24:12	01:34:25:22	幫你們買早餐
01:34:26:21	01:34:28:10	這是你最愛吃的燒餅夾蛋
01:34:28:25	01:34:29:28	還有豆漿
01:34:30:28	01:34:31:22	吸管
01:34:32:06	01:34:34:00	你什麼時候變得那麼貼心了
01:34:35:13	01:34:37:01	大嫂叫他買來的啦
01:34:39:21		對了, 哥
01:34:40:25		你這次不要心軟
01:34:41:13		就這樣乖乖回去喔
01:34:43:05		我看你這裡多住幾天
01:34:45:05		你要堅持到底, 重振夫綱
01:34:48:00	01:34:49:11	你在胡說什麼
01:34:50:28		你在矜持什麼
01:34:52:06	01:34:53:15	我們同是天涯淪落人
01:34:54:08	01:34:55:16	你當我看不出來
01:35:00:24		我吃飽了
01:35:01:20	01:35:02:20	我去上課了喔
01:35:08:21	01:35:10:06	小東, 叔叔載你等等
01:35:12:12		你又不用上課
01:35:13:23		一早要去哪裡
01:35:15:05		我送小東去學校
01:35:16:26		我順便去跑生意
01:35:18:06		我要還卡債
01:35:19:16		那媽就交給你了喔
01:35:21:02	01:35:22:00	等一下
01:35:23:02		你以為我很閒啊
01:35:24:11	01:35:25:14	我也要去上班
01:35:27:05	01:35:27:27	哥
01:35:28:25	01:35:31:02	今天禮拜二耶
01:35:31:18	01:35:32:27	你哪有門診
01:35:33:09		我是院長
01:35:34:16	01:35:35:15	你以為我不用開會
01:35:42:16		美惠啊
01:35:43:15		我是院長
01:35:44:17	01:35:46:17	今天早上醫院有事嗎
01:35:51:12		好, 你跟楊醫師說
01:35:53:12	01:35:55:02	我大概十點左右可以進去
01:35:57:26	01:35:58:20	待會見
01:36:05:15		今天早上
01:36:06:23		我有一個很重要的會
01:36:08:04	01:36:09:10	我一定要去
01:36:14:06	01:36:15:15	不是這樣的嘛
01:36:16:16		我前幾天就沒有跑到生意了
01:36:18:19	01:36:20:00	我今天再不出去跑的話
01:36:20:19	01:36:22:17	我下禮拜連便當錢都沒有
01:36:24:14	01:36:26:12	你跑一天可以賺多少錢
01:36:31:04		我外面差不多一天...
01:36:35:05	01:36:36:12	一千
01:36:36:26		沒有, 有時候...
01:36:40:13	01:36:41:21	兩千
01:36:43:08	01:36:44:22	差不多兩千
01:36:46:07	01:36:49:11	好, 兩千我貼你
01:36:56:22	01:36:59:00	今天你就留下來照顧媽
01:37:01:02	01:37:01:21	哥
01:37:03:00		你該不會以後
01:37:04:15	01:37:06:13	每天都要貼我兩千吧
01:37:08:08		在外勞過來之前
01:37:09:21	01:37:10:26	就先這樣子吧
01:37:13:08	01:37:14:18	我去看媽起來沒有
01:37:29:26		少子化是整個社會的趨勢
01:37:33:12		現在已經沒有什麼人
01:37:34:08	01:37:35:24	願意生小孩了
01:37:36:15		我可以做到這樣的營業額
01:37:38:04	01:37:39:08	已經算是不錯了
01:37:42:04		錯不錯
01:37:42:21	01:37:44:12	不是你我說了就算
01:37:45:25	01:37:48:06	我們還有一個大股東老嚴
01:37:49:12	01:37:50:28	大環境不好是事實
01:37:51:11		但是我們診所
01:37:52:02		總不能在那邊坐以待斃吧
01:37:53:29	01:37:55:00	是不是
01:37:55:20		我告訴你
01:37:56:27	01:37:58:28	我還真的希望我可以坐以待斃
01:38:01:01	01:38:02:11	錢幣的幣
01:38:05:03	01:38:05:27	幽默啊
01:38:06:25	01:38:07:24	很冷耶
01:38:09:05		幾十年老同學了
01:38:10:14		我是來提醒你
01:38:12:03		對付老嚴那種生意人
01:38:13:28	01:38:15:22	你還是要有自己的一套
01:38:18:04		怪只怪你們沒有投資的眼光
01:38:20:23		把錢都砸在這個沒有前景的婦產科
01:38:23:01		等一下...
01:38:23:22		我跟你講
01:38:24:06	01:38:26:03	我所有的錢全部投資在婦產科
01:38:26:24		是我們外科快掛啦
01:38:28:20	01:38:30:04	現在連招生都有問題
01:38:32:10		真想不到
01:38:33:25		我們內外兒婦四大科
01:38:35:27	01:38:37:02	也會有今天
01:38:37:25		是啊
01:38:38:24	01:38:40:09	全部輸給醫美了
01:38:40:14		現在連獸醫都比不上了
01:38:43:22		我覺得很奇怪
01:38:44:27		現在人為什麼小孩不生就算了
01:38:47:15		買一個寵物來
01:38:49:02	01:38:50:24	比小孩還要疼牠
01:38:51:07		老齡化的社會要來
01:38:52:16	01:38:54:16	以後我們老了該怎麼辦呢
01:38:57:24	01:39:00:04	就把自己當寵物養
01:39:03:27	01:39:05:04	你還笑得出來啊
01:39:14:03		同學
01:39:14:25		我剛剛跟你講的事
01:39:15:21	01:39:17:04	你可是要放在心上
01:39:17:28		好... 你別擔心
01:39:19:21		下個禮拜
01:39:20:22		我會畫一個大餅
01:39:21:26	01:39:23:06	給老嚴他們看的
01:39:23:25		說我們即將有一個
01:39:25:08	01:39:27:01	新的經營策略要推行
01:39:27:04	01:39:29:11	然後保證明年業績翻兩番
01:39:30:11	01:39:31:15	什麼新策略
01:39:31:27		比方說在孕婦的肚皮上雕個花
01:39:34:27		微整型之類的
01:39:36:05		反正就把醫美那一套
01:39:37:29		加進去就對了
01:39:39:02	01:39:40:09	賺錢嘛
01:39:41:25		是...
01:39:42:26	01:39:44:19	你開竅了
01:39:45:10		不過我跟你講
