01:00:22:06	01:00:23:03	休息了啦
01:08:18:02	01:08:18:23	好
01:08:32:21	01:08:33:13	不好意思
01:08:34:07	01:08:35:00	幫我繳一下
01:08:50:03	01:08:51:03	謝謝, 歡迎再度光臨
01:09:22:22	01:09:23:14	寶力啊
01:09:24:19		來, 這幫我送去劉叔那邊
01:09:26:21	01:09:27:11	好
01:09:34:04		老闆娘, 我要一個叉雞飯
01:09:36:00		叉雞飯, 是不是
01:09:37:13		要內用還是外帶
01:09:38:21		外帶
01:09:39:14		外帶喔
01:09:40:21	01:09:41:13	一百一
01:09:44:29		阿琴姊, 劉叔這一袋多少
01:09:46:27		三百塊
01:09:47:28		好
01:09:49:07		我等等就回來喔
01:09:50:08		好, 快點回來啊
01:09:51:20	01:09:52:07	好
01:10:14:07		寶力
01:10:15:03	01:10:15:29	嗨, 劉姨
01:10:17:23		來送便當喔
01:10:18:15	01:10:19:06	對啊
01:10:23:04		謝謝
01:10:24:04	01:10:24:26	不會
01:10:25:07		多少
01:10:26:05	01:10:26:26	三百塊
01:10:29:13	01:10:30:06	在幹嘛
01:10:31:24	01:10:33:10	還在玩, 不專心寫
01:10:35:04		來, 給你
01:10:35:27	01:10:36:25	好, 謝謝不要玩了啦
01:10:39:14		還瞪人
01:10:40:14		不要瞪了
01:10:41:04	01:10:41:28	快點繼續寫
01:10:43:17	01:10:45:04	怎樣, 在便當店打工怎麼樣
01:10:46:21		還可以啊
01:10:48:03		只是現在還沒有很熟悉
01:10:50:00	01:10:51:13	不過老闆他們都對我很好
01:10:52:22		這樣也好啦
01:10:54:07		在這邊搬貨
01:10:55:18		學不到什麼東西
01:10:57:15		去廚房學個一技之長
01:10:59:19		將來可以當大廚師喔
01:11:02:00	01:11:02:25	沒有啦
01:11:03:27		希望可以
01:11:05:01	01:11:06:25	可以, 可以的
01:11:09:08		劉叔
01:11:09:24		寶力, 一塊吃吧
01:11:11:19		我等一下回去店裡吃就好了
01:11:12:13	01:11:13:04	阿公回來了
01:11:14:14		劉叔, 你又帶人來看房子喔
01:11:16:19		是啊, 隔壁棟的房子要出租
01:11:19:11		對了, 你不是一直想搬家嗎
01:11:22:09	01:11:23:02	想不想
01:11:25:09		可是這樣一個月要租多少錢
01:11:28:06		一個月是一萬八
01:11:30:01		如果你有意願的話
01:11:32:00		劉叔可以幫你問問看
01:11:33:23	01:11:35:22	殺個價到一萬七
01:11:37:17		放心
01:11:38:23	01:11:41:18	劉叔不會去賺你這個仲介費的
01:11:44:09	01:11:45:21	可是我還是想想看好了
01:11:46:12		寶力啊
01:11:47:15		當個男人要為家人著想
01:11:50:09	01:11:51:22	叫你媽少賭
01:11:54:16	01:11:56:08	沒有啦, 她現在很少賭了
01:11:57:14		不然這樣啦, 寶力
01:11:59:12		如果你要租
01:12:00:22	01:12:02:00	請劉叔先幫你留
01:12:03:11		好
01:12:04:09	01:12:05:16	那我回去跟他們討論看看
01:12:06:29		好
01:12:07:16		那劉叔, 我先回店裡
01:12:08:20		好
01:12:09:07		好
01:12:10:04		拜拜
01:12:10:19		拜拜
01:12:11:11	01:12:12:12	路上小心一點喔
01:12:18:25	01:12:19:27	多管閒事
01:12:22:10		換下一頁
01:12:23:10	01:12:24:12	不然真的要寫到晚上了
01:12:26:21		劉叔, 不好意思
01:12:27:20		那個
01:12:28:25		我可以去看一下樓上的房間嗎
01:12:31:21		好啊, 我帶你過去
01:12:33:07		然後鑰匙交給你
01:12:34:16		你自己慢慢看
01:12:35:19		好
01:12:36:07		好, 我們走
01:12:37:02	01:12:37:19	好
01:13:56:23		我今天就先不進去了喔
01:13:58:09	01:13:59:07	晚一點打電話給你
01:14:00:11	01:14:01:02	好
01:14:02:21		今天天氣好好
01:14:04:19	01:14:06:08	要不是有事, 好想帶你去海邊
01:14:17:12	01:14:18:06	明天見
01:14:24:26	01:14:25:20	拜
01:14:57:25		二店還好嗎
01:14:58:24		還好
01:14:59:15	01:15:00:04	還好喔
01:15:03:11		老闆的老婆帶朋友來
01:15:05:07	01:15:06:01	說要找你
01:15:09:07	01:15:10:00	佳家
01:15:16:25		佳家, 你會不會很忙啊
01:15:18:22		我聽說你被調到二店去幫忙
01:15:20:26	01:15:21:15	還好
01:15:22:13		辛苦了
01:15:23:01		要不要坐
01:15:23:27	01:15:25:03	沒關係, 怎麼了
01:15:26:05		跟你介紹一下
01:15:27:01		這是我大學同學張晴
01:15:28:25		她剛從美國回來
01:15:30:14		哈囉, 你好
01:15:31:08		我是張晴
01:15:32:01	01:15:32:20	你好
01:15:34:14		她真的好年輕喔
01:15:35:18		完全看不出來
01:15:37:01		對啊
01:15:37:18		所以你現在是一邊工作
01:15:40:00		然後一邊帶小孩嗎
01:15:41:10	01:15:43:10	因為我聽小愛說你是媽媽了
01:15:44:11		工作的時候是
01:15:46:00		有另外請保姆幫忙帶嗎
01:15:48:23	01:15:49:19	我媽媽會帶
01:15:52:25		是這樣的啦
01:15:53:11		因為張晴她真的很喜歡小孩子
01:15:55:27		然後她覺得
01:15:56:23		我跟她講了很多你的事情
01:15:58:11		你好年輕喔
01:15:59:11		然後她就想說
01:16:01:01		像你啊
01:16:01:24		或是你有沒有什麼朋友
01:16:03:04		像你這樣這麼年輕的媽媽
01:16:04:22		如果有什麼困難的話
01:16:06:09	01:16:07:23	她其實都可以幫得上忙
01:16:09:18		謝謝
01:16:10:12		你不用客氣
01:16:11:14	01:16:13:27	有什麼需要都可以儘管跟我說哈囉, 我們兩位
01:16:17:07		有客人來了
01:16:17:26	01:16:18:27	我先去忙
01:16:20:00	01:16:20:21	好
01:16:22:25	01:16:23:28	佳家...
01:16:26:20		你不要不開心喔
01:16:29:07		不要想太多
01:16:30:11		張晴人很好
01:16:31:09		我們都是想幫忙
01:16:33:00		對
01:16:33:17		有任何問題都跟我講, 好不好
01:16:35:06	01:16:35:24	好
01:16:36:28		你忙吧
01:16:37:18	01:16:38:08	謝謝
01:17:20:29		菜帶回去
01:17:21:24	01:17:22:17	不要浪費
01:17:25:10	01:17:26:06	好
01:17:45:08		小孩子的衣服跟玩具
01:17:47:02		帶回去用
01:17:47:24	01:17:48:23	不能用就丟掉
01:17:58:06	01:17:58:29	阿琴姊
01:18:00:15		老闆這些東西
01:18:01:23	01:18:02:29	他自己不要用嗎
01:18:04:22		小孩子不要問那麼多
01:18:06:03	01:18:07:15	叫你拿回去就拿回去
01:18:23:06		我跟你說
01:18:24:21		老闆跟他老婆已經離婚了
01:18:26:17	01:18:28:15	這些東西是他以前孩子的
01:18:56:02		你怎麼和店長講那麼久啊
01:18:58:00		他喜歡你喔
01:18:59:16	01:19:00:24	我不是說過他喜歡男生
01:19:01:24	01:19:02:17	開玩笑的啦
01:19:04:08	01:19:05:05	你肚子會餓嗎
01:19:07:10	01:19:08:21	你拿回去給媽媽吃好了
01:19:11:02		我跟你說
01:19:12:17	01:19:14:00	這是老闆今天給我的
01:19:15:27		這是他小孩子
01:19:17:06		小時候的玩具和衣服
01:19:18:28		我們之後可以拿給小鈕扣用
01:19:20:25	01:19:21:16	好可愛
01:19:24:22	01:19:25:13	走吧
01:19:29:03		我今天送便當去劉叔那邊
01:19:31:16		發現一間很不錯的房子
01:19:33:29	01:19:35:14	我們到時候可以搬到那邊住
01:19:38:15		媽媽剛剛有打電話給我
01:19:39:25		說鈕扣的奶粉跟尿布沒有了
01:19:41:29	01:19:43:00	我們現在先去買, 好不好
01:19:44:19	01:19:45:15	又沒有奶粉了喔
01:19:47:12	01:19:48:26	小鈕扣比我還要會吃
01:19:50:15	01:19:51:06	走囉
01:20:10:15	01:20:11:16	你想搬家嗎
01:20:14:16	01:20:15:12	想啊
01:20:37:22		忘記買牙膏了
01:20:39:09		應該在左邊
01:20:40:25	01:20:41:19	放我這
01:20:51:04		你今天上班還好嗎
01:20:53:06		還好
01:20:54:03		就咖啡廳
01:20:55:28	01:20:57:19	有一些自以為是的貴婦
01:21:00:14	01:21:01:09	你心情不好喔
01:21:03:04		沒有
01:21:04:06		就有點累, 想睡覺
01:21:05:14	01:21:06:08	這邊結帳喔
01:21:08:25		你好, 請問要購物袋嗎
01:21:10:12	01:21:11:03	要
01:21:14:24		妹妹, 這個奶粉跟尿布
01:21:17:02		有分很多種品牌
01:21:18:09		你們有確定買對嗎
01:21:19:21		要不要打電話回去
01:21:20:05		跟你媽媽問一下
01:21:21:22		不用, 我們買過了
01:21:22:19		沒關係, 我們確定過了
01:21:24:02		謝謝
01:21:24:28	01:21:25:21	好, OK
01:21:32:18		有一天
01:21:33:21		蚯蚓把自己剖成兩半
01:21:36:26		然後去打羽毛球
01:21:39:05		然後蚯蚓媽媽就覺得
01:21:41:04		這個方法不錯耶
01:21:42:19		然後就把自己剖成四半打麻將
01:21:46:10		然後有一天蚯蚓媽媽回家
01:21:48:25		發現爸爸怎麼變成一團肉醬
01:21:51:19		然後就很難過的說
01:21:53:02		你怎麼變這樣
01:21:54:11		然後蚯蚓爸爸就說
01:21:56:17	01:21:59:00	因為我想要踢足球
01:22:19:23		寶力
01:22:20:24	01:22:21:14	好了啦
01:22:23:11	01:22:24:19	我想回家休息
01:22:57:09	01:22:58:15	漂亮喔
01:23:09:16		看一下...
01:23:10:29		六千塊
01:23:12:09		我中六千喔
01:23:14:11		有沒有分紅
01:23:15:08	01:23:15:29	分紅啊
01:23:17:13		這一個喔
01:23:18:21	01:23:21:15	錢要拿來存在銀行啊
01:23:29:18	01:23:30:20	小鈕扣
01:23:32:21		她要換尿布了
01:23:33:18		等一下要哭哭了
01:23:35:04	01:23:35:25	不要哭哭喔
01:23:38:03	01:23:38:26	讚啦
01:23:40:09	01:23:41:01	媽
01:23:41:24		我們現在存款簿裡面
01:23:44:01	01:23:45:09	應該有個六, 七萬吧
01:23:46:05		你突然問這個要幹嘛
01:23:47:28		沒有, 我今天送便當的時候
01:23:49:11		到劉叔那邊
01:23:51:05	01:23:53:04	然後他那邊好像有一間不錯的房子
01:23:53:29		他說如果我們要租的話
01:23:55:15		可以便宜個一千塊
01:23:57:08	01:23:58:15	總共只要一萬七
01:24:00:01		搬家要很多錢啦
01:24:02:09		還要押金啦
01:24:03:14		還要租金啦
01:24:04:25	01:24:06:08	你小孩子不懂啦
01:24:12:00		媽
01:24:13:29		我們有說好
01:24:15:21	01:24:17:07	那一筆錢是拿來搬家的
01:24:20:10		幹嘛
01:24:21:27	01:24:22:23	幹嘛啦
01:24:24:01		好啊
01:24:25:21		我明天去看一下
01:24:27:06	01:24:28:25	到底有多少錢就可以了吧
01:25:02:12		便當哥
01:25:05:09	01:25:07:05	好久不見耶
01:25:08:25		我只打一場喔
01:25:10:01		我明天早上九點還要上班
01:25:11:23	01:25:12:17	好, 隨便啦
01:25:13:23		你便當店工作也會變壯
01:25:16:09		廢話
01:25:17:23	01:25:19:05	不然送便當送假的
01:25:20:18		你最近還好嗎
01:25:22:00		還可以啊
01:25:22:24	01:25:23:18	就上班啊
01:25:24:14		我要搬家了耶
01:25:25:20		你要搬家
01:25:26:20		我在劉叔那邊
01:25:27:13	01:25:28:16	看到一間不錯的房子
01:25:30:07		劉叔想騙你錢吧
01:25:33:22		怎麼可能啊
01:25:35:08	01:25:36:14	他不收我仲介費
01:25:39:02	01:25:41:01	那你有錢嗎
01:25:42:05	01:25:43:23	我在我媽那邊還有存錢啊
01:25:46:23		如果沒錢的話
01:25:48:23	01:25:52:14	看要不要跟我一起批貨去賣啊
01:25:54:17		不要鬧了, 好不好
01:25:56:03	01:25:56:28	不做這種事
01:25:57:29		好啦...
01:25:59:13	01:26:00:15	又沒有逼你
01:26:03:03	01:26:03:27	變弱了喔
01:26:05:15	01:26:06:14	讓你, 好不好
01:26:09:27	01:26:10:22	你在看什麼
01:26:12:01		怎樣, 認識喔
01:26:13:26	01:26:15:17	那是佳家咖啡廳的店長
01:26:19:17		說到佳家
01:26:20:21		我今天在學校的時候有看到她
01:26:22:18		她坐在一台陌生人的車子裡面
01:26:25:00	01:26:26:25	然後有一個男生就把她載走
01:26:28:08		怎麼可能啊
01:26:29:25	01:26:30:22	你看錯了啦
01:26:32:00		我眼睛又沒有瞎
01:26:33:10	01:26:34:07	你看錯了啦
01:26:36:01	01:26:36:27	你不相信我
01:26:38:14	01:26:39:24	她那時候應該在上班啊
01:26:46:09	01:26:47:11	沒有生疏喔
01:27:30:20	01:27:31:13	佳家
01:27:36:05	01:27:36:29	佳家
01:27:39:28	01:27:40:17	你幹嘛
01:27:42:07		你不要再煩我了, 好不好
01:27:43:23	01:27:45:00	你去找你真正的女朋友
01:27:51:18	01:27:52:09	他是誰
01:27:53:11	01:27:54:07	你跟她什麼關係
01:27:55:28	01:27:57:07	他是誰跟你沒有關係
01:27:58:19	01:28:00:10	我跟你以後也沒有關係
01:28:01:27	01:28:02:19	你給我過來喔
01:28:11:20		老闆
01:28:12:07		又來了喔
01:28:12:24		對, 一樣第七桌
01:28:14:07	01:28:15:05	又七桌
01:28:15:27		還有帶妹喔
01:28:17:00		哪有, 我們天天都有帶好不好
01:28:18:09		對不對, 寶力
01:28:19:01		是嗎, 聽你在吹牛
01:28:20:28		只有我在帶啦
01:28:22:04		七桌
01:28:22:25		對...
01:28:23:19		謝謝老闆
01:28:24:06	01:28:24:23	不會...
01:28:50:29	01:28:51:15	你要不要打
01:28:52:25		沒關係
01:28:54:00		打打看嘛
01:28:55:08	01:28:56:05	寶力會教你啊
01:28:58:24	01:28:59:19	你要打嗎
01:29:01:13	01:29:02:24	好啊, 試試看
01:29:05:19		你就用白色的球
01:29:08:20		去撞別的顏色的球
01:29:10:22		哪有人這樣教的
01:29:12:01		你要教她手要擺, 怎麼擺
01:29:14:04		然後怎麼拿杆子
01:29:15:09	01:29:16:19	然後怎麼敲出去嘛
01:29:19:25		就是手要做一個拱形
01:29:24:11		這樣子
01:29:25:05		對
01:29:25:28	01:29:28:07	然後大拇指放在旁邊
01:29:29:14		給它有一個軌道
01:29:31:14		然後把球杆放在軌道上面
01:29:34:11		這樣
01:29:35:19	01:29:37:07	對, 手拿後面一點
01:29:39:20		然後對準白球的中間
01:29:42:26		這裡可以嗎
01:29:44:06		可以
01:29:44:29		再中間一點
01:29:46:11		這裡
01:29:47:09	01:29:47:29	對
01:29:53:01		這樣子可以嗎
01:29:53:23	01:29:55:04	對, 這樣一分
01:30:31:12	01:30:32:08	我家到了
01:30:33:23	01:30:34:17	好
01:30:36:22	01:30:37:23	那我回去囉
01:30:40:00	01:30:40:26	拜拜
01:30:50:16	01:30:52:05	好了啦, 走了啦
01:30:53:15	01:30:54:23	所以你到底有沒有要追她啦
01:30:56:08		我不知道
01:30:57:24	01:30:58:18	我告訴你
01:30:59:26		我有一些經驗分享給你
01:31:01:21		你有經驗
01:31:02:15		有... 我有一百招
01:31:05:06		你有一百招
01:31:06:24		第一招, 你就先...
01:31:10:04	01:31:10:29	先請她看電影
01:31:12:12	01:31:14:15	然後看完電影就帶她去
01:31:18:28	01:31:19:22	寶力
01:31:21:11	01:31:22:27	你去幫小鈕扣泡奶粉
01:31:37:10	01:31:38:08	怎麼了
01:31:40:14	01:31:41:16	肚子餓了
01:31:42:25	01:31:43:25	我媽媽呢
01:31:44:25	01:31:45:22	不知道啦
01:31:49:10		你先抱她一下
01:31:50:05	01:31:51:06	我去泡奶粉
01:31:55:02	01:31:56:10	叫你泡你都不泡
01:31:59:26	01:32:00:23	沒事了
01:32:02:06	01:32:03:03	沒事了
01:32:17:05	01:32:17:26	起來了喔
01:32:20:23		媽, 你去哪裡啊
01:32:23:15	01:32:25:22	給你們買早餐啊
01:32:27:07		還有啦
01:32:28:10		我把這個樂透通通換了
01:32:30:21		最近運氣這麼好
01:32:32:05	01:32:33:27	中了喔, 我們馬上搬家
01:32:35:27		小鈕扣, 我們要搬家了
01:32:38:18	01:32:39:09	快點吃
01:32:39:28	01:32:42:17	到時候就有很大的房子可以住了
01:32:47:29		你看, 她又哭了
01:32:49:12	01:32:50:04	拿著
01:32:51:04	01:32:51:25	來
01:33:09:27		阿琴姊
01:33:10:28	01:33:11:21	我問你喔
01:33:13:07		要怎麼樣
01:33:13:26	01:33:15:27	才能讓一個女生更開心啊
01:33:17:14	01:33:18:21	對她好就好啦
01:33:21:16	01:33:23:10	你最近有沒有什麼表現啊
01:33:24:19		最近
01:33:26:03	01:33:28:13	想讓佳家換大一點的房子住
01:33:29:08		那很好啊
01:33:31:08		不過說到要做到
01:33:33:24		不要像我老公一樣
01:33:35:24		每次說要帶我出國去玩
01:33:38:07		結果一下子說工作太忙
01:33:40:20		一下子說要帶小孩
01:33:43:13	01:33:44:18	理由一堆
01:33:46:03	01:33:49:00	對老婆好就是不需要理由
01:33:49:25	01:33:50:27	幾點了還在聊天
01:34:16:01	01:34:17:01	很久沒來喔
01:34:19:01	01:34:20:14	今天來還抱孫女喔
01:34:22:07		這個孫女還那麼像你喔
01:34:24:02	01:34:24:28	廢話
01:34:26:23		順子...
01:34:27:21	01:34:29:17	小孩處理一下...
01:34:30:13	01:34:31:08	麻煩喔
01:34:51:02	01:34:52:05	順時鐘...
01:34:53:04		對了...
01:34:54:01		再回來一點...
01:34:55:11		對, 再一點點
01:34:56:21		一點點
01:34:57:07		好
01:34:57:26		對了
01:34:58:23		這樣可以
01:34:59:07		OK
01:34:59:20		好, 完美
01:35:00:18		這給你
01:35:01:16		好... 你忙你的
01:35:02:18	01:35:03:08	我弄
01:35:04:11		洋洋
01:35:05:13		那個昨天請你對的帳
01:35:07:05		我們來結一下
01:35:08:02		好
01:35:08:26		你寫一下
01:35:09:21		六千八
01:35:10:13	01:35:11:04	好
01:35:14:25	01:35:15:19	想我嗎
01:35:20:26		洋洋
01:35:22:02		我下午帶佳家去補個貨
01:35:23:10		好
01:35:23:27	01:35:24:17	那我們來對一下帳
01:35:42:12	01:35:43:04	佳家
01:35:44:25	01:35:45:17	這個給你
01:35:47:13		這個是...
01:35:49:01		這是我之前跟你介紹那個朋友
01:35:50:29		張晴
01:35:51:24		這是她名片
01:35:53:06		她說你有任何問題
01:35:54:20		都可以打給她
01:35:55:28		好, 謝謝
01:35:58:01		不會
01:35:58:28	01:35:59:23	那不吵你啦
01:36:08:07		那我要先回去了喔
01:36:09:11	01:36:10:02	好啊
01:36:13:20		我晚一點打給你
01:36:14:26		你早一點回家啦
01:36:16:03		好... 會
01:36:17:09		走了喔
01:36:18:18	01:36:19:24	走了喔, 拜拜
01:36:30:00		來... 自己找...
01:36:31:22		自己的春天自己找
01:36:33:19		來, 七筒
01:36:35:00	01:36:36:21	胖姨, 便當來了喔
01:36:37:22		阿弟, 你來了啦
01:36:38:26		來...
01:36:39:16	01:36:40:17	你來這裡跟我算錢
01:36:42:00		七筒
01:36:43:15		你還有得吃啊
01:36:44:18		我還有得吃啊
01:36:45:27		便當來了, 你吃便當吧你
01:36:48:11		我也覺得
01:36:48:27	01:36:51:18	我今天好像要來這裡吃便當
01:36:53:10		多少錢
01:36:54:07		總共一千兩百五
01:36:55:21	01:36:57:29	一千兩百五
01:37:00:20		來, 兩千塊
01:37:01:29		謝謝
01:37:02:25		多的留著當小費
01:37:04:29		謝謝
01:37:05:23		我幫你買飲料的時候
01:37:06:25	01:37:08:07	你怎麼都沒有給我小費啊
01:37:09:11		那怎麼一樣呢
01:37:10:16		這個你也計較
01:37:11:29		你別看阿弟這麼年輕
01:37:13:21		人家一個小孩的爸爸了
01:37:15:04		很辛苦的
01:37:17:12		長這麼帥
01:37:18:02		留下來當胖姨小白臉啊
01:37:20:15		不要亂開玩笑啦
01:37:22:25	01:37:23:22	阿弟別介意喔
01:38:11:23		寶力
01:38:12:24		你要是搬到這附近來啊
01:38:14:23		就越來越近了
01:38:16:14		有空就可以看看劉叔啊
01:38:18:21		而且, 劉姨有空啊
01:38:21:03		也可以幫你媽媽
01:38:21:23		一起去顧顧孫子
01:38:23:04	01:38:23:26	好啊
01:38:24:19		劉姨, 謝謝
01:38:26:00		不客氣
01:38:27:05	01:38:28:04	大家都鄰居啊
01:38:38:11	01:38:39:01	等我一下
01:38:39:19	01:38:40:18	有東西要送你
01:38:45:04		為什麼送我項鍊
01:38:46:14	01:38:47:10	喜歡嗎
01:38:49:04	01:38:50:15	我想讓你覺得你很特別啊
01:39:06:10	01:39:07:09	那小愛姊呢
01:39:09:05	01:39:11:22	我的心裡面滿滿的只有你
01:39:18:13	01:39:19:09	老闆, 走了喔
01:39:20:00		拜拜
01:39:20:24	01:39:21:15	拜拜
01:39:22:25		明天來, 那蒜頭
01:39:23:14		裡面蒜頭要剝一剝喔
01:39:24:29	01:39:25:20	好
01:40:20:12	01:40:21:09	辛苦了
01:40:24:00	01:40:24:26	給你
01:40:27:03		怎麼那麼好
01:40:29:03	01:40:30:09	沒有為什麼啊
01:40:33:27	01:40:34:24	喜歡嗎
01:40:38:07	01:40:39:05	謝謝
01:40:46:23	01:40:48:06	你怎麼會突然帶項鍊啊
01:40:56:06		客人忘在店裡
01:40:57:09		然後店長就說
01:40:59:22	01:41:01:00	我可以把項鍊帶回去
01:41:02:06	01:41:03:16	店長說要送給你
01:41:05:09		那你現在拿回去還他啊
01:41:06:28		他不是在裡面嗎
01:41:08:07		我就說了客人沒有要來拿
01:41:09:28	01:41:11:15	店長送給我的
01:41:12:05		你不喜歡我拿掉, 好不好
01:41:13:13	01:41:14:04	拿著
01:41:15:02	01:41:15:26	拿著
01:41:18:01		我沒有不喜歡
01:41:19:21	01:41:20:20	你就是不喜歡
01:41:26:22	01:41:27:16	走啊
01:41:35:19	01:41:36:20	喂
01:41:42:25	01:41:44:06	媽, 你怎麼又跑來這裡啊
01:41:48:13		你有什麼問題啊
01:41:49:29	01:41:51:17	你怎麼會把小鈕扣帶來這裡
01:41:52:18	01:41:55:14	就這邊有人可以幫忙照顧啊
01:41:56:29	01:41:58:06	誰在幫忙照顧她
01:42:00:26		你很奇怪耶
01:42:02:18		難道我要把她一個人丟在家嗎
01:42:04:16		她會自己照顧自己
01:42:06:25		她就是不會自己照顧自己
01:42:08:16		我才要你照顧她
01:42:09:11		好了啦
01:42:11:13	01:42:12:16	不要吵, 好不好
01:42:14:02	01:42:15:04	你們是好了沒
01:42:17:26	01:42:19:27	我叫你們來是叫你們來還錢
01:42:21:07	01:42:23:15	不是叫你們來演八點檔給我看
01:42:27:18	01:42:28:15	我的錢呢
01:42:47:01	01:42:48:15	是三十萬喔
01:42:50:01	01:42:51:12	你們拿這包這麼薄是怎樣
01:43:05:28		還看, 還不快簽一簽
01:43:07:25		反正你媽如果沒還
01:43:09:08	01:43:10:13	一樣找你要
01:43:11:03	01:43:12:22	快簽一簽就可以去吃飯了啦
01:43:57:05	01:43:58:01	佳家, 你要幹嘛
01:44:00:23	01:44:02:07	我要帶小鈕扣搬離開這裡
01:44:03:14		好了啦
01:44:04:20		有話可不可以好好講啊
01:44:07:13		都是我的錯
01:44:08:29	01:44:10:25	對不起, 這樣可以嗎
01:44:12:00		我沒有看過你這種母親
01:44:14:01		什麼母親
