01:00:23:13	01:00:26:06	你欠鬼頭刀哥的一百萬
01:07:15:12	01:07:16:28	一路被押回去
01:07:19:26	01:07:22:02	我十七歲離開澎湖的那天
01:07:23:15	01:07:25:02	我就暗自發誓
01:07:26:16	01:07:27:18	有一天
01:07:28:16	01:07:31:03	我一定會賺大錢, 娶正妹
01:07:32:00	01:07:34:06	然後風風光光的回到澎湖
01:07:36:02	01:07:37:27	但現在我要回去了
01:07:39:02	01:07:40:12	我沒有賺大錢
01:07:41:06	01:07:42:24	也沒有娶到正妹
01:07:44:08	01:07:46:25	我不知道澎湖的其他人會怎麼看我
01:07:48:16	01:07:49:12	宗哥
01:07:50:15		我看你的樣子
01:07:51:06		就知道你很感動
01:07:53:03	01:07:54:11	我求你
01:07:55:08		在澎湖的時候幫我
01:07:56:26	01:07:59:04	不要跟別人說我是犯人
01:08:01:02	01:08:02:18	最重要的是...
01:08:03:28		我覺得我老爸
01:08:06:09		應該也不會希望自己的兒子
01:08:09:09		在回去見他最後一面的時候
01:08:12:05	01:08:13:25	是一個犯人
01:08:16:07	01:08:17:19	宗哥
01:08:19:20	01:08:20:29	沒關係啦
01:08:21:18	01:08:23:17	我知道你很難過
01:08:38:05		多上幾趟船
01:08:39:13		習慣就好了
01:08:40:26		廢話
01:08:41:28		什麼事不能習慣就好
01:08:43:06	01:08:45:09	我馬上退休幹嘛習慣啊
01:08:46:05		退休後你就不搭船了嗎
01:08:48:22	01:08:50:28	我沒事坐什麼船嘛我
01:08:53:02	01:08:54:16	世事難料啊
01:08:55:03	01:08:56:28	像我也不出海抓魚
01:08:57:18	01:08:59:18	可是我卻繼承一艘漁船
01:09:05:26	01:09:07:13	閉氣閉到極限
01:09:11:10	01:09:12:25	憋到不能再憋
01:09:14:27		好
01:09:15:20	01:09:17:24	現在緩緩把氣吐出來
01:09:21:14		有好一點吧
01:09:22:25		我爸教我的
01:09:24:17		我第一次上他的船
01:09:25:27	01:09:27:10	也是吐翻了
01:10:16:02	01:10:17:05	宗哥
01:10:18:20	01:10:19:25	幹嘛
01:10:23:28		可以車子不要開到大門口嗎
01:10:27:17	01:10:28:20	為什麼
01:10:30:24		我老爸的法事還在進行
01:10:33:06	01:10:34:20	我這樣
01:10:36:07		怕什麼啦
01:10:37:07	01:10:38:24	你爸又看不見
01:11:05:00		還有多遠
01:11:06:18	01:11:08:23	前面路口轉進去就到了
01:11:11:03	01:11:12:04	停車
01:11:16:02	01:11:17:26	今天天氣不錯
01:11:18:28	01:11:20:18	我們下車走一走
01:11:22:25	01:11:24:05	付錢啊
01:11:24:25	01:11:25:24	好
01:11:26:15	01:11:27:16	三百
01:11:38:23		習慣就好了
01:11:39:28		廢話
01:11:41:02	01:11:42:18	什麼事不是習慣就好了
01:11:43:27		我都快出獄了
01:11:45:05	01:11:46:24	我幹嘛要習慣
01:12:05:26	01:12:07:16	多久沒回家了
01:12:08:26		十年
01:12:09:25	01:12:11:05	十年了
01:12:13:09		工作兩年
01:12:14:17	01:12:16:11	加上被關了八年
01:12:19:00		怎樣
01:12:20:08		你兒子是常回家喔
01:12:22:14		對啊
01:12:23:28	01:12:26:07	他會買西門町的鴨舌來給我吃
01:12:27:27		你兒子在台北工作
01:12:28:29	01:12:30:00	不, 台中
01:12:30:28		你兒子每次都特別從台中跑到西門町買鴨舌
01:12:33:23	01:12:35:23	然後還帶鴨舌去看你
01:12:38:19		你怎麼知道西門町的鴨舌
01:12:40:23		我就在台北工作啊
01:12:42:09	01:12:43:14	你做什麼
01:12:46:03		偷東西
01:12:47:25	01:12:49:18	那也不應該判這麼久啊
01:12:51:16		說來倒楣
01:12:53:12		那時候我和朋友
01:12:54:03	01:12:56:26	跑到人家裡去逛一逛
01:12:58:06		沒想到主人在睡午覺
01:13:00:20		只好把他綁起來
01:13:01:28	01:13:03:24	所以變強盜罪
01:13:05:15	01:13:06:27	活該
01:13:15:23		你不是說在三巷嗎
01:13:16:26	01:13:18:15	我們都已經到了四巷了
01:13:19:22		我家在五巷
01:13:21:02	01:13:22:12	那你幹嘛說三巷
01:13:23:08		我怎麼知道你會願意提早下車
01:13:25:27	01:13:28:02	不會讓我在家門口丟人
01:13:29:04		你給我聽好
01:13:29:29		我不是跟你說過了嗎
01:13:31:02		你不要做傻事
01:13:31:24		我不會虧待你啦
01:13:33:02		你要亂搞的話
01:13:33:29		我也不是省油的燈
01:13:34:28		我告訴你
01:13:36:05		不會... 你放心
01:13:37:24		我不會做傻事的
01:13:39:12	01:13:40:14	走啦
01:14:26:10	01:14:27:13	我家到了
01:14:43:06	01:14:44:27	你爸都沒朋友的啊
01:14:45:20		不對
01:14:46:24		奇怪
01:14:48:12	01:14:49:29	應該要有靈堂啊
01:14:52:19	01:14:54:04	開門啊
01:14:58:23		我沒有鑰匙
01:15:00:06	01:15:01:22	這不是你家嗎
01:15:02:12		我已經十年沒有回家了
01:15:03:24		怎麼會有鑰匙啦
01:15:05:13	01:15:07:02	敲門嘛
01:15:08:12	01:15:09:18	對喔
01:15:10:28		翻牆翻慣了
01:15:12:09	01:15:14:02	都忘了可以敲門這件事
01:15:59:03	01:16:00:15	好像...
01:16:01:19	01:16:03:01	沒人
01:16:11:14	01:16:12:19	爬牆
01:16:17:19	01:16:18:28	這邊走
01:16:21:09		在這邊
01:16:22:12	01:16:23:26	這邊最好爬
01:16:24:14		這麼熟
01:16:25:19		小時候我爸每次喝醉
01:16:28:01		怕我媽嘮叨
01:16:29:09		都是從這邊翻牆進去的
01:16:31:15	01:16:32:16	遺傳
01:16:34:16		可以先解開嗎
01:16:35:23		比較好爬
01:16:36:26	01:16:38:00	作夢
01:16:53:20		你先蹲在這邊
01:16:54:18		讓我踩一下
01:16:55:19		等一下我再拉你上去
01:16:57:07	01:16:59:03	我幾歲讓你踩一下
01:17:03:17		好, 那我先推你
01:17:05:17		你再拉我上去可以吧
01:17:07:05	01:17:08:07	好
01:17:13:02		「奧少年」
01:17:14:23	01:17:16:05	抱歉, 再一次
01:17:26:15		再來...
01:17:28:02		宗哥, 一人一次啦
01:17:31:02		你已經兩次了
01:17:32:02	01:17:33:15	現在換我了
01:17:38:24		等一下...
01:17:40:07		又怎樣
01:17:41:24		這牆又不高
01:17:43:09	01:17:44:21	我們倆一起跳
01:17:47:12	01:17:48:12	好
01:17:52:25		一
01:17:54:06		二
01:17:55:06	01:17:55:29	三
01:18:06:14	01:18:07:26	你們在做什麼
01:18:28:00		我們沒等到你
01:18:29:21		以為你不回來了
01:18:31:28		所以白牧師和弟兄姊妹
01:18:34:09	01:18:37:17	已經把你爸給火化了
01:18:38:04	01:18:39:18	弟兄姊妹
01:18:40:25		我爸什麼時候變基督教的
01:18:42:29	01:18:44:25	跟我在一起之後
01:18:46:29		你是基督教的
01:18:49:10	01:18:50:15	是啊
01:19:01:22		要嗎
01:19:02:29	01:19:04:12	不用, 謝謝
01:19:08:21		那個手銬是真的還假的啊
01:19:11:15	01:19:12:19	是真的
01:19:15:06	01:19:17:18	那你為什麼要和他銬在一起
01:19:33:18		我在台北是在當刑警的
01:19:36:02		這個男的叫老宗
01:19:38:00		是我在路上抓到的現行犯
01:19:40:06		為了防止他逃跑
01:19:41:16	01:19:43:16	所以暫時和我銬在一起
01:19:46:18		不用擔心啦
01:19:47:25		他平常都很乖的
01:19:49:17		只要他不做傻事
01:19:51:03	01:19:52:26	我也不會為難他的
01:19:58:01	01:19:59:29	那他是犯了什麼罪
01:20:00:26		搶銀行
01:20:02:09	01:20:03:11	不是啦
01:20:04:20	01:20:05:19	謀殺
01:20:06:10	01:20:07:15	不是
01:20:09:03		強暴犯喔
01:20:10:08		不是啦
01:20:11:03	01:20:13:02	那到底是怎麼樣
01:20:14:13		你知道我們刑警也有刑警的規矩
01:20:16:17		偵查不公開你懂不懂
01:20:17:25		可是...
01:20:18:06	01:20:19:16	懂了就不要再問
01:20:22:21	01:20:23:21	給你的
01:20:26:21		我都還沒生
01:20:27:19		送這個會不會太早了
01:20:29:23	01:20:31:08	早晚都用得上嘛
01:20:32:09		也是啦
01:20:33:23	01:20:35:21	你還真是個好哥哥
01:20:38:15		其實你也不用叫我媽
01:20:40:15		你還比我大
01:20:41:13		你叫我雪麗就好了
01:20:43:02		廢話少說啦
01:20:43:26		你爸都已經火化了
01:20:45:02		跟你媽說再見
01:20:45:27		我們回去了
01:20:46:17	01:20:47:25	什麼話
01:20:48:14	01:20:50:17	你是刑警還是我是刑警
01:20:53:04		連老爸的骨灰都還沒見到
01:20:54:11		怎麼可以這樣空手回去
01:20:57:02		你要看你爸的骨灰
01:20:58:11		有啊
01:20:59:03	01:21:00:10	等我一下
01:21:03:00	01:21:04:03	你給我出來
01:21:07:10		跟我大小聲
01:21:08:11	01:21:09:26	你當你是誰啊
01:21:10:21		先忍耐一下啦
01:21:11:27		我還不知道這個雪麗是好是壞
01:21:14:01		先下個馬威
01:21:15:05	01:21:16:24	這裡有誰比你壞嗎
01:21:18:00		你要看你爸的骨灰
01:21:19:08		有啊, 在這裡
01:21:20:24		這...
01:21:22:14		這是我小時候的便當盒
01:21:24:22		怎麼拿來裝我爸的骨灰
01:21:26:18		這是你爸特別交代的
01:21:29:16		對了
01:21:30:08		他還有留一封信給你
01:21:31:19		要你把他的骨灰
01:21:32:13		撒在「外婆的澎湖灣」
01:21:34:13	01:21:35:23	你看過信了
01:21:37:10		對啊
01:21:38:02	01:21:39:16	在病床上
01:21:40:03		他那個時候
01:21:41:26		手都握不穩了
01:21:43:25	01:21:47:24	我還邊握著他的手邊哭邊寫
01:21:53:04	01:21:54:13	你怎麼了
01:21:54:28		天下父母心
01:21:55:16	01:21:57:05	你沒有小孩, 你不懂啦
01:21:58:19		來
01:21:59:15	01:22:01:00	信在這裡
01:22:13:23	01:22:16:10	外婆的澎湖灣
01:22:18:00	01:22:19:04	就這樣
01:22:20:22		對啊
01:22:22:03		這是你爸最後的心願
01:22:24:00		要你開著他給你的船
01:22:25:22		把他的骨灰撒在...
01:22:27:02		外婆的澎湖灣我知道
01:22:29:17		問題是船
01:22:31:03	01:22:32:15	船現在在哪兒
01:22:34:26	01:22:36:03	在...
01:22:36:18		我爸要我幫他撒骨灰沒有問題
01:22:38:29		事情趕快辦一辦
01:22:40:24		我也可以早點把船處理掉
01:22:42:06		處理船
01:22:43:15		什麼意思
01:22:44:27		就處理掉
01:22:46:09		賣掉或怎樣的
01:22:48:13		我又沒在捕魚
01:22:49:21	01:22:51:06	船留著也沒用
01:22:53:15		對了
01:22:54:23	01:22:56:16	你剛剛說船在哪兒
01:23:00:00	01:23:01:15	船在哪裡
01:23:05:06	01:23:08:25	雪麗, 我爸的船停在哪裡
01:23:09:18	01:23:11:02	我不知道
01:23:11:28		什麼意思, 你不知道
01:23:13:18		就我也不知道
01:23:15:10		你怎麼可能不知道
01:23:17:17		你爸跟我在一起的時候
01:23:18:28	01:23:21:05	他就已經不太出海了嘛
01:23:22:08	01:23:23:14	他不出海
01:23:24:03		那他在幹嘛
01:23:26:03	01:23:27:08	他...
01:23:28:24		他在跟我約會
01:23:30:09		他...
01:23:31:22	01:23:35:20	他在跟你約會...
01:23:36:28		他連船在哪兒都不讓你知道
01:23:38:09	01:23:39:24	他在跟你約會
01:23:40:14		怎麼這樣跟你媽說話的
01:23:41:26		她哪是我媽
01:23:43:04		我去台灣做...
01:23:44:24		工作努力那麼多年
01:23:46:06		現在回來突然多個媽媽
01:23:48:00		她又正又年輕
01:23:48:24		怎麼可能愛上一個孤單老人
01:23:50:25		誰知道她到底貪圖我爸什麼
01:23:52:13	01:23:54:22	我貪圖的是你爸有顆善良的心
01:23:58:02		送你爸出海是你爸最後一個願望
01:24:00:08	01:24:02:03	你是他兒子, 有這麼難啊
01:24:06:18	01:24:07:29	那裡有顆頭耶
01:24:14:12		我剛剛明明看到一顆頭的
01:24:16:10	01:24:17:24	那很重要嗎
01:24:23:00		你放心
01:24:24:07		我會押著他...
01:24:24:25		不...
01:24:25:16		他會押著我
01:24:26:22		送伍先生的骨灰出海
01:24:30:17	01:24:32:13	那也要知道船在哪裡啊
01:24:33:21		好, 要找船就去船最多的地方
01:24:36:27		北寮碼頭, 那邊船最多了
01:24:39:10	01:24:41:09	對, 北寮
01:24:44:22		你忘了什麼
01:24:46:07		什麼
01:24:47:21	01:24:49:09	你爸的骨灰啦
01:25:39:03		那顆頭
01:25:40:11		你有完沒完啊
01:25:41:25	01:25:43:21	但我剛剛真的看到這顆頭啊
01:25:45:04	01:25:46:20	你到底是誰
01:25:47:19	01:25:49:10	我是開計程車的
01:25:50:28	01:25:52:08	我叫鐵陸
01:25:54:03		司機, 不好意思
01:25:55:14		我們到北寮
01:25:57:06	01:25:58:11	北寮
01:25:59:13		對啊
01:26:00:13	01:26:02:07	我要帶我兒子去逛逛
01:26:02:27		不是在說你啦
01:26:04:12		我在說我肚裡的小baby
01:26:07:01		你們到北寮去幹什麼
01:26:09:03		要吃海鮮
01:26:09:26		不必到那裡去
01:26:12:04		不是
01:26:13:10	01:26:15:25	我們在找一條叫協和號的船
01:26:18:02	01:26:19:07	協和號
01:26:20:16	01:26:22:06	協和號在北寮
01:26:23:12		對啊, 那邊船最多
01:26:25:08	01:26:27:03	應該就在那兒了
01:27:00:27		你有沒有覺得怪怪的
01:27:02:24	01:27:03:24	有啊
01:27:04:27	01:27:06:19	哪裡怪怪的你說
01:27:07:07		你為什麼那麼小聲說話
01:27:09:09	01:27:10:25	我這樣說話
01:27:19:08		我有事要跟你說
01:27:21:15	01:27:22:21	什麼事
01:27:23:19	01:27:24:28	那個司機
01:27:25:22		他跟雪麗怪怪的
01:27:27:22		你也覺得
01:27:28:23		剛剛就說了
01:27:29:09	01:27:31:04	在窗邊鬼鬼祟祟的
01:27:33:07	01:27:35:04	我們先看他要幹什麼再說
01:27:36:12	01:27:38:28	你們兩個一直在後面嘀咕什麼
01:27:39:18		我們在討論
01:27:41:08		小baby將來要叫什麼名字
01:27:43:07		討論小baby叫什麼名字
01:27:45:25	01:27:47:16	那幹嘛那麼小聲
01:27:51:13		跟他銬在一起久了
01:27:52:28		自然就習慣這樣子講話
01:27:54:29		對...
01:27:56:22		習慣就好...
01:27:59:09		廢話
01:28:00:09	01:28:02:04	什麼事不是習慣就好
01:29:21:02		雪麗
01:29:22:19		你有找到船嗎
01:29:24:02		沒有啊
01:29:25:07		我也沒有耶
01:29:27:03		那就是沒有了
01:29:28:18		我們可以回去了吧
01:29:30:29		等等
01:29:32:20	01:29:36:15	你怎麼知道協和號會在這邊
01:29:37:22		船在外婆的澎湖灣
01:29:39:03		「外婆的澎湖灣」是首歌好不好
01:29:41:01	01:29:42:22	哪有這種地方
01:29:43:19		有...
01:29:44:16		真的有這個地方
01:29:46:05		你說有外婆的澎湖灣這個地方
01:29:48:03		那是什麼地方
01:29:49:14		馬公的觀音亭
01:29:52:08		你看
01:29:53:15		好, 就去觀音亭
01:29:55:22	01:29:56:29	走
01:30:00:08		觀音亭那邊哪會有船
01:30:02:23	01:30:04:28	你不去去看怎麼知道
01:30:05:24	01:30:08:01	你到底在玩什麼花樣
01:31:03:21	01:31:06:05	這裡就是外婆的澎湖灣
01:31:08:19		對啊
01:31:09:29	01:31:11:03	你看
01:31:12:08	01:31:13:28	陽光在那邊
01:31:21:25	01:31:24:05	海浪, 沙灘在那邊
01:31:28:24		仙人掌在...
01:31:30:18	01:31:31:23	在這邊
01:31:39:03	01:31:40:20	那老船長呢
01:31:44:09		在...
01:31:46:16	01:31:48:01	在那邊
01:32:06:05		船在哪裡啊
01:32:07:27	01:32:09:14	我沒看到
01:32:11:02		我也沒看到
01:32:12:29	01:32:14:27	沒看到就是沒有啦
01:32:16:29		你到底在搞什麼鬼啊
01:32:18:15	01:32:19:22	我沒有
01:32:21:12	01:32:23:18	你們倆在嘀咕什麼
01:32:25:15		沒有啊
01:32:26:14		我們在討論
01:32:27:13	01:32:29:18	小baby叫什麼名字啦
01:32:30:09	01:32:31:25	對...
01:32:33:07	01:32:35:16	你們兩個有這麼熟喔
01:32:37:21		沒有... 沒有很熟
01:32:39:08		沒有, 我們很熟
01:32:40:10		澎湖就這麼大
01:32:41:08		誰和誰會不認識, 對不對
01:32:43:00	01:32:44:20	大家都很熟啊
01:32:45:26		是啊
01:32:47:01	01:32:48:06	也是
01:32:51:16	01:32:53:06	你認識他嗎
01:32:57:12	01:32:58:25	這很重要嗎
01:32:59:25	01:33:02:02	當然很重要
01:33:04:29		不用看了吧
01:33:06:18	01:33:09:02	裡面不就是寫外婆的澎湖灣
01:33:13:10	01:33:14:21	小伍的爸爸
01:33:15:21	01:33:18:13	不可能認識「外婆的澎湖灣」的作者
01:33:19:06		所以說小伍他爸爸呢
01:33:21:25		不可能知道外婆是誰
01:33:23:16	01:33:25:16	澎湖灣在哪裡
01:33:26:12		既然如此
01:33:28:13		小伍他爸爸
01:33:30:04	01:33:32:25	根本就不可能認識歌手的外婆
01:33:34:22	01:33:36:13	所以應該就是...
01:33:39:14	01:33:41:02	是我外婆
01:33:46:20		小時候
01:33:47:28		外婆常常帶我去奎壁山
01:33:49:02		採仙人掌果實
01:33:51:00		就是那裡
01:33:52:05	01:33:53:25	就是那裡
01:34:08:27		這邊哪裡有仙人掌啊
01:34:11:08		有
01:34:12:28	01:34:14:11	在那邊
01:34:16:22	01:34:18:11	在那座島上
01:34:20:10		走這條路啊
01:34:21:20	01:34:22:27	對啊
01:34:24:12		這座島就這麼大了
01:34:25:27		船要藏在哪裡
01:34:27:14		現在沒看到就是沒有了嘛
01:34:30:07	01:34:32:03	我們回去啦
01:34:34:04	01:34:37:00	而且我肚子怪怪的
01:34:40:07		都已經到這邊了
01:34:41:28	01:34:43:20	至少過去看看吧
01:34:45:25		要不然這樣吧
01:34:47:07		你在這邊等我們
01:34:48:24		等我們回來再來接你
01:34:51:01	01:34:52:11	我不去喔
01:34:53:07	01:34:55:14	沒關係, 我去就好
01:35:00:05	01:35:01:20	你等一下
01:35:06:01		宗哥
01:35:07:13		那座島就只有那條路可以進出
01:35:10:00		後面就是大海
01:35:11:25	01:35:13:24	我想逃也沒地方逃
01:35:17:26	01:35:20:11	宗哥, 拜託啦
01:35:22:20	01:35:24:11	不要做傻事啊
01:35:34:07		怎麼樣
01:35:35:04	01:35:36:17	有沒有問題啊
01:35:43:26	01:35:45:03	不要亂跑
01:36:14:05		雪麗
01:36:15:15		我四十年的刑警經驗
01:36:17:08	01:36:19:09	看你們之間的互動
01:36:20:12	01:36:22:10	我猜得出來他是你爸爸
01:36:23:23		只是我不知道
01:36:25:22		你為什麼不讓你爸爸找到協和號呢
01:36:29:04	01:36:32:05	我爸認為協和號毀了他的青春
01:36:33:13	01:36:36:05	他一直在找復仇的機會
01:37:34:18		回來
01:37:35:22		快回來啦
01:37:36:16		快點啦
01:37:38:05		你跟我一起大聲叫啦
01:37:39:18		回來
01:37:40:24		漲潮啦
01:37:41:20		回來啦, 漲潮囉
01:37:43:20	01:37:44:25	回來
01:37:46:03	01:37:47:10	回來
01:37:51:11		說什麼啦
01:37:52:15	01:37:54:07	聽不見啊
01:38:01:15	01:38:02:29	你聽得到嗎
01:38:42:17	01:38:43:16	船錨
01:38:47:15	01:38:48:23	船是我的
01:38:50:12	01:38:51:26	你要幹嘛
01:39:06:08		年輕人身手不錯
01:39:08:08	01:39:09:22	哪裡學的
01:39:11:24	01:39:13:05	艋舺
01:39:28:23		快點, 你趕快回來
01:39:31:18		不要打
01:39:32:28		這樣子打會出人命的
01:39:34:28		趕快回來
01:39:35:22		不會啦, 打打架而已
01:39:37:06		那個人以前是陸戰隊的
01:39:39:23		不要打啦
01:39:40:22		回來
01:39:41:20		不要打啦
01:39:42:22		回來
01:39:43:09	01:39:44:19	不要打
01:39:51:23		我們兩棲偵搜隊
01:39:53:07	01:39:55:19	只要一搏鬥是絕對不會輸的
01:40:09:13		你幹什麼
01:40:11:04	01:40:12:14	就算你贏了
01:40:14:07	01:40:16:10	你也要拖著我的屍體走
01:40:27:11	01:40:28:28	你怎麼咬人啊
01:40:31:04	01:40:32:05	你鬆口
01:40:34:21		你鬆口
01:40:36:04	01:40:40:00	鬆口...
01:40:42:16		我們數到三
01:40:43:11	01:40:44:19	一起放
01:40:48:22	01:40:49:22	一
01:40:52:01	01:40:53:11	二
01:40:54:18	01:40:56:01	三
01:40:57:05		你小混蛋
01:40:57:22	01:40:59:21	你為什麼不鬆口
01:41:05:02	01:41:06:27	趕快回來
01:41:07:18	01:41:10:02	你這樣喊, 他們聽不見的啦
01:41:24:29	01:41:28:06	我知道船在哪兒
01:41:41:06	01:41:43:26	你有聽見什麼嗎
01:41:46:27	01:41:48:06	他們聽得見耶
01:42:13:10	01:42:14:18	你到底是誰
01:42:15:15	01:42:17:09	為什麼要跟我搶船
01:42:20:23	01:42:22:28	我們兩個人之間的恩怨
01:42:24:00	01:42:27:28	要從一九八六年的韋恩颱風說起
01:42:29:23		一九八六年
01:42:31:22	01:42:33:14	我都還沒出生耶
01:42:36:04		本來我跟淑娟都已經約定好了
01:42:39:20		等那年夏天結束之後
01:42:42:22		我升上了士官長
01:42:45:15	01:42:47:14	她就要嫁給我
01:42:48:14	01:42:52:26	兩個人恩恩愛愛的過一輩子
01:42:54:17	01:43:01:02	沒想到一夜之間全變了調
01:43:05:26	01:43:06:28	等等
01:43:07:18		你剛剛說的淑娟
01:43:09:23	01:43:11:21	該不會是我媽吧
01:43:14:15	01:43:15:17	沒錯
01:43:16:11	01:43:17:23	就是你媽
01:43:19:18	01:43:23:05	一九八六年八月二十二號上午
01:43:24:09	01:43:27:05	淑娟知道有颱風要來
01:43:28:01		但是她看風雨並不太大
01:43:30:14		所以決定還是搭船
01:43:31:24	01:43:33:23	到營區來看我
01:43:40:14	01:43:42:23	沒想到一到了下午
01:43:43:15	01:43:45:11	風雲變色
01:43:46:07	01:43:49:13	一下子暴風雨全都來了
01:43:50:27	01:43:52:13	船開不了
01:43:53:08		淑娟沒辦法
01:43:55:11		就只好到開船的船長家
01:43:57:19	01:43:58:28	過了一夜
01:44:49:25	01:44:53:02	所以那個船長...
01:44:58:26	01:45:00:11	就是你爸
01:45:05:23	01:45:08:12	淑娟本來想待一個晚上就走
01:45:11:18		但是那個韋恩怪颱
01:45:12:29		三次進出臺灣
01:45:15:12		淑娟也三次想離開船長家
01:45:18:19		卻都因為颱風
01:45:19:25	01:45:21:29	三次都走不了
01:45:23:10	01:45:24:18	就這樣
01:45:25:13	01:45:27:25	淑娟在船長家一待
01:45:29:01	01:45:30:21	就是一個星期
01:45:51:13	01:45:53:03	颱風離開之後
01:45:55:04	01:45:56:17	淑娟的心
01:45:58:29	01:46:00:20	也跟著離開了
01:46:07:13	01:46:10:16	她跟我說她愛上了一個男人
01:46:12:19		我怎麼都不相信
01:46:15:10	01:46:18:08	我跟她說我要等她一輩子
01:46:20:11	01:46:23:08	我想她總有回心轉意的一天
01:46:35:04		我爸從來都沒跟我說過
01:46:38:10	01:46:39:26	這一段過去
01:46:42:19	01:46:45:27	隔年你跟著出生
01:46:47:14		這下淑娟更不可能離開你爸
01:46:49:17	01:46:51:06	回到我身邊
01:46:54:27	01:46:56:27	我在傷心之餘
01:46:57:16	01:46:59:24	就娶了現在的老婆
01:47:02:25		為了要證明
01:47:04:11	01:47:06:12	我並不比你爸差
01:47:07:09		所以在我退伍之後
01:47:09:06		我就用退休金買了一艘漁船
01:47:12:13	01:47:14:24	取名密蘇里號
01:47:16:21		當年你爸用船
01:47:19:04	01:47:21:13	搶走了我的淑娟
01:47:22:29		我就想用船來捕魚
01:47:25:13	01:47:27:11	跟你爸一決高下
01:48:08:08	01:48:09:12	等一下
01:48:10:06	01:48:12:22	那你現在怎麼在開計程車
01:48:16:02		二○○一年奇比颱風
01:48:19:04	01:48:20:17	又是颱風
01:48:22:06	01:48:26:15	颱風前後是捕魚的最佳時機
01:48:27:23		我看著你爸在颱風來臨之前
01:48:30:04	01:48:31:20	開船出海
01:48:32:21	01:48:35:03	我不甘示弱也跟著出海
01:48:37:14	01:48:40:10	為了想要比他多捕一點魚
01:48:40:27		我看著他都已經回航了
01:48:43:03	01:48:44:27	我還不肯走
01:48:45:26	01:48:47:07	我心裡想
01:48:48:14	01:48:51:00	這是打敗他最好的時機
01:48:53:10		更何況一個小小的中颱奇比
01:48:55:00	01:48:56:18	算不了什麼
01:49:00:19	01:49:03:06	但是老天爺不疼我
01:49:05:25		就這樣
01:49:07:10		我的船被颱風硬生生的
01:49:10:05		吹離了航道
01:49:12:10		撞上了礁石
01:49:14:03		澎湖籍的漁船
01:49:15:10		在東沙島附近的海域
01:49:17:05	01:49:18:29	船錨被吹斷
01:49:24:26		船都毀了
01:49:25:25		你還活著
01:49:27:10	01:49:29:03	你命也滿硬的嘛
01:49:31:22		為了我的女兒
01:49:33:14	01:49:35:09	我的命不得不硬
01:49:40:26	01:49:42:19	船沒了之後
01:49:43:17	01:49:46:12	我辛辛苦苦的開著計程車
01:49:48:18	01:49:51:26	拉拔我的獨生女兒長大
01:49:54:27	01:49:56:12	就在前兩年
01:49:57:23	01:50:00:19	她跟我說她愛上了一個男人
01:50:04:24	01:50:05:29	那個男人
01:50:07:12		那個男人又是你爸
01:50:10:09	01:50:11:15	不會吧
01:50:19:26		你爸搶走了我生命當中最重要的兩個女人
01:50:24:07	01:50:26:02	現在他死了
01:50:27:03	01:50:29:26	我接收他的船不為過吧
01:50:33:11		等一下
